Sequence Code	Primary Sequence Name	Mean Log Ratio	Min	Max	nb Up	nb Low	p-value
A_24_P360529	PDE7A	0.188551852	-0.23382	0.85154	0.703703704	0.296296296	0.001961829
A_24_P765923	AK021985	0.261508148	-0.37142	1.04633	0.703703704	0.259259259	0.002021882
A_32_P163594	A_32_P163594	0.319061852	-0.33866	1.31452	0.814814815	0.185185185	0.000605075
A_24_P196878	AF289567	0.269008519	-0.26583	1.29385	0.62962963	0.37037037	0.002618845
A_32_P15211	THC2132215	0.197187778	-0.21294	0.84838	0.666666667	0.333333333	0.003906531
A_24_P941946	C20orf74	0.213975926	-0.19613	0.92323	0.555555556	0.444444444	0.003742771
A_32_P71796	AL049987	0.234907037	-0.48561	1.1322	0.666666667	0.333333333	0.008279019
A_23_P206103	ULK3	0.118542593	-0.23615	0.60672	0.740740741	0.259259259	0.002570787
A_23_P37623	GOLGA8A	0.19177	-0.37801	1.21237	0.777777778	0.222222222	0.00918542
A_32_P58796	LOC220594	0.168578519	-0.21405	0.89862	0.703703704	0.296296296	0.005174103
A_24_P367576	AK058039	0.236002963	-0.25916	1.09493	0.703703704	0.296296296	0.000973609
A_23_P25069	OVOS2	0.320758889	-0.31967	1.4133	0.740740741	0.259259259	0.00064806
A_23_P428129	CDKN1C	0.255615556	-0.9479	1.03764	0.740740741	0.259259259	0.003449532
A_23_P325562	SLC1A7	0.216141481	-0.50964	0.84644	0.740740741	0.259259259	0.004173138
A_23_P141362	FZD2	0.178541852	-0.42155	0.72214	0.851851852	0.148148148	0.000231828
A_23_P42718	NFE2L3	0.295604074	-1.07412	1.28646	0.777777778	0.222222222	0.0037787
A_23_P23639	MCOLN2	0.178624074	-0.93524	0.84151	0.814814815	0.185185185	0.007934733
