Probe Set ID	Gene Title	Gene Symbol	p-value	FC Absolute	Function
233027_at			0.016	-1.65	Unknown
233690_at			0.026	1.67	Unknown
234104_at			0.03	-1.52	Unknown
234151_at			0.005	-1.58	Unknown
234480_at			0.021	-1.82	Unknown
234588_at			0.002	-1.67	Unknown
234836_at			0.015	-1.79	Unknown
235018_at			0.004	-1.55	Unknown
235575_at			0.038	-1.64	Unknown
235660_at			0.005	-1.88	Unknown
236060_at			0.028	-1.74	Unknown
236149_at			0.006	-1.92	Unknown
236428_at			0.001	-1.54	Unknown
236472_at			0.031	-1.61	Unknown
236520_at			0.032	-1.64	Unknown
236607_at			0.037	-1.61	Unknown
236716_at			0.007	1.96	Unknown
236934_at			0.01	-1.71	Unknown
239228_at			0.004	-1.57	Unknown
239597_at			0.012	-2.33	Unknown
239900_x_at			0.035	-1.74	Unknown
241301_at			0.003	-1.72	Unknown
241468_at			0.018	-1.74	Unknown
241508_at			0.008	-1.76	Unknown
241913_at			0.047	-1.66	Unknown
242357_x_at			0.04	-1.53	Unknown
243003_at			0.008	-2.01	Unknown
243665_s_at			0.047	-1.6	Unknown
243666_at			0.017	-1.61	Unknown
243671_at			0.033	1.75	Unknown
243929_at			0.029	-1.9	Unknown
244117_at			0.039	2.59	Unknown
244449_at			0.02	-1.66	Unknown
244869_at			0.043	-2.48	Unknown
