	G.B.Acc	Name	Unigene	Symbol	Chromosome	Cytoband	Function	Ontology	Expt_75	Expt_76	Expt_92	Ratio
	N41306	Chromosome 4 open reading frame 19	Hs.107527	C4orf19	4	4p14	-	-	0.191874818	0.192707988	0.409365758	0.264649521
	BM469296	ATM/ATR-Substrate Chk2-Interacting Zn2+-finger protein	Hs.16349	ASCIZ	16	16q23.2	-	nucleic acid binding - nucleus - zinc ion binding	0.222828958	0.177386613	0.394994767	0.265070113
	AA029895	Fibrillarin	Hs.299002	FBL	19	19q13.1	This gene product is a component of a nucleolar small nuclear ribonucleoprotein (snRNP) particle thought to participate in the first step in processing preribosomal RNA. It is associated with the U3, U8, and U13 small nuclear RNAs and is located in the dense fibrillar component (DFC) of the nucleolus. The encoded protein contains an N-terminal repetitive domain that is rich in glycine and arginine residues, like fibrillarins in other species. Its central region resembles an RNA-binding domain and contains an RNP consensus sequence. Antisera from approximately 8% of humans with the autoimmune disease scleroderma recognize fibrillarin.	RNA binding - nucleus - rRNA processing - ribonucleoprotein complex	0.260766735	0.23182136	0.303044086	0.265210727
	N26952	KIAA0802	Hs.650822	KIAA0802	18	18p11.22	-	-	0.132144345	0.347413317	0.31768225	0.265746637
	BM917555	Chloride channel 6	Hs.193043	CLCN6	1	1p36.22	The CLCN family of voltage-dependent chloride channel genes comprises nine members (CLCN1-7, Ka and Kb) which demonstrate quite diverse functional characteristics while sharing significant sequence homology. Chloride channel 6 and 7 belong to a subbranch of this family. Chloride channel 6 has four different alternatively spliced transcript variants. This gene is in close vicinity to two other kidney-specific chloride channel genes, CLCNKA and CLCNKB.	chloride transport - integral to plasma membrane - ion transport - membrane - membrane fraction - regulation of cell volume - signal transduction - voltage-gated chloride channel activity	0.186168587	0.168484572	0.44353095	0.26606137
	R78728	Kelch-like 5 (Drosophila)	Hs.272251	KLHL5	4	4p14	-	actin binding - actin cytoskeleton organization and biogenesis - cytoplasm - cytoskeleton - protein binding	0.300999724	0.133162691	0.365125721	0.266429379
	H02112	Transcribed locus	Hs.28360	-	19	-	-	-	0.22286738	0.18693079	0.390335784	0.266711318
	AW197514	Chemokine (C-C motif) ligand 7	Hs.251526	CCL7	17	17q11.2-q12	This gene encodes monocyte chemotactic protein 3, a secreted chemokine which attracts macrophages during inflammation and metastasis. It is a member of the C-C subfamily of chemokines which are characterized by having two adjacent cysteine residues. The protein is an in vivo substrate of matrix metalloproteinase 2, an enzyme which degrades components of the extracellular matrix. This gene is part of a cluster of C-C chemokine family members on chromosome 17q.	antimicrobial humoral response (sensu Vertebrata) - calcium ion homeostasis - cell-cell signaling - chemokine activity - chemotaxis - extracellular space - heparin binding - inflammatory response - sensory perception - signal transduction	0.209430852	0.330516955	0.261438957	0.267128921
	AA135690	Transcribed locus	Hs.61481	-	8	-	-	-	0.258716988	0.200746002	0.343364007	0.267608999
	H84464	Hypothetical gene supported by AK128874; BC071813	Hs.92290	FLJ46906	6	6q23.3	-	-	0.167331427	0.207524367	0.428448135	0.267767976
	H47128	Family with sequence similarity 107, member B	Hs.446315	FAM107B	10	10p13	-	-	0.173573177	0.24907561	0.381836528	0.268161772
	H88417	Yippee-like 5 (Drosophila)	Hs.515890	YPEL5	2	2p23.1	-	-	0.203533618	0.124683783	0.478893973	0.269037125
	BM720684	Decorin	Hs.156316	DCN	12	12q13.2	The protein encoded by this gene is a small cellular or pericellular matrix proteoglycan that is closely related in structure to biglycan protein. The encoded protein and biglycan are thought to be the result of a gene duplication. This protein is a component of connective tissue, binds to type I collagen fibrils, and plays a role in matrix assembly. It contains one attached glycosaminoglycan chain. This protein is capable of suppressing the growth of various tumor cell lines. There are multiple alternatively spliced transcript variants known for this gene. This gene is a candidate gene for Marfan syndrome.	extracellular matrix (sensu Metazoa) - organogenesis	0.152904924	0.359736832	0.295375267	0.269339008
	R50205	Homo sapiens transcribed sequences	-	-	-	-	-	-	0.203811904	0.178189354	0.426811596	0.269604285
	BQ008734	Solute carrier family 39 (zinc transporter), member 14	Hs.491232	SLC39A14	8	8p21.3	Zinc is an essential cofactor for hundreds of enzymes. It is involved in protein, nucleic acid, carbohydrate, and lipid metabolism, as well as in the control of gene transcription, growth, development, and differentiation. SLC39A14 belongs to a subfamily of proteins that show structural characteristics of zinc transporters (Taylor and Nicholson, 2003 [PubMed 12659941]).[supplied by OMIM]	integral to membrane - membrane - metal ion transport - metal ion transporter activity - transport	0.220773196	0.132036989	0.45785055	0.270220245
	R28554	Hypothetical protein DKFZp313A2432	Hs.349096	DKFZp313A2432	11	11p14.2	-	-	0.18142449	0.171611167	0.45796258	0.270332746
	T98389	ye59f10.r1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone	-	-	-	-	-	-	0.147582702	0.320908614	0.343314892	0.270602069
	BQ069488	Stathmin-like 2	Hs.521651	STMN2	8	8q21.13	Superior cervical ganglion-10 is a neuronal growth-associated protein that shares significant amino acid sequence similarity with the phosphoprotein stathmin (MIM 151442).[supplied by OMIM]	intracellular signaling cascade - membrane - membrane fraction - neuron cell differentiation - soluble fraction	0.200628577	0.113891901	0.498855105	0.271125194
	BM827016	Dyskeratosis congenita 1, dyskerin	Hs.4747	DKC1	X	Xq28	This gene is a member of the H/ACA snoRNPs (small nucleolar ribonucleoproteins) gene family. snoRNPs are involved in various aspects of rRNA processing and modification and have been classified into two families: C/D and H/ACA. The H/ACA snoRNPs also include the NOLA1, 2 and 3 proteins. The protein encoded by this gene and the three NOLA proteins localize to the dense fibrillar components of nucleoli and to coiled (Cajal) bodies in the nucleus. Both 18S rRNA production and rRNA pseudouridylation are impaired if any one of the four proteins is depleted. These four H/ACA snoRNP proteins are also components of the telomerase complex. The protein encoded by this gene is related to the Saccharomyces cerevisiae Cbf5p and Drosophila melanogaster Nop60B proteins. The gene lies in a tail-to-tail orientation with the palmitoylated erythrocyte membrane protein (MPP1) gene and is transcribed in a telomere to centromere direction. Both nucleotide substitutions and single trinucleotide repeat polymorphisms have been found in this gene. Mutations in this gene cause X-linked dyskeratosis congenita disease.	RNA binding - cell proliferation - chromosome, telomeric region - nucleolus - nucleoplasm - pseudouridylate synthase activity - rRNA processing - regulation of cell cycle - telomerase activity - telomerase holoenzyme complex - telomerase-dependent telomere maintenance	0.138184668	0.18657051	0.48905136	0.271268846
	AL702769	MAP7 domain containing 3	Hs.446275	MAP7D3	X	Xq26.3	-	-	0.315363215	0.192972072	0.311289264	0.273208184
	N30471	Hypothetical protein DKFZp586I1420	Hs.112423	DKFZp586I1420	7	7p15.1	-	-	0.170933064	0.224351066	0.425559587	0.273614572
	BF726202	Family with sequence similarity 89, member A	Hs.38516	FAM89A	1	1q42.2	-	-	0.213724046	0.2708509	0.33674541	0.273773452
	R27073	MicroRNA host gene (non-protein coding) 1	Hs.652877	MIRH1	13	13q31.3	-	-	0.201014413	0.246119706	0.374463002	0.273865707
	R28090	Leucine-rich repeats and calponin homology (CH) domain containing 2	Hs.65366	LRCH2	X	Xq23	-	-	0.167137729	0.241262117	0.413749611	0.274049819
	H59600	Interferon stimulated exonuclease gene 20kDa-like 1	Hs.436102	ISG20L1	15	15q26.1	-	exonuclease activity - hydrolase activity - nucleus	0.293132267	0.198148997	0.331075121	0.274118795
	W38730	Poly(rC) binding protein 2	Hs.546271	PCBP2	12	12q13.12-q13.13	The protein encoded by this gene appears to be multifunctional. It along with PCBP-1 and hnRNPK corresponds to the major cellular poly(rC)-binding proteins. It contains three K-homologous (KH) domains which may be involved in RNA binding. This encoded protein together with PCBP-1 also functions as translational coactivators of poliovirus RNA via a sequence-specific interaction with stem-loop IV of the IRES and promote poliovirus RNA replication by binding to its 5-terminal cloverleaf structure. It has also been implicated in translational control of the 15-lipoxygenase mRNA, human Papillomavirus type 16 L2 mRNA, and hepatitis A virus RNA. The encoded protein is also suggested to play a part in formation of a sequence-specific alpha-globin mRNP complex which is associated with alpha-globin mRNA stability. This multiexon structural mRNA is thought to be retrotransposed to generate PCBP-1 intronless gene which has similar functions. This gene and PCBP-1 has paralogues PCBP3 and PCBP4 which is thought to arose as a result of duplication events of entire genes. It also has two processed pseudogenes PCBP2P1 and PCBP2P2. There are presently two alternatively spliced transcript variants described for this gene.	DNA binding|RNA binding|cytoplasm|mRNA metabolism|nucleic acid binding|nucleus|ribonucleoprotein complex	0.117901762	0.404502894	0.30111856	0.274507739
	W47090	Cyclin-dependent kinase 9 (CDC2-related kinase)	Hs.557646	CDK9	9	9q34.1	The protein encoded by this gene is a member of the cyclin-dependent protein kinase (CDK) family. CDK family members are highly similar to the gene products of S. cerevisiae cdc28, and S. pombe cdc2, and known as important cell cycle regulators. This kinase was found to be a component of the multiprotein complex TAK/P-TEFb, which is an elongation factor for RNA polymerase II-directed transcription and functions by phosphorylating the C-terminal domain of the largest subunit of RNA polymerase II. This protein forms a complex with and is regulated by its regulatory subunit cyclin T or cyclin K. HIV-1 Tat protein was found to interact with this protein and cyclin T, which suggested a possible involvement of this protein in AIDS.	ATP binding|RNA elongation from RNA polymerase II promoter|cell proliferation|cyclin-dependent protein kinase activity|nucleus|protein amino acid phosphorylation|protein binding|regulation of cell cycle|transcription elongation factor complex|transcription initiation from RNA polymerase II promoter|transferase activity	0.225848278	0.153457346	0.445276614	0.274860746
	H93163	Syntaxin binding protein 5 (tomosyn)	Hs.93534	STXBP5	6	6q24.3	Syntaxin 1 is a component of the 7S and 20S SNARE complexes which are involved in docking and fusion of synaptic vesicles with the presynaptic plasma membrane. This gene encodes a syntaxin 1 binding protein. In rat, a similar protein dissociates syntaxin 1 from the Munc18/n-Sec1/rbSec1 complex to form a 10S complex, an intermediate which can be converted to the 7S SNARE complex. Thus this protein is thought to be involved in neurotransmitter release by stimulating SNARE complex formation. Alternatively spliced variants have been identified, but their biological validity has not been determined.	cytoskeleton - integral to membrane - synapse - synaptosome - vesicle-mediated transport	0.314229638	0.105236601	0.405595476	0.275020572
	R86309	Vacuolar protein sorting 35 (yeast)	Hs.454528	VPS35	16	16q12	This gene belongs to a group of vacuolar protein sorting (VPS) genes. The encoded protein is a component of a large multimeric complex, termed the retromer complex, involved in retrograde transport of proteins from endosomes to the trans-Golgi network. The close structural similarity between the yeast and human proteins that make up this complex suggests a similarity in function. Expression studies in yeast and mammalian cells indicate that this protein interacts directly with VPS35, which serves as the core of the retromer complex.	cytosol - protein binding - protein transport - retrograde transport, endosome to Golgi	0.244437873	0.256883251	0.323968279	0.275096468
	W25385	Phosphorylase kinase, alpha 2 (liver)	Hs.54941	PHKA2	X	Xp22.2-p22.1	-	calmodulin binding|carbohydrate metabolism|generation of precursor metabolites and energy|glycogen metabolism|phosphorylase kinase activity|phosphorylase kinase complex|protein modification	0.221816675	0.196972181	0.408164586	0.275651147
	AA045300	CDC42 small effector 2	Hs.508829	CDC42SE2	5	5q31.1	-	-	0.206493867	0.298738095	0.322261302	0.275831088
	AA043040	Laeverin	Hs.98288	FLJ90650	5	5q23.1	-	membrane alanyl aminopeptidase activity - metallopeptidase activity - proteolysis and peptidolysis	0.243448267	0.150417584	0.434181758	0.27601587
	N43955	Dishevelled associated activator of morphogenesis 1	Hs.19156	DAAM1	14	14q23.1	Functions of the cell cortex, including motility, adhesion, and cytokinesis, are mediated by the reorganization of the actin cytoskeleton and recent evidence suggests a role for the Formin homology (FH) proteins in these processes. The protein encoded by this gene contains FH domains and belongs to a novel FH protein subfamily implicated in cell polarity. Wnt/Fz signaling activates the small GTPase Rho, a key regulator of cytoskeleton architecture, to control cell polarity and movement during development. Activation requires Dvl-Rho complex formation, an assembly mediated by this gene product, which is thought to function as a scaffolding protein. Evidence of alternative splicing has been observed for this gene but the full-length nature of these variants has not been determined.	Rho GTPase binding - actin binding - actin cytoskeleton organization and biogenesis - cell organization and biogenesis	0.209245712	0.300791233	0.318676684	0.276237876
	AA009959	Homo sapiens transcribed sequences	-	-	-	-	-	-	0.154388132	0.188318601	0.487588486	0.276765073
	AA098859	Homo sapiens, clone IMAGE:3453782, mRNA	Hs.535775	-	5	-	-	-	0.289429078	0.266565657	0.274711449	0.276902061
	U85990	LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae)	Hs.424908	LSM5	7	7p14.3	Sm-like proteins were identified in a variety of organisms based on sequence homology with the Sm protein family (see SNRPD2; MIM 601061). Sm-like proteins contain the Sm sequence motif, which consists of 2 regions separated by a linker of variable length that folds as a loop. The Sm-like proteins are thought to form a stable heteromer present in tri-snRNP particles, which are important for pre-mRNA splicing.[supplied by OMIM]	RNA binding - nuclear mRNA splicing, via spliceosome - nucleus - small nucleolar ribonucleoprotein complex	0.296390507	0.213688065	0.320988947	0.277022506
	W05406	Phosphatidylinositol glycan, class K	Hs.293653	PIGK	1	1p31.1	This gene encodes a member of the cysteine protease family C13 that is involved in glycosylphosphatidylinositol (GPI)-anchor biosynthesis. The GPI-anchor is a glycolipid found on many blood cells and serves to anchor proteins to the cell surface. This protein is a member of the multisubunit enzyme, GPI transamidase and is thought to be its enzymatic component. GPI transamidase mediates GPI anchoring in the endoplasmic reticulum, by catalyzing the transfer of fully assembled GPI units to proteins.	endoplasmic reticulum|integral to membrane|legumain activity|proteolysis and peptidolysis	0.291593324	0.154195479	0.385447641	0.277078814
	T78984	RANBP2-like and GRIP domain containing 8	Hs.53558	RGPD8	2	2q13	RAN is a small GTP-binding protein of the RAS superfamily that is associated with the nuclear membrane and is thought to control a variety of cellular functions through its interactions with other proteins. This gene shares a high degree of sequence identity with RANBP2, a large RAN-binding protein localized at the cytoplasmic side of the nuclear pore complex. It is believed that this RANBP2 gene family member arose from a duplication event 3 Mb distal to RANBP2. Alternative splicing has been observed for this locus and two variants are described. Additional splicing is suggested but complete sequence for further transcripts has not been determined.	Ran GTPase binding - binding - biological_process unknown - nuclear pore	0.245399564	0.235529183	0.351127417	0.277352055
	BM818656	Sec61 alpha 1 subunit (S. cerevisiae)	Hs.518236	SEC61A1	3	3q21.3	The protein encoded by this gene belongs to the SECY/SEC61- alpha family. It appears to play a crucial role in the insertion of secretory and membrane polypeptides into the endoplasmic reticulum. This protein found to be tightly associated with membrane-bound ribosomes, either directly or through adaptor proteins. This gene encodes an alpha subunit of the heteromeric SEC61 complex, which also contains beta and gamma subunits.	membrane - protein secretion - protein translocase activity	0.239780325	0.277979132	0.31475565	0.277505036
	AA115157	TSC22 domain family 3	Hs.522074	TSC22D3	X	Xq22.3	The protein encoded by this gene shares significant sequence identity with the murine TSC-22 and Drosophila shs, both of which are leucine zipper proteins, that function as transcriptional regulators. The expression of this gene is stimulated by glucocorticoids and interleukin 10, and it appears to play a key role in the anti-inflammatory and immunosuppressive effects of this steroid and chemokine. Transcript variants encoding different isoforms have been identified for this gene.	regulation of transcription, DNA-dependent - transcription factor activity	0.283529786	0.255763727	0.296129239	0.278474251
	R77592	chromatin accessibility complex 1	Hs.279704	CHRAC1	8	8q24.3	CHRAC1 is a histone-fold protein that interacts with other histone-fold proteins to bind DNA in a sequence-independent manner. These histone-fold protein dimers combine within larger enzymatic complexes for DNA transcription, replication, and packaging.[supplied by OMIM]	DNA binding - chromatin accessibility complex - chromatin remodeling - epsilon DNA polymerase activity - epsilon DNA polymerase complex - nucleus - transferase activity	0.251285457	0.177555922	0.407473332	0.27877157
	W57890	Cystatin A (stefin A)	Hs.518198	CSTA	3	3q21	The cystatin superfamily encompasses proteins that contain multiple cystatin-like sequences. Some of the members are active cysteine protease inhibitors, while others have lost or perhaps never acquired this inhibitory activity. There are three inhibitory families in the superfamily, including the type 1 cystatins (stefins), type 2 cystatins, and kininogens. This gene encodes a stefin that functions as a cysteine protease inhibitor, forming tight complexes with papain and the cathepsins B, H, and L. The protein is one of the precursor proteins of cornified cell envelope in keratinocytes and plays a role in epidermal development and maintenance. Stefins have been proposed as prognostic and diagnostic tools for cancer.	cysteine protease inhibitor activity|intracellular	0.403434084	0.096990992	0.335901209	0.278775428
	T78061	Full-length cDNA clone CS0DF004YN06 of Fetal brain of Homo sapiens (human)	Hs.133206	-	5	-	-	-	0.190830213	0.178748929	0.468082098	0.279220413
	AI340082	Sulfotransferase family 1E, estrogen-preferring, member 1	Hs.479898	SULT1E1	4	4q13.1	Sulfotransferase enzymes catalyze the sulfate conjugation of many hormones, neurotransmitters, drugs, and xenobiotic compounds. These cytosolic enzymes are different in their tissue distributions and substrate specificities. The gene structure (number and length of exons) is similar among family members. This gene encodes a protein that transfers a sulfo moiety to and from estrone, which may control levels of estrogen receptors.	estrone sulfotransferase activity - steroid binding - steroid metabolism - transferase activity	0.196660355	0.157608054	0.484231748	0.279500052
	AA132004	Proteasome (prosome, macropain) subunit, beta type, 2	Hs.471441	PSMB2	1	1p34.2	The proteasome is a multicatalytic proteinase complex with a highly ordered ring-shaped 20S core structure. The core structure is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are composed of 7 beta subunits. Proteasomes are distributed throughout eukaryotic cells at a high concentration and cleave peptides in an ATP/ubiquitin-dependent process in a non-lysosomal pathway. An essential function of a modified proteasome, the immunoproteasome, is the processing of class I MHC peptides. This gene encodes a member of the proteasome B-type family, also known as the T1B family, that is a 20S core beta subunit.	proteasome core complex (sensu Eukaryota) - threonine endopeptidase activity - ubiquitin-dependent protein catabolism	0.215183149	0.204941849	0.418535543	0.279553514
	R59528	Myelin transcription factor 1-like	Hs.434418	MYT1L	2	2p25.3	-	-	0.258192718	0.122871953	0.458262796	0.279775822
	W39164	zb35e03.r1 Soares_parathyroid_tumor_NbHPA Homo sapiens cDNA clone	-	-	-	-	-	-	0.18486622	0.28354255	0.372341693	0.280250154
	W25557	Tripartite motif-containing 28	Hs.467408	TRIM28	19	19q13.4	The protein encoded by this gene mediates transcriptional control by interaction with the Kruppel-associated box repression domain found in many transcription factors. The protein localizes to the nucleus and is thought to associate with specific chromatin regions. The protein is a member of the tripartite motif family. This tripartite motif includes three zinc-binding domains, a RING, a B-box type 1 and a B-box type 2, and a coiled-coil region.	nucleus - protein ubiquitination - regulation of transcription from RNA polymerase II promoter - transcription - transcription corepressor activity - transcription factor activity - ubiquitin ligase complex - ubiquitin-protein ligase activity - zinc ion binding	0.216625521	0.203225217	0.421023621	0.280291453
	H12745	Zinc finger protein 148 (pHZ-52)	Hs.592592	ZNF148	3	3q21	-	DNA binding - DNA-directed RNA polymerase II, core complex - cellular defense response - negative regulation of transcription from RNA polymerase II promoter - nucleic acid binding - nucleus - nucleus - regulation of transcription, DNA-dependent - regulation of transcription, DNA-dependent - specific RNA polymerase II transcription factor activity - transcription - transcriptional activator activity - zinc ion binding	0.239758383	0.144323522	0.458213855	0.280765253
	R26340	SAM domain and HD domain 1	Hs.580681	SAMHD1	20	20pter-q12	-	3,5-cyclic-nucleotide phosphodiesterase activity - catalytic activity - immune response - intracellular - signal transduction	0.133495075	0.324432526	0.385246003	0.281057868
	AA099193	Clathrin, light polypeptide (Lca)	Hs.522114	CLTA	9	9p13	Clathrin is the main structural component of the lattice covering the cytoplasmic face of the coated pits and coated vesicles in which specific macromolecules are entrapped in the process of receptor-mediated endocytosis.  Clathrin is a large, soluble protein composed of heavy chains and light chains.  Two genes, CLTA and CLTB encode the clathrin light chain proteins. The light chains are believed to be regulatory elements in clathrin function.  The brain-specific light chain variant contains an insert ecoding 30 amino acids immediately downstream of the region encoding the heavy chain binding domain.	calcium ion binding - clathrin vesicle coat - coated pit - intracellular protein transport	0.160753292	0.303014759	0.380100848	0.281289633
	BM968464	WD repeat domain 20	Hs.36859	WDR20	14	14q32.32	This gene encodes a WD repeat-containing protein. Multiple alternatively spliced transcript variants have been found for this gene, but the full-length nature of some variants has not been defined.	-	0.119043282	0.383374054	0.34174977	0.281389035
	H22097	Catenin (cadherin-associated protein), alpha 1, 102kDa	Hs.534797	CTNNA1	5	5q31	-	actin cytoskeleton - cadherin binding - cell adhesion - cell adhesion - protein binding - structural molecule activity	0.222589087	0.179038289	0.443172031	0.281599802
	R79279	Zinc finger protein 226	Hs.145956	ZNF226	19	19q13.2	-	DNA binding - nucleic acid binding - nucleus - regulation of transcription, DNA-dependent - transcription - zinc ion binding	0.338642094	0.23340003	0.273080795	0.28170764
	BE184857	Fibromodulin	Hs.519168	FMOD	1	1q32	Fibromodulin is a member of a family of small interstitial proteoglycans, containing a central region composed of leucine-rich repeats with 4 keratan sulfate chains flanked by disulfide-bonded terminal domains. It may participate in the assembly of the extracellular matrix as it interacts with type I and type II collagen fibrils and inhibits fibrillogenesis in vitro. It may also regulate TGF-beta activities by sequestering TGF-beta into the extracellular matrix.	extracellular matrix (sensu Metazoa) - extracellular matrix (sensu Metazoa) - protein binding - transforming growth factor beta receptor complex assembly	0.312559444	0.12263017	0.411179388	0.282123001
	AA069498	Cyclic nucleotide gated channel beta 3	Hs.154433	CNGB3	8	8q21-q22	-	3,5-cGMP binding - integral to plasma membrane - intracellular cGMP activated cation channel activity - ion channel activity - ion transport - membrane - nucleotide binding - potassium channel activity - potassium ion transport - sensory perception - signal transduction - visual perception	0.278968597	0.130192715	0.43727171	0.282144341
	AA041227	Similar to Ribosome biogenesis protein BMS1 homolog	Hs.494013	-	9	9q12	-	-	0.206582071	0.176381784	0.464420021	0.282461292
	H15871	Nicotinamide nucleotide transhydrogenase	Hs.482043	NNT	5	5p13.1-5cen	NNT is a pyridine nucleotide transhydrogenase (EC 1.6.1.1). These integral inner mitochondrial membrane proteins are part of the energy-transfer system of the respiratory chain and catalyze the transfer of a hydride ion between nicotinamide adenine dinucleotide, NAD(H), and oxidized nicotinamide dinucleotide phosphate, NADP(H).[supplied by OMIM]	NAD(P)+ transhydrogenase (AB-specific) activity - NAD(P)+ transhydrogenase (B-specific) activity - electron transport - electron transporter activity - integral to membrane - mitochondrial electron transport chain - mitochondrion - oxidoreductase activity - proton transport	0.364993662	0.180484538	0.303120103	0.282866101
	H87640	X Kell blood group precursor-related, X-linked	Hs.592216	XKRX	X	Xq22.1	-	-	0.233753413	0.290795756	0.324481896	0.283010355
	W24074	BCL2-associated athanogene 2	Hs.55220	BAG2	6	6p12.3-p11.2	BAG proteins compete with Hip for binding to the Hsc70/Hsp70 ATPase domain and promote substrate release. All the BAG proteins have an approximately 45-amino acid BAG domain near the C terminus but differ markedly in their N-terminal regions. The predicted BAG2 protein contains 211 amino acids. The BAG domains of BAG1, BAG2, and BAG3 interact specifically with the Hsc70 ATPase domain in vitro and in mammalian cells. All 3 proteins bind with high affinity to the ATPase domain of Hsc70 and inhibit its chaperone activity in a Hip-repressible manner.	apoptosis|protein folding|unfolded protein binding	0.281845649	0.18631513	0.380924357	0.283028379
	BM686754	Superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))	Hs.443914	SOD1	21	21q22.1	The protein encoded by this gene binds copper and zinc ions and is one of two isozymes responsible for destroying free superoxide radicals in the body. The encoded isozyme is a soluble cytoplasmic protein, acting as a homodimer to convert naturally-occuring but harmful superoxide radicals to molecular oxygen and hydrogen peroxide. The other isozyme is a mitochondrial protein. Mutations in this gene have been implicated as causes of familial amyotrophic lateral sclerosis. Rare transcript variants have been reported for this gene.	antioxidant activity - copper, zinc superoxide dismutase activity - cytoplasm - metal ion binding - neurogenesis - oxidoreductase activity - response to oxidative stress - superoxide metabolism	0.164554454	0.358265091	0.326513622	0.283111056
	BQ015074	DKFZP564J0863 protein	Hs.356719	DKFZP564J0863	11	11q13.1	-	GTP binding - GTPase activity - immune response	0.19017992	0.379481682	0.279917258	0.283192953
	R80454	Zinc finger protein 317	Hs.465829	ZNF317	19	-	-	DNA binding - nucleus - regulation of transcription, DNA-dependent - transcription - zinc ion binding	0.23484608	0.310877224	0.304151247	0.283291517
	R21970	CDNA FLJ36630 fis, clone TRACH2018278	Hs.422901	-	5	-	-	-	0.245242281	0.172349471	0.432379676	0.283323809
	H44472	F-box protein 33	Hs.324342	FBXO33	14	14q21.1	Members of the F-box protein family, such as FBXO33, are characterized by an approximately 40-amino acid F-box motif. SCF complexes, formed by SKP1 (MIM 601434), cullin (see CUL1; MIM 603134), and F-box proteins, act as protein-ubiquitin ligases. F-box proteins interact with SKP1 through the F box, and they interact with ubiquitination targets through other protein interaction domains (Jin et al., 2004 [PubMed 15520277]).[supplied by OMIM]	ubiquitin cycle	0.215085877	0.409837272	0.227282114	0.284068421
	R66025	Neuronal PAS domain protein 2	Hs.156832	NPAS2	2	2q11.2	The protein encoded by this gene is a member of the basic helix-loop-helix (bHLH)-PAS family of transcription factors. A similar mouse protein may play a regulatory role in the acquisition of specific types of memory. It also may function as a part of a molecular clock operative in the mammalian forebrain.	central nervous system development - nucleus - regulation of transcription, DNA-dependent - signal transducer activity - signal transduction - transcription - transcription factor activity - transcription factor activity	0.185414571	0.284190469	0.382635762	0.284080267
	N44730	yy37d09.r1 Soares melanocyte 2NbHM Homo sapiens cDNA clone	-	-	-	-	-	-	0.171615044	0.386176264	0.294792916	0.284194741
	BM832831	K-EST0107379 S5SNU484s1 Homo sapiens cDNA clone S5SNU484s1-11-B07	-	-	-	-	-	-	0.372183624	0.068763547	0.411670731	0.284205967
	BM462111	Ribosomal protein S23	Hs.527193	RPS23	5	5q14.2	Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a ribosomal protein that is a component of the 40S subunit. The protein belongs to the S12P family of ribosomal proteins. It is located in the cytoplasm. The protein shares significant amino acid similarity with S. cerevisiae ribosomal protein S28. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed through the genome.	protein biosynthesis - small ribosomal subunit - structural constituent of ribosome	0.22408391	0.290322042	0.338825367	0.28441044
	AL709781	Mediator of RNA polymerase II transcription, subunit 4 homolog (yeast)	Hs.181112	MED4	13	13q14.2	-	RNA polymerase II transcription mediator activity - androgen receptor signaling pathway - ligand-dependent nuclear receptor transcription coactivator activity - mediator complex - nucleus - receptor activity - regulation of transcription, DNA-dependent - thyroid hormone receptor binding - transcription - transcription cofactor activity - transcription initiation from RNA polymerase II promoter - transcriptional activator activity - vitamin D receptor binding	0.208080614	0.273924301	0.371409013	0.284471309
	H00518	Multiple inositol polyphosphate histidine phosphatase, 1	Hs.121260	MINPP1	10	10q23	MINPP1 hydrolyzes the abundant metabolites inositol pentakisphosphate and inositol hexakisphosphate and, like PTEN (MIM 601728), has the ability to remove 3-phosphate from inositol phosphate substrates.[supplied by OMIM]	acid phosphatase activity - bone mineralization - endoplasmic reticulum - inositol or phosphatidylinositol phosphatase activity - phosphohistidine phosphatase activity - polyphosphate metabolism	0.238259338	0.28123282	0.333944344	0.284478834
	AA042962	Heterogeneous nuclear ribonucleoprotein A0	Hs.96996	HNRPA0	5	5q31	This gene belongs to the A/B subfamily of ubiquitously expressed heterogeneous nuclear ribonucleoproteins (hnRNPs). The hnRNPs are RNA binding proteins and they complex with heterogeneous nuclear RNA (hnRNA). These proteins are associated with pre-mRNAs in the nucleus and appear to influence pre-mRNA processing and other aspects of mRNA metabolism and transport. While all of the hnRNPs are present in the nucleus, some seem to shuttle between the nucleus and the cytoplasm. The hnRNP proteins have distinct nucleic acid binding properties. The protein encoded by this gene has two repeats of quasi-RRM domains that bind RNAs, followed by a glycine-rich C-terminus.	RNA binding - heterogeneous nuclear ribonucleoprotein complex - mRNA processing	0.248600508	0.317916075	0.286930281	0.284482288
	AA039684	Bardet-Biedl syndrome 12	Hs.400698	BBS12	4	4q27	-	ATP binding - protein folding - unfolded protein binding	0.167611024	0.23928122	0.446759917	0.28455072
	BM925427	Myelodysplasia syndrome 1	Hs.659873	MDS1	3	3q26	-	transcription factor activity	0.188454359	0.389153022	0.276173903	0.284593761
	W38749	zb30f12.r1 Soares_parathyroid_tumor_NbHPA Homo sapiens cDNA clone	-	-	-	-	-	-	0.365922817	0.227240462	0.261501885	0.284888388
