Affy ID	Gene Title	Gene Symbol	q-value	Fold-Change	non metastatic vs. Metastatic
CfaAffx.28078.1.S1_s_at	SIVA1, apoptosis-inducing factor	SIVA1	5.93E-05	-2.80857	non metastatic down vs metastatic
CfaAffx.12012.1.S1_at	general transcription factor IIH, polypeptide 3, 34kDa	GTF2H3	0.000292172	-2.79948	non metastatic down vs metastatic
Cfa.21178.2.S1_a_at	CSE1 chromosome segregation 1-like (yeast)	CSE1L	0.000355463	-2.79813	non metastatic down vs metastatic
Cfa.7110.1.A1_s_at	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 2	NDUFAF2	1.65E-06	-2.79602	non metastatic down vs metastatic
CfaAffx.16462.1.S1_at	RNA (guanine-9-) methyltransferase domain containing 2	RG9MTD2	0.000373907	-2.79507	non metastatic down vs metastatic
Cfa.18833.1.S1_s_at	retinoic acid induced 14	RAI14	0.000667934	-2.79306	non metastatic down vs metastatic
Cfa.7822.1.A1_s_at	DnaJ (Hsp40) homolog, subfamily C, member 3	DNAJC3	0.00033286	-2.7891	non metastatic down vs metastatic
CfaAffx.29869.1.S1_s_at	hematological and neurological expressed 1-like	HN1L	0.000533162	-2.77903	non metastatic down vs metastatic
CfaAffx.29633.1.S1_s_at	growth arrest and DNA-damage-inducible, beta	GADD45B	0.000952935	-2.77813	non metastatic down vs metastatic
Cfa.18695.1.S1_s_at	replication protein A1, 70kDa	RPA1	3.52E-05	-2.76641	non metastatic down vs metastatic
CfaAffx.22249.1.S1_at	dual specificity phosphatase 19	DUSP19	0.000162579	-2.75434	non metastatic down vs metastatic
Cfa.14196.1.A1_at	piwi-like 4 (Drosophila)	PIWIL4	0.000126865	-2.7448	non metastatic down vs metastatic
CfaAffx.5303.1.S1_at	G-rich RNA sequence binding factor 1	GRSF1	9.33E-05	-2.74134	non metastatic down vs metastatic
Cfa.17368.1.S1_s_at	serine/threonine kinase 3 (STE20 homolog, yeast)	STK3	0.000119771	-2.73322	non metastatic down vs metastatic
Cfa.17360.1.S1_s_at	farnesyltransferase, CAAX box, beta	FNTB	0.00032972	-2.73055	non metastatic down vs metastatic
Cfa.19618.1.S1_s_at	dyskeratosis congenita 1, dyskerin	DKC1	0.000119841	-2.72629	non metastatic down vs metastatic
CfaAffx.15464.1.S1_s_at	WD repeat domain 51A	WDR51A	0.000342283	-2.72478	non metastatic down vs metastatic
CfaAffx.28075.1.S1_at	similar to Thymidylate synthase (TS) (TSase)	TYMS	0.000555123	-2.72331	non metastatic down vs metastatic
CfaAffx.8716.1.S1_at	solute carrier family 4 (anion exchanger), member 1, adaptor protein	SLC4A1AP	7.76E-06	-2.71412	non metastatic down vs metastatic
CfaAffx.7499.1.S1_s_at	microtubule associated serine/threonine kinase-like	MASTL	6.33E-05	-2.70506	non metastatic down vs metastatic
CfaAffx.13490.1.S1_at	GA binding protein transcription factor, alpha subunit 60kDa	GABPA	0.000355746	-2.69182	non metastatic down vs metastatic
Cfa.4098.1.S1_s_at	hyaluronoglucosaminidase 2	HYAL2	0.00080888	-2.68249	non metastatic down vs metastatic
CfaAffx.16421.1.S1_at	lysophosphatidylcholine acyltransferase 1	LPCAT1	7.45E-05	-2.67764	non metastatic down vs metastatic
CfaAffx.24055.1.S1_s_at	STAM binding protein-like 1	STAMBPL1	0.000221697	-2.67637	non metastatic down vs metastatic
Cfa.8476.1.S1_s_at	pallidin homolog (mouse)	PLDN	0.000263104	-2.67618	non metastatic down vs metastatic
Cfa.20314.1.S1_s_at	Rho GTPase activating protein 29	ARHGAP29	0.000740611	-2.67594	non metastatic down vs metastatic
Cfa.20704.1.S1_at	ubiquitin-conjugating enzyme E2T (putative)	UBE2T	0.000221843	-2.66469	non metastatic down vs metastatic
Cfa.6728.1.S1_at	WD repeat domain 68	WDR68	1.30E-05	-2.66409	non metastatic down vs metastatic
CfaAffx.1904.1.S1_s_at	transmembrane protein 181	TMEM181	3.96E-05	-2.66254	non metastatic down vs metastatic
CfaAffx.16356.1.S1_s_at	heat shock 60kDa protein 1 (chaperonin) /// similar to 60 kDa heat shock protein	HSPD1	3.82E-05	-2.66162	non metastatic down vs metastatic
CfaAffx.25156.1.S1_at	sorting nexin 8	SNX8	0.000435079	-2.64933	non metastatic down vs metastatic
Cfa.9384.1.S1_s_at	arginase, type II	ARG2	0.000891993	-2.64308	non metastatic down vs metastatic
Cfa.21122.1.S1_s_at	similar to amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candida	PARD3B	0.00078532	-2.64258	non metastatic down vs metastatic
Cfa.1802.1.S1_at	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit	DPM1	0.000590191	-2.62753	non metastatic down vs metastatic
Cfa.16380.2.A1_at	eukaryotic translation initiation factor 2C, 2	EIF2C2	0.000473013	-2.61735	non metastatic down vs metastatic
CfaAffx.11283.1.S1_at	mesoderm induction early response 1, family member 3	MIER3	0.000519844	-2.61141	non metastatic down vs metastatic
CfaAffx.13495.1.S1_s_at	sorting nexin 16	SNX16	0.000127517	-2.61096	non metastatic down vs metastatic
Cfa.19965.1.S1_s_at	AFG3 ATPase family gene 3-like 2 (yeast)	AFG3L2	0.000355463	-2.60526	non metastatic down vs metastatic
CfaAffx.1307.1.S1_s_at	HBS1-like (S. cerevisiae)	HBS1L	1.30E-05	-2.60404	non metastatic down vs metastatic
Cfa.11314.1.A1_at	transcription factor B1, mitochondrial	TFB1M	0.000305364	-2.60291	non metastatic down vs metastatic
Cfa.20738.1.S1_s_at	PRP6 pre-mRNA processing factor 6 homolog (S. cerevisiae)	PRPF6	0.000394942	-2.59516	non metastatic down vs metastatic
Cfa.9641.1.A1_at	peptidylprolyl isomerase (cyclophilin)-like 1	PPIL1	5.93E-05	-2.5913	non metastatic down vs metastatic
Cfa.3766.1.S1_at	calnexin	CANX	9.99E-05	-2.58919	non metastatic down vs metastatic
CfaAffx.31047.1.S1_at	mitochondrial ribosome recycling factor	MRRF	0.000228248	-2.58577	non metastatic down vs metastatic
CfaAffx.11289.1.S1_s_at	acetoacetyl-CoA synthetase	AACS	0.000357841	-2.57688	non metastatic down vs metastatic
CfaAffx.11815.1.S1_at	serologically defined colon cancer antigen 10	SDCCAG10	9.40E-06	-2.57436	non metastatic down vs metastatic
CfaAffx.25565.1.S1_at	sideroflexin 1	SFXN1	0.000991241	-2.57331	non metastatic down vs metastatic
CfaAffx.2427.1.S1_s_at	BCL2-antagonist/killer 1	Bak1	0.000850241	-2.57013	non metastatic down vs metastatic
CfaAffx.11480.1.S1_at	zinc finger protein 740	ZNF740	0.00052871	-2.56497	non metastatic down vs metastatic
Cfa.16913.1.S1_s_at	similar to chromosome 2 open reading frame 7	C2orf7	4.96E-05	-2.56445	non metastatic down vs metastatic
CfaAffx.25659.1.S1_s_at	apoptosis-inducing, TAF9-like domain 1	APITD1	0.000287891	-2.56121	non metastatic down vs metastatic
Cfa.301.1.A1_at	hypothetical LOC475096 /// non-SMC element 2, MMS21 homolog (S. cerevisiae)	NSMCE2	9.81E-05	-2.5558	non metastatic down vs metastatic
Cfa.19610.1.S1_s_at	solute carrier family 30 (zinc transporter), member 6	SLC30A6	0.000239522	-2.55445	non metastatic down vs metastatic
CfaAffx.8562.1.S1_at	solute carrier family 25, member 38	SLC25A38	0.000466502	-2.54588	non metastatic down vs metastatic
CfaAffx.4099.1.S1_at	endoplasmic reticulum metallopeptidase 1	ERMP1	0.000321087	-2.54572	non metastatic down vs metastatic
Cfa.15925.1.S1_at	mitochondrial ribosomal protein L13	MRPL13	3.13E-05	-2.53212	non metastatic down vs metastatic
Cfa.20895.1.S1_s_at	solute carrier family 17 (anion/sugar transporter), member 5	SLC17A5	0.000653236	-2.52507	non metastatic down vs metastatic
CfaAffx.8648.1.S1_s_at	jumonji domain containing 6	JMJD6	0.000164809	-2.51916	non metastatic down vs metastatic
CfaAffx.2377.1.S1_s_at	WD repeat domain 67	WDR67	0.000271471	-2.50965	non metastatic down vs metastatic
CfaAffx.1913.1.S1_s_at	solute carrier family 25, member 32	SLC25A32	1.67E-05	-2.50894	non metastatic down vs metastatic
CfaAffx.27781.1.S1_s_at	similar to ATP-dependent RNA helicase ROK1 isoform a	DDX52	0.000164809	-2.5008	non metastatic down vs metastatic
CfaAffx.21882.1.S1_at	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	ITGA4	0.000931197	-2.50059	non metastatic down vs metastatic
CfaAffx.24935.1.S1_s_at	structural maintenance of chromosomes 1A	SMC1A	0.000334282	-2.49236	non metastatic down vs metastatic
CfaAffx.27687.1.S1_s_at	similar to Centrosomal protein of 110 kDa (Cep110 protein)	CEP110	4.76E-05	-2.48492	non metastatic down vs metastatic
Cfa.18354.1.S1_s_at	syntaxin 12	STX12	0.000456296	-2.48169	non metastatic down vs metastatic
CfaAffx.7382.1.S1_s_at	polymerase (RNA) II (DNA directed) polypeptide D	POLR2D	2.88E-05	-2.47868	non metastatic down vs metastatic
CfaAffx.14073.1.S1_s_at	similar to arginine/serine-rich coiled-coil 1 /// similar to arginine/serine-ric	RSRC1	0.000643053	-2.47488	non metastatic down vs metastatic
CfaAffx.30459.1.S1_at	uridine-cytidine kinase 1	UCK1	0.000306267	-2.47238	non metastatic down vs metastatic
CfaAffx.20229.1.S1_at	activating transcription factor 6	ATF6	2.38E-06	-2.47201	non metastatic down vs metastatic
CfaAffx.15265.1.S1_s_at	pseudouridylate synthase 7 homolog (S. cerevisiae)-like	PUS7L	4.01E-05	-2.47099	non metastatic down vs metastatic
Cfa.21552.1.S1_s_at	protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform	PPM1G	0.0007484	-2.47027	non metastatic down vs metastatic
CfaAffx.13809.1.S1_s_at	BTB and CNC homology 1, basic leucine zipper transcription factor 1	BACH1	0.000197413	-2.46287	non metastatic down vs metastatic
CfaAffx.8672.1.S1_s_at	minichromosome maintenance complex component 6	MCM6	0.000789233	-2.46008	non metastatic down vs metastatic
CfaAffx.18265.1.S1_at	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	ANP32E	4.16E-06	-2.45778	non metastatic down vs metastatic
CfaAffx.20833.1.S1_s_at	transmembrane protein 120A	TMEM120A	0.000383508	-2.45646	non metastatic down vs metastatic
Cfa.11769.1.A1_s_at	similar to protein containing single MORN motif in testis	MORN2	4.16E-05	-2.45622	non metastatic down vs metastatic
CfaAffx.29117.1.S1_s_at	chromatin assembly factor 1, subunit A (p150)	CHAF1A	0.00073238	-2.45547	non metastatic down vs metastatic
CfaAffx.4081.1.S1_at	similar to Protein C9orf46	C9orf46	0.00019222	-2.4546	non metastatic down vs metastatic
Cfa.18405.1.S1_s_at	solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), me	SLC25A16	0.000552021	-2.45184	non metastatic down vs metastatic
Cfa.11620.1.A1_s_at	cytoskeleton associated protein 2	CKAP2	0.000390207	-2.44371	non metastatic down vs metastatic
Cfa.6061.1.A1_s_at	anaphase promoting complex subunit 10	ANAPC10	0.00024214	-2.43622	non metastatic down vs metastatic
CfaAffx.2981.1.S1_s_at	potassium channel tetramerisation domain containing 20	KCTD20	5.93E-05	-2.43523	non metastatic down vs metastatic
Cfa.9650.1.S1_s_at	RAD51 homolog C (S. cerevisiae)	RAD51C	2.04E-05	-2.43361	non metastatic down vs metastatic
Cfa.3119.1.A1_at	similar to CG17726-PA	CG17726-PA	0.000331986	-2.43352	non metastatic down vs metastatic
CfaAffx.24175.1.S1_s_at	similar to H2A histone family, member Z /// histone H2AF	H2AFZ	0.000143772	-2.4314	non metastatic down vs metastatic
Cfa.15516.1.A1_at	transmembrane protein 93	TMEM93	0.000373907	-2.4244	non metastatic down vs metastatic
CfaAffx.18623.1.S1_s_at	replication protein A2, 32kDa	RPA2	7.87E-05	-2.42363	non metastatic down vs metastatic
Cfa.3370.1.S1_at	similar to CG11596-PA, isoform A	CG11596-PA	0.000720805	-2.41987	non metastatic down vs metastatic
CfaAffx.19867.1.S1_s_at	ADP-ribosylation factor GTPase activating protein 1	ARFGAP1	0.000121969	-2.41829	non metastatic down vs metastatic
Cfa.4020.1.S1_at	mitochondrial ribosomal protein S16	MRPS16	0.000213995	-2.41772	non metastatic down vs metastatic
Cfa.18486.1.S1_s_at	pentatricopeptide repeat domain 2	PTCD2	6.60E-05	-2.41619	non metastatic down vs metastatic
CfaAffx.12017.1.S1_at	similar to SWA-70 protein	SWA-70 protein	0.00087941	-2.41091	non metastatic down vs metastatic
Cfa.17965.1.S1_s_at	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinoca	PAICS	0.000223093	-2.40186	non metastatic down vs metastatic
Cfa.14488.1.A1_at	similar to BolA-like protein My016	BOLA2	2.62E-05	-2.40142	non metastatic down vs metastatic
CfaAffx.25175.1.S1_at	PRELI domain containing 1	PRELID1	1.05E-05	-2.40071	non metastatic down vs metastatic
CfaAffx.1713.1.S1_s_at	serum response factor binding protein 1	SRFBP1	1.23E-05	-2.3999	non metastatic down vs metastatic
Cfa.19030.1.S1_s_at	ubiquitin specific peptidase 25	USP25	0.000709548	-2.38756	non metastatic down vs metastatic
CfaAffx.16483.1.S1_s_at	similar to phosphoglycerate kinase 1	PGK1	0.00010644	-2.38477	non metastatic down vs metastatic
CfaAffx.14398.1.S1_s_at	coiled-coil domain containing 98	CCDC98	7.91E-05	-2.37759	non metastatic down vs metastatic
Cfa.19901.1.S1_s_at	optic atrophy 1 (autosomal dominant)	OPA1	0.000545312	-2.37407	non metastatic down vs metastatic
CfaAffx.2448.1.S1_at	tRNA methyltransferase 12 homolog (S. cerevisiae)	TRMT12	0.000222422	-2.3717	non metastatic down vs metastatic
CfaAffx.14067.1.S1_x_at	similar to ubiquitin-conjugating enzyme E2N /// similar to ubiquitin-conjugating	UBE2N	5.27E-05	-2.37168	non metastatic down vs metastatic
Cfa.13729.1.A1_at	RAB7, member RAS oncogene family-like 1	RAB7L1	0.000192261	-2.36399	non metastatic down vs metastatic
CfaAffx.16496.1.S1_at	zinc finger and BTB domain containing 8 opposite strand	ZBTB8OS	0.000153347	-2.35378	non metastatic down vs metastatic
Cfa.10174.3.A1_a_at	similar to Cytochrome c oxidase polypeptide Va, mitochondrial precursor /// simi	COX5A	0.00065996	-2.35025	non metastatic down vs metastatic
CfaAffx.27035.1.S1_at	dynactin 5 (p25)	DCTN5	0.000447785	-2.34996	non metastatic down vs metastatic
Cfa.536.1.S1_s_at	cytokine receptor-like factor 3	CRLF3	7.79E-05	-2.3447	non metastatic down vs metastatic
CfaAffx.12715.1.S1_s_at	activating transcription factor 1	ATF1	0.000106879	-2.3428	non metastatic down vs metastatic
Cfa.19842.1.S1_s_at	WD repeat domain 82	WDR82	0.000919791	-2.34232	non metastatic down vs metastatic
Cfa.15512.1.A1_s_at	ribulose-5-phosphate-3-epimerase	RPE	2.93E-05	-2.34136	non metastatic down vs metastatic
CfaAffx.6109.1.S1_s_at	similar to UPF0240 protein C6orf66	LOC402676	0.000478449	-2.34025	non metastatic down vs metastatic
CfaAffx.20068.1.S1_at	NIPA-like domain containing 3	NPAL3	0.000160388	-2.33967	non metastatic down vs metastatic
CfaAffx.19083.1.S1_s_at	nipsnap homolog 1 (C. elegans)	NIPSNAP1	0.000656634	-2.3356	non metastatic down vs metastatic
Cfa.18005.1.S1_s_at	similar to Ser/Thr-rich protein T10 in DGCR region	LOC58569	5.77E-05	-2.33544	non metastatic down vs metastatic
Cfa.17320.1.S1_at	ELMO/CED-12 domain containing 3	ELMOD3	4.16E-05	-2.3262	non metastatic down vs metastatic
CfaAffx.29659.1.S1_at	mitochondrial ribosomal protein L41	MRPL41	0.000432107	-2.326	non metastatic down vs metastatic
Cfa.19148.1.S1_s_at	ribonucleotide reductase M1	RRM1	0.000115708	-2.32234	non metastatic down vs metastatic
Cfa.21314.1.S1_at	tetraspanin 17	TSPAN17	0.000319607	-2.32168	non metastatic down vs metastatic
Cfa.20699.1.S1_s_at	RNA polymerase II associated protein 3	RPAP3	0.000201402	-2.3207	non metastatic down vs metastatic
CfaAffx.8070.1.S1_at	ethylmalonic encephalopathy 1	ETHE1	0.000611066	-2.32068	non metastatic down vs metastatic
Cfa.17790.1.S1_s_at	mediator complex subunit 28	MED28	0.0004657	-2.31429	non metastatic down vs metastatic
CfaAffx.11945.1.S1_s_at	ribonuclease P/MRP 14kDa subunit	RPP14	0.000196335	-2.31407	non metastatic down vs metastatic
CfaAffx.3728.1.S1_s_at	polymerase (RNA) I polypeptide C, 30kDa	POLR1C	0.000806764	-2.31292	non metastatic down vs metastatic
CfaAffx.7065.1.S1_s_at	centrosomal protein 57kDa	CEP57	0.000180958	-2.3116	non metastatic down vs metastatic
Cfa.20712.1.S1_s_at	Vps20-associated 1 homolog (S. cerevisiae)	VTA1	0.000334282	-2.30741	non metastatic down vs metastatic
CfaAffx.24013.1.S1_s_at	similar to Cell growth regulating nucleolar protein	NPM1	8.64E-06	-2.30728	non metastatic down vs metastatic
CfaAffx.21869.1.S1_at	RAN binding protein 1	RANBP1	9.99E-05	-2.30535	non metastatic down vs metastatic
CfaAffx.9541.1.S1_at	spastin	SPAST	1.30E-05	-2.30514	non metastatic down vs metastatic
CfaAffx.12205.1.S1_s_at	ankyrin repeat domain 37	ANKRD37	0.000707278	-2.30191	non metastatic down vs metastatic
Cfa.6853.2.S1_s_at	ubiquitin specific peptidase 12	USP12	0.00029712	-2.29869	non metastatic down vs metastatic
CfaAffx.6112.1.S1_s_at	nucleolar protein 10	NOL10	9.42E-05	-2.29826	non metastatic down vs metastatic
CfaAffx.14800.1.S1_at	ORM1-like 1 (S. cerevisiae)	ORMDL1	0.000121554	-2.29687	non metastatic down vs metastatic
CfaAffx.9933.1.S1_s_at	tRNA methyltransferase 6 homolog (S. cerevisiae)	TRMT6	0.000196335	-2.29618	non metastatic down vs metastatic
Cfa.11793.1.A1_at	similar to Rab9 effector p40	RABEPK	4.17E-06	-2.29371	non metastatic down vs metastatic
Cfa.15528.1.A1_at	phosducin-like	PDCL	0.000243921	-2.29284	non metastatic down vs metastatic
CfaAffx.2493.1.S1_at	similar to H2A histone family, member Y isoform 3	H2AFY	0.000757042	-2.28944	non metastatic down vs metastatic
CfaAffx.24931.1.S1_s_at	lamin B receptor	LBR	0.000118361	-2.28895	non metastatic down vs metastatic
Cfa.16362.1.S1_s_at	polymerase (DNA-directed), delta 3, accessory subunit	POLD3	0.000541146	-2.28845	non metastatic down vs metastatic
CfaAffx.2382.1.S1_s_at	kinesin family member C1	KIFC1	0.000170171	-2.28643	non metastatic down vs metastatic
Cfa.19032.1.S1_at	LSM14A, SCD6 homolog A (S. cerevisiae)	LSM14A	0.000222572	-2.28555	non metastatic down vs metastatic
Cfa.19194.1.S1_s_at	ubiquitin family domain containing 1	UBFD1	0.00018466	-2.27795	non metastatic down vs metastatic
CfaAffx.10031.1.S1_at	coiled-coil domain containing 75	CCDC75	1.14E-05	-2.27578	non metastatic down vs metastatic
Cfa.11625.1.A1_s_at	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	HMGCR	0.000406422	-2.27442	non metastatic down vs metastatic
Cfa.20735.1.S1_s_at	deoxynucleotidyltransferase, terminal, interacting protein 2	DNTTIP2	7.71E-05	-2.27439	non metastatic down vs metastatic
CfaAffx.15522.1.S1_s_at	BH3 interacting domain death agonist	BID	0.00077166	-2.27106	non metastatic down vs metastatic
Cfa.17166.1.S1_at	phosphoenolpyruvate carboxykinase 2 (mitochondrial)	PCK2	0.000900228	-2.27105	non metastatic down vs metastatic
Cfa.6643.1.A1_s_at	LSM12 homolog (S. cerevisiae)	LSM12	2.43E-05	-2.27031	non metastatic down vs metastatic
Cfa.18571.1.S1_s_at	ubiquitin specific peptidase like 1	USPL1	4.76E-05	-2.26956	non metastatic down vs metastatic
Cfa.14569.1.S1_s_at	similar to prefoldin 4 /// prefoldin subunit 4	PFDN4	1.77E-05	-2.26932	non metastatic down vs metastatic
Cfa.20109.1.S1_s_at	similar to D19Bwg1357e protein	D19Bwg1357e	8.10E-05	-2.26659	non metastatic down vs metastatic
CfaAffx.21195.1.S1_at	cell division cycle 27 homolog (S. cerevisiae)	CDC27	8.00E-05	-2.26064	non metastatic down vs metastatic
Cfa.766.1.A1_at	ring finger protein 139	RNF139	0.000476609	-2.25845	non metastatic down vs metastatic
CfaAffx.2684.1.S1_at	similar to UPF0308 protein C9orf21	C9orf21	0.000100684	-2.25711	non metastatic down vs metastatic
Cfa.21090.1.S1_s_at	bromodomain containing 3	BRD3	0.000664299	-2.2568	non metastatic down vs metastatic
CfaAffx.10036.1.S1_s_at	solute carrier family 23 (nucleobase transporters), member 2	SLC23A2	4.61E-05	-2.25471	non metastatic down vs metastatic
Cfa.18363.1.S1_s_at	replication factor C (activator 1) 2, 40kDa	RFC2	1.17E-05	-2.25406	non metastatic down vs metastatic
CfaAffx.13421.1.S1_at	similar to Mannosyl-oligosaccharide glucosidase (Processing A-glucosidase I)	MOGS	0.000568528	-2.24605	non metastatic down vs metastatic
Cfa.3571.1.A1_s_at	cathepsin L2	CTSL2	0.0003904	-2.24431	non metastatic down vs metastatic
Cfa.21474.1.S1_s_at	WD repeat domain 46	WDR46	8.16E-05	-2.24109	non metastatic down vs metastatic
CfaAffx.30097.1.S1_s_at	small nuclear RNA activating complex, polypeptide 4, 190kDa	SNAPC4	0.0001725	-2.24054	non metastatic down vs metastatic
Cfa.15052.1.A1_s_at	tRNA-yW synthesizing protein 1 homolog (S. cerevisiae)	TYW1	0.00026724	-2.23843	non metastatic down vs metastatic
CfaAffx.9018.1.S1_s_at	pitrilysin metallopeptidase 1	PITRM1	0.000186565	-2.23785	non metastatic down vs metastatic
Cfa.4778.1.A1_at	interleukin 10 receptor, beta	IL10RB	8.86E-05	-2.23749	non metastatic down vs metastatic
Cfa.11631.1.A1_s_at	ClpB caseinolytic peptidase B homolog (E. coli)	CLPB	0.000230575	-2.23666	non metastatic down vs metastatic
CfaAffx.20387.1.S1_s_at	UDP-galactose-4-epimerase	GALE	0.000227356	-2.23323	non metastatic down vs metastatic
Cfa.18561.1.S1_s_at	integrator complex subunit 9	INTS9	0.000102049	-2.23317	non metastatic down vs metastatic
Cfa.19814.1.S1_s_at	ring finger protein (C3H2C3 type) 6	RNF6	4.13E-05	-2.23194	non metastatic down vs metastatic
CfaAffx.16276.1.S1_at	similar to Protein KIAA0152 precursor	KIAA0152	0.00032278	-2.23021	non metastatic down vs metastatic
Cfa.5063.1.S1_at	neuromedin B	NMB	0.000177003	-2.22988	non metastatic down vs metastatic
Cfa.14941.1.A1_at	leucine rich repeat containing 45	LRRC45	0.000587853	-2.22962	non metastatic down vs metastatic
CfaAffx.7594.1.S1_at	coiled-coil-helix-coiled-coil-helix domain containing 4	CHCHD4	1.65E-06	-2.22961	non metastatic down vs metastatic
CfaAffx.21675.1.S1_at	pyrophosphatase (inorganic) 1	PPA1	0.000200096	-2.22652	non metastatic down vs metastatic
CfaAffx.8076.1.S1_s_at	solute carrier family 25 (mitochondrial thiamine pyrophosphate carrier), member	SLC25A19	0.000111451	-2.22487	non metastatic down vs metastatic
Cfa.16942.1.S1_at	trans-golgi network protein 2	TGOLN2	0.000835584	-2.22385	non metastatic down vs metastatic
CfaAffx.13881.1.S1_at	endoplasmic reticulum protein 29	ERP29	0.000912331	-2.22226	non metastatic down vs metastatic
CfaAffx.12323.1.S1_at	similar to Proteasome subunit alpha type 1 (Proteasome component C2) (Macropain	PSMA1	0.000566799	-2.22153	non metastatic down vs metastatic
CfaAffx.12645.1.S1_at	similar to KIAA1712	KIAA1712	8.96E-06	-2.21425	non metastatic down vs metastatic
CfaAffx.22977.1.S1_at	PSMC3 interacting protein	PSMC3IP	0.00073238	-2.21316	non metastatic down vs metastatic
Cfa.20937.1.S1_s_at	zinc finger, RAN-binding domain containing 2	ZRANB2	4.76E-05	-2.21316	non metastatic down vs metastatic
Cfa.1889.2.S1_at	metal response element binding transcription factor 2	MTF2	0.000194348	-2.21075	non metastatic down vs metastatic
Cfa.17369.1.S1_at	phosphatidylinositol transfer protein, beta	PITPNB	0.000366517	-2.20914	non metastatic down vs metastatic
Cfa.19709.1.S1_s_at	copine I	CPNE1	0.000973249	-2.20823	non metastatic down vs metastatic
CfaAffx.7190.1.S1_at	SUMO1 activating enzyme subunit 1	SAE1	0.000931197	-2.20736	non metastatic down vs metastatic
Cfa.6966.1.A1_at	ribosomal protein S19 binding protein 1	RPS19BP1	1.43E-05	-2.2044	non metastatic down vs metastatic
CfaAffx.8674.1.S1_at	NTF2-like export factor 1	NXT1	0.000289854	-2.20224	non metastatic down vs metastatic
CfaAffx.9558.1.S1_s_at	similar to prefoldin 1	PFDN1	5.19E-05	-2.19802	non metastatic down vs metastatic
CfaAffx.10600.1.S1_at	pseudouridylate synthase 1	PUS1	6.69E-05	-2.19478	non metastatic down vs metastatic
Cfa.19896.1.S1_at	FIP1 like 1 (S. cerevisiae)	FIP1L1	0.000192511	-2.19373	non metastatic down vs metastatic
CfaAffx.28089.1.S1_at	translocase of inner mitochondrial membrane 44 homolog (yeast)	TIMM44	1.80E-05	-2.19073	non metastatic down vs metastatic
Cfa.5377.1.A1_s_at	PTK2 protein tyrosine kinase 2	PTK2	0.000318716	-2.19067	non metastatic down vs metastatic
CfaAffx.23349.1.S1_at	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)	AKR7A2	0.000819721	-2.19031	non metastatic down vs metastatic
CfaAffx.7724.1.S1_at	transmembrane protein 126B	TMEM126B	7.16E-06	-2.18962	non metastatic down vs metastatic
Cfa.18636.1.S1_s_at	argininosuccinate lyase	ASL	0.000548468	-2.1882	non metastatic down vs metastatic
CfaAffx.27099.1.S1_s_at	interleukin enhancer binding factor 3, 90kDa	ILF3	0.000746693	-2.18221	non metastatic down vs metastatic
CfaAffx.7003.1.S1_at	5-nucleotidase domain containing 1	NT5DC1	0.0006326	-2.18055	non metastatic down vs metastatic
Cfa.9530.1.S1_at	COMM domain containing 2	COMMD2	1.24E-05	-2.17588	non metastatic down vs metastatic
CfaAffx.13793.1.S1_s_at	retinoblastoma-like 1 (p107)	RBL1	0.000656451	-2.17497	non metastatic down vs metastatic
CfaAffx.16629.1.S1_s_at	Ras association (RalGDS/AF-6) domain family member 1	RASSF1	0.000819115	-2.15916	non metastatic down vs metastatic
Cfa.341.1.S1_s_at	aminopeptidase puromycin sensitive	NPEPPS	0.000281002	-2.15807	non metastatic down vs metastatic
CfaAffx.9588.1.S1_s_at	Yip1 domain family, member 4	YIPF4	0.000168604	-2.15563	non metastatic down vs metastatic
CfaAffx.23984.1.S1_at	solute carrier family 35, member E1	SLC35E1	0.000490169	-2.1545	non metastatic down vs metastatic
CfaAffx.11498.1.S1_at	UBX domain protein 2B	UBXN2B	0.000548984	-2.15381	non metastatic down vs metastatic
Cfa.10018.1.A1_s_at	fucosyltransferase 10 (alpha (1,3) fucosyltransferase)	FUT10	0.000506524	-2.15187	non metastatic down vs metastatic
Cfa.18664.1.S1_s_at	exocyst complex component 5	EXOC5	0.00056196	-2.15045	non metastatic down vs metastatic
CfaAffx.23350.1.S1_at	ubiquitously-expressed transcript	UXT	0.000457027	-2.1503	non metastatic down vs metastatic
CfaAffx.30588.1.S1_s_at	ankyrin repeat and SOCS box-containing 6	ASB6	0.00028607	-2.15028	non metastatic down vs metastatic
Cfa.18155.1.S1_s_at	DnaJ (Hsp40) homolog, subfamily A, member 3	DNAJA3	9.93E-05	-2.15013	non metastatic down vs metastatic
CfaAffx.7563.1.S1_at	ADP-ribosylation factor-like 5B	ARL5B	0.000194175	-2.14951	non metastatic down vs metastatic
Cfa.20180.1.S1_s_at	similar to deoxythymidylate kinase (thymidylate kinase)	DTYMK	0.000218271	-2.14823	non metastatic down vs metastatic
