Gene name	Description	Entrez Gene ID	Fold Change	P-value
lonp2	Lon peptidase 2, peroxisomal	494030	2.25	8.66E-09
lpin1	Lipin 1	556810	2.12	4.06E-14
lypla3	Lysophospholipase 3	335008	1.84	0
maf	V-maf musculoaponeurotic fibrosarcoma (avian) oncogene homolog	114467	2.77	2.87E-10
maff	V-maf musculoaponeurotic fibrosarcoma oncogene homolog f (avian)	393307	1.72	0.00001
mafk	V-maf musculoaponeurotic fibrosarcoma oncogene homolog K (avian)	415133	2.82	0.00002
map3k7ip1	Mitogen-activated protein kinase kinase kinase 7 interacting protein 1	403084	1.54	4.30E-15
mcl1a	Myeloid cell leukemia sequence 1a	58122	1.61	6.79E-13
mcl1b	Myeloid cell leukemia sequence 1b	373102	1.81	0
mcoln1	Mucolipin 1	406689	1.61	3.61E-07
mfng	Manic fringe homolog	493633	1.98	4.20E-45
mfsd4	Major facilitator superfamily domain containing 4	393503	1.82	8.05E-20
mgea5	Meningioma expressed antigen 5 (hyaluronidase)	324487	1.67	3.60E-22
mgrn1	Mahogunin, ring finger 1	334260	1.58	0
mhc1uea	Major histocompatibility complex class I UEA gene	64885	496.71	0
mhc1ufa	Major histocompatibility complex class I UFA gene	64886	195.69	0
mknk2	MAP kinase-interacting serine/threonine kinase 2	373121	1.68	3.09E-12
mkrn1	Makorin, ring finger protein, 1	170782	1.53	3.53E-17
mmp13	Matrix metalloproteinase 13	387293	2.23	5.18E-28
mmp9	Matrix metalloproteinase 9	406397	3.33	0
mos	V-mos Moloney murine sarcoma viral oncogene homolog	402817	1.55	1.62E-23
mospd1	Motile sperm domain containing 1	406678	1.88	7.92E-19
ms4a4a	Membrane-spanning 4-domains, subfamily A, member 4	550363	2.33	2.36E-19
mst1	Macrophage stimulating 1 (hepatocyte growth factor-like)	259260	2.28	3.93E-23
msxd	Muscle segment homeobox D	30531	1.8	6.19E-32
mtx3	Metaxin 3	402916	2.04	5.09E-25
mxc	Myxovirus (influenza virus) resistance C	360145	1.85	3.22E-07
mycb	Myelocytomatosis oncogene b	393141	1.95	0
myo9b	Myosin IXb	322219	1.65	9.77E-08
myod	Myogenic differentiation	30513	1.68	3.13E-40
nbr1	Neighbor of BRCA1 gene 1	337168	2.53	4.22E-36
ncf1	Neutrophil cytosolic factor 1	378966	1.94	0
ncf4	Neutrophil cytosolic factor 4	403014	1.91	4.62E-26
ndel1b	NudE nuclear distribution gene E homolog like 1 (A. nidulans) B	333957	1.76	1.07E-10
net1	Neuroepithelial cell transforming gene 1	493607	1.53	6.95E-22
nfkb2	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2, p49/p100	415100	1.62	6.33E-11
nfkbiaa	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha a	406463	1.76	9.00E-06
nfkbiab	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha b	323099	2.34	0
nmi	N-myc (and STAT) interactor	335331	2.57	1.16E-42
nol14	Nucleolar protein 14	321133	2.05	6.51E-11
nos2	Nitric oxide synthase 2, inducible, macrophage	404036	2.61	0
nr0b1	Nuclear receptor subfamily 0, group B, member 1	100008590	1.99	3.29E-14
nr1d1	Nuclear receptor subfamily 1, group d, member 1	494487	2.65	2.18E-10
ns:zf-a329	Ns:zf-a329	335765	3.39	0.00001
nudt4	Nudix (nucleoside diphosphate linked moiety X)-type motif 4	378990	1.61	3.92E-06
ocln	Occludin	405757	1.92	0
pcdh1gb9	Protocadherin 1 gamma b 9	553940	9.75	6.14E-06
pdcd4a	Programmed cell death 4a	406261	1.64	4.69E-18
pdlim2	PDZ and LIM domain 2 (mystique)	560322	1.64	3.76E-13
pfkfb1	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1	327453	1.92	2.20E-06
pim1	Pim-1 oncogene	58054	1.62	1.74E-12
plek	Pleckstrin	393814	1.78	1.96E-10
plk3	Polo-like kinase 3 (Drosophila)	334202	1.73	2.37E-35
proml3	Prominin-like 3	378835	1.76	6.90E-39
ptgds	Prostaglandin D2 synthase	336492	1.67	1.78E-07
ptgisl	Prostaglandin I2 (prostacyclin) synthase like	559148	1.72	0
ptgs2a	Prostaglandin-endoperoxide synthase 2a	246227	2.38	2.79E-41
pth2	Parathyroid hormone 2	405885	1.79	0.00007
ptpn2	Protein tyrosine phosphatase, non-receptor type 2	393438	1.59	2.25E-12
rasgef1b	RasGEF domain family, member 1B	327572	1.95	1.90E-21
rel	V-rel reticuloendotheliosis viral oncogene homolog	415101	1.67	0
reverbb1	Rev erb beta 1	402815	2.32	6.48E-13
rhogb	Ras homolog gene family, member Gb	336933	1.52	0.00002
ripk5	Receptor interacting protein kinase 5	402922	1.56	7.14E-06
rnf11	Ring finger protein 11	393996	2.86	5.58E-32
ros1	V-ros UR2 sarcoma virus oncogene homolog 1 (avian)	245951	1.67	4.31E-15
RP71-15H20.7	Novel protein similar to vertebrate heat shock 70kDa protein 1B (HSPA1B)	798846	1.85	6.54E-14
samsn1	SAM domain, SH3 domain and nuclear localisation signals, 1	336695	1.92	2.50E-06
sb:cb1022	Sb:cb1022	387311	1.66	9.78E-15
sb:cb1050	Sb:cb1050	394208	3.69	4.55E-23
sb:cb124	Sb:cb124	321111	1.67	2.63E-07
sb:cb26	Sb:cb26	321046	3.3	2.01E-20
sb:cb444	Sb:cb444	321258	1.92	3.99E-09
sb:cb606	Sb:cb606	321320	1.7	9.49E-11
sdc4l	Syndecan 4 like	568593	1.89	1.60E-10
sec14l1	SEC14-like 1 (S. cerevisiae)	394073	1.58	4.88E-14
sepp1b	Selenoprotein P, plasma, 1b	352932	4.71	0
serpinb1l1	Serpin peptidase inhibitor, clade B (ovalbumin), member 1, like 1	494155	2.02	2.46E-20
setdb2	SET domain, bifurcated 2	335153	1.52	9.56E-22
sgcb	Sarcoglycan, beta (dystrophin-associated glycoprotein)	559788	2.28	4.62E-07
sgsh	N-sulfoglucosamine sulfohydrolase (sulfamidase)	326759	1.71	7.60E-32
si:busm1-6a2.1	Si:busm1-6a2.1	368398	1.68	1.55E-11
si:ch211-117m20.5	Si:ch211-117m20.5	321361	2.29	1.05E-22
si:ch211-11c20.1	Si:ch211-11c20.1	568060	1.97	6.70E-07
si:ch211-154o6.6	Si:ch211-154o6.6	564061	3.33	0
si:ch211-216l23.1	Si:ch211-216l23.1	566696	1.83	3.72E-07
si:ch211-217k17.11	Si:ch211-217k17.11	336692	3.78	2.71E-14
si:ch211-218c6.6	Si:ch211-218c6.6	492676	1.59	1.41E-15
si:ch211-233a1.1	Si:ch211-233a1.1	323148	2.87	3.64E-40
si:ch211-233a1.1	Si:ch211-233a1.1	323148	2.17	1.12E-19
si:ch211-238e6.5	Si:ch211-238e6.5	556894	1.6	4.01E-13
si:ch211-244b2.3	Si:ch211-244b2.3	557230	1.71	1.09E-15
si:ch211-244b2.4	Si:ch211-244b2.4	336755	1.63	3.16E-19
si:ch211-260g14.8	Si:ch211-260g14.8	558139	2.05	8.18E-08
si:ch211-284a13.1	Si:ch211-284a13.1	564009	3.66	0
si:ch211-284e13.2	Si:ch211-284e13.2	368367	1.54	1.68E-08
si:dkey-110k5.6	Si:dkey-110k5.6	324415	1.72	1.79E-08
si:dkey-14d8.21	Si:dkey-14d8.21	558317	2.01	0.00009
si:dkey-14d8.5	Si:dkey-14d8.5	557810	2.09	0
si:dkey-15j16.2	Si:dkey-15j16.2	555775	2.06	1.05E-08
si:dkey-181o6.1	Si:dkey-181o6.1	568893	1.73	3.01E-16
si:dkey-192p21.4	Si:dkey-192p21.4	337862	13.4	1.44E-16
si:dkey-222b8.2	Si:dkey-222b8.2	567959	1.52	1.56E-08
si:dkey-30c15.13	Si:dkey-30c15.13	558731	1.74	2.89E-14
si:dkey-42i9.4	Si:dkey-42i9.4	336454	2.12	0
si:dkey-44g23.7	Si:dkey-44g23.7	448873	1.63	1.37E-15
si:dkeyp-84a8.1	Si:dkeyp-84a8.1	565795	1.64	2.84E-06
si:dkeyp-89c11.2	Si:dkeyp-89c11.2	557184	2.01	4.04E-07
si:rp71-57j15.4	Si:rp71-57j15.4	561007	2.81	1.83E-09
si:xx-packtrz.4	Si:xx-packtrz.4	368656	1.75	0
sirt3	Sirtuin (silent mating type information regulation 2 homolog) 3 (S. cerevisiae)	558775	1.91	9.05E-13
slc13a1	Solute carrier family 13 (sodium/sulphate symporters), member 1	387592	1.94	6.23E-07
slc13a2	Solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2	406537	1.68	7.96E-33
slc15a1	Solute carrier family 15 (oligopeptide transporter), member 1	325936	2.41	3.34E-09
slc16a9a	Solute carrier family 16 (monocarboxylic acid transporters), member 9a	393382	1.74	3.98E-19
slc25a43	Solute carrier family 25, member 43	368427	2.02	6.10E-32
slc26a11	Solute carrier family 26, member 11	327138	1.63	1.02E-10
slc26a5	Solute carrier family 26, member 5	322846	1.61	2.51E-07
slc2a12	Solute carrier family 2 (facilitated glucose transporter), member 12	393510	1.85	0.00001
slc34a2a	Solute carrier family 34 (sodium phosphate), member 2a	58148	6.03	0
slc6a13	Solute carrier family 6 (neurotransmitter transporter, GABA), member 13	368923	1.77	0.00001
smcr8	Smith-Magenis syndrome chromosome region, candidate 8 homolog (human)	407723	1.69	0.00004
socs3	Suppressor of cytokine signaling 3	335409	5.26	0
sox19a	SRY-box containing gene 19a	30038	1.7	1.62E-10
sox3	SRY-box containing gene 3	30529	1.53	2.94E-12
sox4b	SRY (sex determining region Y)-box 4b	393875	1.68	3.43E-21
spns1	Spinster homolog 1 (Drosophila)	170963	1.63	0
spry4	Sprouty (Drosophila) homolog 4	114437	1.8	4.68E-07
stard10	START domain containing 10	393189	2.25	1.31E-21
stmn1	Stathmin 1	378957	1.87	2.56E-08
tat	Tyrosine aminotransferase	322424	1.66	8.47E-13
tax1bp1	Tax1 (human T-cell leukemia virus type I) binding protein 1	324152	1.66	4.90E-33
tax1bp1	Tax1 (human T-cell leukemia virus type I) binding protein 1	324152	1.61	4.11E-15
taz	Tafazzin	321965	1.62	1.40E-23
tdh	L-threonine dehydrogenase	406528	1.6	4.53E-07
tlr22	Toll-like receptor 22	403135	1.77	1.44E-15
tlr5a	Toll-like receptor 5a	403138	1.85	2.86E-13
tlr5b	Toll-like receptor 5b	403139	1.96	2.47E-34
tnfa	Tumor necrosis factor a (TNF superfamily, member 2)	405785	2.42	1.64E-24
tnfb	Tumor necrosis factor b (TNF superfamily, member 2)	554167	1.78	4.41E-23
tnk2	Tyrosine kinase, non-receptor, 2	335487	1.62	2.04E-16
tnw	Tenascin W	30234	1.54	0.00002
tob1b	Transducer of ERBB2, 1b	406245	1.62	4.19E-06
tpsn	Tapasin	30163	1.62	6.19E-09
trpv6	Transient receptor potential cation channel, subfamily V, member 6	415109	1.58	5.61E-11
txnip	Thioredoxin interacting protein	368359	2.1	2.80E-45
txnipl	Thioredoxin interacting protein, like	448858	2.66	1.01E-13
ucp2l	Uncoupling protein 2, like	393324	2.85	0
ucp4	Uncoupling protein 4	83908	2.4	3.14E-10
upb1	Ureidopropionase, beta	322660	1.57	1.10E-07
uppl	Uridine phosphorylase, like	393113	5.49	9.56E-14
vamp8	Vesicle-associated membrane protein 8 (endobrevin)	327007	1.56	1.32E-41
vegfa	Vascular endothelial growth factor A	30682	1.69	8.10E-06
vps37a	Vacuolar protein sorting 37A	336368	1.52	1.06E-42
vta1	Vps20-associated 1 homolog (S. cerevisiae)	406414	1.5	1.06E-17
wdfy2	WD repeat and FYVE domain containing 2	492636	1.74	6.01E-15
wdr45	WD repeat domain 45	393200	2.46	0
wu:fa03a10	Wu:fa03a10	334758	1.62	3.61E-10
wu:fa06h01	Wu:fa06h01	334875	3.14	1.48E-15
wu:fa10e05	Wu:fa10e05	334949	2.07	4.92E-14
wu:fa11f09	Wu:fa11f09	335003	1.85	1.22E-11
wu:fa56d06	Wu:fa56d06	337352	1.86	3.98E-07
wu:fa92a05	Wu:fa92a05	336671	1.59	1.84E-08
wu:fa94h07	Wu:fa94h07	336758	3.14	5.07E-06
wu:fa96c08	Wu:fa96c08	337052	2.04	3.22E-09
wu:fb01a11	Wu:fb01a11	337181	2.44	6.76E-32
wu:fb01b03	Wu:fb01b03	337182	2	3.59E-17
wu:fb04a09	Wu:fb04a09	336761	1.69	1.17E-10
wu:fb08f10	Wu:fb08f10	336372	1.98	4.41E-07
wu:fb08h07	Wu:fb08h07	336380	3.25	1.93E-17
wu:fb09g03	Wu:fb09g03	336411	2.3	0.00005
wu:fb09h07	Wu:fb09h07	336413	1.63	5.31E-06
wu:fb09h12	Wu:fb09h12	336415	1.54	0.00006
wu:fb11f10	Wu:fb11f10	336485	2.49	0.00008
wu:fb12g02	Wu:fb12g02	336527	1.84	6.72E-17
wu:fb13h06	Wu:fb13h06	336567	1.9	3.67E-06
wu:fb22g09	Wu:fb22g09	321612	1.94	5.32E-12
wu:fb34a04	Wu:fb34a04	321763	1.77	0.00003
wu:fb39g11	Wu:fb39g11	321970	1.61	2.41E-12
wu:fb44e02	Wu:fb44e02	322029	1.97	4.25E-09
wu:fb48d04	Wu:fb48d04	322054	2.03	1.36E-11
wu:fb51f11	Wu:fb51f11	322153	1.75	3.84E-06
wu:fb55f03	Wu:fb55f03	322284	1.96	8.87E-11
wu:fb58e08	Wu:fb58e08	322341	1.63	7.05E-10
wu:fb60c09	Wu:fb60c09	322410	1.69	7.30E-10
wu:fb66d05	Wu:fb66d05	322585	1.52	3.49E-08
wu:fb68f01	Wu:fb68f01	322638	2.65	1.34E-16
wu:fb69c03	Wu:fb69c03	322653	1.57	6.48E-06
wu:fb70a09	Wu:fb70a09	322678	3.94	0
wu:fb71a06	Wu:fb71a06	322700	1.6	3.13E-26
wu:fb76g01	Wu:fb76g01	322910	1.57	1.07E-06
wu:fb78e03	Wu:fb78e03	322992	1.64	8.14E-09
wu:fb78f05	Wu:fb78f05	322999	2	2.26E-07
wu:fb81c07	Wu:fb81c07	323088	1.88	4.79E-16
wu:fb82f07	Wu:fb82f07	323128	2	9.13E-06
wu:fb82f09	Wu:fb82f09	323130	1.68	0.00009
wu:fb96h10	Wu:fb96h10	323389	1.59	2.24E-15
wu:fc01f10	Wu:fc01f10	323526	3.87	0.00003
wu:fc03d12	Wu:fc03d12	323577	1.5	1.13E-06
wu:fc08f03	Wu:fc08f03	323744	2.02	2.46E-08
wu:fc11g08	Wu:fc11g08	323848	2.43	5.23E-06
wu:fc12b06	Wu:fc12b06	323857	1.59	0.0001
wu:fc14c10	Wu:fc14c10	323923	1.83	1.79E-14
wu:fc17a11	Wu:fc17a11	324025	1.52	9.13E-10
wu:fc19f02	Wu:fc19f02	324127	1.71	1.53E-12
wu:fc21h01	Wu:fc21h01	324212	1.89	2.30E-13
wu:fc22a11	Wu:fc22a11	324223	1.57	4.01E-10
wu:fc23c09	Wu:fc23c09	324268	1.63	0.00007
wu:fc31b01	Wu:fc31b01	324503	1.65	6.50E-09
wu:fc31g04	Wu:fc31g04	324528	1.71	0.00005
wu:fc31g06	Wu:fc31g06	324529	2.82	6.21E-23
wu:fc35e07	Wu:fc35e07	324631	1.68	5.43E-29
wu:fc38f09	Wu:fc38f09	324702	1.7	4.42E-09
wu:fc44a11	Wu:fc44a11	324811	1.82	4.51E-10
wu:fc46a02	Wu:fc46a02	324870	3.36	0.00004
wu:fc49d01	Wu:fc49d01	324954	4.54	7.49E-08
wu:fc51a09	Wu:fc51a09	324996	1.64	4.54E-24
wu:fc51h09	Wu:fc51h09	325029	1.51	1.79E-07
wu:fc54d07	Wu:fc54d07	325076	1.92	4.40E-07
wu:fc55d02	Wu:fc55d02	325097	1.5	1.42E-09
wu:fc58e12	Wu:fc58e12	325190	2.09	8.21E-14
wu:fc62b05	Wu:fc62b05	325247	2.05	5.53E-24
wu:fc62b10	Wu:fc62b10	325250	1.62	4.17E-09
wu:fc67d01	Wu:fc67d01	325335	1.67	7.73E-13
wu:fc70h07	Wu:fc70h07	325376	1.8	1.25E-21
wu:fc93b03	Wu:fc93b03	325620	1.75	0.00003
wu:fc94d12	Wu:fc94d12	325633	1.54	4.51E-08
wu:fd05h06	Wu:fd05h06	386811	1.73	2.16E-10
wu:fd07g01	Wu:fd07g01	325741	1.51	0.00003
wu:fd44b04	Wu:fd44b04	325899	1.6	0.00001
wu:fd44c11	Wu:fd44c11	325903	2.54	1.35E-36
wu:fd44f11	Wu:fd44f11	325909	1.93	6.54E-13
wu:fd51h11	Wu:fd51h11	325964	2.77	0
wu:fd59c01	Wu:fd59c01	326037	2.23	1.50E-07
wu:fd60c08	Wu:fd60c08	326062	2.21	8.03E-11
wu:fd61h08	Wu:fd61h08	326086	1.77	3.42E-14
wu:fe06f11	Wu:fe06f11	326714	1.65	3.53E-08
wu:fe18c08	Wu:fe18c08	326797	1.75	2.85E-11
wu:fe25f07	Wu:fe25f07	326828	2.48	1.01E-11
wu:fi04d10	Wu:fi04d10	327359	1.62	5.75E-14
wu:fi12h07	Wu:fi12h07	327465	1.53	4.25E-06
wu:fi14a03	Wu:fi14a03	327486	2	1.62E-17
wu:fi18d09	Wu:fi18d09	327576	1.58	5.05E-11
wu:fi30c07	Wu:fi30c07	334078	1.86	1.57E-15
wu:fi32b12	Wu:fi32b12	334119	1.64	4.88E-06
wu:fi35d01	Wu:fi35d01	334193	2.46	7.61E-31
wu:fi35e03	Wu:fi35e03	334196	2.03	9.07E-09
wu:fi36c02	Wu:fi36c02	334211	1.52	1.66E-09
wu:fi38a11	Wu:fi38a11	334257	1.98	0.00003
wu:fi40f02	Wu:fi40f02	334324	1.66	2.35E-07
wu:fj05f05	Wu:fj05f05	335362	1.55	0.00001
wu:fj12f07	Wu:fj12f07	335438	1.59	0.00002
wu:fj14g08	Wu:fj14g08	335462	2.58	5.67E-19
wu:fj15c09	Wu:fj15c09	335468	2.81	1.95E-33
wu:fj16a03	Wu:fj16a03	335475	1.52	0.00002
wu:fj39h09	Wu:fj39h09	335961	2.18	9.08E-34
wu:fj39h09	Wu:fj39h09	335961	1.81	2.37E-06
wu:fj40g04	Wu:fj40g04	335970	2.79	0
wu:fj43a09	Wu:fj43a09	336009	2.28	0
wu:fj44c04	Wu:fj44c04	336034	1.63	3.68E-06
wu:fj45h03	Wu:fj45h03	336052	2.86	0
wu:fj45h03	Wu:fj45h03	336052	1.64	0.00005
wu:fj49c01	Wu:fj49c01	336116	1.6	2.22E-12
wu:fj58c09	Wu:fj58c09	336232	2.02	0
wu:fj61b08	Wu:fj61b08	336279	1.5	2.54E-31
wu:fj62c08	Wu:fj62c08	336298	21.28	4.21E-07
wu:fj62d01	Wu:fj62d01	336300	2.27	2.84E-28
wu:fj66a01	Wu:fj66a01	337392	3.02	0.00006
wu:fj80h11	Wu:fj80h11	337520	1.59	1.93E-14
wu:fj83f06	Wu:fj83f06	337563	1.6	0.00001
wu:fj84d07	Wu:fj84d07	337573	1.63	0.00004
wu:fj97e11	Wu:fj97e11	334509	1.78	3.62E-12
wu:fj98d02	Wu:fj98d02	334523	2	5.86E-33
wu:fk14g08	Wu:fk14g08	337300	2.29	2.44E-23
wu:fk31a07	Wu:fk31a07	336938	2.1	1.86E-06
wu:fk36h04	Wu:fk36h04	336972	2.9	9.87E-15
wu:fk83g11	Wu:fk83g11	335171	1.71	4.23E-11
wu:fk86c01	Wu:fk86c01	335188	1.57	1.01E-19
wu:fl01g01	Wu:fl01g01	335262	2.69	1.44E-07
wu:fl03b09	Wu:fl03b09	335267	2.29	1.69E-13
wu:fl05b04	Wu:fl05b04	335277	1.65	3.72E-10
wu:fp56f09	Wu:fp56f09	337698	1.59	0.00003
xdh	Xanthene dehydrogenase	64265	1.82	7.19E-13
yipf1	Yip1 domain family, member 1	445484	1.7	2.71E-06
ypel3	Yippee-like 3	368214	1.88	8.00E-13
zfand5a	Zinc finger, AN1-type domain 5a	406312	1.87	3.37E-19
zfand5b	Zinc finger, AN1-type domain 5b	393923	1.66	7.22E-15
zgc:100907	Zgc:100907	403037	3.72	0
zgc:100951	Zgc:100951	445228	3.02	2.77E-09
zgc:100975	Zgc:100975	445320	1.75	2.42E-06
zgc:101640	Zgc:101640	492803	1.52	9.25E-07
zgc:101660	Zgc:101660	447898	2	1.23E-31
zgc:101706	Zgc:101706	492786	1.77	6.79E-20
zgc:101710	Zgc:101710	450048	1.85	2.64E-06
zgc:101739	Zgc:101739	447890	1.73	3.84E-07
zgc:101776	Zgc:101776	492763	2.08	3.36E-06
zgc:101785	Zgc:101785	450032	1.55	3.02E-06
zgc:101810	Zgc:101810	493612	1.59	2.15E-10
zgc:101811	Zgc:101811	450028	2.66	0
zgc:101827	Zgc:101827	492513	1.75	8.11E-10
zgc:103419	Zgc:103419	450023	1.72	1.75E-19
zgc:103489	Zgc:103489	494066	1.69	2.19E-08
zgc:103566	Zgc:103566	403071	1.99	1.12E-44
zgc:103619	Zgc:103619	447941	1.9	2.79E-07
zgc:103720	Zgc:103720	492482	2.77	4.66E-08
zgc:110066	Zgc:110066	567578	1.73	2.36E-09
zgc:110290	Zgc:110290	571148	2.25	1.40E-45
zgc:110304	Zgc:110304	550255	1.61	4.25E-09
zgc:110380	Zgc:110380	550353	3.46	0
zgc:110411	Zgc:110411	571309	2.24	1.80E-06
zgc:110459	Zgc:110459	553622	1.9	1.66E-11
zgc:110643	Zgc:110643	553204	1.87	3.37E-10
zgc:110788	Zgc:110788	503601	1.57	7.92E-13
zgc:112043	Zgc:112043	553674	2.2	1.40E-45
zgc:112143	Zgc:112143	550429	13.58	0
zgc:112151	Zgc:112151	550423	2.6	4.17E-18
zgc:112203	Zgc:112203	550400	1.81	0.00006
zgc:112297	Zgc:112297	554137	2.94	6.85E-27
zgc:112302	Zgc:112302	574008	2.08	6.73E-17
zgc:112340	Zgc:112340	554125	1.63	0.00008
zgc:113011	Zgc:113011	553737	1.95	8.84E-10
zgc:113194	Zgc:113194	541435	2.64	1.13E-08
zgc:113362	Zgc:113362	541497	2.07	4.12E-06
zgc:114134	Zgc:114134	565499	1.68	7.01E-11
zgc:114170	Zgc:114170	557352	1.51	5.70E-09
zgc:114184	Zgc:114184	574000	1.52	0.00003
zgc:123165	Zgc:123165	327176	3.37	0
zgc:123218	Zgc:123218	641321	2.57	8.10E-14
zgc:123278	Zgc:123278	641569	3.58	0.00002
zgc:136371	Zgc:136371	322545	2.14	5.58E-09
zgc:136465	Zgc:136465	678591	1.58	4.36E-11
zgc:136612	Zgc:136612	678581	1.68	0.00001
zgc:136708	Zgc:136708	402902	1.51	8.78E-07
zgc:136858	Zgc:136858	678543	1.74	1.38E-09
zgc:152710	Zgc:152710	553394	1.95	2.17E-11
zgc:152866	Zgc:152866	568868	2.34	1.04E-16
zgc:152945	Zgc:152945	767787	12.78	4.10E-14
zgc:153057	Zgc:153057	767798	1.89	8.15E-11
zgc:153121	Zgc:153121	751744	1.71	1.78E-10
zgc:153628	Zgc:153628	768151	1.59	3.60E-14
zgc:153795	Zgc:153795	562009	1.53	4.71E-10
zgc:153860	Zgc:153860	553512	1.52	6.82E-08
zgc:153997	Zgc:153997	572469	3.37	3.32E-12
zgc:154007	Zgc:154007	559784	1.57	0.00004
zgc:154030	Zgc:154030	768159	1.53	0.00004
zgc:154042	Zgc:154042	562008	2.3	5.18E-27
zgc:154075	Zgc:154075	556929	2.15	0
zgc:158245	Zgc:158245	790922	2.26	3.90E-14
zgc:158401	Zgc:158401	562784	1.69	0.00008
zgc:158407	Zgc:158407	64884	238.99	0
zgc:158407	Zgc:158407	64884	31.83	1.05E-15
zgc:162095	Zgc:162095	553256	2.2	2.77E-24
zgc:162183	Zgc:162183	100037314	2.55	6.64E-09
zgc:55815	Zgc:55815	393145	2.03	0
zgc:56123	Zgc:56123	393166	2.59	0
zgc:56184	Zgc:56184	394143	1.69	1.88E-11
zgc:56251	Zgc:56251	335866	1.52	0.00001
zgc:56271	Zgc:56271	393221	2.78	0
zgc:56330	Zgc:56330	324490	1.79	8.65E-10
zgc:56376	Zgc:56376	394070	2.52	7.32E-42
zgc:56417	Zgc:56417	393258	5.55	2.07E-08
zgc:56547	Zgc:56547	393266	1.77	2.23E-10
zgc:63471	Zgc:63471	327396	1.53	3.20E-07
zgc:63493	Zgc:63493	393569	1.65	8.61E-11
zgc:63526	Zgc:63526	393405	1.72	4.77E-33
zgc:63532	Zgc:63532	393423	1.57	4.81E-09
zgc:63569	Zgc:63569	321056	1.7	3.53E-13
zgc:63570	Zgc:63570	393408	1.92	0.00001
zgc:63606	Zgc:63606	393412	5.82	0
zgc:63631	Zgc:63631	393440	1.64	8.29E-06
zgc:63633	Zgc:63633	393366	1.84	4.66E-13
zgc:63749	Zgc:63749	394182	1.54	4.62E-13
zgc:63907	Zgc:63907	394112	1.67	0.00003
zgc:64196	Zgc:64196	393391	2.14	2.50E-12
zgc:65788	Zgc:65788	322420	1.99	0
zgc:65831	Zgc:65831	393541	2.65	0
zgc:65861	Zgc:65861	321618	1.65	8.64E-07
zgc:65879	Zgc:65879	393533	1.6	4.67E-07
zgc:65909	Zgc:65909	393504	1.54	2.94E-10
zgc:65997	Zgc:65997	393525	1.73	0.00001
zgc:66195	Zgc:66195	393478	1.97	1.41E-31
zgc:66242	Zgc:66242	393483	1.77	8.90E-07
zgc:66260	Zgc:66260	394158	1.52	4.74E-09
zgc:66340	Zgc:66340	322795	2.7	7.02E-26
zgc:66440	Zgc:66440	393500	1.74	8.64E-15
zgc:66473	Zgc:66473	327497	1.87	2.61E-11
zgc:66475	Zgc:66475	394039	1.63	1.45E-08
zgc:66482	Zgc:66482	386643	2.19	1.98E-15
zgc:73112	Zgc:73112	393799	3.75	8.32E-16
zgc:73226	Zgc:73226	402792	2.39	3.61E-07
zgc:73324	Zgc:73324	393762	4.13	0
zgc:73347	Zgc:73347	406293	3.37	9.51E-21
zgc:76966	Zgc:76966	405805	1.75	2.73E-06
zgc:77002	Zgc:77002	405846	1.51	5.20E-15
zgc:77021	Zgc:77021	406601	2.45	1.70E-10
zgc:77025	Zgc:77025	405840	1.63	3.74E-17
zgc:77038	Zgc:77038	406596	3.19	0
zgc:77057	Zgc:77057	334166	1.59	3.33E-06
zgc:77060	Zgc:77060	431765	3.88	0
zgc:77076	Zgc:77076	405825	1.72	6.46E-07
zgc:77094	Zgc:77094	406466	1.95	2.08E-20
zgc:77292	Zgc:77292	327566	1.54	1.86E-06
zgc:77358	Zgc:77358	402928	2.98	8.34E-08
zgc:77387	Zgc:77387	324010	12.39	9.81E-17
zgc:77513	Zgc:77513	324373	1.67	7.97E-23
zgc:77713	Zgc:77713	402894	1.88	1.72E-15
zgc:77714	Zgc:77714	321465	2.28	0
zgc:77751	Zgc:77751	393819	4.33	0
zgc:77806	Zgc:77806	402991	1.84	3.94E-07
zgc:77817	Zgc:77817	402960	1.56	3.27E-09
zgc:77825	Zgc:77825	402940	1.67	1.43E-06
zgc:77855	Zgc:77855	393836	1.84	0
zgc:77868	Zgc:77868	336159	1.65	0
zgc:77880	Zgc:77880	393865	1.5	5.35E-11
zgc:77882	Zgc:77882	323671	1.84	4.80E-15
zgc:85611	Zgc:85611	406368	2.35	1.19E-06
zgc:85723	Zgc:85723	406559	1.96	1.75E-11
zgc:85763	Zgc:85763	338247	2.23	1.52E-30
zgc:85829	Zgc:85829	406561	1.67	8.95E-09
zgc:85857	Zgc:85857	335842	1.55	7.02E-12
zgc:85866	Zgc:85866	403033	3.97	0
zgc:85969	Zgc:85969	405850	1.79	7.38E-06
zgc:86757	Zgc:86757	415223	2.39	0
zgc:91814	Zgc:91814	445085	1.57	2.38E-18
zgc:91835	Zgc:91835	431748	1.79	7.66E-18
zgc:91868	Zgc:91868	445073	2.4	0
zgc:91908	Zgc:91908	431726	1.63	1.07E-10
zgc:92038	Zgc:92038	445093	1.63	3.42E-07
