Curated Gene Symbol	gene_symbol	A? (Log2 Ratio)	A?AL (Log2 Ratio)	AL (Log2 Ratio)	RefSeq	description
		-0.09	-1.13	-0.25		Hypothetical protein
C8A	C8A	0.08	-1.13	0.36	NM_000562	Complement component C8 alpha chain precursor. [Source:Uniprot/SWISSPROT;Acc:P07357]
		0.26	-1.13	1.07		36 kDa protein [Source:IPI;Acc:IPI00480031]
		1.07	-1.13	0.18		Hypothetical protein
		0.23	-1.13	0.5	XM_495891,XM_061890,XM_210184	52 kDa protein [Source:IPI;Acc:IPI00413099]
HRH4	HRH4	0.71	-1.13	0.45	NM_021624	Histamine H4 receptor (HH4R) (GPRv53) (G-protein coupled receptor 105) (GPCR105) (SP9144) (AXOR35). [Source:Uniprot/SWISSPROT;Acc:Q9H3N8]
		0.33	-1.13	-0.45	XM_497563	-
SCN5A	SCN5A	0.52	-1.13	0.92	NM_000335,NM_198056	Sodium channel protein type V alpha subunit (Voltage-gated sodium channel alpha subunit Nav1.5) (Sodium channel protein, cardiac muscle alpha-subunit) (HH1). [Source:Uniprot/SWISSPROT;Acc:Q14524]
	Q9H5F0_HUMAN	0.58	-1.12	0.22		-
	Q8NBH1_HUMAN	-0.42	-1.12	-0.19		-
TRIM38	TRIM38	-0.3	-1.12	-0.1	NM_006355	Tripartite motif protein 38 (RING finger protein 15) (Zinc finger protein RoRet). [Source:Uniprot/SWISSPROT;Acc:O00635]
		1.19	-1.12	1.38		23 kDa protein [Source:IPI;Acc:IPI00402189]
		-0.47	-1.12	0.61		Hypothetical protein
DEFB129	DEFB129	0.07	-1.12	0.19	NM_080831	Beta-defensin 129 precursor (Beta-defensin 29) (DEFB-29) (UNQ5794/PRO19599). [Source:Uniprot/SWISSPROT;Acc:Q9H1M3]
		0.07	-1.12	-0.19		Similar to NADH dehydrogenase subunit 2
		-0.36	-1.12	-0.35		11 kDa protein [Source:IPI;Acc:IPI00478455]
		-0.2	-1.11	0.6	NM_024974,XM_496191	PREDICTED: similar to hypothetical protein FLJ11800 [Source:RefSeq_peptide;Acc:XP_496191]
		0.65	-1.11	0.99	XM_056680	PREDICTED: hypothetical protein XP_056680 [Source:RefSeq_peptide;Acc:XP_056680]
GJB6	GJB6	-0.31	-1.11	0.37	NM_006783	Gap junction beta-6 protein (Connexin 30) (Cx30). [Source:Uniprot/SWISSPROT;Acc:O95452]
		-0.45	-1.11	0.33	NM_030967	-
		0.02	-1.11	1.76	XM_379164	-
		-0.01	-1.11	1.4	XM_372878	-
AGAP2	CENTG1	-0.43	-1.11	0.15	NM_014770	Centaurin gamma 1. [Source:Uniprot/SWISSPROT;Acc:Q99490]
		-0.4	-1.11	-0.32	XM_498485	-
	Q5VU36_HUMAN	0.67	-1.1	-0.07	XM_372094,NM_015667	Novel protein. [Source:Uniprot/SPTREMBL;Acc:Q5VU36]
		0.15	-1.1	0.08		Non-protein coding transcript
		0.02	-1.1	0.05	NM_138803	-
		-0.17	-1.1	-0.45	XM_496144	PREDICTED: similar to zinc finger protein 267; zinc finger (C2H2) [Source:RefSeq_peptide;Acc:XP_496144]
POU4F1	POU4F1	0.37	-1.1	0.62	NM_006237	POU domain, class 4, transcription factor 1 (Brain-specific homeobox/POU domain protein 3A) (Brn-3A) (Oct-T1) (Homeobox/POU domain protein RDC-1). [Source:Uniprot/SWISSPROT;Acc:Q01851]
RNASE1	RNASE1	1.02	-1.1	0.8	NM_198235,NM_002933,NM_198234,NM_198232	Ribonuclease pancreatic precursor (EC 3.1.27.5) (RNase 1) (RNase A) (RNase UpI-1) (RIB-1) (HP-RNase). [Source:Uniprot/SWISSPROT;Acc:P07998]
		0.07	-1.1	0.34		14 kDa protein [Source:IPI;Acc:IPI00514536]
		0.54	-1.1	0.11	NM_182504	Williams-Beuren syndrome critical region 28 [Source:RefSeq_peptide;Acc:NP_872310]
MRO	MRO	0.17	-1.1	-0.09	NM_031939	maestro [Source:RefSeq_peptide;Acc:NP_114145]
PTPRU	PTPRU	0.1	-1.1	0.03	NM_005704,NM_133177,NM_133178	Receptor-type tyrosine-protein phosphatase U precursor (EC 3.1.3.48) (R-PTP-U) (Protein-tyrosine phosphatase J) (PTP-J) (Pancreatic carcinoma phosphatase 2) (PCP-2). [Source:Uniprot/SWISSPROT;Acc:Q92729]
		0.55	-1.1	1.23	NM_178429	-
KLHL1	KLHL1	1.15	-1.1	-0.25	NM_020866	Kelch-like protein 1. [Source:Uniprot/SWISSPROT;Acc:Q9NR64]
ZBTB3	ZBTB3	-0.48	-1.09	0.52	NM_024784	Zinc finger and BTB domain containing protein 3. [Source:Uniprot/SWISSPROT;Acc:Q9H5J0]
		0.01	-1.09	-0.26	XM_498699	-
		-0.23	-1.09	2.53		Non-protein coding transcript
		0.3	-1.09	0.11	XM_497908	-
ANKRD20A11P	C21orf81	-0.25	-1.09	-0.07	XM_496266,NM_153750	-
RFTN2	C2orf11	0.02	-1.09	0.09	NM_144629	-
		-0.34	-1.08	-0.47	NM_001007534	-
RABEP2	RABEP2	0.36	-1.08	-0.44	NM_024816	Rab GTPase binding effector protein 2 (Rabaptin-5beta). [Source:Uniprot/SWISSPROT;Acc:Q9H5N1]
		0.18	-1.08	0.98	NM_173571	-
		0.56	-1.08	0.26	XM_497354	-
		0.4	-1.08	0.1	NM_024078	-
		-0.43	-1.08	-0.47	NM_203309	-
		0.14	-1.08	-0.29		Hypothetical protein
		2.2	-1.08	0.7		Hypothetical protein
		0.16	-1.07	-0.28	XM_496637	-
		-0.04	-1.07	0.29		Hypothetical protein
RCOR1	RCOR1	-0.16	-1.07	-0.14	NM_015156	REST corepressor 1 [Source:RefSeq_peptide;Acc:NP_055971]
GPATCH4	GPATC4	0.41	-1.07	0.54	NM_015590,NM_182679,NM_017725	G patch domain containing 4 protein isoform 1 [Source:RefSeq_peptide;Acc:NP_056405]
	Q5VY54_HUMAN	0.39	-1.07	0.54		PREDICTED: similar to family with sequence similarity 35, member A [Source:RefSeq_peptide;Acc:XP_290185]
PIK3C2A	PIK3C2A	-0.2	-1.07	-0.24	NM_002645	phosphoinositide-3-kinase, class 2, alpha polypeptide [Source:RefSeq_peptide;Acc:NP_002636]
		-0.48	-1.07	-0.2	XM_378925	-
PPBP	PPBP	0.55	-1.07	0.29	NM_002704	Platelet basic protein precursor (PBP) (Small inducible cytokine B7) (CXCL7) (Leukocyte-derived growth factor) (LDGF) (Macrophage-derived growth factor) (MDGF) [Contains: Connective-tissue activating peptide III (CTAP-III) (Low-affinity platelet factor IV
CRYAA	CRYAA	0.42	-1.07	1.61	NM_000394	Alpha crystallin A chain (Heat-shock protein beta-4) (HspB4). [Source:Uniprot/SWISSPROT;Acc:P02489]
		0.45	-1.06	1.46	NM_001005356,NM_001004053,NM_001005357,NM_207513	protein expressed in prostate, ovary, testis, and placenta 14 isoform POTE-14C [Source:RefSeq_peptide;Acc:NP_001005357]
TAF8	TBN	-0.13	-1.06	1.31	NM_138572	taube nuss [Source:RefSeq_peptide;Acc:NP_612639]
		0.11	-1.06	0.43		18 kDa protein [Source:IPI;Acc:IPI00414210]
		-0.08	-1.06	0.12		Hypothetical protein
DGAT1	DGAT1	0.08	-1.06	-0.45	NM_012079	Diacylglycerol O-acyltransferase 1 (EC 2.3.1.20) (Diglyceride acyltransferase) (ACAT related gene product 1). [Source:Uniprot/SWISSPROT;Acc:O75907]
		-0.11	-1.06	-0.4	XM_498964	-
		0.28	-1.06	-0.16	XM_372028,XM_372030	-
		1.05	-1.06	-0.16		10 kDa protein [Source:IPI;Acc:IPI00478322]
		0.03	-1.06	-0.22	XM_498409	-
ASB11	ASB11	0.46	-1.05	-0.18	NM_001012428	Ankyrin repeat and SOCS box protein 11 (ASB-11). [Source:Uniprot/SWISSPROT;Acc:Q8WXH4]
		1.59	-1.05	-0.14		Hypothetical protein
SRGAP1	SRGAP1	-0.04	-1.05	-0.22	NM_020762	SLIT-ROBO Rho GTPase activating protein 1 (srGAP1) (Rho-GTPase- activating protein 13). [Source:Uniprot/SWISSPROT;Acc:Q7Z6B7]
	Q9P1B8_HUMAN	1	-1.05	0.17		-
SLC1A2	SLC1A2	0.29	-1.05	-0.36	NM_004171	Excitatory amino acid transporter 2 (Sodium-dependent glutamate/aspartate transporter 2). [Source:Uniprot/SWISSPROT;Acc:P43004]
		0.66	-1.05	-0.18	NM_181623	keratin associated protein 15-1 [Source:RefSeq_peptide;Acc:NP_853654]
ATF6B	CREBL1	0.2	-1.05	1.09	NM_004381	Cyclic-AMP-dependent transcription factor ATF-6 beta (Activating transcription factor 6 beta) (ATF6-beta) (cAMP responsive element binding protein-like 1) (cAMP response element binding protein-related protein) (Creb-rp) (G13 protein). [Source:Uniprot/SWI
		-0.08	-1.04	0.89	NM_182626	-
		0.29	-1.04	-0.17	NM_152325	-
		0.5	-1.04	0.02		Hypothetical protein
OR7C2	OR7C2	0.29	-1.04	0.17	NM_012377	Olfactory receptor 7C2 (Olfactory receptor 19-18) (OR19-18). [Source:Uniprot/SWISSPROT;Acc:O60412]
		0.48	-1.04	2.14	XM_168055	-
		0.3	-1.04	0.97	NM_001004054,NM_001005364,NM_001005359	-
OR5AS1	OR5AS1	0.75	-1.04	-0.34	NM_001001921	Olfactory receptor 5AS1. [Source:Uniprot/SWISSPROT;Acc:Q8N127]
		-0.41	-1.04	-0.22	XM_498866	-
		0.01	-1.04	-0.26	NM_018917,NM_032053	-
		0.01	-1.04	0.59	NM_001001702	-
OR1D4	OR1D4	1.24	-1.03	-0.43	NM_014566	Olfactory receptor 1D5 (Olfactory receptor 17-31) (OR17-31). [Source:Uniprot/SWISSPROT;Acc:P58170]
	Q96HM8_HUMAN	0.38	-1.03	-0.07		-
ZNF384	ZNF384	0.11	-1.03	0.11	NM_133476	Zinc finger protein 384 (Nuclear matrix transcription factor 4) (CAG repeat protein 1). [Source:Uniprot/SWISSPROT;Acc:Q8TF68]
		0.81	-1.03	0.68	XM_374069	-
		0.02	-1.03	-0.1	XM_498761	-
AQP6	AQP6	0.55	-1.03	0.17	NM_053286,NM_001652	Aquaporin 6 (Aquaporin-2 like) (hKID). [Source:Uniprot/SWISSPROT;Acc:Q13520]
	Q9UI58_HUMAN	0.13	-1.03	-0.01		-
TAGAP	TAGAP	0.64	-1.03	-0.32	NM_054114,NM_152133	T-cell activation Rho GTPase-activating protein isoform a [Source:RefSeq_peptide;Acc:NP_687034]
BOK	BOK	0.11	-1.02	-0.03	NM_032515	Bcl-2 related ovarian killer protein (Hbok). [Source:Uniprot/SWISSPROT;Acc:Q9UMX3]
KRT13	KRT13	0.71	-1.02	0.9	NM_153490,NM_002274	Keratin, type I cytoskeletal 13 (Cytokeratin 13) (K13) (CK 13). [Source:Uniprot/SWISSPROT;Acc:P13646]
		0.72	-1.02	-0.39	XM_371592	PREDICTED: similar to RIKEN cDNA D630023F18 [Source:RefSeq_peptide;Acc:XP_371592]
KCNJ15	KCNJ15	-0.05	-1.02	0.62	NM_170737,NM_002243,NM_170736	ATP-sensitive inward rectifier potassium channel 15 (Potassium channel, inwardly rectifying, subfamily J, member 15) (Inward rectifier K(+) channel Kir4.2) (Kir1.3). [Source:Uniprot/SWISSPROT;Acc:Q99712]
	Q86XG3_HUMAN	-0.38	-1.02	0.13		DNAJC13 protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q86XG3]
KCNK13	KCNK13	-0.18	-1.02	0.82	NM_022054	Potassium channel subfamily K member 13 (Tandem pore domain halothane inhibited potassium channel 1) (THIK-1). [Source:Uniprot/SWISSPROT;Acc:Q9HB14]
IFNA1	IFNA1	-0.33	-1.02	0.19	NM_024013	Interferon alpha-1/13 precursor (Interferon alpha-D) (LeIF D). [Source:Uniprot/SWISSPROT;Acc:P01562]
		0.53	-1.02	-0.29	XM_375308,XM_496134	similar to FLJ12363 protein [Source:RefSeq_peptide;Acc:NP_001012391]
		-0.21	-1.02	-0.07	NM_003318	-
		1.41	-1.02	0.29	NM_175884	-
EP300	EP300	-0.26	-1.02	-0.25	NM_001429	E1A-associated protein p300 (EC 2.3.1.48). [Source:Uniprot/SWISSPROT;Acc:Q09472]
MFNG	MFNG	0.71	-1.02	0.67	NM_002405	Beta-1,3-N-acetylglucosaminyltransferase manic fringe (EC 2.4.1.222) (O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase). [Source:Uniprot/SWISSPROT;Acc:O00587]
RAB9B	RAB9B	-0.17	-1.02	-0.46	NM_016370	Ras-related protein Rab-9B (Rab-9L) (RAB9-like protein). [Source:Uniprot/SWISSPROT;Acc:Q9NP90]
		0.86	-1.02	0.76	NM_182489	STRA8 [Source:RefSeq_peptide;Acc:NP_872295]
HTR5A	HTR5A	-0.21	-1.02	-0.34	NM_024012	5-hydroxytryptamine 5A receptor (5-HT-5A) (Serotonin receptor 5A) (5- HT-5). [Source:Uniprot/SWISSPROT;Acc:P47898]
		1.39	-1.02	-0.27		Hypothetical protein
		-0.2	-1.02	-0.35	NM_152770	-
		-0.21	-1.01	0.37	XM_376616,XM_379844,XM_376615,XM_379843	-
PBXIP1	PBXIP1	-0.27	-1.01	-0.39	NM_020524	pre-B-cell leukemia transcription factor interacting protein 1 [Source:RefSeq_peptide;Acc:NP_065385]
	Q14180_HUMAN	-0.42	-1.01	-0.47		NF1 gene homologue protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q14180]
	TTC6_HUMAN	0.81	-1.01	-0.25	NM_001007795	Tetratricopeptide repeat protein 6 (TPR repeat protein 6). [Source:Uniprot/SWISSPROT;Acc:Q86TZ1]
NXF3	NXF3	0.59	-1.01	-0.46	NM_022052	Nuclear RNA export factor 3 (TAP-like protein 3) (TAPL-3). [Source:Uniprot/SWISSPROT;Acc:Q9H4D5]
		-0.28	-1.01	-0.45		Non-protein coding transcript
		0.66	-1.01	-0.09		Non-protein coding transcript
		0.39	-1.01	0.06		Non-protein coding transcript
	Q96J52_HUMAN	-0.36	-1.01	-0.3		Vang-like 1. [Source:Uniprot/SPTREMBL;Acc:Q96J52]
HAVCR1	HAVCR1	0.52	-1.01	-0.2	NM_012206	hepatitis A virus cellular receptor 1 [Source:RefSeq_peptide;Acc:NP_036338]
		0.18	-1.01	0.24	XM_497445	-
		0.14	-1.01	0	NM_001005354,NM_018457,NM_001005355	-
		-0.22	-1.01	-0.04	XM_172968	-
	Q8N9N3_HUMAN	0.07	-1	1.88		-
TAS2R41	TAS2R41	-0.07	-1	0.09	NM_176883	Taste receptor type 2 member 41 (T2R41) (T2R59). [Source:Uniprot/SWISSPROT;Acc:P59536]
AGXT2L1	AGXT2L1	0.72	-1	-0.32	NM_031279	alanine-glyoxylate aminotransferase 2-like 1 [Source:RefSeq_peptide;Acc:NP_112569]
APOC3	APOC3	0.67	-1	-0.35	NM_000040,XM_496537	Apolipoprotein C-III precursor (Apo-CIII) (ApoC-III). [Source:Uniprot/SWISSPROT;Acc:P02656]
OR7C1	OR7C1	0.69	-1	-0.27	NM_198944	Olfactory receptor 7C1 (Olfactory receptor TPCR86). [Source:Uniprot/SWISSPROT;Acc:O76099]
		0.67	-1	-0.28		32 kDa protein [Source:IPI;Acc:IPI00145278]
		0.61	-1	-0.41		15 kDa protein [Source:IPI;Acc:IPI00478952]
		0.46	-0.99	-0.14	NM_173658	zinc finger protein 660 [Source:RefSeq_peptide;Acc:NP_775929]
	Q96NR0_HUMAN	-0.33	-0.99	-0.31		-
TAS2R50	TAS2R50	-0.46	-0.99	0.12	NM_176890	Taste receptor type 2 member 50 (T2R50) (T2R51). [Source:Uniprot/SWISSPROT;Acc:P59544]
CD226	CD226	0.56	-0.99	-0.32	NM_006566	CD226 antigen precursor (DNAX accessory molecule-1) (DNAM-1). [Source:Uniprot/SWISSPROT;Acc:Q15762]
CRYAB	CRYAB	0.04	-0.99	-0.34	NM_001885	Alpha crystallin B chain (Alpha(B)-crystallin) (Rosenthal fiber component) (Heat-shock protein beta-5) (HspB5). [Source:Uniprot/SWISSPROT;Acc:P02511]
		0.43	-0.99	-0.02		Non-protein coding transcript
		1.06	-0.99	1.32		Splice Isoform 3 of GTPase activating Rap/Ran-GAP domain-like 1 [Source:IPI;Acc:IPI00456721]
TTTY11	TTTY11	0.04	-0.99	-0.47	NR_001548	Transcript Y 11 protein. [Source:Uniprot/SWISSPROT;Acc:Q9BZ99]
		0.24	-0.99	0.03	XM_498893	-
OPRM1	OPRM1	0.93	-0.98	-0.25	NM_001008505,NM_001008503,NM_001008504,NM_000914	Mu-type opioid receptor (MOR-1). [Source:Uniprot/SWISSPROT;Acc:P35372]
		-0.37	-0.98	0.7	XM_379395	-
GPHA2	GPHA2	0.36	-0.98	0.39	NM_130769	Glycoprotein hormone alpha 2 precursor (Thyrostimulin alpha subunit). [Source:Uniprot/SWISSPROT;Acc:Q96T91]
		-0.19	-0.98	-0.03	NM_152448	-
OR4E2	OR4E2	1.31	-0.98	2.13	NM_001001912	Olfactory receptor 4E2. [Source:Uniprot/SWISSPROT;Acc:Q8NGC2]
		-0.34	-0.98	-0.49		-
CYP7A1	CYP7A1	0.31	-0.98	-0.25	NM_000780	Cytochrome P450 7A1 (Cholesterol 7-alpha-monooxygenase) (CYPVII) (EC 1.14.13.17) (Cholesterol 7-alpha-hydroxylase). [Source:Uniprot/SWISSPROT;Acc:P22680]
MED15	PCQAP	1.58	-0.98	0.97	NM_001003891,NM_015889	Positive cofactor 2 glutamine/Q-rich-associated protein (PC2 glutamine/Q-rich-associated protein) (TPA-inducible gene-1) (TIG-1) (Activator-recruited cofactor 105 kDa component) (ARC105) (CTG repeat protein 7a). [Source:Uniprot/SWISSPROT;Acc:Q96RN5]
		0	-0.98	0.08	XM_498484,XM_498482,XM_498480,XM_498479	-
		0.29	-0.98	-0.38		Hypothetical protein
ARMC4	ARMC4	0.05	-0.98	-0.28	NM_018076	armadillo repeat containing 4 [Source:RefSeq_peptide;Acc:NP_060546]
		0	-0.98	0.62		Hypothetical protein
TIMM8A	TIMM8A	-0.42	-0.98	0.13	NM_004085	Mitochondrial import inner membrane translocase subunit TIM8 A (Deafness dystonia protein 1) (X-linked deafness dystonia protein). [Source:Uniprot/SWISSPROT;Acc:O60220]
	MRGRD_HUMAN	0.59	-0.98	-0.26	NM_198923	Mas-related G-protein coupled receptor member D (Beta-alanine receptor) (G-protein coupled receptor TGR7). [Source:Uniprot/SWISSPROT;Acc:Q8TDS7]
		-0.02	-0.98	0.74	NM_080665	-
		1.56	-0.98	0.09	XM_498553	-
		0.07	-0.98	-0.15	XM_496607	-
ARID5A	ARID5A	0.39	-0.98	0.84	NM_212481,NM_006673	AT rich interactive domain 5A isoform 1 [Source:RefSeq_peptide;Acc:NP_997646]
		-0.06	-0.98	0.01	NM_145237	similar to RNA polymerase I transcription factor RRN3 [Source:RefSeq_peptide;Acc:NP_660280]
		0.5	-0.97	0.18		Human betaretrovirus isolate Es177-3 env and sag genes, partial cds
		0.02	-0.97	-0.46		hlucCP+ luciferase reporter protein
NPY5R	NPY5R	-0.1	-0.97	-0.37	NM_006174	Neuropeptide Y receptor type 5 (NPY5-R) (NPY-Y5 receptor) (Y5 receptor) (NPYY5). [Source:Uniprot/SWISSPROT;Acc:Q15761]
OR2A42	OR2A42	0.17	-0.97	-0.42	NM_001001802	Olfactory receptor 2A1. [Source:Uniprot/SWISSPROT;Acc:Q8NGT9]
	GSTO2_HUMAN	0.5	-0.97	-0.43	NM_183239	Glutathione transferase omega 2 (EC 2.5.1.18). [Source:Uniprot/SWISSPROT;Acc:Q9H4Y5]
DYNLRB2	DNCL2B	0.39	-0.97	0.41	NM_130897	Dynein light chain 2B, cytoplasmic. [Source:Uniprot/SWISSPROT;Acc:Q8TF09]
WDFY3	WDFY3	-0.47	-0.97	0.14	NM_014991,NM_178585	WD repeat and FYVE domain containing 3 isoform 2 [Source:RefSeq_peptide;Acc:NP_848698]
	Q96EM6_HUMAN	-0.3	-0.97	0.28		-
	ENK11_HUMAN	-0.21	-0.97	0.26		HERV-K_22q11.21 provirus ancestral Env polyprotein (Envelope polyprotein) (HERV-K101 envelope protein) [Contains: Surface protein (SU); Transmembrane protein (TM)]. [Source:Uniprot/SWISSPROT;Acc:P61566]
SLC18B1	C6orf192	0.35	-0.97	0.12	NM_052831	-
KBTBD10	KBTBD10	0.62	-0.97	0.03	NM_006063	Kelch repeat and BTB domain containing protein 10 (Kelch-related protein 1) (Kel-like protein 23) (Sarcosin). [Source:Uniprot/SWISSPROT;Acc:O60662]
SLC5A11	SLC5A11	-0.04	-0.96	0.99	NM_052944	solute carrier family 5 (sodium/glucose cotransporter), member 11 [Source:RefSeq_peptide;Acc:NP_443176]
COL18A1-AS1	C21orf123	0.67	-0.96	0.32	NM_199175	-
		0.85	-0.96	0.59	NM_182578	-
PSD	PSD	-0.35	-0.96	-0.32	NM_002779	pleckstrin and Sec7 domain containing [Source:RefSeq_peptide;Acc:NP_002770]
		0.06	-0.96	-0.34	XM_496620	-
		0.09	-0.96	-0.17		Hypothetical protein
CCT6B	CCT6B	0.28	-0.96	0.45	NM_006584	T-complex protein 1, zeta-2 subunit (TCP-1-zeta-2) (CCT-zeta-2) (TCP- 1-zeta-like) (CCT-zeta-like) (Testis-specific Tcp20) (Testis-specific protein TSA303). [Source:Uniprot/SWISSPROT;Acc:Q92526]
WNT8B	WNT8B	0.54	-0.96	0.68	NM_003393	Wnt-8b protein precursor. [Source:Uniprot/SWISSPROT;Acc:Q93098]
	Q96ME0_HUMAN	-0.26	-0.96	-0.18	NM_152531	-
PDE6H	PDE6H	-0.27	-0.96	-0.28	NM_006205	Retinal cone rhodopsin-sensitive cGMP 3,5-cyclic phosphodiesterase gamma-subunit (EC 3.1.4.17) (GMP-PDE gamma). [Source:Uniprot/SWISSPROT;Acc:Q13956]
EPS8L1	EPS8L1	-0.24	-0.96	0.58	NM_133180	epidermal growth factor receptor pathway substrate 8-like protein 1 isoform c [Source:RefSeq_peptide;Acc:NP_631943]
		0.59	-0.96	-0.03		Hypothetical protein
		-0.29	-0.96	0.82	XM_376243	-
		-0.47	-0.96	0.41		27 kDa protein [Source:IPI;Acc:IPI00412350]
		-0.18	-0.96	-0.45	XM_498844	-
NFATC2	NFATC2	-0.25	-0.95	1.1	NM_012340,NM_173091	Nuclear factor of activated T-cells, cytoplasmic 2 (T cell transcription factor NFAT1) (NFAT pre-existing subunit) (NF-ATp). [Source:Uniprot/SWISSPROT;Acc:Q13469]
	Q9H399_HUMAN	1.23	-0.95	0.66		-
HUS1B	HUS1B	-0.09	-0.95	-0.25	NM_148959	HUS1 checkpoint protein B [Source:RefSeq_peptide;Acc:NP_683762]
	ROXAN_HUMAN	-0.05	-0.95	-0.35	NM_017590	Rotavirus X associated non-structural protein (RoXaN). [Source:Uniprot/SWISSPROT;Acc:Q9UGR2]
		1.19	-0.95	0.59		Hypothetical protein
ATF7IP2	ATF7IP2	-0.28	-0.95	-0.48	NM_024997	activating transcription factor 7 interacting protein 2 [Source:RefSeq_peptide;Acc:NP_079273]
		0.95	-0.95	-0.37	NM_001001789	-
		0.54	-0.95	-0.14		-
FAM217A	C6orf146	-0.4	-0.95	-0.15	NM_173563	-
		0.25	-0.95	0.02	NM_198512	diacylglycerol O-acyltransferase 2 like 6 [Source:RefSeq_peptide;Acc:NP_940914]
		0.93	-0.94	0.32	NM_001001930,NM_005036,NM_001001928,NM_001001929	Hypothetical protein
FGFRL1	FGFRL1	0.1	-0.94	0.48	NM_001004356,NM_021923,NM_001004358	fibroblast growth factor receptor-like 1 precursor [Source:RefSeq_peptide;Acc:NP_001004358]
ELMOD1	ELMOD1	0.05	-0.94	-0.19	NM_018712	ELMO domain containing 1 [Source:RefSeq_peptide;Acc:NP_061182]
SPATA9	SPATA9	-0.32	-0.94	-0.2	NM_031952	spermatogenesis associated 9 [Source:RefSeq_peptide;Acc:NP_775496]
FLCN	FLCN	0.43	-0.94	0.31	NM_144997	folliculin isoform 1 [Source:RefSeq_peptide;Acc:NP_659434]
SLC38A4	SLC38A4	-0.29	-0.94	-0.41		solute carrier family 38, member 4 [Source:RefSeq_peptide;Acc:NP_060488]
PFKL	PFKL	-0.47	-0.94	-0.27	NM_001002021	6-phosphofructokinase, liver type (EC 2.7.1.11) (Phosphofructokinase 1) (Phosphohexokinase) (Phosphofructo-1-kinase isozyme B) (PFK-B). [Source:Uniprot/SWISSPROT;Acc:P17858]
		-0.11	-0.94	-0.27	NM_007333	-
		0.71	-0.94	-0.26	NM_207505	-
		0.81	-0.94	-0.02	XM_372676	-
		-0.02	-0.94	0.68	NM_024730	-
		-0.12	-0.94	-0.46		20 kDa protein [Source:IPI;Acc:IPI00477153]
		0.07	-0.94	-0.36	NM_173795	-
		0.14	-0.94	-0.04	XM_497623	47 kDa protein [Source:IPI;Acc:IPI00552494]
NOV	NOV	0.54	-0.94	1.45	NM_002514	NOV protein homolog precursor (NovH) (Nephroblastoma overexpressed gene protein homolog). [Source:Uniprot/SWISSPROT;Acc:P48745]
	Q5QNZ1_HUMAN	-0.23	-0.94	0.6	NM_174896	-
MME	MME	-0.2	-0.93	-0.26	NM_007289,NM_000902,NM_007287,NM_007288	Neprilysin (EC 3.4.24.11) (Neutral endopeptidase) (NEP) (Enkephalinase) (Common acute lymphocytic leukemia antigen) (CALLA) (Neutral endopeptidase 24.11) (CD10). [Source:Uniprot/SWISSPROT;Acc:P08473]
		-0.11	-0.93	-0.21		Hypothetical protein
HRH1	HRH1	0.12	-0.93	-0.19	NM_000861	Histamine H1 receptor. [Source:Uniprot/SWISSPROT;Acc:P35367]
CORIN	CORIN	0.11	-0.93	-0.42	NM_006587	Atrial natriuteric peptide-converting enzyme (EC 3.4.21.-) (pro-ANP- converting enzyme) (Corin) (Heart specific serine proteinase ATC2). [Source:Uniprot/SWISSPROT;Acc:Q9Y5Q5]
		0.64	-0.93	-0.41	NM_024595	-
WDR31	WDR31	0.45	-0.93	-0.01	NM_145241	WD-repeat protein 31. [Source:Uniprot/SWISSPROT;Acc:Q8NA23]
ROPN1	ROPN1	0.87	-0.93	-0.19	XM_042178	AKAP-binding sperm protein ropporin [Source:RefSeq_peptide;Acc:NP_001012337]
GBP6	GBP6	1.36	-0.93	-0.14	NM_198460	guanylate binding protein family, member 6 [Source:RefSeq_peptide;Acc:NP_940862]
MYPN	MYPN	-0.16	-0.93	-0.48		myopalladin [Source:RefSeq_peptide;Acc:NP_115967]
		-0.18	-0.93	0.07	XM_352847	PREDICTED: hypothetical protein XP_352847 [Source:RefSeq_peptide;Acc:XP_352848]
		0.12	-0.93	0.83		Non-protein coding transcript
		0.03	-0.92	0.51	XM_498515	-
		1.33	-0.92	1.01	XM_059051	-
NAPG	NAPG	0.12	-0.92	0.46	NM_003826	Gamma-soluble NSF attachment protein (SNAP-gamma) (N-ethylmaleimide- sensitive factor attachment protein, gamma). [Source:Uniprot/SWISSPROT;Acc:Q99747]
USP28	USP28	0.45	-0.92	0.33	NM_020886	Ubiquitin carboxyl-terminal hydrolase 28 (EC 3.1.2.15) (Ubiquitin thiolesterase 28) (Ubiquitin-specific processing protease 28) (Deubiquitinating enzyme 28). [Source:Uniprot/SWISSPROT;Acc:Q96RU2]
		-0.22	-0.92	-0.38	XM_378562	-
IL1R1	IL1R1	0.08	-0.92	0.7	NM_000877	Interleukin-1 receptor, type I precursor (IL-1R-1) (IL-1R-alpha) (P80) (Antigen CD121a). [Source:Uniprot/SWISSPROT;Acc:P14778]
		-0.17	-0.92	0.27	XM_166971	-
	LIRA4_HUMAN	0.12	-0.92	0.04	NM_012276	Leukocyte immunoglobulin-like receptor subfamily A member 4 precursor (Immunoglobulin-like transcript 7) (ILT-7) (CD85g antigen). [Source:Uniprot/SWISSPROT;Acc:P59901]
