Probeset	Symbol	Name	Asym		Sym		p53Sym		FC	pfp	Localization
NM_008598_at	Mgmt	O-6-methylguanine-DNA methyltransferase	8.56	P	7.54	P	8.07	! PA	1.02	0.029	cytoplasmic
NM_181409_at	Mtmr11	myotubularin related protein 11	8.02	P	7.01	P	8	P	1.01	0.029	cytoplasmic
NM_025378_at	Ifitm3	interferon induced transmembrane protein 3	12.24	P	11.23	P	11.13	P	1.01	0.03	multipass
NM_011159_at	Prkdc	protein kinase, DNA activated, catalytic polypeptide	7.34	P	6.33	P	6.9	P	1	0.031	cytoplasmic
NM_013701_at	Ugt1a2	UDP glucuronosyltransferase 1 family, polypeptide A2	5.91	P	4.87	! PAA	6.1	P	1.04	0.031	type I
NM_145079_at	Ugt1a6a	UDP glucuronosyltransferase 1 family, polypeptide A6A	5.91	P	4.87	! PAA	6.1	P	1.04	0.031	type I
NM_201410_at	Ugt1a6b	UDP glucuronosyltransferase 1 family, polypeptide A6B	5.91	P	4.87	! PAA	6.1	P	1.04	0.031	type I
NM_201641_at	Ugt1a10	UDP glycosyltransferase 1 family, polypeptide A10	5.91	P	4.87	! PAA	6.1	P	1.04	0.031	multipass
NM_201642_at	Ugt1a7c	UDP glucuronosyltransferase 1 family, polypeptide A7C	5.91	P	4.87	! PAA	6.1	P	1.04	0.031	type I
NM_201643_at	Ugt1a5	UDP glucuronosyltransferase 1 family, polypeptide A5	5.91	P	4.87	! PAA	6.1	P	1.04	0.031	multipass
NM_201644_at	Ugt1a9	UDP glucuronosyltransferase 1 family, polypeptide A9	5.91	P	4.87	! PAA	6.1	P	1.04	0.031	type I, type II
NM_201645_at	Ugt1a1	UDP glucuronosyltransferase 1 family, polypeptide A1	5.91	P	4.87	! PAA	6.1	P	1.04	0.031	type I
NM_008576_at	Abcc1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	9.7	P	8.7	P	9.5	P	0.99	0.03	multipass
NM_133741_at	Snrk	SNF related kinase	8.43	! MMM	7.42	! MMM	7.55	! MA	1.02	0.03	type II
NM_197986_at	Tmem140	transmembrane protein 140	5.73	P	4.71	! PMA	5.55	P	1.02	0.03	multipass
XM_907047_at	D630023B12Rik	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 1 mRNA, 53 ESTs, 4 Proteins	9.02	P	8	P	9.1	P	1.03	0.03	type II
NM_175124_at	Lrrc28	leucine rich repeat containing 28	7.69	P	6.69	P	6.85	P	1.01	0.03	cytoplasmic
NM_013872_at	Pmm1	phosphomannomutase 1	9.75	P	8.75	P	8.75	P	1	0.031	cytoplasmic
NM_001142957_at	Gm4455	predicted gene 4455	9.16	P	8.13	P	8.74	P	1.04	0.031	cytoplasmic
NM_028149_at	Fbxl20	F-box and leucine-rich repeat protein 20	8.02	P	7.01	P	7.23	P	1.01	0.031	cytoplasmic
NM_176841_at	Ccdc88a	coiled coil domain containing 88A	8.51	P	7.47	P	8.11	P	1.04	0.031	cytoplasmic
XM_001002633_at	Wdr81	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 4 mRNAs, 134 ESTs, 4 Proteins	9.38	P	8.39	P	8.83	P	0.99	0.032	type II
NM_015728_at	Slc33a1	solute carrier family 33 (acetyl-CoA transporter), member 1	8.13	P	7.09	P	7.39	P	1.04	0.032	multipass
NM_008410_at	Itm2b	integral membrane protein 2B	12.16	P	11.16	P	11.68	P	1	0.032	cytoplasmic, type II
NM_009263_at	Spp1	secreted phosphoprotein 1	11.94	P	10.9	P	12.28	P	1.04	0.033	secreted
NM_023785_at	Ppbp	pro-platelet basic protein	7.18	P	6.15	P	7.55	P	1.03	0.033	secreted
NM_026619_at	Gsto2	glutathione S-transferase omega 2	5.25	P	4.26	A	6.31	P	0.99	0.033	cytoplasmic
NM_182927_at	Spred3	sprouty-related, EVH1 domain containing 3	6.62	P	5.64	! MPA	5.98	P	0.98	0.033	cytoplasmic
NM_001113527_at	Isg20	interferon-stimulated protein	6.95	P	5.97	A	7.33	P	0.98	0.033	cytoplasmic, type II
NM_001145801_at	Ctla2b	cytotoxic T lymphocyte-associated protein 2 beta	4.64	P	3.65	! PAA	5.57	P	0.99	0.033	cytoplasmic
NM_053177_at	Mcoln1	mucolipin 1	8.59	P	7.6	P	8.89	P	0.98	0.033	multipass
NM_009404_at	Tnfsf9	tumor necrosis factor (ligand) superfamily, member 9	6.98	P	5.99	P	6.55	P	0.99	0.033	type II
NM_025833_at	Baiap2l1	BAI1-associated protein 2-like 1	8.31	P	7.28	P	7.81	P	1.03	0.033	cytoplasmic
XM_905706_at	BC043476	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 3 mRNAs, 23 ESTs, 1 Protein	5.12	P	4.12	P	4.03	P	1.01	0.033	cytoplasmic
NM_011170_at	Prnp	prion protein	11.74	P	10.75	P	11.53	P	0.99	0.033	multipass
NM_013477_at	Atp6v0d1	ATPase, H+ transporting, lysosomal V0 subunit D1	11.09	P	10.12	P	10.18	P	0.98	0.033	cytoplasmic
NM_001081333_at	Plekhg4	pleckstrin homology domain containing, family G (with RhoGef domain) member 4	7.97	P	6.98	P	7.02	P	0.99	0.035	cytoplasmic
NM_001033238_at	Cblb	Casitas B-lineage lymphoma b	7.88	P	6.9	P	7.13	P	0.98	0.035	cytoplasmic
NM_145439_at	Tmc6	transmembrane channel-like gene family 6	5.39	P	4.4	! PAA	4.65	! PA	0.99	0.035	multipass
NM_026058_at	Lass4	LAG1 homolog, ceramide synthase 4	7.57	P	6.6	P	6.47	P	0.96	0.035	multipass
NM_153412_at	Phldb2	pleckstrin homology-like domain, family B, member 2	11.04	P	10.06	P	11.01	P	0.98	0.035	cytoplasmic
NM_019542_at	Nagk	N-acetylglucosamine kinase	8.57	P	7.6	P	8.19	P	0.97	0.035	cytoplasmic
NM_001033217_at	Prickle1	prickle like 1 (Drosophila)	5.6	P	4.6	A	5.57	! PM	1	0.035	cytoplasmic
NM_009667_at	Ampd3	adenosine monophosphate deaminase 3	7.65	P	6.68	P	6.95	P	0.97	0.035	cytoplasmic
NM_010386_at	H2-DMa	histocompatibility 2, class II, locus DMa	7.87	P	6.9	! PPM	7.57	P	0.97	0.035	type I
NM_207298_at	Cercam	cerebral endothelial cell adhesion molecule	6.83	P	5.85	P	6.04	! MP	0.98	0.036	secreted
NM_019472_at	Myo10	myosin X	10.01	P	9.03	P	9.99	P	0.97	0.036	cytoplasmic
NM_001001983_at	Pi4ka	phosphatidylinositol 4-kinase, catalytic, alpha polypeptide	9.33	P	8.37	P	9.26	P	0.96	0.036	cytoplasmic, type II
NM_008721_at	Npdc1	neural proliferation, differentiation and control gene 1	8.89	P	7.93	P	8.49	P	0.96	0.036	type I, type II
NM_009601_at	Chrnb1	cholinergic receptor, nicotinic, beta polypeptide 1 (muscle)	7.3	P	6.33	P	7.33	P	0.97	0.036	multipass
NM_026353_at	Slc48a1	solute carrier family 48 (heme transporter), member 1	9.95	P	8.98	P	9.81	P	0.96	0.036	multipass
NM_009676_at	Aox1	aldehyde oxidase 1	4.97	P	3.96	A	4.33	A	1.01	0.037	cytoplasmic
NM_026162_at	Plxdc2	plexin domain containing 2	5.34	P	4.39	A	4.55	! MA	0.95	0.037	type II
NM_173753_at	Fnip1	folliculin interacting protein 1	8.85	P	7.86	P	8.94	P	0.99	0.037	cytoplasmic
NM_018755_at	Pgcp	plasma glutamate carboxypeptidase	8.85	P	7.87	P	8.68	P	0.98	0.038	secreted, type I
NM_153091_at	St7l	suppression of tumorigenicity 7-like	8.23	P	7.26	P	7.66	P	0.97	0.038	multipass
NM_007670_at	Cdkn2b	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	10.1	P	9.13	P	9.05	P	0.97	0.038	cytoplasmic
NM_008349_at	Il10rb	interleukin 10 receptor, beta	8.81	P	7.86	P	8.11	P	0.95	0.038	type I, type II
NM_010582_at	Itih2	inter-alpha trypsin inhibitor, heavy chain 2	9.29	P	8.29	P	8.86	P	1	0.038	secreted
NM_026823_at	Arl8a	ADP-ribosylation factor-like 8A	8.79	P	7.83	P	8.29	P	0.95	0.039	cytoplasmic
NM_177632_at	Fam43a	family with sequence similarity 43, member A	8.3	P	7.36	P	7.15	P	0.94	0.039	cytoplasmic
NM_010421_at	Hexa	hexosaminidase A	10.95	P	9.99	P	10.3	P	0.96	0.039	secreted
NM_001111312_at	Lrrfip1	leucine rich repeat (in FLII) interacting protein 1	8.42	P	7.47	P	7.73	P	0.95	0.039	cytoplasmic
NM_013546_at	Hebp1	heme binding protein 1	9.25	P	8.3	P	8.19	P	0.95	0.039	cytoplasmic
NM_001122830_at	Klhl26	kelch-like 26 (Drosophila)	9.53	P	8.59	! PPA	8.93	P	0.94	0.039	cytoplasmic
NM_008985_at	Ptprn	protein tyrosine phosphatase, receptor type, N	7.41	P	6.48	A	7.36	! MP	0.94	0.039	type I, type II
NM_007423_at	Afp	alpha fetoprotein	5.12	! PAP	3.67	A	3.81	! PA	1.45	0.039	secreted
XM_001475347_at	0610007N19Rik	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 1 mRNA, 38 ESTs	8.92	P	7.98	P	7.78	P	0.94	0.04	cytoplasmic
NM_001085371_at	Speg	SPEG complex locus	7.66	P	6.72	P	6.89	P	0.94	0.04	cytoplasmic
NM_010156_at	Samd9l	sterile alpha motif domain containing 9-like	6.61	P	5.65	P	6.79	P	0.95	0.04	cytoplasmic
NM_011227_at	Rab20	RAB20, member RAS oncogene family	6.35	P	5.39	P	6.13	! PM	0.96	0.04	cytoplasmic
NM_008127_at	Gjb4	gap junction protein, beta 4	6.71	P	5.78	P	6.55	P	0.94	0.04	multipass
NM_021320_at	Ntn4	netrin 4	7.09	! APP	6.14	A	6.2	A	0.95	0.04	secreted
NM_001111279_at	Wdfy1	WD repeat and FYVE domain containing 1	7.38	P	6.45	P	6.64	P	0.94	0.041	cytoplasmic
NM_133897_at	Lrrc8c	leucine rich repeat containing 8 family, member C	10.19	P	9.25	P	9.99	P	0.93	0.041	multipass
NM_133167_at	Parvb	parvin, beta	8.24	P	7.3	P	7.41	P	0.93	0.041	cytoplasmic, type II
NM_175445_at	Rassf2	Ras association (RalGDS/AF-6) domain family member 2	6.44	P	5.48	P	6.15	P	0.95	0.041	cytoplasmic
NM_011834_at	Aadat	aminoadipate aminotransferase	5.76	P	4.82	A	4.79	A	0.94	0.041	cytoplasmic
NM_025790_at	Acot13	acyl-CoA thioesterase 13	9.83	P	8.88	P	9.82	P	0.94	0.041	cytoplasmic
NM_007471_at	App	amyloid beta (A4) precursor protein	11.08	P	10.15	P	10.99	P	0.93	0.042	secreted, type I
NM_028803_at	Gbe1	glucan (1,4-alpha-), branching enzyme 1	6.46	P	5.51	! PPM	5.76	P	0.95	0.042	cytoplasmic
NM_021273_at	Ckb	creatine kinase, brain	9.34	! AMA	8.42	A	9.34	A	0.92	0.043	cytoplasmic
NM_001029855_at	Psme2	proteasome (prosome, macropain) 28 subunit, beta	11.28	! MMM	10.35	! MMM	11.16	! MM	0.92	0.043	cytoplasmic
NM_001034097_at	Tnfsf12-Tnfsf13	Tnfsf12-tnfsf13 readthrough transcript	5.7	P	4.75	! MPA	4.73	P	0.95	0.043	type II
NM_001159505_at	Tnfsf13	tumor necrosis factor (ligand) superfamily, member 13	5.7	P	4.75	! MPA	4.73	P	0.95	0.043	type II
NM_011026_at	P2rx4	purinergic receptor P2X, ligand-gated ion channel 4	8	P	7.08	P	7.97	P	0.92	0.043	multipass
NM_173444_at	Nbeal1	neurobeachin like 1	6.38	P	5.42	P	6.18	P	0.96	0.043	cytoplasmic
NM_001004150_at	A4galt	alpha 1,4-galactosyltransferase	5.87	A	4.95	A	5.26	A	0.93	0.043	type II
NM_181821_at	Hcfc1r1	host cell factor C1 regulator 1 (XPO1-dependent)	11.27	P	10.35	P	10.8	P	0.92	0.045	cytoplasmic
NM_172399_at	A930038C07Rik	RIKEN cDNA A930038C07 gene	6.09	P	5.13	! APP	6.28	P	0.96	0.045	cytoplasmic, secreted
NM_030066_at	Armcx1	armadillo repeat containing, X-linked 1	8.75	P	7.81	P	8.62	P	0.94	0.045	type II
NM_023122_at	Gpm6b	glycoprotein m6b	5.26	P	4.29	! PAA	4.14	A	0.97	0.045	cytoplasmic, multipass
NM_011019_at	Osmr	oncostatin M receptor	8.6	P	7.66	P	7.57	P	0.93	0.045	type I
NM_009804_at	Cat	catalase	9.59	P	8.66	P	9.07	P	0.93	0.045	cytoplasmic
NM_178406_at	Gpr153	G protein-coupled receptor 153	6.8	! PPA	5.89	A	6.19	A	0.91	0.045	multipass
NM_146067_at	Cpped1	Vcalcineurin-like phosphoesterase domain containing 1	7.99	P	7.06	! PPM	6.99	! PM	0.93	0.045	cytoplasmic
NM_001042558_at	Apaf1	apoptotic peptidase activating factor 1	7.96	P	7.05	P	6.92	P	0.91	0.045	cytoplasmic
NM_021565_at	Midn	midnolin	10.04	P	9.13	P	9.16	P	0.9	0.045	cytoplasmic
NM_172398_at	Akr1b10	aldo-keto reductase family 1, member B10 (aldose reductase)	9.01	P	8.09	P	8.67	P	0.92	0.046	cytoplasmic
NM_177333_at	Exoc3	exocyst complex component 3	9.08	P	8.16	P	9.26	P	0.92	0.047	cytoplasmic
NM_015760_at	Nox4	NADPH oxidase 4	5.61	P	4.7	P	5.14	P	0.91	0.047	multipass
NM_173408_at	Dcun1d3	DCN1, defective in cullin neddylation 1, domain containing 3 (S. cerevisiae)	7.92	P	7.01	P	7.29	P	0.91	0.048	cytoplasmic
NM_026522_at	Chid1	chitinase domain containing 1	6.39	P	5.48	P	6.19	P	0.9	0.048	secreted
NM_053262_at	Hsd17b11	hydroxysteroid (17-beta) dehydrogenase 11	8.08	P	7.17	P	7.33	P	0.91	0.048	type I, multipass
NM_001033409_at	Lgr6	leucine-rich repeat-containing G protein-coupled receptor 6	7.33	P	6.39	P	7.44	P	0.94	0.048	multipass
NM_001044741_at	Cacnb3	calcium channel, voltage-dependent, beta 3 subunit	9.7	P	8.79	P	9.37	P	0.9	0.048	cytoplasmic
NM_001122998_at	Tiam2	T-cell lymphoma invasion and metastasis 2	9.5	P	8.61	P	9.18	P	0.89	0.048	cytoplasmic
NM_019955_at	Ripk3	receptor-interacting serine-threonine kinase 3	9.88	P	8.99	P	9.67	P	0.89	0.048	cytoplasmic
NM_013657_at	Sema3c	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	9.12	P	8.2	P	8.57	P	0.92	0.049	secreted
NM_008329_at	Ifi204	interferon activated gene 204	4.85	P	3.9	! PPA	4.01	P	0.96	0.049	cytoplasmic
NM_025865_at	2310030G06Rik	RIKEN cDNA 2310030G06 gene	7.04	P	6.13	P	6.35	P	0.91	0.049	cytoplasmic
NM_011018_at	Sqstm1	sequestosome 1	12.54	P	11.65	P	12.32	P	0.9	0.05	cytoplasmic
NM_009853_at	Cd68	CD68 antigen	5.45	P	4.53	! PPA	4.31	P	0.92	0.05	type I
NM_009610_at	Actg2	actin, gamma 2, smooth muscle, enteric	10.05	P	9.39	P	5.1	A	5	0	cytoplasmic
NM_001113515_at	Col2a1	collagen, type II, alpha 1	11.58	P	11.91	P	6.86	A	4.7	0.002	cytoplasmic, secreted
NM_009922_at	Cnn1	calponin 1	11.58	P	11.24	P	7.87	P	3.7	0	cytoplasmic
NM_009866_at	Cdh11	cadherin 11	10.35	P	9.56	P	7.17	P	3.2	0	type II
NM_011526_at	Tagln	transgelin	12.7	P	12.45	P	9.7	P	3	0	cytoplasmic
NM_011340_at	Serpinf1	serine (or cysteine) peptidase inhibitor, clade F, member 1	10.76	P	11.32	P	7.75	P	3	0	secreted
NM_001159518_at	Igfbp7	insulin-like growth factor binding protein 7	10.05	P	10.43	P	7.14	P	2.9	0	cytoplasmic
NM_031185_at	Akap12	A kinase (PRKA) anchor protein (gravin) 12	9.33	P	9.46	P	6.6	! PA	2.7	0	cytoplasmic
NM_008216_at	Has2	hyaluronan synthase 2	8.63	P	8.44	P	6.02	P	2.6	0	multipass
NM_026465_at	Prdxdd1	PrdX-deacylase domain 1	6.96	P	7.3	P	4.36	A	2.6	0	cytoplasmic
XM_194370_at	Adamtsl3	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 2 mRNAs, 15 ESTs, 6 Proteins	8.5	P	8.04	P	6.09	! AP	2.4	0	cytoplasmic
NM_153573_at	Fkbp14	FK506 binding protein 14	8.71	P	7.83	P	6.28	P	2.4	0	secreted
NM_009930_at	Col3a1	collagen, type III, alpha 1	8.8	P	9.07	P	6.38	P	2.4	0	secreted
NM_172486_at	Zfp677	zinc finger protein 677	6.44	! MMM	6.16	! MAA	4.17	! MA	2.3	0	cytoplasmic
NM_008695_at	Nid2	nidogen 2	8.16	P	7.93	P	5.87	P	2.3	0	secreted
NM_019631_at	Tmem45a	transmembrane protein 45a	8.46	P	7.67	P	6.21	P	2.2	0	multipass
NM_144810_at	Klhdc8a	kelch domain containing 8A	8.1	P	8.04	P	5.92	P	2.2	0	cytoplasmic
NM_007678_at	Cebpa	CCAAT/enhancer binding protein (C/EBP), alpha	7.31	P	7.71	P	5.15	A	2.2	0	cytoplasmic
NM_011957_at	Creb3l1	cAMP responsive element binding protein 3-like 1	7.85	P	8	P	5.73	A	2.1	0	type II
NM_153782_at	Fam20a	family with sequence similarity 20, member A	6.74	P	7.22	P	4.63	A	2.1	0	secreted
NM_001077694_at	Dysf	dysferlin	7.67	P	6.81	P	5.62	A	2.1	0.001	type II
NM_008381_at	Inhbb	inhibin beta-B	8.42	P	8.28	P	6.45	P	2	0.002	secreted
NM_001034962_at	Sorbs1	sorbin and SH3 domain containing 1	7.46	P	7.1	P	5.51	P	2	0.002	cytoplasmic
NM_144799_at	Lmcd1	LIM and cysteine-rich domains 1	8.09	P	7.62	P	6.09	A	2	0.001	cytoplasmic
NM_009616_at	Adam19	a disintegrin and metallopeptidase domain 19 (meltrin beta)	8.42	P	8.28	P	6.48	P	1.9	0.001	type I, type II
XM_001477025_at	LOC100041799	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 7 ESTs	5.8	A	5.99	! MMM	3.85	! MA	1.9	0.002	cytoplasmic
NM_011607_at	Tnc	tenascin C	10.48	P	10.59	P	8.51	P	2	0.002	secreted
NM_183116_at	1110021L09Rik	RIKEN cDNA 1110021L09 gene	7.81	P	7.97	P	5.89	P	1.9	0.002	type II, multipass
NM_019802_at	Ggcx	gamma-glutamyl carboxylase	7.23	P	6.35	P	5.28	! PA	2	0.002	multipass
NM_009200_at	Slc1a6	solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6	6	! AAP	6.18	! APP	4.02	A	2	0.002	multipass
NM_054044_at	Gpr124	G protein-coupled receptor 124	7.24	P	7.97	P	5.36	A	1.9	0.002	multipass
NM_178929_at	Kazald1	Kazal-type serine peptidase inhibitor domain 1	6.36	P	6.29	P	4.46	A	1.9	0.003	secreted
NM_009670_at	Ank3	ankyrin 3, epithelial	7.28	P	6.94	P	5.46	P	1.8	0.004	cytoplasmic
NM_011706_at	Trpv2	transient receptor potential cation channel, subfamily V, member 2	7.86	P	7.18	P	6	! PA	1.9	0.003	multipass
NM_198860_at	AI646023	expressed sequence AI646023	8.1	P	7.91	P	6.22	P	1.9	0.003	cytoplasmic
NM_001039071_at	Ldb3	LIM domain binding 3	6.33	P	5.56	P	4.52	! PA	1.8	0.004	cytoplasmic
XM_001475886_at	LOC100046255	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 4 mRNAs, 24 ESTs, 14 Proteins	7.03	P	6.17	! PMP	5.25	A	1.8	0.004	cytoplasmic
NM_009413_at	Tpd52l1	tumor protein D52-like 1	8.31	P	7.95	P	6.57	P	1.7	0.005	cytoplasmic
NM_172051_at	Tmcc3	transmembrane and coiled coil domains 3	9.01	P	9.1	P	7.28	P	1.7	0.005	multipass
NM_013601_at	Msx2	homeobox, msh-like 2	7	P	6.15	! PMM	5.25	A	1.8	0.005	cytoplasmic
NM_026163_at	Pkp2	plakophilin 2	8.71	P	8.47	P	6.98	P	1.7	0.005	cytoplasmic
NM_001159533_at	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	7.87	P	7.57	P	6.17	P	1.7	0.006	cytoplasmic, multipass
NM_133187_at	1110032E23Rik	RIKEN cDNA 1110032E23 gene	8.29	P	8.07	P	6.58	P	1.7	0.006	cytoplasmic
NR_003642_at	2900062L11Rik	RIKEN cDNA 2900062L11 gene	6.58	P	7.08	P	4.9	P	1.7	0.006	type II
NM_021422_at	Dnaja4	DnaJ (Hsp40) homolog, subfamily A, member 4	6.49	P	6.06	P	4.79	A	1.7	0.006	cytoplasmic
NM_172900_at	Siglecg	sialic acid binding Ig-like lectin G	8.49	P	9.13	P	6.82	P	1.7	0.006	secreted, type I
NM_001085500_at	Cisd3	CDGSH iron sulfur domain 3	6.81	A	6.23	A	5.14	A	1.7	0.007	cytoplasmic
NM_144942_at	Csad	cysteine sulfinic acid decarboxylase	8.13	P	7.42	P	6.46	P	1.7	0.007	cytoplasmic
NM_026505_at	Bambi	BMP and activin membrane-bound inhibitor, homolog (Xenopus laevis)	6.51	P	6.22	P	4.84	A	1.7	0.007	type II
NM_201518_at	Flrt2	fibronectin leucine rich transmembrane protein 2	8.7	P	8.64	P	7.04	P	1.7	0.007	type I
NM_011581_at	Thbs2	thrombospondin 2	8.41	P	8.26	P	6.76	P	1.7	0.008	secreted
NM_008714_at	Notch1	Notch gene homolog 1 (Drosophila)	7.65	P	6.82	P	5.99	! AP	1.7	0.008	type I
NM_172465_at	Zdhhc9	zinc finger, DHHC domain containing 9	8.08	P	7.37	P	6.44	P	1.6	0.008	multipass
NM_011267_at	Rgs16	regulator of G-protein signaling 16	6.61	P	6.07	P	4.99	A	1.6	0.009	cytoplasmic
NM_007901_at	S1pr1	sphingosine-1-phosphate receptor 1	6.82	P	6.3	! PPM	5.19	A	1.6	0.01	multipass
NM_146131_at	Pbxip1	pre-B-cell leukemia transcription factor interacting protein 1	8.02	P	7.68	P	6.42	P	1.6	0.01	type II
NM_172508_at	Dse	dermatan sulfate epimerase	8.86	P	8.51	P	7.25	P	1.6	0.01	multipass
NM_172393_at	Aim1	absent in melanoma 1	6.96	P	7.22	! PAM	5.36	A	1.6	0.01	cytoplasmic
NM_025287_at	Spop	speckle-type POZ protein	10.12	P	10.7	P	8.52	P	1.6	0.01	cytoplasmic
NM_172637_at	Hectd2	HECT domain containing 2	6.46	P	6.21	P	4.88	P	1.6	0.011	cytoplasmic
XR_001805_at	EG665945	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 4 mRNAs, 68 ESTs, 9 Proteins	8.72	P	8.03	P	7.14	! PA	1.6	0.012	pseudogene
NM_130451_at	Slc2a10	solute carrier family 2 (facilitated glucose transporter), member 10	6.52	P	5.69	P	4.97	P	1.6	0.012	multipass
NM_001079908_at	Fgfr1	fibroblast growth factor receptor 1	8.29	P	7.62	P	6.73	P	1.6	0.012	cytoplasmic, secreted, type I
NM_009144_at	Sfrp2	secreted frizzled-related protein 2	10.66	P	11.29	P	9.09	P	1.6	0.012	secreted
NM_015786_at	Hist1h1c	histone cluster 1, H1c	8.21	P	7.4	P	6.67	P	1.5	0.014	cytoplasmic
NM_145379_at	Mrgprf	MAS-related GPR, member F	8.12	P	7.66	P	6.56	! PA	1.6	0.014	multipass
NM_178066_at	1110012D08Rik	RIKEN cDNA 1110012D08 gene	9.23	P	9.09	P	7.71	P	1.5	0.015	multipass
NM_001083316_at	Pdgfra	platelet derived growth factor receptor, alpha polypeptide	7.54	P	7.06	P	6.02	P	1.5	0.015	secreted, type I
NM_178761_at	Zfp672	zinc finger protein 672	7.98	P	7.4	P	6.47	P	1.5	0.015	cytoplasmic
NM_001081437_at	Fbln2	fibulin 2	11.56	P	11.69	P	10.04	P	1.5	0.015	secreted
NM_001040654_at	Cdkn2a	cyclin-dependent kinase inhibitor 2A	8.8	P	8.11	P	7.29	P	1.5	0.015	cytoplasmic, type II
NM_007742_at	Col1a1	collagen, type I, alpha 1	12.34	P	11.91	P	10.85	P	1.5	0.017	secreted
NM_172753_at	Csgalnact1	chondroitin sulfate N-acetylgalactosaminyltransferase 1	7.53	P	7.53	P	6.05	P	1.5	0.017	type II
NM_009504_at	Vdr	vitamin D receptor	6.52	P	6	P	5.06	A	1.5	0.017	cytoplasmic
XR_033476_at	LOC100047608	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 19 ESTs, 7 Proteins	8.34	! PAP	8.22	! AAP	6.88	A	1.5	0.018	pseudogene
NM_177595_at	Mkx	mohawk homeobox	6.44	P	6.68	P	4.98	P	1.5	0.018	cytoplasmic
NM_029999_at	Lbh	limb-bud and heart	7.74	P	7.05	P	6.26	P	1.5	0.018	cytoplasmic
NM_183254_at	1700025K23Rik	RIKEN cDNA 1700025K23 gene	7.12	P	7.21	P	5.66	! PA	1.5	0.018	cytoplasmic
NM_022814_at	Svep1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	7.29	P	7.54	P	5.81	A	1.5	0.018	secreted
NM_027154_at	Tmbim1	transmembrane BAX inhibitor motif containing 1	9.57	P	8.72	P	8.13	P	1.4	0.02	type II, multipass
XM_125636_at	Tysnd1	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 4 mRNAs, 102 ESTs, 5 Proteins	7.82	P	8.35	P	6.38	! PM	1.4	0.02	cytoplasmic
NM_175096_at	Stbd1	starch binding domain 1	7.89	P	7.95	P	6.46	P	1.4	0.019	secreted
NM_019707_at	Cdh13	cadherin 13	7.61	P	6.72	P	6.19	P	1.4	0.019	secreted, type I
NM_001143776_at	Fam13c	family with sequence similarity 13, member C	5.86	P	5.52	P	4.41	P	1.5	0.02	cytoplasmic
XM_001478817_at	LOC100047749	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 38 ESTs, 4 Proteins	7.86	P	7.67	P	6.44	! PM	1.4	0.019	cytoplasmic
NM_138315_at	Mical1	microtubule associated monoxygenase, calponin and LIM domain containing 1	8.23	P	7.95	P	6.81	P	1.4	0.019	cytoplasmic
NM_010478_at	Hspa1b	heat shock protein 1B	9.64	P	9.25	P	8.22	P	1.4	0.019	cytoplasmic
NM_028454_at	Tm7sf2	transmembrane 7 superfamily member 2	8.21	P	7.93	P	6.77	P	1.4	0.019	type I, multipass
NM_009933_at	Col6a1	collagen, type VI, alpha 1	10.19	P	9.78	P	8.77	P	1.4	0.019	cytoplasmic, secreted
NM_181390_at	Mustn1	musculoskeletal, embryonic nuclear protein 1	8.22	P	7.42	P	6.8	P	1.4	0.019	cytoplasmic
NM_009640_at	Angpt1	angiopoietin 1	7.25	P	7	P	5.79	P	1.5	0.019	secreted
NM_028472_at	Bmper	BMP-binding endothelial regulator	6.92	P	7.48	P	5.5	P	1.4	0.02	cytoplasmic, secreted
NM_011824_at	Grem1	gremlin 1	8.04	P	7.78	P	6.62	P	1.4	0.02	secreted, type II
NM_145978_at	Pdlim2	PDZ and LIM domain 2	9.59	P	8.96	P	8.15	P	1.4	0.02	cytoplasmic
NM_053106_at	Lmod1	leiomodin 1 (smooth muscle)	7.35	! PMP	6.63	A	5.91	A	1.4	0.02	cytoplasmic
NM_198625_at	Mtss1l	metastasis suppressor 1-like	6.41	P	5.79	! PPA	5.01	A	1.4	0.02	cytoplasmic
NM_009003_at	Rab4a	RAB4A, member RAS oncogene family	7.48	P	7.23	P	6.09	P	1.4	0.02	cytoplasmic
NM_001111324_at	Nedd9	neural precursor cell expressed, developmentally down-regulated gene 9	7.13	P	6.55	P	5.72	P	1.4	0.021	cytoplasmic
