Probeset	Symbol	Name	Asym		Sym		p53Sym		FC	pfp	Localization
XM_990990_at	LOC676546	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 1 mRNA, 19 ESTs	6.74	P	7.53	P	6.18	! PM	-0.79	0.036	cytoplasmic
NM_021434_at	Gpr180	G protein-coupled receptor 180	8.57	P	9.35	P	8.01	P	-0.78	0.036	multipass
NM_172570_at	Trim47	tripartite motif-containing 47	8.37	P	9.16	P	8.13	P	-0.79	0.037	cytoplasmic
NM_023565_at	Cse1l	chromosome segregation 1-like (S. cerevisiae)	10.5	P	11.27	P	11.12	P	-0.78	0.037	cytoplasmic
NM_010790_at	Melk	maternal embryonic leucine zipper kinase	9.05	P	9.83	P	9.58	P	-0.77	0.037	type II
NM_010486_at	Elavl2	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)	5.88	P	6.67	P	6.58	P	-0.79	0.037	cytoplasmic
NM_001081077_at	Cwf19l1	CWF19-like 1, cell cycle control (S. pombe)	7.15	P	7.93	P	6.93	P	-0.77	0.037	cytoplasmic
NM_025954_at	Pgp	phosphoglycolate phosphatase	9.78	P	10.55	P	9.27	P	-0.77	0.037	cytoplasmic
NM_028006_at	Tube1	epsilon-tubulin 1	5.37	P	6.14	P	4.81	P	-0.78	0.037	cytoplasmic
NM_145468_at	Skp2	S-phase kinase-associated protein 2 (p45)	8.07	P	8.84	P	8.16	P	-0.78	0.038	cytoplasmic
NM_013787_at	Skp2	S-phase kinase-associated protein 2 (p45)	8.06	P	8.85	P	8.16	P	-0.79	0.037	cytoplasmic
NM_011081_at	Piga	phosphatidylinositol glycan anchor biosynthesis, class A	6.04	P	6.82	P	5.75	P	-0.78	0.037	type II
NM_184052_at	Igf1	insulin-like growth factor 1	5.96	A	6.73	! APP	6.3	A	-0.76	0.038	secreted, type I
NM_144860_at	Mib1	mindbomb homolog 1 (Drosophila)	6.65	P	7.42	P	7.39	P	-0.77	0.038	cytoplasmic
NR_027465_at	Wac	WW domain containing adaptor with coiled-coil	5.8	P	6.59	P	5.67	P	-0.79	0.038	cytoplasmic
NM_133362_at	Erdr1	erythroid differentiation regulator 1	12.67	P	13.45	P	12.73	P	-0.77	0.037	cytoplasmic
XM_001479823_at	Fbxl16	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 3 mRNAs, 31 ESTs, 4 Proteins	6.86	P	7.66	P	7.1	P	-0.79	0.038	cytoplasmic
NM_175122_at	Rab39b	RAB39B, member RAS oncogene family	5.95	P	6.71	P	5.66	P	-0.76	0.038	cytoplasmic
NM_009097_at	Rps6ka1	ribosomal protein S6 kinase polypeptide 1	4.56	A	5.34	A	4.44	A	-0.78	0.038	cytoplasmic
NM_178643_at	C230052I12Rik	RIKEN cDNA C230052I12 gene	7.49	P	8.26	P	7.58	P	-0.77	0.038	cytoplasmic
NM_001109747_at	2610036L11Rik	RIKEN cDNA 2610036L11 gene	8.46	P	9.24	P	8.06	P	-0.77	0.038	cytoplasmic
NM_027113_at	Wdr5b	WD repeat domain 5B	5.49	P	6.27	P	5.27	P	-0.78	0.038	cytoplasmic
NM_133878_at	Rcc1	regulator of chromosome condensation 1	8.39	P	9.17	P	8.27	P	-0.78	0.038	cytoplasmic
NM_012057_at	Irf5	interferon regulatory factor 5	5.61	! PAA	6.37	P	5.91	! AM	-0.77	0.038	cytoplasmic
NM_009171_at	Shmt1	serine hydroxymethyltransferase 1 (soluble)	7.9	P	8.67	P	8.69	P	-0.77	0.038	cytoplasmic
NM_023203_at	Dctpp1	dCTP pyrophosphatase 1	9.26	P	10.03	P	9.63	P	-0.76	0.038	cytoplasmic
NM_027460_at	Slc25a33	solute carrier family 25, member 33	8.32	P	9.08	P	8.05	P	-0.76	0.039	type II
NM_133722_at	Fam108c	family with sequence similarity 108, member C	8.66	P	9.42	P	8.98	P	-0.76	0.04	cytoplasmic
XM_001477942_at	LOC100047340	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 5 mRNAs, 328 ESTs, 4 Proteins	9.77	P	10.51	P	10.21	P	-0.75	0.041	cytoplasmic
NM_027667_at	Arhgap19	Rho GTPase activating protein 19	4.76	! APP	5.5	P	5.49	P	-0.75	0.042	cytoplasmic
NM_009672_at	Anp32a	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	7.91	P	8.67	P	7.97	P	-0.76	0.042	cytoplasmic
NR_024093_at	Zfp91-Cntf	Zfp91-Cntf readthrough transcript	6.75	P	7.5	P	6.55	P	-0.75	0.042	non-coding RNA
NM_019731_at	Nme4	non-metastatic cells 4, protein expressed in	6.25	A	7.01	P	6.12	A	-0.76	0.042	cytoplasmic
NM_008222_at	Hccs	holocytochrome c synthetase	8.55	P	9.31	P	8.34	P	-0.76	0.043	cytoplasmic
XM_984471_at	LOC675709	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 9 mRNAs, 159 ESTs, 20 Proteins	6.86	P	7.63	P	6.59	P	-0.76	0.043	type II
NM_001080926_at	Lrp8	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	6.98	P	7.73	P	7.14	P	-0.76	0.044	type I, type II
NM_145610_at	Ppan	peter pan homolog (Drosophila)	9.14	P	9.89	P	9.17	P	-0.74	0.044	type II
NM_025995_at	Fbxo5	F-box protein 5	9.73	P	10.49	P	10.13	P	-0.76	0.044	cytoplasmic
XR_035448_at	1500011K16Rik	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 1 Protein	8.18	P	8.92	P	8.22	P	-0.74	0.044	cytoplasmic
NM_001013368_at	E2f8	E2F transcription factor 8	6.73	P	7.48	P	7.09	P	-0.75	0.044	cytoplasmic
NM_008276_at	Hoxd8	homeo box D8	7.63	P	8.4	P	6.94	P	-0.77	0.045	cytoplasmic
NM_001042527_at	Blm	Bloom syndrome homolog (human)	7.35	P	8.09	P	7.81	P	-0.75	0.045	cytoplasmic
NR_003278_at	Rn18s	18S ribosomal RNA	5.83	P	7.46	P	6.4	P	-1.63	0.045	18S rRNA
NM_009226_at	Snrpd1	small nuclear ribonucleoprotein D1	10.44	P	11.2	P	10.58	P	-0.75	0.045	cytoplasmic
NM_133719_at	Metrn	meteorin, glial cell differentiation regulator	8.09	P	8.83	P	7.91	P	-0.74	0.045	cytoplasmic, secreted
NM_058214_at	Recql4	RecQ protein-like 4	6.59	P	7.33	P	6.48	P	-0.74	0.046	cytoplasmic, type II
NM_010258_at	Gata6	GATA binding protein 6	5.64	P	6.41	P	5.36	A	-0.76	0.045	cytoplasmic
XM_001474137_at	LOC100043998	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 1 mRNA, 94 ESTs, 1 Protein	8.21	P	9.03	P	8.97	P	-0.83	0.045	cytoplasmic
NM_008892_at	Pola1	polymerase (DNA directed), alpha 1	8.44	P	9.18	P	8.88	P	-0.74	0.045	cytoplasmic
NM_054048_at	Rcor2	REST corepressor 2	5.91	A	6.65	A	6.28	A	-0.73	0.046	cytoplasmic
NM_175542_at	Rttn	rotatin	6.39	P	7.14	P	6.61	! AM	-0.75	0.046	cytoplasmic, type II
NM_016777_at	Nasp	nuclear autoantigenic sperm protein (histone-binding)	7.97	P	8.71	P	8.13	P	-0.74	0.046	cytoplasmic
NM_007999_at	Fen1	flap structure specific endonuclease 1	10.22	P	10.96	P	10.81	P	-0.74	0.047	cytoplasmic
NM_001079824_at	Hnrnph3	heterogeneous nuclear ribonucleoprotein H3	8.12	P	8.85	P	8.23	P	-0.73	0.047	cytoplasmic
NM_172474_at	Tyw3	tRNA-yW synthesizing protein 3 homolog (S. cerevisiae)	5.39	P	6.15	P	6.36	P	-0.76	0.047	cytoplasmic
NM_029580_at	Trmt5	TRM5 tRNA methyltransferase 5 homolog (S. cerevisiae)	7.21	P	7.94	P	7.51	P	-0.73	0.048	cytoplasmic
NM_009873_at	Cdk6	cyclin-dependent kinase 6	6.39	P	7.16	P	6.01	P	-0.77	0.048	cytoplasmic
NM_027297_at	Prpf4	PRP4 pre-mRNA processing factor 4 homolog (yeast)	7.14	P	7.88	P	7.56	P	-0.74	0.049	cytoplasmic
NM_025527_at	Srp19	signal recognition particle 19	10.22	P	10.96	P	10.81	P	-0.74	0.048	cytoplasmic
NM_145465_at	Stk24	serine/threonine kinase 24 (STE20 homolog, yeast)	8.97	P	9.72	P	8.63	P	-0.75	0.049	cytoplasmic
NM_019499_at	Mad2l1	MAD2 mitotic arrest deficient-like 1 (yeast)	11.03	P	11.76	P	11.1	P	-0.73	0.049	cytoplasmic
NM_025427_at	1190002H23Rik	RIKEN cDNA 1190002H23 gene	3.77	! AAP	4.49	P	3.61	A	-0.72	0.049	cytoplasmic
NM_007513_at	Slc7a1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	8.97	P	9.69	P	9.16	P	-0.73	0.05	multipass
NM_023056_at	Tmem176b	transmembrane protein 176B	6.51	P	6.52	P	11.38	P	-4.9	0	multipass
NM_001098271_at	Tmem176a	transmembrane protein 176A	4.93	A	4.93	A	8.69	P	-3.8	0.002	cytoplasmic, multipass
NM_053271_at	Rims2	regulating synaptic membrane exocytosis 2	4.49	! AMM	4.85	! MMA	6.93	! MM	-2.4	0	cytoplasmic
NM_008528_at	Blnk	B-cell linker	7.24	P	7.56	P	9.63	P	-2.4	0	cytoplasmic
NM_053146_at	Pcdhb21	protocadherin beta 21	4.27	! AAM	4.18	A	6.5	P	-2.2	0	type I
NM_008904_at	Ppargc1a	peroxisome proliferative activated receptor, gamma, coactivator 1 alpha	3.8	! APP	3.63	A	5.95	P	-2.2	0.002	cytoplasmic, type II
NM_001033325_at	A630095E13Rik	RIKEN cDNA A630095E13 gene	4.56	! PPA	3.71	A	6.69	P	-2.1	0.002	secreted
NM_172776_at	D630002G06Rik	RIKEN cDNA D630002G06 gene	4.62	P	3.81	A	6.72	P	-2.1	0.002	multipass
XM_989538_at	EG667281	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 1 EST, 2 Proteins	4.98	! PAP	4.5	! PAA	7.07	A	-2.1	0.002	multipass
NM_010743_at	Il1rl1	interleukin 1 receptor-like 1	9.4	P	10.08	P	11.34	P	-1.9	0.002	secreted, type I
NM_001025602_at	Il1rl1	interleukin 1 receptor-like 1	9.89	P	9.42	P	11.35	P	-1.5	0.015	secreted, type I
NM_007752_at	Cp	ceruloplasmin	4.9	P	4.43	! PAA	6.72	P	-1.8	0.006	secreted, type II
NM_001042611_at	Cp	ceruloplasmin	5.12	P	4.63	! PAA	7.01	P	-1.9	0.003	secreted, type II
XR_035041_at	LOC100048759	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 6 mRNAs, 185 ESTs, 9 Proteins	4.77	! AAP	4.2	A	6.56	P	-1.8	0.005	pseudogene
NM_009778_at	C3	complement component 3	4.82	A	4.15	A	6.6	! PM	-1.8	0.006	secreted
NM_001122596_at	A630033H20Rik	RIKEN cDNA A630033H20 gene	4.24	P	4.82	P	5.86	P	-1.6	0.009	multipass
NM_001161483_at	Nol4	nucleolar protein 4	5.25	! PPM	5.26	! MPP	6.96	P	-1.7	0.008	cytoplasmic
NM_011333_at	Ccl2	chemokine (C-C motif) ligand 2	8.16	P	8.39	P	9.75	P	-1.6	0.009	secreted
NM_053142_at	Pcdhb17	protocadherin beta 17	5.5	P	5.94	P	7.06	P	-1.6	0.012	type I
NM_027491_at	Rragd	Ras-related GTP binding D	5.78	P	5.04	! PAA	7.41	P	-1.6	0.013	cytoplasmic
NM_020012_at	Rnf14	ring finger protein 14	8.71	P	9.06	P	10.22	P	-1.5	0.013	cytoplasmic
NM_001080755_at	Zzz3	zinc finger, ZZ domain containing 3	9.18	! MMM	9.44	! MMM	10.62	! MM	-1.4	0.015	cytoplasmic
NM_022996_at	Ndfip1	Nedd4 family interacting protein 1	9.9	P	10	P	11.35	P	-1.5	0.016	multipass
XM_001001192_at	1700011I03Rik	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 1 mRNA, 8 ESTs	4.13	A	4.3	A	5.57	A	-1.4	0.015	cytoplasmic
NM_009701_at	Aqp5	aquaporin 5	6.31	! APA	6.65	! MMA	7.71	P	-1.4	0.016	multipass
XM_287555_at	Thsd7a	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 1 mRNA, 19 ESTs, 2 Proteins	6.9	P	6.81	P	8.3	P	-1.4	0.015	type II
XM_983072_at	Thsd7a	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 1 mRNA, 17 ESTs, 2 Proteins	6.69	P	6.57	P	8.05	P	-1.4	0.02	type II
NM_029667_at	Lce1i	late cornified envelope 1I	4.27	A	4.55	A	5.63	A	-1.4	0.02	cytoplasmic
NM_001161369_at	Ss18	synovial sarcoma translocation, Chromosome 18	9.01	P	9.68	P	10.35	P	-1.3	0.021	cytoplasmic
NM_026864_at	Rasl11a	RAS-like, family 11, member A	6.99	P	6.99	P	8.37	P	-1.4	0.019	cytoplasmic
NM_020261_at	Psg23	pregnancy-specific glycoprotein 23	6.26	! AAM	6.53	! APA	7.55	! MA	-1.3	0.022	secreted
NM_011231_at	Rabggtb	RAB geranylgeranyl transferase, b subunit	10.67	P	11.4	P	11.97	P	-1.3	0.022	cytoplasmic
NM_001013806_at	Ankrd13c	ankyrin repeat domain 13c	7.72	P	8.09	P	9.03	P	-1.3	0.021	cytoplasmic
NM_017381_at	Zranb2	zinc finger, RAN-binding domain containing 2	9.78	P	10.18	P	11.1	P	-1.3	0.022	cytoplasmic
NM_201256_at	Eif4ebp3	eukaryotic translation initiation factor 4E binding protein 3	8.27	P	8.68	P	9.55	P	-1.3	0.022	cytoplasmic
NM_010809_at	Mmp3	matrix metallopeptidase 3	5.89	! PPA	5.15	A	7.29	P	-1.4	0.025	secreted
NM_001037711_at	Cgn	cingulin	5.29	! PAP	5.63	! PPA	6.56	P	-1.3	0.024	cytoplasmic
NM_026040_at	Srfbp1	serum response factor binding protein 1	8.82	P	9.4	P	10.09	P	-1.3	0.024	cytoplasmic
NM_024194_at	Lrrc40	leucine rich repeat containing 40	8.32	P	8.88	P	9.57	P	-1.3	0.024	cytoplasmic
XM_001478852_at	1700086O06Rik	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 3 ESTs	5.48	P	6	P	6.8	P	-1.3	0.028	cytoplasmic
XM_001472173_at	LOC100044534	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 2 mRNAs, 91 ESTs, 4 Proteins	8.78	P	9.33	P	10.01	P	-1.2	0.029	cytoplasmic
NM_175375_at	Ankhd1	ankyrin repeat and KH domain containing 1	6.63	P	6.96	P	7.83	P	-1.2	0.036	cytoplasmic
NM_019809_at	Pdlim5	PDZ and LIM domain 5	7.49	P	7.18	P	8.74	P	-1.2	0.036	cytoplasmic
NM_024179_at	0610009O20Rik	RIKEN cDNA 0610009O20 gene	7.5	P	7.84	P	8.68	P	-1.2	0.037	cytoplasmic
NM_177096_at	B430203M17Rik	RIKEN cDNA B430203M17 gene	5.14	P	5.88	! PPA	6.41	P	-1.3	0.039	cytoplasmic
XR_034463_at	LOC100047967	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 1 mRNA, 108 ESTs, 2 Proteins	7.63	P	8.15	P	8.91	P	-1.3	0.042	pseudogene
NM_010259_at	Gbp1	guanylate binding protein 1	4.07	A	4.1	A	5.23	! PM	-1.2	0.041	multipass
NM_011100_at	Prkacb	protein kinase, cAMP dependent, catalytic, beta	7.37	P	7.76	P	8.52	P	-1.1	0.044	cytoplasmic
NM_001039088_at	Seh1l	SEH1-like (S. cerevisiae	8.81	P	9.31	P	9.96	P	-1.1	0.044	cytoplasmic
NM_028112_at	Seh1l	SEH1-like (S. cerevisiae	7.04	P	7.4	P	8.16	P	-1.1	0.05	cytoplasmic
NM_027371_at	Rpf1	ribosome production factor 1 homolog (S. cerevisiae)	8.77	P	9.39	P	9.91	P	-1.1	0.044	cytoplasmic
NM_033612_at	Cela1	chymotrypsin-like elastase family, member 1	7.6	P	7.05	P	8.77	P	-1.2	0.045	cytoplasmic, secreted
NM_008989_at	Pura	purine rich element binding protein A	7.91	P	8.42	P	9.04	P	-1.1	0.045	cytoplasmic
XM_001474780_at	LOC100040485	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 6 ESTs	6.64	! APP	6.65	! MAA	7.8	P	-1.2	0.045	cytoplasmic
NM_026464_at	Wdr55	WD repeat domain 55	7.8	P	8.41	P	8.92	P	-1.1	0.045	cytoplasmic
NM_001146299_at	Sh3rf2	SH3 domain containing ring finger 2	5.57	P	5.54	P	6.7	P	-1.1	0.046	cytoplasmic
