ProbeUID	ProbeName	GeneName	SystematicName	Description	AverageLog	Average P-value
39116	A_68_P31838835	Gm672	chr18:075823567-075823626	PROMOTER	0.887328505	1.76E-15
77303	A_68_P27927067	Pitpna	chr11:075414028-075414087	INSIDE	0.877547678	1.77E-15
87392	A_68_P24359949	Cnot4	chr6:035062994-035063048	INSIDE	0.751483636	1.79E-15
79115	A_68_P24051495	P2rx7	chr5:122903083-122903142	PROMOTER	0.88471636	1.81E-15
24033	A_68_P24062135	Gtf2h3	chr5:124855548-124855598	INSIDE	0.91840462	1.84E-15
188230	A_68_P22727607	Plekhf2	chr4:010940081-010940139	PROMOTER	0.791505647	1.84E-15
166996	A_68_P31207957	Ptk7	chr17:046090455-046090514	INSIDE	0.920361394	1.84E-15
182435	A_68_P24785604	Ret	chr6:118167145-118167190	PROMOTER	0.747829301	1.87E-15
15440	A_68_P25951448	Comp	chr8:073304889-073304943	INSIDE	0.863016623	1.88E-15
191207	A_68_P25576313	Stk32c	chr7:139040401-139040460	PROMOTER	1.060671298	1.93E-15
134931	A_68_P30931886	Adamts5	chr16:085788223-085788282	INSIDE	0.845373664	1.98E-15
5768	A_68_P23532189	Orc5l	chr5:022061552-022061611	INSIDE	0.844418525	1.98E-15
192720	A_68_P25034023	Mag	chr7:030621200-030621259	INSIDE	0.828386748	2.01E-15
234098	A_68_P25380512	Olfr560	chr7:102630809-102630868	PROMOTER	0.798314702	2.03E-15
66118	A_68_P23163707	Tctex1d1	chr4:102483514-102483573	PROMOTER	0.825356226	2.06E-15
39080	A_68_P24362078	Mtpn	chr6:035473232-035473291	PROMOTER	0.830507537	2.12E-15
36423	A_68_P30386185	Nfam1	chr15:082852063-082852114	PROMOTER	0.925512625	2.21E-15
54076	A_68_P25051008	Dpy19l3	chr7:035463483-035463537	PROMOTER	0.802869062	2.21E-15
127535	A_68_P31147469	BC066107	chr17:032630038-032630097	PROMOTER	0.976812399	2.28E-15
51944	A_68_P28280398	Adam17	chr12:021625066-021625125	PROMOTER	0.948636348	2.29E-15
224378	A_68_P26814171	Tcta	chr9:108161326-108161379	INSIDE	0.777480159	2.29E-15
178149	A_68_P24469046	Ghrhr	chr6:055307317-055307373	INSIDE	0.767743224	2.31E-15
128204	A_68_P23318811	Pigv	chr4:132946904-132946963	PROMOTER	0.94288157	2.33E-15
208396	A_68_P32453967	Cd99l2	chrX:067753591-067753637	PROMOTER	0.7887737	2.35E-15
82564	A_68_P20874646	Psen2	chr1:182086630-182086685	PROMOTER	0.772532355	2.37E-15
26233	A_68_P25945217	Lpl	chr8:071811019-071811078	INSIDE	1.027491618	2.41E-15
214709	A_68_P28856833	Pou6f2	chr13:018393182-018393226	PROMOTER	0.793503095	2.43E-15
59970	A_68_P24905350	Kcnj8	chr6:142529189-142529248	PROMOTER	0.879024255	2.44E-15
178521	A_68_P31952512	Cd5	chr19:010805597-010805648	INSIDE	0.844862479	2.46E-15
103526	A_68_P28954024	Ly86	chr13:037351547-037351606	PROMOTER	0.805344438	2.48E-15
66129	A_68_P32242251	Porcn	chrX:007362441-007362500	INSIDE	0.995170169	2.49E-15
121993	A_68_P28699046	Serpina1f	chr12:104094286-104094345	INSIDE	1.098543487	2.51E-15
47431	A_68_P22325706	S100a13	chr3:090609358-090609414	INSIDE	0.943274335	2.58E-15
32519	A_68_P31626458	Pcdha7	chr18:037099858-037099917	PROMOTER	1.025105987	2.59E-15
131868	A_68_P27789373	Adamts2	chr11:050445278-050445322	PROMOTER	0.810249474	2.75E-15
193412	A_68_P31095244	Pdpk1	chr17:023805428-023805481	INSIDE	0.835197143	2.79E-15
167837	A_68_P30422917	Trabd	chr15:088901122-088901171	PROMOTER	0.791158612	2.93E-15
138392	A_68_P31932888	Snx15	chr19:006132824-006132878	PROMOTER	0.925260231	2.96E-15
75167	A_68_P23950911	Dmp1	chr5:104441539-104441595	PROMOTER	0.778066007	2.99E-15
228562	A_68_P25032456	Zbtb32	chr7:030304977-030305036	PROMOTER	0.922218217	3.10E-15
210576	A_68_P28035542	Col1a1	chr11:094749386-094749435	PROMOTER	0.76572354	3.11E-15
193426	A_68_P27926069	Serpinf2	chr11:075253611-075253661	INSIDE	0.765233382	3.20E-15
119586	A_68_P20900469	Iars2	chr1:187014371-187014419	INSIDE	0.752678916	3.23E-15
53898	A_68_P27007446	Moxd1	chr10:023913840-023913895	INSIDE	0.939141418	3.28E-15
88232	A_68_P22342342	Tmod4	chr3:095210959-095211014	INSIDE	0.795429765	3.29E-15
202563	A_68_P21820806	Slc12a5	chr2:164660889-164660943	INSIDE	0.752909843	3.35E-15
62093	A_68_P25804783	Fgf20	chr8:041787488-041787547	PROMOTER	0.792091748	3.43E-15
228516	A_68_P24449011	Hoxa3	chr6:052130515-052130571	PROMOTER	0.849221425	3.54E-15
185955	A_68_P23874883	Slc4a4	chr5:090011033-090011092	INSIDE	0.912702644	3.66E-15
48425	A_68_P27997827	Cuedc1	chr11:087913300-087913355	PROMOTER	0.788563575	3.72E-15
126942	A_68_P22378978	Casq2	chr3:102214849-102214904	PROMOTER	0.755600092	3.78E-15
211272	A_68_P26039925	Adcy7	chr8:091163310-091163356	INSIDE	0.826122305	3.83E-15
3151	A_68_P30348985	Fbxl6	chr15:076364251-076364295	INSIDE	0.804961434	3.83E-15
46999	A_68_P24389221	Tas2r108	chr6:040425331-040425390	DOWNSTREAM	1.082111692	3.88E-15
3423	A_68_P25264905	Idh2	chr7:079990091-079990139	PROMOTER	0.767082472	3.97E-15
202880	A_68_P32452513	Mtm1	chrX:067477740-067477795	INSIDE	0.973847211	4.21E-15
98228	A_68_P24290524	Wnt16	chr6:022238093-022238140	PROMOTER	0.74819485	4.28E-15
197323	A_68_P29936403	Dct	chr14:116931985-116932044	INSIDE	1.005450328	4.28E-15
239688	A_68_P23457353	Steap1	chr5:005756172-005756227	PROMOTER	0.989790227	4.37E-15
167048	A_68_P24928962	Itpr2	chr6:146459015-146459062	INSIDE	0.788379268	4.40E-15
188217	A_68_P22348499	Hist2h4-Hist2h3c1	chr3:096349789-096349848	DIVERGENT_PROMOTER	0.753097094	4.41E-15
88828	A_68_P20350260	Prkag3	chr1:074686356-074686402	PROMOTER	0.818018131	4.55E-15
168358	A_68_P27401919	Nts	chr10:101923771-101923830	PROMOTER	0.827063668	4.57E-15
190470	A_68_P27897392	Nlgn2	chr11:069648907-069648959	INSIDE	0.767328903	4.63E-15
184378	A_68_P27267023	Pofut2	chr10:076704026-076704083	INSIDE	0.816967011	4.67E-15
96791	A_68_P25362442	Arrb1	chr7:099423013-099423065	INSIDE	0.799676483	4.80E-15
49379	A_68_P29033179	Shc3	chr13:051584006-051584063	PROMOTER	0.790390414	4.87E-15
147595	A_68_P32051813	Jak2	chr19:029315319-029315378	PROMOTER	1.035946206	4.94E-15
176820	A_68_P20604268	Thsd7b	chr1:131095986-131096045	PROMOTER	0.862381398	5.05E-15
104965	A_68_P25383933	Olfr616	chr7:103443108-103443167	PROMOTER	0.777443919	5.13E-15
31993	A_68_P27565284	Aebp1	chr11:005759877-005759925	PROMOTER	0.849507436	5.22E-15
153776	A_68_P30968213	Kcne2	chr16:092183051-092183110	INSIDE	0.794890901	5.28E-15
2867	A_68_P24141333	Eif3s9	chr5:140674155-140674214	INSIDE	0.951478132	5.31E-15
22209	A_68_P27290592	Tle2	chr10:080975740-080975790	PROMOTER	0.786210913	5.38E-15
57399	A_68_P26128323	Cmtm4	chr8:107283074-107283130	INSIDE	1.081653756	5.42E-15
106105	A_68_P23260039	Mfsd2	chr4:122466291-122466337	PROMOTER	0.750910807	5.49E-15
39266	A_68_P28127005	Kcnj16	chr11:110781116-110781175	PROMOTER	0.87850532	5.49E-15
103140	A_68_P21572798	Pla2g4b	chr2:119723758-119723806	PROMOTER	1.025683578	5.52E-15
59552	A_68_P28574343	Actn1	chr12:081108780-081108835	INSIDE	0.781357368	5.63E-15
107713	A_68_P31157826	Bat3	chr17:034744843-034744902	INSIDE	0.975768046	5.63E-15
19379	A_68_P25265680	Vps33b	chr7:080143823-080143881	INSIDE	0.940132034	5.65E-15
157391	A_68_P31151111	Rgl2	chr17:033548091-033548147	INSIDE	0.768724098	5.70E-15
34619	A_68_P31351288	Slc30a6	chr17:074297739-074297798	PROMOTER	0.782279535	6.21E-15
191549	A_68_P31959327	Olfr1424	chr19:012129178-012129237	PROMOTER	0.94263884	6.21E-15
66174	A_68_P24300384	Slc13a1	chr6:024120134-024120193	PROMOTER	0.771578173	6.36E-15
68268	A_68_P25933420	Tktl2	chr8:069442520-069442572	INSIDE	0.789261707	6.46E-15
109463	A_68_P24760543	Vhlh	chr6:113586058-113586117	PROMOTER	0.911596567	6.67E-15
170823	A_68_P28947146	Fars2	chr13:036127645-036127697	INSIDE	0.795213366	6.69E-15
9474	A_68_P28767027	Wdr60	chr12:116706249-116706300	PROMOTER	0.76885327	6.77E-15
170732	A_68_P26079991	Dok4	chr8:097763076-097763130	INSIDE	0.749027021	6.84E-15
86903	A_68_P25006322	EG210155	chr7:024434885-024434937	PROMOTER	0.888627391	6.84E-15
19264	A_68_P30493728	Krt74	chr15:101590556-101590612	INSIDE	0.818710942	6.87E-15
81083	A_68_P24839197	Ppih	chr6:128437145-128437198	DOWNSTREAM	0.7702704	7.14E-15
222718	A_68_P23996984	Gm854	chr5:113469000-113469056	INSIDE	1.007455213	7.26E-15
87787	A_68_P25114631	Prmt3	chr7:049647321-049647379	INSIDE	0.768138528	7.30E-15
54671	A_68_P26023661	Man2b1	chr8:087975784-087975837	INSIDE	0.817025149	7.32E-15
39966	A_68_P26227582	Fbxo31-Map1lc3b	chr8:124466924-124466983	DIVERGENT_PROMOTER	0.873551411	7.42E-15
104371	A_68_P32401482	Gpr101	chrX:053852083-053852134	PROMOTER	0.80423716	7.77E-15
224009	A_68_P29448459	Chchd1	chr14:019490681-019490740	PROMOTER	0.964236203	7.85E-15
150887	A_68_P23720358	Pcdh7	chr5:058006815-058006868	INSIDE	0.787890385	7.87E-15
52775	A_68_P29033182	Shc3	chr13:051584451-051584510	PROMOTER	0.774359119	8.04E-15
3314	A_68_P32127017	Got1	chr19:043575697-043575756	INSIDE	0.779090377	8.07E-15
123008	A_68_P25002847	V1rd13	chr7:023602186-023602241	PROMOTER	0.996687974	8.08E-15
53268	A_68_P27849302	Epn2	chr11:061398229-061398288	PROMOTER	1.011344515	8.14E-15
73524	A_68_P28614759	Tmed8	chr12:088090515-088090574	PROMOTER	0.946334845	8.54E-15
118471	A_68_P30252126	Mtss1	chr15:058910127-058910183	INSIDE	0.946781858	9.03E-15
137661	A_68_P21742425	Nanp	chr2:150729398-150729457	INSIDE	0.783283562	9.08E-15
123033	A_68_P32289639	Pctk1	chrX:019846009-019846064	INSIDE	0.774863946	9.67E-15
48254	A_68_P25396784	Olfr702	chr7:106619149-106619208	PROMOTER	1.043170953	9.67E-15
105110	A_68_P22357015	Sec22b	chr3:097984125-097984182	PROMOTER	0.765693321	9.94E-15
71620	A_68_P29599715	Rnase9	chr14:049962575-049962634	INSIDE	1.192148285	1.00E-14
43787	A_68_P26886011	Higd1a	chr9:121704102-121704161	INSIDE	0.809192901	1.03E-14
146278	A_68_P20162932	Nms	chr1:038878868-038878927	PROMOTER	1.282566947	1.03E-14
83745	A_68_P25391805	Olfr691	chr7:105214138-105214197	PROMOTER	0.821927336	1.04E-14
183342	A_68_P27226656	Ank3	chr10:069315413-069315472	PROMOTER	0.845005792	1.10E-14
40962	A_68_P31934664	Nrxn2	chr19:006428736-006428780	INSIDE	0.829774243	1.11E-14
117073	A_68_P32145477	As3mt	chr19:046760604-046760663	PROMOTER	0.840289735	1.13E-14
121393	A_68_P27644756	Xpo1	chr11:023155092-023155150	PROMOTER	0.815982531	1.17E-14
173568	A_68_P27286426	Gadd45b	chr10:080335476-080335525	DOWNSTREAM	0.812788073	1.23E-14
40840	A_68_P22615590	Uox	chr3:146538874-146538929	INSIDE	0.764144493	1.24E-14
149930	A_68_P29228445	Homer1	chr13:094409231-094409290	INSIDE	0.920818106	1.25E-14
30993	A_68_P21634292	Pank2	chr2:130975413-130975472	INSIDE	0.782122377	1.25E-14
81853	A_68_P25693363	Csmd1	chr8:017537600-017537659	PROMOTER	0.759341331	1.27E-14
231472	A_68_P26372676	BC038479	chr9:026560756-026560815	PROMOTER	0.860780695	1.27E-14
191315	A_68_P32327917	Lamp2	chrX:034702821-034702880	PROMOTER	1.146991812	1.27E-14
104771	A_68_P24466839	Gars	chr6:054968881-054968940	INSIDE	0.955929981	1.27E-14
215852	A_68_P30465078	Slc38a2	chr15:096527624-096527683	INSIDE	0.790523922	1.30E-14
36963	A_68_P24983879	Ptgir	chr7:016063304-016063363	PROMOTER	0.910002031	1.33E-14
169892	A_68_P25415713	Xlkd1	chr7:110654159-110654215	PROMOTER	0.975279048	1.33E-14
11327	A_68_P29108023	Zfp458	chr13:067768184-067768229	PROMOTER	0.818132796	1.34E-14
9195	A_68_P25201725	Arrdc4	chr7:068620181-068620235	INSIDE	0.749744914	1.34E-14
189776	A_68_P27845438	Gtlf3b	chr11:060729447-060729496	INSIDE	0.767035902	1.35E-14
115777	A_68_P22311013	Nes	chr3:088058819-088058865	INSIDE	0.767860056	1.35E-14
140303	A_68_P25093407	Dhdh	chr7:045356729-045356773	INSIDE	0.74903819	1.37E-14
25269	A_68_P22323309	Tpm3	chr3:090158158-090158211	PROMOTER	0.925654049	1.37E-14
203202	A_68_P23409707	Per3	chr4:149886446-149886505	INSIDE	0.793392757	1.40E-14
46644	A_68_P25381468	Olfr575-Olfr576	chr7:102838002-102838061	DIVERGENT_PROMOTER	0.795450929	1.40E-14
147529	A_68_P25501260	Apob48r	chr7:126379925-126379973	INSIDE	0.788004384	1.41E-14
37273	A_68_P25386228	Olfr640	chr7:103895283-103895342	INSIDE	0.769225006	1.44E-14
205928	A_68_P31942646	Slc22a6	chr19:008682366-008682415	PROMOTER	0.772884059	1.45E-14
197382	A_68_P28961241	Txndc5	chr13:038540761-038540820	PROMOTER	0.810691516	1.45E-14
51174	A_68_P27572175	Igfbp1	chr11:007096294-007096348	PROMOTER	0.819867073	1.46E-14
160087	A_68_P25005663	Zfp575	chr7:024296537-024296589	PROMOTER	0.795035514	1.49E-14
91381	A_68_P20638507	Rnpep	chr1:137099580-137099639	INSIDE	0.925181603	1.49E-14
187749	A_68_P27736827	Mat2b	chr11:040534729-040534788	INSIDE	0.88155327	1.52E-14
85643	A_68_P21082823	Dbh	chr2:026987707-026987757	INSIDE	0.759261611	1.57E-14
94897	A_68_P25083512	Siglece	chr7:043529986-043530045	PROMOTER	0.84755876	1.58E-14
190111	A_68_P28301969	Rsad2-Tyki	chr12:027045912-027045971	DIVERGENT_PROMOTER	1.28522618	1.63E-14
24602	A_68_P25295797	Folh1	chr7:086651355-086651404	INSIDE	0.907962238	1.63E-14
35548	A_68_P32598403	Pou3f4	chrX:107019393-107019442	DOWNSTREAM	0.798802394	1.66E-14
30872	A_68_P20452340	Gpr35	chr1:094804374-094804428	PROMOTER	0.760833209	1.66E-14
39760	A_68_P21868403	Zbp1	chr2:172866346-172866399	PROMOTER	0.760257024	1.68E-14
15689	A_68_P29526801	Gdf10	chr14:032747624-032747678	PROMOTER	0.869348888	1.68E-14
184108	A_68_P32142333	Pitx3-Gbf1	chr19:046205044-046205103	DIVERGENT_PROMOTER	0.749438026	1.69E-14
148893	A_68_P31626765	Pcdha12	chr18:037147181-037147235	INSIDE	0.863593194	1.69E-14
199776	A_68_P23347860	Pla2g2d	chr4:138048953-138048999	INSIDE	0.862877534	1.69E-14
34571	A_68_P27564957	Dbnl	chr11:005689133-005689181	INSIDE	0.818605847	1.77E-14
177217	A_68_P31401128	Haao	chr17:083754792-083754845	INSIDE	0.878150106	1.79E-14
230785	A_68_P30968888	Dscr1	chr16:092290701-092290753	PROMOTER	0.797525132	1.83E-14
115463	A_68_P29700043	Sorbs3	chr14:068947829-068947888	PROMOTER	1.047165503	1.89E-14
69138	A_68_P30371103	Atf4	chr15:080084469-080084528	INSIDE	0.847602947	1.90E-14
131876	A_68_P24172316	Gsh1	chr5:147498910-147498956	PROMOTER	0.836256272	1.90E-14
213031	A_68_P23807609	Pdgfra	chr5:075432728-075432785	PROMOTER	0.879521077	1.92E-14
119931	A_68_P21098336	Rapgef1	chr2:029441003-029441062	PROMOTER	0.780006528	2.00E-14
51736	A_68_P25186091	Snrpa1	chr7:065934496-065934555	PROMOTER	1.063267878	2.03E-14
145211	A_68_P32087885	Htr7	chr19:036121295-036121354	INSIDE	0.937156374	2.18E-14
24993	A_68_P30474086	Olfr285	chr15:098141046-098141102	INSIDE	0.76271828	2.18E-14
107554	A_68_P25914013	Anxa10	chr8:065017356-065017415	PROMOTER	0.94110047	2.27E-14
181451	A_68_P25949958	Cspg3	chr8:073048623-073048680	INSIDE	0.77713646	2.33E-14
82661	A_68_P31553003	Nol4	chr18:023183400-023183459	PROMOTER	0.764321348	2.34E-14
32299	A_68_P29447516	Ppp3cb	chr14:019335694-019335749	PROMOTER	0.815415658	2.36E-14
227260	A_68_P24010690	Rab35	chr5:115894076-115894127	INSIDE	0.815079183	2.44E-14
34283	A_68_P24569982	Reg2	chr6:078335814-078335873	INSIDE	0.812114439	2.48E-14
134867	A_68_P22081031	Slc25a31	chr3:040805300-040805345	PROMOTER	0.800952716	2.53E-14
141648	A_68_P24434491	Npy	chr6:049749159-049749216	PROMOTER	0.991578593	2.54E-14
36427	A_68_P28328441	Acp1	chr12:031496728-031496787	INSIDE	0.844383631	2.70E-14
101893	A_68_P30728109	Tagln3	chr16:045643222-045643280	INSIDE	1.043420924	2.70E-14
96854	A_68_P25476915	Gga2	chr7:121811735-121811792	INSIDE	0.780754269	2.77E-14
236240	A_68_P21394777	Smtnl1	chr2:084621298-084621354	INSIDE	0.771245178	2.81E-14
178507	A_68_P31625131	Eif4ebp3	chr18:036788701-036788760	PROMOTER	0.75634127	2.87E-14
17698	A_68_P28752311	Pld4	chr12:113207457-113207510	PROMOTER	0.897381838	2.92E-14
28734	A_68_P21321472	Itga6	chr2:071585896-071585947	PROMOTER	0.781246137	2.93E-14
193927	A_68_P31161474	Dhx16	chr17:035489822-035489868	INSIDE	0.755191382	2.93E-14
20997	A_68_P21040751	Commd3	chr2:018590974-018591033	INSIDE	0.843547919	2.98E-14
209599	A_68_P27194560	Lrrtm3	chr10:063490287-063490346	PROMOTER	0.746710268	3.02E-14
169855	A_68_P23284745	Gjb3	chr4:126832981-126833025	PROMOTER	0.801423232	3.39E-14
189406	A_68_P26235252	Cbfa2t3h	chr8:125586010-125586069	PROMOTER	0.908933197	3.47E-14
69641	A_68_P32535332	Pcyt1b	chrX:089928641-089928700	INSIDE	0.794842093	3.59E-14
68662	A_68_P21476815	Trim44	chr2:102200520-102200579	INSIDE	0.966903113	3.59E-14
239235	A_68_P20630971	Fmod	chr1:135854550-135854609	INSIDE	0.785558037	3.63E-14
24059	A_68_P24128739	Zkscan1	chr5:138315373-138315423	INSIDE	0.931513868	3.71E-14
111197	A_68_P29532477	Grid1	chr14:033722791-033722837	INSIDE	0.761939235	3.73E-14
57151	A_68_P30650122	Pigz	chr16:031849499-031849558	PROMOTER	1.023430897	3.77E-14
10949	A_68_P26825757	Myl3	chr9:110610553-110610607	INSIDE	0.867687913	4.01E-14
231767	A_68_P29062344	Tgfbi	chr13:056619961-056620009	INSIDE	0.849113238	4.04E-14
24639	A_68_P28185113	Gcgr	chr11:120349279-120349335	PROMOTER	0.754914944	4.14E-14
227590	A_68_P21604412	Shc4	chr2:125419146-125419201	PROMOTER	1.021725484	4.14E-14
18373	A_68_P27788196	Hnrph1	chr11:050220251-050220306	PROMOTER	0.888964213	4.18E-14
84947	A_68_P26079274	Ccl22	chr8:097636739-097636787	INSIDE	0.786392989	4.23E-14
67197	A_68_P24594845	Cd207	chr6:083643490-083643543	PROMOTER	0.75823066	4.24E-14
218408	A_68_P29529268	Glud1	chr14:033142189-033142248	INSIDE	0.895994529	4.48E-14
238018	A_68_P27101050	Cd24a	chr10:043268049-043268095	INSIDE	0.781252059	4.55E-14
46833	A_68_P26716258	Adamts7	chr9:089962974-089963030	INSIDE	0.801867413	5.15E-14
199379	A_68_P27848691	Mapk7-Eppb9	chr11:061311687-061311746	DIVERGENT_PROMOTER	1.112852482	5.34E-14
39027	A_68_P20916917	Esrrg	chr1:189695191-189695250	PROMOTER	0.817059019	5.38E-14
22284	A_68_P31613829	Brd8	chr18:034746515-034746566	INSIDE	0.793860582	5.46E-14
1156	A_68_P24864670	Ddx47	chr6:134977630-134977681	INSIDE	0.751593886	5.62E-14
29194	A_68_P27168756	Oit3	chr10:058841264-058841315	PROMOTER	1.053912632	5.67E-14
221410	A_68_P21774571	Dsn1	chr2:156688907-156688966	INSIDE	0.884492369	5.67E-14
204555	A_68_P28225588	Wdr35	chr12:009001050-009001103	INSIDE	0.945792602	5.69E-14
80566	A_68_P28899214	Hdgfl1	chr13:026778529-026778587	PROMOTER	0.787543086	5.87E-14
209746	A_68_P30966890	Slc5a3	chr16:091966583-091966639	INSIDE	0.861239281	5.88E-14
126433	A_68_P26815976	Arih2	chr9:108506955-108507014	PROMOTER	0.875705188	5.92E-14
232852	A_68_P21400243	Olfr1030	chr2:085785268-085785327	INSIDE	0.911373638	6.04E-14
197691	A_68_P26974291	Ccdc28a	chr10:017926190-017926247	PROMOTER	0.868300547	6.10E-14
188055	A_68_P24129259	Taf6	chr5:138416329-138416388	INSIDE	1.233093045	6.24E-14
207144	A_68_P23898558	Ccni	chr5:094280454-094280513	INSIDE	0.847099461	6.39E-14
13998	A_68_P29267254	Serf1	chr13:101210820-101210879	INSIDE	0.811384523	6.57E-14
144584	A_68_P27258691	Gstt1	chr10:075242482-075242538	PROMOTER	0.953182688	6.87E-14
240112	A_68_P22606628	Odf2l	chr3:145053356-145053415	PROMOTER	0.881903773	7.00E-14
130240	A_68_P20656183	Atp6v1g3	chr1:140091724-140091783	INSIDE	0.950154413	7.01E-14
93936	A_68_P20611022	C4bp	chr1:132492555-132492614	PROMOTER	0.787751565	7.18E-14
136782	A_68_P28100257	Ddx42	chr11:106036256-106036315	INSIDE	1.02386147	7.26E-14
152896	A_68_P30677457	Iqcb1	chr16:036750240-036750299	INSIDE	0.750666491	7.34E-14
97611	A_68_P25595134	Tnnt3	chr7:142308647-142308705	INSIDE	1.496293527	7.42E-14
66274	A_68_P28171059	Lgals3bp	chr11:118216927-118216986	INSIDE	0.868261567	7.62E-14
2051	A_68_P27837351	Zfp496	chr11:059327743-059327787	PROMOTER	0.764553926	7.66E-14
228215	A_68_P29659276	Ctsb	chr14:062077509-062077564	INSIDE	0.805114923	7.79E-14
116804	A_68_P29508063	Tmem110	chr14:029649839-029649898	PROMOTER	0.912600927	7.81E-14
239825	A_68_P27791272	Zfp2	chr11:050762296-050762355	PROMOTER	0.767103692	7.87E-14
153868	A_68_P23331881	Rpl11	chr4:135330067-135330121	PROMOTER	0.761605954	7.91E-14
74665	A_68_P20229146	Inpp1	chr1:052763614-052763673	PROMOTER	0.824997157	8.33E-14
40693	A_68_P24267826	Met	chr6:017440057-017440116	PROMOTER	1.01320576	8.33E-14
214437	A_68_P28049271	Kpnb1	chr11:097008193-097008252	PROMOTER	1.032675636	8.48E-14
41082	A_68_P26313285	Mtmr2	chr9:013498193-013498252	PROMOTER	0.914245692	8.80E-14
57260	A_68_P20837434	Igsf4b	chr1:175175769-175175828	INSIDE	0.814934601	9.51E-14
41337	A_68_P28011480	Hlf	chr11:090208486-090208542	PROMOTER	0.826974814	9.62E-14
151825	A_68_P28063038	Krtap3-3	chr11:099366467-099366526	INSIDE	1.019059182	1.03E-13
63407	A_68_P21740938	Pygb	chr2:150475445-150475504	PROMOTER	0.761741033	1.06E-13
182229	A_68_P27020979	Arhgap18	chr10:026463899-026463958	INSIDE	0.75080661	1.06E-13
209485	A_68_P23237381	Artn	chr4:117427658-117427705	INSIDE	0.78905674	1.08E-13
175513	A_68_P21044507	Msrb2	chr2:019286687-019286745	PROMOTER	0.801788621	1.12E-13
146171	A_68_P22341996	Psmd4	chr3:095128925-095128984	PROMOTER	0.779477427	1.20E-13
92092	A_68_P32118942	BC023055-Pi4k2a	chr19:042136975-042137034	DIVERGENT_PROMOTER	0.827344722	1.21E-13
4088	A_68_P29447130	Anxa7	chr14:019272093-019272152	PROMOTER	0.797303856	1.23E-13
19366	A_68_P21630504	Oxt	chr2:130265120-130265179	PROMOTER	1.013830502	1.24E-13
36388	A_68_P29011298	Aof1	chr13:047057212-047057271	INSIDE	0.85560546	1.29E-13
96609	A_68_P31150925	Daxx	chr17:033521071-033521125	INSIDE	1.144442134	1.31E-13
32898	A_68_P21332900	Chn1	chr2:073464157-073464216	PROMOTER	1.003011364	1.32E-13
236268	A_68_P24760049	Tmem111	chr6:113496661-113496720	INSIDE	0.875720786	1.41E-13
148006	A_68_P31830412	Mbd1	chr18:074395123-074395182	INSIDE	0.897829104	1.41E-13
128217	A_68_P32464962	Pdzd4	chrX:070074771-070074830	INSIDE	1.020045845	1.42E-13
168150	A_68_P32387379	Mospd1	chrX:049617677-049617736	PROMOTER	0.858412292	1.55E-13
95868	A_68_P26238364	Dpep1	chr8:126073851-126073900	INSIDE	0.78478096	1.57E-13
157724	A_68_P24925085	Rassf8	chr6:145760243-145760300	PROMOTER	1.024422783	1.58E-13
92791	A_68_P24808001	M6pr	chr6:122277040-122277099	INSIDE	0.78698936	1.67E-13
88938	A_68_P24983797	Gng8	chr7:016049171-016049230	PROMOTER	0.821672331	1.72E-13
145469	A_68_P23222821	Stil	chr4:114500036-114500095	INSIDE	0.839148989	1.75E-13
221956	A_68_P25574407	Mapk1ip1	chr7:138682998-138683057	INSIDE	0.765248931	1.78E-13
99470	A_68_P23904960	Cnot6l	chr5:096400617-096400676	INSIDE	0.755882093	1.79E-13
240054	A_68_P26144619	Nqo1	chr8:110293307-110293366	PROMOTER	0.785917134	1.84E-13
120471	A_68_P24428084	Rarres2	chr6:048501178-048501231	INSIDE	0.799566863	1.87E-13
129325	A_68_P24158554	Jtv1	chr5:144162537-144162596	INSIDE	0.762769932	1.88E-13
146956	A_68_P21524739	Olfr1278	chr2:111093577-111093636	INSIDE	0.878428885	1.91E-13
188594	A_68_P23465843	Steap4	chr5:007966143-007966201	PROMOTER	0.750116527	1.91E-13
216905	A_68_P28707016	Glrx5	chr12:105433598-105433647	PROMOTER	0.989968913	1.97E-13
70551	A_68_P32326096	Rhox10	chrX:034310810-034310869	PROMOTER	0.763254829	2.05E-13
184254	A_68_P25063550	Zfp536	chr7:037484581-037484638	PROMOTER	0.746505683	2.10E-13
36561	A_68_P28729898	Yy1	chr12:109237437-109237496	PROMOTER	0.778826408	2.12E-13
108778	A_68_P24861354	Bcl2l14	chr6:134358519-134358573	PROMOTER	0.74786524	2.17E-13
45137	A_68_P23573885	Cenpa	chr5:030942817-030942876	PROMOTER	0.857695625	2.18E-13
88646	A_68_P26779745	Ephb1	chr9:102213195-102213254	PROMOTER	0.838108646	2.26E-13
238369	A_68_P24541270	Usp39-Tmem150	chr6:072284041-072284094	DIVERGENT_PROMOTER	0.868973521	2.31E-13
22948	A_68_P27540162	Spryd4-Mip	chr10:127624143-127624202	DIVERGENT_PROMOTER	0.955792307	2.35E-13
173689	A_68_P30675972	Casr	chr16:036483714-036483772	PROMOTER	0.752166264	2.38E-13
20177	A_68_P22406456	Kcnc4	chr3:107585846-107585899	INSIDE	0.869607073	2.43E-13
19035	A_68_P32370306	Igsf1	chrX:046040767-046040826	PROMOTER	1.166746844	2.46E-13
54130	A_68_P27287585	Zbtb7a	chr10:080534062-080534121	PROMOTER	0.805305696	2.54E-13
220446	A_68_P28902666	Prlpc2	chr13:027574995-027575054	PROMOTER	0.754547087	2.55E-13
