Probe ID	Gene Symbol	Entrez Gene ID	Raw P value	Fold Change	Gene Name
ILMN_1794165	PGD	5226	0.000257654	1.151	phosphogluconate dehydrogenase
ILMN_1775672	SOD2	6648	0.000259655	1.189	superoxide dismutase 2, mitochondrial
ILMN_1751020	PACSIN1	29993	0.000271021	0.881	protein kinase C and casein kinase substrate in neurons 1
ILMN_1669523	FOS	2353	0.000275723	1.202	FBJ murine osteosarcoma viral oncogene homolog
ILMN_1653652	PTPRC	5788	0.000282898	1.135	protein tyrosine phosphatase, receptor type, C
ILMN_1766613	ZNF121	7675	0.000285806	0.899	zinc finger protein 121
ILMN_1795963	OKL38	29948	0.000285911	1.155	oxidative stress induced growth inhibitor 1
ILMN_1740864	TREML2	79865	0.000288918	1.164	triggering receptor expressed on myeloid cells-like 2
ILMN_1652787	PIK3AP1	118788	0.000299051	1.123	phosphoinositide-3-kinase adaptor protein 1
ILMN_1739794	CD3E	916	0.000304133	0.88	CD3e molecule, epsilon (CD3-TCR complex)
ILMN_1693630	C16orf7	9605	0.000308826	1.155	chromosome 16 open reading frame 7
ILMN_1709237	EPHX2	2053	0.000310605	0.84	epoxide hydrolase 2, cytoplasmic
ILMN_1698224	BCL11A	53335	0.000310748	0.879	B-cell CLL/lymphoma 11A (zinc finger protein)
ILMN_1791253	FBXL13	222235	0.000319086	1.161	F-box and leucine-rich repeat protein 13
ILMN_1714592	CDA	978	0.000321033	1.257	cytidine deaminase
ILMN_1781131	UBN1	29855	0.000327957	1.173	ubinuclein 1
ILMN_1675406	PPAPDC1B	84513	0.000327961	0.871	phosphatidic acid phosphatase type 2 domain containing 1B
ILMN_1801216	S100P	6286	0.00032979	1.401	S100 calcium binding protein P
ILMN_1792689	HIST1H2AC	8334	0.000340877	1.144	histone cluster 1, H2ac
ILMN_1696549	BIRC3	330	0.000356635	0.848	baculoviral IAP repeat-containing 3
ILMN_1675117	HSD17B11	51170	0.00035702	1.147	hydroxysteroid (17-beta) dehydrogenase 11
ILMN_1667319	LPPR2	64748	0.0003606	1.174	lipid phosphate phosphatase-related protein type 2
ILMN_1683277	KIAA0319L	79932	0.000363149	1.124	KIAA0319-like
ILMN_1798804	SRPK1	6732	0.000369319	1.143	SFRS protein kinase 1
ILMN_1811077	LHFPL2	10184	0.000376061	1.138	lipoma HMGIC fusion partner-like 2
ILMN_1770161	BST1	683	0.00038223	1.114	bone marrow stromal cell antigen 1
ILMN_1717809	RNF24	11237	0.000382433	1.236	ring finger protein 24
ILMN_1658121	CFP	5199	0.000390734	1.124	complement factor properdin
ILMN_1707810	RPS5	6193	0.000401819	0.854	ribosomal protein S5
ILMN_1698996	SLC19A1	6573	0.000405413	1.144	solute carrier family 19 (folate transporter), member 1
ILMN_1701114	GBP1	2633	0.000413057	1.247	guanylate binding protein 1, interferon-inducible, 67kDa
ILMN_1776384	ALDH16A1	126133	0.000413432	0.865	aldehyde dehydrogenase 16 family, member A1
ILMN_1683969	FKBP1A	2280	0.000413756	1.143	FK506 binding protein 1A, 12kDa
ILMN_1704730	CD93	22918	0.000418306	1.161	CD93 molecule
ILMN_1800626	SESN1	27244	0.000426184	0.889	sestrin 1
