S. mediterranea Gene	Human Gene	HGNC Gene Abbrev
CUFF.317570	ENSG00000179348	GATA2
CUFF.309617	ENSG00000107485	GATA3
CUFF.664549	ENSG00000141448	GATA6
CUFF.244606	ENSG00000171766	GATM
CUFF.90834	ENSG00000070610	GBA2
CUFF.226132	ENSG00000114480	GBE1
CUFF.178052	ENSG00000001084	GCLC
CUFF.129980	ENSG00000057608	GDI2
CUFF.70258	ENSG00000162676	GFI1
CUFF.234063	ENSG00000168827	GFM1
CUFF.98735	ENSG00000164347	GFM2
CUFF.216036	ENSG00000198380	GFPT1
CUFF.372971	ENSG00000168546	GFRA2
CUFF.362817	ENSG00000152904	GGPS1
CUFF.568042	ENSG00000170266	GLB1
CUFF.323746	ENSG00000138604	GLCE
CUFF.195368	ENSG00000178445	GLDC
CUFF.85449	ENSG00000106571	GLI3
CUFF.554378	ENSG00000173401	GLIPR1L1
CUFF.217076	ENSG00000167699	GLOD4
CUFF.197870	ENSG00000108010	GLRX3
CUFF.39083	ENSG00000115419	GLS
CUFF.222751	ENSG00000182890	GLUD2
CUFF.51850	ENSG00000112699	GMDS
CUFF.346319	ENSG00000197045	GMFB
CUFF.326298	ENSG00000163655	GMPS
CUFF.231823	ENSG00000127955	GNAI1
CUFF.15623	ENSG00000141404	GNAL
CUFF.52339	ENSG00000087258	GNAO1
CUFF.87789	ENSG00000156052	GNAQ
CUFF.15623	ENSG00000087460	GNAS
CUFF.41997	ENSG00000114450	GNB4
CUFF.581	ENSG00000134697	GNL2
CUFF.320775	ENSG00000163281	GNPDA2
CUFF.452008	ENSG00000167110	GOLGA2
CUFF.465199	ENSG00000115806	GORASP2
CUFF.378213	ENSG00000076650	GPATCH1
CUFF.49671	ENSG00000171723	GPHN
CUFF.636487	ENSG00000105220	GPI
CUFF.206319	ENSG00000148358	GPR107
CUFF.702535	ENSG00000112414	GPR126
CUFF.129365	ENSG00000180998	GPR137C
CUFF.366666	ENSG00000120251	GRIA2
CUFF.23450	ENSG00000152578	GRIA4
CUFF.144173	ENSG00000163873	GRIK3
CUFF.294978	ENSG00000150086	GRIN2B
CUFF.459729	ENSG00000198822	GRM3
CUFF.172865	ENSG00000164284	GRPEL2
CUFF.181785	ENSG00000082701	GSK3B
CUFF.140482	ENSG00000103342	GSPT1
CUFF.265611	ENSG00000104687	GSR
CUFF.150407	ENSG00000165417	GTF2A1
CUFF.215481	ENSG00000226259	GTF2H2
CUFF.775	ENSG00000105793	GTPBP10
CUFF.537964	ENSG00000163754	GYG1
CUFF.383135	ENSG00000170180	GYPA
CUFF.326058	ENSG00000111713	GYS2
CUFF.18928	ENSG00000138796	HADH
CUFF.386855	ENSG00000084754	HADHA
CUFF.219859	ENSG00000138029	HADHB
CUFF.495058	ENSG00000084110	HAL
CUFF.108367	ENSG00000170445	HARS
CUFF.251366	ENSG00000112339	HBS1L
CUFF.535943	ENSG00000004961	HCCS
CUFF.35417	ENSG00000172534	HCFC1
CUFF.278686	ENSG00000164588	HCN1
CUFF.449290	ENSG00000196591	HDAC2
CUFF.76298	ENSG00000094631	HDAC6
CUFF.236690	ENSG00000147099	HDAC8
CUFF.357106	ENSG00000048052	HDAC9
CUFF.692886	ENSG00000129493	HEATR5A
CUFF.596784	ENSG00000008869	HEATR5B
CUFF.658099	ENSG00000092148	HECTD1
CUFF.376418	ENSG00000163312	HELQ
CUFF.116268	ENSG00000103657	HERC1
CUFF.109278	ENSG00000128731	HERC2
CUFF.437795	ENSG00000148634	HERC4
CUFF.115481	ENSG00000213614	HEXA
CUFF.394409	ENSG00000113924	HGD
CUFF.18937	ENSG00000165102	HGSNAT
CUFF.441771	ENSG00000148110	HIATL1
CUFF.532717	ENSG00000106049	HIBADH
CUFF.249283	ENSG00000198130	HIBCH
CUFF.241909	ENSG00000110422	HIPK3
CUFF.450132	ENSG00000146151	HMGCLL1
CUFF.272336	ENSG00000112972	HMGCS1
CUFF.344477	ENSG00000164749	HNF4G
CUFF.285987	ENSG00000170144	HNRNPA3
CUFF.429832	ENSG00000153187	HNRNPU
CUFF.533498	ENSG00000152795	HNRPDL
CUFF.473959	ENSG00000143889	HNRPLL
CUFF.629184	ENSG00000197576	HOXA4
CUFF.291476	ENSG00000180818	HOXC10
CUFF.561218	ENSG00000165704	HPRT1
CUFF.632463	ENSG00000072506	HSD17B10
CUFF.551594	ENSG00000133835	HSD17B4
CUFF.208207	ENSG00000119471	HSDL2
CUFF.9642	ENSG00000166598	HSP90B1
CUFF.152371	ENSG00000044574	HSPA5
CUFF.428840	ENSG00000086758	HUWE1
CUFF.188405	ENSG00000196305	IARS
CUFF.610528	ENSG00000067704	IARS2
CUFF.719280	ENSG00000163596	ICA1L
CUFF.481324	ENSG00000138413	IDH1
CUFF.408494	ENSG00000182054	IDH2
CUFF.303125	ENSG00000166411	IDH3A
CUFF.227700	ENSG00000101365	IDH3B
CUFF.490043	ENSG00000115267	IFIH1
CUFF.19895	ENSG00000138002	IFT172
CUFF.534382	ENSG00000101052	IFT52
CUFF.199472	ENSG00000114446	IFT57
CUFF.121959	ENSG00000068885	IFT80
CUFF.351425	ENSG00000032742	IFT88
CUFF.426910	ENSG00000166130	IKBIP
CUFF.497100	ENSG00000145839	IL9
CUFF.81628	ENSG00000124334	IL9R
CUFF.398214	ENSG00000105135	ILVBL
CUFF.135314	ENSG00000106348	IMPDH1
CUFF.89402	ENSG00000168395	ING5
CUFF.650261	ENSG00000128908	INO80
CUFF.222909	ENSG00000185133	INPP5J
CUFF.593359	ENSG00000065150	IPO5
CUFF.96916	ENSG00000132321	IQCA1
CUFF.425091	ENSG00000103599	IQCH
CUFF.558806	ENSG00000140575	IQGAP1
CUFF.700646	ENSG00000159387	IRX6
CUFF.478678	ENSG00000016082	ISL1
CUFF.16736	ENSG00000240682	ISY1
CUFF.346753	ENSG00000078747	ITCH
CUFF.522269	ENSG00000091409	ITGA6
CUFF.250907	ENSG00000150093	ITGB1
CUFF.82628	ENSG00000113263	ITK
CUFF.450793	ENSG00000143772	ITPKB
CUFF.167524	ENSG00000123104	ITPR2
CUFF.380820	ENSG00000198399	ITSN2
CUFF.289116	ENSG00000128928	IVD
CUFF.227555	ENSG00000070495	JMJD6
CUFF.274013	ENSG00000114166	KAT2B
CUFF.318602	ENSG00000172977	KAT5
CUFF.14229	ENSG00000186625	KATNA1
CUFF.371162	ENSG00000102781	KATNAL1
CUFF.193216	ENSG00000111262	KCNA1
CUFF.557700	ENSG00000104848	KCNA7
CUFF.669781	ENSG00000169282	KCNAB1
CUFF.409048	ENSG00000069424	KCNAB2
CUFF.438902	ENSG00000182674	KCNB2
CUFF.398892	ENSG00000129159	KCNC1
CUFF.652171	ENSG00000166006	KCNC2
CUFF.149318	ENSG00000131398	KCNC3
CUFF.561353	ENSG00000102057	KCND1
CUFF.684559	ENSG00000171385	KCND3
CUFF.76697	ENSG00000184611	KCNH7
CUFF.393885	ENSG00000183960	KCNH8
CUFF.452756	ENSG00000182132	KCNIP1
CUFF.674493	ENSG00000135750	KCNK1
CUFF.503856	ENSG00000100433	KCNK10
CUFF.11975	ENSG00000169427	KCNK9
CUFF.555549	ENSG00000080709	KCNN2
CUFF.551221	ENSG00000075043	KCNQ2
CUFF.165333	ENSG00000185760	KCNQ5
CUFF.421877	ENSG00000162687	KCNT2
CUFF.617243	ENSG00000178202	KDELC2
CUFF.299236	ENSG00000136240	KDELR2
CUFF.450751	ENSG00000173120	KDM2A
CUFF.37950	ENSG00000089094	KDM2B
CUFF.171014	ENSG00000115548	KDM3A
CUFF.57239	ENSG00000107077	KDM4C
CUFF.275653	ENSG00000117139	KDM5B
CUFF.252072	ENSG00000147050	KDM6A
CUFF.71865	ENSG00000182149	KIAA0174
CUFF.88662	ENSG00000164961	KIAA0196
CUFF.25406	ENSG00000166783	KIAA0430
CUFF.284357	ENSG00000135709	KIAA0513
CUFF.424869	ENSG00000047578	KIAA0556
CUFF.48427	ENSG00000102763	KIAA0564
CUFF.606171	ENSG00000132361	KIAA0664
CUFF.611814	ENSG00000153339	KIAA1012
CUFF.387303	ENSG00000138688	KIAA1109
CUFF.90608	ENSG00000047346	KIAA1370
CUFF.597310	ENSG00000107036	KIAA1432
CUFF.561488	ENSG00000134444	KIAA1468
CUFF.160903	ENSG00000050030	KIAA2022
CUFF.315430	ENSG00000054523	KIF1B
CUFF.124912	ENSG00000139116	KIF21A
CUFF.563204	ENSG00000066735	KIF26A
CUFF.278815	ENSG00000165115	KIF27
CUFF.408704	ENSG00000068796	KIF2A
CUFF.383514	ENSG00000131437	KIF3A
CUFF.697777	ENSG00000101350	KIF3B
CUFF.573196	ENSG00000155980	KIF5A
CUFF.282662	ENSG00000164627	KIF6
CUFF.525274	ENSG00000166813	KIF7
CUFF.176490	ENSG00000075945	KIFAP3
CUFF.229378	ENSG00000109787	KLF3
CUFF.654545	ENSG00000109466	KLHL2
CUFF.38202	ENSG00000076321	KLHL20
CUFF.587875	ENSG00000117009	KMO
CUFF.22412	ENSG00000108424	KPNB1
CUFF.498985	ENSG00000135537	LACE1
CUFF.373992	ENSG00000053747	LAMA3
CUFF.74034	ENSG00000091136	LAMB1
CUFF.513158	ENSG00000135862	LAMC1
CUFF.2521	ENSG00000133424	LARGE
CUFF.584788	ENSG00000155506	LARP1
CUFF.73269	ENSG00000138709	LARP1B
CUFF.559065	ENSG00000011376	LARS2
CUFF.307759	ENSG00000198728	LDB1
CUFF.257536	ENSG00000166796	LDHC
CUFF.342061	ENSG00000138795	LEF1
CUFF.260346	ENSG00000165046	LETM2
CUFF.190762	ENSG00000143355	LHX9
CUFF.330147	ENSG00000121897	LIAS
CUFF.225263	ENSG00000105486	LIG1
CUFF.60991	ENSG00000106683	LIMK1
CUFF.274644	ENSG00000169756	LIMS1
CUFF.214818	ENSG00000148943	LIN7C
CUFF.728084	ENSG00000183814	LIN9
CUFF.65730	ENSG00000182333	LIPF
CUFF.384734	ENSG00000074695	LMAN1
CUFF.198774	ENSG00000164187	LMBRD2
CUFF.230252	ENSG00000113368	LMNB1
CUFF.390706	ENSG00000048540	LMO3
CUFF.169745	ENSG00000113441	LNPEP
CUFF.149273	ENSG00000165714	LOH12CR1
CUFF.298080	ENSG00000102910	LONP2
CUFF.660856	ENSG00000167210	LOXHD1
CUFF.368435	ENSG00000198670	LPA
CUFF.713745	ENSG00000153395	LPCAT1
CUFF.184644	ENSG00000101577	LPIN2
CUFF.89842	ENSG00000186001	LRCH3
CUFF.495772	ENSG00000137507	LRRC32
CUFF.319440	ENSG00000171757	LRRC34
CUFF.565378	ENSG00000122477	LRRC39
CUFF.12066	ENSG00000137821	LRRC49
CUFF.90313	ENSG00000163428	LRRC58
CUFF.137874	ENSG00000033122	LRRC7
CUFF.397103	ENSG00000197147	LRRC8B
CUFF.272770	ENSG00000133640	LRRIQ1
CUFF.357351	ENSG00000148356	LRSAM1
CUFF.116855	ENSG00000161036	LRWD1
CUFF.471502	ENSG00000041802	LSG1
CUFF.414275	ENSG00000149657	LSM14B
CUFF.68188	ENSG00000111144	LTA4H
CUFF.133648	ENSG00000007392	LUC7L
CUFF.553	ENSG00000110514	MADD
CUFF.181950	ENSG00000120289	MAGEB4
CUFF.703664	ENSG00000187391	MAGI2
CUFF.72470	ENSG00000102158	MAGT1
CUFF.394881	ENSG00000111837	MAK
CUFF.202341	ENSG00000111885	MAN1A1
CUFF.577585	ENSG00000112893	MAN2A1
CUFF.114120	ENSG00000172469	MANEA
CUFF.391705	ENSG00000126934	MAP2K2
CUFF.237072	ENSG00000065559	MAP2K4
CUFF.208652	ENSG00000137764	MAP2K5
CUFF.363084	ENSG00000073803	MAP3K13
CUFF.191859	ENSG00000198909	MAP3K3
CUFF.423246	ENSG00000197442	MAP3K5
CUFF.489092	ENSG00000071054	MAP4K4
CUFF.196620	ENSG00000012983	MAP4K5
CUFF.146228	ENSG00000100030	MAPK1
CUFF.462607	ENSG00000107643	MAPK8
CUFF.12464	ENSG00000162889	MAPKAPK2
CUFF.17119	ENSG00000166974	MAPRE2
CUFF.171042	ENSG00000198060	MARCH_5
CUFF.90242	ENSG00000145495	MARCH_6
CUFF.571364	ENSG00000072518	MARK2
CUFF.397229	ENSG00000075413	MARK3
CUFF.100968	ENSG00000099308	MAST3
CUFF.269294	ENSG00000168906	MAT2A
CUFF.302224	ENSG00000140943	MBTPS1
CUFF.521438	ENSG00000100294	MCAT
CUFF.343144	ENSG00000078070	MCCC1
CUFF.21776	ENSG00000124370	MCEE
CUFF.360893	ENSG00000073111	MCM2
CUFF.510197	ENSG00000112118	MCM3
CUFF.499740	ENSG00000104738	MCM4
CUFF.517518	ENSG00000140563	MCTP2
CUFF.135893	ENSG00000232119	MCTS1
CUFF.140211	ENSG00000014641	MDH1
CUFF.720904	ENSG00000112159	MDN1
CUFF.85962	ENSG00000065833	ME1
CUFF.588049	ENSG00000082212	ME2
CUFF.2489	ENSG00000108510	MED13
CUFF.550735	ENSG00000116604	MEF2D
CUFF.140158	ENSG00000106780	MEGF9
CUFF.245849	ENSG00000143995	MEIS1
CUFF.621015	ENSG00000134138	MEIS2
CUFF.111947	ENSG00000145388	METTL14
CUFF.102504	ENSG00000165819	METTL3
CUFF.128467	ENSG00000123600	METTL8
CUFF.19813	ENSG00000118855	MFSD1
CUFF.614020	ENSG00000092931	MFSD11
CUFF.453432	ENSG00000151690	MFSD6
CUFF.596576	ENSG00000198408	MGEA5
CUFF.318118	ENSG00000101752	MIB1
CUFF.548584	ENSG00000079277	MKNK1
CUFF.153676	ENSG00000167548	MLL2
CUFF.320946	ENSG00000005483	MLL5
CUFF.235976	ENSG00000151611	MMAA
CUFF.200343	ENSG00000149968	MMP3
CUFF.451192	ENSG00000138587	MNS1
CUFF.305619	ENSG00000114978	MOBKL1B
CUFF.465076	ENSG00000115275	MOGS
CUFF.585974	ENSG00000185681	MORN5
CUFF.461859	ENSG00000107186	MPDZ
CUFF.716448	ENSG00000178802	MPI
CUFF.195665	ENSG00000135972	MRPS9
CUFF.378990	ENSG00000095002	MSH2
CUFF.525198	ENSG00000057468	MSH4
CUFF.41160	ENSG00000116062	MSH6
CUFF.581599	ENSG00000153944	MSI2
CUFF.319137	ENSG00000147065	MSN
CUFF.623603	ENSG00000174099	MSRB3
CUFF.101058	ENSG00000120149	MSX2
CUFF.397673	ENSG00000057935	MTA3
CUFF.533177	ENSG00000100714	MTHFD1
CUFF.593050	ENSG00000120254	MTHFD1L
CUFF.569899	ENSG00000085760	MTIF2
CUFF.590832	ENSG00000171100	MTM1
CUFF.286628	ENSG00000100330	MTMR3
CUFF.187701	ENSG00000139505	MTMR6
CUFF.132549	ENSG00000198793	MTOR
CUFF.631333	ENSG00000116984	MTR
CUFF.361138	ENSG00000146085	MUT
CUFF.438219	ENSG00000134323	MYCN
CUFF.293192	ENSG00000133026	MYH10
CUFF.471223	ENSG00000109063	MYH3
CUFF.508421	ENSG00000197616	MYH6
CUFF.673869	ENSG00000118680	MYL12B
CUFF.493	ENSG00000215375	MYL5
CUFF.141496	ENSG00000085274	MYNN
CUFF.133977	ENSG00000176658	MYO1D
CUFF.617925	ENSG00000157483	MYO1E
CUFF.421322	ENSG00000128833	MYO5C
CUFF.618876	ENSG00000196586	MYO6
CUFF.308033	ENSG00000137474	MYO7A
CUFF.315178	ENSG00000066933	MYO9A
CUFF.84627	ENSG00000138119	MYOF
CUFF.107791	ENSG00000103510	MYST1
CUFF.607321	ENSG00000156650	MYST4
CUFF.463897	ENSG00000172766	NAA16
CUFF.380644	ENSG00000159593	NAE1
CUFF.632421	ENSG00000105835	NAMPT
CUFF.178729	ENSG00000187109	NAP1L1
CUFF.567480	ENSG00000161048	NAPEPLD
CUFF.76962	ENSG00000134440	NARS
CUFF.160433	ENSG00000067798	NAV3
CUFF.488559	ENSG00000172915	NBEA
CUFF.366515	ENSG00000144426	NBEAL1
CUFF.473808	ENSG00000104490	NCALD
CUFF.551387	ENSG00000121152	NCAPH
CUFF.94714	ENSG00000136937	NCBP1
CUFF.3407	ENSG00000184752	NDUFA12
CUFF.121108	ENSG00000128609	NDUFA5
CUFF.205605	ENSG00000139180	NDUFA9
CUFF.173385	ENSG00000023228	NDUFS1
CUFF.91836	ENSG00000158864	NDUFS2
CUFF.130722	ENSG00000110717	NDUFS8
CUFF.158339	ENSG00000167792	NDUFV1
CUFF.468440	ENSG00000178127	NDUFV2
CUFF.106698	ENSG00000183091	NEB
CUFF.431013	ENSG00000049759	NEDD4L
CUFF.14409	ENSG00000137601	NEK1
CUFF.53217	ENSG00000114670	NEK11
CUFF.568328	ENSG00000151414	NEK7
CUFF.486062	ENSG00000173848	NET1
CUFF.74236	ENSG00000196712	NF1
CUFF.541866	ENSG00000162599	NFIA
CUFF.282029	ENSG00000165030	NFIL3
CUFF.350549	ENSG00000244005	NFS1
CUFF.44190	ENSG00000170448	NFXL1
CUFF.6255	ENSG00000120837	NFYB
CUFF.126205	ENSG00000164038	NHEDC2
CUFF.124078	ENSG00000140157	NIPA2
CUFF.349285	ENSG00000163293	NIPAL1
CUFF.449044	ENSG00000164190	NIPBL
CUFF.90388	ENSG00000163623	NKX6-1
CUFF.393561	ENSG00000087095	NLK
CUFF.193890	ENSG00000182261	NLRP10
CUFF.42580	ENSG00000158077	NLRP14
CUFF.457842	ENSG00000173614	NMNAT1
CUFF.487401	ENSG00000152465	NMT2
CUFF.534992	ENSG00000112992	NNT
CUFF.100957	ENSG00000139910	NOVA1
CUFF.74716	ENSG00000141279	NPEPPS
CUFF.85018	ENSG00000182446	NPLOC4
CUFF.229294	ENSG00000181163	NPM1
CUFF.574030	ENSG00000169418	NPR1
CUFF.251496	ENSG00000159899	NPR2
CUFF.373701	ENSG00000119508	NR4A3
CUFF.372867	ENSG00000116833	NR5A2
CUFF.398696	ENSG00000169752	NRG4
CUFF.670812	ENSG00000099250	NRP1
CUFF.234234	ENSG00000165671	NSD1
CUFF.150470	ENSG00000073969	NSF
CUFF.414758	ENSG00000076685	NT5C2
CUFF.615715	ENSG00000122643	NT5C3
CUFF.313164	ENSG00000151413	NUBPL
CUFF.560684	ENSG00000070081	NUCB2
CUFF.197102	ENSG00000167005	NUDT21
CUFF.336549	ENSG00000170917	NUDT6
CUFF.141429	ENSG00000170502	NUDT9
CUFF.463731	ENSG00000133961	NUMB
CUFF.660443	ENSG00000065154	OAT
CUFF.404398	ENSG00000173559	OBFC2A
CUFF.513456	ENSG00000104044	OCA2
CUFF.268766	ENSG00000197444	OGDHL
CUFF.15480	ENSG00000138430	OLA1
CUFF.319556	ENSG00000169856	ONECUT1
CUFF.400281	ENSG00000198836	OPA1
CUFF.112865	ENSG00000178814	OPLAH
CUFF.509679	ENSG00000085840	ORC1L
CUFF.209302	ENSG00000128699	ORMDL1
CUFF.313152	ENSG00000110048	OSBP
CUFF.121040	ENSG00000144909	OSBPL11
CUFF.561680	ENSG00000141447	OSBPL1A
CUFF.373616	ENSG00000130703	OSBPL2
CUFF.666691	ENSG00000070882	OSBPL3
CUFF.122303	ENSG00000117859	OSBPL9
CUFF.434469	ENSG00000164920	OSR2
CUFF.36237	ENSG00000134996	OSTF1
CUFF.475345	ENSG00000171540	OTP
CUFF.553012	ENSG00000163113	OTUD7B
CUFF.239905	ENSG00000165588	OTX2
CUFF.143462	ENSG00000172818	OVOL1
CUFF.186887	ENSG00000125850	OVOL2
CUFF.597598	ENSG00000083720	OXCT1
CUFF.145738	ENSG00000185624	P4HB
CUFF.36071	ENSG00000070756	PABPC1
CUFF.496781	ENSG00000171759	PAH
CUFF.693219	ENSG00000128050	PAICS
CUFF.714654	ENSG00000077264	PAK3
CUFF.528157	ENSG00000101349	PAK7
CUFF.367602	ENSG00000115421	PAPOLG
CUFF.508043	ENSG00000138801	PAPSS1
CUFF.77991	ENSG00000124171	PARD6B
CUFF.272306	ENSG00000227345	PARG
CUFF.491529	ENSG00000111224	PARP11
CUFF.265602	ENSG00000102699	PARP4
CUFF.309625	ENSG00000007372	PAX6
CUFF.625355	ENSG00000125618	PAX8
CUFF.107655	ENSG00000163939	PBRM1
CUFF.319545	ENSG00000167081	PBX3
CUFF.130018	ENSG00000132570	PCBD2
CUFF.4211	ENSG00000183570	PCBP3
CUFF.147931	ENSG00000175198	PCCA
CUFF.207694	ENSG00000102290	PCDH11X
CUFF.438642	ENSG00000243232	PCDHAC2
CUFF.157145	ENSG00000197479	PCDHB11
CUFF.562697	ENSG00000240184	PCDHGC3
CUFF.67840	ENSG00000100982	PCIF1
CUFF.454044	ENSG00000124253	PCK1
CUFF.118392	ENSG00000100889	PCK2
CUFF.130255	ENSG00000120265	PCMT1
CUFF.28128	ENSG00000100731	PCNX
CUFF.389654	ENSG00000175426	PCSK1
CUFF.32453	ENSG00000125851	PCSK2
CUFF.238767	ENSG00000099139	PCSK5
CUFF.256898	ENSG00000185813	PCYT2
CUFF.406278	ENSG00000150593	PDCD4
CUFF.425354	ENSG00000128655	PDE11A
CUFF.548240	ENSG00000115252	PDE1A
CUFF.250785	ENSG00000186642	PDE2A
CUFF.403839	ENSG00000205268	PDE7A
CUFF.23471	ENSG00000131828	PDHA1
CUFF.167622	ENSG00000168291	PDHB
CUFF.266221	ENSG00000155660	PDIA4
CUFF.647389	ENSG00000065485	PDIA5
CUFF.419177	ENSG00000152256	PDK1
CUFF.357755	ENSG00000067992	PDK3
CUFF.69293	ENSG00000083642	PDS5B
CUFF.352150	ENSG00000124299	PEPD
CUFF.68705	ENSG00000178921	PFAS
CUFF.506163	ENSG00000123836	PFKFB2
CUFF.531374	ENSG00000152556	PFKM
CUFF.9299	ENSG00000142657	PGD
CUFF.339569	ENSG00000169299	PGM2
CUFF.51442	ENSG00000013375	PGM3
CUFF.409948	ENSG00000227558	PGM5P2
CUFF.98760	ENSG00000164040	PGRMC2
CUFF.322098	ENSG00000112137	PHACTR1
CUFF.651530	ENSG00000112419	PHACTR2
CUFF.352939	ENSG00000109118	PHF12
CUFF.529363	ENSG00000102221	PHF16
CUFF.238302	ENSG00000044446	PHKA2
CUFF.101467	ENSG00000116793	PHTF1
CUFF.560175	ENSG00000038210	PI4K2B
CUFF.362045	ENSG00000183506	PI4KAP2
CUFF.524619	ENSG00000143393	PI4KB
CUFF.40434	ENSG00000033800	PIAS1
CUFF.359797	ENSG00000073921	PICALM
CUFF.353026	ENSG00000100151	PICK1
CUFF.116654	ENSG00000140451	PIF1
CUFF.674596	ENSG00000165195	PIGA
CUFF.518487	ENSG00000174227	PIGG
CUFF.448861	ENSG00000142892	PIGK
CUFF.196332	ENSG00000197563	PIGN
CUFF.227488	ENSG00000087111	PIGS
CUFF.254774	ENSG00000011405	PIK3C2A
CUFF.652159	ENSG00000078142	PIK3C3
CUFF.413428	ENSG00000117461	PIK3R3
CUFF.131060	ENSG00000137193	PIM1
CUFF.403575	ENSG00000198355	PIM3
CUFF.231080	ENSG00000150867	PIP4K2A
CUFF.637711	ENSG00000107242	PIP5K1B
CUFF.147032	ENSG00000241878	PISD
CUFF.514172	ENSG00000174238	PITPNA
CUFF.347777	ENSG00000180957	PITPNB
CUFF.606405	ENSG00000110697	PITPNM1
CUFF.210323	ENSG00000107959	PITRM1
CUFF.408929	ENSG00000164093	PITX2
CUFF.190314	ENSG00000134627	PIWIL4
CUFF.425464	ENSG00000118762	PKD2
CUFF.482666	ENSG00000078795	PKD2L2
CUFF.84218	ENSG00000067225	PKM2
CUFF.317863	ENSG00000065243	PKN2
CUFF.413423	ENSG00000145287	PLAC8
CUFF.167489	ENSG00000101333	PLCB4
CUFF.333634	ENSG00000138193	PLCE1
CUFF.694066	ENSG00000115896	PLCL1
CUFF.278976	ENSG00000075651	PLD1
CUFF.126787	ENSG00000175895	PLEKHF2
CUFF.514286	ENSG00000166851	PLK1
CUFF.547798	ENSG00000088970	PLK1S1
CUFF.199758	ENSG00000142731	PLK4
CUFF.143391	ENSG00000152952	PLOD2
CUFF.274189	ENSG00000120756	PLS1
CUFF.620781	ENSG00000187838	PLSCR3
CUFF.225944	ENSG00000231213	PLSCR5
CUFF.343483	ENSG00000146281	PM20D2
CUFF.265631	ENSG00000100417	PMM1
CUFF.187863	ENSG00000165688	PMPCA
CUFF.174344	ENSG00000105819	PMPCB
CUFF.212570	ENSG00000101868	POLA1
CUFF.366056	ENSG00000122008	POLK
CUFF.493629	ENSG00000181222	POLR2A
CUFF.345441	ENSG00000047315	POLR2B
CUFF.148969	ENSG00000102978	POLR2C
CUFF.186108	ENSG00000099821	POLRMT
CUFF.45285	ENSG00000137709	POU2F3
CUFF.355908	ENSG00000106536	POU6F2
CUFF.671354	ENSG00000067113	PPAP2A
CUFF.199514	ENSG00000141934	PPAP2C
CUFF.360746	ENSG00000132170	PPARG
CUFF.91858	ENSG00000131626	PPFIA1
CUFF.273209	ENSG00000139220	PPFIA2
CUFF.680005	ENSG00000168938	PPIC
CUFF.267542	ENSG00000100023	PPIL2
CUFF.57577	ENSG00000240344	PPIL3
CUFF.58174	ENSG00000185250	PPIL6
CUFF.390573	ENSG00000145725	PPIP5K2
CUFF.260926	ENSG00000100614	PPM1A
CUFF.136946	ENSG00000138032	PPM1B
CUFF.289332	ENSG00000170836	PPM1D
CUFF.572956	ENSG00000214517	PPME1
CUFF.473920	ENSG00000213639	PPP1CB
CUFF.341233	ENSG00000058272	PPP1R12A
CUFF.620397	ENSG00000101445	PPP1R16B
CUFF.481555	ENSG00000158528	PPP1R9A
CUFF.265154	ENSG00000113575	PPP2CA
CUFF.95495	ENSG00000137713	PPP2R1B
CUFF.361527	ENSG00000156475	PPP2R2B
CUFF.576970	ENSG00000073711	PPP2R3A
CUFF.513774	ENSG00000092020	PPP2R3C
CUFF.531179	ENSG00000078304	PPP2R5C
CUFF.498437	ENSG00000112640	PPP2R5D
CUFF.197553	ENSG00000107758	PPP3CB
CUFF.537602	ENSG00000221823	PPP3R1
CUFF.273255	ENSG00000149923	PPP4C
CUFF.138924	ENSG00000057657	PRDM1
CUFF.360335	ENSG00000167815	PRDX2
CUFF.174639	ENSG00000123131	PRDX4
CUFF.200079	ENSG00000116690	PRG4
CUFF.610723	ENSG00000072062	PRKACA
CUFF.317543	ENSG00000181929	PRKAG1
CUFF.228351	ENSG00000108946	PRKAR1A
CUFF.218923	ENSG00000163932	PRKCD
CUFF.475456	ENSG00000126583	PRKCG
CUFF.621005	ENSG00000185532	PRKG1
CUFF.557123	ENSG00000183943	PRKX
CUFF.329690	ENSG00000100462	PRMT5
CUFF.563022	ENSG00000184500	PROS1
CUFF.115205	ENSG00000119608	PROX2
CUFF.527266	ENSG00000196504	PRPF40A
CUFF.36231	ENSG00000112739	PRPF4B
CUFF.191794	ENSG00000101911	PRPS2
CUFF.640144	ENSG00000141127	PRPSAP2
CUFF.450139	ENSG00000154646	PRSS7
CUFF.37611	ENSG00000080815	PSEN1
CUFF.380670	ENSG00000129084	PSMA1
CUFF.192870	ENSG00000087191	PSMC5
CUFF.251979	ENSG00000100519	PSMC6
CUFF.212038	ENSG00000108671	PSMD11
CUFF.380941	ENSG00000106246	PTCD1
CUFF.297295	ENSG00000174915	PTDSS2
CUFF.148640	ENSG00000171862	PTEN
CUFF.181170	ENSG00000168267	PTF1A
CUFF.482968	ENSG00000112655	PTK7
CUFF.157109	ENSG00000206527	PTPLB
CUFF.425548	ENSG00000179295	PTPN11
CUFF.344649	ENSG00000169410	PTPN9
CUFF.224088	ENSG00000132670	PTPRA
CUFF.144760	ENSG00000153707	PTPRD
CUFF.459807	ENSG00000155093	PTPRN2
CUFF.654928	ENSG00000153233	PTPRR
CUFF.401515	ENSG00000105426	PTPRS
CUFF.472272	ENSG00000055917	PUM2
CUFF.90743	ENSG00000100994	PYGB
CUFF.169070	ENSG00000121350	PYROXD1
CUFF.317915	ENSG00000084733	RAB10
