Symbol	Name	ProbeId	Embryo:Log2FC	Embryo:adj_p-value	Pup:Log2FC	Pup:adj_p-value	Adult:Log2FC	Adult:adj_p-value
Mycl1	v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian)	A_52_P93284	Embryo:3.0059132779588	Embryo:1.05350915995598e-10	Pup:3.03070921179637	Pup:6.63361716238557e-11	Adult:2.71000282630098	Adult:1.18489592687844e-09
Angptl4	angiopoietin-like 4	A_51_P338443	Embryo:2.89932903350356	Embryo:3.57303506664861e-09	Pup:3.1868309493114	Pup:5.03388310743678e-10	Adult:2.64388310106301	Adult:3.34594933309124e-08
Efhd1	EF hand domain containing 1	A_51_P412846	Embryo:2.38898239894308	Embryo:0.00812395065855498	Pup:3.18992008795076	Pup:0.000456612946145354	Adult:3.11293020196466	Adult:0.00109090186858752
Frem2	Fras1 related extracellular matrix protein 2	A_51_P214503	Embryo:2.70229548419859	Embryo:0.000636489460867626	Pup:3.46063150568564	Pup:2.49447914219504e-05	Adult:2.46441609909393	Adult:0.00224262024107073
Synpo2	synaptopodin 2	A_52_P647260	Embryo:1.86744397870439	Embryo:0.000196411451409591	Pup:2.4765481606522	Pup:3.48742992554979e-06	Adult:4.2442709027013	Adult:9.59547115280101e-10
Igsf5	immunoglobulin superfamily, member 5	A_51_P118225	Embryo:3.57401223366194	Embryo:6.50116654032093e-10	Pup:2.2492366923856	Pup:1.26004943862756e-06	Adult:2.73897238643775	Adult:1.24630349724492e-07
Prkcb	protein kinase C, beta	A_52_P51355	Embryo:3.8715040121629	Embryo:2.78031201220167e-12	Pup:2.25981643758415	Pup:1.83556558381449e-08	Adult:2.35814752237886	Adult:2.19101078668609e-08
Tnfrsf25	tumor necrosis factor receptor superfamily, member 25	A_52_P460584	Embryo:2.85144699685401	Embryo:4.00122281558141e-06	Pup:3.12429437918725	Pup:7.97166886976157e-07	Adult:2.47146854480718	Adult:5.5055548397556e-05
Itga4	integrin alpha 4	A_52_P63892	Embryo:2.78232960234385	Embryo:2.79693589482802e-07	Pup:3.84310885774438	Pup:8.34508605586678e-10	Adult:1.81018120307278	Adult:0.000228451570080055
Rnf183	ring finger protein 183	A_51_P432288	Embryo:2.9981971895764	Embryo:7.59316951678043e-06	Pup:3.37262178663186	Pup:1.03388580013133e-06	Adult:2.02840783444502	Adult:0.00143862880666394
Slc46a3	solute carrier family 46, member 3	A_51_P299805	Embryo:2.530995134295	Embryo:1.57361090429526e-11	Pup:3.10926579636239	Pup:2.13392684139673e-13	Adult:2.73997668781475	Adult:5.97034499841936e-12
Neurod6	neurogenic differentiation 6	A_51_P394997	Embryo:6.02033943116513	Embryo:4.85734656568274e-12	Pup:1.24616344532312	Pup:0.0134448278868602	Adult:1.11125252299926	Adult:0.0375806602680415
Ldlrad3	low density lipoprotein receptor class A domain containing 3	A_52_P131778	Embryo:2.66082733503477	Embryo:2.23430417907566e-08	Pup:2.33648013030184	Pup:1.50260397606987e-07	Adult:3.27490328035632	Adult:1.00916395795987e-09
Adamtsl2	ADAMTS-like 2	A_51_P367780	Embryo:3.76251960067141	Embryo:5.45344801344265e-11	Pup:1.79302341278583	Pup:1.04395165189339e-05	Adult:2.65449805564368	Adult:5.10275634429086e-08
Syt1	synaptotagmin I	A_52_P103929	Embryo:2.94760217457439	Embryo:0.000279147574893261	Pup:1.98554940258087	Pup:0.00900220579516885	Adult:3.258368420276	Adult:0.00013889531787494
Abcc6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	A_51_P264336	Embryo:1.73407184941877	Embryo:0.00617881271945075	Pup:2.81534870790832	Pup:2.7608474640684e-05	Adult:3.61768595325881	Adult:1.69292815575344e-06
Il34	interleukin 34	A_51_P268234	Embryo:2.1523066982372	Embryo:0.00182654694726493	Pup:3.5964064753267	Pup:2.47737958976702e-06	Adult:2.4153906889251	Adult:0.000852523360996474
Mpzl1	myelin protein zero-like 1	A_51_P228295	Embryo:1.7670140238122	Embryo:7.56268700571798e-07	Pup:2.36987911774157	Pup:4.08789690087057e-09	Adult:3.95818829786776	Adult:7.63798034630804e-13
Ccl19	chemokine (C-C motif) ligand 19	A_51_P458258	Embryo:2.37329976639667	Embryo:2.54805075851533e-05	Pup:3.11981297653834	Pup:3.36222354703582e-07	Adult:2.59816802055581	Adult:1.34293675950688e-05
Gpr30	G protein-coupled receptor 30	A_51_P185939	Embryo:1.81258895687005	Embryo:8.85163845161042e-08	Pup:2.60669420139375	Pup:1.12071091673427e-10	Adult:3.66664991477753	Adult:4.38465354032812e-13
Akr1c14	aldo-keto reductase family 1, member C14	A_51_P284177	Embryo:1.37288595037491	Embryo:0.0364459241387581	Pup:2.46969236434753	Pup:0.000215660302046601	Adult:4.22053096666185	Adult:2.33149497398554e-07
Mpped1	metallophosphoesterase domain containing 1	A_51_P296846	Embryo:4.96566393395573	Embryo:5.52772590725272e-11	Pup:1.71819767784522	Pup:0.000571350625350299	Adult:1.37383926460551	Adult:0.00732096833321841
Foxc1	forkhead box C1	A_51_P107686	Embryo:1.53117937992976	Embryo:3.00701815667606e-05	Pup:3.2515929538349	Pup:9.96295303074045e-11	Adult:3.26351452237996	Adult:2.08043554690926e-10
Hmgcs2	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2	A_51_P116039	Embryo:2.33086856615843	Embryo:1.05260958124281e-06	Pup:2.57924016158322	Pup:1.61574474773136e-07	Adult:3.12121312944202	Adult:1.51447558515912e-08
Zap70	zeta-chain (TCR) associated protein kinase	A_51_P327141	Embryo:2.27894564202105	Embryo:4.15623008880159e-10	Pup:2.63689396095589	Pup:2.11098088749353e-11	Adult:3.07684090561261	Adult:2.87814179583065e-12
Fam187b	family with sequence similarity 187, member B	A_51_P440092	Embryo:2.40574520809131	Embryo:1.11302795535386e-05	Pup:2.53545862668445	Pup:4.17647487976881e-06	Adult:2.96592095914718	Adult:8.87239408400006e-07
Ctsw	cathepsin W	A_52_P264924	Embryo:3.599172468486	Embryo:1.03707079470838e-08	Pup:2.44723351508817	Pup:4.09028322981144e-06	Adult:1.86000899540953	Adult:0.000324885476620854
Pmepa1	prostate transmembrane protein, androgen induced 1	A_51_P449777	Embryo:3.56721472052691	Embryo:6.42772603034588e-10	Pup:2.64307684875489	Pup:8.67833374057911e-08	Adult:1.68807956916615	Adult:0.00014867453987425
Krt222	keratin 222	A_52_P392205	Embryo:1.08564264993881	Embryo:0.0369285096394302	Pup:3.7262609576218	Pup:1.46522968311458e-08	Adult:3.05127230974705	Adult:1.0368361700624e-06
Rims2	regulating synaptic membrane exocytosis 2	A_52_P376016	Embryo:2.75873384337593	Embryo:0.0126968277959131	Pup:2.24986112918025	Pup:0.03528620026616	Adult:2.85048333899592	Adult:0.0122828578071153
Nampt	nicotinamide phosphoribosyltransferase	A_51_P387235	Embryo:2.5573666320437	Embryo:4.0867196348909e-08	Pup:4.03000476448717	Pup:8.3818105959456e-12	Adult:1.25267060324708	Adult:0.00133245090773796
Ddit4l	DNA-damage-inducible transcript 4-like	A_51_P126702	Embryo:1.1966985398079	Embryo:0.0115209734473565	Pup:3.30649584422767	Pup:2.46109009598206e-08	Adult:3.32173154371086	Adult:5.7769878923253e-08
Nanos1	nanos homolog 1 (Drosophila)	A_52_P231232	Embryo:1.18192749248858	Embryo:2.5016134607183e-05	Pup:2.17441079090294	Pup:1.02409437432063e-09	Adult:4.43883388445025	Adult:3.65094554729534e-15
Atp1a2	ATPase, Na+/K+ transporting, alpha 2 polypeptide	A_52_P227267	Embryo:2.87276984727035	Embryo:7.57743481002517e-05	Pup:2.97764574578339	Pup:3.8389673573783e-05	Adult:1.92234177786575	Adult:0.00666813950052935
Jag2	jagged 2	A_51_P451338	Embryo:2.9360930597299	Embryo:2.02668336269659e-08	Pup:1.97582260608097	Pup:8.37440773977128e-06	Adult:2.85371612884728	Adult:6.07808650145571e-08
Kcnj10	potassium inwardly-rectifying channel, subfamily J, member 10	A_52_P260659	Embryo:2.37857644736455	Embryo:0.000639379616516325	Pup:2.0120901678356	Pup:0.00260944540913521	Adult:3.37495866512178	Adult:1.36805840936889e-05
Tspan5	tetraspanin 5	A_51_P281380	Embryo:1.74760956792803	Embryo:5.69283753003195e-06	Pup:3.07395091391538	Pup:3.61314755417915e-10	Adult:2.90048038401772	Adult:2.38753806059183e-09
Sdk2	sidekick homolog 2 (chicken)	A_52_P570543	Embryo:2.40903751852508	Embryo:5.55744065229382e-11	Pup:2.86501833606164	Pup:1.66920803801031e-12	Adult:2.43245222229441	Adult:7.60121622637327e-11
Wnk2	WNK lysine deficient protein kinase 2	A_52_P359718	Embryo:2.6611951018375	Embryo:0.000628604997828377	Pup:2.27248983591535	Pup:0.00236870989073725	Adult:2.75879861910413	Adult:0.000643603329117829
Myo1b	myosin IB	A_51_P126484	Embryo:2.52507299328409	Embryo:1.97303544425503e-11	Pup:2.96482388840861	Pup:5.96673986883128e-13	Adult:2.12931841942174	Adult:7.04231847118006e-10
Vax1	ventral anterior homeobox containing gene 1	A_51_P499371	Embryo:3.55653445467698	Embryo:4.3320977825433e-08	Pup:2.75478972674674	Pup:2.08769068641419e-06	Adult:1.29742059313348	Adult:0.0146454596907837
Pcp4	Purkinje cell protein 4	A_51_P253984	Embryo:3.69042569604986	Embryo:5.9832622833976e-07	Pup:2.02053832953706	Pup:0.00122800105925372	Adult:1.89376847068723	Adult:0.00380040712975219
Psma8	proteasome (prosome, macropain) subunit, alpha type, 8	A_51_P213666	Embryo:1.21860550173568	Embryo:0.0098093582290346	Pup:3.44161363556345	Pup:1.18075066377238e-08	Adult:2.91289125165201	Adult:4.97961149124396e-07
Heyl	hairy/enhancer-of-split related with YRPW motif-like	A_51_P339417	Embryo:2.99445723639581	Embryo:0.00021371902304355	Pup:1.54726649808385	Pup:0.0392318400077429	Adult:3.02413048883579	Adult:0.000305124355926017
Abhd2	abhydrolase domain containing 2	A_52_P664506	Embryo:2.21239518325256	Embryo:5.17966342327429e-08	Pup:2.69610815363201	Pup:1.2114651876248e-09	Adult:2.60678924283595	Adult:5.33284824521008e-09
B3gat1	beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P)	A_52_P17982	Embryo:3.09323318694858	Embryo:3.49562956070943e-05	Pup:2.97820349631246	Pup:4.70657369456809e-05	Adult:1.43366008654701	Adult:0.0450003850337209
Extl3	exostoses (multiple)-like 3	A_51_P208321	Embryo:1.85275002322508	Embryo:0.00244406489266152	Pup:2.59849531473763	Pup:4.60023364862159e-05	Adult:3.05307848615373	Adult:1.14405165331662e-05
Nomo1	nodal modulator 1	A_51_P105520	Embryo:1.40402280496792	Embryo:9.86935352611602e-06	Pup:3.62747875962502	Pup:5.36612046264305e-13	Adult:2.38824020421258	Adult:3.03915160098591e-09
2310046K01Rik	RIKEN cDNA 2310046K01 gene	A_51_P169374	Embryo:2.77861862209817	Embryo:3.09444818732399e-11	Pup:2.58203365822348	Pup:8.90930994921498e-11	Adult:2.05329828780402	Adult:1.29398565886039e-08
Ankrd6	ankyrin repeat domain 6	A_52_P84487	Embryo:1.52612830645911	Embryo:0.00139219026382325	Pup:1.25928306988526	Pup:0.00608507386293775	Adult:4.6272113726354	Adult:1.28578818484152e-10
Rgnef	Rho-guanine nucleotide exchange factor	A_51_P188772	Embryo:2.51851780914991	Embryo:2.16581905168816e-08	Pup:1.98077226017077	Pup:8.69895878999224e-07	Adult:2.88799356572668	Adult:3.41348679396626e-09
9630023C09Rik	RIKEN cDNA 9630023C09 gene	A_52_P440885	Embryo:1.85544739113042	Embryo:0.0168719051031803	Pup:1.85456485554348	Pup:0.0135908073915825	Adult:3.6439245684827	Adult:2.96638308862031e-05
Sybu	syntabulin (syntaxin-interacting)	A_52_P424308	Embryo:2.00726573626777	Embryo:0.008072187496545	Pup:2.48141696783081	Pup:0.0010088574102887	Adult:2.84581242291218	Adult:0.000454479609880883
AI593442	expressed sequence AI593442	A_51_P490747	Embryo:1.45225345832933	Embryo:0.026556104020517	Pup:4.24035151397842	Pup:8.59093871147282e-08	Adult:1.62777707475707	Adult:0.0153689922760249
Rgma	RGM domain family, member A	A_51_P311476	Embryo:2.13305889042345	Embryo:0.000199359076926138	Pup:3.15474224938381	Pup:6.56173083139239e-07	Adult:2.02331212078113	Adult:0.000569515172271705
Cacna1h	calcium channel, voltage-dependent, T type, alpha 1H subunit	A_51_P280384	Embryo:2.96729718855633	Embryo:0.000109590191980624	Pup:2.32565994316188	Pup:0.00131698748769862	Adult:2.00855630941272	Adult:0.00763255121329588
2610100L16Rik	RIKEN cDNA 2610100L16 gene	A_51_P403704	Embryo:3.69929093592059	Embryo:1.86661992873526e-05	Pup:1.83703607584344	Pup:0.0169533641324057	Adult:1.76442345529899	Adult:0.0307005936881497
Arxes2	adipocyte-related X-chromosome expressed sequence 2	A_52_P279294	Embryo:1.50974386751758	Embryo:5.97481882057907e-05	Pup:3.15810134258654	Pup:3.34511717327364e-10	Adult:2.63086534545972	Adult:2.07571642341171e-08
Kcnj2	potassium inwardly-rectifying channel, subfamily J, member 2	A_52_P503614	Embryo:2.41527910619176	Embryo:0.00340349452123933	Pup:3.1107103282928	Pup:0.000209458023082345	Adult:1.7543875319055	Adult:0.0373248760565067
Ppm1l	protein phosphatase 1 (formerly 2C)-like	A_51_P413111	Embryo:2.29076025478042	Embryo:5.6621746814035e-08	Pup:2.83896155916137	Pup:9.98645280034651e-10	Adult:2.14260985602946	Adult:3.28672146846588e-07
A530016L24Rik	RIKEN cDNA A530016L24 gene	A_52_P38117	Embryo:2.11013855576768	Embryo:0.000233058528084805	Pup:1.98622074026716	Pup:0.000370899872178654	Adult:3.1697439652243	Adult:1.54745312773092e-06
B3galt5	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5	A_51_P301435	Embryo:2.07578987435144	Embryo:0.00103054543998176	Pup:2.52992991550887	Pup:8.64439891653598e-05	Adult:2.65837193979649	Adult:9.8226973134906e-05
Slc30a1	solute carrier family 30 (zinc transporter), member 1	A_51_P300572	Embryo:2.44783940215538	Embryo:1.72694451585697e-09	Pup:2.36415021420257	Pup:2.31151842818443e-09	Adult:2.43949817544138	Adult:3.18522020353722e-09
Snap91	synaptosomal-associated protein 91	A_51_P311199	Embryo:4.03364703466743	Embryo:1.03584411463714e-06	Pup:1.63233476960385	Pup:0.017904714805946	Adult:1.58452005502249	Adult:0.0303453274307646
Igf1r	insulin-like growth factor I receptor	A_52_P634111	Embryo:1.37399688015398	Embryo:0.00157151229844875	Pup:2.07589045195905	Pup:8.52399203435747e-06	Adult:3.78762980850949	Adult:9.59126217961881e-10
Sp5	trans-acting transcription factor 5	A_51_P404193	Embryo:2.50946770541905	Embryo:1.47959631037947e-05	Pup:2.34147978956307	Pup:3.10415094289782e-05	Adult:2.33231674114463	Adult:7.13650462824644e-05
Tmem154	transmembrane protein 154	A_52_P523503	Embryo:3.08781738921072	Embryo:6.50635491755623e-08	Pup:2.92589807544162	Pup:1.21596911387229e-07	Adult:1.12450388248671	Adult:0.0174048196256632
Gpr172b	G protein-coupled receptor 172B	A_51_P288828	Embryo:1.89807783559654	Embryo:5.69340690660456e-09	Pup:2.84595712804429	Pup:2.51555297516682e-12	Adult:2.38575305462032	Adult:1.52270944746636e-10
Agrn	agrin	A_51_P292276	Embryo:2.81109044127384	Embryo:6.82317493135342e-07	Pup:2.16812896188407	Pup:2.51095296071282e-05	Adult:2.14944104339546	Adult:6.11379208309829e-05
Mcf2l	mcf.2 transforming sequence-like	A_52_P254908	Embryo:3.74956921538165	Embryo:9.19923546509697e-12	Pup:1.82273213195398	Pup:1.69599691608329e-06	Adult:1.53180048133641	Adult:4.64161765270502e-05
Slc6a17	solute carrier family 6 (neurotransmitter transporter), member 17	A_51_P215374	Embryo:1.84144142331904	Embryo:4.22479547045346e-08	Pup:3.48402526542648	Pup:2.87177347775803e-13	Adult:1.76435933649334	Adult:1.6289018517379e-07
Cd83	CD83 antigen	A_51_P199135	Embryo:4.39448587299106	Embryo:1.92910550646058e-10	Pup:1.19072750565835	Pup:0.00919359681579809	Adult:1.49848836070538	Adult:0.00231456548500818
Sept5	septin 5	A_51_P464530	Embryo:2.54574978842436	Embryo:3.27937225680867e-09	Pup:2.17471749797607	Pup:3.6439216190801e-08	Adult:2.34355475385299	Adult:2.54251447867443e-08
Src	Rous sarcoma oncogene	A_52_P600547	Embryo:2.5109290786047	Embryo:5.45877165713818e-09	Pup:2.86325973897617	Pup:3.89396284582249e-10	Adult:1.68471332566974	Adult:7.0757670472115e-06
Tiam1	T-cell lymphoma invasion and metastasis 1	A_51_P371974	Embryo:1.86085710693201	Embryo:3.34322540040975e-08	Pup:2.37406321871307	Pup:3.39699375107766e-10	Adult:2.80824411172971	Adult:3.49462082335896e-11
Stmn3	stathmin-like 3	A_51_P140690	Embryo:3.42498974562688	Embryo:5.74516727415103e-08	Pup:2.46429316101393	Pup:7.90577647961326e-06	Adult:1.14726066601509	Adult:0.0276119493582804
Fam13c	family with sequence similarity 13, member C	A_52_P590781	Embryo:2.07744900117724	Embryo:0.000169456445336491	Pup:1.50505320499472	Pup:0.00367488454458102	Adult:3.39882272416062	Adult:2.50433167173252e-07
Cobll1	Cobl-like 1	A_52_P486774	Embryo:1.13498718874034	Embryo:0.00508605453104889	Pup:2.61917414004857	Pup:8.85387063755094e-08	Adult:3.20868587078672	Adult:6.49263592701599e-09
Abcb1b	ATP-binding cassette, sub-family B (MDR/TAP), member 1B	A_51_P245368	Embryo:1.7537482167391	Embryo:2.64876335649036e-06	Pup:2.26797885307346	Pup:3.32986368854224e-08	Adult:2.92123308395567	Adult:9.31095154185667e-10
Zp3	zona pellucida glycoprotein 3	A_51_P152973	Embryo:2.68187372852538	Embryo:4.86323073055569e-06	Pup:2.19490676580419	Pup:6.34434706865653e-05	Adult:2.05211691477443	Adult:0.000293913592965464
Rab33a	RAB33A, member of RAS oncogene family	A_52_P66226	Embryo:3.61879981122149	Embryo:1.71060300403855e-08	Pup:1.92769828686099	Pup:0.000163161440766018	Adult:1.32899633680291	Adult:0.00956474442818419
Bai1	brain-specific angiogenesis inhibitor 1	A_51_P295848	Embryo:2.58230851191686	Embryo:2.61970276208881e-06	Pup:2.6066977442055	Pup:1.88617905691396e-06	Adult:1.68190230370677	Adult:0.00105984926154899
Atox1	ATX1 (antioxidant protein 1) homolog 1 (yeast)	A_51_P346153	Embryo:1.90506600902681	Embryo:1.22691461453389e-05	Pup:2.23620667438581	Pup:8.86414719021977e-07	Adult:2.72592894500929	Adult:8.45898595264584e-08
Pop5	processing of precursor 5, ribonuclease P/MRP family (S. cerevisiae)	A_51_P490204	Embryo:2.10373244687075	Embryo:1.62069552982237e-09	Pup:2.63936475921579	Pup:1.83127250478536e-11	Adult:2.08819442066243	Adult:3.17937216058078e-09
Rasgrp4	RAS guanyl releasing protein 4	A_51_P227718	Embryo:2.00508256048959	Embryo:7.05742296998343e-05	Pup:1.99866582692838	Pup:5.9586088687925e-05	Adult:2.82399561958965	Adult:9.25680934149164e-07
Hepacam	hepatocyte cell adhesion molecule	A_51_P293307	Embryo:1.06259533269708	Embryo:0.0356520586717866	Pup:2.91879974246563	Pup:5.47163361979084e-07	Adult:2.83123995992176	Adult:2.18238891184591e-06
Slc7a10	solute carrier family 7 (cationic amino acid transporter, y+ system), member 10	A_51_P268193	Embryo:2.09829360686943	Embryo:0.0340965040534743	Pup:2.46326643697407	Pup:0.0100959263376448	Adult:2.19624121573882	Adult:0.0300478942352837
Enah	enabled homolog (Drosophila)	A_51_P203062	Embryo:1.6844261591554	Embryo:7.05145048172097e-05	Pup:1.78387630621336	Pup:2.67466319155856e-05	Adult:3.28910388073216	Adult:3.36098268608697e-09
Phactr3	phosphatase and actin regulator 3	A_51_P451292	Embryo:3.48413029114289	Embryo:1.29343867916021e-07	Pup:1.96286339758045	Pup:0.000348482396156489	Adult:1.29004852289631	Adult:0.0204131530679253
Hapln3	hyaluronan and proteoglycan link protein 3	A_51_P244213	Embryo:2.50549515187274	Embryo:9.64766132367291e-12	Pup:2.85522670634299	Pup:5.02313815979685e-13	Adult:1.36837277875878	Adult:6.87598985783499e-07
Glt25d2	glycosyltransferase 25 domain containing 2	A_51_P331431	Embryo:3.71182007108748	Embryo:2.90870179620096e-10	Pup:1.55132635286833	Pup:0.000193497006196249	Adult:1.41194277597405	Adult:0.0010225883798963
Ctnnbip1	catenin beta interacting protein 1	A_51_P335849	Embryo:1.60504625195751	Embryo:1.29536600060287e-08	Pup:1.93934639031652	Pup:3.31746493277588e-10	Adult:3.0908165188959	Adult:1.16797620377321e-13
Tsc22d1	TSC22 domain family, member 1	A_51_P341918	Embryo:1.30405695562133	Embryo:0.000870831610507958	Pup:2.69535508719011	Pup:2.20229140341039e-08	Adult:2.63342530149988	Adult:8.30053814750041e-08
Ankrd37	ankyrin repeat domain 37	A_52_P319438	Embryo:2.32505237436134	Embryo:1.08080469267088e-10	Pup:1.64205737534894	Pup:3.73497627692841e-08	Adult:2.66120026763292	Adult:1.59562469923162e-11
Gng3	guanine nucleotide binding protein (G protein), gamma 3	A_51_P391291	Embryo:3.28811548020475	Embryo:5.85210031481506e-10	Pup:2.01871162580758	Pup:1.69981938518095e-06	Adult:1.23577135813195	Adult:0.00163988508654488
Ggt1	gamma-glutamyltransferase 1	A_51_P468073	Embryo:1.5293962696125	Embryo:0.0457150709924289	Pup:1.9301882719106	Pup:0.00894252625693072	Adult:3.08196096357185	Adult:0.000189636560187657
Ggt7	gamma-glutamyltransferase 7	A_51_P265312	Embryo:2.75107711611425	Embryo:9.33790336343696e-07	Pup:2.15453180158918	Pup:2.67658460991429e-05	Adult:1.61749668251308	Adult:0.00144675631793853
Stx1a	syntaxin 1A (brain)	A_51_P182728	Embryo:2.56251704111879	Embryo:1.9776761369314e-10	Pup:2.63006918711621	Pup:9.43099844410712e-11	Adult:1.30513886828507	Adult:2.5530205425389e-05
Bok	BCL2-related ovarian killer protein	A_51_P373082	Embryo:2.02782846690047	Embryo:1.5595690651444e-08	Pup:2.56728045444537	Pup:1.74601048730749e-10	Adult:1.90040978339912	Adult:8.68733171188158e-08
Dixdc1	DIX domain containing 1	A_51_P468876	Embryo:1.40527398701267	Embryo:0.0114926492822408	Pup:1.1186825978629	Pup:0.0371815912421044	Adult:3.95748076403921	Adult:4.46118386980718e-08
Foxs1	forkhead box S1	A_51_P296249	Embryo:2.35760264127461	Embryo:7.50885413820175e-05	Pup:2.47041264003884	Pup:3.29097250956564e-05	Adult:1.64993742383179	Adult:0.00468261940111712
Tril	TLR4 interactor with leucine-rich repeats	A_51_P378870	Embryo:2.96532154398169	Embryo:3.46988415413011e-08	Pup:1.04346644036528	Pup:0.0114664283443539	Adult:2.31166352467217	Adult:3.73915918270563e-06
Ablim1	actin-binding LIM protein 1	A_52_P533161	Embryo:1.85574406351844	Embryo:0.000716069009608861	Pup:1.82816772931098	Pup:0.000662560343588566	Adult:2.61086874509659	Adult:1.78091719841014e-05
Hspb1	heat shock protein 1	A_52_P404533	Embryo:2.31106868060573	Embryo:9.05022247385083e-07	Pup:2.0476210702592	Pup:4.54074423602998e-06	Adult:1.92077732584622	Adult:2.57728053392512e-05
Gm5086	predicted gene 5086	A_52_P1027961	Embryo:2.53599299523183	Embryo:7.13748947061248e-06	Pup:1.36400534158437	Pup:0.00607057633708436	Adult:2.366658902227	Adult:3.44718991802745e-05
Cd248	CD248 antigen, endosialin	A_51_P188271	Embryo:2.09112380471869	Embryo:0.000368347198544825	Pup:2.14118550820969	Pup:0.00022661044933734	Adult:2.03362876418131	Adult:0.000765608587902366
Slc31a1	solute carrier family 31, member 1	A_52_P563655	Embryo:1.00437495464721	Embryo:2.8815461098096e-05	Pup:2.88612321728142	Pup:3.21665519216032e-13	Adult:2.37127074887028	Adult:2.95122830028075e-11
Slc39a10	solute carrier family 39 (zinc transporter), member 10	A_51_P223498	Embryo:1.29684305075026	Embryo:0.0294418890029511	Pup:2.66073695385505	Pup:2.5563421109382e-05	Adult:2.28528899644294	Adult:0.000350633610436463
Rnft2	ring finger protein, transmembrane 2	A_51_P518688	Embryo:2.57847004584493	Embryo:8.62975849333661e-06	Pup:2.02798076765431	Pup:0.000166718754329557	Adult:1.61586065442998	Adult:0.00312580860164331
Gm22	predicted gene 22	A_52_P560146	Embryo:1.29982095218759	Embryo:0.000312690549406362	Pup:1.8326280977039	Pup:2.5290631012789e-06	Adult:3.07999951208575	Adult:9.31095154185667e-10
Afap1l2	actin filament associated protein 1-like 2	A_51_P197596	Embryo:1.75953397862242	Embryo:1.50619824696962e-05	Pup:1.57754568227732	Pup:5.4026353269251e-05	Adult:2.84562411456237	Adult:1.28985923498576e-08
Tcf7	transcription factor 7, T-cell specific	A_52_P244702	Embryo:1.79079757433562	Embryo:3.41985897412604e-08	Pup:1.90001006201877	Pup:9.1393716160416e-09	Adult:2.4890826603868	Adult:1.62582732092622e-10
Abcg2	ATP-binding cassette, sub-family G (WHITE), member 2	A_51_P184886	Embryo:1.33605654320956	Embryo:7.22213472926974e-06	Pup:1.9595517226616	Pup:1.1770575501923e-08	Adult:2.87556411762957	Adult:2.67160887463358e-11
5830468F06Rik	RIKEN cDNA 5830468F06 gene	A_51_P117640	Embryo:2.54471197589728	Embryo:3.81646260612041e-09	Pup:2.2262033034041	Pup:2.89169211012561e-08	Adult:1.38934730573978	Adult:8.87874573536776e-05
Ccdc136	coiled-coil domain containing 136	A_51_P135732	Embryo:2.36190834593921	Embryo:5.50628403424234e-06	Pup:2.67556255007264	Pup:6.56477820388426e-07	Adult:1.12060651684082	Adult:0.0193459466840842
Slc6a6	solute carrier family 6 (neurotransmitter transporter, taurine), member 6	A_52_P178151	Embryo:2.25607007521469	Embryo:1.08826384080192e-06	Pup:1.01747092537939	Pup:0.00887852075704134	Adult:2.88322313371047	Adult:3.63131827778758e-08
E030011O05Rik	RIKEN cDNA E030011O05 gene	A_52_P172704	Embryo:2.60073874150108	Embryo:1.99920721583963e-05	Pup:1.8211731906398	Pup:0.00112971734649437	Adult:1.68941677653646	Adult:0.00385838340303208
Dtx4	deltex 4 homolog (Drosophila)	A_51_P144349	Embryo:2.58742598448112	Embryo:1.32893332593188e-08	Pup:2.12617148655045	Pup:2.6258690817449e-07	Adult:1.3828335957549	Adult:0.000263074457769842
Igsf21	immunoglobin superfamily, member 21	A_52_P305230	Embryo:2.65622477456017	Embryo:2.64876335649036e-06	Pup:2.21570511019944	Pup:2.956202378574e-05	Adult:1.19060247036731	Adult:0.020520833452762
Zic2	zinc finger protein of the cerebellum 2	A_51_P364592	Embryo:1.53153925764342	Embryo:0.00258599681567446	Pup:2.17138290931906	Pup:4.31026757631355e-05	Adult:2.32548169039833	Adult:3.8099748752415e-05
Arxes1	adipocyte-related X-chromosome expressed sequence 1	A_51_P346815	Embryo:1.49234387391813	Embryo:0.00395281435865345	Pup:2.94847522969696	Pup:6.95655365908604e-07	Adult:1.5805386840479	Adult:0.00326664188293168
Fbxo41	F-box protein 41	A_52_P397498	Embryo:1.92858101673581	Embryo:8.48191830794489e-06	Pup:2.1189321801482	Pup:1.68351706610483e-06	Adult:1.97010692150878	Adult:1.17192484076202e-05
Tmsb15l	thymosin beta 15b like	A_51_P181751	Embryo:1.91462603921322	Embryo:1.66463903956792e-06	Pup:1.67076133968901	Pup:1.02752717387354e-05	Adult:2.40531254812251	Adult:8.03490560795072e-08
Nid2	nidogen 2	A_51_P315666	Embryo:1.76488822714666	Embryo:1.10659712152561e-06	Pup:1.85816690643712	Pup:3.79718709441716e-07	Adult:2.364352479346	Adult:1.59970523494006e-08
Selm	selenoprotein M	A_52_P357133	Embryo:2.46193120553118	Embryo:2.53074758591175e-08	Pup:1.89117794961609	Pup:1.46268702505627e-06	Adult:1.61836066621653	Adult:3.24473186296837e-05
