GeneID	Gene Symbol	Name
1027	CDKN1B	Cyclin-dependent kinase inhibitor 1B (p27, Kip1)
10130	TXNDC7	Thioredoxin domain containing 7 (protein disulfide isomerase)
8321	FZD1	Frizzled homolog 1 (Drosophila)
9663	LPIN2	Lipin 2
219771	C10orf9	Chromosome 10 open reading frame 9
463	ATBF1	AT-binding transcription factor 1
715	C1R	Complement component 1, r subcomponent
84928	FLJ14803	Hypothetical protein FLJ14803
965	CD58	CD58 antigen, (lymphocyte function-associated antigen 3)
3054	HCFC1	Host cell factor C1 (VP16-accessory protein)
2078	ERG	V-ets erythroblastosis virus E26 oncogene like (avian)
202018	FLJ90013	Hypothetical protein FLJ90013
23475	QPRT	Quinolinate phosphoribosyltransferase (nicotinate-nucleotide pyrophosphorylase (carboxylating))
10449	ACAA2	Acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)
7629	ZNF76	Zinc finger protein 76 (expressed in testis)
8913	CACNA1G	Calcium channel, voltage-dependent, alpha 1G subunit
56922	MCCC1	Methylcrotonoyl-Coenzyme A carboxylase 1 (alpha)
6882	TAF11	TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28kDa
89781	HPS4	Hermansky-Pudlak syndrome 4
84264	HAGHL	Hydroxyacylglutathione hydrolase-like
7157	TP53	Tumor protein p53 (Li-Fraumeni syndrome)
54463	FLJ20152	Hypothetical protein FLJ20152
10157	AASS	Aminoadipate-semialdehyde synthase
5078	PAX4	Paired box gene 4
133383	MGC33648	Hypothetical protein MGC33648
4205	MEF2A	MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)
94107	MGC14327	Hypothetical protein MGC14327
54664	FLJ11273	Hypothetical protein FLJ11273
81618	ITM2C	Integral membrane protein 2C
6622	SNCA	Synuclein, alpha (non A4 component of amyloid precursor)
89894	LOC89894	Hypothetical protein BC000282
258010	DKFZp313A2432	Hypothetical protein DKFZp313A2432
11274	USP18	Ubiquitin specific protease 18
54537	FAM35A	Family with sequence similarity 35, member A
9736	USP34	Ubiquitin specific protease 34
144165	PRICKLE1	Prickle-like 1 (Drosophila)
389782	0	Hypothetical LOC389782
