GO	MiRNA Name	p	FDR	Enrichment
embryonic limb morphogenesis	mmu-miR-718	0.000019283	0.3275	3.045794604
embryonic limb morphogenesis	mmu-miR-92b	0.000019283	0.3275	3.045794604
insulin secretion	mmu-let-7c-1	0.000020466	0.3025	4.370053128
insulin secretion	mmu-let-7f	0.000020466	0.3025	4.370053128
insulin secretion	mmu-miR-129-3p	0.000020466	0.3025	4.370053128
insulin secretion	mmu-miR-191	0.000020466	0.3025	4.370053128
insulin secretion	mmu-miR-29b	0.000020466	0.3025	4.370053128
insulin secretion	mmu-miR-351	0.000020466	0.3025	4.370053128
insulin secretion	mmu-miR-718	0.000020466	0.3025	4.370053128
insulin secretion	mmu-miR-92b	0.000020466	0.3025	4.370053128
muscle contraction	mmu-let-7c-1	0.000024853	0.15	5.139778395
muscle contraction	mmu-let-7f	0.000024853	0.15	5.139778395
muscle contraction	mmu-miR-129-3p	0.000024853	0.15	5.139778395
muscle contraction	mmu-miR-18a	0.000024853	0.15	5.139778395
muscle contraction	mmu-miR-191	0.000024853	0.15	5.139778395
muscle contraction	mmu-miR-29b	0.000024853	0.15	5.139778395
muscle contraction	mmu-miR-351	0.000024853	0.15	5.139778395
muscle contraction	mmu-miR-92b	0.000024853	0.15	5.139778395
inner ear morphogenesis	mmu-let-7c-1	0.000025741	0.33	2.990416521
inner ear morphogenesis	mmu-let-7f	0.000025741	0.33	2.990416521
inner ear morphogenesis	mmu-miR-129-3p	0.000025741	0.33	2.990416521
inner ear morphogenesis	mmu-miR-184	0.000025741	0.33	2.990416521
inner ear morphogenesis	mmu-miR-186	0.000025741	0.33	2.990416521
inner ear morphogenesis	mmu-miR-191	0.000025741	0.33	2.990416521
inner ear morphogenesis	mmu-miR-29b	0.000025741	0.33	2.990416521
inner ear morphogenesis	mmu-miR-351	0.000025741	0.33	2.990416521
inner ear morphogenesis	mmu-miR-718	0.000025741	0.33	2.990416521
inner ear morphogenesis	mmu-miR-92b	0.000025741	0.33	2.990416521
angiogenesis	mmu-let-7c-1	0.000027067	0.3425	2.424203869
angiogenesis	mmu-let-7f	0.000027067	0.3425	2.424203869
angiogenesis	mmu-miR-129-3p	0.000027067	0.3425	2.424203869
angiogenesis	mmu-miR-184	0.000027067	0.3425	2.424203869
angiogenesis	mmu-miR-186	0.000027067	0.3425	2.424203869
angiogenesis	mmu-miR-18a	0.000027067	0.3425	2.424203869
angiogenesis	mmu-miR-191	0.000027067	0.3425	2.424203869
angiogenesis	mmu-miR-29b	0.000027067	0.3425	2.424203869
angiogenesis	mmu-miR-351	0.000027067	0.3425	2.424203869
angiogenesis	mmu-miR-718	0.000027067	0.3425	2.424203869
angiogenesis	mmu-miR-92b	0.000027067	0.3425	2.424203869
neural tube closure	mmu-let-7c-1	0.000029342	0.31	3.712062174
neural tube closure	mmu-let-7f	0.000029342	0.31	3.712062174
neural tube closure	mmu-miR-129-3p	0.000029342	0.31	3.712062174
neural tube closure	mmu-miR-184	0.000029342	0.31	3.712062174
neural tube closure	mmu-miR-186	0.000029342	0.31	3.712062174
neural tube closure	mmu-miR-29b	0.000029342	0.31	3.712062174
neural tube closure	mmu-miR-718	0.000029342	0.31	3.712062174
neural tube closure	mmu-miR-92b	0.000029342	0.31	3.712062174
negative regulation of cell cycle	mmu-let-7c-1	0.000031353	0.355	2.562924728
negative regulation of cell cycle	mmu-let-7f	0.000031353	0.355	2.562924728
negative regulation of cell cycle	mmu-miR-129-3p	0.000031353	0.355	2.562924728
negative regulation of cell cycle	mmu-miR-184	0.000031353	0.355	2.562924728
negative regulation of cell cycle	mmu-miR-18a	0.000031353	0.355	2.562924728
negative regulation of cell cycle	mmu-miR-191	0.000031353	0.355	2.562924728
negative regulation of cell cycle	mmu-miR-29b	0.000031353	0.355	2.562924728
negative regulation of cell cycle	mmu-miR-351	0.000031353	0.355	2.562924728
negative regulation of cell cycle	mmu-miR-718	0.000031353	0.355	2.562924728
negative regulation of cell cycle	mmu-miR-92b	0.000031353	0.355	2.562924728
negative regulation of neuron differentiation	mmu-let-7c-1	0.000032693	0.31	3.916021634
negative regulation of neuron differentiation	mmu-let-7f	0.000032693	0.31	3.916021634
negative regulation of neuron differentiation	mmu-miR-129-3p	0.000032693	0.31	3.916021634
negative regulation of neuron differentiation	mmu-miR-186	0.000032693	0.31	3.916021634
negative regulation of neuron differentiation	mmu-miR-191	0.000032693	0.31	3.916021634
negative regulation of neuron differentiation	mmu-miR-29b	0.000032693	0.31	3.916021634
negative regulation of neuron differentiation	mmu-miR-351	0.000032693	0.31	3.916021634
negative regulation of neuron differentiation	mmu-miR-92b	0.000032693	0.31	3.916021634
positive regulation of neuroblast proliferation	mmu-let-7c-1	0.000033258	0.2125	6.396168669
positive regulation of neuroblast proliferation	mmu-miR-129-3p	0.000033258	0.2125	6.396168669
positive regulation of neuroblast proliferation	mmu-miR-184	0.000033258	0.2125	6.396168669
positive regulation of neuroblast proliferation	mmu-miR-186	0.000033258	0.2125	6.396168669
positive regulation of neuroblast proliferation	mmu-miR-18a	0.000033258	0.2125	6.396168669
positive regulation of neuroblast proliferation	mmu-miR-92b	0.000033258	0.2125	6.396168669
endocytosis	mmu-let-7c-1	0.00003464	0.3625	2.349612981
endocytosis	mmu-let-7f	0.00003464	0.3625	2.349612981
endocytosis	mmu-miR-129-3p	0.00003464	0.3625	2.349612981
endocytosis	mmu-miR-184	0.00003464	0.3625	2.349612981
endocytosis	mmu-miR-186	0.00003464	0.3625	2.349612981
endocytosis	mmu-miR-18a	0.00003464	0.3625	2.349612981
endocytosis	mmu-miR-191	0.00003464	0.3625	2.349612981
endocytosis	mmu-miR-29b	0.00003464	0.3625	2.349612981
endocytosis	mmu-miR-351	0.00003464	0.3625	2.349612981
endocytosis	mmu-miR-718	0.00003464	0.3625	2.349612981
endocytosis	mmu-miR-92b	0.00003464	0.3625	2.349612981
cell proliferation	mmu-let-7c-1	0.000037473	0.34	2.195805412
cell proliferation	mmu-let-7f	0.000037473	0.34	2.195805412
cell proliferation	mmu-miR-129-3p	0.000037473	0.34	2.195805412
cell proliferation	mmu-miR-184	0.000037473	0.34	2.195805412
cell proliferation	mmu-miR-186	0.000037473	0.34	2.195805412
cell proliferation	mmu-miR-191	0.000037473	0.34	2.195805412
cell proliferation	mmu-miR-29b	0.000037473	0.34	2.195805412
cell proliferation	mmu-miR-351	0.000037473	0.34	2.195805412
cell proliferation	mmu-miR-718	0.000037473	0.34	2.195805412
cell proliferation	mmu-miR-92b	0.000037473	0.34	2.195805412
DNA repair	mmu-let-7c-1	0.000042374	0.36	2.007055404
DNA repair	mmu-let-7f	0.000042374	0.36	2.007055404
DNA repair	mmu-miR-129-3p	0.000042374	0.36	2.007055404
DNA repair	mmu-miR-184	0.000042374	0.36	2.007055404
DNA repair	mmu-miR-186	0.000042374	0.36	2.007055404
DNA repair	mmu-miR-18a	0.000042374	0.36	2.007055404
DNA repair	mmu-miR-191	0.000042374	0.36	2.007055404
DNA repair	mmu-miR-29b	0.000042374	0.36	2.007055404
DNA repair	mmu-miR-351	0.000042374	0.36	2.007055404
DNA repair	mmu-miR-718	0.000042374	0.36	2.007055404
DNA repair	mmu-miR-92b	0.000042374	0.36	2.007055404
negative regulation of transcription	mmu-let-7c-1	0.000043249	0.315	2.577210819
negative regulation of transcription	mmu-let-7f	0.000043249	0.315	2.577210819
negative regulation of transcription	mmu-miR-129-3p	0.000043249	0.315	2.577210819
negative regulation of transcription	mmu-miR-184	0.000043249	0.315	2.577210819
negative regulation of transcription	mmu-miR-186	0.000043249	0.315	2.577210819
negative regulation of transcription	mmu-miR-18a	0.000043249	0.315	2.577210819
negative regulation of transcription	mmu-miR-191	0.000043249	0.315	2.577210819
negative regulation of transcription	mmu-miR-351	0.000043249	0.315	2.577210819
negative regulation of transcription	mmu-miR-92b	0.000043249	0.315	2.577210819
potassium ion transport	mmu-let-7c-1	0.000044196	0.3625	2.024450306
potassium ion transport	mmu-let-7f	0.000044196	0.3625	2.024450306
potassium ion transport	mmu-miR-129-3p	0.000044196	0.3625	2.024450306
potassium ion transport	mmu-miR-184	0.000044196	0.3625	2.024450306
potassium ion transport	mmu-miR-186	0.000044196	0.3625	2.024450306
potassium ion transport	mmu-miR-18a	0.000044196	0.3625	2.024450306
potassium ion transport	mmu-miR-191	0.000044196	0.3625	2.024450306
potassium ion transport	mmu-miR-29b	0.000044196	0.3625	2.024450306
potassium ion transport	mmu-miR-351	0.000044196	0.3625	2.024450306
potassium ion transport	mmu-miR-718	0.000044196	0.3625	2.024450306
potassium ion transport	mmu-miR-92b	0.000044196	0.3625	2.024450306
lipid metabolic process	mmu-let-7c-1	0.000044817	0.43	1.89643815
lipid metabolic process	mmu-let-7f	0.000044817	0.43	1.89643815
lipid metabolic process	mmu-miR-129-3p	0.000044817	0.43	1.89643815
lipid metabolic process	mmu-miR-184	0.000044817	0.43	1.89643815
lipid metabolic process	mmu-miR-186	0.000044817	0.43	1.89643815
lipid metabolic process	mmu-miR-18a	0.000044817	0.43	1.89643815
lipid metabolic process	mmu-miR-191	0.000044817	0.43	1.89643815
lipid metabolic process	mmu-miR-29b	0.000044817	0.43	1.89643815
lipid metabolic process	mmu-miR-351	0.000044817	0.43	1.89643815
lipid metabolic process	mmu-miR-718	0.000044817	0.43	1.89643815
lipid metabolic process	mmu-miR-92b	0.000044817	0.43	1.89643815
small GTPase mediated signal transduction	mmu-let-7c-1	0.000044817	0.36	1.89643815
small GTPase mediated signal transduction	mmu-let-7f	0.000044817	0.36	1.89643815
small GTPase mediated signal transduction	mmu-miR-129-3p	0.000044817	0.36	1.89643815
small GTPase mediated signal transduction	mmu-miR-184	0.000044817	0.36	1.89643815
small GTPase mediated signal transduction	mmu-miR-186	0.000044817	0.36	1.89643815
small GTPase mediated signal transduction	mmu-miR-18a	0.000044817	0.36	1.89643815
small GTPase mediated signal transduction	mmu-miR-191	0.000044817	0.36	1.89643815
small GTPase mediated signal transduction	mmu-miR-29b	0.000044817	0.36	1.89643815
small GTPase mediated signal transduction	mmu-miR-351	0.000044817	0.36	1.89643815
small GTPase mediated signal transduction	mmu-miR-718	0.000044817	0.36	1.89643815
small GTPase mediated signal transduction	mmu-miR-92b	0.000044817	0.36	1.89643815
brain development	mmu-let-7c-1	0.000047589	0.3475	2.628562467
brain development	mmu-let-7f	0.000047589	0.3475	2.628562467
brain development	mmu-miR-129-3p	0.000047589	0.3475	2.628562467
brain development	mmu-miR-184	0.000047589	0.3475	2.628562467
brain development	mmu-miR-186	0.000047589	0.3475	2.628562467
brain development	mmu-miR-18a	0.000047589	0.3475	2.628562467
brain development	mmu-miR-29b	0.000047589	0.3475	2.628562467
brain development	mmu-miR-718	0.000047589	0.3475	2.628562467
brain development	mmu-miR-92b	0.000047589	0.3475	2.628562467
regulation of transcription from RNA polymerase II promoter	mmu-let-7c-1	0.000049971	0.34	2.305694981
regulation of transcription from RNA polymerase II promoter	mmu-let-7f	0.000049971	0.34	2.305694981
regulation of transcription from RNA polymerase II promoter	mmu-miR-129-3p	0.000049971	0.34	2.305694981
regulation of transcription from RNA polymerase II promoter	mmu-miR-184	0.000049971	0.34	2.305694981
regulation of transcription from RNA polymerase II promoter	mmu-miR-186	0.000049971	0.34	2.305694981
regulation of transcription from RNA polymerase II promoter	mmu-miR-18a	0.000049971	0.34	2.305694981
regulation of transcription from RNA polymerase II promoter	mmu-miR-191	0.000049971	0.34	2.305694981
regulation of transcription from RNA polymerase II promoter	mmu-miR-29b	0.000049971	0.34	2.305694981
regulation of transcription from RNA polymerase II promoter	mmu-miR-351	0.000049971	0.34	2.305694981
regulation of transcription from RNA polymerase II promoter	mmu-miR-718	0.000049971	0.34	2.305694981
regulation of transcription from RNA polymerase II promoter	mmu-miR-92b	0.000049971	0.34	2.305694981
regulation of apoptosis	mmu-let-7c-1	0.000051854	0.3625	2.2267574
regulation of apoptosis	mmu-let-7f	0.000051854	0.3625	2.2267574
regulation of apoptosis	mmu-miR-129-3p	0.000051854	0.3625	2.2267574
regulation of apoptosis	mmu-miR-184	0.000051854	0.3625	2.2267574
regulation of apoptosis	mmu-miR-186	0.000051854	0.3625	2.2267574
regulation of apoptosis	mmu-miR-18a	0.000051854	0.3625	2.2267574
regulation of apoptosis	mmu-miR-191	0.000051854	0.3625	2.2267574
regulation of apoptosis	mmu-miR-29b	0.000051854	0.3625	2.2267574
regulation of apoptosis	mmu-miR-351	0.000051854	0.3625	2.2267574
regulation of apoptosis	mmu-miR-718	0.000051854	0.3625	2.2267574
regulation of apoptosis	mmu-miR-92b	0.000051854	0.3625	2.2267574
negative regulation of cell differentiation	mmu-let-7c-1	0.000054765	0.3325	4.020448878
negative regulation of cell differentiation	mmu-let-7f	0.000054765	0.3325	4.020448878
negative regulation of cell differentiation	mmu-miR-129-3p	0.000054765	0.3325	4.020448878
negative regulation of cell differentiation	mmu-miR-184	0.000054765	0.3325	4.020448878
negative regulation of cell differentiation	mmu-miR-191	0.000054765	0.3325	4.020448878
negative regulation of cell differentiation	mmu-miR-718	0.000054765	0.3325	4.020448878
negative regulation of cell differentiation	mmu-miR-92b	0.000054765	0.3325	4.020448878
proximal/distal pattern formation	mmu-miR-129-3p	0.000054765	0.3	4.020448878
proximal/distal pattern formation	mmu-miR-184	0.000054765	0.3	4.020448878
proximal/distal pattern formation	mmu-miR-191	0.000054765	0.3	4.020448878
proximal/distal pattern formation	mmu-miR-29b	0.000054765	0.3	4.020448878
proximal/distal pattern formation	mmu-miR-351	0.000054765	0.3	4.020448878
proximal/distal pattern formation	mmu-miR-718	0.000054765	0.3	4.020448878
RNA splicing	mmu-let-7c-1	0.000055548	0.355	1.984117628
RNA splicing	mmu-let-7f	0.000055548	0.355	1.984117628
RNA splicing	mmu-miR-129-3p	0.000055548	0.355	1.984117628
RNA splicing	mmu-miR-184	0.000055548	0.355	1.984117628
RNA splicing	mmu-miR-186	0.000055548	0.355	1.984117628
RNA splicing	mmu-miR-18a	0.000055548	0.355	1.984117628
RNA splicing	mmu-miR-191	0.000055548	0.355	1.984117628
RNA splicing	mmu-miR-29b	0.000055548	0.355	1.984117628
RNA splicing	mmu-miR-351	0.000055548	0.355	1.984117628
RNA splicing	mmu-miR-718	0.000055548	0.355	1.984117628
RNA splicing	mmu-miR-92b	0.000055548	0.355	1.984117628
pancreas development	mmu-let-7f	0.000066723	0.2025	5.221362179
pancreas development	mmu-miR-129-3p	0.000066723	0.2025	5.221362179
pancreas development	mmu-miR-184	0.000066723	0.2025	5.221362179
pancreas development	mmu-miR-186	0.000066723	0.2025	5.221362179
pancreas development	mmu-miR-191	0.000066723	0.2025	5.221362179
pancreas development	mmu-miR-29b	0.000066723	0.2025	5.221362179
pancreas development	mmu-miR-718	0.000066723	0.2025	5.221362179
pancreas development	mmu-miR-92b	0.000066723	0.2025	5.221362179
sulfate transport	mmu-let-7c-1	0.000066723	0.2975	5.221362179
sulfate transport	mmu-miR-129-3p	0.000066723	0.2975	5.221362179
sulfate transport	mmu-miR-184	0.000066723	0.2975	5.221362179
sulfate transport	mmu-miR-186	0.000066723	0.2975	5.221362179
sulfate transport	mmu-miR-191	0.000066723	0.2975	5.221362179
sulfate transport	mmu-miR-351	0.000066723	0.2975	5.221362179
sulfate transport	mmu-miR-92b	0.000066723	0.2975	5.221362179
transcription initiation from RNA polymerase II promoter	mmu-let-7c-1	0.000066723	0.3	5.221362179
transcription initiation from RNA polymerase II promoter	mmu-let-7f	0.000066723	0.3	5.221362179
transcription initiation from RNA polymerase II promoter	mmu-miR-129-3p	0.000066723	0.3	5.221362179
transcription initiation from RNA polymerase II promoter	mmu-miR-184	0.000066723	0.3	5.221362179
transcription initiation from RNA polymerase II promoter	mmu-miR-191	0.000066723	0.3	5.221362179
transcription initiation from RNA polymerase II promoter	mmu-miR-29b	0.000066723	0.3	5.221362179
calcium ion transport	mmu-let-7c-1	0.000071203	0.345	2.263388651
calcium ion transport	mmu-let-7f	0.000071203	0.345	2.263388651
calcium ion transport	mmu-miR-129-3p	0.000071203	0.345	2.263388651
calcium ion transport	mmu-miR-184	0.000071203	0.345	2.263388651
calcium ion transport	mmu-miR-186	0.000071203	0.345	2.263388651
calcium ion transport	mmu-miR-18a	0.000071203	0.345	2.263388651
calcium ion transport	mmu-miR-191	0.000071203	0.345	2.263388651
calcium ion transport	mmu-miR-29b	0.000071203	0.345	2.263388651
calcium ion transport	mmu-miR-351	0.000071203	0.345	2.263388651
calcium ion transport	mmu-miR-718	0.000071203	0.345	2.263388651
calcium ion transport	mmu-miR-92b	0.000071203	0.345	2.263388651
Wnt receptor signaling pathway	mmu-let-7c-1	0.000072087	0.365	2.22475432
Wnt receptor signaling pathway	mmu-let-7f	0.000072087	0.365	2.22475432
Wnt receptor signaling pathway	mmu-miR-129-3p	0.000072087	0.365	2.22475432
Wnt receptor signaling pathway	mmu-miR-184	0.000072087	0.365	2.22475432
Wnt receptor signaling pathway	mmu-miR-186	0.000072087	0.365	2.22475432
Wnt receptor signaling pathway	mmu-miR-18a	0.000072087	0.365	2.22475432
Wnt receptor signaling pathway	mmu-miR-191	0.000072087	0.365	2.22475432
Wnt receptor signaling pathway	mmu-miR-351	0.000072087	0.365	2.22475432
Wnt receptor signaling pathway	mmu-miR-718	0.000072087	0.365	2.22475432
Wnt receptor signaling pathway	mmu-miR-92b	0.000072087	0.365	2.22475432
dorsal/ventral pattern formation	mmu-let-7c-1	0.000077905	0.3025	3.115017209
dorsal/ventral pattern formation	mmu-miR-129-3p	0.000077905	0.3025	3.115017209
dorsal/ventral pattern formation	mmu-miR-184	0.000077905	0.3025	3.115017209
dorsal/ventral pattern formation	mmu-miR-18a	0.000077905	0.3025	3.115017209
dorsal/ventral pattern formation	mmu-miR-351	0.000077905	0.3025	3.115017209
dorsal/ventral pattern formation	mmu-miR-718	0.000077905	0.3025	3.115017209
dorsal/ventral pattern formation	mmu-miR-92b	0.000077905	0.3025	3.115017209
embryonic skeletal morphogenesis	mmu-let-7c-1	0.000077905	0.31	3.115017209
embryonic skeletal morphogenesis	mmu-let-7f	0.000077905	0.31	3.115017209
embryonic skeletal morphogenesis	mmu-miR-129-3p	0.000077905	0.31	3.115017209
embryonic skeletal morphogenesis	mmu-miR-184	0.000077905	0.31	3.115017209
embryonic skeletal morphogenesis	mmu-miR-29b	0.000077905	0.31	3.115017209
embryonic skeletal morphogenesis	mmu-miR-351	0.000077905	0.31	3.115017209
embryonic skeletal morphogenesis	mmu-miR-718	0.000077905	0.31	3.115017209
negative regulation of apoptosis	mmu-let-7c-1	0.000083137	0.3725	2.284345953
negative regulation of apoptosis	mmu-let-7f	0.000083137	0.3725	2.284345953
negative regulation of apoptosis	mmu-miR-129-3p	0.000083137	0.3725	2.284345953
negative regulation of apoptosis	mmu-miR-184	0.000083137	0.3725	2.284345953
negative regulation of apoptosis	mmu-miR-186	0.000083137	0.3725	2.284345953
negative regulation of apoptosis	mmu-miR-18a	0.000083137	0.3725	2.284345953
negative regulation of apoptosis	mmu-miR-191	0.000083137	0.3725	2.284345953
negative regulation of apoptosis	mmu-miR-29b	0.000083137	0.3725	2.284345953
negative regulation of apoptosis	mmu-miR-351	0.000083137	0.3725	2.284345953
negative regulation of apoptosis	mmu-miR-718	0.000083137	0.3725	2.284345953
negative regulation of apoptosis	mmu-miR-92b	0.000083137	0.3725	2.284345953
sodium ion transport	mmu-let-7c-1	0.000084982	0.335	2.17200107
sodium ion transport	mmu-let-7f	0.000084982	0.335	2.17200107
sodium ion transport	mmu-miR-129-3p	0.000084982	0.335	2.17200107
sodium ion transport	mmu-miR-184	0.000084982	0.335	2.17200107
sodium ion transport	mmu-miR-186	0.000084982	0.335	2.17200107
sodium ion transport	mmu-miR-18a	0.000084982	0.335	2.17200107
sodium ion transport	mmu-miR-191	0.000084982	0.335	2.17200107
sodium ion transport	mmu-miR-29b	0.000084982	0.335	2.17200107
sodium ion transport	mmu-miR-351	0.000084982	0.335	2.17200107
sodium ion transport	mmu-miR-718	0.000084982	0.335	2.17200107
sodium ion transport	mmu-miR-92b	0.000084982	0.335	2.17200107
protein kinase cascade	mmu-let-7c-1	0.000096614	0.3425	2.741215144
protein kinase cascade	mmu-let-7f	0.000096614	0.3425	2.741215144
protein kinase cascade	mmu-miR-129-3p	0.000096614	0.3425	2.741215144
protein kinase cascade	mmu-miR-184	0.000096614	0.3425	2.741215144
protein kinase cascade	mmu-miR-191	0.000096614	0.3425	2.741215144
protein kinase cascade	mmu-miR-29b	0.000096614	0.3425	2.741215144
protein kinase cascade	mmu-miR-351	0.000096614	0.3425	2.741215144
protein kinase cascade	mmu-miR-718	0.000096614	0.3425	2.741215144
protein kinase cascade	mmu-miR-92b	0.000096614	0.3425	2.741215144
intracellular protein transport	mmu-let-7c-1	0.00010447	0.355	1.969735433
intracellular protein transport	mmu-let-7f	0.00010447	0.355	1.969735433
intracellular protein transport	mmu-miR-129-3p	0.00010447	0.355	1.969735433
intracellular protein transport	mmu-miR-184	0.00010447	0.355	1.969735433
intracellular protein transport	mmu-miR-186	0.00010447	0.355	1.969735433
intracellular protein transport	mmu-miR-18a	0.00010447	0.355	1.969735433
intracellular protein transport	mmu-miR-191	0.00010447	0.355	1.969735433
intracellular protein transport	mmu-miR-29b	0.00010447	0.355	1.969735433
intracellular protein transport	mmu-miR-351	0.00010447	0.355	1.969735433
intracellular protein transport	mmu-miR-718	0.00010447	0.355	1.969735433
intracellular protein transport	mmu-miR-92b	0.00010447	0.355	1.969735433
skeletal muscle development	mmu-let-7c-1	0.00014022	0.3125	2.979581678
skeletal muscle development	mmu-let-7f	0.00014022	0.3125	2.979581678
skeletal muscle development	mmu-miR-129-3p	0.00014022	0.3125	2.979581678
skeletal muscle development	mmu-miR-184	0.00014022	0.3125	2.979581678
skeletal muscle development	mmu-miR-186	0.00014022	0.3125	2.979581678
skeletal muscle development	mmu-miR-18a	0.00014022	0.3125	2.979581678
skeletal muscle development	mmu-miR-191	0.00014022	0.3125	2.979581678
skeletal muscle development	mmu-miR-29b	0.00014022	0.3125	2.979581678
skeletal muscle development	mmu-miR-351	0.00014022	0.3125	2.979581678
skeletal muscle development	mmu-miR-718	0.00014022	0.3125	2.979581678
skeletal muscle development	mmu-miR-92b	0.00014022	0.3125	2.979581678
anatomical structure formation	mmu-let-7c-1	0.00014756	0.3125	4.328234438
anatomical structure formation	mmu-let-7f	0.00014756	0.3125	4.328234438
anatomical structure formation	mmu-miR-129-3p	0.00014756	0.3125	4.328234438
anatomical structure formation	mmu-miR-18a	0.00014756	0.3125	4.328234438
anatomical structure formation	mmu-miR-718	0.00014756	0.3125	4.328234438
chemotaxis	mmu-let-7c-1	0.00014939	0.3475	2.393124332
chemotaxis	mmu-let-7f	0.00014939	0.3475	2.393124332
chemotaxis	mmu-miR-129-3p	0.00014939	0.3475	2.393124332
chemotaxis	mmu-miR-184	0.00014939	0.3475	2.393124332
chemotaxis	mmu-miR-186	0.00014939	0.3475	2.393124332
chemotaxis	mmu-miR-18a	0.00014939	0.3475	2.393124332
chemotaxis	mmu-miR-191	0.00014939	0.3475	2.393124332
chemotaxis	mmu-miR-29b	0.00014939	0.3475	2.393124332
chemotaxis	mmu-miR-351	0.00014939	0.3475	2.393124332
chemotaxis	mmu-miR-718	0.00014939	0.3475	2.393124332
chemotaxis	mmu-miR-92b	0.00014939	0.3475	2.393124332
neuron migration	mmu-let-7c-1	0.00015587	0.3475	2.652788849
neuron migration	mmu-let-7f	0.00015587	0.3475	2.652788849
neuron migration	mmu-miR-129-3p	0.00015587	0.3475	2.652788849
neuron migration	mmu-miR-184	0.00015587	0.3475	2.652788849
neuron migration	mmu-miR-186	0.00015587	0.3475	2.652788849
neuron migration	mmu-miR-18a	0.00015587	0.3475	2.652788849
neuron migration	mmu-miR-191	0.00015587	0.3475	2.652788849
neuron migration	mmu-miR-29b	0.00015587	0.3475	2.652788849
neuron migration	mmu-miR-351	0.00015587	0.3475	2.652788849
neuron migration	mmu-miR-718	0.00015587	0.3475	2.652788849
neuron migration	mmu-miR-92b	0.00015587	0.3475	2.652788849
protein secretion	mmu-let-7f	0.00017089	0.1975	7.614486511
protein secretion	mmu-miR-184	0.00017089	0.1975	7.614486511
protein secretion	mmu-miR-18a	0.00017089	0.1975	7.614486511
protein secretion	mmu-miR-351	0.00017089	0.1975	7.614486511
protein secretion	mmu-miR-718	0.00017089	0.1975	7.614486511
protein secretion	mmu-miR-92b	0.00017089	0.1975	7.614486511
cartilage development	mmu-let-7c-1	0.00017769	0.2825	3.210432151
cartilage development	mmu-let-7f	0.00017769	0.2825	3.210432151
cartilage development	mmu-miR-129-3p	0.00017769	0.2825	3.210432151
cartilage development	mmu-miR-184	0.00017769	0.2825	3.210432151
cartilage development	mmu-miR-186	0.00017769	0.2825	3.210432151
cartilage development	mmu-miR-18a	0.00017769	0.2825	3.210432151
cartilage development	mmu-miR-29b	0.00017769	0.2825	3.210432151
cartilage development	mmu-miR-351	0.00017769	0.2825	3.210432151
cartilage development	mmu-miR-718	0.00017769	0.2825	3.210432151
carbohydrate metabolic process	mmu-let-7c-1	0.00018605	0.36	1.899343826
carbohydrate metabolic process	mmu-let-7f	0.00018605	0.36	1.899343826
carbohydrate metabolic process	mmu-miR-129-3p	0.00018605	0.36	1.899343826
carbohydrate metabolic process	mmu-miR-184	0.00018605	0.36	1.899343826
carbohydrate metabolic process	mmu-miR-186	0.00018605	0.36	1.899343826
carbohydrate metabolic process	mmu-miR-18a	0.00018605	0.36	1.899343826
carbohydrate metabolic process	mmu-miR-191	0.00018605	0.36	1.899343826
carbohydrate metabolic process	mmu-miR-29b	0.00018605	0.36	1.899343826
carbohydrate metabolic process	mmu-miR-351	0.00018605	0.36	1.899343826
carbohydrate metabolic process	mmu-miR-718	0.00018605	0.36	1.899343826
carbohydrate metabolic process	mmu-miR-92b	0.00018605	0.36	1.899343826
G-protein coupled receptor protein signaling pathway	mmu-let-7c-1	0.00020443	0.2775	1.2502748
G-protein coupled receptor protein signaling pathway	mmu-let-7f	0.00020443	0.2775	1.2502748
G-protein coupled receptor protein signaling pathway	mmu-miR-129-3p	0.00020443	0.2775	1.2502748
G-protein coupled receptor protein signaling pathway	mmu-miR-184	0.00020443	0.2775	1.2502748
G-protein coupled receptor protein signaling pathway	mmu-miR-186	0.00020443	0.2775	1.2502748
G-protein coupled receptor protein signaling pathway	mmu-miR-18a	0.00020443	0.2775	1.2502748
G-protein coupled receptor protein signaling pathway	mmu-miR-191	0.00020443	0.2775	1.2502748
G-protein coupled receptor protein signaling pathway	mmu-miR-29b	0.00020443	0.2775	1.2502748
G-protein coupled receptor protein signaling pathway	mmu-miR-351	0.00020443	0.2775	1.2502748
G-protein coupled receptor protein signaling pathway	mmu-miR-718	0.00020443	0.2775	1.2502748
G-protein coupled receptor protein signaling pathway	mmu-miR-92b	0.00020443	0.2775	1.2502748
glucose transport	mmu-let-7c-1	0.00024223	0.285	4.111822716
glucose transport	mmu-let-7f	0.00024223	0.285	4.111822716
glucose transport	mmu-miR-184	0.00024223	0.285	4.111822716
glucose transport	mmu-miR-186	0.00024223	0.285	4.111822716
glucose transport	mmu-miR-191	0.00024223	0.285	4.111822716
glucose transport	mmu-miR-351	0.00024223	0.285	4.111822716
glucose transport	mmu-miR-92b	0.00024223	0.285	4.111822716
pattern specification process	mmu-let-7c-1	0.00024231	0.3225	2.855432442
pattern specification process	mmu-let-7f	0.00024231	0.3225	2.855432442
pattern specification process	mmu-miR-129-3p	0.00024231	0.3225	2.855432442
pattern specification process	mmu-miR-184	0.00024231	0.3225	2.855432442
pattern specification process	mmu-miR-18a	0.00024231	0.3225	2.855432442
pattern specification process	mmu-miR-29b	0.00024231	0.3225	2.855432442
pattern specification process	mmu-miR-351	0.00024231	0.3225	2.855432442
