# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_003226.2|NM_003226	hgnc_symbol|TFF3|TFF3
refseq_dna|NM_080655.1|NM_080655	hgnc_symbol|C9ORF30|C9ORF30
refseq_dna|NM_206833.1|NM_206833	hgnc_symbol|CTXN1|CTXN1
refseq_dna|NM_022356.2|NM_022356	hgnc_symbol|LEPRE1|LEPRE1
refseq_dna|XM_940079.1|XM_940079	hgnc_symbol|TUBB6|TUBB6
refseq_dna|NM_152359.1|NM_152359	hgnc_symbol|CPT1C|CPT1C
refseq_dna|NM_001699.3|NM_001699	hgnc_symbol|AXL|AXL
refseq_dna|NM_005458.5|NM_005458	hgnc_symbol|GABBR2|GABBR2
refseq_dna|NM_020814.1|NM_020814	hgnc_symbol|41337|41337
refseq_dna|NM_003246.2|NM_003246	hgnc_symbol|THBS1|THBS1
refseq_dna|NM_145753.1|NM_145753	hgnc_symbol|PHLDB2|PHLDB2
refseq_dna|NM_002526.1|NM_002526	hgnc_symbol|NT5E|NT5E
refseq_dna|NM_013363.2|NM_013363	hgnc_symbol|PCOLCE2|PCOLCE2
refseq_dna|NM_000700.1|NM_000700	hgnc_symbol|ANXA1|ANXA1
refseq_dna|NM_014601.2|NM_014601	hgnc_symbol|EHD2|EHD2
refseq_dna|NM_003486.5|NM_003486	hgnc_symbol|SLC7A5|SLC7A5
refseq_dna|NM_000963.1|NM_000963	hgnc_symbol|PTGS2|PTGS2
refseq_dna|NM_003632.1|NM_003632	hgnc_symbol|CNTNAP1|CNTNAP1
refseq_dna|NM_006851.1|NM_006851	hgnc_symbol|GLIPR1|GLIPR1
refseq_dna|NM_182507.1|NM_182507	hgnc_symbol|LOC144501|LOC144501
refseq_dna|NM_001554.3|NM_001554	hgnc_symbol|CYR61|CYR61
refseq_dna|NM_006206.3|NM_006206	hgnc_symbol|PDGFRA|PDGFRA
refseq_dna|NM_005429.2|NM_005429	hgnc_symbol|VEGFC|VEGFC
refseq_dna|NM_006825.2|NM_006825	hgnc_symbol|CKAP4|CKAP4
refseq_dna|NM_005279.2|NM_005279	hgnc_symbol|GPR1|GPR1
refseq_dna|NM_030786.1|NM_030786	hgnc_symbol|SYNC1|SYNC1
refseq_dna|NM_052913.2|NM_052913	hgnc_symbol|KIAA1913|KIAA1913
embl|CD640673|CD640673	hgnc_symbol|Hs.543887|Hs.543887
refseq_dna|NM_024563.2|NM_024563	hgnc_symbol|FLJ14054|FLJ14054
refseq_dna|NM_014286.2|NM_014286	hgnc_symbol|FREQ|FREQ
refseq_dna|NM_006216.2|NM_006216	hgnc_symbol|SERPINE2|SERPINE2
refseq_dna|NM_007026.1|NM_007026	hgnc_symbol|DUSP14|DUSP14
refseq_dna|NM_002373.4|NM_002373	hgnc_symbol|MAP1A|MAP1A
refseq_dna|XM_927536.1|XM_927536	hgnc_symbol|ALDH1L2|ALDH1L2
refseq_dna|NM_002658.2|NM_002658	hgnc_symbol|PLAU|PLAU
refseq_dna|NM_001451.1|NM_001451	hgnc_symbol|FOXF1|FOXF1
refseq_dna|NM_173213.1|NM_173213	hgnc_symbol|KRT23|KRT23
refseq_dna|NM_013409.1|NM_013409	hgnc_symbol|FST|FST
refseq_dna|NM_019102.2|NM_019102	hgnc_symbol|HOXA5|HOXA5
refseq_dna|NM_005504.4|NM_005504	hgnc_symbol|BCAT1|BCAT1
refseq_dna|NM_001001991.1|NM_001001991	hgnc_symbol|DKFZP586H2123|DKFZP586H2123
refseq_dna|NM_006307.2|NM_006307	hgnc_symbol|SRPX|SRPX
refseq_dna|NM_001628.2|NM_001628	hgnc_symbol|AKR1B1|AKR1B1
refseq_dna|NM_000641.2|NM_000641	hgnc_symbol|IL11|IL11
refseq_dna|NM_152330.2|NM_152330	hgnc_symbol|FRMD6|FRMD6
refseq_dna|NM_138440.1|NM_138440	hgnc_symbol|SLITL2|SLITL2
refseq_dna|XM_934895.1|XM_934895	hgnc_symbol|LOC440421|LOC440421
refseq_dna|NM_001008397.1|NM_001008397	hgnc_symbol|LOC493869|LOC493869
refseq_dna|NM_002982.3|NM_002982	hgnc_symbol|CCL2|CCL2
refseq_dna|NM_021013.3|NM_021013	hgnc_symbol|KRTHA4|KRTHA4
refseq_dna|NM_002781.2|NM_002781	hgnc_symbol|PSG5|PSG5
refseq_dna|NM_003330.2|NM_003330	hgnc_symbol|TXNRD1|TXNRD1
refseq_dna|NM_058179.2|NM_058179	hgnc_symbol|PSAT1|PSAT1
refseq_dna|XM_498969.2|XM_498969	hgnc_symbol|LOC441019|LOC441019
refseq_dna|NM_144617.1|NM_144617	hgnc_symbol|HSPB6|HSPB6
refseq_dna|NM_197958.1|NM_197958	hgnc_symbol|LARP6|LARP6
refseq_dna|NM_014241.2|NM_014241	hgnc_symbol|PTPLA|PTPLA
refseq_dna|XM_087386.8|XM_087386	hgnc_symbol|HEG1|HEG1
refseq_dna|NM_004932.2|NM_004932	hgnc_symbol|CDH6|CDH6
refseq_dna|NM_006086.2|NM_006086	hgnc_symbol|TUBB3|TUBB3
refseq_dna|NM_001958.2|NM_001958	hgnc_symbol|EEF1A2|EEF1A2
refseq_dna|NM_004750.2|NM_004750	hgnc_symbol|CRLF1|CRLF1
refseq_dna|NM_006042.1|NM_006042	hgnc_symbol|HS3ST3A1|HS3ST3A1
refseq_dna|XM_938715.1|XM_938715	hgnc_symbol|HAS2|HAS2
refseq_dna|NM_004472.1|NM_004472	hgnc_symbol|FOXD1|FOXD1
refseq_dna|NM_003012.3|NM_003012	hgnc_symbol|SFRP1|SFRP1
refseq_dna|NM_001031692.1|NM_001031692	hgnc_symbol|LRRC17|LRRC17
refseq_dna|NM_013372.5|NM_013372	hgnc_symbol|GREM1|GREM1
refseq_dna|NM_001878.2|NM_001878	hgnc_symbol|CRABP2|CRABP2
refseq_dna|NM_000710.2|NM_000710	hgnc_symbol|BDKRB1|BDKRB1
refseq_dna|NM_001458.2|NM_001458	hgnc_symbol|FLNC|FLNC
refseq_dna|NM_001323.2|NM_001323	hgnc_symbol|CST6|CST6
refseq_dna|NM_080927.3|NM_080927	hgnc_symbol|DCBLD2|DCBLD2
refseq_dna|NM_002581.3|NM_002581	hgnc_symbol|PAPPA|PAPPA
refseq_dna|XM_937100.1|XM_937100	hgnc_symbol|KRTAP2-1|KRTAP2-1
refseq_dna|NM_002704.2|NM_002704	hgnc_symbol|PPBP|PPBP
refseq_dna|NM_003714.2|NM_003714	hgnc_symbol|STC2|STC2
refseq_dna|NM_005613.3|NM_005613	hgnc_symbol|RGS4|RGS4
refseq_dna|NM_002178.2|NM_002178	hgnc_symbol|IGFBP6|IGFBP6
refseq_dna|NM_002317.3|NM_002317	hgnc_symbol|LOX|LOX
refseq_dna|NM_004598.2|NM_004598	hgnc_symbol|SPOCK|SPOCK
refseq_dna|NM_012242.2|NM_012242	hgnc_symbol|DKK1|DKK1
refseq_dna|NM_000600.1|NM_000600	hgnc_symbol|IL6|IL6
refseq_dna|NM_153360.1|NM_153360	hgnc_symbol|FLJ90166|FLJ90166
refseq_dna|NM_001792.2|NM_001792	hgnc_symbol|CDH2|CDH2
refseq_dna|NM_006528.2|NM_006528	hgnc_symbol|TFPI2|TFPI2
refseq_dna|NM_006818.3|NM_006818	hgnc_symbol|MLLT11|MLLT11
refseq_dna|NM_007281.1|NM_007281	hgnc_symbol|SCRG1|SCRG1
refseq_dna|NM_000602.1|NM_000602	hgnc_symbol|SERPINE1|SERPINE1
refseq_dna|NM_002852.2|NM_002852	hgnc_symbol|PTX3|PTX3
refseq_dna|NM_003480.2|NM_003480	hgnc_symbol|MFAP5|MFAP5
refseq_dna|NM_153370.2|NM_153370	hgnc_symbol|PI16|PI16
refseq_dna|NM_004181.3|NM_004181	hgnc_symbol|UCHL1|UCHL1
refseq_dna|NM_014391.2|NM_014391	hgnc_symbol|ANKRD1|ANKRD1
refseq_dna|NM_002575.1|NM_002575	hgnc_symbol|SERPINB2|SERPINB2
refseq_dna|NM_000693.1|NM_000693	hgnc_symbol|ALDH1A3|ALDH1A3
