Affymetrix Probe ID	Mean HN	Mean DCIS	Fold Change	Probability	Gene Name	Gene Description
221447_s_at	140.18	78.79	0.57	7.00E-03	GLT8D2	GLYCOSYLTRANSFERASE 8 DOMAIN CONTAINING 2
211126_s_at	59.7	33.35	0.57	7.00E-03	CSRP2	CYSTEINE AND GLYCINE-RICH PROTEIN 2
208079_s_at	146.81	79.61	0.56	4.00E-03	PLAGL1	PLEIOMORPHIC ADENOMA GENE-LIKE 1
209892_at	71.6	37.54	0.56	1.60E-02	FUT4	FUCOSYLTRANSFERASE 4 (ALPHA (1,3) FUCOSYLTRANSFERASE, MYELOID-SPECIFIC…
222352_at	57.44	31.29	0.56	5.00E-03	FBXO31	F-BOX PROTEIN 31
218486_at	185.87	104.45	0.56	7.00E-03	KLF11	KRUPPEL-LIKE FACTOR 11
204920_at	91.4	52.47	0.56	1.20E-02	CPS1	CARBAMOYL-PHOSPHATE SYNTHETASE 1, MITOCHONDRIAL
205348_s_at	115.93	54.6	0.56	2.20E-02	DYNC1I1	DYNEIN, CYTOPLASMIC 1, INTERMEDIATE CHAIN 1
202724_s_at	84.94	45.47	0.56	1.00E-03	ZFHX4	ZINC FINGER HOMEODOMAIN 4
201641_at	80.64	45.66	0.56	4.00E-03	NA
49452_at	670.1	353.64	0.56	1.90E-02	ACACB	ACETYL-COENZYME A CARBOXYLASE BETA
209691_s_at	80.47	43.39	0.56	4.00E-03	DOK4	DOCKING PROTEIN 4
210105_s_at	183.54	96.89	0.56	1.00E-03	FYN	FYN ONCOGENE RELATED TO SRC, FGR, YES
209892_at	128.08	70.08	0.56	5.00E-03	ZNF204	ZINC FINGER PROTEIN 204
210105_s_at	159.05	87.94	0.55	1.00E-03	ZNF248	ZINC FINGER PROTEIN 248
213645_at	551.06	301.54	0.55	2.40E-02	ENOSF1	ENOLASE SUPERFAMILY MEMBER 1
209970_x_at	198.84	103.79	0.55	1.00E-02	CASP1	CASPASE 1, APOPTOSIS_RELATED CYSTEINE PEPTIDASE (INTERLEUKIN 1, BETA,…
204908_s_at	796.47	419.8	0.55	3.00E-03	PRNP	PRION PROTEIN (P27-30) (CREUTZFELD-JAKOB DISEASE, GERSTMANN-STRAUSLER-…
213005_s_at	394	208.32	0.55	1.70E-02	ANKRD15	ANKYRIN REPEAT DOMAIN 15
202972_s_at	112.03	60.41	0.55	1.80E-02	FAM13A1	FAMILY WITH SEQUENCE SIMILARITY 13, MEMBER A1
212677_s_at	292.16	158.75	0.55	5.00E-03	CEP68	CENTROSOMAL PROTEIN 68KDA
203065_s_at	204.06	102.71	0.55	2.20E-02	CAV1	CAVEOLIN 1, CAVEOLAE PROTEIN, 22KDA
216594_x_at	111.43	63.25	0.55	6.00E-03	MAP2K6	MITOGEN-ACTIVATED PROTEIN KINASE KINASE 6
203499_at	97.86	51.65	0.55	8.00E-03	EPHA2	EPH RECEPTOR A2
219497_s_at	121.84	61.38	0.54	0.00E+00	PRKD1	PROTEIN KINASE D1
203969_at	74.27	37.39	0.54	3.00E-03	LOC153914	HYPOTHETICAL PROTEIN LOC153914
220452_x_at	350.37	179.59	0.54	1.00E-03	CECR7	CAT EYE SYNDROME CHROMOSOME REGION, CANDIDATE 7
60474_at	57.43	29.53	0.54	1.30E-02	NAP1L3	NUCLEOSOME ASSEMBLY PROTEIN 1-LIKE 3
217867_x_at	77.37	37.5	0.54	7.00E-03	POU6F1	POU DOMAIN, CLASS 6, TRANSCRIPTION FACTOR 1
212813_at	324.95	169.62	0.54	0.00E+00	JAM3	JUNCTIONAL ADHESION MOLECULE 3
211653_x_at	83.3	40.3	0.54	6.00E-03	AKR1C2	ALDO-KETO REDUCTASE FAMILY 1, MEMBER c2 (DIHYDRODIOL DEHYDROGENASE 2;…
209770_at	208.62	107.05	0.54	0.00E+00	BTN3A1	BUTYROPHILIN, SUBFAMILY 3, MEMBER A1
219935_at	108.46	55.76	0.54	2.00E-03	NRG1	NEUREGULIN 1
219313_at	119.13	64.37	0.54	3.00E-03	GRAMD1C	GRAM DOMAIN CONTAINING 1C
218546_at	352.36	177.11	0.53	1.10E-02	C1ORF115	CHROMOSOME 1 OPEN READING FRAME 115
205003_at	148.22	80.67	0.53	2.00E-02	DOCK4	DEDICATOR OF CYTOKINESIS 4
214844_s_at	157.53	92.32	0.53	2.40E-02	DOK5	DOCKING PROTEIN 5
					AKR1C1	ALDO-KETO REDUCTASE FAMILY 1, MEMBER c1 (DIHYDRODIOL DEHYDROGENASE 1;…
216594_x_at	158.84	70.41	0.53	3.00E-03
214439_x_at	96.13	51.74	0.53	1.00E-02	BIN1	BRIDGING INTEGRATOR 1
203963_at	507.03	276.63	0.53	5.00E-03	RGL1	RAL GUANINE NUCLEOTIDE DISSOCIATION STIMULATOR-LIKE 1
214247_s_at	1347.86	645.19	0.53	7.00E-03	DKK3	DICKKOPF HOMOLOG 3 (XENOPUS LAEVIS)
222041_at	229.51	115.35	0.53	5.00E-03	DPH1	DPH1 HOMOLOG (S. CEREVISIAE)
205527_s_at	153.71	68.73	0.52	1.50E-02	GEMIN4	DKFZP434B131 PROTEIN
211935_at	582.03	273.54	0.52	1.30E-02	PHF17	PHD FINGER PROTEIN 17
210735_s_at	132.3	72.08	0.52	7.00E-03	RIMS3	REGULATING SYNAPTIC MEMBRANE EXOCYTOSIS 3
64900_at	66.66	36	0.52	1.20E-02	ABHD14B	ABHYDROLASE DOMAIN CONTAINING 14B
210652_s_at	81.91	41.76	0.52	8.00E-03	NAP1L2	NUCLEOSOME ASSEMBLY PROTEIN 1-LIKE 2
215306_at	82.3	40.15	0.52	2.00E-03	LHCGR	LUTEINIZING HORMONE/CHORIOGONADOTROPIN RECEPTOR
219060_at	2017.28	1093.88	0.52	1.90E-02	NFIB	NUCLEAR FACTOR I/B
215386_at	83.71	46.43	0.52	1.90E-02	AUTS2	AUTISM SUSCEPTIBILITY CANDIDATE 2
200776_s_at	111.46	54.87	0.52	1.00E-03	NA
213004_at	78.75	44.04	0.51	5.00E-03	ANGPTL2	ANGIOPOIETIN-LIKE 2
213492_at	110.32	53.92	0.51	7.00E-03	COL2A1	COLLAGEN, TYPE II, ALPHA 1 (PRIMARY OSTEOARTHRITIS, SPONDYLOEPIPHYSEAL…
219213_at	117.22	58.7	0.51	1.00E-03	JAM2	JUNCTIONAL ADHESION MOLECULE 2
221935_s_at	86.18	43.25	0.51	1.20E-02	C3ORF64	HYPOTHETICAL PROTEIN FLJ13078
209770_at	72.26	36.89	0.51	6.00E-03	NA
202655_at	146.06	69.17	0.51	2.00E-02	PIP5K1B	PHOSPHATIDYLINOSITOL-4-PHOSPHATE 5-KINASE, TYPE I, BETA
203323_at	235.76	115.72	0.51	5.00E-03	CAV2	CAVEOLIN 2
212254_s_at	706.23	327.5	0.51	2.10E-02	DST	DYSTONIN
205022_s_at	195.33	97.14	0.51	0.00E+00	FOXN3	CHECKPOINT SUPPRESSOR 1
221530_s_at	273.42	124.13	0.5	1.10E-02	PROS1	PROTEIN S (ALPHA)
203575_at	150.38	71.89	0.5	2.50E-02	CSNK2A2	CASEIN KINASE 2, ALPHA PRIME POLYPEPTIDE
209883_at	83.92	43.24	0.5	1.50E-02	GLT25D2	GLYCOSYLTRANSFERASE 25 DOMAIN CONTAINING 2
46323_at	178.86	87.92	0.5	5.00E-03	RNF39	RING FINGER PROTEIN 39
222108_at	95.82	45.58	0.5	7.00E-03	OLFML1	OLFACTOMEDIN-LIKE 1
220150_s_at	91.82	46.08	0.5	2.00E-03	C6ORF60	CHROMOSOME 6 OPEN READING FRAME 60
217852_s_at	1855.45	878.51	0.5	1.40E-02	PIK3R1	PHOSPHOINOSITIDE-3-KINASE, REGULATORY SUBUNIT 1 (P85 ALPHA)
221530_s_at	463.64	224.51	0.5	2.00E-03
213001_at	201.09	95.06	0.5	3.00E-03	ANGPTL2	ANGIOPOIETIN-LIKE 2
205117_at	102.32	44.15	0.49	2.00E-03	TXNIP	THIOREDOXIN INTERACTING PROTEIN
218546_at	162.98	81.78	0.49	4.00E-03	NA
219402_s_at	254.49	95.23	0.49	5.00E-03	SPON1	SPONDIN 1, EXTRACELLULAR MATRIX PROTEIN
220765_s_at	140.21	64.97	0.49	1.90E-02	LIMS2	LIM AND SENESCENT CELL ANTIGEN-LIKE DOMAINS 2
218183_at	60.61	27.15	0.49	1.90E-02	C16ORF5	CHROMOSOME 16 OPEN READING FRAME 5
201117_s_at	216.93	98.65	0.48	5.00E-03	CPE	CARBOXYPEPTIDASE E
222108_at	1369.5	579.48	0.48	9.00E-03	AMIGO2	ADHESION MOLECULE WITH IG-LIKE DOMAIN 2
215386_at	614.1	246.27	0.48	9.00E-03	MT1F	METALLOTHIONEIN 1F (FUNCTIONAL)
203903_s_at	173.93	81.77	0.48	2.00E-03	HEPH	HEPHAESTIN
202381_at	69.28	34.82	0.48	6.00E-03	LZTS1	LEUCINE ZIPPER, PUTATIVE TUMOR SUPPRESSOR 1
212706_at	82.42	41.38	0.48	6.00E-03	FLJ21767	HYPOTHETICAL PROTEIN FLJ21767
214112_s_at	60.93	33.79	0.48	1.40E-02	SNCA	SYNUCLEIN, ALPHA (NON A4 COMPONENT OF AMYLOID PRECURSOR)
221234_s_at	97.52	44.42	0.48	1.00E-02	BACH2	BTB AND CNC HOMOLOGY 1, BASIC LEUCINE ZIPPER TRANSCRIPTION FACTOR 2
220262_s_at	74.89	38.34	0.47	2.50E-02	DLK2	EGF-LIKE-DOMAIN, MULTIPLE 9
209569_x_at	102.19	48.1	0.47	0.00E+00	D4S234E	DNA SEGMENT ON CHROMOSOME 4 (UNIQUE) 234 EXPRESSED SEQUENCE
221530_s_at	874.31	409.54	0.47	2.00E-03	BHLHB3	BASIC HELIX-LOOP-HELIX DOMAIN CONTAINING, CLASS B, 3
210201_x_at	92.06	42.68	0.47	2.00E-03	NA
218656_s_at	414.5	182.87	0.47	1.40E-02	LHFP	LIPOMA HMGIC FUSION PARTNER
202274_at	399.46	188.66	0.47	8.00E-03	NR3C1	NUCLEAR RECEPTOR SUBFAMILY 3, GROUP C, MEMBER 1 (GLUCOCORTICOID RECEPT…
202022_at	300.52	131.34	0.46	8.00E-03	NXN	NUCLEOREDOXIN
220150_s_at	57.87	29.23	0.46	1.50E-02	RAPGEF2	RAP GUANINE NUCLEOTIDE EXCHANGE FACTOR (GEF) 2
202724_s_at	299.98	128.15	0.46	0.00E+00	FOXO1	FORKHEAD BOX O1A (RHABDOMYOSARCOMA)
205498_at	258.2	107.82	0.46	3.00E-03	GHR	GROWTH HORMONE RECEPTOR
220751_s_at	119.58	60.7	0.45	1.00E-02	C5ORF4	CHROMOSOME 5 OPEN READING FRAME 4
214439_x_at	340.58	146.55	0.45	1.00E-03	NA
204773_at	110.09	50.68	0.45	5.00E-03	IL11RA	INTERLEUKIN 11 RECEPTOR, ALPHA
201540_at	187.88	71.89	0.45	1.00E-02	TYMS	THYMIDYLATE SYNTHETASE
201984_s_at	245.29	100.38	0.45	2.00E-03	TGFB1I1	TRANSFORMING GROWTH FACTOR BETA 1 INDUCED TRANSCRIPT 1
212914_at	544.86	231.53	0.45	1.50E-02	CBX7	CHROMOBOX HOMOLOG 7
213524_s_at	79.9	36.79	0.45	5.00E-03	G0S2	G0/G1SWITCH 2
202966_at	86.58	35.63	0.45	8.00E-03	RP11-35N6.1	PLASTICITY RELATED GENE 3
201693_s_at	455.64	158.85	0.45	1.30E-02	EGR1	EARLY GROWTH RESPONSE 1
209948_at	284.37	111.01	0.45	2.00E-03	KCNMB1	POTASSIUM LARGE CONDUCTANCE CALCIUM-ACTIVATED CHANNEL, SUBFAMILY M, BE…
32094_at	155.26	69.67	0.45	1.00E-03	CHST3	CARBOHYDRATE (CHONDROITIN 6) SULFOTRANSFERASE 3
219615_s_at	80.1	41.27	0.45	1.40E-02	KCNK5	POTASSIUM CHANNEL, SUBFAMILY K, MEMBER 5
221004_s_at	139.22	65.23	0.44	1.80E-02	ITM2C	INTEGRAL MEMBRANE PROTEIN 2C
214927_at	576.04	197.88	0.44	1.20E-02	ITGBL1	INTEGRIN, BETA-LIKE 1 (WITH EGF-LIKE REPEAT DOMAINS)
213900_at	607.01	266.97	0.44	1.30E-02	C9ORF61	CHROMOSOME 9 OPEN READING FRAME 61
204781_s_at	82.78	38.54	0.44	1.10E-02	TRPC1	TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL, SUBFAMILY C, MEMBER 1
209047_at	514.63	193.48	0.44	2.00E-03	PDGFD	PLATELET DERIVED GROWTH FACTOR D
209135_at	180.1	72.64	0.44	2.00E-03	PLAGL1	PLEIOMORPHIC ADENOMA GENE-LIKE 1
208079_s_at	1370.05	423.6	0.44	1.70E-02	MT1E	METALLOTHIONEIN 1E (FUNCTIONAL)
206847_s_at	63.86	25.56	0.44	2.50E-02	HOXA7	HOMEOBOX A7
202947_s_at	124.07	50.52	0.44	1.10E-02	GYPC	GLYCOPHORIN C (GERBICH BLOOD GROUP)
60474_at	73.71	33.64	0.43	2.00E-03	C20ORF42	CHROMOSOME 20 OPEN READING FRAME 42
221935_s_at	83.73	29.31	0.43	1.70E-02	NCAM1	NEURAL CELL ADHESION MOLECULE 1
213620_s_at	150.88	62.16	0.43	2.00E-02	ICAM2	INTERCELLULAR ADHESION MOLECULE 2
218992_at	1950.9	909.03	0.43	1.90E-02	NFIB	NUCLEAR FACTOR I/B
219935_at	90.06	26.4	0.43	1.50E-02	MAB21L1	MAB-21-LIKE 1 (C. ELEGANS)
32094_at	68.35	29.26	0.43	1.20E-02	SENP6	SUMO1/SENTRIN SPECIFIC PEPTIDASE 6
205249_at	334.49	133.31	0.43	2.20E-02	EGR2	EARLY GROWTH RESPONSE 2 (KROX-20 HOMOLOG, DROSOPHILA)
206766_at	237.55	96.86	0.43	1.00E-03	ITGA10	INTEGRIN, ALPHA 10
222073_at	399.24	161.67	0.43	1.10E-02	SERPING1	SERPIN PEPTIDASE INHIBITOR, CLADE F (C1 INHIBITOR), MEMBER 1, (ANGIOED…
202191_s_at	325.7	121.87	0.43	5.00E-03	GAS7	GROWTH ARREST-SPECIFIC 7
205066_s_at	141.41	53.39	0.43	2.30E-02	TNXB	TENASCIN XB
201719_s_at	549.88	227.67	0.43	2.10E-02	EPB41L2	ERYTHROCYTE MEMBRANE PROTEIN BAND 4.1-LIKE 2
219498_s_at	78.13	33.71	0.43	6.00E-03	BCL11A -B-CELL CLL	LYMPHOMA 11A (ZINC FINGER PROTEIN)
204457_s_at	497.49	197.68	0.43	2.20E-02	GAS1	GROWTH ARREST-SPECIFIC 1
209047_at	248.06	96.78	0.43	3.00E-03	AQP1	AQUAPORIN 1 (COLTON BLOOD GROUP)
204508_s_at	159.59	66.93	0.43	5.00E-03	RGN	REGUCALCIN (SENESCENCE MARKER PROTEIN-30)
201984_s_at	168.06	65.09	0.42	0.00E+00	EGFR	EPIDERMAL GROWTH FACTOR RECEPTOR (ERYTHROBLASTIC LEUKEMIA VIRAL (V-ERB...
213591_at	99.34	38.18	0.42	9.00E-03	ALDH7A1	ALDEHYDE DEHYDROGENASE 7 FAMILY, MEMBER A1
219497_s_at	121.25	48.77	0.42	1.00E-03	BCL11A	B-CELL CLL LYMPHOMA 11A (ZINC FINGER PROTEIN)
215380_s_at	113.57	40.96	0.42	1.00E-03	NFASC	NEUROFASCIN HOMOLOG (CHICKEN)
214844_s_at	483.17	191.9	0.41	1.00E-03	ST5	SUPPRESSION OF TUMORIGENICITY 5
214439_x_at	183.39	78.83	0.41	2.30E-02	PTGER4	PROSTAGLANDIN E RECEPTOR 4 (SUBTYPE EP4)
222073_at	92.09	31.98	0.41	1.00E-03	COL4A3	COLLAGEN, TYPE IV, ALPHA 3 (GOODPASTURE ANTIGEN)
205081_at	198.42	76.52	0.41	2.20E-02	SIRPA	PROTEIN TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE SUBSTRATE 1
202274_at	436.13	160.9	0.4	2.00E-02	ACTG2	ACTIN, ALPHA 2, SMOOTH MUSCLE, AORTA
211712_s_at	232.93	77.74	0.4	1.00E-02	PDGFA	PLATELET-DERIVED GROWTH FACTOR ALPHA POLYPEPTIDE
204793_at	280.34	95.81	0.4	4.00E-03	GPRASP1	G PROTEIN-COUPLED RECEPTOR ASSOCIATED SORTING PROTEIN 1
208650_s_at	241.07	98.55	0.4	1.70E-02	SAA1	SERUM AMYLOID A1/SERUM AMYLOID A2
207016_s_at	147.66	58.32	0.4	6.00E-03	MAPRE2	MICROTUBULE-ASSOCIATED PROTEIN, RP/EB FAMILY, MEMBER 2
213005_s_at	127.88	46.16	0.4	4.00E-03	MFGE8	MILK FAT GLOBULE-EGF FACTOR 8 PROTEIN
208399_s_at	118.84	46.96	0.4	1.30E-02	TESC	TESCALCIN
218567_x_at	159.33	57.52	0.4	0.00E+00	SYN2	SYNAPSIN II
204235_s_at	203.05	75.06	0.4	4.00E-03	GULP1	GULP, ENGULFMENT ADAPTOR PTB DOMAIN CONTAINING 1
202381_at	215.83	76.29	0.39	1.00E-03	NR3C2	NUCLEAR RECEPTOR SUBFAMILY 3, GROUP C, MEMBER 2
37577_at	117.88	46.37	0.39	0.00E+00	ARHGAP19	RHO GTPASE ACTIVATING PROTEIN 19
205117_at	303.09	96.69	0.39	3.00E-03	FGF1	FIBROBLAST GROWTH FACTOR 1 (ACIDIC)
49452_at	79.91	29.2	0.39	4.00E-03	NR2F1	NUCLEAR RECEPTOR SUBFAMILY 2, GROUP F, MEMBER 1
202746_at	262.64	102.41	0.39	1.00E-03	ITM2A	INTEGRAL MEMBRANE PROTEIN 2A
200021_at	108.95	41.42	0.39	1.00E-03	SEMA5A	SEMA DOMAIN, SEVEN THROMBOSPONDIN REPEATS
219064_at	134.37	51.36	0.38	2.00E-03	ITIH5	INTER-ALPHA (GLOBULIN) INHIBITOR H5
202596_at	123.43	47.35	0.38	1.60E-02	TNXB	TENASCIN XB
201540_at	625.92	175.31	0.38	1.20E-02	FHL1	FOUR AND A HALF LIM DOMAINS 1
207030_s_at	358.56	123.57	0.38	1.00E-03	CSRP2	CYSTEINE AND GLYCINE-RICH PROTEIN 2
201096_s_at	377.3	126.85	0.38	9.00E-03	MID1	MIDLINE 1 (OPITZ/BBB SYNDROME)
203323_at	107.05	42.83	0.38	1.50E-02	RUNX3	RUNT-RELATED TRANSCRIPTION FACTOR 3
209392_at	132.68	48.82	0.38	1.60E-02	TNN	TENASCIN N
206121_at	254.64	97.55	0.38	2.00E-03	MEIS2	MEIS1, MYELOID ECOTROPIC VIRAL INTEGRATION SITE 1 HOMOLOG 2 (MOUSE)
64900_at	133.52	45.07	0.37	1.00E-03	LPHN2	LATROPHILIN 2
219498_s_at	448.49	152.83	0.37	3.00E-03	MYH11	MYOSIN, HEAVY POLYPEPTIDE 11, SMOOTH MUSCLE
213502_x_at	742.55	251.43	0.37	2.10E-02	LOC91316 – 8
209613_s_at	56.02	19.5	0.37	2.10E-02	MAF	V-MAF MUSCULOAPONEUROTIC FIBROSARCOMA ONCOGENE HOMOLOG (AVIAN)
202723_s_at	149.36	46.87	0.37	1.00E-02	FOXO1	FORKHEAD BOX O1A (RHABDOMYOSARCOMA)
209540_at	202.49	53.08	0.36	2.00E-02	IGF1	INSULIN-LIKE GROWTH FACTOR 1 (SOMATOMEDIN C)
200621_at	1363.07	474.14	0.36	2.00E-03	CSRP1	CYSTEINE AND GLYCINE-RICH PROTEIN 1
205752_s_at	199.49	67.13	0.36	0.00E+00	GSTM5	GLUTATHIONE S-TRANSFERASE M5
210980_s_at	188.81	58	0.36	1.00E-03	MPPE1	METALLOPHOSPHOESTERASE 1
201719_s_at	385.41	134.02	0.36	1.00E-03	TNXB	TENASCIN XB
204422_s_at	1198.52	371.51	0.36	1.00E-03	TXNIP	THIOREDOXIN INTERACTING PROTEIN
204359_at	189.43	60.88	0.35	0.00E+00	FLRT2	FIBRONECTIN LEUCINE RICH TRANSMEMBRANE PROTEIN 2
204237_at	122.38	44.73	0.35	1.00E-03	GULP1	GULP, ENGULFMENT ADAPTOR PTB DOMAIN CONTAINING 1
203349_s_at	426.5	118.04	0.35	4.00E-03	ETV5	ETS VARIANT GENE 5 (ETS-RELATED MOLECULE)
214247_s_at	65.13	22.13	0.35	2.00E-03	SPON1	SPONDIN 1, EXTRACELLULAR MATRIX PROTEIN
204437_s_at	207.8	77.07	0.34	1.30E-02	FOLR1	FOLATE RECEPTOR 1 (ADULT)
202274_at	241.56	85.8	0.34	1.00E-03	LY75	LYMPHOCYTE ANTIGEN 75
209168_at	185.6	63.35	0.34	0.00E+00	GPM6B	GLYCOPROTEIN M6B
215515_at	93.49	29.73	0.34	2.00E-03	KIRREL	KIN OF IRRE LIKE (DROSOPHILA)
218549_s_at	103.59	32.67	0.34	3.00E-03	TRIM9	TRIPARTITE MOTIF-CONTAINING 9
823_at	445.02	131.75	0.34	5.00E-03	CX3CL1	CHEMOKINE (C-X3-C MOTIF) LIGAND 1
203481_at	88.28	31.27	0.34	5.00E-03	NA
209270_at	336.21	108.09	0.34	2.50E-02	LAMB3	LAMININ, BETA 3
209335_at	528.56	158.61	0.33	1.20E-02	DCN	DECORIN
203980_at	508.34	145.9	0.33	3.00E-03	TRIM29	TRIPARTITE MOTIF-CONTAINING 29
206765_at	207.61	65.37	0.33	1.40E-02	KCNJ2	POTASSIUM INWARDLY-RECTIFYING CHANNEL, SUBFAMILY J, MEMBER 2
213315_x_at	304.16	97.24	0.33	2.20E-02	SNAI2	SNAIL HOMOLOG 2 (DROSOPHILA)
213645_at	448.98	124.67	0.33	1.10E-02	TMEM49	TRANSMEMBRANE PROTEIN 49
204908_s_at	2737.24	833.21	0.33	3.00E-03	MYLK	MYOSIN, LIGHT POLYPEPTIDE KINASE
220751_s_at	308.94	88.1	0.33	2.00E-03	NDN	NECDIN HOMOLOG (MOUSE)
208712_at	50.2	15.18	0.32	1.00E-03	S100B	S100 CALCIUM BINDING PROTEIN, BETA (NEURAL)
201983_s_at	173.88	43.75	0.32	2.00E-03	TFPI	TISSUE FACTOR PATHWAY INHIBITOR
204754_at	145.94	42.82	0.31	1.00E-03	HLF	HEPATIC LEUKEMIA FACTOR
203924_at	47.92	23.36	0.31	2.40E-02	GSTA1	GLUTATHIONE S-TRANSFERASE A1
201641_at	121.23	24.45	0.31	5.00E-03	PTHLH	PARATHYROID HORMONE-LIKE HORMONE
203881_s_at	533.05	131.25	0.31	1.10E-02	DMD	DYSTROPHIN (MUSCULAR DYSTROPHY, DUCHENNE AND BECKER TYPES)
211712_s_at	408.52	120.93	0.31	0.00E+00	MIA	MELANOMA INHIBITORY ACTIVITY
203755_at	223.6	64.87	0.3	0.00E+00	PTPRZ1	PROTEIN TYROSINE PHOSPHATASE, RECEPTOR-TYPE, Z POLYPEPTIDE 1
214651_s_at	112.52	32.66	0.3	2.00E-03	HOXA9	HOMEOBOX A9
213800_at	217.8	62.29	0.3	2.20E-02	CFH	COMPLEMENT FACTOR H
202956_at	56.79	13.74	0.3	4.00E-03	PDLIM3	PDZ AND LIM DOMAIN 3
200974_at	3587.55	1081.79	0.3	2.00E-03	ACTG2	ACTIN, ALPHA 2, SMOOTH MUSCLE, AORTA
201983_s_at	253.45	72.56	0.3	2.00E-03	EGFR	EPIDERMAL GROWTH FACTOR RECEPTOR (ERYTHROBLASTIC LEUKEMIA VIRAL (V-ERB...
205348_s_at	170.34	44.55	0.3	6.00E-03	TCEAL2	TRANSCRIPTION ELONGATION FACTOR A (SII)-LIKE 2
204850_s_at	126.58	30.48	0.3	2.00E-03	DCX	DOUBLECORTEX; LISSENCEPHALY, X-LINKED (DOUBLECORTIN)
203065_s_at	314.82	71.46	0.3	1.00E-03	RUNX1T1	RUNT-RELATED TRANSCRIPTION FACTOR 1; TRANSLOCATED TO, 1 (CYCLIN D-RELA…
212738_at	219.87	67.31	0.3	2.00E-03	ARHGAP19	RHO GTPASE ACTIVATING PROTEIN 19
204591_at	515.82	115.35	0.29	2.00E-03	SEMA5A	SEMA DOMAIN, SEVEN THROMBOSPONDIN REPEATS (TYPE 1 AND TYPE 1-LIKE)
219935_at	484.44	109.58	0.29	6.00E-03	ADAMTS5	ADAM METALLOPEPTIDASE WITH THROMBOSPONDIN TYPE 1 MOTIF, 5
204755_x_at	168.23	48.49	0.29	0.00E+00	HLF	HEPATIC LEUKEMIA FACTOR
211653_x_at	329.64	82.58	0.29	1.40E-02	NTRK2	NEUROTROPHIC TYROSINE KINASE, RECEPTOR, TYPE 2
212677_s_at	57.01	16.87	0.29	2.10E-02	SCN2A	SODIUM CHANNEL, VOLTAGE-GATED, TYPE II, ALPHA 2
210347_s_at	380.55	63.28	0.28	2.20E-02	MYH11	MYOSIN, HEAVY POLYPEPTIDE 11, SMOOTH MUSCLE
207016_s_at	144.6	36.55	0.28	4.00E-03	ALDH1A2	ALDEHYDE DEHYDROGENASE 1 FAMILY, MEMBER A2
202747_s_at	365.69	97.53	0.28	1.20E-02	ITM2A	INTEGRAL MEMBRANE PROTEIN 2A
202022_at	399.88	90.95	0.28	2.00E-03	MATN2	MATRILIN 2
209613_s_at	57.72	12.68	0.28	1.80E-02	ADH1C	ALCOHOL DEHYDROGENASE 1A (CLASS I), ALPHA POLYPEPTIDE
219497_s_at	1184.07	302.17	0.27	2.00E-03	MYH11	MYOSIN, HEAVY POLYPEPTIDE 11, SMOOTH MUSCLE
204971_at	880.91	107.38	0.27	2.00E-03	CSTA	CYSTATIN A (STEFIN A)
213001_at	59.69	16.16	0.27	1.00E-02	PAK3	P21 (CDKN1A)-ACTIVATED KINASE 3
210347_s_at	134.16	34.95	0.27	1.00E-03	BCL11A	B-CELL CLL LYMPHOMA 11A (ZINC FINGER PROTEIN)
202972_s_at	58.83	15.04	0.27	5.00E-03	TRIM29	TRIPARTITE MOTIF-CONTAINING 29
209335_at	407.53	90.18	0.26	1.00E-03	SOBP	HYPOTHETICAL PROTEIN FLJ10159
209283_at	418.68	105.19	0.26	5.00E-03	CRYAB	CRYSTALLIN, ALPHA B
209392_at	501.2	145.87	0.26	1.40E-02	ENPP2	ECTONUCLEOTIDE PYROPHOSPHATASE/PHOSPHODIESTERASE 2 (AUTOTAXIN)
204591_at	104.58	25.25	0.26	8.00E-03	CHL1	CELL ADHESION MOLECULE WITH HOMOLOGY TO L1CAM (CLOSE HOMOLOG OF L1)
218717_s_at	99.95	30.47	0.26	6.00E-03	LEPREL1	LEPRECAN-LIKE 1
204850_s_at	242.48	69.54	0.26	5.00E-03	SOX10	SRY (SEX DETERMINING REGION Y)-BOX 10
218980_at	127.35	29.65	0.26	0.00E+00	FHOD3	FORMIN HOMOLOGY 2 DOMAIN CONTAINING 3
213900_at	176.53	40.96	0.25	7.00E-03	RELN	REELIN
205666_at	184.97	43.33	0.25	5.00E-03	FMO1	FLAVIN CONTAINING MONOOXYGENASE 1
216594_x_at	238.65	56.83	0.25	2.00E-02	NTRK2	NEUROTROPHIC TYROSINE KINASE
213004_at	88.08	23.39	0.25	9.00E-03	PCDH9	PROTOCADHERIN 9
206121_at	96.3	24.93	0.25	1.70E-02	AMPD1	ADENOSINE MONOPHOSPHATE DEAMINASE 1 (ISOFORM M)
209570_s_at	167.8	43.4	0.24	7.00E-03	CXORF40B	CHROMOSOME X OPEN READING FRAME 40A
204753_s_at	120	32.65	0.24	1.30E-02	HLF	HEPATIC LEUKEMIA FACTOR
213844_at	361.62	93.41	0.24	3.00E-03	HOXA5	HOMEOBOX A5
205003_at	445.92	71.82	0.24	3.00E-03	SRPX	SUSHI-REPEAT-CONTAINING PROTEIN, X-LINKED
201818_at	172.04	38.65	0.24	0.00E+00	POU2AF1	POU DOMAIN, CLASS 2, ASSOCIATING FACTOR 1
205824_at	66.48	13.89	0.24	2.00E-03	HSPB2	HEAT SHOCK 27KDA PROTEIN 2
