UID	NAME	C1	C3	C2	E1	E6	E5	E3	E4	E2
A_01_P013613	||  || A_01_P013613 ||  || Homo sapiens zinc finger and SCAN domain containing 5 (ZSCAN5), mRNA. [NM_024303] ||  ||  || 6270052	-1.73	-1.2	-1.45	-0.48	0.01	0	0.41	0.06	-0.52
A_01_P016375	||  || A_01_P016375 ||  || ILLUMIGEN_MCQ_10217 Katze_MMPL2 Macaca mulatta cDNA clone IBIUW:9146 5 similar to Bases 281 to 704 highly similar to human MGC61550 (Hs.6734), mRNA sequence [CN644333] ||  ||  || 6279652	-2.26	-2.05	-2.41	-0.57	-1.34	-0.07	0.21	-0.65	-0.58
A_01_P000303	||  || A_01_P000303 ||  || PREDICTED: Macaca mulatta zinc finger protein 397 (ZNF397), mRNA [XR_013079] ||  ||  || 6286355	-1.12	-0.44	-0.97	-0.05	1.12	1.18	1.23	0.79	0.83
A_01_P019240	||  || A_01_P019240 ||  || PREDICTED: Macaca mulatta similar to ATP-dependent RNA helicase DDX19A (DEAD box protein 19A) (DDX19-like protein) (LOC712525), mRNA [XR_012642] ||  ||  || 6269859	-0.52	-0.78	-1.86	0.46	0.45	0.33	0.52	0.85	0.58
A_01_P003568	||  || A_01_P003568 ||  || Homo sapiens KIAA0828 protein (KIAA0828), mRNA. [NM_015328] ||  ||  || 6292017	-1.17	-0.9	-0.64	0.14	1.35	1.62	1.23	0.86	0.44
A_01_P000886	||  || A_01_P000886 ||  || Homo sapiens lipoyltransferase 1 (LIPT1), transcript variant 3, mRNA [NM_145197] ||  ||  || 6273807	-2.79	-2.05	-1.86	-0.86	0.03	-0.36	-0.14	-1.08	-0.74
A_01_P005216	||  || A_01_P005216 ||  || PREDICTED: Homo sapiens chromosome 10 open reading frame 18 (C10orf18), mRNA [XM_374765] ||  ||  || 6286889	-1.83	-1.8	-0.81	0.1	-0.09	0.27	0.54	0.59	-0.34
A_01_P005473	||  || A_01_P005473 ||  || Homo sapiens hypothetical protein FLJ22649 similar to signal peptidase SPC22/23 (FLJ22649), mRNA [NM_021928] ||  ||  || 6270942	-0.87	-0.99	-0.72	0.61	1.22	1.75	1.8	1.82	0.19
A_01_P011595	||  || A_01_P011595 ||  || Homo sapiens hypothetical protein MGC40499 (MGC40499), mRNA. [NM_152755] ||  ||  || 6276273	-2.01	-1.36	-0.93	-0.28	-0.03	0.45	0.05	0.09	-0.19
A_01_P017491	||  || A_01_P017491 ||  || Homo sapiens phosphoribosyl pyrophosphate synthetase 1-like 1 (PRPS1L1), mRNA [NM_175886] ||  ||  || 6273996	-1.98	-1.35	-1.53	-0.11	1.26	0.42	-0.26	-0.15	0.23
A_01_P000543	||  || A_01_P000543 ||  || Homo sapiens ring finger protein (C3H2C3 type) 6 (RNF6), transcript variant 1, mRNA [NM_005977] ||  ||  || 6281656	-0.85	-1.24	-0.92	0	0.46	-0.21	-0.04	-0.01	0.04
A_01_P013504	||  || A_01_P013504 ||  || Homo sapiens six transmembrane epithelial antigen of the prostate 2 (STEAP2), mRNA. [NM_152999] ||  ||  || 6267805	-1.74	-1.68	-1.58	-0.74	-0.35	0.7	-0.01	-0.18	-0.1
A_01_P008204	||  || A_01_P008204 ||  || Homo sapiens GTP cyclohydrolase I feedback regulator (GCHFR), mRNA. [NM_005258] ||  ||  || 6278826	-1.86	-2.1	-1.47	-0.28	-0.41	-0.12	-0.97	-0.73	-0.58
A_01_P008539	||  || A_01_P008539 ||  || Homo sapiens similar to hepatocellular carcinoma-associated antigen HCA557b (LOC151194), mRNA. [NM_145280] ||  ||  || 6293974	-1.47	-0.76	-0.39	2.45	0.68	1.44	1.85	1.44	0.57
A_01_P009704	||  || A_01_P009704 ||  || Homo sapiens mRNA for vascular endothelial growth factor variant protein [AB209485] ||  ||  || 6288210	-3.18	-1.84	-2.08	-0.86	0.04	-0.63	-0.9	-0.69	-0.04
A_01_P015556	||  || A_01_P015556 ||  || Homo sapiens hypothetical protein FLJ22789 (FLJ22789), mRNA. [NM_032230] ||  ||  || 6283390	-1.58	-1.29	-1.05	-0.59	0.04	-0.36	-0.07	-0.15	-0.23
A_01_P014966	||  || A_01_P014966 ||  || Homo sapiens Rab geranylgeranyltransferase, beta subunit (RABGGTB), mRNA [NM_004582] ||  ||  || 6293675	-1.58	-2.1	-2.24	-0.87	-0.06	-0.56	-0.59	-0.86	0.1
A_01_P012446	||  || A_01_P012446 ||  || Homo sapiens splicing factor, arginine/serine-rich 14 (SFRS14), mRNA [NM_014884] ||  ||  || 6267002	-2.66	-2.7	-2.82	-0.88	-1.36	-1.25	-1.02	-0.95	-2.09
A_01_P003132	||  || A_01_P003132 ||  || Homo sapiens ribosomal protein L8 (RPL8), transcript variant 2, mRNA [NM_033301] ||  ||  || 6284918	-1.33	-1.21	-1.05	-0.48	-0.12	-0.04	-0.09	-0.2	-0.53
A_01_P019916	||  || A_01_P019916 ||  || PREDICTED: Homo sapiens similar to RPL6 protein (LOC285900), mRNA [XM_208361] ||  ||  || 6292176	-1.46	-1	-1.21	-0.07	-0.56	-0.06	-0.32	-0.03	-0.25
A_01_P019542	||  || A_01_P019542 ||  || Homo sapiens hypothetical protein FLJ11046 (FLJ11046), mRNA [NM_018309] ||  ||  || 6292499	-1.35	-0.99	-1.64	-0.03	1.14	0.26	1.15	0.39	-0.1
A_01_P019411	||  || A_01_P019411 ||  || Homo sapiens TRIAD3 protein (TRIAD3), transcript variant 1, mRNA [NM_207111] ||  ||  || 6267345	-2.52	-1.72	-1.33	-0.32	-0.15	-0.42	-0.41	-0.72	-0.58
A_01_P017689	||  || A_01_P017689 ||  || Homo sapiens ribosomal protein S18 (RPS18), mRNA [NM_022551] ||  ||  || 6280600	-1.56	-1.25	-1.15	-0.38	-0.47	-0.49	-0.68	-0.55	-0.45
A_01_P010984	||  || A_01_P010984 ||  || ILLUMIGEN_MCQ_4914 Katze_MMBR Macaca mulatta cDNA clone IBIUW:5754 5 similar to Bases 91 to 1058 highly similar to human Unigene Hs.56847, mRNA sequence [CN641487] ||  ||  || 6285322	-1.59	-1.09	-1.32	-0.15	0.5	0.09	-0.2	0.32	-0.5
A_01_P014720	||  || A_01_P014720 ||  || Homo sapiens GTP_binding protein (GTP), mRNA. [NM_138384] ||  ||  || 6270470	-0.35	-1.02	-1.1	0.17	0.3	0.41	0.93	0.52	0.91
A_01_P018513	||  || A_01_P018513 ||  || Homo sapiens zinc finger protein 234 (ZNF234), mRNA [NM_006630] ||  ||  || 6293928	-1.57	-1.21	-1.05	0	-0.16	0.68	0.52	1.01	-0.12
A_01_P008585	||  || A_01_P008585 ||  || Homo sapiens similar to bovine IgA regulatory protein (LOC492311), mRNA [NM_001007189] ||  ||  || 6268022	-1.14	-1.41	-1.04	-0.12	0.26	0.77	0.89	0.18	-0.21
A_01_P009805	||  || A_01_P009805 ||  || PREDICTED: Macaca mulatta hypothetical protein LOC698050 (LOC698050), mRNA [XR_010391] ||  ||  || 6269165	0.39	0.41	-0.05	1.11	1.26	1.17	1.24	0.96	1.04
A_01_P018328	||  || A_01_P018328 ||  || Homo sapiens zinc finger protein 318 (ZNF318), mRNA. [NM_014345] ||  ||  || 6282533	-1.78	-1.55	-1.59	-1.07	-0.34	-0.41	-0.27	-0.63	-0.5
A_01_P002162	||  || A_01_P002162 ||  || Homo sapiens glucocorticoid modulatory element binding protein 1 (GMEB1), transcript variant 1, mRNA [NM_006582] ||  ||  || 6293516	-1.94	-1.44	-1.25	-0.65	0.02	0.67	0.66	1.06	0.29
A_01_P007185	||  || A_01_P007185 ||  || Homo sapiens mitochondrial ribosomal protein L10 (MRPL10), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA. [NM_145255] ||  ||  || 6281921	-1.87	-0.75	-1.53	-0.24	0.33	0.85	0.57	0.66	1.56
A_01_P010239	||  || A_01_P010239 ||  || Homo sapiens calcitonin gene-related peptide-receptor component protein (RCP9), mRNA [NM_014478] ||  ||  || 6276301	-2.41	-0.88	-1.81	0.29	0.25	-0.41	0.35	-0.05	-0.22
A_01_P017963	||  || A_01_P017963 ||  || Homo sapiens PRP38 pre-mRNA processing factor 38 (yeast) domain containing B (PRPF38B), mRNA. [NM_018061] ||  ||  || 6280805	-1.22	-0.89	-1.64	-0.59	0.59	0.69	0.74	0.67	0.59
A_01_P008536	||  || A_01_P008536 ||  || ILLUMIGEN_MCQ_28800 Katze_MMPL2 Macaca mulatta cDNA clone IBIUW:7420 5 similar to Bases 1 to 752 highly similar to human SAS10 (Hs.322901), mRNA sequence [CN647604] ||  ||  || 6282639	-2.78	-1.67	-2.96	-1.32	-0.27	-0.72	-0.88	-0.06	-0.34
A_01_P004887	||  || A_01_P004887 ||  || Homo sapiens torsin A interacting protein 1 (TOR1AIP1), mRNA. [NM_015602] ||  ||  || 6283805	-0.79	-1.36	-0.42	0.04	1.02	0.73	0.42	0.93	1.11
A_01_P003305	||  || A_01_P003305 ||  || Homo sapiens similar to solute carrier family 25 , member 16 (LOC203427), mRNA [NM_145305] ||  ||  || 6278864	-2.28	-1.55	-1.13	0	0.26	0.33	-0.54	-0.01	-0.47
A_01_P012317	||  || A_01_P012317 ||  || Homo sapiens KIAA0863 protein (KIAA0863), mRNA. [NM_014913] ||  ||  || 6292520	-1.76	-1.53	-1.81	-0.43	-0.45	-0.22	-0.62	0.28	-0.86
A_01_P000691	||  || A_01_P000691 ||  || Homo sapiens hypothetical protein FLJ30596 (FLJ30596), mRNA. [NM_153013] ||  ||  || 6293464	-1.04	-1.08	-1.27	-0.23	0.69	-0.11	0.19	0.07	0.76
A_01_P006374	||  || A_01_P006374 ||  || Homo sapiens LysM, putative peptidoglycan-binding, domain containing 1 (LYSMD1), mRNA. [NM_212551] ||  ||  || 6286791	-1.14	-1.51	-1.81	-0.77	0.44	-0.07	0.11	-0.1	0.12
A_01_P010391	||  || A_01_P010391 ||  || ILLUMIGEN_MCQ_34467 Katze_MMPL1 Macaca mulatta cDNA clone IBIUW:11942 5 similar to Bases 1 to 784 highly similar to human DKC1 (Hs.4747), mRNA sequence [CN804369] ||  ||  || 6289603	-1.95	-1.49	-1.14	-0.5	0.07	0.03	0.35	0.72	-0.36
A_01_P010723	||  || A_01_P010723 ||  || Homo sapiens synovial sarcoma translocation gene on chromosome 18-like 1 (SS18L1), transcript variant 1, mRNA [NM_198935] ||  ||  || 6271798	-1.81	-2.23	-2.11	-1.2	-0.32	-0.99	-0.53	-0.98	-0.96
A_01_P005687	||  || A_01_P005687 ||  || Homo sapiens interferon induced with helicase C domain 1 (IFIH1), mRNA [NM_022168] ||  ||  || 6280658	-1.15	-1.54	-1.75	0	0.08	-0.5	-0.2	-0.3	-0.71
A_01_P011879	||  || A_01_P011879 ||  ||  ||  ||  || 6286477	-0.97	-1.23	-1.48	0.34	0.74	0.07	0.61	0.78	-0.5
A_01_P002810	||  || A_01_P002810 ||  || Homo sapiens solute carrier family 30 (zinc transporter), member 5 (SLC30A5), mRNA. [NM_022902] ||  ||  || 6270447	-1.27	-1.56	-0.73	0.32	0.39	0.78	0.94	1.18	-0.31
A_01_P001947	||  || A_01_P001947 ||  || Homo sapiens Kruppel-like factor 3 (basic) (KLF3), mRNA [NM_016531] ||  ||  || 6276564	-2.23	-1.11	-1.85	-0.19	0.18	0.21	1.37	0.57	-0.4
A_01_P002755	||  || A_01_P002755 ||  || PREDICTED: Homo sapiens similar to ribosomal protein S2; 40S ribosomal protein S2 (LOC286444), mRNA [XM_208423] ||  ||  || 6291420	-1.73	-1.66	-1.49	-1.08	-0.62	-0.3	-0.64	-0.42	-0.52
A_01_P011377	||  || A_01_P011377 ||  || Homo sapiens phosphatase and actin regulator 4 (PHACTR4), mRNA [NM_023923] ||  ||  || 6286252	-2.78	-1.93	-1.55	-1.01	-0.4	-0.48	-0.69	-0.75	-0.18
A_01_P009361	||  || A_01_P009361 ||  || Homo sapiens chromosome 10 open reading frame 77 (C10orf77), mRNA. [NM_024789] ||  ||  || 6281376	-1.12	-1.18	-1.87	-0.04	-0.18	0.44	0.09	0.75	-0.4
A_01_P005673	||  || A_01_P005673 ||  || Homo sapiens leucine rich repeat containing 49 (LRRC49), mRNA. [NM_017691] ||  ||  || 6282176	-2.16	-0.63	-1.77	-0.4	0.66	0.42	0.3	0.12	0.43
A_01_P008528	||  || A_01_P008528 ||  || PREDICTED: Homo sapiens similar to 40S ribosomal protein S17 (LOC402057), mRNA [XM_377716] ||  ||  || 6289313	-1.06	-0.56	-0.66	0.27	0.11	0.29	0.1	0.07	-0.09
A_01_P015800	||  || A_01_P015800 ||  || Homo sapiens nuclear receptor subfamily 4, group A, member 3 (NR4A3), transcript variant 4, mRNA. [NM_173199] ||  ||  || 6292259	-0.52	-1.16	-1.24	-0.12	0.26	0	0.1	0.39	0.5
A_01_P003672	||  || A_01_P003672 ||  || Homo sapiens hypothetical protein FLJ32675 (FLJ32675), mRNA [NM_173811] ||  ||  || 6288802	-1.77	-1.2	-0.57	1.58	0.14	0.55	1.09	1.09	0.1
A_01_P007291	||  || A_01_P007291 ||  || PREDICTED: Macaca mulatta similar to RIKEN cDNA 2510003E04 (LOC717469), mRNA [XR_013639] ||  ||  || 6287754	-1.79	-1.95	-1.22	-0.91	-0.04	0.05	-0.02	-0.1	-0.55
A_01_P014932	||  || A_01_P014932 ||  || Homo sapiens M-phase phosphoprotein, mpp8 (HSMPP8), mRNA [NM_017520] ||  ||  || 6284876	-1.77	-1.16	-2.15	-0.66	-0.51	-0.23	0.31	0.14	-0.37
A_01_P017269	||  || A_01_P017269 ||  || ILLUMIGEN_MCQ_52168 Katze_MMIL Macaca mulatta cDNA clone IBIUW:29185 5 similar to Bases 42 to 707 highly similar to human MGC23909 (Hs.355606), mRNA sequence [CO774990] ||  ||  || 6278553	-0.44	-0.67	-0.39	0.84	0.46	0.55	0.56	0.63	0.04
A_01_P013399	||  || A_01_P013399 ||  || PREDICTED: Macaca mulatta similar to activating transcription factor 2 (LOC699072), mRNA [XR_011460] ||  ||  || 6280286	-2.03	-0.63	-1.68	-0.01	0.66	0.3	-0.08	-0.08	0.02
A_01_P018953	||  || A_01_P018953 ||  || Homo sapiens TH1-like (Drosophila) (TH1L), transcript variant 1, mRNA. [NM_198976] ||  ||  || 6286333	-0.98	-1.13	-1.46	-0.25	0.06	-0.04	0.57	0.33	-0.38
A_01_P007351	||  || A_01_P007351 ||  || Homo sapiens transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53kDa) (TGFBR1), mRNA [NM_004612] ||  ||  || 6293858	-1.57	-1.12	-1.35	0	-0.64	0.34	-0.33	0.38	-0.03
A_01_P004036	||  || A_01_P004036 ||  || Homo sapiens polymerase (RNA) II (DNA directed) polypeptide C, 33kDa (POLR2C), transcript variant gamma, mRNA [NM_032940] ||  ||  || 6282428	-0.74	-1.25	-1.19	-0.33	0.5	0.05	0.24	0.63	0.02
A_01_P020185	||  || A_01_P020185 ||  || Homo sapiens F-box protein 17 (FBXO17), transcript variant 2, mRNA. [NM_024907] ||  ||  || 6272335	-2.21	-1.08	-2.1	-0.45	-0.6	-0.28	-0.68	0.04	-0.31
A_01_P009426	||  || A_01_P009426 ||  || Homo sapiens mitochondrial ribosomal protein S27 (MRPS27), nuclear gene encoding mitochondrial protein, mRNA. [NM_015084] ||  ||  || 6287011	-0.3	-1.72	-1.62	1.24	0.5	-0.01	0.8	1.2	0.41
A_01_P018174	||  || A_01_P018174 ||  || Homo sapiens ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast) (UBE2H), transcript variant 1, mRNA [NM_003344] ||  ||  || 6273403	-0.51	-0.61	-0.26	0.42	0.74	0.46	0.36	0.14	0.4
A_01_P018872	||  || A_01_P018872 ||  || Homo sapiens mitogen-activated protein kinase 1 (MAPK1), transcript variant 2, mRNA. [NM_138957] ||  ||  || 6272147	-0.41	-0.11	-0.37	1.37	0.62	0.78	1.64	1.27	0.64
A_01_P013726	||  || A_01_P013726 ||  || Homo sapiens hypothetical protein MGC29898 (MGC29898), mRNA [NM_145048] ||  ||  || 6267494	-0.8	-1.22	-1.36	0	0.54	0.06	0.55	0.27	-0.43
A_01_P011389	||  || A_01_P011389 ||  || PREDICTED: Homo sapiens KIAA0701 protein (KIAA0701), mRNA [XM_045423] ||  ||  || 6286783	-1.69	-2.1	-1.73	-0.62	0.18	-0.91	-0.37	-0.62	-0.85
A_01_P006422	||  || A_01_P006422 ||  || Homo sapiens regulatory factor X-associated protein (RFXAP), mRNA [NM_000538] ||  ||  || 6288023	-1.46	-0.51	-1.16	-0.07	0.08	0.12	-0.02	0.12	-0.01
A_01_P006316	||  || A_01_P006316 ||  || Homo sapiens ribosomal protein S20 (RPS20), mRNA [NM_001023] ||  ||  || 6281648	-1.34	-0.82	-0.72	0.18	-0.12	0.18	-0.02	0.03	-0.22
A_01_P018394	||  || A_01_P018394 ||  || Homo sapiens zinc finger protein 84 (HPF2) (ZNF84), mRNA. [NM_003428] ||  ||  || 6279848	-2.36	-1.18	-2.04	-0.1	0.24	-0.36	-0.37	-0.61	-0.77
A_01_P006008	||  || A_01_P006008 ||  || PREDICTED: Macaca mulatta similar to activating signal cointegrator 1 complex subunit 3 isoform a (LOC695429), mRNA [XR_010325] ||  ||  || 6285657	-1.09	-0.92	-1.42	0	0.01	-0.17	0.16	0.57	-0.39
A_01_P014530	||  || A_01_P014530 ||  || Homo sapiens MRS2-like, magnesium homeostasis factor (S. cerevisiae) (MRS2L), mRNA. [NM_020662] ||  ||  || 6292586	-1.13	-1.33	-1.32	-0.29	0.12	-0.52	-0.41	0.29	-0.24
A_01_P011619	||  || A_01_P011619 ||  || Homo sapiens keratin, hair, acidic, 3B (KRTHA3B), mRNA [NM_002279] ||  ||  || 6290950	-1.13	-0.6	-0.99	0	-0.14	0.49	0.22	0.59	0.06
A_01_P011612	||  || A_01_P011612 ||  || Homo sapiens poliovirus receptor-related 3 (PVRL3), mRNA [NM_015480] ||  ||  || 6278911	-0.74	-1.25	-1.79	-0.24	0.29	0.13	0.49	-0.28	0.15
A_01_P003181	||  || A_01_P003181 ||  || Homo sapiens hypermethylated in cancer 2 (HIC2), mRNA. [NM_015094] ||  ||  || 6284700	-2.4	-1.83	-1.39	-0.94	-0.52	-0.75	-0.54	-0.04	-0.25
A_01_P020193	||  || A_01_P020193 ||  || Homo sapiens bromo adjacent homology domain containing 1 (BAHD1), mRNA [NM_014952] ||  ||  || 6289547	-0.69	-1.13	-1.12	0.77	0	0.17	0.22	0.49	-0.23
A_01_P001701	||  || A_01_P001701 ||  || Homo sapiens ELYS transcription factor-like protein TMBS62 (ELYS), mRNA [NM_015446] ||  ||  || 6271038	-2.33	-1.25	-2.29	-0.9	-0.46	-0.56	-0.41	0.19	-0.55
A_01_P004941	||  || A_01_P004941 ||  || Homo sapiens phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila) (PDE4D), mRNA [NM_006203] ||  ||  || 6267743	-2.25	-1.37	-1.89	-0.96	0.29	-0.12	-0.3	-0.65	-0.41
A_01_P009959	||  || A_01_P009959 ||  || Homo sapiens tigger transposable element derived 7 (TIGD7), mRNA [NM_033208] ||  ||  || 6285852	-1.85	-1.19	-1.31	0.13	-0.22	-0.45	-0.17	-0.42	-0.69
A_01_P014386	||  || A_01_P014386 ||  || Homo sapiens immediate early response 3 interacting protein 1 (IER3IP1), mRNA [NM_016097] ||  ||  || 6293878	0.72	-1.08	-1.35	1.93	1.86	2.17	2.47	2.79	0.64
A_01_P004483	||  || A_01_P004483 ||  || Homo sapiens hypothetical protein FLJ23825 (FLJ23825), mRNA. [NM_173620] ||  ||  || 6268374	-2.67	-1.79	-2.12	-1.16	-1.07	-0.52	-0.9	-1.06	-1.27
A_01_P007406	||  || A_01_P007406 ||  || Homo sapiens lectin, mannose-binding 2-like (LMAN2L), mRNA. [NM_030805] ||  ||  || 6269296	-2.55	-1.8	-2.01	-0.74	-0.2	0.72	-0.47	-0.17	-1.11
A_01_P017735	||  || A_01_P017735 ||  || Homo sapiens peroxisome biogenesis factor 26 (PEX26), mRNA. [NM_017929] ||  ||  || 6291805	-1.15	-1.61	-1.9	-0.64	-0.12	0.21	0.56	0.66	-0.42
A_01_P004031	||  || A_01_P004031 ||  || Homo sapiens neural precursor cell expressed, developmentally down-regulated 9 (NEDD9), mRNA. [NM_006403] ||  ||  || 6269697	-1.1	-0.49	-1.37	-0.15	1	0.88	1.07	1.2	0.17
A_01_P004263	||  || A_01_P004263 ||  || Homo sapiens zinc finger protein 549 (ZNF549), mRNA. [NM_153263] ||  ||  || 6279557	-1.26	-1.28	-1.48	-0.01	0.19	0.08	-0.65	-0.6	0.15
A_01_P011454	||  || A_01_P011454 ||  || Homo sapiens ubiquitin specific protease 10 (USP10), mRNA [NM_005153] ||  ||  || 6280307	-1.01	-1.25	-1.3	-0.46	-0.3	-0.45	-0.1	-0.13	-0.6
A_01_P004973	||  || A_01_P004973 ||  || Homo sapiens RAB33B, member RAS oncogene family (RAB33B), mRNA. [NM_031296] ||  ||  || 6271381	-1.75	-1.21	-1.46	-0.29	1.18	0.39	0.67	-0.38	-0.12
A_01_P012901	||  || A_01_P012901 ||  || PREDICTED: Macaca mulatta similar to CG5645-PA (LOC713047), mRNA [XR_012668] ||  ||  || 6282967	-2.84	-2.23	-2.47	-1.93	-1.36	-1.03	-0.92	-1.29	-1.17
A_01_P012505	||  || A_01_P012505 ||  || Homo sapiens outer dense fiber of sperm tails 2 (ODF2), transcript variant 2, mRNA. [NM_153437] ||  ||  || 6268350	-2.67	-1.84	-1.28	-0.6	-0.34	-0.69	-0.22	-0.74	0.06
A_01_P018003	||  || A_01_P018003 ||  || PREDICTED: Macaca mulatta alkyldihydroxyacetone phosphate synthase (AGPS), mRNA [XR_011839] ||  ||  || 6284811	-0.86	-1.2	-1.37	-0.18	0.67	1.29	1.53	1.41	0.06
A_01_P005078	||  || A_01_P005078 ||  || Homo sapiens Down syndrome critical region gene 3 (DSCR3), mRNA. [NM_006052] ||  ||  || 6292657	-0.18	-0.43	-0.59	0.25	1.6	1.87	1.13	1.29	0.95
A_01_P004341	||  || A_01_P004341 ||  || Homo sapiens 2-aminoadipic 6-semialdehyde dehydrogenase (NRPS998), mRNA [NM_181806] ||  ||  || 6279663	-1.55	-1.83	-1.21	-0.62	-0.79	-0.62	-0.77	-0.54	-0.78
A_01_P016968	||  || A_01_P016968 ||  ||  ||  ||  || 6271459	-0.93	-0.5	-0.82	0.03	1.01	1.12	1.36	1.29	0.23
A_01_P005790	||  || A_01_P005790 ||  || Homo sapiens neuregulin 1 (NRG1), transcript variant HRG-beta2, mRNA [NM_013957] ||  ||  || 6278598	-0.72	-1.03	-0.3	0.61	-0.08	0.48	0.44	0.49	0.39
A_01_P015240	||  || A_01_P015240 ||  || Homo sapiens nicotinamide N-methyltransferase (NNMT), mRNA [NM_006169] ||  ||  || 6291067	-0.76	-1.2	-1.44	-0.11	0.74	1.48	0.93	2.29	0.63
A_01_P010530	||  || A_01_P010530 ||  || Homo sapiens NF-kappa B-repressing factor (NRF), mRNA [NM_017544] ||  ||  || 6273522	-0.82	-1.02	-1	0.32	0.13	0.21	0.39	0.14	-0.51
A_01_P012894	||  || A_01_P012894 ||  || Homo sapiens fibronectin type III domain containing 3 (FNDC3), mRNA [NM_014923] ||  ||  || 6291960	-0.9	-0.74	-0.37	0.09	0.73	0.28	0.38	0.51	1.07
A_01_P001759	||  || A_01_P001759 ||  || Homo sapiens similar to RIKEN cDNA 1500009M05 gene (LOC493856), mRNA. [NM_001008388] ||  ||  || 6283611	-1.93	-1.09	-2.06	-1.09	0.6	0.88	0.74	0.85	0.27
A_01_P009401	||  || A_01_P009401 ||  || Homo sapiens THAP domain containing 10 (THAP10), mRNA. [NM_020147] ||  ||  || 6281142	-1.39	-0.75	-1.32	-0.38	1.33	0.8	1.13	2	0.64
A_01_P017953	||  || A_01_P017953 ||  || MMPL0028_H02 MMPL Macaca mulatta cDNA, mRNA sequence [CB550176] ||  ||  || 6290595	-2.04	-1.4	-1.67	0	-0.39	-0.1	-0.55	-0.33	-1.11
A_01_P004970	||  || A_01_P004970 ||  || Homo sapiens 5-azacytidine induced 2 (AZI2), transcript variant 2, mRNA [NM_203326] ||  ||  || 6287345	-1.97	-1.77	-2.21	-0.77	-0.8	-1.53	-0.75	-0.87	-0.65
A_01_P004407	||  || A_01_P004407 ||  || Homo sapiens interleukin enhancer binding factor 3, 90kDa (ILF3), transcript variant 2, mRNA [NM_004516] ||  ||  || 6287252	-1.23	-1.4	-0.91	-0.37	-0.09	-0.14	0.23	0.67	-0.17
A_01_P006242	||  || A_01_P006242 ||  || Homo sapiens ataxia telangiectasia and Rad3 related (ATR), mRNA [NM_001184] ||  ||  || 6291171	-1.98	-1.92	-1.61	-1.22	-0.34	-0.87	-0.76	-0.5	-0.19
A_01_P005520	||  || A_01_P005520 ||  || Homo sapiens chromosome 18 open reading frame 55 (C18orf55), mRNA. [NM_014177] ||  ||  || 6292227	-0.23	-1.19	-0.6	0.64	0.87	0.17	0.56	1.1	0.4
A_01_P011052	||  || A_01_P011052 ||  || Homo sapiens putative nuclear protein ORF1-FL49 (ORF1-FL49), mRNA. [NM_032412] ||  ||  || 6293837	-0.37	-0.75	-0.29	0.1	0.98	0.56	0.79	0.84	0.48
A_01_P014332	||  || A_01_P014332 ||  || PREDICTED: Macaca mulatta similar to XRCC4-like factor (LOC701542), mRNA [XR_011873] ||  ||  || 6283058	-0.07	-1.34	-1.54	0.05	1.01	0.63	1.16	0.66	0.61
A_01_P008295	||  || A_01_P008295 ||  || Homo sapiens ribosomal protein S9 (RPS9), mRNA [NM_001013] ||  ||  || 6269996	-1.31	-0.89	-0.86	0.02	-0.38	-0.02	-0.29	-0.28	-0.16
A_01_P003061	||  || A_01_P003061 ||  || Homo sapiens hypothetical protein MGC29649 (MGC29649), mRNA. [NM_173810] ||  ||  || 6288477	-0.17	-0.86	-1.21	0.56	0.32	0.64	1.04	0.97	0.15
A_01_P011211	||  || A_01_P011211 ||  || ILLUMIGEN_MCQ_5177 Katze_MMBR Macaca mulatta cDNA clone IBIUW:5985 5 similar to Bases 207 to 967 highly similar to human Unigene Hs.351680, mRNA sequence [CN641683] ||  ||  || 6274842	-1.23	-2.07	-1.56	-0.62	-0.81	0.05	0.3	-0.09	-0.26
A_01_P000637	||  || A_01_P000637 ||  || Homo sapiens mindbomb homolog 1 (Drosophila) (MIB1), mRNA [NM_020774] ||  ||  || 6281352	-1.21	-1.08	-2.22	-0.57	0.35	-0.01	-0.12	-0.22	0.45
A_01_P015009	||  || A_01_P015009 ||  || PREDICTED: Macaca mulatta similar to zinc finger protein 406 isoform ZFAT-1 (LOC698512), mRNA [XR_010861] ||  ||  || 6282010	-1.72	-1.1	-0.59	-0.24	0.09	-0.07	0.37	0.14	0.29
A_01_P019043	||  || A_01_P019043 ||  || Homo sapiens chromosome 1 open reading frame 25 (C1orf25), mRNA. [NM_030934] ||  ||  || 6290434	-1.95	-0.73	-1.65	-0.55	0.52	0.54	0.91	0.43	-0.16
A_01_P017450	||  || A_01_P017450 ||  || Homo sapiens jub, ajuba homolog (Xenopus laevis) (JUB), transcript variant 1, mRNA. [NM_032876] ||  ||  || 6280683	-2.34	-2.08	-1.88	-0.77	-0.02	-0.3	-1.42	-0.37	0.43
A_01_P018004	||  || A_01_P018004 ||  || Homo sapiens ribosomal protein S28 (RPS28), mRNA [NM_001031] ||  ||  || 6269872	-1.86	-1.41	-1.25	-0.77	-0.13	-0.11	-0.31	-0.43	-0.76
A_01_P002304	||  || A_01_P002304 ||  || PREDICTED: Macaca mulatta similar to G protein-coupled receptor 178 (LOC705039), mRNA [XR_011372] ||  ||  || 6285278	0.29	-0.37	-0.14	1.58	0.45	1.41	1.58	1.65	1.17
