Gene symbol	Gene title	Avg FC	FC range	Category
EMP1	epithelial membrane protein 1	11	17 -6	N
KIFAP3	kinesin-associated protein 3	11	18 -6	N
FRMD4B	FERM domain containing 4B	11	17 -9	N
C8orf72	chromosome 8 open reading frame 72	11	17 -6	-
ICHTHYIN	ichthyin protein	11	15 -6	X
ROBO2	roundabout, axon guidance receptor, homolog 2 (Drosophila)	11	13 -10	-
ITPR1	inositol 1,4,5-triphosphate receptor, type 1	11	13 -8	N
TNFRSF19	tumor necrosis factor receptor superfamily, member 19	11	16 -8	O
DACH1	dachshund homolog 1 (Drosophila)	11	18 -6	N
C12orf23	chromosome 12 open reading frame 23	11	14 -9	N
ANGPT1	angiopoietin 1	11	14 -6	N
RHOU	ras homolog gene family, member U	11	13 -7	N
C1orf188	chromosome 1 open reading frame 188	10	13 -8	X
NCAM1	neural cell adhesion molecule 1	10	9-Dec	N
NID1	nidogen 1	10	16 -7	O
EFEMP2	EGF-containing fibulin-like extracellular matrix protein 2	10	15 -8	X
LEF1	lymphoid enhancer-binding factor 1	10	10-Nov	N
TLR4	toll-like receptor 4	10	13 -9	X
PCAF	p300/CBP-associated factor	10	13 -8	X
PELO	pelota homolog (Drosophila)	10	14 -8	-
TGFB1I1	transforming growth factor beta 1 induced transcript 1	10	8-Nov	N
GREM1	gremlin 1, cysteine knot superfamily, homolog (Xenopus laevis)	10	13 -6	X
ATP10D	ATPase, Class V, type 10D	10	7-Dec	N
RGL1	ral guanine nucleotide dissociation stimulator-like 1	10	14 -6	N
SVIL	supervillin	9	13 -8	O
LOC144997	hypothetical protein LOC144997	9	14 -6	-
TFEB	transcription factor EB	9	14 -5	X
ZNF710	zinc finger protein 710	9	13 -7	-
AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3	9	6-Dec	-
GAS7	growth arrest-specific 7	9	15 -6	U
KIAA0895	KIAA0895 protein	9	13 -7	X
C14orf45	chromosome 14 open reading frame 45	9	8-Sep	N
SCUBE3	signal peptide, CUB domain, EGF-like 3	9	7-Oct	X
TGFBR3	transforming growth factor, beta receptor III (betaglycan, 300kDa)	9	8-Oct	N
PDE4D	phosphodiesterase 4D, cAMP-specific	9	7-Oct	-
RGS5	regulator of G-protein signalling 5	9	7-Nov	O
PRSS23	protease, serine, 23	9	7-Oct	N
C6orf145	chromosome 6 open reading frame 145	9	6-Nov	N
PAH	phenylalanine hydroxylase	9	7-Dec	N
ZNF467	zinc finger protein 467	8	7-Oct	N
KIAA1984	KIAA1984	8	7-Oct	-
ZNF641	zinc finger protein 641	8	7-Sep	O
KIF26B	kinesin family member 26B	8	6-Nov	X
C10orf56	chromosome 10 open reading frame 56	8	7-Oct	N
MYLK	myosin, light polypeptide kinase	8	7-Oct	U
GPR124	G protein-coupled receptor 124	8	6-Dec	O
SH3PXD2A	SH3 and PX domains 2A	8	6-Nov	N
FLJ21272	hypothetical protein FLJ21272	8	6-Oct	-
LOC440934	hypothetical gene supported by BC008048	8	14 -5	-
ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	8	6-Nov	O
BMPR2	bone morphogenetic protein receptor, type II	8	6-Sep	-
TANC2	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2	8	6-Nov	-
PCDH17	protocadherin 17	8	5-Nov	N
LOC402560	hypothetical LOC402560	7	5-Oct	-
REV3L	REV3-like, catalytic subunit of DNA polymerase zeta	7	6-Sep	-
CTSB	cathepsin B	7	6-Sep	U
KIAA1462	KIAA1462	7	5-Oct	N
COBLL1	COBL-like 1	7	6-Jul	-
DMRTC1	DMRT-like family C1	7	5-Aug	-
COMMD3	COMM domain containing 3	7	5-Sep	N
GAS6	growth arrest-specific 6	7	6-Aug	-
EPS8	epidermal growth factor receptor pathway substrate 8	7	6-Aug	U
PRNP	prion protein (Creutzfeldt-Jakob disease)	7	6-Aug	U
SETD7	SET domain containing (lysine methyltransferase) 7	7	6-Aug	N
CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	7	6-Aug	O
GLS	glutaminase	7	5-Jul	-
ATP2B4	ATPase, Ca++ transporting, plasma membrane 4	6	5-Aug	N
ADCY7	adenylate cyclase 7	6	5-Jul	N
AKR1C1	aldo-keto reductase family 1, member C1	6	6-Jun	-
XIST	X (inactive)-specific transcript	6	6-Jun	-
BACH2	BTB and CNC homology 1, leucine zipper transcription factor 2	5	5-Jun	N
FOXP1	forkhead box P1	5	5-Jun	N
DGKH	diacylglycerol kinase, eta	5	5-May	-
