probe set	Gene	Gene	Accession	EntrezGene	CEF NY315/CEF RCAS	CEF SRA/CEF RCAS	CEF SRA/CEF NY315	min p-value
GgaAffx.6177.1.S1_at	LOC417829	similar to glucosamine (N-acetyl)-6-sulfatase precursor	ENSGALT00000016025.1	417829	-0.43	0.86	1.3	0.027823
Gga.16560.2.S1_s_at	MCL1	myeloid cell leukemia sequence 1 (BCL2-related)	CR390222.1	395674	-0.52	0.78	1.3	0.015095
Gga.12642.1.S1_at	LOC424434	hypothetical LOC424434	BU464416	424434	1.45	2.75	1.29	0.00286
GgaAffx.12005.1.S1_s_at	RCJMB04_8a2	63829	AJ719902	421130	0.24	1.53	1.29	0.001206
GgaAffx.12201.1.S1_at	RCJMB04_10i5	glycosyltransferase 8 domain containing 3	AJ720098	417789	0.25	1.53	1.29	0.001118
Gga.15330.1.S1_at	COL4A3BP	Collagen, type IV, alpha 3 binding protein	CR387349.1	0	0.23	1.52	1.29	0.005669
Gga.13415.1.S1_at	ADD3	adducin 3 (gamma)	CR353375.1	373892	-0.16	1.13	1.29	0.033716
GgaAffx.3803.6.S1_s_at	PLXNA1	plexin A1	ENSGALT00000009837.1	416030	-0.18	1.11	1.29	0.04161
Gga.3635.1.S1_at	CTTN	cortactin	NM_205468.1	396455	-0.41	0.89	1.29	0.008052
Gga.9637.2.S1_a_at	SAT1	Spermidine/spermine N1-acetyltransferase 1	BX929865.1	374006	1.07	2.35	1.28	0.001346
GgaAffx.26365.1.S1_at	LOC427581	hypothetical LOC427581	ENSGALT00000007907.1	0	-0.17	1.1	1.28	0.003224
GgaAffx.4506.1.S1_at	LOC423123	similar to RAB3A interacting protein (rabin3)-like 1	ENSGALT00000011657.1	423123	-0.23	1.05	1.28	0.013589
Gga.2295.1.S1_at		Transcribed locus	BU441755	0	0.05	1.31	1.27	0.018493
Gga.7594.1.S1_at	CPD	carboxypeptidase D	BU308227	0	0.27	1.53	1.26	0.001051
GgaAffx.5146.1.S1_s_at	RCJMB04_22h21	5-nucleotidase, cytosolic II	ENSGALT00000013310.1	423871	-0.42	0.84	1.26	0.014184
Gga.6740.1.S1_at		Gga.6740.1	BX267197	0	0.46	1.7	1.25	0.004075
Gga.4869.1.S1_at	AKR1B10	aldo-keto reductase family 1, member B10 (aldose reductase)	BX935552.2	418169	0.14	1.39	1.25	0.00553
GgaAffx.21769.1.S1_s_at	LPL	lipoprotein lipase	NM_205282.1	396219	-0.25	0.99	1.25	0.005899
Gga.3572.1.S1_at	CD44	CD44 molecule	NM_204860.1	395666	-0.63	0.62	1.25	0.000511
Gga.19816.1.S1_at		Finished cDNA, clone ChEST927k17	CR406902.1	0	0.29	1.53	1.24	0.000009
GgaAffx.11018.1.S1_s_at	LOC418982	similar to Interstitial collagenase precursor (Matrix metalloproteinase-1) (MMP-1)	ENSGALT00000027764.1	418982	0.17	1.4	1.24	0.038017
Gga.14469.1.S1_at		Finished cDNA, clone ChEST328j11	BU276312	423959	0.15	1.39	1.24	0.003328
Gga.523.1.S1_at	CTSL1	cathepsin L1	CK611533	427466	0.93	2.16	1.23	0.000578
Gga.6220.2.S1_a_at	ICER	ICER protein	BX931695.1	378903	0.67	1.91	1.23	0.001801
Gga.12889.1.S1_at	RAB40B	RAB40B, member RAS oncogene family	BX950715.2	417338	0.31	1.54	1.23	0.002502
GgaAffx.25890.1.S1_at	RCJMB04_20c20	solute carrier family 12 (potassium/chloride transporters), member 4	ENSGALT00000005597.1	0	-0.33	0.89	1.23	0.001756
Gga.5748.1.S1_at	IL13RA2	interleukin 13 receptor, alpha 2	BX934144.2	422219	0.19	1.41	1.22	0.000971
GgaAffx.26656.1.S1_at	LOC770805	hypothetical protein LOC770805	ENSGALT00000009500.1	0	0.15	1.38	1.22	0.001881
GgaAffx.3126.1.S1_at	LOC415970	similar to Ras-related protein RAB43	ENSGALT00000008038.1	415970	-0.35	0.87	1.22	0.018633
Gga.5736.1.S1_at	LOC428016	similar to ankyrin repeat domain 57	BX262161	0	-0.13	1.08	1.21	0.013063
Gga.9075.1.S1_at	LOC429737	similar to LOC496768 protein	CD732059	429737	-0.35	0.86	1.21	0.000381
GgaAffx.6779.1.S1_s_at	RCJMB04_16f17	centrosomal protein 170kDa	ENSGALT00000017462.1	421499	-0.41	0.81	1.21	0.00936
GgaAffx.12323.1.S1_s_at	RCJMB04_12p16	ecotropic viral integration site 2A	AJ720220	0	0.38	1.59	1.2	0.006576
Gga.11307.1.S1_at	LOC420475	similar to supervillin (archvillin) (SVIL)	BU225110	420475	0.02	1.23	1.2	0.026024
GgaAffx.23445.1.S1_s_at	LOC422591	similar to protein tyrosine phosphatase type 1	ENSGALT00000018050.1	422591	0.04	1.23	1.2	0.000778
Gga.3332.1.S1_at	MXRA8	matrix-remodelling associated 8	NM_204636.1	395347	-0.04	1.16	1.2	0.014531
Gga.19253.1.S1_at	PHLPP	PH domain and leucine rich repeat protein phosphatase	BU478228	0	-0.18	1.01	1.2	0.004472
Gga.1009.2.S1_s_at	RCJMB04_28o6	actin related protein 2/3 complex, subunit 1B, 41kDa	BU380027	416490	-0.19	1	1.2	0.004379
Gga.8789.1.S1_at	PIK3CD	phosphoinositide-3-kinase, catalytic, delta polypeptide	BU285122	419444	0.72	1.91	1.19	0.001105
GgaAffx.12050.1.S1_s_at	CD82 /// LOC776912	CD82 molecule /// similar to CD82 molecule	AJ719947	423172	0.64	1.82	1.19	0.002391
GgaAffx.1.1.S1_s_at	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	NM_001001472.1	396093	0.28	1.48	1.19	0.028072
Gga.4401.1.S1_a_at	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	M64990.1	396451	0.28	1.47	1.19	0.023596
GgaAffx.20862.1.S1_s_at	LOC424666	similar to Phosphatidic acid phosphatase type 2B	CR523753.1	0	-0.04	1.15	1.19	0.006625
Gga.3615.1.S1_at	FST	follistatin	NM_205200.1	396119	-0.08	1.11	1.19	0.015021
Gga.16438.1.S1_at		Finished cDNA, clone ChEST1036e5 /// Finished cDNA, clone ChEST804c14	BU249348	0	0.23	1.41	1.18	0.024281
Gga.6034.2.S1_a_at	NEK6	NIMA (never in mitosis gene a)-related kinase 6	BU485321	417101	-0.17	1.01	1.18	0.005519
GgaAffx.13053.1.S1_s_at	RCJMB04_30m16	similar to chromosome 10 open reading frame 58	AJ720950	423625	-0.71	0.47	1.18	0.001215
Gga.14579.1.S1_at	CUBN	cubilin (intrinsic factor-cobalamin receptor)	BU294131	420523	0.58	1.75	1.17	0.001895
GgaAffx.4973.1.S1_at	LOC423163	similar to putative interleukin 1 signal transducer	ENSGALT00000012888.1	423163	0.32	1.48	1.17	0.022842
GgaAffx.8787.1.S1_at	LOC426270	similar to DOCK180 protein	ENSGALT00000022428.1	426270	-0.42	0.75	1.17	0.011393
Gga.2039.1.S1_at	HMOX1	heme oxygenase (decycling) 1	NM_205344.1	396287	0.79	1.95	1.16	0.000361
Gga.11643.2.S1_s_at	LOC416727	similar to URP1	BU290715	416727	0.43	1.59	1.16	0.000327
GgaAffx.7043.3.S1_s_at	LOC427758	similar to Ral guanine nucleotide dissociation stimulator A	ENSGALT00000005398.1	427758	-0.07	1.09	1.16	0.010324
GgaAffx.24058.1.S1_at	IPO8	importin 8	ENSGALT00000021125.1	418142	-0.13	1.02	1.16	0.002054
GgaAffx.12750.1.S1_s_at	RASSF3	Ras association (RalGDS/AF-6) domain family 3	AJ720647	417828	-0.36	0.8	1.16	0.003953
GgaAffx.22637.1.S1_s_at	FKBP5	FK506 binding protein 5	ENSGALT00000001399.1	421186	0.73	1.88	1.15	0.000604
GgaAffx.20170.1.S1_s_at	LOC428958	similar to Lipase A, lysosomal acid, cholesterol esterase (Wolman disease)	CR524445.1	0	0	1.14	1.15	0.038777
GgaAffx.22641.1.S1_s_at	LOC415591	similar to KIAA0051	ENSGALT00000014003.1	415591	-0.46	0.68	1.15	0.012251
GgaAffx.2415.1.S1_s_at	LOC428996	similar to FLI-LRR associated protein-1	ENSGALT00000006147.1	428996	-0.66	0.49	1.15	0.009445
Gga.6854.1.S1_at	LOC416456	similar to MGC68817 protein	BX934870.2	0	0.67	1.81	1.14	0.003914
Gga.2876.1.S1_a_at	VAV3	vav 3 oncogene	NM_206863.1	373939	0.35	1.49	1.14	0.028193
Gga.4589.1.S3_at	RHOBTB2	Rho-related BTB domain containing 2	NM_204115.1	373904	0.06	1.2	1.14	0.032244
Gga.5003.1.S1_at	RCJMB04_24e7	calmodulin 1 (phosphorylase kinase, delta)	CR386249.1	0	-0.17	0.97	1.14	0.000342
Gga.18408.1.S1_at	LOC420907	similar to RIKEN cDNA 2310035C23	BU424612	420907	0.59	1.73	1.13	0.018549
GgaAffx.9822.1.S1_at	RCJMB04_37k12	HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1	ENSGALT00000024865.1	421788	-0.11	1.02	1.13	0.007903
Gga.7691.1.S1_at		Transcribed locus, weakly similar to NP_001038817.1  protein LOC751632 [Danio rerio]	BX267130	0	0.24	1.36	1.12	0.00168
GgaAffx.26261.1.S1_s_at	RCJMB04_4a23	F-box and leucine-rich repeat protein 18	ENSGALT00000007337.1	416484	0.11	1.23	1.12	0.003462
Gga.13421.1.A1_at	RCJMB04_10i5	Glycosyltransferase 8 domain containing 3	CR352741.1	417789	-0.04	1.08	1.12	0.003132
Gga.7633.1.S1_s_at	LOC415323	similar to myosin-IXa	BX277797	415323	-0.19	0.93	1.12	0.002023
Gga.11900.1.S1_at	LOC424451	similar to niban protein	BU261686	424451	0.5	1.61	1.11	0.014668
Gga.6886.1.S1_at		Transcribed locus, strongly similar to XP_421264.1  similar to peroxisomal membrane protein-1 like protein [Gallus gallus]	BU336128	0	0.45	1.56	1.11	0.000286
GgaAffx.20225.1.S1_s_at		Finished cDNA, clone ChEST717k23	CR524390.1	0	0.38	1.49	1.11	0.000631
Gga.7271.1.S1_s_at	MPP1	membrane protein, palmitoylated 1, 55kDa	BU404341	422197	0.34	1.45	1.11	0.000167
Gga.16576.1.S1_at	RIN2	Ras and Rab interactor 2	CF252790	421246	0.01	1.12	1.11	0.003851
Gga.17346.1.S1_s_at	WIPI2	WD repeat domain, phosphoinositide interacting 2	CR390718.1	416481	-0.05	1.07	1.11	0.000806
GgaAffx.20375.1.S1_s_at	ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	CR524240.1	395416	-0.15	0.96	1.11	0.025866
Gga.15913.1.S1_at		Finished cDNA, clone ChEST487d19	BU217327	0	-0.39	0.72	1.11	0.011464
Gga.5891.1.S1_at	PDCD6	programmed cell death 6	BU462078	420988	-0.38	0.72	1.11	0.009951
Gga.17061.1.S1_s_at	ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	AJ441355	395416	-0.1	1	1.1	0.040432
GgaAffx.10534.3.S1_s_at	LOC421945	similar to KIAA0188	ENSGALT00000026551.1	421945	-0.13	0.97	1.1	0.037438
GgaAffx.9618.1.S1_at	LOC427250	similar to KIAA1412 protein	ENSGALT00000024420.1	427250	-0.28	0.82	1.1	0.006925
GgaAffx.8428.1.S1_at	LOC425976	similar to chondroitin sulfate proteoglycan BEHAB/brevican	ENSGALT00000021615.1	425976	-0.57	0.53	1.1	0.005524
Gga.11203.1.S1_s_at	LOC428996	similar to FLI-LRR associated protein-1	BX930175.1	428996	-0.19	0.9	1.09	0.000804
Gga.5008.1.S1_at	LOC395077	ARF tumor suppressor	NM_204434.1	395077	0.87	1.95	1.08	0.000081
Gga.16283.1.S1_at		Finished cDNA, clone ChEST354i6	BU397998	0	0.3	1.38	1.08	0.00379
Gga.12192.2.S1_a_at	OSMR	oncostatin M receptor	BU417555	427446	-0.05	1.04	1.08	0.001168
GgaAffx.13204.1.S1_at	WIPI2	WD repeat domain, phosphoinositide interacting 2	AJ721101	416481	-0.05	1.03	1.08	0.003189
GgaAffx.10997.2.S1_s_at	LOC771842	similar to KDEL (Lys-Asp-Glu-Leu) containing 2	ENSGALT00000027712.1	418966	-0.18	0.9	1.08	0.008392
GgaAffx.49.1.S1_at		GgaAffx.49.1	ENSGALT00000000061.1	0	0.32	1.4	1.07	0.02736
Gga.12906.1.S1_at	LOC422487	Similar to SH2D4A protein	BX950257.2	0	0.26	1.32	1.07	0.005488
GgaAffx.1482.2.S1_s_at	RCJMB04_31c6	ring finger and FYVE-like domain containing 1	ENSGALT00000003482.1	417529	0.03	1.1	1.07	0.026584
GgaAffx.9822.2.S1_s_at	RCJMB04_37k12	HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1	ENSGALT00000024866.1	421788	-0.06	1.01	1.07	0.009512
Gga.12396.1.S1_s_at	RCJMB04_33f6	similar to AW547186 protein	CK610672	422344	-0.31	0.75	1.07	0.006617
Gga.1582.1.A1_at		Transcribed locus	CF250932	0	1.1	2.17	1.06	0.000141
Gga.16233.1.S1_x_at	LOC415323	similar to myosin-IXa	CK610846	0	0.73	1.79	1.06	0.000165
Gga.9351.1.S1_s_at	CBFB	core-binding factor, beta subunit	NM_204570.1	395257	0.3	1.36	1.06	0.005113
GgaAffx.13069.2.S1_s_at	NFRKB	nuclear factor related to kappaB binding protein	AJ720966	419727	0.17	1.23	1.06	0.005712
Gga.11886.1.S1_at	LOC768390	similar to PA2.26 antigen	BU466332	0	-0.14	0.92	1.06	0.000034
GgaAffx.9037.1.S1_at	LOC422778	similar to Slc30a9-prov protein	ENSGALT00000023040.1	422778	-0.39	0.67	1.06	0.015796
Gga.9347.2.S1_s_at	NFRKB	nuclear factor related to kappaB binding protein	BU137539	419727	0.35	1.4	1.05	0.000661
Gga.1958.1.S1_a_at	LOC768830	similar to Cks1 protein homologue	CN232061	0	0.19	1.24	1.05	0.015169
Gga.1009.1.S1_s_at	RCJMB04_28o6	actin related protein 2/3 complex, subunit 1B, 41kDa	BU223250	416490	-0.07	0.98	1.05	0.000987
GgaAffx.26221.1.S1_at	EDA /// LOC769069	ectodysplasin A /// similar to ectodysplasin A1	ENSGALT00000007137.1	422157	-0.1	0.95	1.05	0.019579
Gga.2124.1.S1_at	LOC419731	similar to epithin	CD734562	0	-0.16	0.9	1.05	0.002922
GgaAffx.7309.1.S1_at	LOC420677	similar to Nod1	ENSGALT00000018808.1	0	-0.2	0.84	1.05	0.03404
GgaAffx.7019.1.S1_s_at	LOC422591	similar to protein tyrosine phosphatase type 1	ENSGALT00000018048.1	0	-0.31	0.75	1.05	0.002714
Gga.3416.4.S1_a_at	HESX1	HESX homeobox 1	BU396812	395864	-0.34	0.72	1.05	0.013983
Gga.3973.1.S1_at	LOC395491	cTwist	NM_204739.1	395491	-0.46	0.6	1.05	0.006151
Gga.8267.2.S1_a_at	LOC418854	similar to C13orf18 protein	BU458117	0	0.3	1.34	1.04	0.000147
GgaAffx.25567.1.S1_at	NEFL	neurofilament, light polypeptide 68kDa	ENSGALT00000000420.1	419528	0.22	1.26	1.04	0.037194
Gga.3349.1.S2_at			AB060813.1	395384	0.19	1.23	1.04	0.000084
GgaAffx.6518.2.S1_s_at	LOC422508	similar to CCR4-NOT transcription complex, subunit 6-like	ENSGALT00000016821.1	422508	-0.07	0.97	1.04	0.036093
GgaAffx.12762.1.S1_s_at	RCJMB04_22p13	acyltransferase like 1	AJ720659	415716	-0.18	0.86	1.04	0.001651
Gga.1503.1.S1_at		Finished cDNA, clone ChEST360i19	BU353646	0	-0.27	0.77	1.04	0.000455
GgaAffx.23361.1.S1_at	LOC420605	similar to Integrin beta-8	ENSGALT00000017677.1	420605	0.73	1.76	1.03	0.000081
GgaAffx.21194.1.S1_s_at		Finished cDNA, clone ChEST293j18	CR523421.1	0	0.53	1.56	1.03	0.002317
GgaAffx.3169.1.A1_at			ENSGALT00000008123.1	0	0.3	1.33	1.03	0.002165
Gga.2516.1.S1_at	PTPRG	protein tyrosine phosphatase, receptor type, G	NM_204314.1	374208	0.25	1.28	1.03	0.000112
GgaAffx.21359.1.S1_at	LOC418249	Hypothetical gene supported by CR391159	CR523256.1	0	0.19	1.23	1.03	0.026546
Gga.6267.1.S1_at	STOM	stomatin	BX263521	417118	0.04	1.06	1.03	0.00171
Gga.15958.1.S1_at		Finished cDNA, clone ChEST142o6	CR387502.1	0	-0.02	1.02	1.03	0.021667
Gga.9062.1.S1_at	LOC426928	hypothetical LOC426928	BU397990	0	-0.06	0.98	1.03	0.002999
Gga.12315.1.S1_s_at	LOC428736	similar to p56 KKIAMRE protein kinase	CR407462.1	428736	-0.09	0.93	1.03	0.000538
Gga.17235.1.S1_at		Finished cDNA, clone ChEST953c1	CR389198.1	0	-0.22	0.81	1.03	0.012188
Gga.13140.1.S1_s_at	IVNS1ABP	influenza virus NS1A binding protein	BX934752.1	426862	-0.25	0.78	1.03	0.005808
Gga.8597.1.S1_s_at	LOC429143	similar to glypican-5	CD730299	429143	-0.31	0.72	1.03	0.015211
Gga.7829.2.S1_a_at	LOC415442	similar to normal mucosa of esophagus specific 1	BU365227	415442	0.7	1.72	1.02	0.001503
Gga.16607.1.S1_at		Finished cDNA, clone ChEST755g9	BU120033	0	0.48	1.5	1.02	0.01162
Gga.10303.1.S1_at	CAV2	caveolin 2	BI067555	417772	0.16	1.18	1.02	0.00174
Gga.8353.1.S1_at	CSTB	cystatin B (stefin B)	CR352506.1	418267	0.1	1.12	1.02	0.009305
Gga.4248.1.S1_at	LPL	Lipoprotein lipase	BU255344	396219	0.05	1.08	1.02	0.002342
Gga.15981.1.S1_at	RCJMB04_6p13	pre-B-cell colony enhancing factor 1	CR386613.1	417707	-0.06	0.96	1.02	0.021096
GgaAffx.574.1.S1_at	GPATCH3	G patch domain containing 3	ENSGALT00000001295.1	0	-0.2	0.82	1.02	0.003674
GgaAffx.10158.1.S1_at	LOC428372	similar to PPM2C protein	ENSGALT00000025692.1	428372	-0.25	0.77	1.02	0.012654
Gga.9147.1.S1_at	LOC424588	hypothetical LOC424588	BU297626	424588	0.78	1.78	1.01	0.000506
Gga.18801.1.S1_at		Finished cDNA, clone ChEST766f10	CR391511.1	0	0.6	1.61	1.01	0.00577
Gga.8190.1.S1_at	LOC421544	similar to digestive tract-specific calpain; calcium-dependent cysteine proteinase	BU303118	0	0.47	1.48	1.01	0.008649
Gga.17102.1.S1_s_at	RCJMB04_34n23	tumor protein D52	AJ453566	770339	0.49	1.5	1	0.003777
Gga.3316.1.S1_s_at	HHEX	hematopoietically expressed homeobox	NM_205252.1	396182	0.47	1.47	1	0.009504
Gga.16013.1.S1_at		Finished cDNA, clone ChEST200i16	BU223869	421620	0.35	1.35	1	0.005978
Gga.15753.1.S1_s_at	CD47	CD47 molecule	AY234188.1	418408	0.06	1.06	1	0.000978
Gga.209.1.S1_a_at	WNT3A	wingless-type MMTV integration site family, member 3A	NM_204675.1	395396	-0.42	0.58	1	0.01673
Gga.11727.3.S1_a_at	LOC427475	Similar to stretch responsive protein 278	CR338737.1	427469	0.14	1.12	0.99	0.002333
Gga.19464.1.S1_at		Finished cDNA, clone ChEST168b5	BU135072	0	0.28	1.26	0.98	0.008956
Gga.3723.1.S1_at	PLA2G4A	phospholipase A2, group IVA (cytosolic, calcium-dependent)	NM_205423.1	396394	0.28	1.26	0.98	0.000191
Gga.1106.1.S1_at	LOC424451	similar to niban protein	BU396423	424451	0.09	1.07	0.98	0.024738
Gga.10606.1.S1_at	SOCS1	suppressor of cytokine signaling 1	BU313956	416630	0.94	1.91	0.97	0.003244
Gga.5520.1.S1_at	NDRG1	N-myc downstream regulated gene 1	BX936168.1	420321	0.38	1.35	0.97	0.01985
GgaAffx.11713.1.S1_s_at	RCJMB04_4i12	Rho guanine nucleotide exchange factor (GEF) 3	AJ719610	416000	0.65	1.61	0.96	0.000698
GgaAffx.20877.1.S1_at	LOC771337	similar to SRY-box 7	CR523738.1	0	0.61	1.57	0.96	0.006114
Gga.12042.1.S1_at	LOC424908	Hypothetical LOC424908	BX936140.1	0	0.33	1.29	0.96	0.000091
GgaAffx.21997.3.S1_s_at	CEP63	centrosomal protein 63kDa	ENSGALT00000010716.1	424873	0.19	1.15	0.96	0.047667
GgaAffx.11438.1.S1_s_at	RCJMB04_1h19	solute carrier organic anion transporter family, member 4A1	AJ719335	419231	0.14	1.1	0.96	0.028362
GgaAffx.23423.2.S1_s_at	KCNJ5	potassium inwardly-rectifying channel, subfamily J, member 5	ENSGALT00000001792.1	395925	0.09	1.05	0.96	0.001569
GgaAffx.7559.1.S1_s_at	LOC423518	similar to Protein kinase C, eta	ENSGALT00000019403.1	423518	0.33	1.29	0.95	0.012393
Gga.10791.1.S1_s_at	COL4A3BP	collagen, type IV, alpha 3 binding protein	BX929551.2	427209	0.07	1.01	0.95	0.001374
Gga.18984.1.S1_at		Finished cDNA, clone ChEST608b15	BU401203	0	0.62	1.56	0.94	0.020501
GgaAffx.23775.1.S1_at	LOC420732	similar to Secreted frizzled-related protein 4	ENSGALT00000019724.1	420732	0.16	1.1	0.94	0.040747
Gga.155.1.S1_s_at	LGALS3	lectin, galactoside-binding, soluble, 3	AF479564.1	373917	0.13	1.07	0.94	0.00622
Gga.5887.1.S1_at	CLSTN1	calsyntenin 1	BU342238	395372	0.76	1.69	0.93	0.000623
GgaAffx.21499.1.S1_at	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like	CR523116.1	0	0.45	1.38	0.93	0.002561
Gga.13230.1.S1_s_at	LOC770222	Hypothetical protein LOC770222	CR352813.1	0	0.3	1.23	0.93	0.00075
Gga.9171.2.S1_a_at		Finished cDNA, clone ChEST183m18	BX932457.1	428693	0.13	1.06	0.93	0.010201
Gga.5940.1.S1_s_at	SAT1	spermidine/spermine N1-acetyltransferase 1	NM_204186.1	374006	0.07	1	0.93	0.003235
Gga.5766.1.S1_at	ERO1L	ERO1-like (S. cerevisiae)	BU334176	423585	0.74	1.66	0.92	0.002771
Gga.1486.1.S1_at	LOC417829	similar to glucosamine (N-acetyl)-6-sulfatase precursor	AL587220	0	0.31	1.23	0.92	0.004614
GgaAffx.9429.1.S1_s_at	LPIN2	lipin 2	ENSGALT00000023948.1	421059	0.1	1.01	0.91	0.003066
GgaAffx.20296.1.S1_s_at		Finished cDNA, clone ChEST816o11	CR524319.1	0	0.1	1.01	0.91	0.001042
GgaAffx.11921.1.S1_at	SERPINB6	serpin peptidase inhibitor, clade B (ovalbumin), member 6	AJ719818	420895	0.09	1	0.91	0.000883
Gga.15789.1.S1_at		Finished cDNA, clone ChEST571j17	BU115684	0	0.57	1.46	0.9	0.004801
Gga.1740.1.S1_at	LOC420679	similar to MGC53931 protein	BX261988	420679	0.28	1.18	0.9	0.001409
GgaAffx.23815.2.S1_s_at	LOC420750	hypothetical LOC420750	ENSGALT00000019929.1	420750	0.13	1.03	0.9	0.007489
Gga.9541.1.S1_at		Finished cDNA, clone ChEST431o2	BX935985.2	0	0.52	1.41	0.89	0.001219
GgaAffx.21475.1.S1_at		Finished cDNA, clone ChEST1036e5	CR523140.1	0	0.47	1.37	0.89	0.003811
Gga.7203.1.S1_at	LOC416204	similar to protein kinase	CF253386	416204	0.36	1.25	0.89	0.00016
GgaAffx.21212.1.S1_s_at	LOC428436	similar to KIAA0644 protein	CR523403.1	0	0.16	1.06	0.89	0.021626
GgaAffx.5015.1.S1_at	ITGA11	integrin, alpha 11	ENSGALT00000012998.1	415560	0.5	1.38	0.88	0.00415
Gga.137.1.S1_at	EDNRA	endothelin receptor type A	NM_204119.1	373908	0.25	1.13	0.88	0.003611
GgaAffx.26468.1.S1_at	CCBP2	chemokine binding protein 2	ENSGALT00000008506.1	420393	0.45	1.33	0.87	0.002601
GgaAffx.22408.1.S1_s_at	LOC771882	hypothetical protein LOC771882	ENSGALT00000012864.1	429596	0.44	1.31	0.87	0.002828
Gga.6399.1.S1_at	MALL	mal, T-cell differentiation protein-like	BX257763	421222	0.41	1.27	0.87	0.022253
Gga.5058.1.S1_s_at	CST3	cystatin C	NM_205500.1	396497	0.4	1.27	0.87	0
Gga.2572.1.S1_at	LAMP2	lysosomal-associated membrane protein 2	BU323822	414800	0.3	1.16	0.87	0.012326
Gga.13957.1.S1_at	LOC417755	similar to glycoprotein	CR353783.1	417755	0.2	1.07	0.87	0.010629
Gga.11449.1.S1_at	LOC419995	Similar to myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6	BX929825.1	0	1.15	2.01	0.86	0.000284
Gga.19271.1.S1_at		Finished cDNA, clone ChEST632f24	BU389568	0	0.35	1.2	0.86	0.018912
Gga.19247.1.S1_at		Finished cDNA, clone ChEST957c5	BU415324	0	0.25	1.11	0.86	0.002513
Gga.5189.2.S1_a_at	LOC417597	similar to tetratricopeptide repeat domain 19	CR405802.1	417597	0.23	1.09	0.86	0.001859
GgaAffx.12086.1.S1_at	FKBP5	FK506 binding protein 5	AJ719983	421186	0.65	1.49	0.85	0.003504
Gga.16404.1.S1_s_at	RCJMB04_5j9	lysophosphatidic acid acyltransferase theta	BU222018	422610	0.51	1.36	0.84	0.00444
GgaAffx.23081.1.S1_at	PLEKHH2	pleckstrin homology domain containing, family H (with MyTH4 domain) member 2	ENSGALT00000016174.1	0	0.32	1.16	0.84	0.035769
Gga.2944.1.S1_s_at	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like	BU246479	0	0.26	1.1	0.84	0.003138
Gga.14417.1.S1_a_at	LOC419837	similar to solute carrier family 41 member 1	BU371918	0	0.24	1.08	0.84	0.014393
Gga.13030.1.S1_at	LOC425132	hypothetical LOC425132	CR353234.1	425132	0.21	1.04	0.83	0.001519
GgaAffx.10175.1.S1_s_at	RCJMB04_30l19	ribose 5-phosphate isomerase A (ribose 5-phosphate epimerase)	ENSGALT00000025719.1	422931	0.2	1.03	0.83	0.003059
Gga.16193.1.S1_at	LOC769528	hypothetical protein LOC769528	BU475126	769528	0.4	1.22	0.82	0.00323
GgaAffx.23815.1.S1_at	LOC420750	hypothetical LOC420750	ENSGALT00000019928.1	420750	0.26	1.08	0.82	0.000812
Gga.15893.1.S1_at		Finished cDNA, clone ChEST114c13	BU140013	0	0.25	1.06	0.82	0.004951
GgaAffx.12469.1.S1_at	RCJMB04_16d24	ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	AJ720366	428772	0.19	1.01	0.82	0.009051
Gga.4519.2.S1_s_at	RCJMB04_34n23	tumor protein D52	CR386140.1	770339	0.81	1.62	0.81	0.000904
Gga.4451.1.S1_at	GSN	gelsolin	NM_204934.1	395774	0.35	1.17	0.81	0.008012
Gga.8829.1.S1_s_at	LOC417750	similar to N-WASP	BU411526	0	0.32	1.13	0.81	0.001392
Gga.3113.1.S1_at	NCALD	neurocalcin delta	NM_205143.1	396048	0.22	1.02	0.81	0.031793
Gga.13373.1.S1_at	LOC422488	similar to beta-1,4-N-acetylgalactosaminyltransferase	CR352645.1	0	0.34	1.14	0.8	0.000399
Gga.15916.1.S1_at	LOC420640	similar to KIAA0379 protein	BU476224	0	0.78	1.56	0.79	0.008586
GgaAffx.24939.1.S1_at	RCJMB04_23c19	acyl-CoA thioesterase 9	ENSGALT00000026378.1	418600	0.66	1.46	0.79	0.010359
GgaAffx.13169.1.S1_s_at	CARD11	caspase recruitment domain family, member 11	AJ721066	416476	0.48	1.26	0.79	0.008592
Gga.9888.2.S1_a_at	LOC420475	similar to supervillin (archvillin) (SVIL)	BU249096	420475	0.37	1.16	0.79	0.000039
Gga.5708.2.S1_a_at	LOC415987	similar to RIKEN cDNA 1110007C09	CR353336.1	415987	0.69	1.46	0.78	0.00061
Gga.2840.1.S1_at	B4GALT1	betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	NM_205202.1	396121	0.35	1.13	0.78	0.000124
