Gene symbol	Probe set	P-Value	FDR	SP / MP Ratio	UG cluster	Map	Description
TNPO1	209226_s_at	0.0053152	0.357325	-1.4285714	Hs.482497	5q13.2	transportin 1 (TNPO1), transcript variant 2, mRNA.
YOD1	227309_at	0.0053875	0.357325	-1.4285714	Hs.567533	1q32.1	YOD1 OTU deubiquinating enzyme 1 homolog (S. cerevisiae) (YOD1), mRNA.
SLFN11	226743_at	0.0054994	0.357325	-1.4285714	Hs.462829	17q12	schlafen family member 11 (SLFN11), mRNA.
RAPH1	225186_at	0.0055996	0.357325	-1.4285714	Hs.471162	2q33	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1 (RAPH1), transcript variant 1, mRNA.
ANKRD12	212286_at	0.0056841	0.357325	-1.4285714	Hs.464585	18p11.22	ankyrin repeat domain 12 (ANKRD12), transcript variant 2, mRNA.
POGK	218229_s_at	0.0057144	0.357325	-1.4285714	Hs.432752	1q24.1	pogo transposable element with KRAB domain (POGK), mRNA.
BNC1	1552487_a_at	0.0058374	0.357325	-1.4285714	Hs.459153	15q25.2	basonuclin 1 (BNC1), mRNA.
LHFP	218656_s_at	0.005894	0.357325	-1.4285714	Hs.507798	13q12	lipoma HMGIC fusion partner (LHFP), mRNA.
ARL1	201657_at	0.0059158	0.357325	-1.4285714	Hs.372616	12q23.2	ADP-ribosylation factor-like 1 (ARL1), mRNA.
LOC387647	228786_at	0.0061258	0.357325	-1.4285714		10	PREDICTED: hypothetical gene supported by BC014163 (LOC387647), mRNA.
ZFP28	231943_at	0.0061478	0.357325	-1.4285714	Hs.14794	19q13.43	zinc finger protein 28 homolog (mouse) (ZFP28), mRNA.
TLE4	204872_at	0.0061715	0.357325	-1.4285714	Hs.444213	9q21.31	Transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)
	228315_at	0.006187	0.357325	-1.4285714	Hs.371609	3	CDNA clone IMAGE:5261213
SLC25A33	223296_at	0.0063254	0.357325	-1.4285714	Hs.568613	1p36.22	solute carrier family 25, member 33 (SLC25A33), mRNA.
ASXL2	226251_at	0.006329	0.357325	-1.4285714	Hs.655514	2p24.1	Additional sex combs like 2 (Drosophila)
EPAS1	200878_at	0.0064805	0.357325	-1.4285714	Hs.468410	2p21-p16	endothelial PAS domain protein 1 (EPAS1), mRNA.
TOR1AIP1	212408_at	0.006482	0.357325	-1.4285714	Hs.496459	1q24.2	torsin A interacting protein 1 (TOR1AIP1), mRNA.
C14orf118	229520_s_at	0.0065931	0.357325	-1.4285714	Hs.410231	14q22.1-q24.3	Chromosome 14 open reading frame 118
TLE1	228284_at	0.0066652	0.357325	-1.4285714	Hs.197320	9q21.32	Transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)
RUNX2	232231_at	0.0067188	0.357325	-1.4285714	Hs.535845	6p21	runt-related transcription factor 2 (RUNX2), transcript variant 2, mRNA.
C9orf72	1553133_at	0.0067585	0.357325	-1.4285714	Hs.493639	9p21.2	chromosome 9 open reading frame 72 (C9orf72), transcript variant 2, mRNA.
SLC2A3	222088_s_at	0.0068	0.357325	-1.4285714	Hs.419240	12p13.3	solute carrier family 2 (facilitated glucose transporter), member 3 (SLC2A3), mRNA.
HNRPDL	201993_x_at	0.0070616	0.357325	-1.4285714		4q13-q21	heterogeneous nuclear ribonucleoprotein D-like (HNRPDL), transcript variant 3, transcribed RNA.
RYBP	201845_s_at	0.0071578	0.357325	-1.4285714	Hs.7910	3p13	RING1 and YY1 binding protein (RYBP), mRNA.
TPCN1	217914_at	0.00722	0.357325	-1.4285714	Hs.524763	12q24.13	Two pore segment channel 1
RAPGEF1	225738_at	0.0072831	0.357325	-1.4285714	Hs.127897	9q34.3	Rap guanine nucleotide exchange factor (GEF) 1 (RAPGEF1), transcript variant 1, mRNA.
PACSIN2	201651_s_at	0.0075812	0.357325	-1.4285714	Hs.162877	22q13.2-q13.33	protein kinase C and casein kinase substrate in neurons 2 (PACSIN2), mRNA.
ZNF627	224492_s_at	0.0077055	0.357325	-1.4285714	Hs.526665	19p13.2	zinc finger protein 627 (ZNF627), mRNA.
ACVR2A	205327_s_at	0.0078633	0.357325	-1.4285714	Hs.470174	2q22.3	activin A receptor, type IIA (ACVR2A), mRNA.
NFE2L2	201146_at	0.0079863	0.357325	-1.4285714	Hs.155396	2q31	nuclear factor (erythroid-derived 2)-like 2 (NFE2L2), mRNA.
	227772_at	0.0080098	0.357325	-1.4285714	Hs.633030	6	Transcribed locus
KIAA0888	235048_at	0.008086	0.357325	-1.4285714	Hs.91662	5q13.3	KIAA0888 protein
CXorf15	1557954_at	0.0083411	0.357325	-1.4285714	Hs.555961	Xp22.2	Chromosome X open reading frame 15
NRG1	206343_s_at	0.0085683	0.357325	-1.4285714	Hs.453951	8p21-p12	neuregulin 1 (NRG1), transcript variant HRG-beta3, mRNA.
PTTG3	208511_at	0.008594	0.357325	-1.4285714		8q13.1	pituitary tumor-transforming 3 (PTTG3) on chromosome 8.
CTNNAL1	202468_s_at	0.0089972	0.3660156	-1.4285714	Hs.58488	9q31.2	catenin (cadherin-associated protein), alpha-like 1 (CTNNAL1), mRNA.
RPL37	224767_at	0.0090721	0.3669665	-1.4285714	Hs.80545	5p13	Ribosomal protein L37
PIK3CD	203879_at	0.0092088	0.367572	-1.4285714	Hs.518451	1p36.2	phosphoinositide-3-kinase, catalytic, delta polypeptide (PIK3CD), mRNA.
FLJ36874	225468_at	0.0094862	0.3730549	-1.4285714	Hs.591960	11q12.1	FLJ36874 protein (FLJ36874), mRNA.
C16orf72	225183_at	0.0094954	0.3730549	-1.4285714	Hs.221497	16p13.2	chromosome 16 open reading frame 72 (C16orf72), mRNA.
C1orf63	209007_s_at	0.0095322	0.373122	-1.4285714	Hs.259412	1p36.13-p35.1	chromosome 1 open reading frame 63 (C1orf63), mRNA.
ISOC1	218170_at	0.0097645	0.3735558	-1.4285714	Hs.483296	5q22.1-q33.3	isochorismatase domain containing 1 (ISOC1), mRNA.
FAM83D	225687_at	0.0099338	0.3735558	-1.4285714	Hs.472716	20q11.22-q12	family with sequence similarity 83, member D (FAM83D), mRNA.
C14orf147	212460_at	0.0099403	0.3735558	-1.4285714	Hs.269909	14q13.1	chromosome 14 open reading frame 147 (C14orf147), mRNA.
USP54	227334_at	0.0002201	0.233361	-1.6666667	Hs.657355	10q22.2	ubiquitin specific peptidase 54 (USP54), mRNA.
USP38	223289_s_at	0.000235	0.2345024	-1.6666667	Hs.480848	4q31.1	ubiquitin specific peptidase 38 (USP38), mRNA.
KBTBD9	229310_at	0.0002604	0.2454125	-1.6666667	Hs.130593	2	PREDICTED: kelch repeat and BTB (POZ) domain containing 9 (KBTBD9), mRNA.
SLC39A14	212110_at	0.0003398	0.2620167	-1.6666667	Hs.491232	8p21.3	solute carrier family 39 (zinc transporter), member 14 (SLC39A14), mRNA.
NUFIP2	224958_at	0.0003736	0.2640729	-1.6666667	Hs.462598	17q11.2	nuclear fragile X mental retardation protein interacting protein 2 (NUFIP2), mRNA.
FAM53A	1569139_s_at	0.0005803	0.2983094	-1.6666667	Hs.143314	4p16.3	family with sequence similarity 53, member A (FAM53A), mRNA.
MAN2A1	235103_at	0.0006133	0.305613	-1.6666667	Hs.432822	5q21-q22	Mannosidase, alpha, class 2A, member 1
EGFR	201984_s_at	0.0006421	0.305613	-1.6666667	Hs.488293	7p12	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian) (EGFR), transcript variant 1, mRNA.
SCARA3	219416_at	0.000846	0.3119901	-1.6666667	Hs.128856	8p21	scavenger receptor class A, member 3 (SCARA3), transcript variant 1, mRNA.
BGLAP	206956_at	0.0013331	0.357325	-1.6666667	Hs.654541	1q25-q31	bone gamma-carboxyglutamate (gla) protein (osteocalcin) (BGLAP), mRNA.
RBM24	235004_at	0.0016148	0.357325	-1.6666667	Hs.519904	6p22.3	RNA binding motif protein 24 (RBM24), mRNA.
LOC153222	225957_at	0.0016418	0.357325	-1.6666667	Hs.484195	5q35.2	adult retina protein (LOC153222), mRNA.
EPSTI1	227609_at	0.001689	0.357325	-1.6666667	Hs.546467	13q13.3	epithelial stromal interaction 1 (breast) (EPSTI1), transcript variant 2, mRNA.
	231907_at	0.0019315	0.357325	-1.6666667	Hs.159472	1	CDNA FLJ31718 fis, clone NT2RI2006647
LATS2	227013_at	0.001934	0.357325	-1.6666667	Hs.78960	13q11-q12	LATS, large tumor suppressor, homolog 2 (Drosophila) (LATS2), mRNA.
C1orf25	233750_s_at	0.0022732	0.357325	-1.6666667	Hs.591488	1q25.2	chromosome 1 open reading frame 25 (C1orf25), mRNA.
KIAA0286	212621_at	0.0023078	0.357325	-1.6666667	Hs.591040	12q13.3	KIAA0286 protein (KIAA0286), mRNA.
COBLL1	203642_s_at	0.002391	0.357325	-1.6666667	Hs.470457	2q24.3	COBL-like 1 (COBLL1), mRNA.
SLC2A3	202499_s_at	0.002459	0.357325	-1.6666667	Hs.419240	12p13.3	solute carrier family 2 (facilitated glucose transporter), member 3 (SLC2A3), mRNA.
THRAP4	213043_s_at	0.0026853	0.357325	-1.6666667	Hs.462983	17q21.1	thyroid hormone receptor associated protein 4 (THRAP4), transcript variant 2, mRNA.
UBTD2	224827_at	0.0028662	0.357325	-1.6666667	Hs.179852	5q35.1	ubiquitin domain containing 2 (UBTD2), mRNA.
GFPT2	205100_at	0.0030804	0.357325	-1.6666667	Hs.30332	5q34-q35	glutamine-fructose-6-phosphate transaminase 2 (GFPT2), mRNA.
EGFR	201983_s_at	0.0031384	0.357325	-1.6666667	Hs.488293	7p12	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian) (EGFR), transcript variant 1, mRNA.
GALNT12	218885_s_at	0.0032672	0.357325	-1.6666667	Hs.47099	9q22.33	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12) (GALNT12), mRNA.
RUNX1	210365_at	0.0033092	0.357325	-1.6666667	Hs.149261	21q22.3	Runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)
WSB1	210561_s_at	0.0036717	0.357325	-1.6666667	Hs.446017	17q11.1	WD repeat and SOCS box-containing 1 (WSB1), transcript variant 2, mRNA.
SVEP1	213247_at	0.0038739	0.357325	-1.6666667	Hs.522334	9q32	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 (SVEP1), mRNA.
KLHL15	226370_at	0.0041619	0.357325	-1.6666667	Hs.495854	Xp22.1-p21	Kelch-like 15 (Drosophila)
OGFR	210443_x_at	0.0042069	0.357325	-1.6666667	Hs.67896	20q13.3	opioid growth factor receptor (OGFR), mRNA.
IDI1	204615_x_at	0.0042217	0.357325	-1.6666667	Hs.283652	10p15.3	isopentenyl-diphosphate delta isomerase 1 (IDI1), mRNA.
PDLIM5	216804_s_at	0.0042392	0.357325	-1.6666667	Hs.480311	4q22	PDZ and LIM domain 5 (PDLIM5), transcript variant 2, mRNA.
FZD8	224325_at	0.0043368	0.357325	-1.6666667	Hs.302634	10p11.21	frizzled homolog 8 (Drosophila) (FZD8), mRNA.
EEA1	204841_s_at	0.0044583	0.357325	-1.6666667	Hs.567367	12q22	early endosome antigen 1 (EEA1), mRNA.
KLHL21	203068_at	0.0046312	0.357325	-1.6666667	Hs.7764	1p36.31	kelch-like 21 (Drosophila) (KLHL21), mRNA.
CA12	215867_x_at	0.0046877	0.357325	-1.6666667	Hs.210995	15q22	carbonic anhydrase XII (CA12), transcript variant 2, mRNA.
IDI1	208881_x_at	0.0047392	0.357325	-1.6666667	Hs.283652	10p15.3	isopentenyl-diphosphate delta isomerase 1 (IDI1), mRNA.
ZNF295	233952_s_at	0.0050226	0.357325	-1.6666667	Hs.434947	21q22.3	zinc finger protein 295 (ZNF295), mRNA.
FZD8	227405_s_at	0.0051177	0.357325	-1.6666667	Hs.302634	10p11.21	frizzled homolog 8 (Drosophila) (FZD8), mRNA.
PPM1D	204566_at	0.0052724	0.357325	-1.6666667	Hs.591184	17q23.2	protein phosphatase 1D magnesium-dependent, delta isoform (PPM1D), mRNA.
ZBTB5	203026_at	0.0052954	0.357325	-1.6666667	Hs.161276	9p13.2	zinc finger and BTB domain containing 5 (ZBTB5), mRNA.
WDR20	1554549_a_at	0.0056228	0.357325	-1.6666667	Hs.36859	14q32.31	WD repeat domain 20
ARHGAP27	225618_at	0.0057126	0.357325	-1.6666667	Hs.569809	17q21.31	Rho GTPase activating protein 27 (ARHGAP27), mRNA.
	227200_at	0.0058902	0.357325	-1.6666667	Hs.652466	1	Transcribed locus
ARHGAP23	226638_at	0.0060873	0.357325	-1.6666667	Hs.374446	17q12	Rho GTPase activating protein 23
MEIS1	204069_at	0.0061009	0.357325	-1.6666667	Hs.526754	2p14-p13	Meis homeobox 1 (MEIS1), mRNA.
KLF9	203542_s_at	0.0061468	0.357325	-1.6666667	Hs.150557	9q13	Kruppel-like factor 9 (KLF9), mRNA.
CCNYL1	228810_at	0.0062321	0.357325	-1.6666667	Hs.471234	2q33.3	cyclin Y-like 1 (CCNYL1), mRNA.
	225133_at	0.0062724	0.357325	-1.6666667	Hs.598860	4	Transcript ch138 [human, RF1,RF48 stomach cancer cell lines, mRNA, 235 nt]
LDLR	202068_s_at	0.00629	0.357325	-1.6666667	Hs.213289	19p13.3	low density lipoprotein receptor (familial hypercholesterolemia) (LDLR), mRNA.
TIPARP	212665_at	0.0063532	0.357325	-1.6666667	Hs.12813	3q25.31	TCDD-inducible poly(ADP-ribose) polymerase (TIPARP), mRNA.
EDG3	228176_at	0.0064837	0.357325	-1.6666667	Hs.585118	9q22.1-q22.2	endothelial differentiation, sphingolipid G-protein-coupled receptor, 3 (EDG3), mRNA.
C1QTNF5	223499_at	0.0064909	0.357325	-1.6666667	Hs.632102	11q23.3	C1q and tumor necrosis factor related protein 5 (C1QTNF5), mRNA.
IL6	205207_at	0.0066491	0.357325	-1.6666667	Hs.654458	7p21	interleukin 6 (interferon, beta 2) (IL6), mRNA.
HSPB8	221667_s_at	0.0066717	0.357325	-1.6666667	Hs.400095	12q24.23	heat shock 22kDa protein 8 (HSPB8), mRNA.
SIRT1	218878_s_at	0.0067017	0.357325	-1.6666667	Hs.369779	10q21.3	sirtuin (silent mating type information regulation 2 homolog) 1 (S. cerevisiae) (SIRT1), mRNA.
FAM110B	228790_at	0.0068175	0.357325	-1.6666667	Hs.154652	8q12.1	family with sequence similarity 110, member B (FAM110B), mRNA.
ARHGAP17	218076_s_at	0.0068858	0.357325	-1.6666667	Hs.373793	16p12.1	Rho GTPase activating protein 17 (ARHGAP17), transcript variant 2, mRNA.
FEM1C	213341_at	0.0069145	0.357325	-1.6666667	Hs.47367	5q22	fem-1 homolog c (C. elegans) (FEM1C), mRNA.
LRRC49	219338_s_at	0.0070687	0.357325	-1.6666667	Hs.12692	15q23	leucine rich repeat containing 49 (LRRC49), mRNA.
FNIP1	228250_at	0.0071294	0.357325	-1.6666667	Hs.591273	5q23.3	folliculin interacting protein 1 (FNIP1), transcript variant 2, mRNA.
AXUD1	225557_at	0.007165	0.357325	-1.6666667	Hs.370950	3p22	AXIN1 up-regulated 1 (AXUD1), mRNA.
ZNF20	213916_at	0.0073065	0.357325	-1.6666667	Hs.512823	19p13.3-p13.2	zinc finger protein 20 (ZNF20), mRNA.
DAB2	210757_x_at	0.007367	0.357325	-1.6666667	Hs.481980	5p13	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila) (DAB2), mRNA.
TNIK	213109_at	0.0074564	0.357325	-1.6666667	Hs.34024	3q26.2-q26.31	TRAF2 and NCK interacting kinase
SPNS1	223173_at	0.0075754	0.357325	-1.6666667	Hs.632181	16p11.2	spinster homolog 1 (Drosophila) (SPNS1), mRNA.
CLDN1	218182_s_at	0.0076521	0.357325	-1.6666667	Hs.439060	3q28-q29	claudin 1 (CLDN1), mRNA.
ARID5B	241969_at	0.0076786	0.357325	-1.6666667	Hs.535297	10q21.2	AT rich interactive domain 5B (MRF1-like)
VGLL3	227399_at	0.0077634	0.357325	-1.6666667	Hs.435013	3p12.1	vestigial like 3 (Drosophila) (VGLL3), mRNA.
ZNF92	235170_at	0.0079039	0.357325	-1.6666667	Hs.9521	7q11.21	zinc finger protein 92 (ZNF92), transcript variant 1, mRNA.
DCP2	235258_at	0.0080856	0.357325	-1.6666667	Hs.443875	5q22.2	DCP2 decapping enzyme homolog (S. cerevisiae) (DCP2), mRNA.
OBFC2A	219334_s_at	0.008118	0.357325	-1.6666667	Hs.591610	2q32.3	Oligonucleotide/oligosaccharide-binding fold containing 2A
CDC42EP3	209286_at	0.0082239	0.357325	-1.6666667	Hs.369574	2p21	CDC42 effector protein (Rho GTPase binding) 3 (CDC42EP3), mRNA.
FZD7	203705_s_at	0.0082574	0.357325	-1.6666667	Hs.173859	2q33	frizzled homolog 7 (Drosophila) (FZD7), mRNA.
NRP2	1555468_at	0.0083033	0.357325	-1.6666667	Hs.471200	2q33.3	Neuropilin 2
DNAJB9	202843_at	0.0083656	0.357325	-1.6666667	Hs.6790	7q31	DnaJ (Hsp40) homolog, subfamily B, member 9 (DNAJB9), mRNA.
	217523_at	0.0085104	0.357325	-1.6666667	Hs.668083	11	Transcribed locus
MCAM	209087_x_at	0.0085139	0.357325	-1.6666667	Hs.599039	11q23.3	melanoma cell adhesion molecule (MCAM), mRNA.
CIDEC	1554839_at	0.008588	0.357325	-1.6666667	Hs.635072	3p25.3	Cell death-inducing DFFA-like effector c
BCL6	203140_at	0.0087072	0.3587496	-1.6666667	Hs.478588	3q27	B-cell CLL/lymphoma 6 (zinc finger protein 51) (BCL6), transcript variant 1, mRNA.
KCTD12	212192_at	0.0091647	0.3669665	-1.6666667		13q22.3	potassium channel tetramerisation domain containing 12 (KCTD12), mRNA.
KIAA0247	202181_at	0.009172	0.3669665	-1.6666667	Hs.440025	14q24.1	KIAA0247 (KIAA0247), mRNA.
IRS2	209184_s_at	0.0092847	0.3688657	-1.6666667	Hs.442344	13q34	insulin receptor substrate 2 (IRS2), mRNA.
CYLD	221903_s_at	0.0095001	0.3730549	-1.6666667	Hs.578973	16q12.1	cylindromatosis (turban tumor syndrome) (CYLD), transcript variant 2, mRNA.
	236402_at	0.0000652	0.2212106	-2	Hs.600998	7	CDNA FLJ42263 fis, clone TKIDN2014570
LIF	205266_at	0.0001832	0.233361	-2	Hs.2250	22q12.2	leukemia inhibitory factor (cholinergic differentiation factor) (LIF), mRNA.
	244177_at	0.0002751	0.2454125	-2	Hs.508729	13	Transcribed locus
HRH1	205579_at	0.0003577	0.2638271	-2	Hs.1570	3p25	histamine receptor H1 (HRH1), mRNA.
BACH1	204194_at	0.0003937	0.2671491	-2	Hs.154276	21q22.11	BTB and CNC homology 1, basic leucine zipper transcription factor 1 (BACH1), transcript variant 2, mRNA.
CBX4	227558_at	0.000473	0.2766887	-2	Hs.405046	17q25.3	chromobox homolog 4 (Pc class homolog, Drosophila) (CBX4), mRNA.
PRRX1	226695_at	0.0006828	0.305613	-2	Hs.283416	1q24	paired related homeobox 1 (PRRX1), transcript variant pmx-1b, mRNA.
ZC3H12C	231899_at	0.0007007	0.305613	-2	Hs.376289	11q22.3	Zinc finger CCCH-type containing 12C
KSR1	235252_at	0.0007762	0.3119901	-2	Hs.133534	17q11.1	Kinase suppressor of ras 1
ID2	201566_x_at	0.0008276	0.3119901	-2	Hs.180919	2p25	Inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
KIAA1217	231807_at	0.0008282	0.3119901	-2	Hs.445885	10p12.1	KIAA1217
SGMS2	242963_at	0.0014254	0.357325	-2	Hs.595423	4q25	sphingomyelin synthase 2 (SGMS2), mRNA.
MCL1	200798_x_at	0.0016531	0.357325	-2	Hs.632486	1q21	myeloid cell leukemia sequence 1 (BCL2-related) (MCL1), transcript variant 2, mRNA.
HIVEP2	212641_at	0.001681	0.357325	-2	Hs.510172	6q23-q24	human immunodeficiency virus type I enhancer binding protein 2 (HIVEP2), mRNA.
FAS	204781_s_at	0.0019131	0.357325	-2	Hs.244139	10q24.1	Fas (TNF receptor superfamily, member 6) (FAS), transcript variant 6, mRNA.
CAP2	212551_at	0.00201	0.357325	-2	Hs.132902	6p22.3	CAP, adenylate cyclase-associated protein, 2 (yeast) (CAP2), mRNA.
KITLG	226534_at	0.0020551	0.357325	-2	Hs.1048	12q22	KIT ligand (KITLG), transcript variant a, mRNA.
ASCC3	231269_at	0.0022457	0.357325	-2	Hs.486031	6q16.1-q16.3	activating signal cointegrator 1 complex subunit 3 (ASCC3), transcript variant 2, mRNA.
IER5	218611_at	0.0026493	0.357325	-2	Hs.15725	1q25.3	immediate early response 5 (IER5), mRNA.
HBEGF	38037_at	0.0027689	0.357325	-2	Hs.799	5q23	heparin-binding EGF-like growth factor (HBEGF), mRNA.
PPP3CC	32541_at	0.003025	0.357325	-2	Hs.655661	8p21.3	Protein phosphatase 3 (formerly 2B), catalytic subunit, gamma isoform
NUAK2	220987_s_at	0.003186	0.357325	-2	Hs.497512	1q32.1	NUAK family, SNF1-like kinase, 2 (NUAK2), mRNA.
BAMBI	203304_at	0.003287	0.357325	-2	Hs.533336	10p12.3-p11.2	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis) (BAMBI), mRNA.
KIAA1344	226747_at	0.0033802	0.357325	-2	Hs.532609	14q22.1	KIAA1344 (KIAA1344), mRNA.
HIVEP2	212642_s_at	0.0034155	0.357325	-2	Hs.510172	6q23-q24	human immunodeficiency virus type I enhancer binding protein 2 (HIVEP2), mRNA.
LOC401074	1559826_a_at	0.0034323	0.357325	-2		3	PREDICTED: hypothetical LOC401074 (LOC401074), mRNA.
EFNB2	202668_at	0.0035807	0.357325	-2	Hs.149239	13q33	ephrin-B2 (EFNB2), mRNA.
ZNF79	214138_at	0.0037969	0.357325	-2	Hs.522399	9q34	zinc finger protein 79 (ZNF79), mRNA.
SPRY2	204011_at	0.0038117	0.357325	-2	Hs.18676	13q31.1	sprouty homolog 2 (Drosophila) (SPRY2), mRNA.
SCYL1BP1	226337_at	0.0039071	0.357325	-2	Hs.183702	1q24.2	SCY1-like 1 binding protein 1 (SCYL1BP1), mRNA.
SASH1	226022_at	0.0040022	0.357325	-2	Hs.193133	6q24.3	SAM and SH3 domain containing 1 (SASH1), mRNA.
ING3	205070_at	0.0040192	0.357325	-2	Hs.489811	7q31	inhibitor of growth family, member 3 (ING3), transcript variant 1, mRNA.
CRISPLD2	221541_at	0.0040233	0.357325	-2	Hs.513779	16q24.1	cysteine-rich secretory protein LCCL domain containing 2 (CRISPLD2), mRNA.
MGC5370	225160_x_at	0.0041105	0.357325	-2	Hs.484551	12q14.3	Hypothetical protein MGC5370
JUNB	201473_at	0.0042238	0.357325	-2	Hs.25292	19p13.2	jun B proto-oncogene (JUNB), mRNA.
MAST4	225611_at	0.0044605	0.357325	-2	Hs.595458	5q12.3	Microtubule associated serine/threonine kinase family member 4
HDAC9	205659_at	0.0044837	0.357325	-2	Hs.196054	7p21.1	histone deacetylase 9 (HDAC9), transcript variant 3, mRNA.
KIAA1632	227638_at	0.0045952	0.357325	-2	Hs.514843	18q12.3-q21.1	KIAA1632 (KIAA1632), mRNA.
ISG20L1	219361_s_at	0.0047801	0.357325	-2	Hs.436102	15q26.1	interferon stimulated exonuclease gene 20kDa-like 1 (ISG20L1), mRNA.
PLSCR1	202430_s_at	0.0049724	0.357325	-2	Hs.130759	3q23	phospholipid scramblase 1 (PLSCR1), mRNA.
IL1RL1	207526_s_at	0.0052827	0.357325	-2	Hs.66	2q12	interleukin 1 receptor-like 1 (IL1RL1), transcript variant 2, mRNA.
GCH1	204224_s_at	0.0054131	0.357325	-2	Hs.86724	14q22.1-q22.2	GTP cyclohydrolase 1 (dopa-responsive dystonia) (GCH1), transcript variant 4, mRNA.
IL6ST	211000_s_at	0.0054526	0.357325	-2	Hs.532082	5q11	interleukin 6 signal transducer (gp130, oncostatin M receptor) (IL6ST), transcript variant 2, mRNA.
LMCD1	242767_at	0.0054902	0.357325	-2	Hs.475353	3p26-p24	LIM and cysteine-rich domains 1
FOXO3	204131_s_at	0.0055667	0.357325	-2		6q21	forkhead box O3 (FOXO3), transcript variant 2, mRNA.
SLC25A27	230624_at	0.0056875	0.357325	-2	Hs.40510	6p11.2-q12	solute carrier family 25, member 27 (SLC25A27), nuclear gene encoding mitochondrial protein, mRNA.
	1564378_a_at	0.0057889	0.357325	-2	Hs.677321	8	CDNA: FLJ21448 fis, clone COL04473
	226893_at	0.0059413	0.357325	-2	Hs.159472	1	CDNA FLJ31718 fis, clone NT2RI2006647
CPEB2	226939_at	0.0060406	0.357325	-2	Hs.656937	4p15.33	cytoplasmic polyadenylation element binding protein 2 (CPEB2), transcript variant A, mRNA.
	1558783_at	0.0061956	0.357325	-2	Hs.677281	6	CDNA: FLJ21152 fis, clone CAS09594
TRAF4	242473_at	0.0063644	0.357325	-2	Hs.8375	17q11-q12	TNF receptor-associated factor 4 (TRAF4), mRNA.
FZD5	221245_s_at	0.0066618	0.357325	-2	Hs.17631	2q33-q34	frizzled homolog 5 (Drosophila) (FZD5), mRNA.
ZBTB10	219312_s_at	0.0066983	0.357325	-2	Hs.591868	8q13-q21.1	Zinc finger and BTB domain containing 10
ASPHD1	1553997_a_at	0.0067191	0.357325	-2	Hs.655761	16p11.2	aspartate beta-hydroxylase domain containing 1 (ASPHD1), mRNA.
MAST4	225613_at	0.0067387	0.357325	-2	Hs.595458	5q12.3	Microtubule associated serine/threonine kinase family member 4
	228812_at	0.0071282	0.357325	-2	Hs.633900	2	Transcribed locus
CSRP2	211126_s_at	0.0074442	0.357325	-2	Hs.530904	12q21.1	cysteine and glycine-rich protein 2 (CSRP2), mRNA.
SSBP2	203787_at	0.007471	0.357325	-2	Hs.102735	5q14.1	single-stranded DNA binding protein 2 (SSBP2), mRNA.
	230083_at	0.0075163	0.357325	-2	Hs.600133	4	Transcribed locus
ID4	209292_at	0.0077532	0.357325	-2	Hs.519601	6p22-p21	Inhibitor of DNA binding 4, dominant negative helix-loop-helix protein
CRISPLD1	223475_at	0.0079743	0.357325	-2	Hs.436542	8q21.11	cysteine-rich secretory protein LCCL domain containing 1 (CRISPLD1), mRNA.
DRAM	218627_at	0.0080021	0.357325	-2	Hs.525634	12q23.2	damage-regulated autophagy modulator (DRAM), mRNA.
LOC729436	227866_at	0.0082898	0.357325	-2	Hs.486886	6q25.2	Hypothetical protein LOC729436
	225685_at	0.0084286	0.357325	-2	Hs.592787	2	CDNA FLJ31353 fis, clone MESAN2000264
ZNF670	223898_at	0.0084782	0.357325	-2	Hs.669893	1q44	zinc finger protein 670 (ZNF670), mRNA.
CDKN2AIP	218929_at	0.008717	0.3587496	-2	Hs.644077	4q35.1	CDKN2A interacting protein (CDKN2AIP), mRNA.
IL6ST	204863_s_at	0.0089928	0.3660156	-2	Hs.532082	5q11	interleukin 6 signal transducer (gp130, oncostatin M receptor) (IL6ST), transcript variant 2, mRNA.
NFIL3	203574_at	0.0090657	0.3669665	-2	Hs.79334	9q22	nuclear factor, interleukin 3 regulated (NFIL3), mRNA.
KLF9	230636_s_at	0.0095458	0.373122	-2	Hs.150557	9q13	Kruppel-like factor 9 (KLF9), mRNA.
BCL2L11	225606_at	0.000973	0.3409764	-2.5	Hs.469658	2q13	BCL2-like 11 (apoptosis facilitator) (BCL2L11), transcript variant 6, mRNA.
NFKBIZ	223218_s_at	0.0011736	0.357325	-2.5	Hs.319171	3p12-q12	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta (NFKBIZ), transcript variant 2, mRNA.
LUC7L	1557067_s_at	0.0020606	0.357325	-2.5	Hs.16803	16p13.3	LUC7-like (S. cerevisiae)
