Curated Gene Symbol	Gene ID	Symbol	Z score Advac	Z score AdE2
SLC44A2	NM_020428	CTL2	2.146296938	-1.828214446
TMC5	NM_024780	TMC5	0.65093644	-1.826247861
MICU1	NM_024534	FLJ12684	1.198847536	-1.821836993
CASC5	NM_020380	AF15Q14	1.404382649	-1.819464492
ZNF226	NM_015919	ZNF226	0.963269193	-1.81891032
INPPL1	NM_001567	INPPL1	0.48994594	-1.811453063
PALLD	NM_016081	KIAA0992	1.839358421	-1.810545458
CBWD2	NM_018491	CBWD2	0.735890831	-1.807285192
CD4	NM_000616	CD4	1.74702074	-1.804379003
EGLN1	NM_022051	EGLN1	1.728805338	-1.803984076
NOTCH4	NM_004557	NOTCH4	1.609334803	-1.80373328
VRK1	NM_003384	VRK1	1.137518154	-1.803172789
ARHGDIB	NM_001175	ARHGDIB	0.757693047	-1.798765192
WNT7A	NM_004625	WNT7A	1.672323591	-1.794847226
PCDHGC3	NM_032009	PCDHGC3	1.581144419	-1.794763293
DAPP1	NM_014395	DAPP1	0.322441576	-1.794054755
AGK	NM_018238	FLJ10842	2.190004805	-1.7920778
GNB4	NM_021629	GNB4	2.873927634	-1.790221573
CCDC47	NM_020198	GK001	1.798803015	-1.790135844
TRPM5	NM_014555	TRPM5	0.966143628	-1.788738171
CHAF1B	NM_005441	CHAF1B	1.938646628	-1.787253612
CSRP1	NM_004078	CSRP1	2.269051514	-1.785951351
EFTUD1	NM_024580	EFTUD1	2.3707524	-1.785613063
HOOK2	NM_013312	HOOK2	3.124200523	-1.784985385
AKAP7	NM_016377	AKAP7	0.980363419	-1.784804195
CMPK1	NM_016308	UMP-CMPK	3.180177826	-1.783363503
NUP107	NM_020401	NUP107	0.645493415	-1.782631639
	NM_014883		1.999473323	-1.782555323
PDE6D	NM_002601	PDE6D	0.867692598	-1.782332498
KCNQ1	NM_000218	KCNQ1	2.832014587	-1.782150332
CCR2	NM_000648	CCR2	1.61040836	-1.781087614
CHGA	NM_001275	CHGA	0.838701911	-1.78061085
ABCA10	NM_080282	ABCA10	2.103494109	-1.778128179
PHIP	NM_017934	PHIP	0.701230272	-1.777829421
ITGBL1	NM_004791	ITGBL1	1.492131581	-1.775784211
ASB6	NM_017873	ASB6	0.278414614	-1.773007698
CDC73	NM_024529	HRPT2	2.341507753	-1.772032761
NME8	NM_016616	TXNDC3	3.139711774	-1.77159611
NPC2	NM_006432	NPC2	1.224877732	-1.770211994
IL1RN	NM_000577	IL1RN	2.887301817	-1.768508693
RASA1	NM_002890	RASA1	1.800111229	-1.767797945
	NM_014813		2.665923554	-1.767475849
SENP6	NM_015571	SENP6	3.310010558	-1.76731751
SMC4	NM_005496	SMC4L1	0.609860905	-1.765400478
	XM_015404		2.3863618	-1.765114511
APOD	NM_001647	APOD	2.612398479	-1.764071561
XAB2	NM_020196	XAB2	1.625577864	-1.761487469
SLC12A2	NM_001046	SLC12A2	0.870628184	-1.760374108
MYOD1	NM_004976	MYOD1	1.148710525	-1.758990533
KCNA2	NM_004974	KCNA2	0.583027076	-1.757617382
GAREM	NM_022751	C18orf11	2.044576565	-1.756608774
UFSP2	NM_018359	FLJ11200	3.178184809	-1.753591428
	NM_018224		2.049880901	-1.751048354
VDAC1	NM_003374	VDAC1	1.131719654	-1.747316949
PTP4A2	NM_003479	PTP4A2	0.51369856	-1.746717623
	NM_024972		1.488883906	-1.746538464
	NM_015931	LOC51066	2.502839587	-1.740800735
	NM_031270		0.608512113	-1.739674883
	AF033579		0.56060902	-1.739651755
PPP1R2	NM_006241	PPP1R2	0.750617364	-1.737319225
COMMD3	NM_012071	COMMD3	1.660941174	-1.735225437
B2M	NM_004048	B2M	0.854644955	-1.73514315
CST8	NM_005492	CST8	1.044174112	-1.729503817
	AF116636		0.93541643	-1.728509944
CRYBA2	NM_057093	CRYBA2	1.007693726	-1.728423187
RNF103	NM_005667	RNF103	0.599364536	-1.720703911
PGM5	NM_021965	PGM5	0.950073348	-1.718958595
MYLK	NM_005965	MYLK	2.181669506	-1.716686889
	NM_014348		1.415780014	-1.707839601
	NM_014968		1.401212097	-1.70744508
LGALS1	NM_020315	LGALS1	1.733064747	-1.706890487
SLC35G2	NM_025246	TMEM22	1.154540441	-1.705912442
	AF118079		0.440774574	-1.702712538
ENO1	NM_001428	ENO1	0.441279117	-1.702419905
MC1R	NM_002386	MC1R	0.977959201	-1.701661468
GAD1	NM_000817	GAD1	1.291181409	-1.697966808
SPG7	NM_003119	SPG7	3.336610222	-1.697380802
	NM_017674		0.958190912	-1.69615369
RNF38	NM_022781	RNF38	1.151184836	-1.694553905
LCE2B	NM_014357	SPRL1B	2.144835399	-1.693308893
MAPK8	NM_002750	MAPK8	1.036377261	-1.693277063
PLA2G2F	NM_022819	PLA2G2F	2.223411971	-1.692882199
DYM	NM_017653	FLJ20071	1.07928772	-1.684644831
SOLH	NM_005632	SOLH	0.558915792	-1.684416532
ANXA7	NM_001156	ANXA7	0.695634744	-1.682952671
KNG1	NM_000893	KNG1	2.536321576	-1.677807921
TGM2	NM_004613	TGM2	0.627881799	-1.67500618
ZBTB20	NM_015642	ZNF288	1.469215545	-1.674293871
PPIP5K2	NM_015216	KIAA0433	0.474384567	-1.673474399
MANF	NM_006010	ARMET	0.598672207	-1.673175023
PSMD8	NM_002812	PSMD8	2.955267729	-1.66937085
	NM_018391		0.507952836	-1.667696622
PAGE1	NM_003785	GAGEB1	0.595866423	-1.664444332
HCCS	NM_005333	HCCS	1.306729158	-1.662969299
GLP2R	NM_004246	GLP2R	2.348137748	-1.662689564
RASA1	NM_022650	RASA1	0.78923853	-1.660865482
SFRP4	NM_003014	SFRP4	1.289595495	-1.660519094
CLN3	NM_000086	CLN3	2.853705296	-1.659509012
BSDC1	NM_018045	FLJ10276	1.307877493	-1.658501817
PET112	NM_004564	PET112L	2.018147399	-1.654429325
HIGD1A	NM_014056	HIG1	1.036537763	-1.654178509
LGALS1	NM_018957	LGALS1	1.97894899	-1.6464191
SMAD4	NM_005359	SMAD4	0.792983858	-1.645139934
ELL2	NM_012081	ELL2	0.651579374	-1.643721931
CISD1	NM_018464	C10orf70	0.684714452	-1.642362975
PROSER1	NM_025138	C13orf23	0.744669193	-1.641593224
MROH9	NM_025063	FLJ23550	2.121305666	-1.640142555
GGT5	NM_004121	GGTLA1	0.82820016	-1.632758568
TIMM22	NM_013337	TIMM22	2.264163951	-1.63139787
BTBD3	NM_014962	BTBD3	0.916022198	-1.631117303
	NM_018547		1.833291408	-1.630607024
CLC	NM_001828	CLC	1.465013492	-1.630268437
PLEKHF2	NM_024613	PLEKHF2	1.579907855	-1.630025059
SP140	U36500	SP140	1.402910973	-1.629815447
FYB	AF116653	FYB	0.987288405	-1.6283078
PPP1R13L	NM_006663	RAI	0.533275825	-1.625552907
PGM1	NM_002633	PGM1	2.051030234	-1.62392731
SCG2	NM_003469	SCG2	0.794250796	-1.62364658
RNF40	NM_014771	RNF40	1.590216847	-1.622780086
HSPA4L	NM_014278	APG-1	0.714137444	-1.619579813
UBE2B	NM_003337	UBE2B	0.918629693	-1.618164581
PARVB	NM_013327	PARVB	2.163022289	-1.612170677
HSD17B14	NM_016246	DHRS10	3.101443908	-1.61152893
RAB35	NM_006861	RAB35	0.858043997	-1.611072198
DISC1	NM_018662	DISC1	1.126453189	-1.608122238
ASGR1	NM_001671	ASGR1	0.596321111	-1.605398576
COL9A1	NM_001851	COL9A1	0.467672219	-1.605279656
TP53I3	BC000474	TP53I3	1.428360726	-1.603839118
TFAM	NM_003201	TFAM	0.679363446	-1.601629475
CAPZA1	NM_006135	CAPZA1	0.670878495	-1.601404269
EXOG	NM_005107	ENDOGL1	1.196002646	-1.596795365
P2RX4	NM_002560	P2RX4	1.942088895	-1.595774873
TMA16	NM_018352	FLJ11184	1.450290696	-1.595279775
DDB1	NM_001923	DDB1	1.610842944	-1.593945385
AES	NM_001130	AES	1.0061862	-1.592173298
EIF3D	NM_003753	EIF3S7	1.727066182	-1.59084899
GPR65	NM_003608	GPR65	0.522780563	-1.589865391
PPIL1	NM_016059	PPIL1	1.195594263	-1.58845153
ASB9	NM_024087	ASB9	0.72952858	-1.584949805
ARF3	NM_001659	ARF3	0.761133686	-1.584253695
CHEK2	NM_007194	CHEK2	2.273281684	-1.579986649
RTDR1	NM_014433	RTDR1	3.67189416	-1.575389852
	AC006530_6		2.382587131	-1.574903587
NDST3	NM_004784	NDST3	1.953830527	-1.571354696
CRY1	NM_004075	CRY1	2.813269367	-1.571075532
EGR2	NM_000399	EGR2	0.555827907	-1.569562774
METAP2	NM_006838	METAP2	2.625980406	-1.567107068
INPP5A	NM_005539	INPP5A	0.54861365	-1.565422648
TRABD	NM_025204	PP2447	1.704936233	-1.5651322
SBNO1	NM_018183	SBNO1	2.380356232	-1.565090931
MRPL35	NM_016622	MRPL35	1.253363808	-1.564719541
SPAST	NM_014946	SPG4	3.467715974	-1.564104546
DHX35	NM_021931	DHX35	2.14428214	-1.563659674
ASAP3	NM_017707	UPLC1	1.638416049	-1.563279224
	NM_020143	LOC56902	1.339488137	-1.563072289
EBNA1BP2	NM_006824	EBNA1BP2	1.027691577	-1.562974648
	AF116642		1.169671042	-1.562647688
NFATC3	NM_004555	NFATC3	0.5322854	-1.562117299
ZSCAN5A	NM_024303	ZNF495	0.880925192	-1.561999359
IL13RA1	NM_001560	IL13RA1	0.63577412	-1.561043244
SRD5A1	NM_001047	SRD5A1	0.805708283	-1.559989085
BTBD1	NM_025238	BTBD1	1.935594493	-1.55834427
	NM_022575		0.739192286	-1.555942142
RAP2A	NM_021033	RAP2A	1.671895252	-1.552245271
ING1	NM_005537	ING1	2.025867711	-1.550875323
SLCO2B1	NM_007256	SLCO2B1	2.7302699	-1.547747182
MANBA	NM_005908	MANBA	1.096859579	-1.547354611
MAK	NM_005906	MAK	1.148508537	-1.544252781
IGFBP1	NM_000596	IGFBP1	1.357741792	-1.544041232
PHLDA1	NM_007350	PHLDA1	3.233186338	-1.542214497
ARHGAP29	NM_004815	PARG1	0.826457774	-1.54016494
FAM115A	NM_014719	KIAA0738	0.886269599	-1.539055684
VEGFA	NM_003376	VEGF	3.001737334	-1.537189219
HIBCH	NM_014362	HIBCH	3.221608233	-1.535711907
SHANK1	NM_016148	SHANK1	0.762290281	-1.532592374
CD9	NM_001769	CD9	1.183065425	-1.531689751
	NM_018333		2.09703891	-1.530601175
GRM3	NM_000840	GRM3	0.508290221	-1.526893553
PARK2	NM_013987	PARK2	0.657862943	-1.526837095
FBXO5	NM_012177	FBXO5	0.80778645	-1.52529053
TLE1	NM_005077	TLE1	0.60487713	-1.524685589
TKTL1	NM_012253	TKTL1	0.674027541	-1.517892935
ANXA4	NM_001153	ANXA4	0.946520524	-1.516050268
SIRT7	NM_016538	SIRT7	1.383281886	-1.510813003
LSM4	NM_012321	LSM4	1.94999297	-1.507499632
YBX1	NM_004559	NSEP1	2.518895088	-1.505888859
	NM_005377		1.1727987	-1.502813618
ETS2	NM_005239	ETS2	1.512790124	-1.501571332
CNPY2	NM_014255	TMEM4	1.104475071	-1.500779469
ICA1	NM_022307	ICA1	1.428102718	-1.5007026
PRDX5	NM_012094	PRDX5	1.559328889	-1.499468601
ALPPL2	NM_031313	ALPPL2	0.756665833	-1.496800039
HEPH	NM_014799	HEPH	0.645293464	-1.496370659
PPP2R5E	NM_006246	PPP2R5E	1.462177699	-1.495945636
SRP54	NM_003136	SRP54	0.530313591	-1.493326571
IL1RAPL2	NM_017416	IL1RAPL2	1.116596936	-1.492833468
SLMAP	NM_007159	SLMAP	1.043972643	-1.491808103
PHF14	AB018326	PHF14	0.778924562	-1.49005923
HP1BP3	NM_016287	HP1-BP74	1.056993851	-1.489963571
STK4	NM_006282	STK4	0.845991594	-1.488092441
RAMP2	NM_005854	RAMP2	0.986999622	-1.4830072
CCBP2	NM_001296	CCBP2	0.850604198	-1.482851457
SNAP29	NM_004782	SNAP29	0.771329862	-1.479884497
FAS	NM_000043	TNFRSF6	1.08618514	-1.477060416
DMPK	NM_004409	DMPK	2.14160371	-1.475700211
COMMD3	NM_005180	COMMD3	2.429751346	-1.473904696
ZC3H15	NM_018471	LEREPO4	0.586295631	-1.473482975
TAZ	NM_000116	TAZ	1.654207251	-1.472688266
SERTAD3	NM_013368	SERTAD3	2.178753182	-1.471411142
	NM_025043		1.377423304	-1.468863332
SLC22A6	NM_004790	SLC22A6	0.888262125	-1.468827541
FAM114A2	AK024664	C5orf3	2.247105749	-1.468065526
	NM_015914	LOC51061	2.500953253	-1.467893572
KCNJ14	NM_013348	KCNJ14	0.606983306	-1.464211297
MBP	NM_002385	MBP	1.971765569	-1.462258787
	XM_018261		1.654166539	-1.460271993
SPEF1	NM_015417	C20orf28	0.785023488	-1.45851404
ADAMTS8	NM_007037	ADAMTS8	2.589664857	-1.458381368
KRT14	NM_000526	KRT14	1.846607212	-1.457589825
FAM86C1	NM_018172	FLJ10661	0.714215808	-1.456751199
	NM_014809		0.610611799	-1.456032082
RPS6KA4	NM_003942	RPS6KA4	3.473679193	-1.455364538
GJB6	NM_006783	GJB6	1.981896633	-1.452465406
	NM_021156		2.171850911	-1.451999152
PITPNB	NM_012399	PITPNB	0.595159248	-1.451832573
COG2	NM_007357	COG2	0.998493651	-1.447256379
RADIL	NM_020144	FLJ10324	1.74373775	-1.440347341
MDH2	NM_005918	MDH2	2.029636981	-1.439486443
DCDC2	NM_016356	DCDC2	0.602593062	-1.437244055
VIPR2	NM_003382	VIPR2	1.922611499	-1.432442647
ASL	NM_000048	ASL	1.472017823	-1.426620584
ENTPD1	NM_001776	ENTPD1	2.1662051	-1.423610357
TACC3	NM_006342	TACC3	1.558680543	-1.419334522
BCCIP	NM_016567	BCCIP	2.882221756	-1.418984057
SCML1	NM_006746	SCML1	2.470246643	-1.416845783
DUOX2	NM_014080	DUOX2	1.256869423	-1.415523849
PSMD11	NM_002815	PSMD11	1.179467169	-1.414015058
EIF3M	NM_006360	GA17	0.836660193	-1.409733185
TXNL1	NM_004786	TXNL1	0.930151281	-1.407756732
SFTPA2	NM_006926	SFTPA2	0.81272408	-1.404822955
ELF5	NM_001422	ELF5	1.774814757	-1.404648082
GCNT2	NM_001491	GCNT2	2.370569486	-1.402736493
	NM_024950		2.519357017	-1.400320077
FOLR1	NM_016730	FOLR1	0.716242602	-1.400024841
DGCR6L	NM_033257	DGCR6L	1.326238281	-1.399770458
LAMTOR3	NM_021970	MAP2K1IP1	1.869524961	-1.398743796
HOXB1	NM_002144	HOXB1	2.119281907	-1.395166941
CAPN11	NM_007058	CAPN11	2.328199741	-1.388483111
POLR2F	NM_021974	POLR2F	1.603271294	-1.387997328
RFX7	NM_022841	FLJ12994	2.93428083	-1.386605914
TNK1	NM_003985	TNK1	1.000943954	-1.38591387
AIP	NM_003977	AIP	1.290464622	-1.380477363
LRRFIP2	NM_017724	LRRFIP2	1.988458998	-1.377980188
GNAI1	NM_002069	GNAI1	1.000444483	-1.37770285
LTA4H	NM_000895	LTA4H	1.031581683	-1.377659561
HNRNPUL1	NM_007040	HNRPUL1	1.961938352	-1.375715294
	NM_015524		0.87857674	-1.375482932
ACADS	NM_000017	ACADS	1.642524102	-1.36957663
DDAH1	NM_012137	DDAH1	2.535691215	-1.369076477
DHRS12	NM_024705	FLJ13639	1.032570923	-1.366632663
HLTF	NM_003071	SMARCA3	2.039208897	-1.36578093
DKC1	NM_001363	DKC1	1.010593088	-1.359667883
	XM_057844		1.378772587	-1.359296188
C3	NM_000064	C3	0.970421502	-1.359271069
RIOK2	NM_018343	RIOK2	0.961213461	-1.355438888
TRMT11	NM_021820	C6orf75	0.68639039	-1.354818325
WIF1	NM_007191	WIF1	1.173441301	-1.353266688
	NM_002219		2.677313909	-1.350704401
MPP5	NM_022474	MPP5	1.123903114	-1.348655617
TYRO3	NM_006293	TYRO3	0.930456547	-1.348576385
PDE7B	NM_018945	PDE7B	0.927612918	-1.345254368
RAB3IL1	NM_013401	RAB3IL1	1.19303477	-1.344433692
RBMS1	NM_016836	RBMS1	1.961516565	-1.338594895
MTMR10	NM_017762	FLJ20313	1.037561642	-1.336635667
KDM3B	NM_016604	JMJD1B	0.954103602	-1.335926501
CTNNAL1	NM_003798	CTNNAL1	0.958130968	-1.333316383
ACSL3	NM_004457	ACSL3	2.727071289	-1.331457891
CA5A	NM_001739	CA5A	0.709332776	-1.328827061
LAP3	NM_015907	LAP3	0.957357774	-1.328617197
SUV39H1	NM_003173	SUV39H1	1.214175838	-1.328242662
TROVE2	NM_004600	SSA2	0.686952254	-1.32728437
PRPF40A	AF155096	FNBP3	1.59504304	-1.325914741
LY75	NM_002349	LY75	1.120991093	-1.325570506
CORO1C	NM_014325	CORO1C	1.218302482	-1.324979702
PPP1R3C	NM_005398	PPP1R3C	2.705771099	-1.322703261
RBMX2	NM_016024	RBMX2	1.153422699	-1.318958946
ATP6V1B1	NM_001692	ATP6V1B1	1.597730793	-1.315187012
FH	NM_000143	FH	2.541140216	-1.314567968
	XM_007409		3.368447448	-1.312956418
NOLC1	NM_004741	NOLC1	1.395120352	-1.311570288
	NM_015967		1.912386073	-1.309966165
B3GALT2	NM_003783	B3GALT2	1.452690512	-1.308401508
B4GALT6	NM_004775	B4GALT6	1.794903902	-1.301474583
LMBR1	NM_022458	C7orf2	1.143506308	-1.301240823
	NM_025006		0.736775826	-1.300171345
C14orf2	NM_004894	C14orf2	0.874108317	-1.296344645
MMP14	NM_004995	MMP14	0.987087818	-1.293891891
HOXA13	NM_000522	HOXA13	1.602508473	-1.293522783
TAAR5	NM_003967	PNR	0.827811006	-1.292772235
	NM_005200		0.726168492	-1.291406302
IFI44	NM_006417	IFI44	0.827715104	-1.29100838
LYRM4	NM_020408	C6orf149	1.079252647	-1.289416139
SLA	NM_006748	SLA	1.100208219	-1.287043798
ACVR1B	NM_020327	ACVR1B	1.021323474	-1.280374993
ATF2	NM_001880	ATF2	1.883419896	-1.276882481
TMEM9B	NM_020644	C11orf15	1.949237616	-1.275563296
SAFB	NM_002967	SAFB	1.095763404	-1.274675229
NPAT	NM_002519	NPAT	3.662631445	-1.266018497
TEX2	NM_018469	HT008	1.286810338	-1.264460076
TNNC1	NM_003280	TNNC1	0.847663139	-1.260286315
	NM_003912		1.28577212	-1.257793452
CD93	NM_012072	C1QR1	2.212341196	-1.256503556
ESM1	NM_007036	ESM1	2.651723927	-1.255167743
GGNBP2	NM_024835	ZNF403	0.96233578	-1.244901931
MACROD1	NM_014067	LRP16	1.241013655	-1.243655775
TTC21B	NM_024753	FLJ11457	1.140605912	-1.243581377
FARS2	NM_006567	FARS1	1.06215309	-1.241746684
	XM_002472		1.22737298	-1.231056612
TM7SF3	NM_016551	TM7SF3	1.291141577	-1.229146891
PRPF8	NM_006445	PRPF8	1.211486436	-1.228542862
ME2	NM_002396	ME2	0.94061257	-1.228136906
GNA13	NM_006572	GNA13	1.125177889	-1.226729052
LGMN	NM_005606	LGMN	0.992810115	-1.226723509
BHMT	NM_001713	BHMT	2.370898779	-1.219756278
VPS53	NM_018289	FLJ10979	2.061819723	-1.218621325
KCNN1	NM_002248	KCNN1	1.217062437	-1.21760764
MBD4	NM_003925	MBD4	1.152068797	-1.217421342
	NM_006523		1.782226352	-1.216845879
	XM_016498		1.057630828	-1.21540624
ZNF238	NM_006352	ZNF238	0.93198561	-1.20841046
NFYB	NM_006166	NFYB	2.314134833	-1.207966762
NUDT2	NM_001161	NUDT2	1.512984586	-1.207596636
PSEN1	NM_000021	PSEN1	0.834606271	-1.205810659
SEMA3F	NM_004186	SEMA3F	1.835018475	-1.205707135
RRAGC	NM_022157	RRAGC	1.147997609	-1.204206933
NEU1	NM_000434	NEU1	2.06811316	-1.202992939
BID	NM_001196	BID	0.935350072	-1.198355493
RAB13	NM_002870	RAB13	1.739773183	-1.197519458
IMPG1	NM_001563	IMPG1	0.924895618	-1.196839861
NABP2	NM_024068	MGC2731	2.012213417	-1.196148311
HAUS6	NM_017645	FAM29A	2.761383893	-1.19330084
SSH3	BC004176	SSH3	0.88357908	-1.191728075
ATL2	NM_022374	ARL6IP2	2.18634668	-1.191436415
SRR	NM_021947	SRR	1.089834002	-1.191434175
S1PR1	NM_001400	EDG1	1.946169643	-1.19011228
	NM_014121		2.105131817	-1.185011925
CWC25	NM_017748	FLJ20291	1.516760408	-1.180063359
ZC3H7A	NM_014153	ZC3HDC7	1.53249537	-1.17868988
RS1	NM_000330	RS1	1.093223817	-1.174623315
SMU1	NM_018225	SMU1	3.223439275	-1.171529671
MNS1	NM_018365	MNS1	2.173127541	-1.16510072
GGA2	NM_015044	GGA2	3.819947179	-1.162807492
CASP9	NM_032996	CASP9	0.990140673	-1.157529725
C19orf53	NM_014047	HSPC023	0.914306652	-1.153403855
SNRPG	NM_003096	SNRPG	1.123992381	-1.152356323
CDC42SE1	NM_020239	SPEC1	1.357507315	-1.150290369
DEF6	NM_022047	DEF6	1.238779484	-1.147499622
PPP1R17	NM_006658	C7orf16	2.567931107	-1.14129486
RDX	NM_002906	RDX	1.112365914	-1.136886149
COL4A1	NM_001845	COL4A1	0.939972253	-1.136829854
PPAP2B	NM_003713	PPAP2B	1.218319583	-1.131019392
DDX25	NM_013264	DDX25	1.753902953	-1.129794959
TBC1D9B	NM_015043	KIAA0676	1.256037479	-1.124159179
VENTX	NM_014468	VENTX2	1.629167929	-1.12326386
	NM_018278		1.005848307	-1.122987867
SNW1	NM_012245	SKIIP	1.282740728	-1.120449098
RND2	NM_005440	ARHN	1.443099341	-1.116092443
GRK6	NM_002082	GRK6	0.912560872	-1.115757601
BCS1L	NM_004328	BCS1L	1.019155346	-1.112601104
TBCE	NM_003193	TBCE	1.16484178	-1.108206064
LAMA2	NM_000426	LAMA2	1.734358518	-1.106387904
RPS19	NM_001022	RPS19	1.452021578	-1.102791468
CEPT1	NM_006090	CEPT1	1.05229862	-1.102303112
DDX3Y	NM_004660	DDX3Y	1.1871637	-1.099196157
LYVE1	NM_006691	XLKD1	1.562312626	-1.093517134
CRISP1	NM_001131	CRISP1	2.604396028	-1.093504106
IL24	NM_006850	IL24	1.532483233	-1.093441826
	NM_005315		1.60074518	-1.08968133
ZNRD1	NM_014596	ZNRD1	1.825939257	-1.088716742
C11orf58	NM_014267	SMAP	0.965634189	-1.087575683
NBR1	NM_005899	M17S2	2.748240604	-1.086758315
HMOX1	NM_002133	HMOX1	2.2664433	-1.083241085
	AF116660		2.071543883	-1.081335838
BRD3	NM_007371	BRD3	1.144387365	-1.08110921
CYBRD1	NM_024843	CYBRD1	2.875300722	-1.077586516
AQP3	NM_004925	AQP3	0.999938482	-1.07542323
SUPT5H	NM_003169	SUPT5H	1.608344764	-1.073478567
STAR	NM_000349	STAR	3.622354149	-1.067869278
RING1	NM_002931	RING1	3.426598308	-1.066698106
PTGER1	NM_000955	PTGER1	1.032338786	-1.066251906
PKN2	NM_006256	PKN2	1.588928845	-1.061102112
MYOT	NM_006790	TTID	1.045183258	-1.057858848
ARHGEF4	NM_032995	ARHGEF4	1.449903072	-1.05417289
EXT2	NM_000401	EXT2	2.492605613	-1.051259849
IKBKG	NM_003639	IKBKG	1.63848605	-1.049615151
NCOA2	NM_006540	NCOA2	1.109084616	-1.048668084
CACNA1A	AF004884	CACNA1A	1.891809138	-1.047385359
SRF	NM_003131	SRF	2.223121299	-1.045924538
AP3M2	NM_006803	AP3M2	1.010513275	-1.04468759
RSC1A1	NM_006511	RSC1A1	1.13097612	-1.043322529
	NM_014817		3.269995628	-1.039381453
	NM_006787		1.645509723	-1.036861106
TRIM33	NM_015906	TRIM33	1.901322969	-1.03552356
GJD2	NM_020660	CX36	1.096892611	-1.033335103
CRYGC	NM_020989	CRYGC	2.643683876	-1.029041583
POLR3A	NM_007055	RPC155	1.452390281	-1.026731537
MAP4K5	NM_006575	MAP4K5	1.271887591	-1.023584297
NR2E3	NM_014249	NR2E3	1.525585475	-1.022771377
MATN3	NM_002381	MATN3	1.399869084	-1.021231193
UEVLD	NM_018314	UEV3	1.850245137	-1.020451994
ARL2BP	NM_012106	ARL2BP	1.06852465	-1.016342065
EML2	NM_012155	EML2	1.26709551	-1.012557145
TXNDC12	NM_015913	TLP19	1.681882732	-1.005152007
CDH10	NM_006727	CDH10	2.310230566	-1.003644894
RAB5C	NM_004583	RAB5C	1.175550135	-1.002561762
RPL39L	NM_052969	RPL39L	1.90000588	-1.001209696
HTR1A	NM_000524	HTR1A	3.16326244	-0.992806606
PPARD	NM_006238	PPARD	2.113178824	-0.983070006
EMP2	NM_001424	EMP2	1.587736538	-0.976721495
SKI	NM_003036	SKI	1.198491397	-0.972464664
PDE6B	NM_000283	PDE6B	1.39111866	-0.960225936
RHOD	NM_014578	RHOD	1.18692999	-0.959396289
CDH4	NM_001794	CDH4	1.075774728	-0.95259568
NID1	NM_002508	NID	1.592792025	-0.950751289
BBS1	NM_024649	BBS1	3.007961785	-0.949886527
SAC3D1	NM_013299	HSU79266	2.008676186	-0.942494036
JUN	NM_002228	JUN	1.481646023	-0.941023819
PKP1	NM_000299	PKP1	1.439002572	-0.934472765
C3orf14	NM_020685	HT021	2.22922672	-0.928230823
HLA-DQA1	L34093	HLA-DQA1	1.134607496	-0.92816349
DDA1	NM_024050	PCIA1	1.203077004	-0.928108931
RBL1	NM_002895	RBL1	2.426491757	-0.926292174
GPS2	NM_032938	GPS2	2.305639223	-0.91020063
LPAR2	NM_004720	EDG4	1.480491296	-0.908187405
TRPV6	NM_004445	TRPV6	1.178690597	-0.906787123
SLC12A3	NM_000339	SLC12A3	1.405708746	-0.903418317
ERCC5	NM_000123	ERCC5	1.225920172	-0.900334903
UBE2I	NM_003345	UBE2I	1.531331361	-0.898830848
EIF5	NM_001969	EIF5	2.317674156	-0.890788814
SGCD	NM_000337	SGCD	1.268919085	-0.888427519
CRP	NM_000567	CRP	1.599639725	-0.887951303
SMEK1	NM_017936	KIAA2010	2.022446732	-0.887640878
RREB1	NM_002955	RREB1	1.703479935	-0.882883677
	NM_024802		2.206412893	-0.879813983
CCR2	NM_000647	CCR2	2.55642976	-0.874350595
PSMD5	NM_005047	PSMD5	1.608375938	-0.867714628
RBCK1	NM_031229	C20orf18	1.135988021	-0.866769006
TACR1	NM_001058	TACR1	1.420077185	-0.866580023
ST3GAL1	NM_003033	SIAT4A	1.829434451	-0.863153688
F12	NM_000505	F12	1.329419289	-0.858061384
LDB2	NM_001290	LDB2	1.473881011	-0.857284712
GPC3	NM_004484	GPC3	1.724726654	-0.849568327
	NM_016837		1.247763746	-0.842207781
TRIM39	NM_021253	TRIM39	2.241696729	-0.839625557
	NM_014731	ProSAPiP1	1.344357373	-0.837874507
DZIP1	NM_014934	DZIP1	2.385596709	-0.832230509
RAB25	NM_020387	RAB25	1.413960155	-0.826560853
ZNF581	NM_016535	ZNF581	1.343238707	-0.823574912
PSMB4	NM_002796	PSMB4	2.040406063	-0.819786713
POLR1D	NM_015972	MGC9850	1.543326934	-0.817333164
HOXD12	NM_021193	HOXD12	1.243277674	-0.814624294
CDK5	NM_004935	CDK5	1.304740399	-0.813464917
ABCC8	NM_000352	ABCC8	1.991870802	-0.811568107
	XM_003443		1.23368191	-0.807813913
CNTFR	NM_001842	CNTFR	1.216231241	-0.802207616
DBH	NM_000787	DBH	1.549971798	-0.79461094
BIRC3	NM_001165	BIRC3	1.526745116	-0.79391653
PPIB	NM_000942	PPIB	1.412068944	-0.784129376
UCK2	NM_012474	UMPK	1.297527722	-0.783637515
	XM_001466		1.631519357	-0.778979482
MCHR1	NM_005297	GPR24	2.124874087	-0.778375798
COLQ	NM_005677	COLQ	1.519603919	-0.777735906
PPP2CA	NM_002715	PPP2CA	1.957991067	-0.776953999
CHRM4	NM_000741	CHRM4	1.738038217	-0.77367223
