Curated Gene Symbol	FeatureNumber	GeneName	siCTNNB1	siBRG1	siP300	siMLLT10	Description
CDCA7	43572	CDCA7	-1.112	-0.19	-0.668	-0.229	cell division cycle associated 7 (CDCA7), transcript variant 1, mRNA [NM_031942]
PATL1	6883	PATL1	-1.108	-0.475	-0.477	0.512	protein associated with topoisomerase II homolog 1 (yeast) (PATL1), mRNA [NM_152716]
ADRA2C	22460	ADRA2C	-1.107	-0.134	-0.065	-0.073	adrenergic, alpha-2C-, receptor (ADRA2C), mRNA [NM_000683]
NOTCH1	29085	NOTCH1	-1.106	0.407	0.164	-0.105	Notch homolog 1, translocation-associated (Drosophila) (NOTCH1), mRNA [NM_017617]
VSNL1	7410	VSNL1	-1.105	-0.303	-0.049	-0.096	visinin-like 1 (VSNL1), mRNA [NM_003385]
EDN2	40603	EDN2	-1.105	1.66	0.035	-0.292	endothelin 2 (EDN2), mRNA [NM_001956]
NELF	39834	NELF	-1.1	-0.208	-0.014	-0.07	nasal embryonic LHRH factor (NELF), mRNA [NM_015537]
PDK1	42258	PDK1	-1.098	-1.011	-0.522	0.167	pyruvate dehydrogenase kinase, isozyme 1 (PDK1), nuclear gene encoding mitochondrial protein, mRNA [NM_002610]
	25842	THC2636523	-1.095	0.125	0.094	-0.004	Unknown
TXNL4B	35835	TXNL4B	-1.087	-0.166	-0.203	-0.164	thioredoxin-like 4B (TXNL4B), mRNA [NM_017853]
TXNL4B	12601	TXNL4B	-1.082	-0.018	-0.056	0.094	thioredoxin-like 4B (TXNL4B), mRNA [NM_017853]
TRMT61A	5728	C14orf172	-1.079	0.173	-0.33	0.027	chromosome 14 open reading frame 172 (C14orf172), mRNA [NM_152307]
MAT1A	4505	MAT1A	-1.078	-0.248	-0.841	-0.043	methionine adenosyltransferase I, alpha (MAT1A), mRNA [NM_000429]
SYK	17161	SYK	-1.073	-0.437	-0.193	0.002	spleen tyrosine kinase (SYK), mRNA [NM_003177]
TMPO	31957	TMPO	-1.073	-0.265	0.089	0.019	thymopoietin (TMPO), transcript variant 1, mRNA [NM_003276]
SYK	16554	SYK	-1.068	-0.438	-0.169	-0.037	spleen tyrosine kinase (SYK), mRNA [NM_003177]
MYBL1	23538	MYBL1	-1.064	-0.199	0.774	-0.468	v-myb myeloblastosis viral oncogene homolog (avian)-like 1 (MYBL1), mRNA [NM_001080416]
B3GAT1	25848	B3GAT1	-1.064	-0.043	0.297	-0.158	beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P) (B3GAT1), transcript variant 2, mRNA [NM_054025]
AAED1	3068	C9orf21	-1.062	0.375	0.57	-0.003	chromosome 9 open reading frame 21 (C9orf21), mRNA [NM_153698]
SYK	42806	SYK	-1.061	-0.461	-0.209	-0.044	spleen tyrosine kinase (SYK), mRNA [NM_003177]
CDCA4	22788	CDCA4	-1.061	-0.132	-0.039	-0.199	cell division cycle associated 4 (CDCA4), transcript variant 13, mRNA [NM_017955]
GPR161	34017	GPR161	-1.06	0.454	0.268	-0.065	Homo sapiens cDNA FLJ33952 fis, clone CTONG2018614. [AK091271]
	35095	THC2505349	-1.06	-0.081	0.248	0.027	ALU6_HUMAN (P39193) Alu subfamily SP sequence contamination warning entry, partial (13%) [THC2505349]
C2orf70	27477	LOC339778	-1.058	-1.198	-1.611	0.096	hypothetical protein LOC339778 (LOC339778), mRNA [NM_001105519]
MACC1	39807	7A5	-1.058	0.458	0.846	0.087	putative binding protein 7a5 (7A5), mRNA [NM_182762]
FAM13B	11058	C5orf5	-1.055	0.419	0.499	-0.11	chromosome 5 open reading frame 5 (C5orf5), transcript variant 1, mRNA [NM_016603]
TRIM13	39775	TRIM13	-1.054	0.298	0.29	-0.002	tripartite motif-containing 13 (TRIM13), transcript variant 3, mRNA [NM_213590]
SYK	1216	SYK	-1.05	-0.543	-0.178	-0.017	spleen tyrosine kinase (SYK), mRNA [NM_003177]
EIF2AK2	39258	EIF2AK2	-1.049	0.081	0.55	0.211	Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Interferon-inducible RNA-dependent protein kinase) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Protein kinase RNA-activated) (PK
PRIM1	24039	PRIM1	-1.048	0.028	-0.134	-0.132	primase, DNA, polypeptide 1 (49kDa) (PRIM1), mRNA [NM_000946]
SYNCRIP	36496	SYNCRIP	-1.047	-0.074	-0.016	-0.055	Homo sapiens synaptotagmin binding, cytoplasmic RNA interacting protein, mRNA (cDNA clone MGC:45213 IMAGE:5495201), complete cds. [BC032643]
PRIM1	30495	PRIM1	-1.046	0.027	-0.149	-0.133	primase, DNA, polypeptide 1 (49kDa) (PRIM1), mRNA [NM_000946]
C12orf29	10645	C12orf29	-1.044	-0.229	-0.183	0.139	chromosome 12 open reading frame 29 (C12orf29), mRNA [NM_001009894]
SLC7A5	34679	SLC7A5	-1.042	0.011	0.485	-0.199	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5 (SLC7A5), mRNA [NM_003486]
PEX5	2850	PEX5	-1.041	-0.321	-0.35	-0.156	peroxisomal biogenesis factor 5 (PEX5), mRNA [NM_000319]
	31315	BQ233242	-1.038	0.506	0.52	0.254	BQ233242 AGENCOURT_7283259 NIH_MGC_70 Homo sapiens cDNA clone IMAGE:6017276 5, mRNA sequence [BQ233242]
PEA15	24049	PEA15	-1.038	-0.281	0.564	0.119	phosphoprotein enriched in astrocytes 15 (PEA15), mRNA [NM_003768]
EPB41L4A-AS1	29352	C5orf26	-1.037	-0.196	-0.16	-0.048	chromosome 5 open reading frame 26 (C5orf26) on chromosome 5 [NR_015370]
UPF3B	9839	UPF3B	-1.034	-0.04	-0.127	0.05	UPF3 regulator of nonsense transcripts homolog B (yeast) (UPF3B), transcript variant 1, mRNA [NM_080632]
	3490	AK127132	-1.031	0.352	0.215	0.145	Homo sapiens cDNA FLJ45189 fis, clone BRAWH3049068. [AK127132]
SYK	33099	SYK	-1.028	-0.452	-0.254	-0.068	spleen tyrosine kinase (SYK), mRNA [NM_003177]
SON	34824	SON	-1.028	-0.423	-0.105	-0.273	SON DNA binding protein (SON), transcript variant b, mRNA [NM_032195]
CBR3	4515	CBR3	-1.026	0.149	0.246	0.195	carbonyl reductase 3 (CBR3), mRNA [NM_001236]
SYK	34359	SYK	-1.026	-0.444	-0.201	-0.034	spleen tyrosine kinase (SYK), mRNA [NM_003177]
PEX5	39403	PEX5	-1.023	-0.158	-0.215	-0.08	peroxisomal biogenesis factor 5 (PEX5), mRNA [NM_000319]
SYK	13609	SYK	-1.022	-0.51	-0.217	-0.006	spleen tyrosine kinase (SYK), mRNA [NM_003177]
RAD51AP1	18715	RAD51AP1	-1.022	0.003	0.351	0.072	RAD51 associated protein 1 (RAD51AP1), mRNA [NM_006479]
GNPDA2	38357	GNPDA2	-1.017	0.067	0.254	0.107	glucosamine-6-phosphate deaminase 2 (GNPDA2), mRNA [NM_138335]
IL15	18449	IL15	-1.015	-0.183	-0.651	-0.206	interleukin 15 (IL15), transcript variant 1, mRNA [NM_172174]
RGS16	35179	RGS16	-1.015	-0.267	-1.079	0.008	regulator of G-protein signaling 16 (RGS16), mRNA [NM_002928]
ZNRF3	42552	ZNRF3	-1.013	-0.171	-0.374	-0.103	zinc and ring finger 3 (ZNRF3), mRNA [NM_032173]
ZNF93	35411	ZNF93	-1.013	-0.176	0.146	-0.164	Homo sapiens cDNA FLJ39023 fis, clone NT2RP7004348, highly similar to ZINC FINGER PROTEIN 93. [AK096342]
SYK	10976	SYK	-1.011	-0.537	-0.2	-0.09	spleen tyrosine kinase (SYK), mRNA [NM_003177]
MSN	28491	MSN	-1.009	0.183	0.767	0.121	moesin (MSN), mRNA [NM_002444]
PRIM1	33203	PRIM1	-1.009	0.026	-0.154	-0.139	primase, DNA, polypeptide 1 (49kDa) (PRIM1), mRNA [NM_000946]
SYK	11060	SYK	-1.007	-0.446	-0.199	-0.013	spleen tyrosine kinase (SYK), mRNA [NM_003177]
RAD54B	980	RAD54B	-1.007	-0.127	-0.03	0.012	RAD54 homolog B (S. cerevisiae) (RAD54B), mRNA [NM_012415]
IMP4	5988	IMP4	-1.006	-0.085	-0.114	0.094	full-length cDNA clone CS0DI010YB22 of Placenta Cot 25-normalized of Homo sapiens (human). [CR621399]
C11orf73	14345	C11orf73	-1.004	-0.019	0.469	-0.007	chromosome 11 open reading frame 73 (C11orf73), mRNA [NM_016401]
SYK	10796	SYK	-1.004	-0.556	-0.244	0.031	spleen tyrosine kinase (SYK), mRNA [NM_003177]
	1751	THC2512148	-1.003	-0.157	0.094	-0.218	Unknown
RAD54B	38590	RAD54B	-1.002	-0.102	-0.125	-0.046	RAD54 homolog B (S. cerevisiae) (RAD54B), mRNA [NM_012415]
	17589	AK022339	-1.002	0.372	-0.68	-0.219	Homo sapiens cDNA FLJ12277 fis, clone MAMMA1001711. [AK022339]
ST6GALNAC2	16825	ST6GALNAC2	-1.001	0.042	-0.307	0.033	Homo sapiens cDNA clone IMAGE:5260671, containing frame-shift errors. [BC038114]
	4422	BC014452	1.001	0.179	-0.274	0.303	Homo sapiens cDNA clone IMAGE:4903661, complete cds. [BC014452]
ABCA5	20483	ABCA5	1.001	-0.151	0.699	0.134	ATP-binding cassette, sub-family A (ABC1), member 5 (ABCA5), transcript variant 1, mRNA [NM_018672]
JUNB	35372	JUNB	1.002	-0.49	-0.138	0.345	jun B proto-oncogene (JUNB), mRNA [NM_002229]
OAZ3	24142	OAZ3	1.002	0.112	-0.109	-0.168	ornithine decarboxylase antizyme 3 (OAZ3), mRNA [NM_016178]
PAQR6	17490	PAQR6	1.003	0.222	0.843	0.306	progestin and adipoQ receptor family member VI (PAQR6), transcript variant 1, mRNA [NM_024897]
MPC1	26524	BRP44L	1.005	-0.117	0.038	-0.068	brain protein 44-like (BRP44L), mRNA [NM_016098]
N4BP2L2	42502	N4BP2L2	1.005	0.711	-0.078	0.021	NEDD4 binding protein 2-like 2 (N4BP2L2), transcript variant 1, mRNA [NM_033111]
CCDC88B	40940	CCDC88B	1.006	0.077	-0.157	0.075	coiled-coil domain containing 88B (CCDC88B), mRNA [NM_032251]
	36184	THC2717907	1.008	0.331	-0.406	0.241	Q4IZP3_AZOVI (Q4IZP3) Outer membrane porin, partial (3%) [THC2717907]
CALCOCO2	31887	CALCOCO2	1.008	0.319	-0.044	0.166	calcium binding and coiled-coil domain 2 (CALCOCO2), mRNA [NM_005831]
LMF1	2674	LMF1	1.008	0.081	0.189	0	lipase maturation factor 1 (LMF1), mRNA [NM_022773]
RND3	15434	RND3	1.009	-0.223	-0.4	-0.039	Rho family GTPase 3 (RND3), mRNA [NM_005168]
CHP1	41145	CHP	1.009	-0.109	0.014	0.115	calcium binding protein P22 (CHP), mRNA [NM_007236]
SLC35A1	37349	SLC35A1	1.009	-0.081	-0.567	0.24	solute carrier family 35 (CMP-sialic acid transporter), member A1 (SLC35A1), mRNA [NM_006416]
RNF145	2373	RNF145	1.01	-0.144	0.235	-0.191	ring finger protein 145 (RNF145), mRNA [NM_144726]
PAFAH2	9891	PAFAH2	1.011	0.516	0.113	0.255	platelet-activating factor acetylhydrolase 2, 40kDa (PAFAH2), mRNA [NM_000437]
METTL20	37461	MGC50559	1.013	-0.131	-0.313	0.203	hypothetical protein MGC50559 (MGC50559), mRNA [NM_173802]
AATK	24900	AATK	1.013	-0.653	-0.346	-0.115	apoptosis-associated tyrosine kinase (AATK), mRNA [NM_001080395]
FOLR1	4852	FOLR1	1.013	0.353	0.399	0.178	folate receptor 1 (adult) (FOLR1), transcript variant 1, mRNA [NM_016725]
TMEM53	32309	TMEM53	1.014	0.146	-0.052	0.227	transmembrane protein 53 (TMEM53), mRNA [NM_024587]
GHRL	45027	GHRL	1.014	-0.213	--	--	ghrelin/obestatin preprohormone (GHRL), mRNA [NM_016362]
	23978	THC2543840	1.015	-0.439	-0.247	-0.039	ALU2_HUMAN (P39189) Alu subfamily SB sequence contamination warning entry, partial (13%) [THC2543840]
IL33	28814	IL33	1.017	-1.039	-1.86	0.684	interleukin 33 (IL33), mRNA [NM_033439]
IL18	7853	IL18	1.017	-0.368	0.408	0.196	interleukin 18 (interferon-gamma-inducing factor) (IL18), mRNA [NM_001562]
TRIM10	27105	TRIM10	1.017	0.147	-0.076	0.321	tripartite motif-containing 10 (TRIM10), transcript variant 2, mRNA [NM_052828]
SIRT6	11898	SIRT6	1.017	-0.258	-0.305	0.013	sirtuin (silent mating type information regulation 2 homolog) 6 (S. cerevisiae) (SIRT6), mRNA [NM_016539]
MANF	29158	ARMET	1.018	-0.176	-0.091	-0.152	arginine-rich, mutated in early stage tumors (ARMET), mRNA [NM_006010]
PPP2R5C	19521	PPP2R5C	1.018	-0.445	0.121	0.012	protein phosphatase 2, regulatory subunit B, gamma isoform (PPP2R5C), transcript variant 1, mRNA [NM_002719]
EFNB1	31298	EFNB1	1.019	-0.05	-0.239	0.005	ephrin-B1 (EFNB1), mRNA [NM_004429]
IL18	1157	IL18	1.021	-0.577	0.306	0.123	interleukin 18 (interferon-gamma-inducing factor) (IL18), mRNA [NM_001562]
KCNK6	43067	KCNK6	1.023	0.164	0.038	0.033	potassium channel, subfamily K, member 6 (KCNK6), mRNA [NM_004823]
OAZ3	32527	OAZ3	1.024	0.105	0.066	-0.132	ornithine decarboxylase antizyme 3 (OAZ3), mRNA [NM_016178]
LRP10	44304	LRP10	1.024	0.068	0.441	-0.01	low density lipoprotein receptor-related protein 10 (LRP10), mRNA [NM_014045]
CEBPD	37458	CEBPD	1.024	0.453	-0.344	-0.008	CCAAT/enhancer binding protein (C/EBP), delta (CEBPD), mRNA [NM_005195]
	15697	THC2635964	1.025	-0.417	-0.518	0.542	Q4WTS6_ASPFU (Q4WTS6) Peptidyl-tRNA hydrolase, partial (6%) [THC2635964]
RND3	22255	RND3	1.025	-0.255	-0.383	0.015	Rho family GTPase 3 (RND3), mRNA [NM_005168]
SLC52A3	13719	C20orf54	1.026	-0.173	-0.492	-0.103	chromosome 20 open reading frame 54 (C20orf54), mRNA [NM_033409]
	32104	THC2756581	1.028	0.415	0.202	0.122	Q4RAV2_TETNG (Q4RAV2) Chromosome undetermined SCAF22857, whole genome shotgun sequence. (Fragment), partial (19%) [THC2756581]
	470	THC2676635	1.029	-0.111	0.365	0.162	Unknown
TNFRSF1A	29379	TNFRSF1A	1.029	0.294	0.076	0.053	tumor necrosis factor receptor superfamily, member 1A (TNFRSF1A), mRNA [NM_001065]
	1891	BU956773	1.029	-0.138	-0.89	0.222	AGENCOURT_10624018 NIH_MGC_107 Homo sapiens cDNA clone IMAGE:6730528 5, mRNA sequence [BU956773]
NAT6	26371	NAT6	1.032	-0.214	-0.444	-0.106	N-acetyltransferase 6 (NAT6), mRNA [NM_012191]
	30667	A_32_P184304	1.032	--	--	--	Unknown
RND3	31145	RND3	1.032	-0.32	-0.429	-0.052	Rho family GTPase 3 (RND3), mRNA [NM_005168]
RRAS	15835	RRAS	1.032	-0.022	0.037	0.238	related RAS viral (r-ras) oncogene homolog (RRAS), mRNA [NM_006270]
IL18	13266	IL18	1.034	-0.495	0.338	0.235	interleukin 18 (interferon-gamma-inducing factor) (IL18), mRNA [NM_001562]
NOX1	43133	NOX1	1.035	-1.413	-1.803	-0.009	NADPH oxidase 1 (NOX1), transcript variant NOH-1Lv, mRNA [NM_013955]
MICALL2	16447	MICALL2	1.035	-0.093	0.123	0.151	MICAL-like 2 (MICALL2), transcript variant 1, mRNA [NM_182924]
NOX1	21563	NOX1	1.039	-0.698	-0.224	-0.271	NADPH oxidase 1 (NOX1), transcript variant NOH-1L, mRNA [NM_007052]
PAOX	38308	PAOX	1.039	-0.364	0.134	0.092	polyamine oxidase (exo-N4-amino) (PAOX), transcript variant 1, mRNA [NM_152911]
RAB11FIP1	4278	RAB11FIP1	1.041	-0.078	0.129	0.031	RAB11 family interacting protein 1 (class I) (RAB11FIP1), transcript variant 2, mRNA [NM_001002233]
MIR22HG	41356	C17orf91	1.041	0.227	0.164	0.29	chromosome 17 open reading frame 91 (C17orf91), transcript variant 1, mRNA [NM_032895]
MMP15	15547	MMP15	1.043	-0.471	-0.341	-0.256	matrix metallopeptidase 15 (membrane-inserted) (MMP15), mRNA [NM_002428]
WWC2	1040	WWC2	1.044	-0.007	0.091	0.271	WW and C2 domain containing 2 (WWC2), mRNA [NM_024949]
GALNT10	5818	GALNT10	1.045	-0.082	-0.002	-0.012	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10) (GALNT10), transcript variant 1, mRNA [NM_198321]
RND3	12926	RND3	1.046	-0.241	-0.406	-0.026	Rho family GTPase 3 (RND3), mRNA [NM_005168]
TPMT	22368	TPMT	1.047	0.286	0.078	0.241	thiopurine S-methyltransferase (TPMT), mRNA [NM_000367]
PCSK4	44253	PCSK4	1.047	0.239	0.365	-0.059	proprotein convertase subtilisin/kexin type 4 (PCSK4), mRNA [NM_017573]
RND3	4901	RND3	1.047	-0.306	-0.452	-0.08	Rho family GTPase 3 (RND3), mRNA [NM_005168]
PLD1	34063	PLD1	1.047	0.445	0.046	0.248	phospholipase D1, phosphatidylcholine-specific (PLD1), mRNA [NM_002662]
MKNK2	9943	MKNK2	1.048	0.169	0.506	0.343	MAP kinase interacting serine/threonine kinase 2 (MKNK2), transcript variant 1, mRNA [NM_017572]
PVRL2	33978	PVRL2	1.049	0.001	0.182	0.024	poliovirus receptor-related 2 (herpesvirus entry mediator B) (PVRL2), transcript variant delta, mRNA [NM_001042724]
RND3	25232	RND3	1.049	-0.304	-0.33	-0.037	Rho family GTPase 3 (RND3), mRNA [NM_005168]
TPMT	12916	TPMT	1.049	0.294	0.015	0.237	thiopurine S-methyltransferase (TPMT), mRNA [NM_000367]
APPL2	11726	APPL2	1.049	-0.136	-0.236	-0.054	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2 (APPL2), mRNA [NM_018171]
	1521	CF552909	1.049	-0.514	-0.641	-0.437	AGENCOURT_15595836 NIH_MGC_183 Homo sapiens cDNA clone IMAGE:30529642 5, mRNA sequence [CF552909]
	24721	A_24_P230486	1.05	-0.264	-0.548	0.298	Unknown
ABLIM2	25506	ABLIM2	1.05	-0.853	-0.688	0.082	actin binding LIM protein family, member 2 (ABLIM2), mRNA [NM_032432]
	38724	A_32_P205792	1.05	-0.191	0.358	-0.166	Unknown
RND3	10336	RND3	1.051	-0.266	-0.431	-0.027	Rho family GTPase 3 (RND3), mRNA [NM_005168]
IL18	36808	IL18	1.052	-0.475	0.367	0.182	interleukin 18 (interferon-gamma-inducing factor) (IL18), mRNA [NM_001562]
FZD5	4369	FZD5	1.052	0.012	-0.691	-0.12	frizzled homolog 5 (Drosophila) (FZD5), mRNA [NM_003468]
RABAC1	8815	RABAC1	1.053	0.026	-0.028	-0.069	Rab acceptor 1 (prenylated) (RABAC1), mRNA [NM_006423]
NPAS1	37354	NPAS1	1.053	0.746	0.218	0.117	neuronal PAS domain protein 1 (NPAS1), mRNA [NM_002517]
DOK4	8296	DOK4	1.055	0.021	-0.045	0.012	docking protein 4 (DOK4), mRNA [NM_018110]
AP3S1	42112	AP3S1	1.055	0.016	-0.005	0.034	adaptor-related protein complex 3, sigma 1 subunit (AP3S1), mRNA [NM_001284]
AFAP1	31346	AFAP1	1.056	-0.162	-0.098	-0.199	actin filament associated protein 1 (AFAP1), transcript variant 1, mRNA [NM_021638]
KRT18P40	23587	KRT18P40	1.056	-0.26	-0.626	0.283	PREDICTED: Homo sapiens misc_RNA (KRT18P40), miscRNA [XR_017288]
SPNS2	16052	SPNS2	1.056	-0.285	-0.313	-0.065	spinster homolog 2 (Drosophila) (SPNS2), mRNA [NM_001124758]
RND3	30279	RND3	1.056	-0.256	-0.411	-0.012	Rho family GTPase 3 (RND3), mRNA [NM_005168]
	1467	A_32_P124773	1.057	-0.342	-0.138	--	Unknown
VPS13D	35444	VPS13D	1.061	-0.043	-0.034	0.022	vacuolar protein sorting 13 homolog D (S. cerevisiae) (VPS13D), transcript variant 1, mRNA [NM_015378]
	38900	AK125038	1.061	0.32	0.419	0.056	Homo sapiens cDNA FLJ43048 fis, clone BRTHA3004502. [AK125038]
CYP4F2	39560	CYP4F2	1.062	-0.212	-0.373	0.122	cytochrome P450, family 4, subfamily F, polypeptide 2 (CYP4F2), mRNA [NM_001082]
LMO7	17353	LMO7	1.063	-0.112	0.3	0.137	LIM domain 7 (LMO7), mRNA [NM_005358]
PGPEP1	497	PGPEP1	1.064	-0.49	-0.336	-0.057	pyroglutamyl-peptidase I (PGPEP1), mRNA [NM_017712]
C5orf30	37259	C5orf30	1.068	-0.201	-0.137	0.136	chromosome 5 open reading frame 30 (C5orf30), mRNA [NM_033211]
	6404	AL080232	1.068	1.158	1.401	0.029	Homo sapiens mRNA; cDNA DKFZp586A061 (from clone DKFZp586A061) [AL080232]
TNFRSF1A	14732	TNFRSF1A	1.069	0.092	-0.079	-0.161	tumor necrosis factor receptor superfamily, member 1A (TNFRSF1A), mRNA [NM_001065]
PEX11G	40117	PEX11G	1.069	-0.664	-0.402	-0.191	peroxisomal biogenesis factor 11 gamma (PEX11G), mRNA [NM_080662]
PAPSS1	15402	PAPSS1	1.069	-0.015	0.061	0.031	3-phosphoadenosine 5-phosphosulfate synthase 1 (PAPSS1), mRNA [NM_005443]
	3584	ENST00000313664	1.07	0.208	0.16	0.15	Kazal-type serine protease inhibitor domain-containing protein 1 precursor. [Source:Uniprot/SWISSPROT;Acc:Q96I82] [ENST00000313664]
VASP	32846	VASP	1.071	-0.235	-0.438	-0.091	vasodilator-stimulated phosphoprotein (VASP), mRNA [NM_003370]
CA12	44406	CA12	1.071	-0.161	-1.065	-0.094	carbonic anhydrase XII (CA12), transcript variant 1, mRNA [NM_001218]
ZFYVE28	7173	ZFYVE28	1.072	-0.112	0.4	0.026	zinc finger, FYVE domain containing 28 (ZFYVE28), mRNA [NM_020972]
RAB24	23529	RAB24	1.074	0.151	0.149	-0.161	RAB24, member RAS oncogene family (RAB24), transcript variant 1, mRNA [NM_001031677]
ZCWPW1	32782	ZCWPW1	1.075	0.791	0.729	0.094	zinc finger, CW type with PWWP domain 1 (ZCWPW1), mRNA [NM_017984]
AHNAK	35241	AHNAK	1.076	0.265	-0.023	0.543	AHNAK nucleoprotein (AHNAK), transcript variant 1, mRNA [NM_001620]
IL18	18555	IL18	1.079	-0.544	0.398	0.191	interleukin 18 (interferon-gamma-inducing factor) (IL18), mRNA [NM_001562]
CSTB	21494	CSTB	1.08	-0.151	-0.184	0.118	cystatin B (stefin B) (CSTB), mRNA [NM_000100]
ZFP36	2800	ZFP36	1.08	-0.34	-0.066	-0.027	zinc finger protein 36, C3H type, homolog (mouse) (ZFP36), mRNA [NM_003407]
	36933	XR_019146	1.081	-0.116	-0.458	0.256	PREDICTED: Homo sapiens similar to Keratin, type I cytoskeletal 18 (Cytokeratin-18) (CK-18) (Keratin-18) (K18) (LOC651439), mRNA [XR_019146]
ABAT	40292	ABAT	1.083	-0.285	0.354	0.067	4-aminobutyrate aminotransferase (ABAT), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA [NM_000663]
	39350	ENST00000313688	1.083	0.301	-0.716	0.579	Homo sapiens mRNA for FLJ00328 protein. [AK090420]
	2753	CD104030	1.083	0.985	1.531	0.773	AGENCOURT_14006900 NIH_MGC_186 Homo sapiens cDNA clone IMAGE:30372058 5, mRNA sequence [CD104030]
DOK7	33523	DOK7	1.084	-0.356	-0.218	-0.107	docking protein 7 (DOK7), mRNA [NM_173660]
CYB5R4	29843	CYB5R4	1.084	-0.298	-0.143	0.016	cytochrome b5 reductase 4 (CYB5R4), mRNA [NM_016230]
CANX	33557	CANX	1.085	-0.057	-0.016	-0.102	calnexin (CANX), transcript variant 1, mRNA [NM_001746]
	32721	THC2701341	1.086	0.073	0.47	0.176	DQ071571 spermatin {Rattus norvegicus} (exp=-1; wgp=0; cg=0), partial (19%) [THC2701341]
PXMP4	41528	PXMP4	1.086	-0.073	0.118	0.039	peroxisomal membrane protein 4, 24kDa (PXMP4), transcript variant 1, mRNA [NM_007238]
ACSS2	24389	ACSS2	1.087	-0.845	-0.584	0.254	acyl-CoA synthetase short-chain family member 2 (ACSS2), transcript variant 1, mRNA [NM_018677]
INPP1	13784	INPP1	1.088	0.086	-0.034	0.218	inositol polyphosphate-1-phosphatase (INPP1), mRNA [NM_002194]
SLC9A3R1	24510	SLC9A3R1	1.089	-0.289	-0.25	0.04	solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1 (SLC9A3R1), mRNA [NM_004252]
	44135	A_23_P21882	1.091	-0.168	-0.348	0.109	Unknown
NUCB2	6740	NUCB2	1.092	-0.058	0.856	0.172	Homo sapiens cDNA FLJ40079 fis, clone TESTI2001498, highly similar to DNA-BINDING PROTEIN NEFA PRECURSOR. [AK097398]
RIPK3	35766	RIPK3	1.092	0.529	0.864	0.526	receptor-interacting serine-threonine kinase 3 (RIPK3), mRNA [NM_006871]
PLEKHA6	32979	PLEKHA6	1.094	0.108	-0.12	0.006	pleckstrin homology domain containing, family A member 6 (PLEKHA6), mRNA [NM_014935]
MUC20	3624	MUC20	1.095	0.136	0.179	-0.121	mucin 20, cell surface associated (MUC20), transcript variant L, mRNA [NM_152673]
ADAMTS13	4470	ADAMTS13	1.095	0.242	0.394	0.38	ADAM metallopeptidase with thrombospondin type 1 motif, 13 (ADAMTS13), transcript variant 1, mRNA [NM_139025]
IL18	37419	IL18	1.096	-0.32	0.305	0.219	interleukin 18 (interferon-gamma-inducing factor) (IL18), mRNA [NM_001562]
	2778	XR_016695	1.096	-0.23	-0.464	0.247	PREDICTED: Homo sapiens similar to Keratin, type I cytoskeletal 18 (Cytokeratin-18) (CK-18) (Keratin-18) (K18) (LOC345430), mRNA [XR_016695]
	34105	LOC339483	1.098	0.62	0.84	0.086	Homo sapiens cDNA FLJ38790 fis, clone LIVER2002842. [AK096109]
TECPR1	10206	DKFZP434B0335	1.098	-0.076	0.468	0.203	DKFZP434B0335 protein (DKFZP434B0335), mRNA [NM_015395]
	10047	ENST00000301171	1.1	-0.631	-0.385	0.312	Human cytochrome P450 (CYP2A7PT) pseudogene mRNA, partial cds. [U22030]
BAIAP2L2	6267	BAIAP2L2	1.1	-0.073	-0.766	0.062	BAI1-associated protein 2-like 2 (BAIAP2L2), mRNA [NM_025045]
ASAP2	44560	DDEF2	1.101	-0.265	-0.094	0.108	development and differentiation enhancing factor 2 (DDEF2), mRNA [NM_003887]
RBM47	41676	RBM47	1.102	0.195	-0.204	-0.115	RNA binding motif protein 47 (RBM47), transcript variant 2, mRNA [NM_019027]
RNF103	5619	RNF103	1.102	0.286	0.462	0.104	ring finger protein 103 (RNF103), mRNA [NM_005667]
CYBB	35690	CYBB	1.102	0.335	0.168	0.05	cytochrome b-245, beta polypeptide (chronic granulomatous disease) (CYBB), mRNA [NM_000397]
	31187	AX721087	1.103	0.417	0.521	0.069	Sequence 47 from Patent WO0220754. [AX721087]
SPRED1	6660	SPRED1	1.103	-0.036	0.006	-0.074	sprouty-related, EVH1 domain containing 1 (SPRED1), mRNA [NM_152594]
FA2H	3007	FA2H	1.103	-0.119	0.404	-0.017	fatty acid 2-hydroxylase (FA2H), mRNA [NM_024306]
PANK3	26583	PANK3	1.104	-0.208	-0.502	-0.055	pantothenate kinase 3 (PANK3), mRNA [NM_024594]
ITPK1	1818	ITPK1	1.105	-0.24	-0.579	-0.057	Homo sapiens inositol 1,3,4-triphosphate 5/6 kinase, mRNA (cDNA clone MGC:2116 IMAGE:3010239), complete cds. [BC003622]
HHLA3	45121	HHLA3	1.106	0.104	0.453	--	HERV-H LTR-associating 3 (HHLA3), transcript variant 3, mRNA [NM_001036645]
