Probe set	Genbank	Gene Symbol	Nevi-Mean	Nevi-StdErr	Melanoma-Mean	Melanoma-StdErr	p-value	Description
218456_at	NM_023925	C1QDC1	27.9	4.24	30.32	3.7	1.68E-04	C1q domain containing 1
218781_at	NM_024624	SMC6L1	70.31	7.22	188.99	19.05	3.06E-05	SMC6 structural maintenance of chromosomes 6-like 1 (yeast)
218839_at	NM_012258	HEY1	52.98	11.18	242.16	37.53	1.52E-04	hairy/enhancer-of-split related with YRPW motif 1
218880_at	N36408	FOSL2	366.06	42.72	129.07	21.21	1.43E-04	FOS-like antigen 2
218988_at	NM_018656	SLC35E3	15.23	1.66	27.46	3.5	5.73E-05	solute carrier family 35, member E3
219006_at	NM_014165	C6orf66	36.06	4.71	53.26	5.21	9.97E-05	chromosome 6 open reading frame 66
219017_at	NM_018638	ETNK1	24.6	5.42	37.84	3.7	8.80E-05	ethanolamine kinase 1
219098_at	NM_014520	MYBBP1A	87.8	3.81	64.92	3.78	8.69E-06	MYB binding protein (P160) 1a
219142_at	NM_023940	RASL11B	181.76	19.8	31.2	6.52	1.28E-04	RAS-like, family 11, member B
219286_s_at	NM_022768	RBM15	83.96	12.98	158.47	17	1.57E-04	RNA binding motif protein 15
219340_s_at	AF123759	CLN8	533.35	53.07	299.63	46.93	2.37E-04	ceroid-lipofuscinosis, neuronal 8
219372_at	NM_014055	CDV1	27.26	4	97	13.95	1.02E-05	carnitine deficiency-associated, expressed in ventricle 1
219387_at	NM_017571	KIAA1212	74.63	17.14	265.88	28.57	1.58E-05	KIAA1212
219412_at	NM_022337	RAB38	48.02	5.03	151.84	15.99	1.14E-04	RAB38, member RAS oncogene family
219563_at	NM_024633	C14orf139	30.1	4.93	71.93	9.39	1.61E-04	chromosome 14 open reading frame 139
219636_s_at	NM_025139	ARMC9	21.15	3.98	107.45	18.37	8.85E-06	armadillo repeat containing 9
219918_s_at	NM_018123	ASPM	10.85	2.15	28.42	4.74	2.58E-04	asp (abnormal spindle)-like, microcephaly associated
219946_x_at	NM_024729	MYH14	179.53	16.48	48.83	5.3	2.47E-04	myosin, heavy polypeptide 14
220178_at	NM_021731	C19orf28	74.56	19.63	271.67	42.54	3.06E-05	chromosome 19 open reading frame 28
220245_at	NM_016180	SLC45A2	10.68	2.33	102.51	20.97	1.69E-07	solute carrier family 45, member 2
220578_at	NM_025008	TSRC1	41.54	4.98	12.41	1.31	5.26E-05	thrombospondin repeat containing 1
221031_s_at	NM_030817	DKFZP434F0318	10.33	1.14	92.93	30.52	1.37E-05	hypothetical protein DKFZp434F0318
221485_at	AL035683	B4GALT5	24.9	4.05	106.04	14.97	3.96E-06	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5
221523_s_at	AL138717	RRAGD	14.71	2.47	71.89	9.49	2.15E-04	Ras-related GTP binding D
221524_s_at	AF272036	RRAGD	26.17	5.14	110.07	13.24	1.90E-04	Ras-related GTP binding D
221652_s_at	AF274950	C12orf11	36.16	3.98	87.74	9.5	5.21E-05	chromosome 12 open reading frame 11
221667_s_at	AF133207	HSPB8	504.24	48.75	203.14	41.54	1.52E-04	heat shock 22kDa protein 8
221823_at	AL565741	LOC90355	16.33	1.61	68.86	11.29	1.64E-04	hypothetical gene supported by AF038182; BC009203
221868_at	AB032981	KIAA1155	27.92	2.37	9.96	0.89	1.90E-04	KIAA1155 protein
221951_at	AI739035	TMEM80	80.82	5.05	44.26	5.65	1.77E-05	transmembrane protein 80
222024_s_at	AK022014	AKAP13	228.18	16.28	101.45	11.3	1.71E-04	A kinase (PRKA) anchor protein 13
222146_s_at	AK026674	TCF4	127.46	13.33	33.59	7.28	1.80E-05	transcription factor 4
222153_at	AK023133	MYEF2	28.94	8.85	169.05	27.05	1.33E-05	myelin expression factor 2
222244_s_at	AK000749	TUG1	350.75	17.84	211.99	27.46	1.64E-04	taurine upregulated gene 1
222294_s_at	AW971415	EIF2C2	112.6	14.29	572.72	68.21	1.05E-06	Eukaryotic translation initiation factor 2C, 2
222297_x_at	AV738806	RPL18	52.29	1.66	40.59	1.55	9.57E-06	Ribosomal protein L18
222405_at	AL573951	HSPC121	22.34	1.6	47.21	5.16	2.25E-04	butyrate-induced transcript 1
222428_s_at	D84223	LARS	34.87	2.92	77.66	9.11	2.73E-04	leucyl-tRNA synthetase
222457_s_at	BC001247	EPLIN	479.98	39.42	1485.57	149.74	2.74E-05	epithelial protein lost in neoplasm beta
222486_s_at	AF060152	ADAMTS1	48.25	10.29	105.96	17.87	1.30E-04	ADAM metallopeptidase with thrombospondin type 1 motif, 1
222608_s_at	AK023208	ANLN	41.19	6.86	95.3	13.51	7.38E-05	anillin, actin binding protein (scraps homolog, Drosophila)
222670_s_at	AW135013	MAFB	515.62	38.29	174.75	24.23	2.46E-05	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B
222771_s_at	BF224052	MYEF2	74.48	19.55	385.78	41.89	1.12E-06	myelin expression factor 2
223065_s_at	BC003074	STARD3NL	15.04	1.86	44.28	6.07	1.07E-04	STARD3 N-terminal like
223072_s_at	U79457	WBP1	50.23	4	21.2	2.04	8.16E-05	WW domain binding protein 1
223094_s_at	AF274753	ANKH	57.26	7.28	24	3.5	2.63E-04	ankylosis, progressive homolog (mouse)
223101_s_at	BC000018	ARPC5L	71.59	5.06	42.3	6.44	1.27E-04	actin related protein 2/3 complex, subunit 5-like
223179_at	BC005009	YPEL3	200.72	20.63	87.08	17.22	7.67E-05	yippee-like 3 (Drosophila)
223181_at	BC000892	C18orf55	65.5	4.4	107.79	9.71	2.73E-04	chromosome 18 open reading frame 55
223253_at	BC000686	EPDR1	6.6	0.6	42.74	17.22	1.58E-05	ependymin related protein 1 (zebrafish)
223287_s_at	AF146696	FOXP1	224.8	19.66	38.59	7.48	4.54E-05	forkhead box P1
223461_at	AF151073	TBC1D7	196.84	26.53	322.54	43.75	1.56E-04	TBC1 domain family, member 7
223601_at	AF131839	OLFM2	103.96	8.11	28.82	3.27	6.64E-05	olfactomedin 2
224511_s_at	BC006405	TXNL5	155.38	12.56	224.97	22.34	2.35E-04	thioredoxin-like 5 ; thioredoxin-like 5
224575_at	BE868361	C3orf10	413.52	17.02	262	19.17	2.08E-04	chromosome 3 open reading frame 10
224576_at	AK000752	KIAA1181	84.81	16.07	91.7	13.63	7.28E-05	endoplasmic reticulum-golgi intermediate compartment 32 kDa protein
224609_at	AI264216	SLC44A2	140.46	13.66	47.17	7.93	1.15E-05	solute carrier family 44, member 2
224654_at	BG164358	DDX21	52.18	2.49	94.82	7.45	3.00E-05	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21
224691_at	BE622897	UHMK1	190.13	11.29	363.41	37.72	1.97E-04	U2AF homology motif (UHM) kinase 1
224776_at	BF513102	AGPAT6	315.46	19.6	781.97	76.89	4.05E-05	1-acylglycerol-3-phosphate O-acyltransferase 6
224833_at	BE218980	ETS1	69.09	12.14	356.37	31.79	1.54E-07	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)
224837_at	AW080845	FOXP1	289.75	19.05	74.55	9.89	8.69E-06	forkhead box P1
224838_at	AK026898	FOXP1	615.9	38.34	158.89	22.99	3.00E-05	forkhead box P1
224991_at	AI819630	CMIP	66.89	7.3	26.92	4.93	1.69E-07	c-Maf-inducing protein
225009_at	AA191708	CKLFSF4	61.28	6.94	19.62	1.52	1.08E-05	chemokine-like factor superfamily 4
225147_at	AL521959	PSCD3	326.07	34.89	1380.83	116.67	3.73E-07	pleckstrin homology, Sec7 and coiled-coil domains 3
225175_s_at	AI569503	SLC44A2	692.17	72.17	203.92	35.34	2.08E-04	solute carrier family 44, member 2
225202_at	BE620739	RHOBTB3	44.06	6.64	233.03	39.19	2.79E-04	Rho-related BTB domain containing 3
225395_s_at	AI309997	C9orf10OS	96.54	8.54	37.05	3.23	2.59E-04	chromosome 9 open reading frame 10 opposite strand
225415_at	AA577672	DTX3L	11.25	1.01	23.11	2.5	2.25E-04	deltex 3-like (Drosophila)
225425_s_at	AV726260	MRPL41	175.25	9.36	103.16	6.73	8.41E-05	mitochondrial ribosomal protein L41
225532_at	AI889160	CABLES1	133.9	13.68	422.07	48.88	2.54E-05	Cdk5 and Abl enzyme substrate 1
225581_s_at	BG028213	MRPL50	122.11	9.64	106.41	14.16	1.80E-04	mitochondrial ribosomal protein L50
225600_at	AW303300		28.93	8.29	38.58	6.73	1.50E-05	MRNA; cDNA DKFZp779L1068 (from clone DKFZp779L1068)
225622_at	AI860212	PAG1	60.1	6.57	167.83	15.08	7.38E-05	phosphoprotein associated with glycosphingolipid microdomains 1
225626_at	AK000680	PAG1	143.2	18.12	430.53	39.43	2.48E-04	phosphoprotein associated with glycosphingolipid microdomains 1
225673_at	BE908995	MYADM	98.93	9.75	236.71	32.65	1.23E-04	myeloid-associated differentiation marker
225685_at	AI801777	CDC42EP3	59.02	8.69	218.79	23.44	1.19E-04	CDC42 effector protein (Rho GTPase binding) 3
225817_at	AB051536	CGNL1	136.21	12.65	21.74	4.9	4.94E-05	cingulin-like 1
225842_at	AK026181		104.48	17.75	626.22	73.77	3.73E-07	CDNA clone IMAGE:5531727
225946_at	BG484552	RASSF8	11.13	1.39	63.2	9.78	1.59E-04	Ras association (RalGDS/AF-6) domain family 8
226034_at	BE222344		78.29	22.57	475.04	64.38	4.25E-05	Homo sapiens, clone IMAGE:3881549, mRNA
226054_at	AA702437	BRD4	2300.14	74.52	1285	79.52	6.58E-05	bromodomain containing 4
226206_at	BG231691	MAFK	197.62	12.91	78.79	9.16	1.71E-04	v-maf musculoaponeurotic fibrosarcoma oncogene homolog K
226262_at	AA534526	DHX33	55.24	8.31	95.33	10.86	1.01E-04	DEAH (Asp-Glu-Ala-His) box polypeptide 33
226301_at	AV729072	C6orf192	19.27	1.83	88.7	11.38	2.11E-05	chromosome 6 open reading frame 192
226419_s_at	AA046439	SFRS1	133.25	15.63	302.36	35.06	2.10E-04	Splicing factor, arginine/serine-rich 1
226423_at	AW006774	PAQR8	11.58	1.37	26.83	2.9	7.59E-06	progestin and adipoQ receptor family member VIII
226463_at	AW241758	ATP6V1C1	16.92	1.25	42.78	4.87	8.78E-05	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C, isoform 1
226641_at	AU157224	LOC91526	50.64	6.72	277.3	40.55	1.37E-05	Ankyrin repeat domain 44
226711_at	BF590117	HTLF	48.34	5.36	194.5	23.84	1.37E-05	human T-cell leukemia virus enhancer factor
226893_at	AW173164	ABL2	152.56	21.08	537.96	80.75	3.41E-05	V-abl Abelson murine leukemia viral oncogene homolog 2
226899_at	AK022859	UNC5B	390.64	46.03	45.28	8.59	2.21E-04	unc-5 homolog B (C. elegans)
226965_at	BF438017	FLJ34969	95.48	6.79	178.92	17.28	2.18E-04	hypothetical protein FLJ34969
226988_s_at	AI709055	MYH14	213.54	20.26	49.93	7.61	5.38E-05	myosin, heavy polypeptide 14
227080_at	AW003092	ZNF697	74.53	12.92	227.78	38.44	1.65E-05	zinc finger protein 697
227098_at	BC004110	DUSP18	62.83	6.01	17.13	1.5	2.36E-04	dual specificity phosphatase 18
227099_s_at	AW276078	LOC387763	68.25	8.37	540.61	80.01	4.39E-06	hypothetical LOC387763
227239_at	AV734839	DRCTNNB1A	14.87	1.94	84.2	12.07	3.50E-05	down-regulated by Ctnnb1, a
227354_at	BF589359	PAG1	12.13	1.38	39.47	5.02	1.90E-04	phosphoprotein associated with glycosphingolipid microdomains 1
227396_at	AI631833		67.81	14.47	290.83	30.2	1.60E-04	Homo sapiens, clone IMAGE:4454331, mRNA
227698_s_at	AW007215	RAB40C	276.42	37.98	95.36	15.03	2.56E-04	RAB40C, member RAS oncogene family
227761_at	AW235548	MYO5A	161.67	18.59	557.29	46.43	2.51E-06	myosin VA (heavy polypeptide 12, myoxin)
227870_at	AB046848	NOPE	11.97	3.66	97.66	18.94	1.80E-07	likely ortholog of mouse neighbor of Punc E11
227950_at	AI829920	UBE2H	159.03	19.53	67.95	14.72	2.35E-04	Ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast)
227994_x_at	AA548838	C20orf149	469.01	42.41	226.11	18.39	4.99E-06	chromosome 20 open reading frame 149
228016_s_at	AI858055		57.14	4.64	33.12	5.08	1.04E-04	Hypothetical LOC400843
228095_at	AA608749	PHF14	84.34	7.27	148.91	17.58	2.10E-04	PHD finger protein 14
228135_at	AA738437	C1orf52	195.56	9.92	295.34	22.42	2.15E-04	chromosome 1 open reading frame 52
228156_at	AW342078		53.52	4.05	33.38	6.11	5.60E-05	Homo sapiens, clone IMAGE:4346533, mRNA
228245_s_at	AW594320	OVOS2	150.97	31.8	1313.58	132.36	1.39E-07	ovostatin 2
228415_at	AA205444	AP1S2	43.1	3.4	151.11	31.93	3.56E-05	Adaptor-related protein complex 1, sigma 2 subunit
228428_at	AA521285	EEIG1	107.66	7.48	56.57	5.29	5.09E-05	Chromosome 9 open reading frame 132
228496_s_at	AW243081	CRIM1	874.6	67.63	166.61	37.66	1.60E-04	Cysteine rich transmembrane BMP regulator 1 (chordin-like)
228519_x_at	AW027567	CIRBP	380.4	21.4	199.75	6.95	9.97E-05	cold inducible RNA binding protein
228768_at	N51056	KIAA1961	99.91	6.71	206.72	19.39	9.29E-05	KIAA1961 gene
228919_at	AA601031	CDC2L2	748.95	65.62	137.24	36.01	1.39E-06	cell division cycle 2-like 1 (PITSLRE proteins)
228942_s_at	BE858624	DAB2IP	261.72	33.8	75.93	13.22	2.11E-05	DAB2 interacting protein
229017_s_at	N31717	RIPK5	351.33	39.75	1013.37	108.6	1.08E-04	receptor interacting protein kinase 5
229143_at	AW449353	CNOT3	41.67	4.41	24.39	3.47	2.59E-04	CCR4-NOT transcription complex, subunit 3
229574_at	AI268231	TRA2A	372.34	23.3	180.71	16.9	8.48E-06	Transformer-2 alpha
229713_at	AW665227		34.86	4.38	132.91	17.72	4.82E-05	CDNA FLJ13267 fis, clone OVARC1000964
229797_at	AI636080	MCOLN3	72.67	22.01	413.99	61.13	1.33E-04	mucolipin 3
229800_at	AI129626	DCAMKL1	28.9	7.65	186.67	37.51	2.70E-04	Doublecortin and CaM kinase-like 1
230207_s_at	AI692645	DOCK5	25.94	3.6	90.34	14.7	4.31E-05	Dedicator of cytokinesis 5
230263_s_at	BF447954	DOCK5	23.83	3.31	94.66	15.17	9.97E-05	dedicator of cytokinesis 5
230264_s_at	AA551090	AP1S2	51.03	9.27	273.57	39.49	1.36E-05	adaptor-related protein complex 1, sigma 2 subunit
230333_at	BE326919	SAT	89.72	24.78	441.83	54.96	1.67E-06	Spermidine/spermine N1-acetyltransferase
230413_s_at	AA480858	AP1S2	23.9	4.3	128.14	17.8	1.01E-04	Adaptor-related protein complex 1, sigma 2 subunit
230513_at	AW104426	BAT3	44.59	5.55	19.82	1.71	7.87E-05	HLA-B associated transcript 3
230741_at	AI655467		62.21	7.76	325.64	64.57	3.17E-05	CDNA FLJ41454 fis, clone BRSTN2011597
230748_at	AI873273	SLC16A6	94.03	15.53	393.71	51.36	1.63E-04	solute carrier family 16, member 6
230801_at	AW300917	C20orf77	33.82	2.69	24.41	1.06	1.68E-04	Chromosome 20 open reading frame 77
231643_s_at	BE045541	CMIP	224.52	18	106.78	16	7.28E-05	C-Maf-inducing protein
231666_at	AA194168	PAX3	18.22	4.09	109.75	14.16	2.79E-05	paired box gene 3 (Waardenburg syndrome 1)
231778_at	AI769274	DLX3	231.62	39.07	37.5	8.66	2.73E-04	distal-less homeo box 3
231944_at	AL045717	ERO1LB	30.68	4.73	61.97	6.43	1.11E-04	ERO1-like beta (S. cerevisiae)
232382_s_at	BE150929	PCMTD1	601.17	26.6	400.3	24.46	3.50E-05	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
232425_at	AK026814	SNX25	66.37	10.68	148.38	23.73	2.87E-04	sorting nexin 25
232504_at	AL389942	LOC285628	27	6.53	279.3	35.89	1.12E-06	hypothetical protein LOC285628
232676_x_at	AK002075	MYEF2	86.79	23.46	511.49	51.04	1.69E-07	myelin expression factor 2
232926_x_at	AL041075	ANKRD19	863.9	37.67	602.67	31.71	8.47E-05	ankyrin repeat domain 19
232977_x_at	BC004396	MYH14	228.5	24.26	47.17	6.82	1.10E-04	myosin, heavy polypeptide 14
233540_s_at	AK025867	CDK5RAP2	85.34	9.34	141.89	14.9	1.74E-04	CDK5 regulatory subunit associated protein 2
233571_x_at	AL121829	C20orf149	438.81	34.2	250.32	19.63	2.11E-05	chromosome 20 open reading frame 149
233882_s_at	AK022831	SEMA6D	33.5	8.39	215.75	43.1	3.05E-07	sema domain, 6D
234290_x_at	BC000676	MYH14	242.41	39.15	42.57	6.77	6.64E-05	myosin, heavy polypeptide 14
234339_s_at	AF296124	GLTSCR2	228.87	19.05	75.92	6.46	2.73E-04	glioma tumor suppressor candidate region gene 2
234607_at	AK025002	ARRDC1	80.06	4	58.45	3.03	2.29E-04	Arrestin domain containing 1
235020_at	AI366784	TAF4B	17.1	2.3	42.74	5.13	2.08E-05	TAF4b RNA polymerase II, TBP-associated factor
235130_at	AV703394	PANK2	23.66	1.34	34.59	2.53	2.61E-04	Pantothenate kinase 2 (Hallervorden-Spatz syndrome)
235605_at	AI283046		182.52	10.49	71.79	5.72	1.72E-05	Similar to cDNA sequence BC035954
235709_at	H37811	GAS2L3	8.73	1.04	33.26	5.39	1.90E-04	growth arrest-specific 2 like 3
235766_x_at	AA743462	EIF2C2	56.08	7.54	245.79	29.81	1.35E-04	Eukaryotic translation initiation factor 2C, 2
236972_at	AI351421	TRIM63	25.06	6.13	333.43	43.79	6.75E-10	tripartite motif-containing 63
237069_s_at	AI277662	TRPM1	32.79	11.55	226.92	27	3.73E-07	transient receptor potential cation channel, subfamily M, member 1
237070_at	AI277662	TRPM1	54.37	11.39	688.96	87.21	8.58E-09	transient receptor potential cation channel, subfamily M, member 1
237464_at	AI241501	IMAA	22.08	3.47	52.34	6.97	5.52E-06	LAT1-3TM protein 2
237737_at	AI359676	LOC375010	13.82	1.46	73.33	9.36	2.90E-05	hypothetical LOC375010 ; hypothetical LOC401131
238756_at	AI860012	GAS2L3	15.69	3.41	105.33	14.87	2.53E-05	Growth arrest-specific 2 like 3
239197_s_at	BG470312	EZH1	142.21	9.53	68.17	9.3	1.11E-04	enhancer of zeste homolog 1 (Drosophila)
239606_at	AA669135	GCNT2	16.42	2.1	91.05	12.75	2.11E-05	Glucosaminyl (N-acetyl) transferase 2, I-branching enzyme
241129_at	AA059398	ALS2CR2	20.77	4.38	67.25	10.8	1.62E-04	Amyotrophic lateral sclerosis 2 chromosome region, candidate 2
241180_at	AV660057	THRAP1	41.31	5.83	52.8	6.25	2.73E-04	Thyroid hormone receptor associated protein 1
241435_at	AA702930	ETS1	25.98	4.19	125.37	17.35	2.10E-05	V-ets erythroblastosis virus E26 oncogene homolog 1 (avian)
241898_at	AA991267		126.58	10.41	42.18	4.54	2.30E-07	similar to KIAA0825 protein
241957_x_at	AI686521	LIN7B	39.76	3.19	14.43	1.66	1.13E-04	lin-7 homolog B (C. elegans)
242038_at	BG037106	LRRC8B	291.69	32.48	86.83	13.46	1.90E-04	leucine rich repeat containing 8 family, member B
242049_s_at	BE783098	NAG	186.09	12.27	109.74	14.76	2.14E-05	neuroblastoma-amplified protein
242321_at	AI628689		85.37	8.05	28.47	4.69	1.15E-04	CDNA FLJ32401 fis, clone SKMUS2000339
243720_at	AA039576	CMIP	193.37	17.58	88.88	11.84	2.46E-05	C-Maf-inducing protein
244235_at	AW273860	IVNS1ABP	23.72	1.56	73.83	7.69	1.79E-04	influenza virus NS1A binding protein
244358_at	AW372457		61.75	7.48	15.43	2.28	7.22E-05	cdna:Genscan chromosome:GRCh37:6:108943859:108944134:1
244829_at	N44676	MGC40222	23.68	9.23	376.13	45.89	4.60E-11	Hypothetical protein MGC40222
244845_at	BF725383		220.62	19.06	35.67	4.82	1.52E-04	CDNA FLJ45435 fis, clone BRHIP3042817
32259_at	AB002386	EZH1	73.09	6.39	32.57	3.26	7.09E-05	enhancer of zeste homolog 1 (Drosophila)
44783_s_at	R61374	HEY1	222.06	36.4	1154.01	152.39	1.49E-04	hairy/enhancer-of-split related with YRPW motif 1
45653_at	AW026481	KCTD13	32.32	1.83	24.55	1.81	2.38E-04	potassium channel tetramerisation domain containing 13
54037_at	AL041451	HPS4	104.45	6.15	213.68	18.08	6.30E-05	Hermansky-Pudlak syndrome 4
