Description	GenBank	ln(ratio)	s.d.
ESTs	AA875665	0.74	0.18
ESTs, similar to human hypothetical protein DKFZp434H0413.1	AA819484	0.74	0.13
ESTs	AA899858	0.75	0.32
ESTs	AI454097	0.75	0.23
ESTs, similar to rat protein phosphatase 1, regulatory subunit 3D	AI710557	0.76	0.23
ATP citrate lyase	AA859689	0.77	0.24
thioredoxin-like 2	AA955851	0.77	0.29
ESTs, similar to mouse histone H3.3	AA899072	0.77	0.12
ESTs, similar to mouse craniofacial development protein 1	AA963726	0.77	0.22
ESTs, Highly similar to mouse collagen alpha 1(IV) chain precursor	AA964281	0.77	0.19
ESTs, similar to mouse actin-related protein 2 homolog	AA875408	0.77	0.12
Amyloid protein precursor-like protein 2	AA956606	0.77	0.33
EST	AA964786	0.78	0.08
Histone H1-0	AA874802	0.8	0.3
Proliferating cell nuclear antigen	AA858643	0.8	0.17
beclin 1 (coiled-coil, myosin-like BCL2-interacting protein)	AA957071	0.8	0.2
ESTs	AA955908	0.8	0.35
ESTs	AA925389	0.8	0.22
ESTs	AI069971	0.81	0.3
Cyclin B1	AA998164	0.82	0.19
Lysosomal associated membrane protein 1 (120 kDa)	AA956755	0.84	0.17
cell division cycle 42 homolog (S. cerevisiae)	AA925473	0.84	0.21
ESTs	AI058497	0.85	0.19
ESTs, similar to mouse RIKEN cDNA	AA899075	0.85	0.28
peroxiredoxin 6	AA859664	0.86	0.24
ESTs, similar to rat retinoic acid receptor RXR-alpha	AA925720	0.86	0.4
ESTs, similar to mouse transmembrane 4 superfamily, member 1	AA875336	0.87	0.37
RAB2, member RAS oncogene family	AA899406	0.88	0.32
RAB7, member RAS oncogene family	AA818669	0.89	0.28
ESTs	AA901247	0.89	0.34
ESTs, similar to rat destrin	AI113089	0.89	0.18
ESTs, similar to mouse splicing factor, arginine/serine-rich 2	AA819369	0.9	0.18
ESTs, similar to human hypothetical protein CL25022	AA875118	0.9	0.28
ESTs	AI454402	0.91	0.4
ESTs	AA925732	0.91	0.2
ESTs, similar to mouse eukaryotic translation initiation factor 4B	AA997766	0.92	0.12
synaptic vesicle glycoprotein 2 b	AA858626	0.93	0.3
ESTs	AA858847	0.93	0.13
ESTs, similar to rat mRNA for High Mobility Group Protein I (Y), 3 UTR	AA866475	0.96	0.47
ESTs	AA955471	0.97	0.4
ESTs	AA900337	0.97	0.4
EST	AA817995	0.98	0.29
glucose regulated protein, 58 kDa	AA819818	0.99	0.3
PCTAIRE-1 protein kinase, alternatively spliced	AA956259	1	0.21
ESTs, similar to human hypothetical protein KIAA0144	AA860037	1	0.23
ESTs	AA955912	1.01	0.31
EST	AA997666	1.03	0.39
ESTs	AA955163	1.03	0.44
ESTs	AA957288	1.04	0.1
ESTs, similar to human hypothetical protein KIAA0697	AA818652	1.05	0.18
EST	AA925295	1.07	0.4
ESTs, similar to mouse thrombospondin 1	AI029170	1.08	0.13
ESTs	AA819009	1.08	0.15
ESTs	AA956111	1.11	0.4
ESTs, similar to rat corticosteroid-binding globulin precursor	AA858744	1.12	0.15
4-aminobutyrate aminotransferase	AA996705	1.13	0.24
ESTs, similar to mouse proline rich protein expressed in brain	AA875439	1.15	0.19
upregulated by 1,25-dihydroxyvitamin D-3	AA858495	1.16	0.55
Uncoupling protein 2, mitochondrial	AA998366	1.21	0.39
alpha-tubulin	AI713807	1.26	0.24
ESTs	AA955406	1.26	0.39
ESTs	AA859119	1.41	0.08
Aldolase A, fructose-bisphosphate	AA924326	1.49	0.53
ADP-ribosylation factor 4	AI454367	1.56	0.27
polypyrimidine tract binding protein	AA900117	1.61	0.15
Rattus norvegicus CDK110 mRNA	AA858640	1.65	0.28
	AI713595	1.71	0.2
ESTs	AA899937	1.79	0.45
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	AA965154	2.13	0.34
