GB acc#	Unigene ID	Ratio matrix vs. control	Name
W99081	Mm.30248	1.332283	Mus musculus, clone IMAGE:3589087, mRNA, partial cds
W97158	Mm.22482	2.754102	Mus musculus, clone IMAGE:3590081, mRNA, partial cds
W59516	Mm.22440	1.477873	Mus musculus, clone IMAGE:3669867, mRNA, partial cds
AA212320	Mm.4086	0.636509	Mus musculus, clone IMAGE:4507176, mRNA
AA271106	Mm.28810	0.731273	Mus musculus, clone IMAGE:4924122, mRNA
AA008573	Mm.4065	1.354892	Mus musculus, clone IMAGE:5009979, mRNA, partial cds
W08616	Mm.17569	1.484747	Mus musculus, clone IMAGE:5011849, mRNA
AA250640	Mm.10160	1.464411	Mus musculus, clone IMAGE:5037053, mRNA, partial cds
AA288550	Mm.10160	1.444757	Mus musculus, clone IMAGE:5037053, mRNA, partial cds
AA222536	Mm.27261	1.450061	Mus musculus, clone IMAGE:5367262, mRNA
AA270185	Mm.46727	0.736823	Mus musculus, clone IMAGE:5401755, mRNA, partial cds
AA200176	Mm.28184	1.332812	Mus musculus, clone MGC:31718 IMAGE:4920207, mRNA, complete cds
W34927	Mm.27127	1.354096	Mus musculus, clone MGC:36831 IMAGE:4161391, mRNA, complete cds
AA119581	Mm.27047	1.460914	Mus musculus, clone MGC:37981 IMAGE:5137303, mRNA, complete cds
AA048171	Mm.22226	0.718426	Mus musculus, clone MGC:7054 IMAGE:3156506, mRNA, complete cds
AA174517	Mm.385	1.525824	Mus musculus, Similar to Bcl-2-associated transcription factor, clone MGC:30519 IMAGE:4507876, mRNA, complete cds
AA217603	Mm.30023	1.404084	Mus musculus, Similar to chromosome 4 open reading frame 1, clone IMAGE:4974851, mRNA, partial cds
AA277700	Mm.27907	1.343776	Mus musculus, Similar to dihydropyrimidine dehydrogenase, clone MGC:37940 IMAGE:5126155, mRNA, complete cds
AA199196	Mm.28649	0.72868	Mus musculus, Similar to DKFZP586H2123 protein, clone MGC:30636 IMAGE:3675412, mRNA, complete cds
W97311	Mm.89695	1.452815	Mus musculus, Similar to hypothetical protein FLJ22341, clone IMAGE:4947496, mRNA, partial cds
AA163456	Mm.27223	1.534651	Mus musculus, similar to hypothetical protein SBBI57, clone IMAGE:5367050, mRNA, partial cds
AA537342	Mm.38877	0.767659	Mus musculus, similar to LD47277p, clone MGC:40684 IMAGE:3661112, mRNA, complete cds
W65797	Mm.40304	1.358024	Mus musculus, Similar to protein phosphatase 2, regulatory subunit B (B56), beta isoform, clone IMAGE:5007577, mRNA, partial cds
AA008424	Mm.103456	1.615088	Mus musculus, Similar to RIKEN cDNA 2010003O02 gene, clone MGC:6786 IMAGE:2646597, mRNA, complete cds
W97254		1.369301	Mus musculus, Similar to RIKEN cDNA 2010003O02 gene, clone MGC:6786 IMAGE:2646597, mRNA, complete cds
AA467287	Mm.23595	1.579153	Mus musculus, Similar to tumor protein p53 binding protein, 2, clone IMAGE:4488002, mRNA, partial cds
AA396114	Mm.22261	1.557547	neuroepithelial cell transforming gene 1
AA014511	Mm.46539	0.751302	Notch-regulated ankyrin repeat protein
AA066208	Mm.27972	1.463941	NS1-associated protein 1-like
AA014819	Mm.23905	0.466587	platelet factor 4
AA049699	Mm.3063	0.653641	pleiotrophin
AA286018	Mm.7138	2.127892	pleiotropic regulator 1, PRL1 homolog (Arabidopsis)
AA052404	Mm.21149	1.354359	postsynaptic protein Cript
AA153907	Mm.46016	0.694245	procollagen C-endopeptidase enhancer 2
W64075	Mm.28797	1.592295	proline rich protein expressed in brain
AA087650	Mm.10433	1.564779	proline synthetase co-transcribed
AA543106	Mm.88704	0.459359	protein phosphatase 1, regulatory (inhibitor) subunit 7
AA254552	Mm.27529	0.727585	protein regulator of cytokinesis 1-like
AA220507	Mm.103382	1.697822	PTPRF interacting protein, binding protein 1 (liprin beta 1)
AA024100	Mm.4479	0.752691	RalBP1 associated Eps domain containing protein
AA544904	Mm.41265	1.951844	Ras association (RalGDS/AF-6) domain family 3
AA275673	Mm.29735	0.615286	RIKEN cDNA 0610006H10 gene
AA003083	Mm.140661	0.756558	RIKEN cDNA 0610007N19 gene
AA274840	Mm.24153	1.401576	RIKEN cDNA 0610009A07 gene
AA064247	Mm.41792	1.931007	RIKEN cDNA 0610011B16 gene
AA139826	Mm.88478	0.634286	RIKEN cDNA 0610012D14 gene
W36670	Mm.29998	1.500933	RIKEN cDNA 0610039C21 gene
AA237922	Mm.38143	1.608357	RIKEN cDNA 0610040J01 gene
AA122658	Mm.24365	1.744804	RIKEN cDNA 0610042A05 gene
AA387817	Mm.45160	1.349808	RIKEN cDNA 0710001D07 gene
AA068575	Mm.30158	0.598834	RIKEN cDNA 0710001O03 gene
AA240403	Mm.89922	0.614009	RIKEN cDNA 1010001D01 gene
AA413296	Mm.25013	0.706853	RIKEN cDNA 1110002C08 gene
AA048837	Mm.18921	0.59874	RIKEN cDNA 1110004C05 gene
W18851	Mm.28671	1.615116	RIKEN cDNA 1110004O12 gene
AA250720	Mm.175282	0.717677	RIKEN cDNA 1110005A03 gene
AA239742	Mm.42949	1.482657	RIKEN cDNA 1110012O05 gene
W10632	Mm.2240	0.634034	RIKEN cDNA 1110013B16 gene
AA274849	Mm.28053	1.393089	RIKEN cDNA 1110017C15 gene
W96916	Mm.22284	1.347813	RIKEN cDNA 1110023P21 gene
AA003823	Mm.41665	1.69884	RIKEN cDNA 1110025J15 gene
AA273669	Mm.41665	1.640024	RIKEN cDNA 1110025J15 gene
AA276180	Mm.12258	0.745101	RIKEN cDNA 1110030J09 gene
AA080385	Mm.27046	1.505193	RIKEN cDNA 1110061A24 gene
AA472325	Mm.20843	1.405167	RIKEN cDNA 1190006K01 gene
AA272115	Mm.29750	1.417052	RIKEN cDNA 1200015A19 gene
AA052165	Mm.45951	1.43095	RIKEN cDNA 1200016B17 gene
W10134	Mm.29571	1.614846	RIKEN cDNA 1200017E04 gene
W70708	Mm.29571	1.544057	RIKEN cDNA 1200017E04 gene
AA125011	Mm.1183	0.67119	RIKEN cDNA 1300004C08 gene
AA170444	Mm.1183	0.61617	RIKEN cDNA 1300004C08 gene
AA272501	Mm.30130	2.216494	RIKEN cDNA 1300007J06 gene
AA199345	Mm.24197	1.319939	RIKEN cDNA 1300011P19 gene
W82923	Mm.30022	2.871973	RIKEN cDNA 1300013F15 gene
W36995	Mm.22218	1.344712	RIKEN cDNA 1300013N08 gene
AA105830	Mm.27289	1.481526	RIKEN cDNA 1600023A02 gene
AA142584	Mm.27196	1.501331	RIKEN cDNA 1700029F09 gene
AA183749	Mm.25311	1.783079	RIKEN cDNA 1810015C04 gene
AA212204	Mm.25311	1.688381	RIKEN cDNA 1810015C04 gene
W09957	Mm.25311	1.906091	RIKEN cDNA 1810015C04 gene
AA154527	Mm.28468	1.357029	RIKEN cDNA 1810015L19 gene
AA463077	Mm.4002	0.724654	RIKEN cDNA 1810015P09 gene
AA244536	Mm.27646	0.50819	RIKEN cDNA 1810018P12 gene
AA275957	Mm.26248	0.701477	RIKEN cDNA 1810019J16 gene
W11916	Mm.12539	1.464274	RIKEN cDNA 2010003I05 gene
W54448	Mm.1103	1.492597	RIKEN cDNA 2010003O02 gene
W97572	Mm.38611	1.413643	RIKEN cDNA 2210021A15 gene
AA030366	Mm.49407	0.694871	RIKEN cDNA 2210415K03 gene
AA473289	Mm.181271	0.684117	RIKEN cDNA 2210415K03 gene
W29797	Mm.26599	1.538143	RIKEN cDNA 2310001A20 gene
W11926	Mm.30060	1.701619	RIKEN cDNA 2310008N12 gene
W08989	Mm.64672	0.547972	RIKEN cDNA 2310015B20 gene
AA475902	Mm.28108	0.643539	RIKEN cDNA 2310016A09 gene
AA465936	Mm.1605	1.527759	RIKEN cDNA 2310061B02 gene
AA059812	Mm.23168	0.731852	RIKEN cDNA 2310067B10 gene
AA185346	Mm.45975	1.707675	RIKEN cDNA 2310076K21 gene
AA097901	Mm.20246	1.494892	RIKEN cDNA 2410004D18 gene
AA423218	Mm.20246	1.484239	RIKEN cDNA 2410004D18 gene
AA048602	Mm.29898	0.720823	RIKEN cDNA 2410015N17 gene
AA396360	Mm.25558	1.351102	RIKEN cDNA 2410018J24 gene
AA174776	Mm.29063	0.693257	RIKEN cDNA 2410022L05 gene
W09723	Mm.28421	1.413242	RIKEN cDNA 2410071B14 gene
W09867	Mm.28694	0.644822	RIKEN cDNA 2410088K19 gene
AA270019	Mm.21428	1.796795	RIKEN cDNA 2410091N08 gene
AA052083	Mm.87283	1.417467	RIKEN cDNA 2410127E18 gene
AA153078	Mm.71218	1.389444	RIKEN cDNA 2410131K14 gene
AA473165	Mm.9495	0.747803	RIKEN cDNA 2500002L14 gene
W82005	Mm.29087	1.491783	RIKEN cDNA 2510009N07 gene
AA000322	Mm.20155	0.733643	RIKEN cDNA 2610016A03 gene
AA125004	Mm.45052	1.35072	RIKEN cDNA 2610507B11 gene
AA186138	Mm.6355	1.620182	RIKEN cDNA 2700059D21 gene
W66779		1.329421	RIKEN cDNA 2700063G02 gene
W14353	Mm.27811	0.750912	RIKEN cDNA 2810002E22 gene
AA027683	Mm.86560	0.765671	RIKEN cDNA 2810002N01 gene
W57234	Mm.41515	1.30389	RIKEN cDNA 2810013P06 gene
W53544	Mm.36541	1.890206	RIKEN cDNA 2810017I02 gene
AA432967	Mm.26765	1.347949	RIKEN cDNA 2810021O14 gene
W48262	Mm.21912	1.385343	RIKEN cDNA 2810425J22 gene
AA277718	Mm.28064	1.640274	RIKEN cDNA 2810441M03 gene
AA388682	Mm.102470	1.578708	RIKEN cDNA 3021401C12 gene
AA175786	Mm.117055	1.573694	RIKEN cDNA 3110020O18 gene
AA413764	Mm.117055	1.636143	RIKEN cDNA 3110020O18 gene
AA290107	Mm.29429	1.720567	RIKEN cDNA 3110038L01 gene
W98949	Mm.132711	1.857388	RIKEN cDNA 3110045G13 gene
AA122593	Mm.26160	1.670078	RIKEN cDNA 3200002M13 gene
AA415219	Mm.25119	1.35486	RIKEN cDNA 3230401D17 gene
W14275	Mm.34199	1.475761	RIKEN cDNA 3300001M20 gene
AA166336	Mm.29631	1.838876	RIKEN cDNA 3830408P06 gene
AA048412	Mm.23646	1.499125	RIKEN cDNA 4632413C14 gene
AA170574	Mm.46613	1.435055	RIKEN cDNA 4633401M22 gene
AA426739	Mm.21966	1.390685	RIKEN cDNA 4930421J07 gene
W59462	Mm.25748	1.428932	RIKEN cDNA 4930438M06 gene
AA467249	Mm.33759	1.465902	RIKEN cDNA 4930458D05 gene
AA277405	Mm.89561	1.508965	RIKEN cDNA 4930504E06 gene
AA185249		0.718301	RIKEN cDNA 4930513H15 gene
AA516913	Mm.24584	1.911927	RIKEN cDNA 4930579A11 gene
AA110934	Mm.30239	0.491994	RIKEN cDNA 4933419D20 gene
AA259797	Mm.46719	0.742164	RIKEN cDNA 4933432H23 gene
AA125359	Mm.26506	1.400167	RIKEN cDNA 4933433P14 gene
W54582	Mm.26506	1.755406	RIKEN cDNA 4933433P14 gene
W99118	Mm.17796	1.397103	RIKEN cDNA 5430433B02 gene
AA276746	Mm.40617	0.551425	RIKEN cDNA 5630400D21 gene
AA277184	Mm.25148	1.458572	RIKEN cDNA 5730403E06 gene
AA414106	Mm.27743	1.404765	RIKEN cDNA 5730454C12 gene
AA250079	Mm.56167	0.749363	RIKEN cDNA 5730497N19 gene
AA198345	Mm.34498	3.026864	RIKEN cDNA 5730512J02 gene
AA273262	Mm.74639	0.749168	RIKEN cDNA 5830408N17 gene
AA125185	Mm.35732	0.762674	RIKEN cDNA 5830411H19 gene
AA471737	Mm.46184	1.369628	RIKEN cDNA 5830415L20 gene
AA170607	Mm.10706	0.662136	RIKEN cDNA 5830458K16 gene
AA467030	Mm.27903	1.439645	RIKEN cDNA 6330407G11 gene
AA416078	Mm.27914	1.420672	RIKEN cDNA 6330416C07 gene
W46016	Mm.181833	2.021553	RIKEN cDNA 8430404F20 gene
AA388019	Mm.99916	0.644708	RIKEN cDNA 8430436O14 gene
W14581	Mm.29223	0.678389	RIKEN cDNA 9130020G10 gene
AA509729	Mm.24670	1.51913	RIKEN cDNA 9130410M22 gene
AA080332	Mm.27085	1.532227	RIKEN cDNA 9430025F20 gene
AA119478	Mm.23997	1.334426	RPB5-mediating protein
AA419788	Mm.6925	0.727341	SEC8 (S. cerevisiae)
AA048486	Mm.27643	0.642214	secreted modular calcium binding protein 1
AA272826	Mm.30162	0.631413	secreted modular calcium binding protein 2
AA002632	Mm.22584	1.435151	serine/threonine kinase receptor associated protein
AA276138	Mm.46829	1.397133	similar to erythrocyte protein band 4.1-like 4b; expressed in high-metastatic cells
W08512	Mm.46829	1.433607	similar to erythrocyte protein band 4.1-like 4b; expressed in high-metastatic cells
AA537291		0.543329	similar to Glycogen [starch] synthase, liver
AA546195	Mm.23998	1.355031	similar to high-glucose-regulated protein 8
AA286024	Mm.30147	1.537944	similar to hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit
AA435123	Mm.18460	0.721073	similar to hypothetical protein FLJ13984
W62202	Mm.21919	1.504148	similar to hypothetical protein FLJ20085
AA237469	Mm.29847	0.565554	similar to Isopentenyl-diphosphate delta-isomerase (IPP isomerase) (Isopentenyl pyrophosphate isomerase)
AA003149	Mm.30019	1.523271	similar to TAR DNA-binding protein-43 (TDP-43)
W14247	Mm.28800	0.637496	SMAF1
AA250312	Mm.826	1.422081	small GTPase Tc10
AA271510	Mm.826	1.416731	small GTPase Tc10
AA277366	Mm.30079	1.396506	SNF related kinase
AA245413	Mm.29666	1.875282	solute carrier family 25 (mitochondrial carnitine/acylcarnitine translocase), member 20
W54099	Mm.6805	1.602764	spinster-like protein
AA184909	Mm.87051	0.695536	thymocyte selection-associated HMG box gene
AA277652	Mm.24375	1.424818	tocopherol (alpha) transfer protein
W34482	Mm.22912	1.459307	torsin family 3, member A
AA175283	Mm.31533	1.45128	transducer of ERBB2, 2
W08451	Mm.31533	1.433326	transducer of ERBB2, 2
AA473123	Mm.28877	1.798389	UDP-glucose pyrophosphorylase 2
AA050058	Mm.104771	1.334829	vascular Rab-GAP/TBC-containing
AA423392		0.655917	villin-like protein
AA000678		0.724805
AA004065		0.757728
AA013818		0.723289
AA049906	Mm.133513	1.42367
AA050371		0.714766
AA052712	Mm.19121	2.010238
AA061397		1.349214
AA061508		0.421284
AA068537		1.45672
AA124508		1.655102
AA174447	Mm.18530	0.613631
AA213280	Mm.103321	1.548624
AA221246	Mm.29524	1.48764
AA245505	Mm.4132	0.655156
AA259979	Mm.8854	1.890932
AA276492	Mm.27054	1.466504
AA517043	Mm.21281	1.486671
AA537509	Mm.22183	1.56343
W84169	Mm.23078	0.616404
W97181		1.325565
W98958		1.331819
