Ensembl ID	External gene Id	Chr	Gene start (bp)	MYC-binding sites
ENSG00000200536	SNORA25	1	110815106	0
ENSG00000233245	RP5-1003J2.4	1	110825156	0
ENSG00000162775	RBM15	1	110876516	0
ENSG00000168679	SLC16A4	1	110905482	0
ENSG00000248310	AL355488.1	1	110911021	0
ENSG00000224699	RP11-225L12.2	1	110950147	0
ENSG00000143125	PROK1	1	110993822	0
ENSG00000240194	CYMP	1	111023374	0
ENSG00000235407	RP11-470L19.2	1	111030302	0
ENSG00000228023	AL358215.1	1	111031151	0
ENSG00000143105	KCNA10	1	111059839	0
ENSG00000177301	KCNA2	1	111136202	0
ENSG00000221538	AL365361.1	1	111195564	0
ENSG00000177272	KCNA3	1	111214310	0
ENSG00000199710	Y_RNA	1	111307030	0
ENSG00000237415	RP11-498A13.1	1	111390702	0
ENSG00000232791	OR11I1P	1	111396560	0
ENSG00000143119	CD53	1	111415722	0
ENSG00000232811	RP11-96K19.2	1	111486089	0
ENSG00000121931	C1orf103	1	111489812	0
ENSG00000225672	RP11-96K19.3	1	111550322	0
ENSG00000252760	5S_rRNA	1	111584456	0
ENSG00000134255	CEPT1	1	111682249	0
ENSG00000240630	RP11-165H20.3	1	111743393	0
ENSG00000064886	CHI3L2	1	111770232	0
ENSG00000236040	RP11-165H20.4	1	111792876	0
ENSG00000203878	RP11-165H20.1	1	111822681	0
ENSG00000134216	CHIA	1	111833484	0
ENSG00000229283	RP5-1125M8.2	1	111860222	0
ENSG00000232240	RP5-1125M8.3	1	111866455	0
ENSG00000173947	C1orf88	1	111888910	0
ENSG00000234020	RP5-1125M8.5	1	111895897	0
ENSG00000236012	RP5-1125M8.6	1	111922913	0
ENSG00000227179	RP5-1125M8.7	1	111925482	0
ENSG00000244562	AL356387.1	1	111930959	0
ENSG00000085465	OVGP1	1	111956936	0
ENSG00000233337	RP11-552M11.2	1	111980136	0
ENSG00000243960	RP11-552M11.4	1	111981260	0
ENSG00000199890	Y_RNA	1	111989420	0
ENSG00000116459	ATP5F1	1	111991486	0
ENSG00000143110	C1orf162	1	112016414	0
ENSG00000121933	ADORA3	1	112025970	0
ENSG00000200360	U6	1	112032939	0
ENSG00000116473	RAP1A	1	112084840	0
ENSG00000231346	RP5-836N10.1	1	112142277	0
ENSG00000215867	RP4-773A18.2	1	112190916	0
ENSG00000201028	U6	1	112193053	0
ENSG00000227811	RP4-773A18.4	1	112282463	0
ENSG00000228026	RP4-773A18.5	1	112287921	0
ENSG00000064703	DDX20	1	112298219	0
ENSG00000171385	KCND3	1	112313284	0
ENSG00000232558	RP5-1086I18.1	1	112396384	0
ENSG00000237556	RP11-99M15.1	1	112451958	0
ENSG00000240200	RP11-88H9.2	1	112532392	0
ENSG00000231437	RP11-88H9.1	1	112533158	0
ENSG00000231246	RP5-965F6.2	1	112719856	0
ENSG00000239111	snoU13	1	112738124	0
ENSG00000234388	RP5-965F6.1	1	112905903	0
ENSG00000238761	snoU13	1	112913626	0
ENSG00000143079	CTTNBP2NL	1	112938803	0
ENSG00000249913	RP4-671G15.2	1	112957339	0
ENSG00000248201	RP4-671G15.3	1	112999440	0
ENSG00000007341	ST7L	1	113066140	0
ENSG00000235299	RP11-72M14.1	1	113168552	0
ENSG00000252750	U7	1	113177341	0
ENSG00000238975	snoU13	1	113195210	0
ENSG00000155363	MOV10	1	113215763	0
ENSG00000225075	RP11-426L16.3	1	113236310	0
ENSG00000155366	RHOC	1	113243728	0
ENSG00000155367	PPM1J	1	113252616	0
ENSG00000184599	FAM19A3	1	113263041	0
ENSG00000234790	RP11-426L16.7	1	113290717	0
ENSG00000215866	RP11-426L16.8	1	113362792	0
ENSG00000224167	RP3-522D1.1	1	113392650	0
ENSG00000228040	RP3-522D1.2	1	113433389	0
ENSG00000155380	SLC16A1	1	113454469	0
ENSG00000229020	RP4-580L15.2	1	113466045	0
ENSG00000250717	AL390242.1	1	113504524	0
ENSG00000236066	RP11-389O22.1	1	113550876	0
ENSG00000238198	RP11-31F15.2	1	113554309	0
ENSG00000198799	LRIG2	1	113615831	0
ENSG00000237278	RP11-389O22.3	1	113668199	0
ENSG00000233839	RP11-389O22.4	1	113711616	0
ENSG00000236887	RP11-389O22.5	1	113741447	0
ENSG00000081026	MAGI3	1	113933371	0
ENSG00000232499	RP11-512F24.1	1	113992322	0
ENSG00000238256	RP11-473L1.1	1	114119379	0
ENSG00000116793	PHTF1	1	114239453	0
ENSG00000232450	RP4-730K3.3	1	114241506	0
ENSG00000081019	RSBN1	1	114304454	0
ENSG00000231128	RP5-1073O3.2	1	114355001	0
ENSG00000134242	PTPN22	1	114356433	0
ENSG00000226167	RP5-1073O3.5	1	114399257	0
ENSG00000188761	BCL2L15	1	114420790	0
ENSG00000134262	AP4B1	1	114437370	0
ENSG00000163349	HIPK1	1	114471814	0
ENSG00000116774	OLFML3	1	114522063	0
ENSG00000231634	RP4-590F24.2	1	114544055	0
ENSG00000134207	SYT6	1	114631914	0
ENSG00000232895	RP4-543J13.1	1	114749049	0
ENSG00000226984	RP4-591B8.2	1	115002556	0
ENSG00000225650	EIF2S2P5	1	115010937	0
ENSG00000201114	Y_RNA	1	115033346	0
ENSG00000236480	RP11-343L14.2	1	115078616	0
ENSG00000116752	BCAS2	1	115110178	0
ENSG00000175984	DENND2C	1	115125469	0
ENSG00000116748	AMPD1	1	115215722	0
ENSG00000242769	AL096773.1	1	115240248	0
ENSG00000201900	Y_RNA	1	115270341	0
ENSG00000227970	NR1H5P	1	115379848	0
ENSG00000198765	SYCP1	1	115397424	0
ENSG00000134200	TSHB	1	115572415	0
ENSG00000134198	TSPAN2	1	115590632	0
ENSG00000233730	RP4-666F24.3	1	115642293	0
ENSG00000228035	RP4-663N10.1	1	115825655	0
ENSG00000134259	NGF	1	115828539	0
ENSG00000226973	RP4-663N10.2	1	116014562	0
ENSG00000229101	TCEB1P20	1	116099447	0
ENSG00000232185	RP11-710N8.2	1	116107222	0
ENSG00000239984	AL592436.2	1	116149092	0
ENSG00000207502	SNORA42	1	116164493	0
ENSG00000173218	VANGL1	1	116184574	0
ENSG00000118729	CASQ2	1	116242628	0
ENSG00000177551	NHLH2	1	116378998	0
ENSG00000214204	RP11-485H8.2	1	116399585	0
ENSG00000228127	RP11-12L8.1	1	116461997	0
ENSG00000163393	SLC22A15	1	116519119	0
ENSG00000237993	RP11-159M11.2	1	116556434	0
ENSG00000173212	C1orf161	1	116654376	0
ENSG00000235933	RP5-1185H19.2	1	116706905	0
ENSG00000241538	AL831782.1	1	116769666	0
ENSG00000221040	U3	1	116821228	0
ENSG00000229895	RP4-655J12.3	1	116916755	0
ENSG00000203865	C1orf203	1	116941622	0
ENSG00000212385	U6	1	116956388	0
ENSG00000233154	RP4-655J12.4	1	116966346	0
ENSG00000230381	RP4-655J12.5	1	116971673	0
ENSG00000200547	Y_RNA	1	116995158	0
ENSG00000224950	RP5-1086K13.1	1	117035645	0
ENSG00000116815	CD58	1	117057157	0
ENSG00000177173	RP5-1086K13.3	1	117075558	0
ENSG00000143061	IGSF3	1	117117031	0
ENSG00000238532	AL355794.1	1	117134728	0
ENSG00000211543	hsa-mir-320b-1	1	117214371	0
ENSG00000203864	C1orf137	1	117236734	0
ENSG00000231072	RP4-686J16.2	1	117256455	0
ENSG00000223489	NEFHL	1	117282603	0
ENSG00000116824	CD2	1	117297007	0
ENSG00000225079	RP4-655N15.3	1	117317742	0
ENSG00000221425	AL157904.1	1	117447772	0
ENSG00000134247	PTGFRN	1	117452679	0
ENSG00000252510	5S_rRNA	1	117504969	0
ENSG00000134256	CD101	1	117544382	0
ENSG00000236137	RP11-27K13.3	1	117568104	0
ENSG00000215930	hsa-mir-942	1	117637265	0
ENSG00000134253	TRIM45	1	117653682	0
ENSG00000228453	RP11-229A19.3	1	117680851	0
ENSG00000134258	VTCN1	1	117686209	0
ENSG00000239702	AL365264.1	1	117785835	0
ENSG00000235202	RP11-39H13.1	1	117838142	0
ENSG00000226755	RP4-675C20.2	1	118092037	0
ENSG00000236866	AL157902.3	1	118139454	0
ENSG00000183508	FAM46C	1	118148556	0
ENSG00000213262	AL365331.2	1	118183434	0
ENSG00000212266	SNORA40	1	118231243	0
ENSG00000251057	AL390877.2	1	118320271	0
ENSG00000228217	AL390877.1	1	118320709	0
ENSG00000246170	AL122007.1	1	118406111	0
ENSG00000196505	GDAP2	1	118412037	0
ENSG00000155761	SPAG17	1	118496484	0
ENSG00000222209	5S_rRNA	1	118806995	0
ENSG00000241380	AL122006.1	1	118984307	0
ENSG00000226126	RP11-94F13.1	1	119156955	0
ENSG00000229911	RP4-630J13.1	1	119255622	0
ENSG00000092607	TBX15	1	119425666	0
ENSG00000226172	RP4-712E4.1	1	119542967	0
ENSG00000239216	RP4-712E4.2	1	119543241	0
ENSG00000224238	RP4-712E4.4	1	119590028	0
ENSG00000223575	RP4-610L12.2	1	119627531	0
ENSG00000236804	RP4-610L12.1	1	119669162	0
ENSG00000231365	RP11-418J17.1	1	119683019	0
ENSG00000227056	RP11-418J17.2	1	119761932	0
ENSG00000238679	snoU13	1	119801664	0
ENSG00000227712	RP11-418J17.3	1	119802888	0
ENSG00000232650	RP5-834N19.1	1	119870799	0
ENSG00000194297	U1	1	119874020	0
ENSG00000116882	HAO2	1	119911399	0
ENSG00000230921	RP5-834N19.2	1	119911569	0
ENSG00000249401	AL121995.1	1	119952263	0
ENSG00000203859	HSD3B2	1	119957673	0
ENSG00000232780	RP5-871G17.5	1	119977079	0
ENSG00000203858	RP5-871G17.3	1	119981624	0
ENSG00000235595	GAPDHP23	1	120004652	0
ENSG00000187481	RP5-871G17.4	1	120009844	0
ENSG00000229570	RP5-920G3.2	1	120038462	0
ENSG00000203857	HSD3B1	1	120049826	0
ENSG00000226443	GAPDHP32	1	120076372	0
ENSG00000240244	GAPDHP33	1	120076409	0
ENSG00000249798	RP5-920G3.3	1	120081132	0
ENSG00000239873	RP4-599G15.4	1	120101378	0
ENSG00000203855	RP4-599G15.1	1	120106689	0
ENSG00000242959	RP4-599G15.3	1	120143780	0
ENSG00000198857	RP4-599G15.5	1	120143963	0
ENSG00000241139	AL109966.1	1	120147857	0
ENSG00000143067	ZNF697	1	120162000	0
ENSG00000134240	HMGCS2	1	120290619	0
ENSG00000134193	REG4	1	120336641	0
ENSG00000215864	NBPF7	1	120377388	0
ENSG00000247433	AL359752.1	1	120390862	0
ENSG00000227205	RP5-1042I8.3	1	120395939	0
ENSG00000226446	RP5-1042I8.6	1	120428927	0
ENSG00000134249	ADAM30	1	120436156	0
ENSG00000134250	NOTCH2	1	120454176	0
ENSG00000242604	AL512503.1	1	120543874	0
ENSG00000207149	U6	1	120669562	0
ENSG00000236933	RP11-439A17.7	1	120835810	0
ENSG00000188610	FAM72B	1	120837272	0
ENSG00000227193	RP11-439A17.4	1	120876263	0
ENSG00000228654	RP11-439A17.5	1	120880883	0
ENSG00000213244	RP11-439A17.2	1	120904675	0
ENSG00000223345	HIST2H2BA	1	120906028	0
ENSG00000241013	HIST2H2BB	1	120906043	0
ENSG00000234998	RP11-439A17.10	1	120906609	0
ENSG00000233029	RP11-439A17.9	1	120925634	0
ENSG00000198019	FCGR1B	1	120926979	0
ENSG00000230806	AL358175.1	1	121102017	0
ENSG00000171943	SRGAP2P1	1	121107154	0
ENSG00000227082	AL592494.5	1	121138614	0
ENSG00000231429	AL358175.2	1	121166923	0
ENSG00000228826	AL592494.4	1	121236177	0
ENSG00000233432	AL592494.3	1	121244142	0
ENSG00000231752	AL592494.2	1	121261143	0
ENSG00000224857	AL592494.1	1	121315744	0
ENSG00000238159	AL583842.3	1	142540100	0
ENSG00000227552	AL583842.1	1	142553293	0
ENSG00000233798	AL583842.2	1	142569266	0
ENSG00000230880	AL583842.3	1	142618766	0
ENSG00000203849	AL583842.6	1	142620645	0
ENSG00000239012	AL583842.1	1	142653718	0
ENSG00000238937	AL583842.2	1	142656014	0
ENSG00000225015	AL583842.4	1	142660017	0
ENSG00000233218	AL583842.5	1	142688379	0
ENSG00000248433	AL583842.7	1	142697653	0
ENSG00000242676	AL583842.8	1	142712910	0
ENSG00000230446	RP11-423O2.3	1	142790233	0
ENSG00000236055	RP11-423O2.2	1	142790583	0
ENSG00000230255	RP11-423O2.1	1	142791488	0
ENSG00000229683	RP11-423O2.4	1	142799587	0
ENSG00000234978	RP11-423O2.5	1	142803224	0
ENSG00000232745	RP11-423O2.6	1	142803532	0
ENSG00000231182	RP11-423O2.7	1	142950835	0
ENSG00000232274	BX571672.2	1	143118704	0
ENSG00000230850	BX571672.1	1	143119061	0
ENSG00000237291	BX571672.4	1	143154493	0
ENSG00000232336	BX571672.3	1	143188828	0
ENSG00000225278	BX571672.5	1	143211528	0
ENSG00000231289	BX571672.6	1	143243809	0
ENSG00000229420	BX571672.7	1	143245164	0
ENSG00000234654	BX571672.8	1	143245823	0
ENSG00000225010	BX004987.1	1	143342844	0
ENSG00000232571	BX004987.2	1	143343559	0
ENSG00000242569	BX004987.3	1	143347958	0
ENSG00000185044	BX004987.4	1	143354963	0
ENSG00000238261	BX004987.5	1	143377281	0
ENSG00000238439	BX004987.1	1	143437327	0
ENSG00000239165	BX004987.2	1	143438382	0
ENSG00000226897	BX004987.6	1	143498344	0
ENSG00000235566	BX004987.7	1	143527405	0
ENSG00000238603	U1	1	143647014	0
ENSG00000223804	BX284650.1	1	143647638	0
ENSG00000252135	U1	1	143670468	0
ENSG00000238825	U1	1	143673129	0
ENSG00000231734	BX284650.2	1	143687097	0
ENSG00000206694	U1	1	143687359	0
ENSG00000226637	BX284650.3	1	143719663	0
ENSG00000240007	BX284650.4	1	143719704	0
ENSG00000236334	PPIAL4G	1	143767144	0
ENSG00000238866	AL109844.1	1	143876891	0
ENSG00000215784	FAM72D	1	143896452	0
ENSG00000196369	SRGAP2P2	1	143913615	0
ENSG00000224363	RP11-289H16.1	1	144089214	0
ENSG00000249707	AL592284.1	1	144145918	0
ENSG00000162825	RP3-377D14.1	1	144146810	0
ENSG00000235398	BX248398.1	1	144275918	0
ENSG00000207106	U1	1	144311213	0
ENSG00000203847	PPIAL4B	1	144360739	0
ENSG00000236943	AL592284.1	1	144456138	0
ENSG00000206828	U1	1	144491442	0
ENSG00000225241	AL592284.2	1	144593363	0
ENSG00000203843	AL592284.3	1	144612266	0
ENSG00000249137	AL138796.1	1	144620551	0
ENSG00000215861	WI2-1896O14.1	1	144676874	0
ENSG00000168614	NBPF9	1	144811744	0
ENSG00000178104	PDE4DIP	1	144833168	0
ENSG00000252656	7SK	1	145044651	0
ENSG00000223380	SEC22B	1	145096220	0
ENSG00000177144	AL359758.1	1	145139025	0
ENSG00000201789	U6	1	145149740	0
ENSG00000213240	NOTCH2NL	1	145209119	0
ENSG00000163386	AL592307.2	1	145209145	0
ENSG00000243013	AL592307.1	1	145277250	0
ENSG00000227280	RP11-458D21.2	1	145373054	0
ENSG00000233396	RP11-458D21.1	1	145376125	0
ENSG00000168509	HFE2	1	145413095	0
ENSG00000121851	POLR3GL	1	145456236	0
ENSG00000152022	LIX1L	1	145477085	0
ENSG00000234222	RP11-315I20.1	1	145486272	0
ENSG00000131779	PEX11B	1	145516252	0
ENSG00000143127	ITGA10	1	145524891	0
ENSG00000244619	RP11-315I20.3	1	145541593	0
ENSG00000198483	ANKRD35	1	145549216	0
ENSG00000131788	PIAS3	1	145575233	0
ENSG00000121848	RNF115	1	145611036	0
ENSG00000117281	CD160	1	145695798	0
ENSG00000174827	PDZK1	1	145726918	0
ENSG00000117262	GPR89A	1	145764411	0
ENSG00000250996	AL390725.1	1	145765019	0
ENSG00000235702	WI2-925H4.1	1	145827205	0
ENSG00000196644	GPR89C	1	145883868	0
ENSG00000215860	PDZK1P1	1	145924388	0
ENSG00000243684	AL356004.3	1	145941579	0
ENSG00000201105	U1	1	145944938	0
ENSG00000243342	AL356004.2	1	145950996	0
ENSG00000234245	RP11-94I2.4	1	145952372	0
ENSG00000207418	U1	1	145969270	0
ENSG00000229828	RP11-94I2.1	1	146011091	0
ENSG00000152042	RP11-94I2.2	1	146032543	0
ENSG00000232637	WI2-3658N16.1	1	146033277	0
ENSG00000227216	RP4-565E6.3	1	146059926	0
ENSG00000198658	FAM108A11P	1	146076838	0
ENSG00000249788	AL049742.3	1	146086591	0
ENSG00000244353	AL049742.2	1	146092658	0
ENSG00000227733	RP4-565E6.1	1	146093234	0
ENSG00000238765	5S_rRNA	1	146124161	0
ENSG00000239475	RP11-47D6.1	1	146310555	0
ENSG00000186275	NBPF12	1	146373546	0
ENSG00000244371	RP11-47D6.2	1	146392451	0
ENSG00000234225	RP4-704D21.2	1	146473499	0
ENSG00000227242	RP11-325P15.3	1	146490895	0
ENSG00000225603	RP11-325P15.1	1	146522379	0
ENSG00000240560	AL596177.2	1	146550178	0
ENSG00000201142	U1	1	146551295	0
ENSG00000237188	RP11-337C18.8	1	146644806	0
ENSG00000180867	RP11-337C18.5	1	146649692	0
ENSG00000131781	FMO5	1	146655885	0
ENSG00000226015	CCT8P1	1	146674871	0
ENSG00000236806	RP11-337C18.7	1	146695146	0
ENSG00000213226	RP11-337C18.4	1	146790828	0
ENSG00000226653	OR13Z1P	1	146890786	0
ENSG00000207209	Y_RNA	1	146891926	0
ENSG00000234610	RP11-441L11.1	1	146986158	0
ENSG00000116128	BCL9	1	147013182	0
ENSG00000162836	ACP6	1	147119170	0
ENSG00000242379	AL365260.1	1	147161384	0
ENSG00000227139	RP11-533N14.3	1	147169914	0
ENSG00000143140	GJA5	1	147228332	0
ENSG00000234482	RP11-433J22.2	1	147229426	0
ENSG00000234190	RP11-433J22.3	1	147249700	0
ENSG00000223728	RP11-314N2.2	1	147313096	0
ENSG00000121634	GJA8	1	147374936	0
ENSG00000188092	GPR89B	1	147400506	0
ENSG00000244211	PDZK1P2	1	147466094	0
ENSG00000215859	RP6-74O6.2	1	147466094	0
ENSG00000206791	U1	1	147486649	0
ENSG00000229952	RP6-74O6.3	1	147494090	0
ENSG00000206585	U1	1	147511004	0
ENSG00000227778	XXyac-YX155B6.2	1	147552868	0
ENSG00000203836	NBPF11	1	147574324	0
ENSG00000225080	XXyac-YX155B6.3	1	147601780	0
ENSG00000203835	FAM108A2	1	147618345	0
ENSG00000251150	BX842679.1	1	147628427	0
ENSG00000232265	XXyac-YX155B6.5	1	147634989	0
ENSG00000238677	5S_rRNA	1	147665993	0
ENSG00000226335	XXyac-YX155B6.6	1	147668281	0
ENSG00000229438	RP11-301M17.3	1	147689214	0
ENSG00000224335	RP11-301M17.2	1	147706573	0
ENSG00000243615	AL451043.1	1	147716738	0
ENSG00000227700	RP11-301M17.1	1	147718440	0
ENSG00000199879	U1	1	147735751	0
ENSG00000234283	RP11-495P10.6	1	147744014	0
ENSG00000243816	AL592207.2	1	147747674	0
ENSG00000251240	AL592207.11	1	147751386	0
ENSG00000228626	RP11-495P10.9	1	147760107	0
ENSG00000231196	RP11-495P10.8	1	147762995	0
ENSG00000238107	RP11-495P10.5	1	147767287	0
ENSG00000244252	RP11-495P10.7	1	147767899	0
ENSG00000239842	AL592207.3	1	147781030	0
ENSG00000239606	AL592207.1	1	147789486	0
ENSG00000235988	RP11-495P10.4	1	147789799	0
ENSG00000241894	AL592207.6	1	147790848	0
ENSG00000224481	RP11-495P10.3	1	147801124	0
ENSG00000252744	Y_RNA	1	147802396	0
ENSG00000202408	U1	1	147806736	0
ENSG00000244591	AL592207.9	1	147825689	0
ENSG00000207340	U1	1	147834502	0
ENSG00000215863	RP11-495P10.2	1	147835127	0
ENSG00000252842	U1	1	147857985	0
ENSG00000202064	U1	1	147860642	0
ENSG00000201183	U1	1	147874868	0
ENSG00000231551	RP11-495P10.1	1	147887350	0
ENSG00000225871	RP11-91G11.1	1	147907215	0
ENSG00000238023	PPIAL4A	1	147954635	0
ENSG00000212456	U1	1	147994146	0
ENSG00000223491	RP6-74O6.1	1	148000213	0
ENSG00000122497	NBPF14	1	148003642	0
ENSG00000223612	RP11-289I10.2	1	148193338	0
ENSG00000230767	RP11-289I10.1	1	148201967	0
ENSG00000207501	U1	1	148241465	0
ENSG00000236140	RP11-89F3.2	1	148246959	0
ENSG00000203832	NBPF10	1	148250245	0
ENSG00000234367	RP11-89F3.3	1	148349256	0
ENSG00000229002	RP11-666A1.4	1	148542873	0
ENSG00000243452	NBPF15	1	148555979	0
ENSG00000251362	AL592492.2	1	148573003	0
ENSG00000227212	RP11-666A1.1	1	148574653	0
ENSG00000237253	RP11-666A1.5	1	148598398	0
ENSG00000226675	RP11-666A1.3	1	148598464	0
ENSG00000207205	U1	1	148604908	0
ENSG00000231267	RP11-666A1.2	1	148644086	0
ENSG00000237533	RP11-763B22.2	1	148736689	0
ENSG00000203827	NBPF16	1	148739443	0
ENSG00000237343	RP11-763B22.4	1	148760504	0
ENSG00000233586	RP11-763B22.3	1	148760506	0
ENSG00000206968	U1	1	148766938	0
ENSG00000230582	RP11-763B22.5	1	148806093	0
ENSG00000235887	RP11-763B22.6	1	148852393	0
ENSG00000223495	RP11-763B22.7	1	148853803	0
ENSG00000231448	RP11-763B22.9	1	148854138	0
ENSG00000242943	RP11-763B22.8	1	148864594	0
ENSG00000175658	RP11-14N7.1	1	148900615	0
ENSG00000222854	5S_rRNA	1	148913273	0
ENSG00000232527	RP11-14N7.2	1	148928322	0
ENSG00000203825	RP11-744H18.1	1	149036435	0
ENSG00000239502	AL732363.1	1	149079364	0
ENSG00000179571	RP11-744H18.2	1	149089875	0
ENSG00000226028	RP11-403I13.1	1	149114655	0
ENSG00000202167	U1	1	149146714	0
ENSG00000243493	AL356957.4	1	149147925	0
ENSG00000242424	AL356957.10	1	149161628	0
ENSG00000243595	AL356957.3	1	149170298	0
ENSG00000239237	AL356957.9	1	149173911	0
ENSG00000236245	RP11-403I13.2	1	149186303	0
ENSG00000207349	U1	1	149194106	0
ENSG00000244138	AL356957.6	1	149211948	0
ENSG00000252826	U1	1	149215166	0
ENSG00000206737	U1	1	149224058	0
ENSG00000232721	RP11-403I13.5	1	149230716	0
ENSG00000223779	RP11-403I13.4	1	149239551	0
ENSG00000242352	RP11-403I13.6	1	149261537	0
ENSG00000239781	AL356957.7	1	149278785	0
ENSG00000226067	RP11-403I13.7	1	149284645	0
ENSG00000252105	U1	1	149286177	0
ENSG00000241802	AL356957.2	1	149287359	0
ENSG00000235999	RP11-403I13.8	1	149287451	0
ENSG00000233430	RP11-403I13.9	1	149305910	0
ENSG00000203820	FCGR1C	1	149320441	0
ENSG00000212044	CR812485.1	1	149323331	0
ENSG00000237503	RP5-998N21.3	1	149340658	0
ENSG00000234571	RP5-998N21.4	1	149372292	0
ENSG00000240929	RP5-998N21.5	1	149398799	0
ENSG00000203818	HIST2H3PS2	1	149398877	0
ENSG00000230186	RP5-998N21.7	1	149400063	0
ENSG00000213224	RP5-998N21.8	1	149424565	0
ENSG00000203817	FAM72C	1	149438750	0
ENSG00000212544	U1	1	149514090	0
ENSG00000198161	PPIAL4C	1	149552657	0
ENSG00000232151	RP11-277L2.2	1	149575482	0
ENSG00000233368	RP11-277L2.3	1	149576591	0
ENSG00000229801	RP11-353N4.1	1	149590752	0
ENSG00000202496	U1	1	149605917	0
ENSG00000239903	RP11-353N4.2	1	149647622	0
ENSG00000237168	RP11-353N4.3	1	149664577	0
ENSG00000252925	U1	1	149671723	0
ENSG00000242904	AL358813.4	1	149672905	0
ENSG00000223759	RP11-353N4.4	1	149672997	0
ENSG00000203815	AL358813.2	1	149675978	0
ENSG00000240384	AL358813.7	1	149680210	0
ENSG00000197844	AL358813.6	1	149689368	0
ENSG00000234232	RP11-353N4.5	1	149691432	0
ENSG00000212053	AL358813.3	1	149708860	0
ENSG00000226500	RP11-196G18.1	1	149725855	0
ENSG00000239531	AL591493.1	1	149728271	0
ENSG00000150337	FCGR1A	1	149754227	0
ENSG00000242663	RP11-196G18.21	1	149754433	0
ENSG00000233030	RP11-196G18.3	1	149757215	0
ENSG00000203814	HIST2H2BF	1	149765520	0
ENSG00000183598	HIST2H3D	1	149784826	0
ENSG00000183941	HIST2H4A	1	149804232	0
ENSG00000203811	HIST2H3C	1	149811110	0
ENSG00000183558	HIST2H2AA3	1	149813785	0
ENSG00000220323	HIST2H2BC	1	149814606	0
ENSG00000203819	HIST2H2BD	1	149821966	0
ENSG00000203812	HIST2H2AA4	1	149822643	0
ENSG00000203852	HIST2H3A	1	149824181	0
ENSG00000182217	HIST2H4B	1	149825607	0
ENSG00000184678	HIST2H2BE	1	149856010	0
ENSG00000178096	BOLA1	1	149858486	0
ENSG00000184260	HIST2H2AC	1	149858525	0
ENSG00000184270	HIST2H2AB	1	149859019	0
ENSG00000159164	SV2A	1	149874870	0
ENSG00000143368	SF3B4	1	149895209	0
ENSG00000014914	MTMR11	1	149900543	0
ENSG00000163113	OTUD7B	1	149912231	0
ENSG00000223945	RP11-458I7.1	1	150025846	0
ENSG00000023902	PLEKHO1	1	150121373	0
ENSG00000245214	AL358073.1	1	150130000	0
ENSG00000250661	RP11-458I7.4	1	150131600	0
ENSG00000222222	U2	1	150209315	0
ENSG00000118298	CA14	1	150230169	0
ENSG00000238526	snoU13	1	150234093	0
ENSG00000118292	C1orf54	1	150240600	0
ENSG00000159208	C1orf51	1	150254953	0
ENSG00000215857	AL138795.2	1	150273648	0
ENSG00000215856	AL138795.3	1	150278694	0
ENSG00000143369	ECM1	1	150480487	0
ENSG00000228126	RP11-54A4.8	1	150488233	0
ENSG00000143382	ADAMTSL4	1	150521884	0
ENSG00000239850	AL356356.1	1	150541447	0
ENSG00000143384	MCL1	1	150547032	0
ENSG00000248003	AL356356.4	1	150565059	0
ENSG00000253047	SNORA40	1	150573015	0
ENSG00000241686	AL356356.2	1	150580073	0
ENSG00000246674	AL356356.3	1	150583859	0
ENSG00000143457	GOLPH3L	1	150618701	0
ENSG00000143452	HORMAD1	1	150670536	0
ENSG00000206931	U6	1	150674342	0
ENSG00000163131	CTSS	1	150702551	0
ENSG00000236713	RP11-363I22.3	1	150752748	0
ENSG00000143387	CTSK	1	150768684	0
ENSG00000224690	RP11-363I22.5	1	150772949	0
ENSG00000143437	ARNT	1	150782181	0
ENSG00000200175	U6	1	150785067	0
ENSG00000224800	RP11-235D19.2	1	150853712	0
ENSG00000212512	Y_RNA	1	150854927	0
ENSG00000229357	RP11-235D19.3	1	150876372	0
ENSG00000231073	RP11-316M1.3	1	150945599	0
ENSG00000143412	ANXA9	1	150954493	0
ENSG00000143409	FAM63A	1	150965682	0
ENSG00000143363	PRUNE	1	150980896	0
ENSG00000200759	U6	1	150995222	0
ENSG00000163141	BNIPL	1	151009034	0
ENSG00000143443	C1orf56	1	151020216	0
ENSG00000213190	MLLT11	1	151030234	0
ENSG00000242557	RP11-316M1.11	1	151031995	0
ENSG00000233717	RP11-68I18.2	1	151084388	0
ENSG00000143434	SEMA6C	1	151104161	0
ENSG00000163154	TNFAIP8L2	1	151129105	0
ENSG00000163156	SCNM1	1	151138498	0
ENSG00000163157	TMOD4	1	151142462	0
ENSG00000143398	PIP5K1A	1	151170425	0
ENSG00000232671	RP11-126K1.2	1	151252500	0
ENSG00000143393	PI4KB	1	151264413	0
ENSG00000143390	RFX5	1	151313116	0
ENSG00000224645	RP11-126K1.8	1	151313124	0
ENSG00000143416	SELENBP1	1	151336778	0
ENSG00000159377	PSMB4	1	151372010	0
ENSG00000143442	POGZ	1	151375200	0
ENSG00000248742	AL589764.2	1	151400285	0
ENSG00000238711	Y_RNA	1	151411476	0
ENSG00000143375	CGN	1	151482986	0
ENSG00000252840	SNORA44	1	151500307	0
ENSG00000143367	TUFT1	1	151512781	0
ENSG00000232536	RP11-74C1.4	1	151512992	0
ENSG00000207606	hsa-mir-554	1	151518272	0
ENSG00000223861	RP11-74C1.2	1	151529922	0
