Probe sets	Symbol	Title	P value	Fold
212839_s_at	TROVE2	TROVE domain family, member 2	0.01379	0.81
212914_at	CBX7	chromobox homolog 7	0.01379	1.45
213045_at	MAST3	microtubule associated serine/threonine kinase 3	0.01379	1.51
214890_s_at	DKFZP564J102	DKFZP564J102 protein	0.01379	2.12
215989_at	CBX2	chromobox homolog 2 (Pc class homolog, Drosophila)	0.01379	1.19
217535_at	FAM49B	Family with sequence similarity 49, member B	0.01379	1.17
217581_at	217581_at	Transcribed locus	0.01379	1.18
217838_s_at	EVL	Enah/Vasp-like	0.01379	0.32
220843_s_at	WDSOF1	WD repeats and SOF1 domain containing	0.01379	0.79
220997_s_at	DIAPH3	diaphanous homolog 3 (Drosophila)	0.01379	1.1
221118_at	PKD2L2	polycystic kidney disease 2-like 2	0.01379	1.18
221378_at	CER1	cerberus 1, cysteine knot superfamily, homolog (Xenopus laevis)	0.01379	1.27
223197_s_at	SMARCAD1	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1	0.01379	0.67
225594_at	CREBZF	CREB/ATF bZIP transcription factor	0.01379	0.58
225819_at	TBRG1	transforming growth factor beta regulator 1	0.01379	0.61
226859_at	bA16L21.2.1	DnaJ-like protein	0.01379	2.42
227175_at	MCL1	Myeloid cell leukemia sequence 1 (BCL2-related)	0.01379	0.84
227388_at	TUSC1	tumor suppressor candidate 1	0.01379	2.27
227446_s_at	C14orf167	chromosome 14 open reading frame 167	0.01379	1.79
227548_at	ORMDL1	ORM1-like 1 (S. cerevisiae)	0.01379	1.75
227709_at	LOC728913	Similar to Reticulocalbin-1 precursor /// Pp13759	0.01379	0.64
227960_s_at	FAHD1	fumarylacetoacetate hydrolase domain containing 1	0.01379	1.85
228326_at	WDR27	WD repeat domain 27	0.01379	0.7
228577_x_at	ODF2L	outer dense fiber of sperm tails 2-like	0.01379	0.79
228627_at	TLK2	tousled-like kinase 2	0.01379	1.4
229145_at	C10orf104	chromosome 10 open reading frame 104	0.01379	1.59
229330_at	SSU72	SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae)	0.01379	1.26
230605_at	230605_at	Transcribed locus, strongly similar to XP_001149935.1  potassium voltage-gated channel, shaker-related subfamily, beta member 1 isoform 4 [Pan troglodytes]	0.01379	1.49
231307_at	PAGE2	P antigen family, member 2 (prostate associated)	0.01379	0.61
231470_at	ZNF493	Zinc finger protein 493	0.01379	1.13
231946_at	ZFHX2	zinc finger homeobox 2	0.01379	1.17
232393_at	ZNF462	zinc finger protein 462	0.01379	1.19
233146_at	KNDC1	kinase non-catalytic C-lobe domain (KIND) containing 1	0.01379	1.2
233437_at	GABRA4	gamma-aminobutyric acid (GABA) A receptor, alpha 4	0.01379	1.17
233628_at	233628_at	CDNA: FLJ21706 fis, clone COL09945	0.01379	1.14
234506_at	234506_at	MRNA; cDNA DKFZp564M163 (from clone DKFZp564M163)	0.01379	1.19
235119_at	TAF3	TAF3 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 140kDa	0.01379	1.39
235856_at	235856_at	Transcribed locus, moderately similar to XP_001162191.1  complement component 4A isoform 2 [Pan troglodytes]	0.01379	2.58
235955_at	MARVELD2	MARVEL domain containing 2	0.01379	1.85
236664_at	AKT2	v-akt murine thymoma viral oncogene homolog 2	0.01379	1.29
237573_at	237573_at	Transcribed locus	0.01379	1.38
237893_at	237893_at	Transcribed locus	0.01379	1.16
238390_at	238390_at	NA	0.01379	1.18
238418_at	SLC35B4	solute carrier family 35, member B4	0.01379	2.04
239575_at	TMEM10	transmembrane protein 10	0.01379	1.15
239577_at	239577_at	Homo sapiens, clone IMAGE:4182817, mRNA	0.01379	0.6
240247_at	240247_at	NA	0.01379	1.35
241129_at	241129_at	NA	0.01379	1.12
241567_at	241567_at	NA	0.01379	1.18
241656_at	241656_at	Transcribed locus	0.01379	1.11
241707_at	LOC388630	similar to C05G5.5	0.01379	1.21
242260_at	MATR3	Matrin 3	0.01379	0.51
242456_at	MRE11A	MRE11 meiotic recombination 11 homolog A (S. cerevisiae)	0.01379	0.78
242504_at	242504_at	Transcribed locus, moderately similar to XP_946885.2  similar to Apolipoprotein(a) precursor (Apo(a)) (Lp(a)) [Homo sapiens]	0.01379	1.24
242899_at	242899_at	MRNA; cDNA DKFZp313B1017 (from clone DKFZp313B1017)	0.01379	0.81
243701_at	243701_at	NA	0.01379	1.16
207356_at	DEFB4 /// DEFB4P	defensin, beta 4 /// defensin, beta 4, pseudogene	0.01726	1.19
1563078_at	1563078_at	Homo sapiens, clone IMAGE:5749668, mRNA	0.01732	1.14
1552458_at	MBD3L1	methyl-CpG binding domain protein 3-like 1	0.01766	1.19
1552769_at	ZNF625	zinc finger protein 625	0.01766	1.15
1554288_at	KIAA1600	KIAA1600	0.01766	1.13
1555107_a_at	KIAA1530	KIAA1530 protein	0.01766	0.84
1555387_at	UBE1	ubiquitin-activating enzyme E1 (A1S9T and BN75 temperature sensitivity complementing)	0.01766	1.17
1555931_at	1555931_at	CDNA FLJ36889 fis, clone BNGH42009021	0.01766	1.19
1556061_at	LOC283012	hypothetical protein LOC283012	0.01766	1.79
1556760_a_at	1556760_a_at	CDNA FLJ37153 fis, clone BRACE2025992	0.01766	0.88
1556927_at	1556927_at	Clone 23786 mRNA sequence	0.01766	1.11
1557590_at	LOC147299	hypothetical protein LOC147299	0.01766	1.13
1559272_at	EXOC3L	exocyst complex component 3-like	0.01766	0.87
1559573_at	1559573_at	CDNA FLJ38815 fis, clone LIVER2007548	0.01766	4.59
1560950_at	1560950_at	CDNA FLJ35943 fis, clone TESTI2011750	0.01766	1.12
1560978_at	1560978_at	Full length insert cDNA clone ZD58F01	0.01766	1.18
1561143_at	1561143_at	Full length insert cDNA clone ZD46F01	0.01766	1.14
1562879_at	1562879_at	CDNA clone IMAGE:4829369	0.01766	1.17
1563386_at	1563386_at	MRNA full length insert cDNA clone EUROIMAGE 1204612	0.01766	1.11
1564238_a_at	WDR49	WD repeat domain 49	0.01766	1.15
1565149_at	DYNC2H1	dynein, cytoplasmic 2, heavy chain 1	0.01766	0.88
1565999_at	LOC286299	hypothetical protein LOC286299	0.01766	1.18
1566427_at	1566427_at	MRNA; cDNA DKFZp667B046 (from clone DKFZp667B046)	0.01766	1.19
1566934_at	TYRO3P	TYRO3P protein tyrosine kinase pseudogene	0.01766	1.12
1569864_at	SERAC1	serine active site containing 1	0.01766	0.89
1570124_at	1570124_at	Homo sapiens, Similar to hypothetical protein PRO1722, clone IMAGE:3342760, mRNA	0.01766	1.21
1570191_at	1570191_at	CDNA clone IMAGE:4798264	0.01766	1.31
1570622_at	1570622_at	Clone FLB4630	0.01766	1.15
1570627_at	TCEB3	transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A)	0.01766	1.16
200012_x_at	RPL21	ribosomal protein L21	0.01766	0.71
201984_s_at	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	0.01766	2.12
202303_x_at	SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	0.01766	0.55
202534_x_at	DHFR	dihydrofolate reductase	0.01766	1.94
202731_at	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	0.01766	0.48
202800_at	SLC1A3	solute carrier family 1 (glial high affinity glutamate transporter), member 3	0.01766	0.58
203216_s_at	MYO6	myosin VI	0.01766	0.51
203260_at	HDDC2	HD domain containing 2	0.01766	0.73
203297_s_at	JARID2	jumonji, AT rich interactive domain 2	0.01766	0.67
203649_s_at	PLA2G2A	phospholipase A2, group IIA (platelets, synovial fluid)	0.01766	0.23
204157_s_at	KIAA0999	KIAA0999 protein	0.01766	0.52
204526_s_at	TBC1D8	TBC1 domain family, member 8 (with GRAM domain)	0.01766	0.7
204759_at	RCBTB2	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2	0.01766	0.54
204796_at	EML1	echinoderm microtubule associated protein like 1	0.01766	0.67
205197_s_at	ATP7A	ATPase, Cu++ transporting, alpha polypeptide (Menkes syndrome)	0.01766	0.61
206358_at	PRM1	protamine 1	0.01766	1.26
206716_at	UMOD	uromodulin (uromucoid, Tamm-Horsfall glycoprotein)	0.01766	1.19
207526_s_at	IL1RL1	interleukin 1 receptor-like 1	0.01766	0.82
207744_at	207744_at	NA	0.01766	1.17
208250_s_at	DMBT1	deleted in malignant brain tumors 1	0.01766	1.18
208276_at	208276_at	NA	0.01766	1.34
209334_s_at	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	0.01766	1.31
210331_at	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	0.01766	1.27
211510_s_at	CRHR2	corticotropin releasing hormone receptor 2	0.01766	1.1
211739_x_at	CSH1	chorionic somatomammotropin hormone 1 (placental lactogen)	0.01766	1.15
212031_at	RBM25	RNA binding motif protein 25	0.01766	0.64
212816_s_at	CBS	cystathionine-beta-synthase	0.01766	2.5
212869_x_at	TPT1	tumor protein, translationally-controlled 1	0.01766	0.85
213240_s_at	KRT4	keratin 4	0.01766	1.17
213662_at	213662_at	NA	0.01766	1.37
214481_at	HIST1H2AM	histone cluster 1, H2am	0.01766	1.32
215636_at	ZUBR1	zinc finger, UBR1 type 1	0.01766	1.31
216342_x_at	LOC390183 /// LOC442162	similar to 40S ribosomal protein S4, X isoform	0.01766	0.66
216494_at	LOC645468 /// LOC651107	similar to insulin-like growth factor 2 mRNA binding protein 3 /// similar to IGF-II mRNA-binding protein 3	0.01766	1.25
217548_at	C15orf38	Chromosome 15 open reading frame 38	0.01766	0.73
218210_at	FN3KRP	fructosamine-3-kinase-related protein	0.01766	1.35
218469_at	GREM1	gremlin 1, cysteine knot superfamily, homolog (Xenopus laevis)	0.01766	3.11
219049_at	ChGn	chondroitin beta1,4 N-acetylgalactosaminyltransferase	0.01766	0.57
219165_at	PDLIM2	PDZ and LIM domain 2 (mystique)	0.01766	1.48
219515_at	PRDM10	PR domain containing 10	0.01766	0.71
220440_at	LGALS13	lectin, galactoside-binding, soluble, 13 (galectin 13)	0.01766	1.16
220892_s_at	PSAT1	phosphoserine aminotransferase 1	0.01766	2.83
221035_s_at	TEX14	testis expressed 14	0.01766	1.15
221172_at	FLJ21075	hypothetical protein FLJ21075	0.01766	1.15
221234_s_at	BACH2	BTB and CNC homology 1, basic leucine zipper transcription factor 2	0.01766	0.53
221391_at	TAS2R14	taste receptor, type 2, member 14	0.01766	1.15
222452_s_at	GPBP1L1	GC-rich promoter binding protein 1-like 1	0.01766	1.2
222601_at	UBE1L2	ubiquitin-activating enzyme E1-like 2	0.01766	0.67
222837_s_at	NARG1	NMDA receptor regulated 1	0.01766	0.59
223115_at	CRSP6	cofactor required for Sp1 transcriptional activation, subunit 6, 77kDa	0.01766	0.72
223212_at	ZDHHC16	zinc finger, DHHC-type containing 16	0.01766	1.52
224894_at	YAP1	Yes-associated protein 1, 65kDa	0.01766	0.57
224895_at	YAP1	Yes-associated protein 1, 65kDa	0.01766	0.59
225281_at	C3orf17	chromosome 3 open reading frame 17	0.01766	0.74
225329_at	LOC348262	hypothetical protein LOC348262	0.01766	0.63
225398_at	RPUSD4	RNA pseudouridylate synthase domain containing 4	0.01766	0.56
225483_at	VPS26B	vacuolar protein sorting 26 homolog B (S. pombe)	0.01766	0.76
225857_s_at	LOC388796	hypothetical LOC388796	0.01766	0.47
226865_at	226865_at	MRNA; cDNA DKFZp564O0862 (from clone DKFZp564O0862)	0.01766	0.41
227226_at	C6orf117	chromosome 6 open reading frame 117	0.01766	0.42
227747_at	LOC196264	Hypothetical protein LOC196264	0.01766	0.53
228380_at	228380_at	Transcribed locus	0.01766	1.59
228919_at	228919_at	NA	0.01766	2.88
229563_s_at	RPL10A	ribosomal protein L10a	0.01766	0.81
230030_at	HS6ST2	heparan sulfate 6-O-sulfotransferase 2	0.01766	0.33
230739_at	230739_at	CAMP-binding guanine nucleotide exchange factor IV (cAMP-GEFIV) mRNA, clone W15, partial sequence	0.01766	1.38
230765_at	KIAA1239	KIAA1239	0.01766	1.14
231327_at	231327_at	Transcribed locus	0.01766	1.21
233338_at	FLJ26056 /// LOC653135 /// LOC653264	hypothetical protein LOC375127 /// similar to Nucleosome-binding protein 1 (Nucleosome-binding protein 45) (NBP-45) (GARP45 protein)	0.01766	1.16
234551_at	OTOP2	otopetrin 2	0.01766	1.17
235163_at	MOBKL2A	MOB1, Mps One Binder kinase activator-like 2A (yeast)	0.01766	0.84
235456_at	235456_at	CDNA clone IMAGE:4819084	0.01766	3.48
235681_at	235681_at	CDNA clone IMAGE:4819084	0.01766	1.99
235688_s_at	TRAF4	TNF receptor-associated factor 4	0.01766	1.33
235960_at	235960_at	Full length insert cDNA YI38B04	0.01766	1.23
235980_at	PIK3CA	Phosphoinositide-3-kinase, catalytic, alpha polypeptide	0.01766	1.33
236348_at	236348_at	Transcribed locus, strongly similar to XP_528003.2  hypothetical protein [Pan troglodytes]	0.01766	1.36
236842_at	236842_at	CDNA FLJ36110 fis, clone TESTI2021939	0.01766	1.15
236891_at	236891_at	NA	0.01766	0.89
237196_at	237196_at	NA	0.01766	1.18
238455_at	238455_at	CDNA FLJ45742 fis, clone KIDNE2016327	0.01766	0.51
238472_at	FBXO9	F-box protein 9	0.01766	1.4
238882_at	238882_at	Transcribed locus, strongly similar to XP_341541.3  similar to supervillin isoform 1 [Rattus norvegicus]	0.01766	1.13
239631_at	FLJ43505	FLJ43505 protein	0.01766	1.18
239936_at	DLEU2	deleted in lymphocytic leukemia, 2	0.01766	0.75
240221_at	CSNK1A1	Casein kinase 1, alpha 1	0.01766	0.61
240426_at	FAM47B	family with sequence similarity 47, member B	0.01766	1.16
241083_at	241083_at	MRNA; cDNA DKFZp686J0150 (from clone DKFZp686J0150)	0.01766	1.15
241317_at	241317_at	NA	0.01766	0.82
241477_at	NEIL1	nei endonuclease VIII-like 1 (E. coli)	0.01766	1.24
241498_at	C11orf77	chromosome 11 open reading frame 77	0.01766	1.24
241894_at	VMO1	vitelline membrane outer layer 1 homolog (chicken)	0.01766	1.21
242380_at	242380_at	Transcribed locus	0.01766	1.27
242459_at	242459_at	Transcribed locus	0.01766	1.12
242636_at	GCRG224	GCRG-P224	0.01766	0.78
242790_at	SNF8	SNF8, ESCRT-II complex subunit, homolog (S. cerevisiae)	0.01766	1.29
242805_at	242805_at	NA	0.01766	0.88
243224_at	243224_at	CDNA FLJ34623 fis, clone KIDNE2015073	0.01766	1.4
243365_s_at	AUTS2	autism susceptibility candidate 2	0.01766	1.21
243767_at	243767_at	Transcribed locus	0.01766	1.13
244081_at	244081_at	Transcribed locus	0.01766	0.87
244367_at	244367_at	Transcribed locus	0.01766	1.12
244624_at	LOC388720 /// RPS27A	ribosomal protein S27a /// similar to ubiquitin and ribosomal protein S27a precursor	0.01766	0.88
1552588_a_at	CNBD1	cyclic nucleotide binding domain containing 1	0.01801	1.15
1560010_a_at	FLJ32063	hypothetical protein LOC150538	0.02154	1.16
1554619_at	LOC153364	similar to metallo-beta-lactamase superfamily protein	0.02171	0.88
1552414_at	WFDC9	WAP four-disulfide core domain 9	0.02211	1.13
1552930_at	MMEL1	membrane metallo-endopeptidase-like 1	0.02211	0.79
1554091_a_at	TIRAP	toll-interleukin 1 receptor (TIR) domain containing adaptor protein	0.02211	0.75
1554228_a_at	C8orf56	chromosome 8 open reading frame 56	0.02211	1.19
1554996_at	LOC641717 /// LOC641720 /// LOC643955 /// LOC644017 /// LOC728898 /// LOC731211 /// LOC731228 /// ZNF479	zinc finger protein 479 /// similar to Zinc finger protein 479 (Zinc finger protein Kr19) (HKr19) /// similar to zinc finger protein 386 (Kruppel-like) /// similar to zinc finger protein 679	0.02211	1.11
1555461_at	1555461_at	NA	0.02211	1.59
1556427_s_at	LOC221091	similar to hypothetical protein	0.02211	1.18
1556476_at	LOC283485	hypothetical protein LOC283485	0.02211	1.18
1556491_at	1556491_at	Full length insert cDNA clone YB29A02	0.02211	1.2
1556764_s_at	1556764_s_at	CDNA FLJ90128 fis, clone HEMBB1000276	0.02211	0.72
1556813_at	1556813_at	Full length insert cDNA clone YU66F10	0.02211	1.12
1557753_at	1557753_at	CDNA clone IMAGE:5265890	0.02211	0.9
1557890_at	LOC729178 /// LOC731843	hypothetical protein LOC729178 /// hypothetical protein LOC731843	0.02211	1.11
1558595_at	1558595_at	CDNA FLJ35707 fis, clone SPLEN2020427	0.02211	1.16
1559252_a_at	C20orf29	Chromosome 20 open reading frame 29	0.02211	1.16
1559321_at	1559321_at	Homo sapiens, clone IMAGE:5528576, mRNA	0.02211	1.29
1559930_at	1559930_at	CDNA clone IMAGE:5278137	0.02211	0.91
1561216_at	1561216_at	CDNA clone IMAGE:5269432	0.02211	1.1
1562289_at	1562289_at	MRNA; cDNA DKFZp434N0220 (from clone DKFZp434N0220)	0.02211	0.83
1562601_at	UNQ6975	NGNL6975	0.02211	1.16
1563351_at	1563351_at	Homo sapiens, clone IMAGE:4297230, mRNA	0.02211	1.11
1563770_at	RP1-27O5.1	zinc finger and BTB domain containing 8-like	0.02211	1.11
1564389_at	1564389_at	CDNA clone IMAGE:3689998	0.02211	1.13
1564783_x_at	OFCC1	orofacial cleft 1 candidate 1	0.02211	1.15
1565668_at	TUBA1B	tubulin, alpha 1b	0.02211	1.1
1565921_a_at	1565921_a_at	MRNA from chromosome 5q21-22, clone:LI26	0.02211	1.12
1566511_at	FBXO9	F-box protein 9	0.02211	1.15
1568878_at	1568878_at	Homo sapiens, clone IMAGE:5556045, mRNA	0.02211	1.14
1568891_x_at	FANCD2	Fanconi anemia, complementation group D2	0.02211	1.16
1569270_at	1569270_at	CDNA clone IMAGE:3636396	0.02211	1.18
1569476_at	DKFZP434L187	DKFZP434L187 protein	0.02211	1.1
1570064_at	1570064_at	CDNA clone IMAGE:5266039	0.02211	1.29
200888_s_at	RPL23	ribosomal protein L23	0.02211	0.69
201594_s_at	PPP4R1	protein phosphatase 4, regulatory subunit 1	0.02211	0.72
201917_s_at	SLC25A36	solute carrier family 25, member 36	0.02211	0.57
202170_s_at	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	0.02211	0.53
202703_at	DUSP11	dual specificity phosphatase 11 (RNA/RNP complex 1-interacting)	0.02211	0.71
202866_at	DNAJB12	DnaJ (Hsp40) homolog, subfamily B, member 12	0.02211	1.36
203156_at	AKAP11	A kinase (PRKA) anchor protein 11	0.02211	0.56
203287_at	LAD1	ladinin 1	0.02211	0.52
203533_s_at	CUL5	cullin 5	0.02211	0.76
204190_at	USPL1	ubiquitin specific peptidase like 1	0.02211	0.69
204278_s_at	EBAG9	estrogen receptor binding site associated, antigen, 9	0.02211	1.66
204850_s_at	DCX	doublecortex; lissencephaly, X-linked (doublecortin)	0.02211	1.34
204913_s_at	SOX11	SRY (sex determining region Y)-box 11	0.02211	0.88
205010_at	GNL3L	guanine nucleotide binding protein-like 3 (nucleolar)-like	0.02211	0.67
205171_at	PTPN4	protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)	0.02211	0.6
206090_s_at	DISC1	disrupted in schizophrenia 1	0.02211	0.67
206495_s_at	MIZF	MBD2-interacting zinc finger	0.02211	0.74
206741_at	C3orf32	chromosome 3 open reading frame 32	0.02211	0.46
207761_s_at	METTL7A	methyltransferase like 7A	0.02211	1.51
208044_s_at	PPARD	peroxisome proliferator-activated receptor delta	0.02211	0.74
208309_s_at	MALT1	mucosa associated lymphoid tissue lymphoma translocation gene 1	0.02211	0.66
208569_at	HIST1H2AB	histone cluster 1, H2ab	0.02211	1.31
208695_s_at	RPL39	ribosomal protein L39	0.02211	0.88
209226_s_at	TNPO1	transportin 1	0.02211	0.78
210271_at	NEUROD2	neurogenic differentiation 2	0.02211	1.2
210466_s_at	SERBP1	SERPINE1 mRNA binding protein 1	0.02211	0.75
210763_x_at	NCR3	natural cytotoxicity triggering receptor 3	0.02211	1.15
210937_s_at	PDX1	pancreatic and duodenal homeobox 1	0.02211	1.17
210952_at	AP4S1	adaptor-related protein complex 4, sigma 1 subunit	0.02211	1.1
211209_x_at	SH2D1A	SH2 domain protein 1A, Duncans disease (lymphoproliferative syndrome)	0.02211	1.18
211223_at	PROP1	prophet of Pit1, paired-like homeodomain transcription factor	0.02211	1.25
211396_at	FCGR2C	Fc fragment of IgG, low affinity IIc, receptor for (CD32)	0.02211	1.28
211504_x_at	ROCK2	Rho-associated, coiled-coil containing protein kinase 2	0.02211	0.82
212194_s_at	TM9SF4	transmembrane 9 superfamily protein member 4	0.02211	0.74
212206_s_at	H2AFV	H2A histone family, member V	0.02211	1.56
212228_s_at	COQ9	coenzyme Q9 homolog (S. cerevisiae)	0.02211	1.6
212714_at	LARP4	La ribonucleoprotein domain family, member 4	0.02211	1.63
213012_at	NEDD4	neural precursor cell expressed, developmentally down-regulated 4	0.02211	1.71
213249_at	FBXL7	F-box and leucine-rich repeat protein 7	0.02211	0.64
213358_at	KIAA0802	KIAA0802	0.02211	0.38
213500_at	213500_at	Clone 24627 mRNA sequence	0.02211	1.83
213951_s_at	PSMC3IP	PSMC3 interacting protein	0.02211	1.31
214009_at	MSL3L1	male-specific lethal 3-like 1 (Drosophila)	0.02211	0.84
214029_at	SLC25A42	Solute carrier family 25, member 42	0.02211	1.22
214280_x_at	HNRPA1	heterogeneous nuclear ribonucleoprotein A1	0.02211	0.76
214428_x_at	C4A /// C4B	complement component 4A (Rodgers blood group) /// complement component 4B (Childo blood group)	0.02211	1.77
215614_at	215614_at	CDNA FLJ11976 fis, clone HEMBB1001253	0.02211	1.17
216290_x_at	216290_x_at	CDNA FLJ10002 fis, clone HEMBA1000046	0.02211	1.12
216307_at	DGKB	diacylglycerol kinase, beta 90kDa	0.02211	0.89
216513_at	DCT	dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)	0.02211	1.25
216905_s_at	ST14	suppression of tumorigenicity 14 (colon carcinoma)	0.02211	0.57
217397_at	TRA@	T cell receptor alpha locus /// T cell receptor V alpha gene segment V-alpha-w24, clone IGRa02 /// T cell receptor V-alpha 24 (TCRA)	0.02211	1.17
217463_s_at	C11orf9	chromosome 11 open reading frame 9	0.02211	1.2
218093_s_at	ANKRD10	ankyrin repeat domain 10	0.02211	0.58
218479_s_at	XPO4	exportin 4	0.02211	0.64
218763_at	STX18	syntaxin 18	0.02211	0.62
218806_s_at	VAV3	vav 3 oncogene	0.02211	0.68
218839_at	HEY1	hairy/enhancer-of-split related with YRPW motif 1	0.02211	0.58
219872_at	C4orf18	chromosome 4 open reading frame 18	0.02211	0.77
219911_s_at	SLCO4A1	solute carrier organic anion transporter family, member 4A1	0.02211	0.76
220089_at	L2HGDH	L-2-hydroxyglutarate dehydrogenase	0.02211	1.52
220254_at	LRP12	low density lipoprotein-related protein 12	0.02211	0.75
220408_x_at	FAM48A	family with sequence similarity 48, member A	0.02211	0.67
220489_s_at	220489_s_at	NA	0.02211	1.25
220959_s_at	OBP2A /// OBP2B	odorant binding protein 2B /// odorant binding protein 2A	0.02211	1.22
221921_s_at	CADM3	cell adhesion molecule 3	0.02211	1.22
222164_at	FGFR1	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	0.02211	0.83
222927_s_at	CPLX3 /// LMAN1L	lectin, mannose-binding, 1 like /// complexin 3	0.02211	1.16
222967_at	SLC5A7	solute carrier family 5 (choline transporter), member 7	0.02211	1.18
223058_at	FAM107B	family with sequence similarity 107, member B	0.02211	1.53
223600_s_at	KIAA1683	KIAA1683	0.02211	1.52
224469_s_at	C14orf151	chromosome 14 open reading frame 151	0.02211	0.66
224755_at	224755_at	Transcribed locus	0.02211	1.81
225065_x_at	C17orf45	chromosome 17 open reading frame 45	0.02211	0.51
225213_at	PPTC7	PTC7 protein phosphatase homolog (S. cerevisiae)	0.02211	1.43
225366_at	PGM2	phosphoglucomutase 2	0.02211	0.51
225430_at	SFRS9	Splicing factor, arginine/serine-rich 9	0.02211	1.43
225905_s_at	ST3GAL3	ST3 beta-galactoside alpha-2,3-sialyltransferase 3	0.02211	1.35
226145_s_at	FRAS1	Fraser syndrome 1	0.02211	0.36
227139_s_at	HPS3	Hermansky-Pudlak syndrome 3	0.02211	1.62
227179_at	STAU2	staufen, RNA binding protein, homolog 2 (Drosophila)	0.02211	0.57
228072_at	SYT12	synaptotagmin XII	0.02211	0.56
228167_at	KLHL6	kelch-like 6 (Drosophila)	0.02211	0.63
228837_at	228837_at	CDNA FLJ11918 fis, clone HEMBB1000272	0.02211	0.76
228856_at	228856_at	Transcribed locus	0.02211	2.77
229085_at	LRRC3B	leucine rich repeat containing 3B	0.02211	0.84
229572_at	229572_at	Transcribed locus	0.02211	2.01
231146_at	FAM24B	family with sequence similarity 24, member B	0.02211	0.76
231279_at	PATE	expressed in prostate and testis	0.02211	1.13
231384_at	231384_at	MRNA; cDNA DKFZp686F1745 (from clone DKFZp686F1745)	0.02211	0.86
231441_at	MGC26647	hypothetical protein MGC26647	0.02211	1.22
231723_at	SNX12	sorting nexin 12	0.02211	0.82
232089_at	TIGD7	Tigger transposable element derived 7	0.02211	1.37
232924_at	LRRC17	leucine rich repeat containing 17	0.02211	1.19
233131_at	C10orf80	chromosome 10 open reading frame 80	0.02211	1.22
233592_at	ANKRD18A /// ANKRD19 /// LOC643133	ankyrin repeat domain 19 /// ankyrin repeat domain 18A /// hypothetical LOC643133	0.02211	1.23
234312_s_at	ACSS2	acyl-CoA synthetase short-chain family member 2	0.02211	1.85
234798_x_at	C20orf66	chromosome 20 open reading frame 66	0.02211	1.14
235013_at	SLC31A1	solute carrier family 31 (copper transporters), member 1	0.02211	1.66
235129_at	PPP1R1A	protein phosphatase 1, regulatory (inhibitor) subunit 1A	0.02211	2.19
235504_at	GREM2	gremlin 2, cysteine knot superfamily, homolog (Xenopus laevis)	0.02211	2.66
235536_at	LOC731208 /// RNF149	ring finger protein 149 /// similar to ring finger protein 149	0.02211	0.68
235928_at	235928_at	Transcribed locus	0.02211	1.34
236731_at	LUZPP1	leucine zipper protein pseudogene 1	0.02211	1.2
237408_at	237408_at	CDNA FLJ38454 fis, clone FEBRA2019690	0.02211	1.29
238084_at	PCGF3	polycomb group ring finger 3	0.02211	0.75
238501_at	238501_at	Transcribed locus	0.02211	0.76
238628_s_at	TRAPPC2L	trafficking protein particle complex 2-like	0.02211	1.21
238920_at	238920_at	NA	0.02211	0.8
239406_at	ZNF193	Zinc finger protein 193	0.02211	0.72
239493_at	hCG_2015956 /// hCG_31916 /// LOC390413 /// LOC439954 /// LOC653949 /// LOC728380 /// LOC728843 /// LOC730902 /// LOC731437 /// LOC732071 /// RPL7	ribosomal protein L7 /// similar to 60S ribosomal protein L7 /// hypothetical LOC439954 /// hCG2015956 /// hCG31916	0.02211	0.65
240301_at	DPPA2	developmental pluripotency associated 2	0.02211	1.18
240331_at	240331_at	Transcribed locus	0.02211	1.13
240444_x_at	CLIP1	CAP-GLY domain containing linker protein 1	0.02211	1.19
240463_at	240463_at	Transcribed locus, moderately similar to XP_508081.1  similar to TACC2 [Pan troglodytes]	0.02211	0.9
240591_at	KCNIP4	Kv channel interacting protein 4	0.02211	1.16
240646_at	GIMAP8	GTPase, IMAP family member 8	0.02211	0.85
240949_x_at	240949_x_at	Transcribed locus	0.02211	1.13
241052_at	241052_at	Transcribed locus	0.02211	1.12
241286_at	241286_at	Transcribed locus	0.02211	1.18
241870_at	241870_at	Transcribed locus	0.02211	1.24
242274_x_at	SLC25A42	solute carrier family 25, member 42	0.02211	2.42
243062_at	FLCN	Folliculin	0.02211	1.14
1557529_at	C12orf51	chromosome 12 open reading frame 51	0.02251	1.21
238193_at	238193_at	Transcribed locus	0.02251	0.76
