Fold change	Gene Symbol	Representative public ID
-2.4	---	BE501881
-2.4	NAGK	NM_017567
-2.4	B3GNT6	NM_006876
-2.4	LOX	BE503425
-2.4	FRMD3	BF589413
-2.4	ALS2CR3	NM_015049
-2.4	NUDT4 /// NUDT4P1	NM_019094
-2.4	C9orf39	NM_017738
-2.4	URB	AW303375
-2.4	DAB2	N21202
-2.4	DUSP10	AK022513
-2.4	SBP1	BF062538
-2.4	SPRED2	H97931
-2.3	ITSN1	AF114488
-2.3	FLJ14624	D80480
-2.3	LGALS8	L78132
-2.3	ORMDL1	AI809749
-2.3	SH3BGRL3	NM_031286
-2.3	DDX5	AA156797
-2.3	ICAM3	NM_002162
-2.3	KLF12	BE328128
-2.3	SKI	AI568728
-2.3	SMPDL3A	AA873600
-2.3	LOC389833	AI380156
-2.3	C1RL	NM_016546
-2.3	EDEM1	NM_014674
-2.3	CHIC2	NM_012110
-2.3	HSPB8	AF133207
-2.3	F8	NM_000132
-2.3	NISCH	NM_007184
-2.3	BICD1	CA777994
-2.3	LOC348262	BF338291
-2.3	HRBL	AI247494
-2.3	PRCP	NM_005040
-2.3	MLPH	NM_024101
-2.3	ZNF226	AK023091
-2.3	RAB8B	AB038995
-2.3	---	AI471969
-2.3	NUCB1	BC002356
-2.3	LOC257152	AU150691
-2.3	NMT2	NM_004808
-2.3	---	AA744520
-2.3	RABAC1	NM_006423
-2.3	PKD2	NM_000297
-2.3	PARP3	AF083068
-2.3	TXNRD1	NM_003330
-2.3	GPRASP2	BF732712
-2.3	C6orf89	AI870857
-2.3	FAM59A	NM_022751
-2.3	IFNAR1	AA811138
-2.3	PGBD3	AL133084
-2.3	GALGT	NM_001478
-2.3	KIAA1600	AB046820
-2.3	FADS3	AC_004770
-2.3	SFXN3	NM_030971
-2.3	ASE-1	BG111047
-2.3	---	AW590862
-2.3	MGAT2	BC006390
-2.3	BBS4	AI813772
-2.3	SCARB2	NM_005506
-2.3	AHI1	AL136797
-2.3	ACVR1	NM_001105
-2.3	C5orf13	U36189
-2.3	NDE1	NM_017668
-2.3	PTPLA	NM_014241
-2.3	ARFGAP3	BC005122
-2.3	GLT8D1	NM_018446
-2.3	OGG1	NM_016821
-2.3	HIPK2	BF529628
-2.3	MSRB2	NM_016064
-2.3	GATA6	D87811
-2.3	SQSTM1	NM_003900
-2.3	LOC196394	BG031897
-2.3	USP11	BC000350
-2.3	HIST1H2BF	NM_003522
-2.3	SSH1	AL041728
-2.3	RBMS3	AA428240
-2.3	SEC31L1	AB020712
-2.3	CARD8	AF511652
-2.3	HS3ST3B1	AA780067
-2.3	GDI1	NM_001493
-2.3	DNASE1L1	NM_006730
-2.3	ADC	AY050636
-2.3	---	N95440
-2.3	SYNC1	NM_030786
-2.3	SNAI2	AI572079
-2.3	PTPDC1	AA651920
-2.3	SNTB2	AI694536
-2.2	ARL3	NM_004311
-2.2	MALAT1	AI446756
-2.2	UVRAG	NM_003369
-2.2	PTX1	AA102332
-2.2	---	N90870
-2.2	---	BE326214
-2.2	IRS1	NM_005544
-2.2	ATP2B1	AW576457
-2.2	GALC	NM_000153
-2.2	PCYOX1	N45309
-2.2	B4GALT4	BC004523
-2.2	FOSL1	BG251266
-2.2	ZNF516	N38750
-2.2	ZNF329	NM_024620
-2.2	CNTNAP3 /// CNTNAP3B	AF333769
-2.2	CDKN2C	NM_001262
-2.2	ENC1	AF010314
-2.2	GSTT2	NM_000854
-2.2	DKFZp313G1735	AI243677
-2.2	THAP2	AL136607
-2.2	C7orf19	BC016797
-2.2	CNIH4	AA834560
-2.2	ZNF512	N22677
-2.2	FLJ21159	NM_024826
-2.2	TPM1	NM_000366
-2.2	STXBP1	NM_003165
-2.2	ITGAV	AI093579
-2.2	COL5A2	AL575735
-2.2	CD97	NM_001784
-2.2	CAT	AW015521
-2.2	BCL2L1	U72398
-2.2	MYEF2	BF224052
-2.2	INSIG2	AL080184
-2.2	MINPP1	AF084943
-2.2	SPATS2	NM_023071
-2.2	SCYL1BP1	AK021814
-2.2	ZNF84	W92744
-2.2	PLD1	AJ276230
-2.2	ZNF41	NM_007130
-2.2	AKR1C3	AB018580
-2.2	FLOT1	AF117234
-2.2	PRKRA	AI681888
-2.2	FLJ40142	AI870880
-2.2	FSTL1	BC000055
-2.2	CD59	BE379006
-2.2	SYTL4	AL391688
-2.2	GKAP1	AK026487
-2.2	ZNF32	U69645
-2.2	ABC1	AA555088
-2.2	SLC29A1	AF079117
-2.2	---	AI632728
-2.2	SRGAP2	AU144000
-2.2	SLC12A6	NM_005135
-2.2	SLITRK5	AW449813
-2.2	DRCTNNB1A	AA608855
-2.2	PXK	BC014479
-2.2	CERK	NM_022766
-2.2	RAB30	AW294640
-2.2	ATM	U82828
-2.2	COG6	AF116827
-2.2	GBP1	AW014593
-2.2	RPL37	BF724210
-2.2	HIST1H2BH	NM_003524
-2.2	VKORC1	NM_024006
-2.2	MGC40499	AI870866
-2.2	FBXL5	AF157323
-2.2	---	AA459699
-2.2	---	AA768884
-2.1	RAB7L1	BG338251
-2.1	Ells1	W73230
-2.1	C14orf149	BF511003
-2.1	TNKS	AF070613
-2.1	GRCC10	BG339653
-2.1	HPCAL1	BE617588
-2.1	PSIP1	NM_004682
-2.1	PRKAB2	BF593382
-2.1	HIST2H4	AI828075
-2.1	GOLT1B	AL136571
-2.1	---	N30188
-2.1	OSTM1	AV713913
-2.1	AGPAT1	AF007145
-2.1	IRS2	AF073310
-2.1	ACVR2A	AI149508
-2.1	LRRC49	NM_017691
-2.1	LOC346887	BF109660
-2.1	PLEKHC1	AW469573
-2.1	FLJ20719 /// AG1	AV684285
-2.1	KDELR2	BE962456
-2.1	76P	BF592982
-2.1	B3GTL	N51325
-2.1	HLA-A	AA573862
-2.1	GOLGA8B	AF164622
-2.1	LOC285550	AW439843
-2.1	RFP2	AI472310
-2.1	ATP10D	AI478147
-2.1	LIMS1	NM_004987
-2.1	PLXNA2	AI688418
-2.1	HDGFRP3	BE703418
-2.1	YPEL5	NM_016061
-2.1	LYST	NM_000081
-2.1	FLJ37798	AI806330
-2.1	C6orf105	AA470369
-2.1	SPATS2	AL583538
-2.1	ARFGAP1	AL137744
-2.1	MGC15523	BF663461
-2.1	KIAA1164	AI631210
-2.1	SRR	NM_021947
-2.1	INSR	AI215106
-2.1	TRAM1	NM_014294
-2.1	C9orf19	AA284532
-2.1	SCPEP1	NM_021626
-2.1	CCNL2	NM_030937
-2.1	AVIL	NM_006576
-2.1	SLC35D1	N80922
-2.1	TRPC1	NM_003304
-2.1	SDCCAG33	AF039698
-2.1	GNS	NM_002076
-2.1	LRIG2	BF967997
-2.1	PHC2	NM_004427
-2.1	DKFZp762E1312	NM_018410
-2.1	LOC284591	AL079648
-2.1	SPSB1	AF131840
-2.1	FAM8A1	NM_016255
-2.1	---	BF968187
-2.1	C1orf9	NM_016227
-2.1	TMEM39A	NM_018266
-2.1	PPAPDC1B	AF212238
-2.1	KIAA0268 /// UNQ6077 /// LOC440751	D87742
-2.1	HMGCL	NM_000191
-2.1	WDR54	AK023015
-2.1	RAPGEF2	BF439282
-2.1	LOC401320	AI803568
-2.1	C9orf5	AF153415
-2.1	MAP1LC3B	AF183417
-2.1	NCOA3	U80737
-2.1	KIAA1935	AW511595
-2.1	RAPH1	AA194149
-2.1	SMURF2	BE962027
-2.1	ILK	NM_004517
-2.1	NRBP2	N21030
-2.1	MCL1	AI275690
-2.1	C6orf170	AI052103
-2.1	BACH1	NM_001186
-2.1	COL4A5	AW052179
-2.1	LOC90355	AL565741
-2.1	ARID3A	NM_005224
-2.1	KIAA1245 /// LOC200030 /// MGC8902	AI498207
-2.1	FUT8	AB049740
-2.1	MARCH-I	AI707896
-2.1	VAMP1	AU150319
-2.1	TCF4	AI927067
-2.1	---	AW189467
-2.1	C10orf6	AL133215
-2.1	PLD5	AK091691
-2.1	CREB3	AF029674
-2.0	SNAPC1	NM_003082
-2.0	PNMA1	NM_006029
-2.0	HIST2H2BE	NM_003528
-2.0	GCLC	NM_001498
-2.0	C9orf5	AA495988
-2.0	ZNF70	N62996
-2.0	LYPLA3	AL110209
-2.0	GNAI2	NM_002070
-2.0	SH3BGRL	AL515318
-2.0	GALNT7	BF699855
-2.0	STIM2	AK023369
-2.0	WDR45	BC000464
-2.0	CDC42BPA	NM_014826
-2.0	ZCSL2	AU151106
-2.0	CBLB	U26710
-2.0	SERTAD4	AL035414
-2.0	---	BC009463
-2.0	SMAD3	NM_005902
-2.0	KIAA1632	AK023817
-2.0	AHSA2	AW117717
-2.0	CSGlcA-T	AA534198
-2.0	ARNT	BE465380
-2.0	RAB24	AK021761
-2.0	ZBTB16	NM_006006
-2.0	EPC2	AK002010
-2.0	FAM54B	AL512766
-2.0	APRIN	NM_015928
-2.0	YIPF3	AK021433
-2.0	TRIM52	AA205660
-2.0	AKT3	N32526
-2.0	PHF21A	BC015714
-2.0	MAP4K4	NM_017792
-2.0	JAK2	AF001362
-2.0	TCTE1L	NM_006520
-2.0	KLF7	BC012919
-2.0	ACBD3	AI636775
-2.0	RAP140	N38985
-2.0	---	BF679286
-2.0	PDE4D	R40917
-2.0	ARF4	AL537042
-2.0	GNB5	NM_006578
-2.0	TMEM76	NM_025070
-2.0	PDE4B	L20966
-2.0	CHST12	NM_018641
-2.0	RCOR3	AI807073
-2.0	GPR	AA526584
-2.0	ARHGAP23	AV701292
-2.0	PORCN	NM_022825
-2.0	HCFC1R1	AA436930
-2.0	RBMS1	AI950302
-2.0	MGC3265	NM_024028
-2.0	FLJ20245	NM_017723
-2.0	CD151	NM_004357
-2.0	---	AA524299
-2.0	MAPRE2	NM_014268
-2.0	AP1M1	AL562950
2.0	F2RL1	NM_005242
2.0	NOC2L	NM_015658
2.0	ACTR5	AL133519
2.0	KIF21A	AB051495
2.0	TRIM50A	AA554827
2.0	BXDC1	AA976536
2.0	MRPS30	NM_016640
2.0	CYC1	NM_001916
2.0	TAP1	NM_000593
2.0	BID	BC005884
2.0	C6orf173	BG492359
2.0	CXorf53	AI672084
2.0	ATP5G1	AL080089
2.0	RFC2	M87338
2.0	PAQR5	AI934557
2.0	LCP1	J02923
2.0	BOLA3	AI380704
2.0	MGC33648	AI265933
2.0	ABHD11	AI923458
2.0	MASA	NM_021204
2.0	MFI2	BC001875
2.0	KRT7	BC002700
2.0	SH3GLB2	NM_020145
2.0	CTBP2	AF222711
2.0	IQCE	AL136792
2.0	PLCD1	NM_006225
2.0	MGC2477	AW051379
2.0	ZNF552	NM_024762
2.0	UNG	NM_003362
2.0	DUS3L	AI857915
2.0	CCDC6	AK024913
2.0	ZC3H8	AF334161
2.0	RPA3	BC005264
2.0	SQRDL	NM_021199
2.0	ANKRD39	AF151034
2.0	CHCHD4	AI493303
2.0	GCDH	NM_013976
2.0	THNSL1	AI809864
2.0	TPRT	NM_014317
2.1	PHACTR2	NM_014721
2.1	HMGCR	AL518627
2.1	SLC25A21	NM_030631
2.1	EIF2B5	BG112612
2.1	SEC11L3	AF212233
2.1	OGDH	NM_002541
2.1	IDH3A	NM_005530
2.1	C18orf19	BE326738
2.1	DLD	J03620
2.1	DHRS1	AL050217
2.1	MT	AL022237
2.1	SEC23B	AL121900
2.1	ALG14	BU682208
2.1	MGC27019	BE856637
2.1	PTK2B	U43522
2.1	CASP4	U25804
2.1	EHD4	AF320070
2.1	CASP6	U20537
2.1	PNPT1	AI967971
2.1	HIBADH	AL577446
2.1	PPCDC	NM_021823
2.1	RCC1	NM_001269
2.1	GFM1	AK000780
2.1	TROAP	AI199355
2.1	EFEMP1	NM_004105
2.1	CTSC	NM_001814
2.1	TXNL4B	AW194729
2.1	C2orf26	BE669553
2.1	---	BC030754
2.1	RCC2	AB040903
2.1	KIAA1598	AU157109
2.1	PERP	NM_022121
2.1	UBADC1	NM_016172
2.1	SSX2IP	AK001710
2.1	ZNF435	NM_025231
2.1	MYOHD1	AA994178
2.1	MAP4K3	NM_003618
2.1	SPAG1	AF311312
2.1	MRPL21	BF344406
2.1	PSME2	NM_002818
2.1	PHB	NM_002634
2.1	PRR8	BC011923
2.1	CDK6	AW051349
2.1	AACS	NM_023928
2.1	MAC30	BF038366
2.1	ECHDC3	NM_024693
2.1	COTL1	AL565621
2.1	PTER	BF112019
2.1	FLJ20397	BC010850
2.1	SLC39A4	NM_017767
2.1	OAS3	NM_006187
2.1	MARCKSL1	NM_023009
2.1	---	AI197932
2.1	TMEM33	BC000948
2.1	FTS	NM_022476
2.1	TASP1	NM_017714
2.1	FTS	BC001134
2.1	FLJ20366	NM_017786
2.1	DCI	BC002746
2.1	HES7	AB049064
2.1	LITAF	NM_004862
2.1	SRD5A1	NM_001047
2.1	LYSMD2	AI674731
2.1	RAI1	BF984830
2.1	LOC389362	BF973374
2.1	LOC388610	AA037766
2.1	PSF1	NM_021067
2.1	MDH2	BC001917
2.1	---	BE245080
2.1	TIMM13	NM_012458
2.1	LRRC16	BE671038
2.1	TBRG4	NM_004749
2.1	CLDN12	AL136770
2.1	COASY	NM_025233
2.1	MCM6	R54683
2.1	ANKRD15	D79994
2.1	FH	AI363836
2.1	VPS37B	BC005882
2.1	NUDT15	NM_018283
2.1	UCHL5	NM_016017
2.1	ITPK1	AF279372
2.1	KIAA0564	AK025432
2.1	ZNF706	NM_016096
2.1	TNFRSF10A	AW451259
2.1	WBSCR22	NM_017528
2.1	SNN	AF070673
2.1	ING3	AF161419
2.1	CXCL2	M57731
2.2	DKFZP564I0422	AW235671
2.2	BTG1	AL535380
2.2	PLEKHF2	NM_024613
2.2	FLJ20272	NM_017735
2.2	FKBP1A	BC005147
2.2	MGC13096	BC006146
2.2	RALBP1	AA731688
2.2	LOC494143	AI191897
2.2	KBTBD2	AK024577
2.2	SCD	AB032261
2.2	RALA	NM_005402
2.2	DKFZp586I1420	AA832073
2.2	SCNN1A	NM_001038
2.2	E2F2	AL561296
2.2	KLF3	AA130132
2.2	AKAP1	BC000729
2.2	PAFAH1B3	NM_002573
2.2	DKC1	AJ010395
2.2	LYN	AI356412
2.2	KIAA1161	AB032987
2.2	NT5C3	AF312735
2.2	SLC43A3	BC003163
2.2	SVH	BC003586
2.2	SLC19A2	AF153330
2.2	POLD2	NM_006230
2.2	---	BE222078
2.2	SCRIB	AI469403
2.2	ZNF593	NM_015871
2.2	AFG3L2	NM_006796
2.2	DDX21 /// ZNF596	BG164358
2.2	FLJ20160	NM_017694
2.2	---	BF115851
2.2	UTP14A	BC001149
2.2	GFOD1	NM_018988
2.2	NOTCH1	NM_017617
2.2	EXOSC7	AL581473
2.2	RNU3IP2	NM_004704
2.2	C1orf33	NM_016183
2.2	EIF1AX	BE542684
2.2	NFKBIB	AA044140
2.2	SCARB1	NM_005505
2.2	WDR21A	AA160604
2.2	PDLIM1	BC000915
2.2	FLJ40432	AK026922
2.2	VEGF	AF022375
2.2	SKIV2L2	AA525163
2.2	EMR2	NM_013447
2.2	CGI-09	AB032979
2.2	CELSR1	AL031588
2.2	GLYATL2	BC016789
2.2	ATP11A	AW068936
2.2	HSPC268	BF540829
2.2	LOC85865	AC_006153
2.2	PTPN2	NM_002828
2.2	TMEM71	AI342543
2.2	POLR2H	U37689
2.2	TRIB3	NM_021158
2.2	HBEGF	M60278
2.2	---	AW071458
2.2	NRIP1	AI824012
2.2	FLJ40432	AW135279
2.2	C9orf85	AA824363
2.3	ACAA1	AI860341
2.3	RUVBL1	NM_003707
2.3	SLC39A8	AB040120
2.3	FLJ14681	AI769794
2.3	EAF2	NM_018456
2.3	DARS2	AI765051
2.3	KIAA0220	BG534511
2.3	---	BE739287
2.3	MYC	NM_002467
2.3	PRTFDC1	AI871620
2.3	STAT3	BC000627
2.3	VAMP8	NM_003761
2.3	EBPL	AF243433
2.3	IMPDH1	NM_000883
2.3	DBT	M27093
2.3	NOLC1	NM_004741
2.3	TIGD2	AI610112
2.3	FLJ20097	AA523733
2.3	PIK3C2G	AJ000008
2.3	PTGFRN	BF476250
2.3	PTPN3	NM_002829
2.3	POLR3K	NM_016310
2.3	PMS2 /// PMS2CL	U14658
2.3	KIAA1961	BF507437
2.3	PCBD2	AF499009
2.3	NLE1	NM_018096
2.3	PRR5	AA533284
2.3	C16orf33	NM_024571
2.3	DDEFL1	AK000253
2.3	LY6E	NM_002346
2.3	CLN6	D17218
2.3	FAM13A1	NM_014883
2.3	UBE2D4	NM_015983
2.3	BCCIP	BE464077
2.3	TTF2	AF080255
2.3	LGR4	NM_018490
2.3	MCAM	M29277
2.3	RTN4IP1	BC006399
2.3	KIAA0830	AL573201
2.3	AMMECR1	AA707320
2.3	CKLFSF4	AA191708
2.3	RBBP8	NM_002894
2.3	76P	BC000966
2.3	ANKS1	AI990523
2.3	DIO2	AI038059
2.3	XTP3TPA	NM_024096
2.3	SSH3	AA134926
2.3	GPR157	AK026883
2.3	DFFA	AF087573
2.3	GPD1L	AA135522
2.3	EXOSC5	NM_020158
2.3	AK2	AL513611
2.3	PA2G4	U87954
2.3	DIAPH1	AF051782
2.3	BOP1	BG491842
2.3	KIAA1804	AI809005
2.4	CAMK2N1	AW162846
2.4	FOS	BC004490
2.4	POLR2F	BC003582
2.4	ETV6	AV722693
2.4	NPM1	AA191576
2.4	C9orf140	AW250904
2.4	LSM5	NM_012322
2.4	PHF10	NM_018288
2.4	TNFAIP8	BC005352
2.4	LRPPRC	AI653608
2.4	TDRKH	AF227192
2.4	EMP1	AA150501
2.4	PTPLB	AV712602
2.4	MTHFD2L	AA702016
2.4	PIK3C2B	NM_002646
2.4	LOC63929	NM_022098
2.4	STYXL1	AF188204
2.4	FRAT2	AB045118
2.4	PGM2	BF512139
2.4	SLC24A6	NM_024959
2.4	PEX1	NM_000466
2.4	---	AW450675
2.4	LOC285958	AI937446
2.4	USP54	AW242125
2.4	PPARD	AI201116
2.4	BZW2	NM_014038
2.4	DLG3	AI916274
2.4	ID2 /// ID2B	D13891
2.4	ZADH1	BE465894
2.4	LOC440450	BC009278
2.4	ATP5G3	AU153583
2.4	FLJ32549	AI885871
2.4	---	BU617042
2.4	FRK	NM_002031
2.4	ENOSF1	NM_017512
2.4	---	AK001829
2.4	RAB26	NM_014353
2.5	COQ3	AL136726
2.5	EIF3S9	BC001173
2.5	TSEN54	BF345244
2.5	STX3A	AJ002077
2.5	ASH1L	BC017347
2.5	NNMT	NM_006169
2.5	INSIG1	BE300521
2.5	C6orf108	NM_006443
2.5	RIN3	AA625133
2.5	C20orf42	AA469071
2.5	ZNF600	AI620827
2.5	ATP1B1	BC000006
2.5	ADK	U90339
2.5	PIK3R3	BE622627
2.5	---	AI769269
2.5	MAK3	NM_025146
2.5	C2orf31	NM_030804
2.5	RAB3IP	BC002556
2.5	FLJ22531	AW962511
2.5	FLJ30655	BC014677
2.5	CA8	AA330389
2.5	KIAA0040	T79953
2.5	---	AK001164
2.5	CHD7	NM_017780
2.5	JTV1	NM_006303
2.5	PURB	BF337790
2.5	SBF2	BC011742
2.5	MASK	NM_016542
2.5	SULT1A3 /// SULT1A4	U08032
2.5	PLA2G4A	M68874
2.5	KIAA0114	BG255416
2.5	UNC93B1	AW001274
2.5	NPM3	NM_006993
2.5	MGC5352	CA307621
2.5	GSTO2	AL162742
2.5	MID1	BE967532
2.5	IPO4	NM_024658
2.5	HADHSC	BC000306
2.5	LRRC1	NM_018214
2.5	HSPB1	NM_001540
2.5	KITLG	AI446414
2.5	FOSL2	AI860150
2.5	---	H16725
2.5	MYCBP	AL525412
2.5	HS6ST2	NM_147174
2.5	IDH2	U52144
2.5	FLJ13910	AK022815
2.5	ECM2	NM_001393
2.5	SOD2	W46388
2.5	EGFR	BE878463
2.5	SEMA4D	NM_006378
2.6	CNDP2	NM_018235
2.6	MCCC2	AB050049
2.6	---	AI620209
2.6	LMO7	AA100793
2.6	EBNA1BP2	NM_006824
2.6	AHCY	NM_000687
2.6	LANCL2	NM_018697
2.6	RBM28	NM_018077
2.6	ACY1	NM_000666
2.6	ZNF655	AI740938
2.6	PSMB9	NM_002800
2.6	CMIP	AI363061
2.6	C1QBP	L04636
2.6	SULF2	AL133001
2.6	---	AI357639
2.6	---	H78106
2.6	CABC1	NM_020247
2.6	HRMT1L3	AL551971
2.6	TEX9	AA020920
2.6	MRPS33	NM_016071
2.6	ARRDC1	AK001822
2.6	PLSCR1	AI825926
2.6	FLJ38725	NM_153218
2.6	KRT9	NM_000226
2.6	C14orf65	AA728758
2.6	PARP12	NM_022750
2.6	---	AA169515
2.6	PITX1	NM_002653
2.6	OTUB2	NM_023112
2.6	LIAS	BF056778
2.6	MRPS25	AW341440
2.6	DUSP14	NM_007026
2.7	CTSH	NM_004390
2.7	NCOA7	AL035689
2.7	CNNM4	NM_020184
2.7	RTKN	BC004558
2.7	EPS15L1	AK023744
2.7	HMGCS1	BG035985
2.7	NBL1	NM_005380
2.7	ASNS	NM_001673
2.7	CSTA	NM_005213
2.7	ATP6V1A	NM_001690
2.7	---	AA805622
2.7	STN2	AA632295
2.7	PPIF	NM_005729
2.7	MCM4	AI936566
2.7	KDR	NM_002253
2.7	MAP2K3	AA780381
2.7	---	BF224444
2.7	ITGA6	NM_000210
2.7	SGK	NM_005627
2.7	---	BF513121
2.7	ABCC2	NM_000392
2.7	KIF9	AI657069
2.7	SLC44A5	AA001450
2.7	FASN	AI954041
2.7	NPAL1	AU158253
2.7	KIAA1522	AB040955
2.7	HOXC13	NM_017410
2.7	ID2	NM_002166
2.7	MRRF	BF438352
2.7	MRPS17	NM_015969
2.7	HES4	NM_021170
2.7	HSPC111	NM_016391
2.7	ADORA2B	NM_000676
2.7	C20orf18	BE788439
2.7	PYGL	NM_002863
2.7	FBXL16	AI613010
2.7	PNPO	NM_018129
2.7	NME7	AI094580
2.8	FLJ32810	BF439533
2.8	CHN1	BF339445
2.8	KLHL7	NM_018846
2.8	DKFZp762A217	AI765006
2.8	C6orf52	AW001000
2.8	DHTKD1	BC002477
2.8	MDFIC	BC040713
2.8	---	AW274846
2.8	SLC37A1	NM_018964
2.8	ACTR3B	AB039791
2.8	BAIAP2L1	AA496034
2.8	REL	NM_002908
2.8	GMDS	NM_001500
2.8	CHMP4C	AK000049
2.8	GPR126	AL033377
2.8	SLC9A3R1	NM_004252
2.8	GCSH	AW237404
2.8	ROR1	NM_005012
2.8	TRAF4	AI992283
2.8	ARHGEF5	NM_005435
2.8	EPB41L1	AA912711
2.8	NRP2	AK024680
2.8	OSBP2	BE501253
2.8	LOC57228	BC003379
2.8	NET1	NM_005863
2.8	DLAT	AW299740
2.8	BRI3BP	BG106919
2.8	CA13	BF111998
2.8	TMCO4	AI972419
2.8	FLJ20485	NM_019042
2.8	MGC3234	BE092211
2.8	KIAA1217	AL157473
2.9	---	AL833150
2.9	PSAT1	NM_021154
2.9	KIAA1727	AA527080
2.9	LRRC8E	AA532807
2.9	MB	NM_005368
2.9	EPSTI1	AA633203
2.9	PIP5K2C	NM_024779
2.9	SPR	AI951454
2.9	ARNTL2	AF256215
2.9	WDR4	AI861913
2.9	ADRB2	NM_000024
2.9	POLR3G	BF062139
2.9	ASS	NM_000050
2.9	LOC440995	AI885815
2.9	FLJ11155	AI432488
2.9	KIAA1671	AB051458
2.9	C9orf150	AI972386
2.9	AK3L1	AK026966
2.9	ORF1-FL49	AL522667
3.0	AVPI1	NM_021732
3.0	UCHL3	NM_006002
3.0	KCTD14	AI672101
3.0	ROD1	AW190873
3.0	---	AA523172
3.0	RRS1	BC001811
3.0	TTC7A	AB032966
3.0	GDA	AF019638
3.0	SLC24A6	AI339568
3.0	MCF2	NM_005369
3.0	RASSF5	BC004270
3.0	CAMK2G	BF111268
3.0	KIAA0153	NM_015140
3.0	SLC3A2	NM_002394
3.0	CELSR2	D87469
3.0	CRABP2	NM_001878
3.1	TBC1D4	NM_014832
3.1	BCL2L11	AK027160
3.1	UPP1	NM_003364
3.1	---	BG109230
3.1	FHOD3	NM_025135
3.1	TMEM54	AL545105
3.1	C6orf192	AV729072
3.1	PECR	AF119841
3.1	KCTD1	AA115278
3.1	LOC401151	BF196943
3.1	C6orf114	BC009205
3.1	DUS4L	NM_007016
3.1	LOC202781	BG400596
3.1	SH3BP5	NM_004844
3.1	SYNGR2	NM_004710
3.1	FAM83F	BE786265
3.1	NSE1	AK025063
3.1	LYPD3	NM_014400
3.2	MARS2	BE542381
3.2	LAMB3	L25541
3.2	PDZK1IP1	NM_005764
3.2	DUSP16	AB051487
3.2	GOT1	BC000498
3.2	EDN1	J05008
3.2	MICAL-L1	W46406
3.2	FKBP4	NM_002014
3.2	C7orf24	AK021779
3.2	FLJ22374	BE857689
3.2	LPIN1	AV705559
3.2	SLC25A13	NM_014251
3.2	CA8	NM_004056
3.2	ANK3	NM_020987
3.2	UNC5B	AK022859
3.3	TACC2	NM_006997
3.3	SERPINA1	AF119873
3.3	TNFSF13 /// TNFSF12-TNFSF13	AF114013
3.3	AQP3	N74607
3.3	METRN	BE965311
3.3	PRKX	NM_005044
3.3	TAP2	NM_000544
3.3	MDS028	W25881
3.3	---	AI674565
3.3	SDPR	BF982174
3.3	SCAND1	AA845353
3.3	MCM7	AF279900
3.3	PDE1C	NM_005020
3.4	TA-PP2C	AA521311
3.4	NYREN18	BC034716
3.4	SYT8	AL137708
3.4	C6orf115	AF116682
3.4	FBXO32	AW006123
3.4	MAP3K9	AV753204
3.4	MYO1D	AA621962
3.4	NHSL1	AI871589
3.4	EPS8L2	NM_022772
3.4	SFXN4	AI346445
3.4	FLJ23867	BE301252
3.4	RDH13	BG163591
3.4	MAP3K1	AA541479
3.4	IMMP2L	AI784580
3.5	MOCOS	NM_017947
3.5	LOC89944	R48779
3.5	CD9	NM_001769
3.5	DCXR	NM_016286
3.5	ACY1L2	AI654133
3.5	COMTD1	AI924025
3.5	DAB2IP	AB051530
3.5	CEBPZ	BG505096
3.5	MRPS12	AA513737
3.5	FLJ21901	NM_024622
3.5	CACNA2D3	NM_018398
3.5	ZDHHC23	AW003367
3.6	HSPA4L	NM_014278
3.6	CDKN1C	N33167
3.6	RAB11FIP1	NM_025151
3.6	ABHD7	AI807532
3.6	TFAP2A	BF343007
3.6	KLHDC4	NM_017566
3.6	---	AK000776
3.6	PCBD1	NM_000281
3.6	---	AL359055
3.6	SFRP1	NM_003012
3.6	FRMD4B	AU145019
3.6	KCNS3	NM_002252
3.6	C9orf116	AU160041
3.6	LIMK2	NM_005569
3.7	CLTB	BC006332
3.7	MIPEP	U80034
3.7	---	AV716964
3.7	VDR	NM_000376
3.7	F12	NM_000505
3.7	PLEKHH1	AB033026
3.7	HPSE	NM_006665
3.7	KRT14	BC002690
3.7	MGC15416	AW001250
3.8	ELL3	NM_025165
3.8	---	BC042986
3.8	DDR1	NM_001954
3.8	HERC6	NM_017912
3.8	---	AV726540
3.8	SH3YL1	NM_015677
3.8	SPINT2	AF027205
3.8	MMP28	AI927208
3.8	RAB17	NM_022449
3.8	C22orf16	AI814909
3.8	MGC72075	BF055370
3.8	SHMT1	L23928
3.9	CORO1A	U34690
3.9	TRAP1	NM_016292
3.9	DSG2	NM_001943
3.9	GPCR5A	AA156240
3.9	MGC4172	NM_024308
3.9	GPR160	BC000181
3.9	PIM3	BE778706
3.9	DTX4	AV728526
3.9	FAM84B	AL039862
3.9	DOCK8	AL161725
4.0	ELAVL2	NM_004432
4.0	STARD10	D60944
4.0	SOX9	NM_000346
4.0	MYO1B	BF215996
4.0	JUP	NM_021991
4.0	GUCY1B3	W93728
4.0	SLC20A2	NM_006749
4.0	CARD10	AY028896
4.0	MALL	BC003179
4.0	MIA	NM_006533
4.1	KIAA1833	AW664013
4.1	NPY1R	NM_000909
4.1	CTSS	NM_004079
4.1	GALNT6	NM_007210
4.2	ABLIM1	NM_006720
4.2	L2HGDH	NM_024884
4.2	SYDE2	AL834286
4.2	IL17D	AI669535
