Curated Gene Symbol	Gene Name		Systematic Name Dex			DAC	Dex+DAC
TRNP1	LOC388610		NM_001013642		0.7	1.2	3.3
	THC2657647		THC2657647		1.1	1.1	3.3
RAB3C	RAB3C		NM_138453		1.1	1.1	3.3
ANKRD22	ANKRD22		NM_144590		1.1	1.1	3.3
	BU930695		BU930695		1.1	1.1	3.3
PAPSS2	PAPSS2		NM_001015880		0.7	0.7	3.3
SAA3P	SAA3P		AY209188		1.1	1.1	3.3
	THC2529452		THC2529452		0.6	1.3	3.3
DNM3	DNM3		NM_015569		0.8	1.6	3.3
	LOC151146		AK021716		1.1	1.1	3.3
KCNE1	KCNE1		NM_000219		1.1	1.1	3.3
	AA729924		AA729924		1.1	1.1	3.3
CHRNB4	CHRNB4		NM_000750		1.1	1.1	3.2
CFTR	CFTR		NM_000492		0.7	1.4	3.2
C22orf24	C22orf24		AL050256		1.1	1.1	3.2
SRD5A2	SRD5A2		NM_000348		1	1.2	3.2
	LOC541473		NM_001013748		1.1	1.1	3.2
				ENST00000315302	0.6	1.1	3.2
DNAJC22	FLJ13236		NM_024902		1.1	1	3.2
	BC024651		BC024651		1	1.2	3.2
GPR161	GPR161		NM_153832		1	1	3.2
PRL	PRL		NM_000948		0.8	0.7	3.2
	AF086125		AF086125		0.7	1.4	3.2
	THC2533951		THC2533951		0.8	1.3	3.1
	LOC89944		NM_138342		1	0.6	3.1
HOXA4	HOXA4		NM_002141		0.7	1	3
		A_23_P159163			0.8	0.8	3
		A_24_P940385			0.7	1.3	3
MAGED4	MAGED4		NM_030801		0.8	1.3	3
ARHGAP20	ARHGAP20		NM_020809		0.7	1	2.9
		A_32_P124392			0.9	0.9	2.9
	AK001062		AK001062		0.7	1.3	2.9
CXCL12	CXCL12		NM_199168		0.9	0.9	2.8
	CR597597		CR597597		0.8	1	2.8
C1orf115	C1orf115		NM_024709		0.7	0.7	2.8
GJA4	GJA4		NM_002060		0.8	0.7	2.7
GCH1	GCH1		NM_000161		0.6	1.1	2.6
DUSP13	DUSP13		NM_001007271		0.9	0.7	2.6
	CR622072		CR622072		0.6	1	2.5
COL13A1	COL13A1		NM_005203		0.7	0.6	2.5
ROR2	ROR2		NM_004560		0.8	0.7	2.5
