Probe	ChipID	name	FOLD PL 21-17	FOLD AM 21-17	 RATIO AM vs PL 	P_INT_GEA_R_AGE_TR
RAE230A:1373222_at	1373222_at	hexosaminidase A	0.23	0.29	1.26	
RAE230A:1383671_at	1383671_at	a disintegrin and metalloproteinase domain 9 (meltrin gamma)	0.58	0.73	1.26	
RAE230A:1368859_at	1368859_at	"protein phosphatase 1A, magnesium dependent, alpha isoform"	0.62	0.78	1.26	
RAE230A:1373411_at	1373411_at	"Similar to translation factor sui1 homolog (LOC301068), mRNA"	0.62	0.78	1.26	
RAE230A:1373922_at	1373922_at	"Similar to KIAA1728 protein (LOC311055), mRNA"	0.62	0.78	1.26	
RAE230A:1376794_at	1376794_at	Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase	0.66	0.83	1.26	
RAE230A:1390171_at	1390171_at	"Similar to hypothetical protein BC008163 (LOC362618), mRNA"	0.39	0.49	1.26	
RAE230A:1373051_at	1373051_at	liver regeneration p-53 related protein	0.43	0.54	1.26	
RAE230A:1387257_at	1387257_at	secretin	0.51	0.64	1.25	
RAE230A:1386956_at	1386956_at	"scavenger receptor class B, member 1"	0.59	0.74	1.25	
RAE230A:1375346_at	1375346_at	Transcribed sequence with weak similarity to protein ref:NP_061894.1 (H.sapiens) hypothetical protein FLJ20010 [Homo sapiens]	0.59	0.74	1.25	
RAE230A:1368247_at	1368247_at	heat shock 70kD protein 1A	1.77	2.22	1.25	
RAE230A:1372954_at	1372954_at	"Sprague-Dawley UV73 mRNA, partial sequence"	1.97	2.47	1.25	
RAE230A:1371027_at	1371027_at	Cas-Br-M (murine) ectropic retroviral transforming sequence b	0.71	0.89	1.25	
RAE230A:1374914_at	1374914_at	"Similar to Fanconi anemia, complementation group E (LOC309643), mRNA"	1.55	1.94	1.25	
RAE230A:1371298_at	1371298_at	H19 fetal liver mRNA	0.04	0.05	1.25	
RAE230A:1374491_at	1374491_at	chemokine-like factor super family 8	0.36	0.45	1.25	
RAE230A:1390449_at	1390449_at	"Transcribed sequence with strong similarity to protein pdb:1BGM (E. coli) O Chain O, Beta-Galactosidase"	0.36	0.45	1.25	
RAE230A:1398254_at	1398254_at	renin-binding protein	0.16	0.2	1.25	
RAE230A:1367668_a_at	1367668_a_at	stearoyl-Coenzyme A desaturase 2	0.48	0.6	1.25	
RAE230A:1374890_at	1374890_at	Transcribed sequences	0.56	0.7	1.25	
RAE230A:1376591_a_at	1376591_a_at	"Similar to RIKEN cDNA 1810059G22 (LOC309193), mRNA"	0.68	0.85	1.25	
RAE230A:1387812_at	1387812_at	Subtilisin - like endoprotease	0.65	0.81	1.25	
RAE230A:1373162_at	1373162_at	no description	0.61	0.76	1.25	
RAE230A:1376936_at	1376936_at	Transcribed sequences	0.61	0.76	1.25	
RAE230A:1368840_at	1368840_at	TORID	0.57	0.71	1.25	
RAE230A:1374432_at	1374432_at	activated leukocyte cell adhesion molecule	0.53	0.66	1.25	
RAE230A:1374300_at	1374300_at	"Similar to lysosomal apyrase-like 1 (LOC361063), mRNA"	0.45	0.56	1.24	
RAE230A:1371402_at	1371402_at	"ATPase, H+ transporting, lysosomal (vacuolar proton pump), beta 56/58 kDa, isoform 2"	0.41	0.51	1.24	
RAE230A:1372564_at	1372564_at	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	0.7	0.87	1.24	
RAE230A:1388002_at	1388002_at	serine/threonine protein kinase TAO1	0.66	0.82	1.24	
RAE230A:1383169_at	1383169_at	Transcribed sequences	0.62	0.77	1.24	
RAE230A:1370986_s_at	1370986_s_at	no description	0.62	0.77	1.24	
RAE230A:1370047_at	1370047_at	ectonucleotide pyrophosphatase/phosphodiesterase 1	0.58	0.72	1.24	
RAE230A:1372612_at	1372612_at	dynein light chain-2	0.46	0.57	1.24	
RAE230A:1387630_at	1387630_at	fatty acid elongase 1	0.67	0.83	1.24	
RAE230A:1375416_at	1375416_at	"Similar to DNA segment, Chr 11, Wayne State University 99, expressed (LOC360651), mRNA"	0.59	0.73	1.24	
RAE230A:1372276_at	1372276_at	Transcribed sequences	0.17	0.21	1.24	
RAE230A:1370563_at	1370563_at	3-alpha-hydroxysteroid dehydrogenase	0.68	0.84	1.24	
RAE230A:1376339_at	1376339_at	"Similar to KIAA1280 protein (LOC317439), mRNA"	0.47	0.58	1.23	
RAE230A:1389654_at	1389654_at	cytosolic leucine-rich protein	1.41	1.74	1.23	
RAE230A:1373373_at	1373373_at	Transcribed sequences	1.71	2.11	1.23	
RAE230A:1372126_at	1372126_at	Transcribed sequences	0.43	0.53	1.23	
RAE230A:1373315_at	1373315_at	"Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only"	0.43	0.53	1.23	
RAE230A:1372873_at	1372873_at	"Hypothetical LOC307390 (LOC307390), mRNA"	0.69	0.85	1.23	
RAE230A:1388342_at	1388342_at	Transcribed sequences	1.51	1.86	1.23	
RAE230A:1369973_at	1369973_at	xanthine dehydrogenase	0.74	0.91	1.23	
RAE230A:1389598_at	1389598_at	"Similar to CLN6 protein (LOC315746), mRNA"	0.35	0.43	1.23	
RAE230A:1384334_at	1384334_at	no description	0.7	0.86	1.23	
RAE230A:1369665_a_at	1369665_a_at	interleukin 18	1.4	1.72	1.23	
RAE230A:1368426_at	1368426_at	carnitine O-octanoyltransferase	0.57	0.7	1.23	
RAE230A:1389041_at	1389041_at	vacuole 14 protein (S. cerevisiae)	0.57	0.7	1.23	
RAE230A:1377283_at	1377283_at	"Similar to light ear protein (LOC304555), mRNA"	0.57	0.7	1.23	
RAE230A:1373067_at	1373067_at	beta-catenin	0.79	0.97	1.23	
RAE230A:1373566_at	1373566_at	"DD6A4-12(7)-1 mRNA, partial sequence"	0.66	0.81	1.23	
RAE230A:1387391_at	1387391_at	cyclin-dependent kinase inhibitor 1A	1.85	2.27	1.23	
RAE230A:1374176_at	1374176_at	"Similar to DNA segment, Chr 4, Brigham & Womens Genetics 0951 expressed (LOC362535), mRNA"	1.68	2.06	1.23	
RAE230A:1371723_at	1371723_at	"Similar to Gtr2 protein (LOC298514), mRNA"	0.62	0.76	1.23	
RAE230A:1390070_at	1390070_at	Transcribed sequences	0.4	0.49	1.23	
RAE230A:1370080_at	1370080_at	heme oxygenase 1	0.4	0.49	1.23	
RAE230A:1369111_at	1369111_at	fatty acid binding protein 1	1.38	1.69	1.22	
RAE230A:1370220_at	1370220_at	retinoid-inducible serine caroboxypetidase	0.49	0.6	1.22	
RAE230A:1368072_at	1368072_at	B-cell translocation gene 3	0.49	0.6	1.22	
RAE230A:1373491_at	1373491_at	no description	0.45	0.55	1.22	
RAE230A:1376230_at	1376230_at	Transcribed sequences	0.63	0.77	1.22	
RAE230A:1388107_at	1388107_at	protein phosphatase 2A B regulatory subunit delta isoform	0.54	0.66	1.22	
RAE230A:1369725_at	1369725_at	Centaurin-alpha2 protein	0.59	0.72	1.22	
RAE230A:1368282_at	1368282_at	dipeptidase 1	2.18	2.66	1.22	
RAE230A:1369590_a_at	1369590_a_at	DNA-damage inducible transcript 3	0.64	0.78	1.22	
RAE230A:1370313_at	1370313_at	brain acyl-CoA hydrolase	1.51	1.84	1.22	
RAE230A:1368195_at	1368195_at	protein associating with small stress protein PASS1	0.55	0.67	1.22	
RAE230A:1369948_at	1369948_at	nerve growth factor receptor associated protein 1	0.46	0.56	1.22	
RAE230A:1373639_at	1373639_at	"Similar to RIKEN cDNA 2410022L05 (LOC290925), mRNA"	0.69	0.84	1.22	
RAE230A:1390472_at	1390472_at	"Similar to 2210023K21Rik protein (LOC305237), mRNA"	1.52	1.85	1.22	
RAE230A:1376627_at	1376627_at	Transcribed sequences	1.43	1.74	1.22	
RAE230A:1374718_at	1374718_at	Transcribed sequences	0.37	0.45	1.22	
RAE230A:1369733_at	1369733_at	beta-catenin	0.74	0.9	1.22	
RAE230A:1391428_at	1391428_at	Transcribed sequences	0.51	0.62	1.22	
RAE230A:1388121_at	1388121_at	sperm membrane protein (YWK-II)	0.65	0.79	1.22	
RAE230A:1371850_at	1371850_at	"Similar to ATP sulfurylase/APS kinase (LOC295443), mRNA"	0.47	0.57	1.21	
RAE230A:1373568_at	1373568_at	"Similar to transforming protein bmi1 - mouse (LOC307151), mRNA"	0.66	0.8	1.21	
RAE230A:1398781_at	1398781_at	"ATPase, vacuolar, 14 kD"	0.52	0.63	1.21	
RAE230A:1393414_at	1393414_at	Transcribed sequences	0.52	0.63	1.21	
RAE230A:1370256_at	1370256_at	frizzled homolog 1 (Drosophila)	0.38	0.46	1.21	
RAE230A:1389809_at	1389809_at	Transcribed sequences	0.57	0.69	1.21	
RAE230A:1398264_at	1398264_at	"solute carrier family 30, member 2"	0.43	0.52	1.21	
RAE230A:1371360_at	1371360_at	Transcribed sequence with moderate similarity to protein sp:Q92597 (H.sapiens) NDR1_HUMAN NDRG1 protein	0.67	0.81	1.21	
RAE230A:1388051_at	1388051_at	"solute carrier family 26, member 3"	0.67	0.81	1.21	
RAE230A:1390031_at	1390031_at	"Similar to hypothetical protein FLJ14466 (LOC304496), mRNA"	0.72	0.87	1.21	
RAE230A:1377143_at	1377143_at	galactose transporter	1.49	1.8	1.21	
RAE230A:1390434_at	1390434_at	TNFRSF1A-associated via death domain	1.45	1.75	1.21	
RAE230A:1376781_at	1376781_at	Transcribed sequences	0.34	0.41	1.21	
RAE230A:1367721_at	1367721_at	syndecan 4	0.68	0.82	1.21	
RAE230A:1373152_at	1373152_at	"Similar to RIKEN cDNA 2310046G15 gene (LOC308807), mRNA"	0.73	0.88	1.21	
RAE230A:1390102_at	1390102_at	"Similar to hypothetical protein MGC47126 (LOC303902), mRNA"	0.44	0.53	1.2	
RAE230A:1375173_at	1375173_at	RDCR-0918-3 protein	0.49	0.59	1.2	
RAE230A:1371629_at	1371629_at	"Similar to RIKEN cDNA 4930415K17 (LOC291670), mRNA"	0.49	0.59	1.2	
RAE230A:1369726_at	1369726_at	TAP binding protein	0.64	0.77	1.2	
RAE230A:1371336_at	1371336_at	"Similar to HN1 (LOC287828), mRNA"	1.58	1.9	1.2	
RAE230A:1390090_at	1390090_at	no description	2.59	3.11	1.2	
RAE230A:1369420_at	1369420_at	neuraminidase 3	0.25	0.3	1.2	
RAE230A:1369636_at	1369636_at	sorbitol dehydrogenase	0.15	0.18	1.2	
RAE230A:1389403_at	1389403_at	bone morphogenetic protein 7	0.3	0.36	1.2	
RAE230A:1368692_a_at	1368692_a_at	choline kinase	0.65	0.78	1.2	
RAE230A:1370259_a_at	1370259_a_at	parathyroid hormone receptor 1	0.25	0.3	1.2	
RAE230A:1373161_at	1373161_at	"Similar to RIKEN cDNA 6530411B15 (LOC303356), mRNA"	1.36	1.63	1.2	
RAE230A:1368365_at	1368365_at	"aldehyde dehydrogenase family 3, subfamily A2"	1.77	2.12	1.2	
RAE230A:1389716_at	1389716_at	Transcribed sequences	2.63	3.15	1.2	
RAE230A:1368905_at	1368905_at	"carboxylesterase 2 (intestine, liver)"	1.47	1.76	1.2	
RAE230A:1374335_at	1374335_at	GATA binding protein 6	0.66	0.79	1.2	
RAE230A:1387947_at	1387947_at	"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)"	0.61	0.73	1.2	
RAE230A:1387202_at	1387202_at	intercellular adhesion molecule 1	0.61	0.73	1.2	
RAE230A:1383322_at	1383322_at	RAS-like family 11 member B	0.51	0.61	1.2	
RAE230A:1369077_at	1369077_at	N-acylsphingosine amidohydrolase (acid ceramidase)	0.46	0.55	1.2	
RAE230A:1373175_at	1373175_at	"Similar to RIKEN cDNA 1100001H23 (LOC297694), mRNA"	0.41	0.49	1.2	
RAE230A:1371260_at	1371260_at	mast cell protease 2	2.31	2.76	1.19	
RAE230A:1389832_at	1389832_at	glutathione S-transferase omega 1	0.67	0.8	1.19	
RAE230A:1389988_at	1389988_at	"Similar to KCTD2 protein (LOC363705), mRNA"	0.67	0.8	1.19	
RAE230A:1367559_at	1367559_at	ferritin light chain 1	0.62	0.74	1.19	
RAE230A:1376144_at	1376144_at	"Similar to B aggressive lymphoma (LOC303905), mRNA"	0.62	0.74	1.19	
RAE230A:1388531_at	1388531_at	"Similar to 4631434O19Rik protein (LOC361940), mRNA"	0.62	0.74	1.19	
RAE230A:1371475_at	1371475_at	"ribonuclease, RNase A family 4"	0.57	0.68	1.19	
RAE230A:1386943_at	1386943_at	plasmolipin	0.26	0.31	1.19	
RAE230A:1383649_a_at	1383649_a_at	no description	0.52	0.62	1.19	
RAE230A:1373043_at	1373043_at	"Similar to SDF2 like protein 1 (LOC287936), mRNA"	0.73	0.87	1.19	
RAE230A:1387045_at	1387045_at	"ATPase, H+ transporting, lysosomal noncatalytic accessory protein 1a"	0.47	0.56	1.19	
RAE230A:1369909_s_at	1369909_s_at	fasting-inducible integral membrane protein TM6P1	0.47	0.56	1.19	
RAE230A:1374800_at	1374800_at	Transcribed sequences	0.68	0.81	1.19	
RAE230A:1369851_at	1369851_at	myocyte enhancer factor 2D	0.68	0.81	1.19	
RAE230A:1371412_a_at	1371412_a_at	"Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only"	0.63	0.75	1.19	
RAE230A:1387876_at	1387876_at	signal transducer and activator of transcription 5B	0.58	0.69	1.19	
RAE230A:1390172_at	1390172_at	"Similar to KIAA1630 protein (LOC361272), mRNA"	0.53	0.63	1.19	
RAE230A:1376401_at	1376401_at	Transcribed sequences	0.69	0.82	1.19	
RAE230A:1368501_s_at	1368501_s_at	mast cell protease 9	1.49	1.77	1.19	
RAE230A:1389355_at	1389355_at	immediate early response 5	1.65	1.96	1.19	
RAE230A:1374698_at	1374698_at	no description	1.44	1.71	1.19	
RAE230A:1372778_at	1372778_at	"Transcribed sequence with strong similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only"	0.75	0.89	1.19	
RAE230A:1384288_at	1384288_at	no description	0.59	0.7	1.19	
RAE230A:1372099_at	1372099_at	NP61201	0.43	0.51	1.19	
RAE230A:1399089_at	1399089_at	"Similar to N system amino acid transporter NAT-1 (LOC299139), mRNA"	0.27	0.32	1.19	
RAE230A:1389600_at	1389600_at	"Similar to Coatomer gamma-2 subunit (Gamma-2 coat protein) (Gamma-2 COP) (LOC301742), mRNA"	0.65	0.77	1.18	
RAE230A:1385088_at	1385088_at	"Hypothetical LOC304650 (LOC304650), mRNA"	0.65	0.77	1.18	
RAE230A:1388523_at	1388523_at	"Similar to RIKEN cDNA 0610040B21 (LOC298370), mRNA"	0.65	0.77	1.18	
RAE230A:1373814_at	1373814_at	"Similar to mKIAA1002 protein (LOC362894), mRNA"	0.65	0.77	1.18	
RAE230A:1387994_at	1387994_at	oxidative 17 beta hydroxysteroid dehydrogenase type 6	1.68	1.99	1.18	
RAE230A:1372027_at	1372027_at	Transcribed sequences	0.6	0.71	1.18	
RAE230A:1373204_at	1373204_at	"Hypothetical LOC297077 (LOC297077), mRNA"	0.71	0.84	1.18	
RAE230A:1388366_at	1388366_at	"Similar to mitochondrial ribosomal protein L4 isoform a (LOC363023), mRNA"	1.42	1.68	1.18	
RAE230A:1369073_at	1369073_at	"nuclear receptor subfamily 1, group H, member 4"	0.55	0.65	1.18	
RAE230A:1375030_at	1375030_at	Transcribed sequences	9.25	10.93	1.18	
RAE230A:1372809_at	1372809_at	"Hypothetical LOC290595 (LOC290595), mRNA"	0.61	0.72	1.18	
RAE230A:1388675_at	1388675_at	"Similar to spinster-like protein (LOC361648), mRNA"	0.61	0.72	1.18	
RAE230A:1367873_at	1367873_at	"ATPase, H+ transporting, lysosomal (vacuolar proton pump), subunit 1"	0.5	0.59	1.18	
RAE230A:1371793_at	1371793_at	no description	0.5	0.59	1.18	
RAE230A:1373960_at	1373960_at	"Similar to transmembrane protein induced by tumor necrosis factor alpha (LOC288591), mRNA"	2.12	2.5	1.18	
RAE230A:1373294_at	1373294_at	"Similar to hypothetical protein FLJ20502 (LOC289603), mRNA"	0.67	0.79	1.18	
RAE230A:1375011_at	1375011_at	Transcribed sequences	0.67	0.79	1.18	
RAE230A:1371439_at	1371439_at	"Similar to protein 4.1, P4.1 - mouse (LOC313052), mRNA"	0.67	0.79	1.18	
RAE230A:1376861_at	1376861_at	"Similar to RIKEN cDNA 1810018L05 (LOC317312), mRNA"	0.28	0.33	1.18	
RAE230A:1377408_at	1377408_at	"phospholipase A2, group VI"	0.62	0.73	1.18	
RAE230A:1376795_at	1376795_at	Transcribed sequences	1.47	1.73	1.18	
RAE230A:1373104_at	1373104_at	"Similar to mKIAA0376 protein (LOC361828), mRNA"	0.51	0.6	1.18	
RAE230A:1398841_at	1398841_at	ras-related protein	0.68	0.8	1.18	
RAE230A:1387793_at	1387793_at	ERM-binding phosphoprotein	0.68	0.8	1.18	
RAE230A:1376680_at	1376680_at	Transcribed sequences	0.68	0.8	1.18	
RAE230A:1389347_at	1389347_at	"Similar to Dres9 (LOC361694), mRNA"	1.65	1.94	1.18	
RAE230A:1369950_at	1369950_at	cyclin-dependent kinase 4	0.74	0.87	1.18	
RAE230A:1371781_at	1371781_at	Transcribed sequences	0.63	0.74	1.17	
RAE230A:1369926_at	1369926_at	glutathione peroxidase 3	0.23	0.27	1.17	
RAE230A:1370951_at	1370951_at	ER transmembrane protein Dri 42	0.23	0.27	1.17	
RAE230A:1367744_at	1367744_at	"melanoma antigen, family D, 2"	0.69	0.81	1.17	
RAE230A:1368131_at	1368131_at	calpain 6	0.23	0.27	1.17	
RAE230A:1385871_at	1385871_at	Transcribed sequences	1.56	1.83	1.17	
RAE230A:1374568_at	1374568_at	"Similar to mKIAA1737 protein (LOC314330), mRNA"	1.45	1.7	1.17	
RAE230A:1387757_at	1387757_at	liver regeneration p-53 related protein	0.35	0.41	1.17	
RAE230A:1372361_at	1372361_at	"Similar to DXImx40e protein (LOC317381), mRNA"	0.47	0.55	1.17	
RAE230A:1374324_at	1374324_at	protein kinase C-like 1	0.59	0.69	1.17	
RAE230A:1371659_at	1371659_at	"Similar to Potentail helicase MOV-10 (LOC310756), mRNA"	1.36	1.59	1.17	
RAE230A:1373866_at	1373866_at	"Similar to hypothetical protein FLJ13448 (LOC301416), mRNA"	1.66	1.94	1.17	
RAE230A:1389374_at	1389374_at	"Similar to kinesin motor protein KIFC3 (LOC307644), mRNA"	1.55	1.81	1.17	
RAE230A:1367737_at	1367737_at	"fucosidase, alpha-L- 1, tissue"	0.3	0.35	1.17	
RAE230A:1367901_at	1367901_at	"glucuronidase, beta"	0.3	0.35	1.17	
RAE230A:1367646_at	1367646_at	cathepsin B	0.6	0.7	1.17	
RAE230A:1390146_at	1390146_at	Transcribed sequences	0.48	0.56	1.17	
RAE230A:1388324_at	1388324_at	nitrilase 1	0.66	0.77	1.17	
RAE230A:1390238_at	1390238_at	"Similar to gob-5 (LOC308015), mRNA"	0.78	0.91	1.17	
RAE230A:1373939_at	1373939_at	"Similar to N-Acetylglucosamine kinase (LOC297393), mRNA"	0.72	0.84	1.17	
RAE230A:1370973_at	1370973_at	"sodium channel, voltage-gated, type 6, alpha polypeptide"	0.72	0.84	1.17	
RAE230A:1390391_at	1390391_at	Transcribed sequences	1.52	1.77	1.16	
RAE230A:1379506_at	1379506_at	Transcribed sequences	0.67	0.78	1.16	
RAE230A:1374524_at	1374524_at	"Similar to selenocysteine lyase SCLY (LOC363285), mRNA"	0.61	0.71	1.16	
RAE230A:1368085_at	1368085_at	GTP cyclohydrolase I feedback regulatory protein	0.55	0.64	1.16	
RAE230A:1375979_at	1375979_at	"Similar to putative phosphatase subunit (LOC362739), mRNA"	0.55	0.64	1.16	
RAE230A:1389042_at	1389042_at	no description	0.49	0.57	1.16	
RAE230A:1376847_at	1376847_at	Transcribed sequence with weak similarity to protein ref:NP_060417.1 (H.sapiens) molybdenum cofactor sulfurase [Homo sapiens]	0.49	0.57	1.16	
RAE230A:1375193_at	1375193_at	"Similar to Kunitz-type protease inhibitor 1 precursor (Hepatocyte growth factor activator inhibitor type 1) (HAI-1) (LOC292462), mRNA"	0.49	0.57	1.16	
RAE230A:1387782_at	1387782_at	dynein light chain-2	0.43	0.5	1.16	
RAE230A:1388521_at	1388521_at	"Similar to pyrroline-5-carboxylate synthetase (LOC361755), mRNA"	0.68	0.79	1.16	
RAE230A:1375212_at	1375212_at	Transcribed sequences	0.68	0.79	1.16	
RAE230A:1370219_at	1370219_at	cytochrome b558 alpha-subunit	0.68	0.79	1.16	
RAE230A:1373598_at	1373598_at	Transcribed sequences	0.68	0.79	1.16	
RAE230A:1398954_at	1398954_at	"Similar to Aspartyl aminopeptidase (LOC301529), mRNA"	1.31	1.52	1.16	
RAE230A:1389730_at	1389730_at	Transcribed sequences	0.5	0.58	1.16	
RAE230A:1371886_at	1371886_at	"Similar to carnitine acetyltransferase (LOC311849), mRNA"	0.69	0.8	1.16	
RAE230A:1373011_at	1373011_at	"Similar to Ac1133 (LOC294846), mRNA"	0.44	0.51	1.16	
RAE230A:1371249_at	1371249_at	"Similar to hepatocarcinogenesis-related transcription factor - rat (LOC289754), mRNA"	1.32	1.53	1.16	
RAE230A:1389233_at	1389233_at	"Similar to RalBP1-associated EH domain protein Reps1 (LOC292944), mRNA"	0.63	0.73	1.16	
RAE230A:1374015_at	1374015_at	Transcribed sequences	0.63	0.73	1.16	
RAE230A:1387755_s_at	1387755_s_at	trans-golgi network protein 1	0.7	0.81	1.16	
RAE230A:1374396_at	1374396_at	"Similar to Vacuolar ATP synthase subunit C (V-ATPase C subunit) (Vacuolar proton pump C subunit) (LOC299971), mRNA"	0.51	0.59	1.16	
RAE230A:1367855_at	1367855_at	"scavenger receptor class B, member 1"	0.51	0.59	1.16	
RAE230A:1390518_at	1390518_at	Transcribed sequence with strong similarity to protein ref:NP_542162.1 (M.musculus) Emu1 protein [Mus musculus]	0.64	0.74	1.16	
RAE230A:1390292_at	1390292_at	transmembrane protein 8 (five membrane-spanning domains)	1.41	1.63	1.16	
RAE230A:1372901_at	1372901_at	Transcribed sequences	0.52	0.6	1.15	
RAE230A:1373996_at	1373996_at	"Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only"	0.52	0.6	1.15	
RAE230A:1372284_at	1372284_at	"Similar to bet3 (LOC362599), mRNA"	0.65	0.75	1.15	
RAE230A:1372750_at	1372750_at	follistatin	1.56	1.8	1.15	
RAE230A:1375374_at	1375374_at	Transcribed sequences	0.65	0.75	1.15	
RAE230A:1379747_at	1379747_at	Transcribed sequences	6.97	8.04	1.15	
RAE230A:1372900_at	1372900_at	"Similar to neuronal development-associated protein (LOC296360), mRNA"	0.72	0.83	1.15	
RAE230A:1367905_at	1367905_at	alkaline phosphodiesterase	0.59	0.68	1.15	
RAE230A:1388863_at	1388863_at	"Similar to ubiquitin-conjugating enzyme HR6A (LOC298317), mRNA"	1.45	1.67	1.15	
RAE230A:1372295_at	1372295_at	"Similar to nuclear prelamin A recognition factor isoform a (LOC360681), mRNA"	1.45	1.67	1.15	
RAE230A:1373199_at	1373199_at	"Similar to large subunit ribosomal protein L36a (LOC292964), mRNA"	0.33	0.38	1.15	
RAE230A:1375413_at	1375413_at	"sirtuin 2 (silent mating type information regulation 2, homolog) 2 (S. cerevisiae)"	0.66	0.76	1.15	
RAE230A:1369262_at	1369262_at	caspase-8	0.66	0.76	1.15	
RAE230A:1389556_at	1389556_at	"Similar to KAP3A (LOC289168), mRNA"	0.66	0.76	1.15	
RAE230A:1388103_at	1388103_at	voltage-dependent calcium channel gamma subunit-like protein	0.53	0.61	1.15	
RAE230A:1388325_at	1388325_at	"ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D"	0.73	0.84	1.15	
RAE230A:1372588_at	1372588_at	basophilic leukemia expressed protein BLES03	0.6	0.69	1.15	
RAE230A:1368512_a_at	1368512_a_at	aminopeptidase A	0.8	0.92	1.15	
RAE230A:1390481_a_at	1390481_a_at	"Similar to RIKEN cDNA 2700084L22 (LOC360847), mRNA"	1.87	2.15	1.15	
RAE230A:1372358_at	1372358_at	no description	0.47	0.54	1.15	
RAE230A:1369382_at	1369382_at	c-mer proto-oncogene tyrosine kinase	0.47	0.54	1.15	
RAE230A:1371131_a_at	1371131_a_at	"upregulated by 1,25-dihydroxyvitamin D-3"	0.74	0.85	1.15	
RAE230A:1369269_at	1369269_at	polypeptide GalNAc transferase T1	0.74	0.85	1.15	
RAE230A:1389206_at	1389206_at	Transcribed sequences	0.54	0.62	1.15	
RAE230A:1374195_at	1374195_at	"Similar to linear IgA disease antigen homolog (LOC313325), mRNA"	0.61	0.7	1.15	
RAE230A:1398361_at	1398361_at	"Similar to PSGAP-m (LOC307787), mRNA"	0.61	0.7	1.15	
RAE230A:1388552_at	1388552_at	"Similar to sphingomyelin phosphodiesterase (LOC308909), mRNA"	0.68	0.78	1.15	
RAE230A:1388701_at	1388701_at	Transcribed sequences	0.68	0.78	1.15	
RAE230A:1368924_at	1368924_at	growth hormone receptor	0.68	0.78	1.15	
RAE230A:1374493_at	1374493_at	Transcribed sequences	0.68	0.78	1.15	
RAE230A:1383126_at	1383126_at	v-akt murine thymoma viral oncogene homolog 1	0.48	0.55	1.15	
RAE230A:1373133_at	1373133_at	Transcribed sequence with strong similarity to protein ref:NP_060654.1 (H.sapiens) hypothetical protein FLJ10702 [Homo sapiens]	0.55	0.63	1.15	
RAE230A:1368703_at	1368703_at	enigma homolog	0.55	0.63	1.15	
RAE230A:1377196_at	1377196_at	"Similar to 597 aa protein related to Na/glucose cotransporters (LOC303205), mRNA"	0.55	0.63	1.15	
RAE230A:1371536_at	1371536_at	calcium regulated heat stable protein 1	0.62	0.71	1.15	
RAE230A:1388408_at	1388408_at	"Similar to RIKEN cDNA 1110020C13 (LOC363004), mRNA"	1.31	1.5	1.15	
RAE230A:1368272_at	1368272_at	glutamate oxaloacetate transaminase 1	2.07	2.37	1.14	
RAE230A:1374565_at	1374565_at	NIMA (never in mitosis gene a)-related expressed kinase 6	0.69	0.79	1.14	
RAE230A:1374632_at	1374632_at	"Similar to mKIAA0585 protein (LOC360665), mRNA"	1.46	1.67	1.14	
RAE230A:1368625_at	1368625_at	uterine-specific proline-rich acidic protein	0.49	0.56	1.14	
RAE230A:1390412_at	1390412_at	"solute carrier family 39 (iron-regulated transporter), member 1"	0.49	0.56	1.14	
RAE230A:1390200_at	1390200_at	Transcribed sequence with moderate similarity to protein pir:T00363 (H.sapiens) T00363 hypothetical protein KIAA0674 - human	0.7	0.8	1.14	
RAE230A:1386893_at	1386893_at	granulin	0.42	0.48	1.14	
RAE230A:1387885_at	1387885_at	"Fc receptor, IgG, alpha chain transporter"	0.56	0.64	1.14	
RAE230A:1374505_at	1374505_at	Transcribed sequences	0.56	0.64	1.14	
RAE230A:1386901_at	1386901_at	cd36 antigen	1.49	1.7	1.14	
RAE230A:1388171_at	1388171_at	"cyclin-dependent kinase 7 (MO15 homolog, Xenopus laevis, cdk-activating kinase)"	0.71	0.81	1.14	
RAE230A:1390392_at	1390392_at	"Similar to RIKEN cDNA 2500001K11 (LOC304731), mRNA"	0.71	0.81	1.14	
RAE230A:1367516_at	1367516_at	no description	0.64	0.73	1.14	
RAE230A:1368055_a_at	1368055_a_at	lamin A	1.44	1.64	1.14	
RAE230A:1375062_at	1375062_at	Transcribed sequences	0.72	0.82	1.14	
RAE230A:1388511_at	1388511_at	"Similar to KIAA0782 protein (LOC361617), mRNA"	0.65	0.74	1.14	
