Gene Symbole	Gene Description
SLC1A3	solute carrier family 1 (glial high aff
SLC1A5	solute carrier family 1 (neutral amino
SLC2A10	solute carrier family 2 (facilitated gl
SLC2A6	solute carrier family 2 (facilitated gl
SLC35F3	solute carrier family 35, member F3
SLC40A1	solute carrier family 40 (iron-regulate
SLC7A1	solute carrier family 7 (cationic amino
SLC7A11	solute carrier family 7, (cationic amin
SLC7A7	solute carrier family 7 (cationic amino
SLC9A3R1	solute carrier family 9 (sodium/hydroge
SLCO2A1	solute carrier organic anion transporte
SLITRK5	SLIT and NTRK-like family, member 5
SMTNL2	smoothelin-like 2
SMURF2	SMAD specific E3 ubiquitin protein liga
SNCG	synuclein, gamma (breast cancer-specifi
SNORA61	small nucleolar RNA, H/ACA box 61
SNORD52	chromosome 6 open reading frame 48
SNX24	sorting nexin 24
SP110	SP110 nuclear body protein
SP6	Sp6 transcription factor
SPAG4	sperm associated antigen 4
SPAG5	sperm associated antigen 5
SPATA24	hypothetical protein LOC202051
SPHK1	sphingosine kinase 1
SPOCD1	SPOC domain containing 1
SPOCK2	sparc/osteonectin, cwcv and kazal-like
SPRY1	sprouty homolog 1, antagonist of FGF si
SPRY4	sprouty homolog 4 (Drosophila)
SSBP2	single-stranded DNA binding protein 2
ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltr
STAT1	signal transducer and activator of tran
STC2	stanniocalcin 2
STEAP1	six transmembrane epithelial antigen of
STEAP4	STEAP family member 4
STMN3	stathmin-like 3
SULF2	sulfatase 2
SULT2B1	sulfotransferase family, cytosolic, 2B,
SUOX	sulfite oxidase
SUSD5	sushi domain containing 5
SYTL2	synaptotagmin-like 2
Sat1	spermidine/spermine N1-acetyltransferas
Sema3e	sema domain, immunoglobulin domain (Ig)
Serpinf1	serpin peptidase inhibitor, clade F (al
Serpini1	serpin peptidase inhibitor, clade I (ne
Sfrp1	secreted frizzled-related protein 1
Sh3bgr	SH3 domain binding glutamic acid-rich p
Siah2	seven in absentia homolog 2 (Drosophila
Slc15a1	solute carrier family 15 (oligopeptide
Slc29a3	solute carrier family 29 (nucleoside tr
Slc43a3	solute carrier family 43, member 3
Slc4a7	solute carrier family 4, sodium bicarbo
Smyd3	SET and MYND domain containing 3
Sod2	superoxide dismutase 2, mitochondrial
Spa17	sperm autoantigenic protein 17
Spock1	sparc/osteonectin, cwcv and kazal-like
St6galnac2	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta
Steap2	six transmembrane epithelial antigen of
Sts	steroid sulfatase (microsomal), isozyme
Susd3	sushi domain containing 3
Syt12	synaptotagmin XII
Syt7	synaptotagmin XVII
TCEA3	transcription elongation factor A (SII)
TFPI	tissue factor pathway inhibitor (lipopr
TFPI2	tissue factor pathway inhibitor 2
TGFB2	transforming growth factor, beta 2
THSD4	thrombospondin, type I, domain containi
THY1	Thy-1 cell surface antigen
TLE2	transducin-like enhancer of split 2 (E(
TLR2	toll-like receptor 2
TLR3	toll-like receptor 3
TMC4	transmembrane channel-like 4
TMEM116	transmembrane protein 116
TMEM139	transmembrane protein 139
TMEM140	transmembrane protein 140
TMEM154	transmembrane protein 154
TMEM158	transmembrane protein 158
TMEM22	transmembrane protein 22
TMEM27	transmembrane protein 27
TMEM45A	transmembrane protein 45A
TMEM92	transmembrane protein 92
TMPRSS3	transmembrane protease, serine 3
TNC	tenascin C
TNF	tumor necrosis factor (TNF superfamily,
TNFAIP3	tumor necrosis factor, alpha-induced pr
TNFRSF1B	tumor necrosis factor receptor superfam
TNFSF10	tumor necrosis factor (ligand) superfam
TNNI2	troponin I type 2 (skeletal, fast)
TNNT1	troponin T type 1 (skeletal, slow)
TNS4	tensin 4
TP53INP2	tumor protein p53 inducible nuclear pro
TRANK1	lupus brain antigen 1
TRIB3	tribbles homolog 3 (Drosophila)
TRIM52	tripartite motif-containing 52
TRIM55	tripartite motif-containing 55
TRIML2	tripartite motif family-like 2
TRPV1	transient receptor potential cation cha
TTC18	tetratricopeptide repeat domain 18
TXNDC6	thioredoxin domain containing 6
TXNIP	thioredoxin interacting protein
Tceal1	transcription elongation factor A (SII)
Tgm1	transglutaminase 1 (K polypeptide epide
Thbs1	thrombospondin 1
Thnsl1	threonine synthase-like 1 (S. cerevisia
Tmem173	transmembrane protein 173
Tnfsf14	tumor necrosis factor (ligand) superfam
Tnip1	TNFAIP3 interacting protein 1
Trim31	tripartite motif-containing 31
Trmt1	TRM1 tRNA methyltransferase 1 homolog (
Tsen2	tRNA splicing endonuclease 2 homolog (S
Ttc39b	tetratricopeptide repeat domain 39B
UCP2	uncoupling protein 2 (mitochondrial, pr
ULBP2	UL16 binding protein 2
UPK3B	uroplakin 3B
USP5	ubiquitin specific peptidase 5 (isopept
Uba7	ubiquitin-like modifier activating enzy
Upk1b	uroplakin 1B
VEGFA	vascular endothelial growth factor A
VEGFC	vascular endothelial growth factor C
VILL	villin-like
VIM	vimentin
VSTM1	V-set and transmembrane domain containi
VTCN1	V-set domain containing T cell activati
Vash2	vasohibin 2
Vgll1	vestigial like 1 (Drosophila)
Vnn1	vanin 1
WASF3	WAS protein family, member 3
WNK4	WNK lysine deficient protein kinase 4
WNT5A	wingless-type MMTV integration site fam
WRAP53	WD repeat containing, antisense to TP53
XAF1	XIAP associated factor 1
XDH	xanthine dehydrogenase
XG	Xg blood group
Xbp1	X-box binding protein 1
YBX2	Y box binding protein 2
YPEL5	yippee-like 5 (Drosophila)
ZBTB1	zinc finger and BTB domain containing 1
ZC3H12C	zinc finger CCCH-type containing 12C
ZC3H8	zinc finger CCCH-type containing 8
ZFP82	zinc finger protein 82 homolog (mouse)
ZG16B	zymogen granule protein 16 homolog B (r
ZNF140	zinc finger protein 140
ZNF165	zinc finger protein 165
ZNF280C	zinc finger protein 280C
ZNF295	zinc finger protein 295
ZNF354A	zinc finger protein 354A
ZNF385A	zinc finger protein 385A
ZNF44	zinc finger protein 44
ZNF469	zinc finger protein 469
ZNF488	zinc finger protein 488
ZNF528	zinc finger protein 528
ZNF692	zinc finger protein 692
ZNF697	zinc finger protein 697
ZNF767	zinc finger family member 767
ZNF789	zinc finger protein 789
ZNF814	zinc finger protein 814
Zbtb8a	zinc finger and BTB domain containing 8
Zdhhc14	zinc finger, DHHC-type containing 14
Zfand1	zinc finger, AN1-type domain 1
Zg16	zymogen granule protein 16 homolog (rat
Znf608	zinc finger protein 608
abca4	ATP-binding cassette, sub-family A (ABC
abcc4	ATP-binding cassette, sub-family C (CFT
acss1	acyl-CoA synthetase short-chain family
acta2	actin, alpha 2, smooth muscle, aorta
adam19	ADAM metallopeptidase domain 19 (meltri
agt	angiotensinogen (serpin peptidase inhib
aldoc	aldolase C, fructose-bisphosphate
apod	apolipoprotein D
arhgef10	Rho guanine nucleotide exchange factor
arrdc3	arrestin domain containing 3
arrdc4	arrestin domain containing 4
as3mt	arsenic (+3 oxidation state) methyltran
asnS	asparagine synthetase
atp2b4	ATPase, Ca++ transporting, plasma membr
atp6v0d1	ATPase, H+ transporting, lysosomal 38kD
bag3	BCL2-associated athanogene 3
bccip	BRCA2 and CDKN1A interacting protein
bhlhe40	basic helix-loop-helix family, member e
c10orf140	chromosome 10 open reading frame 140
c14orf147	chromosome 14 open reading frame 147
c17orf108	hypothetical protein LOC201229
c17orf28	chromosome 17 open reading frame 28
c17orf48	chromosome 17 open reading frame 48
c17orf49	chromosome 17 open reading frame 49
c21orf57	chromosome 21 open reading frame 57
ca12	carbonic anhydrase XII
cables2	Cdk5 and Abl enzyme substrate 2
cadps2	Ca++-dependent secretion activator 2
carS	cysteinyl-tRNA synthetase
cdc42ep1	CDC42 effector protein (Rho GTPase bind
cdh5	cadherin 5, type 2 (vascular endotheliu
cdk5	cyclin-dependent kinase 5
cgnl1	cingulin-like 1
clic3	chloride intracellular channel 3
clu	clusterin
crabp2	cellular retinoic acid binding protein
crip1	cysteine-rich protein 1 (intestinal)
cryz	crystallin, zeta (quinone reductase)
cstA	cystatin A (stefin A)
cybrd1	cytochrome b reductase 1
cyr61	cysteine-rich, angiogenic inducer, 61
dapp1	dual adaptor of phosphotyrosine and 3-p
dhrs1	dehydrogenase/reductase (SDR family) me
dnajb9	DnaJ (Hsp40) homolog, subfamily B, memb
dock10	dedicator of cytokinesis 10
dsc3	desmocollin 3
dse	dermatan sulfate epimerase
dusp5	dual specificity phosphatase 5
dusp6	dual specificity phosphatase 6
ech1	enoyl Coenzyme A hydratase 1, peroxisom
eif3g	eukaryotic translation initiation facto
elf3	E74-like factor 3 (ets domain transcrip
ext1	exostoses (multiple) 1
fam107b	family with sequence similarity 107, me
fam70a	family with sequence similarity 70, mem
fggy	FGGY carbohydrate kinase domain contain
fhod1	formin homology 2 domain containing 1
fn1	fibronectin 1
fscn1	fascin homolog 1, actin-bundling protei
fxyd3	FXYD domain containing ion transport re
gats	GATS, stromal antigen 3 opposite strand
gfpt2	glutamine-fructose-6-phosphate transami
gjb2	gap junction protein, beta 2, 26kDa
glcci1	glucocorticoid induced transcript 1
gne	glucosamine (UDP-N-acetyl)-2-epimerase/
gpX3	glutathione peroxidase 3 (plasma)
gpr18	G protein-coupled receptor 18
gramd1c	GRAM domain containing 1C
gsr	glutathione reductase
hcp5	HLA complex P5
herc6	hect domain and RLD 6
hla-dpa1	major histocompatibility complex, class
hla-drb1	major histocompatibility complex, class
hmox1	heme oxygenase (decycling) 1
hoxa1	homeobox A1
hoxa2	homeobox A2
id1	inhibitor of DNA binding 1, dominant ne
ifit5	interferon-induced protein with tetratr
igfbp3	insulin-like growth factor binding prot
ina	internexin neuronal intermediate filame
ip6k2	inositol hexakisphosphate kinase 2
irx2	iroquois homeobox 2
kctd12	potassium channel tetramerisation domai
kiaa1370	KIAA1370
kif20a	kinesin family member 20A
lbh	limb bud and heart development homolog
llgl2	lethal giant larvae homolog 2 (Drosophi
lmna	lamin A/C
loxl1	lysyl oxidase-like 1
lrtomt	leucine rich transmembrane and 0-methyl
lypd6b	LY6/PLAUR domain containing 6B
malL	mal, T-cell differentiation protein-lik
map2	microtubule-associated protein 2
40240	membrane-associated ring finger (C3HC4)
mettl7a	methyltransferase like 7A
mfsd2a	major facilitator superfamily domain co
mgmt	O-6-methylguanine-DNA methyltransferase
mthfd2	methylenetetrahydrofolate dehydrogenase
mx1	myxovirus (influenza virus) resistance
ndrg1	N-myc downstream regulated 1
nog	noggin
nsdhl	NAD(P) dependent steroid dehydrogenase-
nupr1	nuclear protein, transcriptional regula
paaF1	proteasomal ATPase-associated factor 1
pcbd2	pterin-4 alpha-carbinolamine dehydratas
pck2	phosphoenolpyruvate carboxykinase 2 (mi
pcsk9	proprotein convertase subtilisin/kexin
pdcd2	programmed cell death 2
phlda1	pleckstrin homology-like domain, family
phyH	phytanoyl-CoA 2-hydroxylase
pld6	phospholipase D family, member 6
plscr1	phospholipid scramblase 1
pmp22	peripheral myelin protein 22
postn	periostin, osteoblast specific factor
ppm1h	protein phosphatase 1H (PP2C domain con
prkar2b	protein kinase, cAMP-dependent, regulat
prpH	peripherin
prss23	protease, serine, 23
psmd3	proteasome (prosome, macropain) 26S sub
pstpip2	proline-serine-threonine phosphatase in
pten	phosphatase and tensin homolog
ptprr	protein tyrosine phosphatase, receptor
rabl4	RAB, member of RAS oncogene family-like
rarres3	retinoic acid receptor responder (tazar
rbm24	RNA binding motif protein 24
rgmb	RGM domain family, member B
ripk4	receptor-interacting serine-threonine k
rnf26	ring finger protein 26
rogdi	rogdi homolog (Drosophila)
rtn2	reticulon 2
sall4	sal-like 4 (Drosophila)
serpina3	serpin peptidase inhibitor, clade A (al
sh3rf2	SH3 domain containing ring finger 2
slc1a4	solute carrier family 1 (glutamate/neut
slc25a10	solute carrier family 25 (mitochondrial
snai2	snail homolog 2 (Drosophila)
socs2	suppressor of cytokine signaling 2
sqlE	squalene epoxidase
srgn	serglycin
stc1	stanniocalcin 1
tap1	transporter 1, ATP-binding cassette, su
tc2n	tandem C2 domains, nuclear
thbs2	thrombospondin 2
tm4sf18	transmembrane 4 L six family member 18
tm7sf2	transmembrane 7 superfamily member 2
tmem45b	transmembrane protein 45B
tnnc1	troponin C type 1 (slow)
trafd1	TRAF-type zinc finger domain containing
trnP1	TMF1-regulated nuclear protein 1
trub2	TruB pseudouridine (psi) synthase homol
ttc9	tetratricopeptide repeat domain 9
tubb2b	tubulin, beta 2B
tubb3	tubulin, beta 3
tube1	tubulin, epsilon 1
upk2	uroplakin 2
upp1	uridine phosphorylase 1
zmat5	zinc finger, matrin type 5
BST2	bone marrow stromal cell antigen 2
C15orf48	chromosome 15 open reading frame 48
CDKN1A	cyclin-dependent kinase inhibitor 1A (p
COL1A1	collagen, type I, alpha 1
DDX58	DEAD (Asp-Glu-Ala-Asp) box polypeptide
Ddx60	DEAD (Asp-Glu-Ala-Asp) box polypeptide
GPNMB	glycoprotein (transmembrane) nmb
ICAM1	intercellular adhesion molecule 1
IFI16	interferon, gamma-inducible protein 16
IFI44	interferon-induced protein 44
IL32	interleukin 32
IL6	interleukin 6 (interferon, beta 2)
ITGBL1	integrin, beta-like 1 (with EGF-like re
Maff	v-maf musculoaponeurotic fibrosarcoma o
RSAD2	radical S-adenosyl methionine domain co
id1	inhibitor of DNA binding 1, dominant ne
pstpip2	proline-serine-threonine phosphatase in
