Curated Gene Symbol	Gene name	Description	Mean log2 (Fold change)	p-value
CWC25	CCDC49	Homo sapiens coiled-coil domain containing 49 (CCDC49), mRNA [NM_017748]	1.048226475	0.00467
FAF2	UBXD8	Homo sapiens UBX domain containing 8 (UBXD8), mRNA [NM_014613]	1.048333748	0.00038
GRAMD4	DIP	Homo sapiens death-inducing-protein (DIP), mRNA [NM_015124]	1.04909965	0.00169
XRN1	XRN1	Homo sapiens 5-3 exoribonuclease 1 (XRN1), transcript variant 1, mRNA [NM_019001]	1.052013956	0.00061
ZNF556	ZNF556	Homo sapiens zinc finger protein 556 (ZNF556), mRNA [NM_024967]	1.052759187	0.00613
PDPK1	PDPK1	Homo sapiens 3-phosphoinositide dependent protein kinase-1 (PDPK1), transcript variant 1, mRNA [NM_002613]	1.053561318	0.00236
DNAJB6	DNAJB6	Homo sapiens DnaJ (Hsp40) homolog, subfamily B, member 6 (DNAJB6), transcript variant 1, mRNA [NM_058246]	1.055839847	0.00661
	ENST00000360903	lines homolog 1 [Source:RefSeq_peptide;Acc:NP_001035706] [ENST00000360903]	1.061758581	0.00049
RIOK3	RIOK3	Homo sapiens RIO kinase 3 (yeast) (RIOK3), transcript variant 2, mRNA [NM_145906]	1.064488816	0.0001
CXorf40B	CXorf40B	Homo sapiens chromosome X open reading frame 40B (CXorf40B), mRNA [NM_001013845]	1.065237431	0.00054
DHX30	DHX30	Homo sapiens DEAH (Asp-Glu-Ala-His) box polypeptide 30 (DHX30), transcript variant 2, mRNA [NM_014966]	1.065810944	0.00626
JOSD1	JOSD1	Homo sapiens Josephin domain containing 1 (JOSD1), mRNA [NM_014876]	1.06619584	0.00016
TANC2	TANC2	Homo sapiens mRNA for putative ankyrin-repeat containing protein (ORF1). [AJ278120]	1.066374295	0.00205
EXOC4	EXOC4	Homo sapiens exocyst complex component 4 (EXOC4), transcript variant 1, mRNA [NM_021807]	1.073979926	0.00063
TMF1	TMF1	Homo sapiens TATA element modulatory factor 1 (TMF1), mRNA [NM_007114]	1.074331502	0.00595
TBRG4	TBRG4	Homo sapiens transforming growth factor beta regulator 4 (TBRG4), transcript variant 2, mRNA [NM_030900]	1.074843697	0.00761
	LOC338620	Homo sapiens hypothetical protein LOC338620, mRNA (cDNA clone IMAGE:6023208), partial cds. [BC043009]	1.076826978	0.00001
RALGDS	RALGDS	Homo sapiens ral guanine nucleotide dissociation stimulator (RALGDS), transcript variant 2, mRNA [NM_001042368]	1.076885358	0.001
SDCBP2	SDCBP2	Homo sapiens syndecan binding protein (syntenin) 2 (SDCBP2), transcript variant 1, mRNA [NM_080489]	1.078498184	0.00019
PARP6	PARP6	Homo sapiens poly (ADP-ribose) polymerase family, member 6 (PARP6), mRNA [NM_020214]	1.079090909	0.00026
MLL2	MLL4	Homo sapiens myeloid/lymphoid or mixed-lineage leukemia 4 (MLL4), mRNA [NM_014727]	1.079231324	0.00641
	AK057652	Homo sapiens cDNA FLJ33090 fis, clone TRACH2000559. [AK057652]	1.079663507	0.00002
	ENST00000341249	full-length cDNA clone CS0DJ010YL19 of T cells (Jurkat cell line) Cot 10-normalized of Homo sapiens (human). [CR602837]	1.080256223	0.00172
NRN1L	UNQ2446	Homo sapiens MRCC2446 (UNQ2446), mRNA [NM_198443]	1.080474147	0.00001
SPAG9	SPAG9	Homo sapiens sperm associated antigen 9 (SPAG9), transcript variant 1, mRNA [NM_003971]	1.082920321	0.00162
AGGF1	AGGF1	Homo sapiens angiogenic factor with G patch and FHA domains 1 (AGGF1), mRNA [NM_018046]	1.084553492	0.00103
WDR20	WDR20	Homo sapiens WD repeat domain 20 (WDR20), transcript variant 1, mRNA [NM_181291]	1.087831976	0.00021
LAMTOR3	MAP2K1IP1	Homo sapiens mitogen-activated protein kinase kinase 1 interacting protein 1 (MAP2K1IP1), mRNA [NM_021970]	1.088684784	0.00424
PPP6R3	SAPS3	Homo sapiens SAPS domain family, member 3 (SAPS3), mRNA [NM_018312]	1.092944655	0.00265
FXR2	FXR2	Homo sapiens fragile X mental retardation, autosomal homolog 2 (FXR2), mRNA [NM_004860]	1.093335386	0.0076
ATF2	ATF2	Homo sapiens activating transcription factor 2 (ATF2), mRNA [NM_001880]	1.09587074	0.00001
OR7D2	OR7D2	Homo sapiens olfactory receptor, family 7, subfamily D, member 2 (OR7D2), mRNA [NM_175883]	1.097367009	0.00007
	AY831680	Homo sapiens HC1 (HC1) mRNA, complete cds. [AY831680]	1.097700035	0.00017
PRMT2	PRMT2	Homo sapiens protein arginine methyltransferase 2 (PRMT2), transcript variant 1, mRNA [NM_206962]	1.099432223	0.00701
PANK3	PANK3	Homo sapiens pantothenate kinase 3 (PANK3), mRNA [NM_024594]	1.099631119	0
GID8	C20orf11	Homo sapiens chromosome 20 open reading frame 11 (C20orf11), mRNA [NM_017896]	1.100232879	0.00253
EAF1	EAF1	Homo sapiens ELL associated factor 1 (EAF1), mRNA [NM_033083]	1.100284637	0.00055
	AF086551	Homo sapiens full length insert cDNA clone ZE12G01. [AF086551]	1.103409028	0.00002
	LOC643896	PREDICTED: Homo sapiens similar to cAMP-regulated phosphoprotein 19 (ARPP-19) (LOC643896), mRNA [XM_001127593]	1.103979209	0.00001
	ENST00000369577	Zinc finger protein 292. [Source:Uniprot/SWISSPROT;Acc:O60281] [ENST00000369577]	1.104566013	0.00142
SPDYA	SPDYA	Homo sapiens speedy homolog A (Drosophila) (SPDYA), transcript variant 1, mRNA [NM_001008779]	1.107867309	0.00043
CDC40	CDC40	Homo sapiens cell division cycle 40 homolog (S. cerevisiae) (CDC40), mRNA [NM_015891]	1.108005419	0.00005
	CR616041	full-length cDNA clone CS0DC015YF20 of Neuroblastoma Cot 25-normalized of Homo sapiens (human). [CR616041]	1.113192354	0.00006
CNOT2	CNOT2	Homo sapiens CCR4-NOT transcription complex, subunit 2 (CNOT2), mRNA [NM_014515]	1.114769943	0.00388
PIF1	PIF1	Homo sapiens PIF1 5-to-3 DNA helicase homolog (S. cerevisiae) (PIF1), mRNA [NM_025049]	1.115554728	0.00713
KDM5A	JARID1A	Homo sapiens jumonji, AT rich interactive domain 1A (JARID1A), transcript variant 2, mRNA [NM_005056]	1.117414416	0.002
KIAA1199	KIAA1199	Homo sapiens KIAA1199 (KIAA1199), mRNA [NM_018689]	1.117761535	0.00847
MAP1LC3B	MAP1LC3B	Homo sapiens microtubule-associated protein 1 light chain 3 beta (MAP1LC3B), mRNA [NM_022818]	1.118494952	0.00096
AKAP17A	CXYorf3	Homo sapiens chromosome X and Y open reading frame 3, mRNA (cDNA clone MGC:39904 IMAGE:5217247), complete cds. [BC028151]	1.120439163	0.00073
TM2D3	TM2D3	Homo sapiens TM2 domain containing 3 (TM2D3), transcript variant 1, mRNA [NM_078474]	1.120730874	0.00213
MIA	MIA	Homo sapiens melanoma inhibitory activity (MIA), mRNA [NM_006533]	1.12994611	0.00001
CCNL1	CCNL1	Homo sapiens cyclin L1 (CCNL1), mRNA [NM_020307]	1.130499607	0.00012
ADRBK1	ADRBK1	Homo sapiens adrenergic, beta, receptor kinase 1 (ADRBK1), mRNA [NM_001619]	1.132949929	0.00001
MVB12B	FAM125B	Homo sapiens family with sequence similarity 125, member B (FAM125B), transcript variant 2, mRNA [NM_001011703]	1.133096186	0.00054
	LOC58489	Homo sapiens hypothetical protein from EUROIMAGE 588495, mRNA (cDNA clone MGC:131546 IMAGE:7503983), complete cds. [BC115003]	1.133521764	0.00039
CREBZF	CREBZF	Homo sapiens CREB/ATF bZIP transcription factor (CREBZF), mRNA [NM_001039618]	1.135055373	0.00006
SLC30A1	SLC30A1	Zinc transporter 1 (ZnT-1) (Solute carrier family 30 member 1). [Source:Uniprot/SWISSPROT;Acc:Q9Y6M5] [ENST00000367001]	1.137850055	0.00033
HMGCL	HMGCL	Homo sapiens 3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria) (HMGCL), mRNA [NM_000191]	1.140753655	0.00574
RABGGTB	RABGGTB	Homo sapiens Rab geranylgeranyltransferase, beta subunit (RABGGTB), mRNA [NM_004582]	1.143240172	0.00144
JOSD1	JOSD1	Homo sapiens Josephin domain containing 1 (JOSD1), mRNA [NM_014876]	1.14333166	0.00396
	S81916	phosphoglycerate kinase {alternatively spliced} [human, phosphoglycerate kinase deficient patient with episodes of muscl, mRNA Partial Mutant, 307 nt]. [S81916]	1.144250919	0.00001
ARPP19	ARPP-19	Homo sapiens cyclic AMP phosphoprotein, 19 kD (ARPP-19), mRNA [NM_006628]	1.144299826	0.00002
FOSL2	FOSL2	Homo sapiens FOS-like antigen 2 (FOSL2), mRNA [NM_005253]	1.144895045	0.00041
DNAJB14	DNAJB14	Homo sapiens DnaJ (Hsp40) homolog, subfamily B, member 14 (DNAJB14), transcript variant 2, mRNA [NM_024920]	1.145289899	0.00018
	LOC157562	Homo sapiens mRNA; cDNA DKFZp566J123 (from clone DKFZp566J123). [AL050061]	1.147043998	0.00125
	BX647614	Homo sapiens mRNA; cDNA DKFZp313N1630 (from clone DKFZp313N1630) [BX647614]	1.147264627	0.00091
TOR1AIP2	TOR1AIP2	Homo sapiens torsin A interacting protein 2 (TOR1AIP2), mRNA [NM_145034]	1.149246055	0.00015
SNX31	MGC39715	Homo sapiens hypothetical protein MGC39715 (MGC39715), mRNA [NM_152628]	1.15187064	0.00059
GRASP	GRASP	Homo sapiens GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein (GRASP), mRNA [NM_181711]	1.152092089	0.00002
SEC24B	SEC24B	Homo sapiens SEC24 related gene family, member B (S. cerevisiae) (SEC24B), transcript variant 1, mRNA [NM_006323]	1.152787655	0.0011
SLC6A13	SLC6A13	Homo sapiens solute carrier family 6 (neurotransmitter transporter, GABA), member 13, mRNA (cDNA clone IMAGE:4594185), complete cds. [BC020867]	1.156056577	0.00023
CCDC17	CCDC17	Homo sapiens coiled-coil domain containing 17 (CCDC17), mRNA [NM_152500]	1.157013439	0.00003
	BM723547	UI-E-EJ0-aiq-m-17-0-UI.r1 UI-E-EJ0 Homo sapiens cDNA clone UI-E-EJ0-aiq-m-17-0-UI 5, mRNA sequence [BM723547]	1.164518722	0.00004
SLC3A1	SLC3A1	Homo sapiens solute carrier family 3 (cystine, dibasic and neutral amino acid transporters, activator of cystine, dibasic and neutral amino acid transport), member 1 (SLC3A1), mRNA [NM_000341]	1.166949618	0.00005
	THC2727102	Unknown	1.167526495	0
	LOC130074	Homo sapiens hypothetical protein LOC130074 (LOC130074), mRNA [NM_001009993]	1.167680666	0.00253
	ENST00000242848	Zinc finger CCCH domain-containing protein 13. [Source:Uniprot/SWISSPROT;Acc:Q5T200] [ENST00000242848]	1.172450422	0.00025
NUPL1	NUPL1	Homo sapiens KIAA0410 mRNA, partial cds. [AB007870]	1.175790059	0.00057
LUC7L	LUC7L	Homo sapiens LUC7-like (S. cerevisiae) (LUC7L), transcript variant 2, mRNA [NM_201412]	1.177860752	0.00187
	THC2637686	Q71RG2_HUMAN (Q71RG2) FP2860, partial (26%) [THC2637686]	1.180504478	0.00013
USP47	USP47	Homo sapiens ubiquitin specific peptidase 47 (USP47), mRNA [NM_017944]	1.181111992	0.00534
ACRC	ACRC	Homo sapiens acidic repeat containing (ACRC), mRNA [NM_052957]	1.181880165	0.00002
MAEA	MAEA	Homo sapiens macrophage erythroblast attacher (MAEA), transcript variant 1, mRNA [NM_001017405]	1.182122995	0.00492
	LOC389458	Homo sapiens hypothetical gene supported by BC031661 (LOC389458), mRNA [NM_203393]	1.183836073	0.00001
CDC40	CDC40	Homo sapiens cell division cycle 40 homolog (S. cerevisiae) (CDC40), mRNA [NM_015891]	1.185154552	0.00002
THAP2	THAP2	Homo sapiens THAP domain containing, apoptosis associated protein 2 (THAP2), mRNA [NM_031435]	1.18884644	0.00204
C14orf37	C14orf37	Homo sapiens chromosome 14 open reading frame 37 (C14orf37), mRNA [NM_001001872]	1.188938862	0.0043
PER1	PER1	Homo sapiens period homolog 1 (Drosophila), mRNA (cDNA clone IMAGE:5215552), complete cds. [BC028207]	1.196514643	0.00099
ATP11B	ATP11B	Homo sapiens ATPase, Class VI, type 11B (ATP11B), mRNA [NM_014616]	1.200404211	0.00241
NR4A2	NR4A2	Homo sapiens nuclear receptor subfamily 4, group A, member 2 (NR4A2), transcript variant 1, mRNA [NM_006186]	1.202208895	0.00219
POPDC2	POPDC2	Homo sapiens popeye domain containing 2 (POPDC2), mRNA [NM_022135]	1.20987499	0.00003
CPO	CPO	Homo sapiens carboxypeptidase O (CPO), mRNA [NM_173077]	1.219439477	0.00069
COX19	COX19	Homo sapiens COX19 cytochrome c oxidase assembly homolog (S. cerevisiae) (COX19), mRNA [NM_001031617]	1.219996604	0.0009
FAM76B	FAM76B	Homo sapiens family with sequence similarity 76, member B (FAM76B), mRNA [NM_144664]	1.222167291	0.00032
PUM2	PUM2	Homo sapiens pumilio homolog 2 (Drosophila) (PUM2), mRNA [NM_015317]	1.229541676	0
CLK3	CLK3	Homo sapiens CDC-like kinase 3 (CLK3), transcript variant phclk3, mRNA [NM_003992]	1.234355792	0.00043
	AK091836	Homo sapiens cDNA FLJ34517 fis, clone HLUNG2006781. [AK091836]	1.236493767	0.00013
GNA13	GNA13	Homo sapiens guanine nucleotide binding protein (G protein), alpha 13 (GNA13), mRNA [NM_006572]	1.236967799	0.00003
HSD17B13	HSD17B13	Homo sapiens hydroxysteroid (17-beta) dehydrogenase 13 (HSD17B13), mRNA [NM_178135]	1.238216095	0.00001
CCNL2	CCNL2	Homo sapiens cyclin L2 (CCNL2), transcript variant 2, mRNA [NM_001039577]	1.241886878	0.00397
CRY2	CRY2	Homo sapiens cryptochrome 2 (photolyase-like) (CRY2), mRNA [NM_021117]	1.245274819	0.00197
BOD1L1	FAM44A	Homo sapiens family with sequence similarity 44, member A, mRNA (cDNA clone IMAGE:5503684), with apparent retained intron. [BC043603]	1.248910461	0
LRRC39	LRRC39	Homo sapiens leucine rich repeat containing 39 (LRRC39), mRNA [NM_144620]	1.268437782	0
LEFTY1	LEFTY1	Homo sapiens left-right determination factor 1 (LEFTY1), mRNA [NM_020997]	1.271609976	0.00008
CMYA5	CMYA5	Homo sapiens cardiomyopathy associated 5 (CMYA5), mRNA [NM_153610]	1.272003027	0.00008
	THC2525505	Unknown	1.273724351	0.00025
	BC042172	Homo sapiens zinc finger, MYM-type 6, mRNA (cDNA clone MGC:52473 IMAGE:5455214), complete cds. [BC042172]	1.275904637	0
	BC030122	Homo sapiens cDNA clone IMAGE:4814828. [BC030122]	1.283497692	0
DHX30	DHX30	Homo sapiens DEAH (Asp-Glu-Ala-His) box polypeptide 30 (DHX30), transcript variant 3, mRNA [NM_138614]	1.297885208	0.00722
ABCA1	ABCA1	Homo sapiens cDNA FLJ14266 fis, clone PLACE1002437, highly similar to ATP-BINDING CASSETTE TRANSPORTER 1. [AK024328]	1.299774796	0.00053
C3orf35	C3orf35	Homo sapiens chromosome 3 open reading frame 35 (C3orf35), transcript variant B, mRNA [NM_178339]	1.301523848	0
C7orf50	MGC11257	Homo sapiens hypothetical protein MGC11257, mRNA (cDNA clone IMAGE:4907364), partial cds. [BC025971]	1.301921532	0.00023
NR4A1	NR4A1	Homo sapiens nuclear receptor subfamily 4, group A, member 1 (NR4A1), transcript variant 1, mRNA [NM_002135]	1.306538691	0.00153
AKAP8L	AKAP8L	Homo sapiens A kinase (PRKA) anchor protein 8-like (AKAP8L), mRNA [NM_014371]	1.310698953	0.00833
	AL122040	Homo sapiens mRNA; cDNA DKFZp434G1972 (from clone DKFZp434G1972). [AL122040]	1.316733337	0.00008
UBOX5	UBOX5	Homo sapiens U-box domain containing 5 (UBOX5), transcript variant 1, mRNA [NM_014948]	1.319790621	0.00003
FAM209A	C20orf106	Homo sapiens chromosome 20 open reading frame 106 (C20orf106), mRNA [NM_001012971]	1.320149289	0
NUDT18	NUDT18	Homo sapiens nudix (nucleoside diphosphate linked moiety X)-type motif 18 (NUDT18), mRNA [NM_024815]	1.320219399	0.00293
FOSL2	FOSL2	Fos-related antigen 2. [Source:Uniprot/SWISSPROT;Acc:P15408] [ENST00000379616]	1.322378839	0.00137
TBRG1	TBRG1	Homo sapiens transforming growth factor beta regulator 1 (TBRG1), mRNA [NM_032811]	1.326489991	0.00152
EFHB	EFHB	Homo sapiens EF-hand domain family, member B (EFHB), mRNA [NM_144715]	1.341511425	0
SMPD4	SMPD4	Homo sapiens sphingomyelin phosphodiesterase 4, neutral membrane (neutral sphingomyelinase-3) (SMPD4), transcript variant 2, mRNA [NM_017951]	1.35033638	0.00097
ARRDC3	ARRDC3	Homo sapiens arrestin domain containing 3 (ARRDC3), mRNA [NM_020801]	1.35334444	0.00009
PPP6R3	SAPS3	Homo sapiens SAPS domain family, member 3 (SAPS3), mRNA [NM_018312]	1.359252473	0.00109
WDR78	WDR78	Homo sapiens WD repeat domain 78 (WDR78), transcript variant 1, mRNA [NM_024763]	1.360331259	0.00017
CCNL1	CCNL1	Homo sapiens cyclin L1 (CCNL1), mRNA [NM_020307]	1.361209766	0.00391
	THC2774873	Q8IT94_CHITE (Q8IT94) Y-box protein Ct-p40, partial (5%) [THC2774873]	1.418493088	0.00441
SF3B3	SF3B3	Homo sapiens KIAA0017 mRNA, complete cds. [D13642]	1.42176955	0.00016
PMEPA1	TMEPAI	Homo sapiens transmembrane, prostate androgen induced RNA (TMEPAI), transcript variant 1, mRNA [NM_020182]	1.429036885	0.00049
WDR33	WDR33	Homo sapiens WD repeat domain 33 (WDR33), transcript variant 1, mRNA [NM_018383]	1.431564573	0.00053
	BC031314	Homo sapiens cDNA clone IMAGE:5276765. [BC031314]	1.432802387	0.00019
FZR1	FZR1	Homo sapiens mRNA for Fzr1, complete cds. [AB013462]	1.446443613	0
COLEC11	COLEC11	Homo sapiens collectin sub-family member 11 (COLEC11), transcript variant 2, mRNA [NM_199235]	1.46198509	0
	RP11-393H10.2	Homo sapiens hypothetical protein FLJ14503 (FLJ14503), mRNA [NM_152780]	1.46379812	0.00041
CLK1	CLK1	Homo sapiens CDC-like kinase 1 (CLK1), transcript variant 1, mRNA [NM_004071]	1.464771051	0.00082
CREM	CREM	Homo sapiens cAMP responsive element modulator (CREM), transcript variant 19, mRNA [NM_183013]	1.470582795	0.00002
ALDH8A1	ALDH8A1	Homo sapiens aldehyde dehydrogenase 8 family, member A1 (ALDH8A1), transcript variant 1, mRNA [NM_022568]	1.471867704	0.00018
KAT8	MYST1	Homo sapiens MYST histone acetyltransferase 1 (MYST1), mRNA [NM_032188]	1.473472635	0.00081
NEU4	NEU4	Homo sapiens sialidase 4 (NEU4), mRNA [NM_080741]	1.478478169	0.00177
	ENST00000356931	MGC10850 protein. [Source:Uniprot/SPTREMBL;Acc:Q96C21] [ENST00000356931]	1.48950181	0
SKI	SKI	Ski oncogene (C-ski). [Source:Uniprot/SWISSPROT;Acc:P12755] [ENST00000378536]	1.510008084	0.00004
	THC2673108	HSCLOCK17 clock {Homo sapiens} (exp=-1; wgp=0; cg=0), partial (3%) [THC2673108]	1.521755195	0
CREM	CREM	Homo sapiens cAMP responsive element modulator (CREM), transcript variant 19, mRNA [NM_183013]	1.524336698	0.00003
C7orf53	FLJ39575	Homo sapiens hypothetical protein FLJ39575 (FLJ39575), mRNA [NM_182597]	1.597124516	0.00001
SERPINC1	SERPINC1	Homo sapiens serpin peptidase inhibitor, clade C (antithrombin), member 1 (SERPINC1), mRNA [NM_000488]	1.668112918	0.00012
ALB	ALB	Homo sapiens albumin (ALB), mRNA [NM_000477]	1.728146452	0.00002
CREM	CREM	Homo sapiens cAMP responsive element modulator (CREM), transcript variant 19, mRNA [NM_183013]	1.763733189	0
SKIL	SKIL	Homo sapiens SKI-like oncogene (SKIL), mRNA [NM_005414]	1.802754899	0.00001
	CR601322	full-length cDNA clone CS0DI015YJ05 of Placenta Cot 25-normalized of Homo sapiens (human). [CR601322]	1.97935439	0.00004
	THC2671230	GCU51450 IgNARC {Ginglymostoma cirratum} (exp=-1; wgp=0; cg=0), partial (3%) [THC2671230]	2.619662438	0
