Gene Symbole	Gene Description
Frmd4a	FERM domain containing 4A
G0s2	G0/G1switch 2
GAA	glucosidase, alpha; acid
GABARAPL1	GABA(A) receptor-associated protein lik
GABBR1	gamma-aminobutyric acid (GABA) B recept
GADD45A	growth arrest and DNA-damage-inducible,
GALNS	galactosamine (N-acetyl)-6-sulfate sulf
GALNT12	UDP-N-acetyl-alpha-D-galactosamine:poly
GALNT3	UDP-N-acetyl-alpha-D-galactosamine:poly
GAN	gigaxonin
GAS8	growth arrest-specific 8
GATA6	GATA binding protein 6
GBP2	guanylate binding protein 2, interferon
GBP3	guanylate binding protein 3
GCC2	GRIP and coiled-coil domain containing
GCFC1	chromosome 21 open reading frame 66
GCH1	GTP cyclohydrolase 1
GCLM	glutamate-cysteine ligase, modifier sub
GCNT1	glucosaminyl (N-acetyl) transferase 1,
GDA	guanine deaminase
GFPT1	glutamine-fructose-6-phosphate transami
GGPS1	geranylgeranyl diphosphate synthase 1
GINS2	GINS complex subunit 2 (Psf2 homolog)
GIP	gastric inhibitory polypeptide
GJA1	gap junction protein, alpha 1, 43kDa
GLIPR1	GLI pathogenesis-related 1
GLIPR2	GLI pathogenesis-related 2
GLRB	glycine receptor, beta
GLRX	glutaredoxin (thioltransferase)
GLRX2	glutaredoxin 2
GLS	glutaminase
GLT8D2	glycosyltransferase 8 domain containing
GMPR2	guanosine monophosphate reductase 2
GNAZ	guanine nucleotide binding protein (G p
GOLGA2	golgi autoantigen, golgin subfamily a,
GOLGA8A	golgi autoantigen, golgin subfamily a,
GOLGB1	golgin B1, golgi integral membrane prot
GOT1	glutamic-oxaloacetic transaminase 1, so
GPR124	G protein-coupled receptor 124
GPR125	G protein-coupled receptor 125
GPR126	G protein-coupled receptor 126
GPR137B	G protein-coupled receptor 137B
GPR3	G protein-coupled receptor 3
GPR56	G protein-coupled receptor 56
GPR68	G protein-coupled receptor 68
GPRC5C	G protein-coupled receptor, family C, g
GPT2	glutamic pyruvate transaminase (alanine
GPX4	glutathione peroxidase 4 (phospholipid
GRAMD3	GRAM domain containing 3
GRAMD4	GRAM domain containing 4
GRAMD4	TSC22 domain family, member 3
GRB10	growth factor receptor-bound protein 10
GRPEL1	GrpE-like 1, mitochondrial (E. coli)
GRWD1	glutamate-rich WD repeat containing 1
GSDMB	gasdermin B
GSTA4	glutathione S-transferase alpha 4
GSTM4	glutathione S-transferase mu 4
GSTO2	glutathione S-transferase omega 2
GSTT1	glutathione S-transferase theta 1
GTPBP10	GTP-binding protein 10 (putative)
GTSE1	G-2 and S-phase expressed 1
GULP1	GULP, engulfment adaptor PTB domain con
GYS1	glycogen synthase 1 (muscle)
Gabre	gamma-aminobutyric acid (GABA) A recept
Galk1	galactokinase 1
Gars	glycyl-tRNA synthetase
Gdpd3	glycerophosphodiester phosphodiesterase
Gemin8	gem (nuclear organelle) associated prot
Gins1	GINS complex subunit 1 (Psf1 homolog)
Gins4	GINS complex subunit 4 (Sld5 homolog)
Glis2	GLIS family zinc finger 2
Gmds	GDP-mannose 4,6-dehydratase
Golga1	golgi autoantigen, golgin subfamily a,
Golim4	golgi integral membrane protein 4
Golph3l	golgi phosphoprotein 3-like
Gpc2	glypican 2
Gpn3	GPN-loop GTPase 3
Gpr160	G protein-coupled receptor 160
Gprc5a	G protein-coupled receptor, family C, g
Grb14	growth factor receptor-bound protein 14
Gripap1	GRIP1 associated protein 1
Gsn	gelsolin (amyloidosis, Finnish type)
H19	H19, imprinted maternally expressed tra
H1f0	H1 histone family, member 0
H6pd	hexose-6-phosphate dehydrogenase (gluco
HARBI1	harbinger transposase derived 1
HAS3	hyaluronan synthase 3
HAUS2	HAUS augmin-like complex, subunit 2
HAUS8	HAUS augmin-like complex, subunit 8
HBEGF	heparin-binding EGF-like growth factor
HBP1	HMG-box transcription factor 1
HCFC1R1	host cell factor C1 regulator 1 (XPO1 d
HCG4	HLA complex group 4
HDAC4	histone deacetylase 4
HGSNAT	heparan-alpha-glucosaminide N-acetyltra
HHLA3	HERV-H LTR-associating 3
HIBCH	3-hydroxyisobutyryl-Coenzyme A hydrolas
HIST1H2AL	histone cluster 1, H2ag
HIST1H2BD	histone cluster 1, H2bd
HIST1H2BG	histone cluster 1, H2be
HIST1H2BG	histone cluster 1, H2bf
HIST1H2BK	histone cluster 1, H2bk
HIST1H3H	histone cluster 1, H3g
HIST2H2BE	histone cluster 2, H2be
HMGA1	high mobility group AT-hook 1
HMGA2	high mobility group AT-hook 2
HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A r
HMGCS1	3-hydroxy-3-methylglutaryl-Coenzyme A s
HNF1B	HNF1 homeobox B
HOOK2	hook homolog 2 (Drosophila)
HOXA13	homeobox A13
HOXB3	homeobox B3
HOXB8	homeobox B8
HOXD9	homeobox D9
HPGD	hydroxyprostaglandin dehydrogenase 15-(
HRH1	histamine receptor H1
HS1BP3	HCLS1 binding protein 3
HSD17B11	hydroxysteroid (17-beta) dehydrogenase
HSD17B6	hydroxysteroid (17-beta) dehydrogenase
HSD17B8	hydroxysteroid (17-beta) dehydrogenase
HSF2BP	heat shock transcription factor 2 bindi
HSPA1B	heat shock 70kDa protein 1B
HSPA5	heat shock 70kDa protein 5 (glucose-reg
HTRA1	HtrA serine peptidase 1
Hapln4	hyaluronan and proteoglycan link protei
Hcn3	hyperpolarization activated cyclic nucl
Hells	helicase, lymphoid-specific
Hexim1	hexamethylene bis-acetamide inducible 1
Hexim2	hexamthylene bis-acetamide inducible 2
Hist1h1a	histone cluster 1, H1a
Hist1h1c	histone cluster 1, H1c
Hist1h1d	histone cluster 1, H1d
Hist1h2ae	histone cluster 1, H2ae
Hist1h2bh	histone cluster 1, H2bh
Hjurp	Holliday junction recognition protein
Hk2	hexokinase 2
Hmg20b	high-mobility group 20B
Hrct1	histidine rich carboxyl terminus 1
Hrsp12	heat-responsive protein 12
Hspbap1	HSPB (heat shock 27kDa) associated prot
Hspg2	heparan sulfate proteoglycan 2
Htr2b	5-hydroxytryptamine (serotonin) recepto
ICAM3	intercellular adhesion molecule 3
ID2	inhibitor of DNA binding 2, dominant ne
IDH2	isocitrate dehydrogenase 2 (NADP+), mit
IFFO2	intermediate filament family orphan 2
IFI27	interferon, alpha-inducible protein 27
IFI35	interferon-induced protein 35
IFI44	interferon-induced protein 44
IFI6	interferon, alpha-inducible protein 6
IFIH1	interferon induced with helicase C doma
IFIT1	interferon-induced protein with tetratr
IFT122	intraflagellar transport 122 homolog (C
IFT140	intraflagellar transport 140 homolog (C
IFT172	intraflagellar transport 172 homolog (C
IFT52	intraflagellar transport 52 homolog (Ch
IFT57	intraflagellar transport 57 homolog (Ch
IFT74	intraflagellar transport 74 homolog (Ch
IFT80	intraflagellar transport 80 homolog (Ch
IFT88	intraflagellar transport 88 homolog (Ch
IGDCC4	immunoglobulin superfamily, DCC subclas
IGFBP1	insulin-like growth factor binding prot
IGFBP5	insulin-like growth factor binding prot
IL15RA	interleukin 15 receptor, alpha
IL32	interleukin 32
IL6	interleukin 6 (interferon, beta 2)
IL6ST	interleukin 6 signal transducer (gp130,
IL8	interleukin 8
IMMP2L	IMP2 inner mitochondrial membrane pepti
INADL	InaD-like (Drosophila)
INHBA	inhibin, beta A
INHBE	inhibin, beta E
INO80D	INO80 complex subunit D
INPP4B	inositol polyphosphate-4-phosphatase, t
INPP5F	inositol polyphosphate-5-phosphatase F
INSIG1	insulin induced gene 1
INSR	insulin receptor
IPPK	inositol 1,3,4,5,6-pentakisphosphate 2-
IQCK	IQ motif containing K
IRAK2	interleukin-1 receptor-associated kinas
IRF7	interferon regulatory factor 7
IRF9	interferon regulatory factor 9
IRS1	insulin receptor substrate 1
ISG15	ISG15 ubiquitin-like modifier
ISL2	ISL LIM homeobox 2
ITFG3	integrin alpha FG-GAP repeat containing
ITGB2	integrin, beta 2 (complement component
ITPR1	inositol 1,4,5-triphosphate receptor, t
ITPRIP	inositol 1,4,5-triphosphate receptor in
IVNS1ABP	influenza virus NS1A binding protein
Id3	inhibitor of DNA binding 3, dominant ne
Ier5l	immediate early response 5-like
Ifit2	interferon-induced protein with tetratr
Ifit3	interferon-induced protein with tetratr
Ifitm1	interferon induced transmembrane protei
Ifne	interferon, epsilon
Ifrd2	interferon-related developmental regula
Igfn1	immunoglobulin-like and fibronectin typ
Il20rb	interleukin 20 receptor beta
Impa2	inositol(myo)-1(or 4)-monophosphatase 2
Ing4	inhibitor of growth family, member 4
Irf1	interferon regulatory factor 1
JDP2	Jun dimerization protein 2
JUP	junction plakoglobin
Jhdm1d	jumonji C domain containing histone dem
KBTBD3	kelch repeat and BTB (POZ) domain conta
KCNMB4	potassium large conductance calcium-act
KCTD1	potassium channel tetramerisation domai
KCTD21	potassium channel tetramerisation domai
KCTD5	potassium channel tetramerisation domai
KDM4B	lysine (K)-specific demethylase 4B
KDM5B	lysine (K)-specific demethylase 5B
KIAA0146	KIAA0146
KIAA0182	KIAA0182
KIAA0319L	KIAA0319-like
KIAA0513	KIAA0513
KIAA0586	KIAA0586
KIAA0895L	KIAA0895-like
KIAA1009	KIAA1009
KIAA1024	KIAA1024
KIAA1462	KIAA1462
KIAA1467	KIAA1467
KIAA1522	KIAA1522
KIF12	kinesin family member 12
KIF15	kinesin family member 15
KIF16B	kinesin family member 16B
KIF23	kinesin family member 23
KIF9	kinesin family member 9
KIFC1	kinesin family member C1
KIFC2	kinesin family member C2
KIT	v-kit Hardy-Zuckerman 4 feline sarcoma
KLF10	Kruppel-like factor 10
KLF9	Kruppel-like factor 9
KLHDC3	kelch domain containing 3
KLHDC8B	kelch domain containing 8B
KLHDC9	kelch domain containing 9
KLHL24	kelch-like 24 (Drosophila)
KLHL29	kelch-like 29 (Drosophila)
KNTC1	kinetochore associated 1
KRCC1	lysine-rich coiled-coil 1
KRT80	keratin 80
KRT81	keratin 81
KRT86	keratin 86
Kbtbd11	kelch repeat and BTB (POZ) domain conta
Kctd13	potassium channel tetramerisation domai
Kctd18	potassium channel tetramerisation domai
Kdelc1	KDEL (Lys-Asp-Glu-Leu) containing 1
Kif20b	kinesin family member 20B
Kif21b	kinesin family member 21B
Klf4	Kruppel-like factor 4 (gut)
Klf5	Kruppel-like factor 5 (intestinal)
Klhl22	kelch-like 22 (Drosophila)
Klhl35	kelch-like 35 (Drosophila)
Krt7	keratin 7
Ktn1	kinectin 1 (kinesin receptor)
Kynu	kynureninase (L-kynurenine hydrolase)
L1cam	L1 cell adhesion molecule
LACTB2	lactamase, beta 2
LAMA5	laminin, alpha 5
LAMC2	laminin, gamma 2
LAP3	leucine aminopeptidase 3
LARP7	La ribonucleoprotein domain family, mem
LCAT	lecithin-cholesterol acyltransferase
LENG8	leukocyte receptor cluster (LRC) member
LETM2	leucine zipper-EF-hand containing trans
LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylgl
LGR4	leucine-rich repeat-containing G protei
LHFPL2	lipoma HMGIC fusion partner-like 2
LIAS	lipoic acid synthetase
LIF	leukemia inhibitory factor (cholinergic
LIMA1	LIM domain and actin binding 1
LIN54	lin-54 homolog (C. elegans)
LIN9	lin-9 homolog (C. elegans)
LMBRD1	LMBR1 domain containing 1
LNPEP	leucyl/cystinyl aminopeptidase
LOC100128191	hypothetical protein LOC100128191
LOC100128265	ankyrin repeat domain 11
LOC100128288	hypothetical protein LOC100128288
LOC100129502	hypothetical protein LOC100129502
LOC100130776	hypothetical LOC100130776
LOC100132308	solute carrier family 29 (nucleoside tr
LOC100133690	activated leukocyte cell adhesion molec
LOC100134189	mediator complex subunit 27
LOC147670	hypothetical protein LOC147670
LOC151534	hypothetical LOC151534
LOC158257	hypothetical protein LOC158257
LOC158376	hypothetical LOC158376
LOC202781	hypothetical protein LOC202781
LOC220077	docking protein 1, 62kDa (downstream of
LOC221710	hypothetical protein LOC221710
LOC284023	hypothetical protein LOC284023
LOC341378	thyroid hormone receptor interactor 11
LOC375190	hypothetical protein LOC375190
LOC375295	hypothetical protein LOC375295
LOC377711	HEAT repeat containing 7A
LOC388796	hypothetical LOC388796
LOC389458	hypothetical LOC389458
LOC390834	fem-1 homolog a (C. elegans)
LOC390940	similar to R28379_1
LOC401097	Similar to LOC166075
LOC401321	hypothetical LOC401321
LOC404266	hypothetical LOC404266
LOC440311	glioma tumor suppressor candidate regio
LOC442075	hypothetical LOC442075
LOC550643	hypothetical LOC550643
LOC642132	roundabout, axon guidance receptor, hom
LOC642587	NPC-A-5
LOC642852	hypothetical LOC642852
LOC643072	hypothetical LOC643072
LOC643988	hypothetical LOC643988
LOC644504	chondroitin sulfate N-acetylgalactosami
LOC644754	bolA homolog 3 (E. coli)
LOC644877	calcyclin binding protein
LOC645166	lymphocyte-specific protein 1 pseudogen
LOC645638	similar to WDNM1-like protein
LOC645984	hypothetical LOC645984
LOC653155	PRP4 pre-mRNA processing factor 4 homol
LOC653506	meteorin, glial cell differentiation re
LOC653877	UTP20, small subunit (SSU) processome c
LOC727803	RAN binding protein 1
LOC728431	hypothetical LOC728431
LOC728485	hypothetical protein LOC728485
LOC729013	hypothetical protein LOC729013
LOC729162	similar to Serine/threonine-protein kin
LOC729859	WW domain binding protein 1
LOC732419	ATPase family, AAA domain containing 3B
LOC732446	growth arrest-specific 6
LOC90462	zinc finger protein 605
LOC91316	glucuronidase, beta/ immunoglobulin lam
LONRF1	LON peptidase N-terminal domain and rin
LPHN1	latrophilin 1
LPHN2	latrophilin 2
LRIG3	leucine-rich repeats and immunoglobulin
LRP12	low density lipoprotein-related protein
LRRC17	leucine rich repeat containing 17
LRRC27	leucine rich repeat containing 27
LRRC37A3	leucine rich repeat containing 37, memb
LRRC6	leucine rich repeat containing 6
LRRC8C	leucine rich repeat containing 8 family
LRRN1	leucine rich repeat neuronal 1
LTBP2	latent transforming growth factor beta
LUC7L	LUC7-like (S. cerevisiae)
LUC7L3	cisplatin resistance-associated overexp
LUM	lumican
LXN	latexin
LYAR	Ly1 antibody reactive homolog (mouse)
LYPD1	LY6/PLAUR domain containing 1
LYRM5	LYR motif containing 5
Lamb3	laminin, beta 3
Lcn2	lipocalin 2
Ldlr	low density lipoprotein receptor
Ldoc1	leucine zipper, down-regulated in cance
Leprel2	leprecan-like 2
Lpxn	leupaxin
Lrba	LPS-responsive vesicle trafficking, bea
Lrch1	leucine-rich repeats and calponin homol
Lrrn4	leucine rich repeat neuronal 4
Ltbp1	latent transforming growth factor beta
Ly6e	lymphocyte antigen 6 complex, locus E
Lyg1	lysozyme G-like 1
Lyplal1	lysophospholipase-like 1
Lztr1	leucine-zipper-like transcription regul
MAD1L1	MAD1 mitotic arrest deficient-like 1 (y
MAFG	v-maf musculoaponeurotic fibrosarcoma o
MAGEB2	melanoma antigen family B, 2
MAGED1	melanoma antigen family D, 1
MAGED2	melanoma antigen family D, 2
MAGEH1	melanoma antigen family H, 1
MAGI2	membrane associated guanylate kinase, W
MAGI3	membrane associated guanylate kinase, W
MAK16	MAK16 homolog (S. cerevisiae)
MAL	mal, T-cell differentiation protein
MAL2	mal, T-cell differentiation protein 2
MAN2A1	mannosidase, alpha, class 2A, member 1
MAN2B2	mannosidase, alpha, class 2B, member 2
MANBA	mannosidase, beta A, lysosomal
MANEAL	mannosidase, endo-alpha-like
MANSC1	MANSC domain containing 1
MAP3K1	mitogen-activated protein kinase kinase
MAP4	microtubule-associated protein 4
MAP9	microtubule-associated protein 9
MARCKS	myristoylated alanine-rich protein kina
MARCKSL1	MARCKS-like 1
MASTL	microtubule associated serine/threonine
MATN3	matrilin 3
MBD5	methyl-CpG binding domain protein 5
MBOAT1	membrane bound O-acyltransferase domain
MBTPS1	membrane-bound transcription factor pep
MCCC1	methylcrotonoyl-Coenzyme A carboxylase
MCFD2	multiple coagulation factor deficiency
MCM3	minichromosome maintenance complex comp
MCM4	minichromosome maintenance complex comp
MCM6	minichromosome maintenance complex comp
MCM8	minichromosome maintenance complex comp
MECOM	ecotropic viral integration site 1
MED10	mediator complex subunit 10
MED11	mediator complex subunit 11
MED24	mediator complex subunit 24
MEGF9	multiple EGF-like-domains 9
MEIS1	Meis homeobox 1
METT11D1	methyltransferase 11 domain containing
METTL9	methyltransferase like 9
MFAP3L	microfibrillar-associated protein 3-lik
MFAP5	microfibrillar associated protein 5
MFHAS1	malignant fibrous histiocytoma amplifie
MGC16121	hypothetical protein MGC16121
MGC4294	hypothetical protein MGC4294
MICAL3	microtubule associated monoxygenase, ca
MICALL1	MICAL-like 1
MID1	midline 1 (Opitz/BBB syndrome)
MIIP	migration and invasion inhibitory prote
MINK1	misshapen-like kinase 1 (zebrafish)
MITF	microphthalmia-associated transcription
MKI67	antigen identified by monoclonal antibo
MKX	mohawk homeobox
MLLT3	myeloid/lymphoid or mixed-lineage leuke
MLLT6	myeloid/lymphoid or mixed-lineage leuke
MLX	MAX-like protein X
MLYCD	malonyl-CoA decarboxylase
MMACHC	methylmalonic aciduria (cobalamin defic
MMD	monocyte to macrophage differentiation-
MMP13	matrix metallopeptidase 13 (collagenase
MMP19	matrix metallopeptidase 19
MOCOS	molybdenum cofactor sulfurase
MON2	MON2 homolog (S. cerevisiae)
MORN2	MORN repeat containing 2
MOSC2	MOCO sulphurase C-terminal domain conta
MOSPD3	motile sperm domain containing 3
MOXD1	monooxygenase, DBH-like 1
MPDZ	multiple PDZ domain protein
MPI	mannose phosphate isomerase
MPP1	membrane protein, palmitoylated 1, 55kD
MPPE1	metallophosphoesterase 1
MPV17L	MPV17 mitochondrial membrane protein-li
MRAP2	melanocortin 2 receptor accessory prote
MSH5	mutS homolog 5 (E. coli)
MSX2	msh homeobox 2
MT1F	metallothionein 1F
MTBP	Mdm2, transformed 3T3 cell double minut
MTERFD3	MTERF domain containing 3
MTHFSD	methenyltetrahydrofolate synthetase dom
MTMR9L	myotubularin related protein 9-like
MTP18	mitochondrial protein 18 kDa
MUC1	mucin 1, cell surface associated
MVD	mevalonate (diphospho) decarboxylase
MVP	major vault protein
MXD1	MAX dimerization protein 1
MXRA5	matrix-remodelling associated 5
MYC	v-myc myelocytomatosis viral oncogene h
MYCBP	c-myc binding protein
MYD88	myeloid differentiation primary respons
MYL5	myosin, light chain 5, regulatory
MYL6B	myosin, light chain 6B, alkali, smooth
MYLK	myosin light chain kinase
MYO5C	myosin VC
Maff	v-maf musculoaponeurotic fibrosarcoma o
Magee1	melanoma antigen family E, 1
Man2b1	mannosidase, alpha, class 2B, member 1
Matn2	matrilin 2
Mboat2	membrane bound O-acyltransferase domain
Mcm10	minichromosome maintenance complex comp
Mcm5	minichromosome maintenance complex comp
Mdk	midkine (neurite growth-promoting facto
Megf8	multiple EGF-like-domains 8
Melk	maternal embryonic leucine zipper kinas
Mesdc1	mesoderm development candidate 1
Mid2	midline 2
Mmp1	matrix metallopeptidase 1 (interstitial
Moap1	modulator of apoptosis 1
Mrc2	mannose receptor, C type 2
Msx1	msh homeobox 1
Mta1	metastasis associated 1
Mthfd2l	methylenetetrahydrofolate dehydrogenase
Mxd3	MAX dimerization protein 3
Myof	myoferlin
Mypn	myopalladin
N6AMT2	N-6 adenine-specific DNA methyltransfer
NADSYN1	NAD synthetase 1
NAMPT	nicotinamide phosphoribosyltransferase
NAT6	N-acetyltransferase 6 (GCN5-related)
NAV1	neuron navigator 1
NCAPH	non-SMC condensin I complex, subunit H
NCEH1	arylacetamide deacetylase-like 1
NCOA7	nuclear receptor coactivator 7
NCOR1	nuclear receptor co-repressor 1
NCRNA00219	chromosome 5 open reading frame 26
NDRG3	NDRG family member 3
NDST1	N-deacetylase/N-sulfotransferase (hepar
NEDD1	neural precursor cell expressed, develo
NEDD4	neural precursor cell expressed, develo
NEIL1	nei endonuclease VIII-like 1 (E. coli)
NEXN	nexilin (F actin binding protein)
NFE2L3	nuclear factor (erythroid-derived 2)-li
NFIA	nuclear factor I/A
NFIB	nuclear factor I/B
NFIL3	nuclear factor, interleukin 3 regulated
NFKBIA	nuclear factor of kappa light polypepti
NGFRAP1	nerve growth factor receptor (TNFRSF16)
NID2	nidogen 2 (osteonidogen)
NINL	ninein-like
NIP7	nuclear import 7 homolog (S. cerevisiae
NIPAL3	NIPA-like domain containing 3
NIPSNAP1	nipsnap homolog 1 (C. elegans)
NKTR	natural killer-tumor recognition sequen
NLRX1	NLR family member X1
NME7	non-metastatic cells 7, protein express
NOC3L	nucleolar complex associated 3 homolog
NOP16	NOP16 nucleolar protein homolog (yeast)
NPHP4	nephronophthisis 4
NPNT	nephronectin
NR2F2	nuclear receptor subfamily 2, group F,
NRBP2	nuclear receptor binding protein 2
NRM	nurim (nuclear envelope membrane protei
NT5DC2	5-nucleotidase domain containing 2
NT5DC3	5-nucleotidase domain containing 3
NT5E	5-nucleotidase, ecto (CD73)
NTN4	netrin 4
NTNG2	netrin G2
NUAK2	NUAK family, SNF1-like kinase, 2
NUCB1	nucleobindin 1
NUDT15	nudix (nucleoside diphosphate linked mo
NUDT2	nudix (nucleoside diphosphate linked mo
NUF2	NUF2, NDC80 kinetochore complex compone
NUMA1	nuclear mitotic apparatus protein 1
NUP155	nucleoporin 155kDa
NUP35	nucleoporin 35kDa
NUP50	nucleoporin 50kDa
NXT2	nuclear transport factor 2-like export
Nags	N-acetylglutamate synthase
Nap1l3	nucleosome assembly protein 1-like 3
Nbr2	neighbor of BRCA1 gene 2
Nedd4l	neural precursor cell expressed, develo
Neil3	nei endonuclease VIII-like 3 (E. coli)
Neu1	sialidase 1 (lysosomal sialidase)
Nf2	neurofibromin 2 (merlin)
Nfkbie	nuclear factor of kappa light polypepti
Ngf	nerve growth factor (beta polypeptide)
Nicn1	nicolin 1
Ninj1	ninjurin 1
Nlgn2	neuroligin 2
Nmu	neuromedin U
Nop56	NOP56 ribonucleoprotein homolog (yeast)
Nptx2	neuronal pentraxin II
Nr1d1	nuclear receptor subfamily 1, group D,
Nrip3	nuclear receptor interacting protein 3
OAF	OAF homolog (Drosophila)
OCEL1	occludin/ELL domain containing 1
ODC1	ornithine decarboxylase 1
OLFML2A	olfactomedin-like 2A
OLFML3	olfactomedin-like 3
ORAOV1	oral cancer overexpressed 1
ORC6L	origin recognition complex, subunit 6 l
OS9	osteosarcoma amplified 9, endoplasmic r
OSBPL2	oxysterol binding protein-like 2
OSBPL3	oxysterol binding protein-like 3
OSBPL5	oxysterol binding protein-like 5
OSBPL9	oxysterol binding protein-like 9
OSGIN1	oxidative stress induced growth inhibit
OSTM1	osteopetrosis associated transmembrane
Oas3	2-5-oligoadenylate synthetase 3, 100k
Odz2	odz, odd Oz/ten-m homolog 2 (Drosophila
Ogt	O-linked N-acetylglucosamine (GlcNAc) t
Orai3	ORAI calcium release-activated calcium
Orc1l	origin recognition complex, subunit 1-l
Osbpl6	oxysterol binding protein-like 6
Otud1	OTU domain containing 1
Oxtr	oxytocin receptor
P2RX4	purinergic receptor P2X, ligand-gated i
P2ry6	pyrimidinergic receptor P2Y, G-protein
P4HA1	prolyl 4-hydroxylase, alpha polypeptide
P4HTM	prolyl 4-hydroxylase, transmembrane (en
P4ha3	prolyl 4-hydroxylase, alpha polypeptide
PA2G4P4	proliferation-associated 2G4, 38kDa
PABPC1L	poly(A) binding protein, cytoplasmic 1-
PACS2	phosphofurin acidic cluster sorting pro
PADI2	peptidyl arginine deiminase, type II
PADI3	peptidyl arginine deiminase, type III
PAK1IP1	PAK1 interacting protein 1
PAK4	p21 protein (Cdc42/Rac)-activated kinas
PANX1	pannexin 1
PANX2	pannexin 2
PAQR3	progestin and adipoQ receptor family me
PAQR7	progestin and adipoQ receptor family me
PAQR8	progestin and adipoQ receptor family me
PARP12	poly (ADP-ribose) polymerase family, me
PARP9	poly (ADP-ribose) polymerase family, me
PAX8	paired box 8
PCDHB10	protocadherin beta 10
PCDHB13	protocadherin beta 13
PCDHB14	protocadherin beta 14
PCDHB15	protocadherin beta 15
PCDHB16	protocadherin beta 16
PCDHB2	protocadherin beta 2
PCDHB7	protocadherin beta 7
PCLO	piccolo (presynaptic cytomatrix protein
PCMTD1	protein-L-isoaspartate (D-aspartate) O-
PCNT	pericentrin
PCOLCE2	procollagen C-endopeptidase enhancer 2
PCYOX1	prenylcysteine oxidase 1
PDCD4	programmed cell death 4 (neoplastic tra
PDDC1	Parkinson disease 7 domain containing 1
PDE12	phosphodiesterase 12
PDE6D	phosphodiesterase 6D, cGMP-specific, ro
PDGFA	platelet-derived growth factor alpha po
PDGFC	platelet derived growth factor C
PDRG1	p53 and DNA-damage regulated 1
PDSS1	prenyl (decaprenyl) diphosphate synthas
PDXDC1	pyridoxal-dependent decarboxylase domai
PDZK1IP1	PDZK1 interacting protein 1
PEG10	paternally expressed 10
PELI2	pellino homolog 2 (Drosophila)
PER2	period homolog 2 (Drosophila)
PEX11B	peroxisomal biogenesis factor 11 beta
PEX11G	peroxisomal biogenesis factor 11 gamma
PEX2	peroxisomal membrane protein 3, 35kDa
PF4V1	platelet factor 4 variant 1
PFDN2	prefoldin subunit 2
PFKL	phosphofructokinase, liver
PGAP3	post-GPI attachment to proteins 3
PGRMC2	progesterone receptor membrane componen
PHACTR4	phosphatase and actin regulator 4
PHF21A	PHD finger protein 21A
PHF3	PHD finger protein 3
PHGDH	phosphoglycerate dehydrogenase
PHKA2	phosphorylase kinase, alpha 2 (liver)
PHLDB1	pleckstrin homology-like domain, family
PHOSPHO2	phosphatase, orphan 2
PI3	peptidase inhibitor 3, skin-derived
PID1	phosphotyrosine interaction domain cont
PIGZ	phosphatidylinositol glycan anchor bios
PIH1D2	PIH1 domain containing 2
PIK3C2B	phosphoinositide-3-kinase, class 2, bet
PILRB	paired immunoglobin-like type 2 recepto
PIM3	pim-3 oncogene
PINX1	PIN2-interacting protein 1
PITPNC1	phosphatidylinositol transfer protein,
PKIA	protein kinase (cAMP-dependent, catalyt
PKMYT1	protein kinase, membrane associated tyr
PLAC8	placenta-specific 8
PLAC8L1	PLAC8-like 1
PLAGL2	pleiomorphic adenoma gene-like 2
PLAT	plasminogen activator, tissue
PLAU	plasminogen activator, urokinase
PLAUR	plasminogen activator, urokinase recept
PLCE1	phospholipase C, epsilon 1
PLCG2	phospholipase C, gamma 2 (phosphatidyli
PLEKHA2	pleckstrin homology domain containing,
PLEKHF1	pleckstrin homology domain containing,
PLEKHO2	pleckstrin homology domain containing,
PLK1	polo-like kinase 1 (Drosophila)
PLK1S1	chromosome 20 open reading frame 19
PLK4	polo-like kinase 4 (Drosophila)
PLS1	plastin 1 (I isoform)
PLSCR4	phospholipid scramblase 4
PMAIP1	phorbol-12-myristate-13-acetate-induced
PMEPA1	prostate transmembrane protein, androge
PMS2L4	postmeiotic segregation increased 2-lik
PMVK	phosphomevalonate kinase
PNN	pinin, desmosome associated protein
PNPLA6	patatin-like phospholipase domain conta
PNRC1	proline-rich nuclear receptor coactivat
POLD4	polymerase (DNA-directed), delta 4
POLE2	polymerase (DNA directed), epsilon 2 (p
POLM	polymerase (DNA directed), mu
POLQ	polymerase (DNA directed), theta
POLR3G	polymerase (RNA) III (DNA directed) pol
POLR3K	polymerase (RNA) III (DNA directed) pol
PON2	paraoxonase 2
POPDC3	popeye domain containing 3
PPARA	peroxisome proliferator-activated recep
PPARG	peroxisome proliferator-activated recep
PPCDC	phosphopantothenoylcysteine decarboxyla
PPFIBP1	PTPRF interacting protein, binding prot
PPIEL	peptidylprolyl isomerase E pseudogene
PPIF	peptidylprolyl isomerase F
PPIL5	peptidylprolyl isomerase (cyclophilin)-
PPM1N	protein phosphatase 1B-like
PPP1R15A	protein phosphatase 1, regulatory (inhi
PPP3CC	protein phosphatase 3 (formerly 2B), ca
PQLC2	PQ loop repeat containing 2
PQLC3	PQ loop repeat containing 3
PRDM1	PR domain containing 1, with ZNF domain
PRICKLE1	prickle homolog 1 (Drosophila)
PRIM2	primase, DNA, polypeptide 2 (58kDa)
