Probeset	P Value	FDR	Fold change	Direction	Symbol	Name
223271_s_at	0.0252	0.0247	1.64	UP	CTDSPL2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2
205653_at	0.0375	0.0316	1.91	UP	CTSG	Cathepsin G
1556323_at	0.0022	0.0057	1.62	UP	CUGBP2	CUG triplet repeat, RNA binding protein 2
201370_s_at	0.0037	0.0077	1.62	UP	CUL3	cullin 3
232466_at	0.0045	0.0087	1.6	UP	CUL4A	cullin 4A
202213_s_at	0.0058	0.0101	1.53	UP	CUL4B	cullin 4B
218970_s_at	0.0026	0.0064	1.53	UP	CUTC	cutC copper transporter homolog (E. coli)
201634_s_at	0.011	0.0148	1.78	UP	CYB5B	cytochrome b5 type B (outer mitochondrial membrane)
226833_at	0.0008	0.0032	1.51	UP	CYB5D1	cytochrome b5 domain containing 1
203923_s_at	0.0633	0.0441	1.69	UP	CYBB	cytochrome b-245, beta polypeptide
244546_at	0.0011	0.0038	2.15	UP	CYCS	cytochrome c, somatic
222142_at	0	0.0003	1.73	UP	CYLD	cylindromatosis (turban tumor syndrome)
221905_at	0	0.0005	1.63	UP	CYLD	cylindromatosis (turban tumor syndrome)
213295_at	0.003	0.0069	1.57	UP	CYLD	cylindromatosis (turban tumor syndrome)
219565_at	0.0101	0.0141	1.56	UP	CYP20A1	Cytochrome P450 monooxygenase
226745_at	0.0075	0.0119	1.52	UP	CYP4V2	cytochrome P450, family 4, subfamily V, polypeptide 2
209569_x_at	0.0249	0.0245	1.59	UP	D4S234E	DNA segment on chromosome 4 (unique) 234 expressed sequence
216060_s_at	0	0.0006	1.65	UP	DAAM1	dishevelled associated activator of morphogenesis 1
201624_at	0.0009	0.0035	1.74	UP	DARS	aspartyl-tRNA synthetase
204244_s_at	0.0042	0.0084	1.66	UP	DBF4	DBF4 homolog (S. cerevisiae)
209782_s_at	0.0117	0.0154	1.74	UP	DBP	D site of albumin promoter (albumin D-box) binding protein
234295_at	0	0.0001	1.75	UP	DBR1	debranching enzyme homolog 1 (S. cerevisiae)
222233_s_at	0.0018	0.0051	1.83	UP	DCLRE1C	DNA cross-link repair 1C (PSO2 homolog, S. cerevisiae)
224790_at	0.0097	0.0138	1.7	UP	DDEF1	development and differentiation enhancing factor 1
208896_at	0.0072	0.0116	1.58	UP	DDX18	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18
212515_s_at	0.0593	0.0422	2.06	UP	DDX3X	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked
217754_at	0.0001	0.0009	1.59	UP	DDX56	DEAD (Asp-Glu-Ala-Asp) box polypeptide 56
209407_s_at	0.007	0.0114	1.6	UP	DEAF1	deformed epidermal autoregulatory factor 1 (Drosophila)
207269_at	0.0192	0.0207	2.58	UP	DEFA4	defensin, alpha 4, corticostatin
207431_s_at	0.0762	0.0496	2.55	UP	DEGS1	degenerative spermatocyte homolog 1, lipid desaturase (Drosophila)
205684_s_at	0.0648	0.0447	1.52	UP	DENND4C	DENN/MADD domain containing 4C
234915_s_at	0.0006	0.0025	1.66	UP	DENR	density-regulated protein
218172_s_at	0.0581	0.0417	1.61	UP	DERL1	Der1-like domain family, member 1
203385_at	0.02	0.0213	1.56	UP	DGKA	Diacylglycerol kinase alpha (DAG kinasealpha)
202802_at	0.0057	0.01	1.62	UP	DHPS	deoxyhypusine synthase
227094_at	0	0.0003	1.56	UP	DHTKD1	dehydrogenase E1 and transketolase domain containing 1
204355_at	0.0074	0.0118	1.62	UP	DHX30	DEAH (Asp-Glu-Ala-His) box polypeptide 30
1559039_at	0.0069	0.0113	1.56	UP	DHX36	DEAH (Asp-Glu-Ala-His) box polypeptide 36
227335_at	0.0164	0.0189	1.89	UP	DIDO1	death inducer-obliterator 1
210802_s_at	0.0132	0.0166	2.02	UP	DIMT1L	DIM1 dimethyladenosine transferase 1-like (S. cerevisiae)
1552677_a_at	0.0352	0.0304	1.59	UP	DIP2A	DIP2 disco-interacting protein 2 homolog A (Drosophila)
224872_at	0.0028	0.0066	1.57	UP	DIP2B	DIP2 disco-interacting protein 2 homolog B (Drosophila)
218362_s_at	0	0.0002	1.87	UP	DIS3	DIS3 mitotic control homolog (S. cerevisiae)
234660_s_at	0.0264	0.0255	1.51	UP	DIS3	DIS3 mitotic control homolog (S. cerevisiae)
206090_s_at	0.0001	0.0007	1.53	UP	DISC1	disrupted in schizophrenia 1
201478_s_at	0.0635	0.0441	1.5	UP	DKC1	dyskeratosis congenita 1, dyskerin
230285_at	0.0636	0.0442	1.56	UP	DKFZp313A2432	small VCP/p97-interacting protein
214247_s_at	0	0.0005	1.79	UP	DKK3	dickkopf homolog 3 (Xenopus laevis)
213149_at	0.0016	0.0048	1.75	UP	DLAT	Dihydrolipoamide acetyltransferasecomponent of pyruvate dehydrogease complex, mitochondrial (E2)
212568_s_at	0.0163	0.0188	2.04	UP	DLAT	Dihydrolipoamide acetyltransferasecomponent of pyruvate dehydrogease complex, mitochondrial (E2)
230426_at	0.0098	0.0139	1.52	UP	DLD	dihydrolipoamide dehydrogenase
209095_at	0.0524	0.039	1.58	UP	DLD	dihydrolipoamide dehydrogenase
1556821_x_at	0.0018	0.0051	1.62	UP	DLEU2	deleted in lymphocytic leukemia, 2
202514_at	0.0112	0.015	1.84	UP	DLG1	Presynaptic protein SAP97
208810_at	0.047	0.0364	1.65	UP	DNAJB6	DnaJ (Hsp40) homolog, subfamily B, member 6
1554462_a_at	0.0117	0.0154	1.79	UP	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9
212911_at	0	0.0004	1.58	UP	DNAJC16	DnaJ (Hsp40) homolog, subfamily C, member 16
209831_x_at	0.0155	0.0183	1.52	UP	DNASE2	deoxyribonuclease II, lysosomal
214992_s_at	0.0502	0.0379	1.51	UP	DNASE2	deoxyribonuclease II, lysosomal
203105_s_at	0.0108	0.0147	1.64	UP	DNM1L	dynamin 1-like
201937_s_at	0	0.0005	1.61	UP	DNPEP	Aspartyl aminopeptidase
234942_s_at	0.0261	0.0253	1.72	UP	DNTTIP1	deoxynucleotidyltransferase, terminal, interacting protein 1
215151_at	0.0018	0.0052	1.62	UP	DOCK10	dedicator of cytokinesis 10
219279_at	0.0032	0.0071	1.8	UP	DOCK10	dedicator of cytokinesis 10
232874_at	0	0	2.4	UP	DOCK9	dedicator of cytokinesis 9
205248_at	0.0004	0.0022	1.64	UP	DOPEY2	dopey family member 2
213391_at	0.003	0.0069	1.54	UP	DPY19L4	dpy-19-like 4 (C. elegans)
201908_at	0.0001	0.001	1.74	UP	DVL3	dishevelled, dsh homolog 3 (Drosophila)
229115_at	0.0113	0.0151	2	UP	DYNC1H1	dynein, cytoplasmic 1, heavy chain 1
224614_at	0.0188	0.0205	1.52	UP	DYNC1LI2	dynein, cytoplasmic 1, light intermediate chain 2
202971_s_at	0.0249	0.0245	1.69	UP	DYRK2	Dual-specificitytyrosine-(Y)-phosphotylation regulated kinase 2 (DYRK2)
207231_at	0.0003	0.0017	1.52	UP	DZIP3	DAZ interacting protein 3, zinc finger
213186_at	0.002	0.0055	1.8	UP	DZIP3	DAZ interacting protein 3, zinc finger
204278_s_at	0.037	0.0313	1.52	UP	EBAG9	estrogen receptor binding site associated, antigen, 9
220926_s_at	0.0001	0.001	1.7	UP	EDEM3	ER degradation enhancer, mannosidase alpha-like 3
223243_s_at	0.0004	0.0019	1.82	UP	EDEM3	ER degradation enhancer, mannosidase alpha-like 3
214395_x_at	0.0028	0.0066	1.67	UP	EEF1D	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)
226800_at	0.0036	0.0076	1.56	UP	EFCAB7	EF-hand calcium binding domain 7
221497_x_at	0.0035	0.0076	1.51	UP	EGLN1	egl nine homolog 1 (C. elegans)
1557749_at	0	0	2.57	UP	EHBP1L1	EH domain binding protein 1-like 1
202326_at	0.0008	0.0031	1.55	UP	EHMT2	euchromatic histone-lysine N-methyltransferase 2
201016_at	0.0047	0.0089	1.87	UP	EIF1AX	eukaryotic translation initiation factor 1A, X-linked
201017_at	0.0556	0.0405	1.67	UP	EIF1AX	eukaryotic translation initiation factor 1A, X-linked
225827_at	0.0298	0.0274	1.76	UP	EIF2C2	eukaryotic translation initiation factor 2C, 2
219426_at	0	0.0001	1.72	UP	EIF2C3	eukaryotic translation initiation factor 2C, 3
224936_at	0.0392	0.0324	1.59	UP	EIF2S3	eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa
205321_at	0.0517	0.0387	3.26	UP	EIF2S3	eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa
242550_at	0.0009	0.0033	1.52	UP	EIF3B	eukaryotic translation initiation factor 3, subunit B
208264_s_at	0.0069	0.0113	1.59	UP	EIF3J	eukaryotic translation initiation factor 3, subunit J
214805_at	0.0039	0.008	1.75	UP	EIF4A1	eukaryotic translation initiation factor 4A, isoform 1
208290_s_at	0.0013	0.0042	1.92	UP	EIF5	eukaryotic translation initiation factor 5
208707_at	0.003	0.0069	1.66	UP	EIF5	eukaryotic translation initiation factor 5
201122_x_at	0.0613	0.0431	1.52	UP	EIF5A	eukaryotic translation initiation factor 5A
206871_at	0.0022	0.0058	3.67	UP	ELA2	Leukocyte elastase (Neutrophil elastase)
201727_s_at	0.0515	0.0386	1.51	UP	ELAVL1	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)
210361_s_at	0.0005	0.0023	1.57	UP	ELF2	E74-like factor 2 (ets domain transcription factor)
226099_at	0.0006	0.0026	1.64	UP	ELL2	elongation factor, RNA polymerase II, 2
1556732_at	0.0037	0.0077	1.82	UP	EML4	echinoderm microtubule associated protein like 4
220386_s_at	0.0268	0.0257	1.74	UP	EML4	echinoderm microtubule associated protein like 4
204143_s_at	0.0334	0.0294	1.86	UP	ENOSF1	enolase superfamily member 1
221487_s_at	0.0071	0.0115	1.52	UP	ENSA	endosulfine alpha
202221_s_at	0.0002	0.0012	1.76	UP	EP300	E1A binding protein p300
213579_s_at	0.0214	0.0222	1.51	UP	EP300	E1A binding protein p300
223875_s_at	0.004	0.0081	1.94	UP	EPC1	enhancer of polycomb homolog 1 (Drosophila)
200842_s_at	0.053	0.0393	1.6	UP	EPRS	glutamyl-prolyl-tRNA synthetase
215606_s_at	0	0.0001	1.61	UP	ERC1	ELKS/RAB6-interacting/CAST family member 1
240172_at	0.0016	0.0047	1.91	UP	ERGIC2	ERGIC and golgi 2
216032_s_at	0.0606	0.0429	1.63	UP	ERGIC3	ERGIC and golgi 3
202441_at	0.0028	0.0066	1.55	UP	ERLIN1	ER lipid raft associated 1
221542_s_at	0.001	0.0035	1.67	UP	ERLIN2	ER lipid raft associated 2
222646_s_at	0.0011	0.0039	1.86	UP	ERO1L	ERO1-like (S. cerevisiae)
226432_at	0.0243	0.0242	1.62	UP	ETNK1	Ethanolamine kinase (EKI1)
1555355_a_at	0.0091	0.0133	1.5	UP	ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)
235056_at	0.003	0.0068	1.65	UP	ETV6	ets variant gene 6 (TEL oncogene)
228418_at	0.0037	0.0077	1.68	UP	EXOC5	exocyst complex component 5
225084_at	0.0043	0.0084	1.78	UP	EXOC5	exocyst complex component 5
203358_s_at	0.0016	0.0048	1.69	UP	EZH2	enhancer of zeste homolog 2 (Drosophila)
208621_s_at	0.0076	0.012	1.69	UP	EZR	ezrin
208622_s_at	0.0318	0.0286	1.81	UP	EZR	ezrin
213506_at	0.0042	0.0083	1.53	UP	F2RL1	Proteinase activated receptor 2 (PAR-2)
221602_s_at	0.041	0.0333	1.72	UP	FAIM3	Fas apoptotic inhibitory molecule 3
219694_at	0.0077	0.0121	1.72	UP	FAM105A	family with sequence similarity 105, member A
223059_s_at	0.0107	0.0145	1.71	UP	FAM107B	family with sequence similarity 107, member B
218588_s_at	0.0001	0.0008	1.62	UP	FAM114A2	family with sequence similarity 114, member A2
222682_s_at	0.0348	0.0301	1.62	UP	FAM114A2	family with sequence similarity 114, member A2
235177_at	0.0049	0.0092	1.7	UP	FAM119A	family with sequence similarity 119, member A
1555945_s_at	0.0306	0.0279	1.65	UP	FAM120A	family with sequence similarity 120A
1555948_s_at	0.061	0.043	2.57	UP	FAM120A	family with sequence similarity 120A
226443_at	0.0083	0.0126	1.52	UP	FAM122A	family with sequence similarity 122A
1552323_s_at	0.0011	0.0037	1.53	UP	FAM122C	family with sequence similarity 122C
1554178_a_at	0.0109	0.0148	1.5	UP	FAM126B	family with sequence similarity 126, member B
221260_s_at	0	0	1.68	UP	FAM130A1	family with sequence similarity 130, member A1
213463_s_at	0.0006	0.0027	1.51	UP	FAM149B1	family with sequence similarity 149, member B1
212835_at	0.017	0.0193	1.78	UP	FAM175B	family with sequence similarity 175, member B
202915_s_at	0.0041	0.0083	2.21	UP	FAM20B	family with sequence similarity 20, member B
218602_s_at	0	0.0001	1.87	UP	FAM29A	family with sequence similarity 29, member A
235030_at	0.0049	0.0092	1.83	UP	FAM55C	family with sequence similarity 55, member C
223038_s_at	0.0302	0.0277	1.55	UP	FAM60A	family with sequence similarity 60, member A
244234_at	0	0.0001	1.55	UP	FAM62A	family with sequence similarity 62 (C2 domain containing), member A
216044_x_at	0.0006	0.0026	1.8	UP	FAM69A	family with sequence similarity 69, member A
213689_x_at	0.0014	0.0044	1.58	UP	FAM69A	family with sequence similarity 69, member A
228604_at	0.0002	0.0012	1.62	UP	FAM76A	family with sequence similarity 76, member A
239108_at	0.0001	0.001	1.75	UP	FAR2	fatty acyl CoA reductase 2
220615_s_at	0.0008	0.0032	1.54	UP	FAR2	fatty acyl CoA reductase 2
204283_at	0.0717	0.0477	1.56	UP	FARS2	phenylalanyl-tRNA synthetase 2, mitochondrial
216252_x_at	0.003	0.0069	2.36	UP	FAS	Fas (TNF receptor superfamily, member 6)
204780_s_at	0.0063	0.0107	1.87	UP	FAS	Fas (TNF receptor superfamily, member 6)
219002_at	0	0.0006	1.51	UP	FASTKD1	FAST kinase domains 1
216996_s_at	0.0022	0.0057	1.67	UP	FASTKD2	FAST kinase domains 2
235450_at	0.002	0.0054	1.51	UP	FBXL4	F-box and leucine-rich repeat protein 4
212231_at	0.0376	0.0316	1.53	UP	FBXO21	F-box protein 21
225734_at	0.0041	0.0083	1.61	UP	FBXO22	F-box protein 22
218432_at	0.0003	0.0017	1.73	UP	FBXO3	F-box protein 3
225803_at	0.0097	0.0138	1.94	UP	FBXO32	F-box protein 32
241763_s_at	0.0161	0.0186	1.59	UP	FBXO32	F-box protein 32
234863_x_at	0.0318	0.0285	1.64	UP	FBXO5	F-box protein 5
1554806_a_at	0.0302	0.0277	1.95	UP	FBXO8	F-box protein 8
212991_at	0	0	1.65	UP	FBXO9	F-box protein 9
1559096_x_at	0.0121	0.0157	2.05	UP	FBXO9	F-box protein 9
203620_s_at	0.0008	0.0031	1.7	UP	FCHSD2	FCH and double SH3 domains 2
224856_at	0.0315	0.0283	2.04	UP	FKBP5	FK506 binding protein 5
212025_s_at	0.0398	0.0327	1.63	UP	FLII	flightless I homolog (Drosophila)
205511_at	0.0003	0.0017	2.03	UP	FLJ10038	hypothetical protein FLJ10038
221229_s_at	0.0199	0.0212	1.51	UP	FLJ20628	hypothetical protein FLJ20628
218454_at	0.0143	0.0174	1.88	UP	FLJ22662	hypothetical protein FLJ22662
1559964_at	0.0022	0.0057	2.21	UP	FLJ38717	FLJ38717 protein
222906_at	0	0.0003	1.61	UP	FLVCR1	feline leukemia virus subgroup C cellular receptor 1
202304_at	0.0008	0.0032	1.56	UP	FNDC3A	fibronectin type III domain containing 3A
225922_at	0.0562	0.0408	1.51	UP	FNIP2	folliculin interacting protein 2
209471_s_at	0.075	0.0491	1.75	UP	FNTA	Farnesyl-protein transferasealpha-subunit
218031_s_at	0.014	0.0171	2.11	UP	FOXN3	forkhead box N3
235444_at	0.0002	0.0013	1.54	UP	FOXP1	forkhead box P1
1558996_at	0.0002	0.0014	1.84	UP	FOXP1	forkhead box P1
212546_s_at	0.0109	0.0147	1.73	UP	FRYL	FRY-like
1565716_at	0.02	0.0212	1.73	UP	FUS	fusion (involved in t(12;16) in malignant liposarcoma)
1565717_s_at	0.0601	0.0426	1.51	UP	FUS	fusion (involved in t(12;16) in malignant liposarcoma)
213594_x_at	0.0673	0.0458	1.59	UP	FUSIP1	FUS interacting protein (serine/arginine-rich) 1
201635_s_at	0.0283	0.0266	1.85	UP	FXR1	fragile X mental retardation, autosomal homolog 1
211795_s_at	0.0104	0.0143	1.5	UP	FYB	FYN binding protein (FYB-120/130)
216033_s_at	0.0359	0.0307	1.54	UP	FYN	Proto-oncogene FYN tyrosine kinase
224642_at	0.0544	0.04	1.76	UP	FYTTD1	forty-two-three domain containing 1
1557350_at	0	0	1.52	UP	G3BP1	GTPase activating protein (SH3 domain) binding protein 1
235256_s_at	0.0077	0.0121	1.67	UP	GALM	galactose mutarotase (aldose 1-epimerase)
1568618_a_at	0.025	0.0246	1.76	UP	GALNT1	polypeptide N-acetylgalactosaminyltransferase 1
218885_s_at	0.0088	0.013	1.81	UP	GALNT12	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12)
203179_at	0.0012	0.0041	1.52	UP	GALT	galactose-1-phosphate uridylyltransferase
211934_x_at	0.022	0.0226	1.61	UP	GANAB	glucosidase, alpha; neutral AB
214855_s_at	0.0004	0.0021	1.93	UP	GARNL1	GTPase activating Rap/RanGAP domain-like 1
212378_at	0.0245	0.0243	1.55	UP	GART	Glycinamide ribonucleotide transformylase(GARS-AIRS-GART)
213018_at	0.0001	0.001	1.55	UP	GATAD1	GATA zinc finger domain containing 1
208503_s_at	0.0546	0.0401	1.71	UP	GATAD1	GATA zinc finger domain containing 1
214718_at	0.0731	0.0483	1.54	UP	GATAD1	GATA zinc finger domain containing 1
214711_at	0.0011	0.0037	1.51	UP	GATC	glutamyl-tRNA(Gln) amidotransferase, subunit C homolog (bacterial)
203765_at	0.0021	0.0056	2.38	UP	GCA	grancalcin, EF-hand calcium binding protein
203925_at	0.0051	0.0095	1.71	UP	GCLM	glutamate-cysteine ligase, modifier subunit
238681_at	0	0.0004	1.56	UP	GDPD1	ADME: Glycerophosphodiesterase homologue2708696CD1 (incyte)
225161_at	0.0256	0.0249	1.85	UP	GFM1	G elongation factor, mitochondrial 1
227027_at	0.0005	0.0024	1.78	UP	GFPT1	Glutamine:fructose-6-phosphateamidotransferase (GFAT)
1554670_at	0.0015	0.0045	2.15	UP	GGA1	golgi associated, gamma adaptin ear containing, ARF binding protein 1
233937_at	0.026	0.0252	1.55	UP	GGNBP2	gametogenetin binding protein 2
202322_s_at	0.0439	0.0348	1.51	UP	GGPS1	Geranylgeranyl diphosphate (GGPP)synthase
212260_at	0.0138	0.017	1.66	UP	GIGYF2	GRB10 interacting GYF protein 2
1554345_a_at	0.001	0.0036	1.72	UP	GIN1	gypsy retrotransposon integrase 1
214730_s_at	0.0321	0.0287	1.54	UP	GLG1	golgi apparatus protein 1
209080_x_at	0.0627	0.0438	1.65	UP	GLRX3	glutaredoxin 3
219267_at	0.0287	0.0268	1.65	UP	GLTP	glycolipid transfer protein
215794_x_at	0.0232	0.0234	2.05	UP	GLUD2	glutamate dehydrogenase 2
218458_at	0.0026	0.0063	1.96	UP	GMCL1	germ cell-less homolog 1 (Drosophila)
201181_at	0.0106	0.0145	1.57	UP	GNAI3	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3
224861_at	0	0.0002	1.99	UP	GNAQ	guanine nucleotide binding protein (G protein), q polypeptide
224862_at	0.0017	0.0049	2.18	UP	GNAQ	guanine nucleotide binding protein (G protein), q polypeptide
207124_s_at	0.0482	0.0369	1.67	UP	GNB5	guanine nucleotide binding protein (G protein), beta 5
227022_at	0.02	0.0213	1.56	UP	GNPDA2	glucosamine-6-phosphate deaminase 2
35436_at	0.0006	0.0025	1.59	UP	GOLGA2	golgi autoantigen, golgin subfamily a, 2
225420_at	0	0.0006	1.66	UP	GPAM	Glycerol-3-phosphate acyltransferase(incyte)
1569320_at	0.0041	0.0083	1.86	UP	GPBP1L1	GC-rich promoter binding protein 1-like 1
225447_at	0.0001	0.001	1.66	UP	GPD2	glycerol-3-phosphate dehydrogenase 2 (mitochondrial)
239533_at	0.0006	0.0027	1.79	UP	GPR155	G protein-coupled receptor 155
231166_at	0.0008	0.0032	1.68	UP	GPR155	G protein-coupled receptor 155
223423_at	0.0416	0.0336	1.9	UP	GPR160	G protein-coupled Receptor 150
205419_at	0.0592	0.0422	1.55	UP	GPR183	EBV-induced G protein-coupled receptor 2(EBI2)
220642_x_at	0.0154	0.0182	1.53	UP	GPR89C	G protein-coupled receptor 89C
214847_s_at	0.0027	0.0064	1.52	UP	GPSM3	G-protein signaling modulator 3 (AGS3-like, C. elegans)
1569392_at	0.0044	0.0085	1.52	UP	GPSN2	glycoprotein, synaptic 2
213170_at	0.0014	0.0044	1.61	UP	GPX7	glutathione peroxidase 7
215030_at	0.0001	0.0006	1.51	UP	GRSF1	G-rich RNA sequence binding factor 1
201520_s_at	0.036	0.0308	1.57	UP	GRSF1	G-rich RNA sequence binding factor 1
201912_s_at	0.0231	0.0234	2.08	UP	GSPT1	G1 to S phase transition 1
243985_at	0.0045	0.0087	1.52	UP	GTF2A2	general transcription factor IIA, 2, 12kDa
202356_s_at	0.0021	0.0057	1.65	UP	GTF2F1	general transcription factor IIF, polypeptide 1, 74kDa
222104_x_at	0.004	0.0082	1.51	UP	GTF2H3	general transcription factor IIH, polypeptide 3, 34kDa
218343_s_at	0.0055	0.0099	1.65	UP	GTF3C3	general transcription factor IIIC, polypeptide 3, 102kDa
222770_s_at	0.0198	0.0211	1.58	UP	GUF1	GUF1 GTPase homolog (S. cerevisiae)
201554_x_at	0.0638	0.0443	1.71	UP	GYG1	Glycogenin 1 (GYG)
208631_s_at	0.0264	0.0254	1.82	UP	HADHA	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trif
209314_s_at	0.0034	0.0074	1.52	UP	HBS1L	HBS1-like (S. cerevisiae)
203745_at	0.0057	0.0101	1.53	UP	HCCS	holocytochrome c synthase (cytochrome c heme-lyase)
209526_s_at	0.0002	0.0012	1.7	UP	HDGFRP3	hepatoma-derived growth factor, related protein 3
216693_x_at	0.0007	0.0029	1.69	UP	HDGFRP3	hepatoma-derived growth factor, related protein 3
203974_at	0.0003	0.0018	1.78	UP	HDHD1A	haloacid dehalogenase-like hydrolase domain containing 1A
200643_at	0	0.0004	1.7	UP	HDLBP	high density lipoprotein binding protein
233642_s_at	0.0025	0.0062	1.61	UP	HEATR5B	HEAT repeat containing 5B
1557100_s_at	0.0003	0.0018	1.72	UP	HECTD1	HECT domain containing 1
228736_at	0.0075	0.0119	1.54	UP	HEL308	DNA helicase HEL308
220085_at	0.0002	0.0015	1.68	UP	HELLS	helicase, lymphoid-specific
208055_s_at	0.0162	0.0187	1.6	UP	HERC4	hect domain and RLD 4
1558699_a_at	0.0023	0.0059	2.3	UP	HERPUD2	HERPUD family member 2
210719_s_at	0.0034	0.0073	1.97	UP	HMG20B	high-mobility group 20B
202539_s_at	0.0147	0.0177	1.52	UP	HMGCR	3-hydroxy-3-methylglutaryl coenzyme A(HMG-CoA) reductase
211930_at	0.0474	0.0366	1.59	UP	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3
213359_at	0.0183	0.0202	1.67	UP	HNRNPD	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)
201376_s_at	0.0094	0.0136	1.73	UP	HNRNPF	heterogeneous nuclear ribonucleoprotein F
232004_at	0	0	1.57	UP	HNRNPR	heterogeneous nuclear ribonucleoprotein R
226395_at	0.0052	0.0095	1.58	UP	HOOK3	hook homolog 3 (Drosophila)
206848_at	0.0007	0.003	1.55	UP	HOXA7	homeobox A7
208470_s_at	0.0016	0.0047	2.02	UP	HP	Haptoglobin-1
1554251_at	0	0.0003	2.07	UP	HP1BP3	heterochromatin protein 1, binding protein 3
219671_at	0.0014	0.0044	1.56	UP	HPCAL4	hippocalcin like 4
206697_s_at	0.0099	0.0139	1.88	UP	HPR	Haptoglobin-related protein
226561_at	0.0006	0.0026	1.73	UP	HRB	HIV-1 Rev binding protein
218092_s_at	0.0045	0.0086	1.71	UP	HRB	HIV-1 Rev binding protein
203284_s_at	0.0007	0.003	1.68	UP	HS2ST1	Heparan sulfate 2-sulfotransferase(HS2ST1)
1557910_at	0.0132	0.0165	3.09	UP	HSP90AB1	heat shock protein 90kDa alpha (cytosolic), class B member 1
200692_s_at	0.0647	0.0447	1.63	UP	HSPA9	heat shock 70kDa protein 9 (mortalin)
200806_s_at	0.0666	0.0455	2.53	UP	HSPD1	heat shock 60kDa protein 1 (chaperonin)
208744_x_at	0.0188	0.0205	1.82	UP	HSPH1	heat shock 105kDa/110kDa protein 1
210045_at	0	0.0004	1.82	UP	IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial
208965_s_at	0.0374	0.0315	1.66	UP	IFI16	interferon, gamma-inducible protein 16
202147_s_at	0.0481	0.0369	1.5	UP	IFRD1	interferon-related developmental regulator 1
209342_s_at	0.002	0.0055	1.57	UP	IKBKB	IkB kinase beta subunit (IKK BETA)
220704_at	0.0097	0.0137	1.88	UP	IKZF1	IKAROS family zinc finger 1 (Ikaros)
209575_at	0.0638	0.0443	1.72	UP	IL10RB	interleukin 10 receptor, beta
205945_at	0.0106	0.0145	2.34	UP	IL6R	interleukin 6 receptor
208930_s_at	0.0504	0.038	1.58	UP	ILF3	interleukin enhancer binding factor 3, 90kDa
208931_s_at	0.0527	0.0392	2.49	UP	ILF3	interleukin enhancer binding factor 3, 90kDa
214705_at	0.0018	0.0052	1.8	UP	INADL	InaD-like protein
223681_s_at	0.0023	0.0059	1.55	UP	INADL	InaD-like protein
204552_at	0.0725	0.0481	1.81	UP	INPP4A	inositol polyphosphate-4-phosphatase, type I, 107kDa
205376_at	0	0.0005	1.64	UP	INPP4B	inositol polyphosphate-4-phosphatase, type II, 105kDa
1568943_at	0.0022	0.0058	1.53	UP	INPP5D	SH2-containing inositol 5-phosphatase(SHIP)
203331_s_at	0.0365	0.031	1.59	UP	INPP5D	SH2-containing inositol 5-phosphatase(SHIP)
237504_at	0	0	1.92	UP	INTS10	integrator complex subunit 10
224308_s_at	0	0.0002	1.5	UP	INTS2	integrator complex subunit 2
222239_s_at	0.0005	0.0023	1.8	UP	INTS6	integrator complex subunit 6
210114_at	0.0006	0.0027	1.5	UP	INVS	inversin
211953_s_at	0.0052	0.0095	1.83	UP	IPO5	importin 5
200992_at	0.0565	0.041	1.61	UP	IPO7	importin 7
213446_s_at	0.0327	0.029	1.59	UP	IQGAP1	IQ motif containing GTPase activating protein 1
210840_s_at	0.046	0.0359	1.53	UP	IQGAP1	IQ motif containing GTPase activating protein 1
208114_s_at	0.0481	0.0369	1.59	UP	ISG20L2	interferon stimulated exonuclease gene 20kDa-like 2
209744_x_at	0.0589	0.0421	1.55	UP	ITCH	itchy E3 ubiquitin protein ligase homolog (mouse)
205885_s_at	0.0333	0.0293	2.03	UP	ITGA4	Integrin alpha-4 (VLA-4 / CD49D)
215177_s_at	0.064	0.0443	1.81	UP	ITGA6	Integrin alpha-6 (VLA-6) (CD49F)
211339_s_at	0.0238	0.0238	1.59	UP	ITK	ITK/TSK tyrosine kinase
202746_at	0.0098	0.0139	1.79	UP	ITM2A	integral membrane protein 2A
202747_s_at	0.0621	0.0435	1.6	UP	ITM2A	integral membrane protein 2A
1554306_at	0.0007	0.0029	1.89	UP	ITPKB	Inositol 1,4,5-trisphosphate 3-kinase B(IP3 3-kinase B)
