Symbol	Fold change Day1	Fold change Day2	p Values Adj.:Treatment	Entrez Gene Name	Location	Family	Entrez Gene ID for Mouse	Entrez Gene ID for Rat
E2F2	0.454086179	0.213503404	8.22E-10	E2F transcription factor 2	Nucleus	transcription regulator	1870	242705
IRS2	0.452492785	0.496161125	4.00E-05	insulin receptor substrate 2	Cytoplasm	other	8660	384783
CTDSPL	0.450111699	0.301154929	1.91E-09	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like	Nucleus	other	10217	69274
C4ORF18	0.442460475	0.710208826	0.001252122	chromosome 4 open reading frame 18	Cytoplasm	other	51313	68659
LYAR	0.437934015	0.313661091	6.54E-08	Ly1 antibody reactive homolog (mouse)	Plasma Membrane	other	55646	17089
MCM7	0.405265603	0.293639452	7.37E-09	minichromosome maintenance complex component 7	Nucleus	enzyme	4176	17220
MT1X	0.353225403	0.524525643	1.30E-09	metallothionein 1X	Unknown	other	4501
NKX3-1	0.343016308	0.397354612	3.68E-08	NK3 homeobox 1	Nucleus	transcription regulator	4824	18095
GRIN3A	0.341240561	0.341730986	1.23E-05	glutamate receptor, ionotropic, N-methyl-D-aspartate 3A	Plasma Membrane	ion channel	116443	242443
IGF1	0.332526359	0.358754472	3.60E-06	insulin-like growth factor 1 (somatomedin C)	Extracellular Space	growth factor	3479	16000
MYB	0.32674255	0.206454391	1.59E-08	v-myb myeloblastosis viral oncogene homolog (avian)	Nucleus	transcription regulator	4602	17863
CDCA7	0.324188993	0.231007047	3.61E-09	cell division cycle associated 7	Nucleus	other	83879	66953
ADAMTS1	0.316542848	0.376563661	1.71E-08	ADAM metallopeptidase with thrombospondin type 1 motif, 1	Extracellular Space	peptidase	9510	11504
RGS2	0.307961041	0.361167645	9.01E-09	regulator of G-protein signaling 2, 24kDa	Nucleus	other	5997	19735
