Symbol	probe set	Description	WT Value	WT+GW Value	PDK1 Value	PDK1+GW	WT+GWvsWT Fold Change	PDK1vsWT Fold Change	PDK1+GWvsWT Fold Change	PDK1+GWvsPDK1 Fold Change
Rragd	1434909_at	Ras-related GTP binding D	139.8	133.1	320.8	69.4	-1.050338092	2.294706724	-2.014409222	-2.014409222
Rspo1	1449319_at	R-spondin homolog (Xenopus laevis)	365.9	86.7	126.7	141.7	-4.220299885	-2.88792423	-2.582215949	-2.582215949
Ryr1	1427306_at	ryanodine receptor 1, skeletal muscle	327.4	299.9	1372.2	160.7	-1.091697232	4.191203421	-2.037336652	-2.037336652
S100a8	1419394_s_at	S100 calcium binding protein A8 (calgranulin A)	612.4	534.4	242.6	357.9	-1.145958084	-2.524319868	-1.711092484	-1.711092484
Scd1	1415823_at	stearoyl-Coenzyme A desaturase 1	1385.1	3206	1738	2913.2	2.314634322	1.254783048	2.103241643	2.103241643
Scp2	1419974_at	sterol carrier protein 2, liver	557.4	1078.5	814.4	1202.8	1.934876211	1.46106925	2.157875852	2.157875852
Scrn3	1426916_at	secernin 3	320.5	734.2	763.6	715.4	2.290795632	2.382527301	2.232137285	2.232137285
Serpina1b	1451513_x_at	serine (or cysteine) preptidase inhibitor, clade A, member 1b	5026.3	4947.2	2388.9	4867.6	-1.015988842	-2.104022772	-1.032603336	-1.032603336
Serpine1	1419149_at	serine (or cysteine) peptidase inhibitor, clade E, member 1	260.4	220.3	279.9	535.7	-1.182024512	1.074884793	2.057219662	2.057219662
Sh3bgr	1422644_at	SH3-binding domain glutamic acid-rich protein	149.5	148.1	519.8	46.1	-1.009453072	3.476923077	-3.242950108	-3.242950108
Sit1	1418751_at	suppression inducing transmembrane adaptor 1	315.8	217.1	139.9	190.3	-1.454629203	-2.257326662	-1.659485024	-1.659485024
Slc15a2	1424730_a_at	solute carrier family 15 (H+/peptide transporter), member 2	519.8	256.6	419.8	439	-2.025720966	-1.238208671	-1.18405467	-1.18405467
Slc1a3	1443749_x_at	solute carrier family 1 (glial high affinity glutamate transporter), member 3	2050.9	1517.5	2164.2	1004.7	-1.351499176	1.055244039	-2.041305862	-2.041305862
Slc27a2	1416316_at	solute carrier family 27 (fatty acid transporter), member 2	86.3	316.5	332.5	147.2	3.667439166	3.852838934	1.705677868	1.705677868
Slc28a3	1419571_at	solute carrier family 28 (sodium-coupled nucleoside transporter), member 3	574.8	284	827.4	488.3	-2.023943662	1.439457203	-1.177145198	-1.177145198
Slc2a5	1416639_at	solute carrier family 2 (facilitated glucose transporter), member 5	175.1	790.1	356.9	542.4	4.512278698	2.038263849	3.097658481	3.097658481
Slc4a4	1421225_a_at	solute carrier family 4 (anion exchanger), member 4	244.2	443	640.8	301.6	1.814086814	2.624078624	1.235053235	1.235053235
Slc5a5	1436239_at	solute carrier family 5 (sodium iodide symporter), member 5	177.8	135.2	388.4	285.1	-1.315088757	2.18447694	1.603487064	1.603487064
Smpd1	1447874_x_at	sphingomyelin phosphodiesterase 1, acid lysosomal	124.9	339.8	170.7	250.3	2.720576461	1.366693355	2.004003203	2.004003203
Smpx	1418095_at	small muscle protein, X-linked	217.8	123.9	1036.4	61.2	-1.757869249	4.758494031	-3.558823529	-3.558823529
Snrpn	1435716_x_at	small nuclear ribonucleoprotein N	1107.4	233.2	860.4	472.6	-4.748713551	-1.287075779	-2.343207787	-2.343207787
Snx27	1433614_at	sorting nexin family member 27	289.6	401.1	398.2	601.4	1.385013812	1.375	2.076657459	2.076657459
Sox4	1449370_at	SRY-box containing gene 4	145.6	211.8	216.8	304.6	1.45467033	1.489010989	2.092032967	2.092032967
Spib	1460407_at	Spi-B transcription factor (Spi-1/PU.1 related)	710.7	521.3	284.3	453	-1.363322463	-2.499824129	-1.568874172	-1.568874172
Spon1	1441226_at	spondin 1, (f-spondin) extracellular matrix protein	363.9	207.8	506.1	159.2	-1.75120308	1.390766694	-2.28580402	-2.28580402
Spp1	1449254_at	secreted phosphoprotein 1	4457.8	8417	11921	10544.3	1.888151106	2.674189062	2.365359594	2.365359594
Sprr2a	1439016_x_at	small proline-rich protein 2A	373.5	245.4	804.8	263.1	-1.52200489	2.154752343	-1.419612315	-1.419612315
Spt2	1420466_at	salivary protein 2	11.3	7.5	14.1	1874.2	-1.506666667	1.247787611	165.8584071	165.8584071
Srl	1436867_at	sarcalumenin	374.2	411.9	1409.1	194.1	1.100748263	3.765633351	-1.927872231	-1.927872231
Sts	1421500_at	steroid sulfatase	279.8	257.9	159.1	569.9	-1.084916634	-1.758642363	2.036812009	2.036812009
Sycp3	1449534_at	synaptonemal complex protein 3	293.5	708.6	365.3	809.6	2.414310051	1.244633731	2.758432709	2.758432709
Tatdn1	1444644_x_at	TatD DNase domain containing 1	229.8	741.7	487.4	638.3	3.227589208	2.120974761	2.777632724	2.777632724
Tatdn2	1454769_at	TatD DNase domain containing 2	477.5	226.1	187	274.1	-2.111897391	-2.553475936	-1.74206494	-1.74206494
Tax1bp1	1420175_at	Tax1 (human T-cell leukemia virus type I) binding protein 1	124.7	149.9	120	413.1	1.202085004	-1.039166667	3.312750601	3.312750601
Tcap	1423145_a_at	titin-cap	536.7	231.9	2196.3	97.3	-2.314359638	4.092230296	-5.515930113	-5.515930113
Tcf4	1446953_at	transcription factor 4	145.9	318.2	217.9	330.3	2.180945853	1.493488691	2.263879369	2.263879369
Tcfe2a	1427764_a_at	transcription factor E2a	323.5	151.3	155.7	175.3	-2.138136153	-2.077713552	-1.845407872	-1.845407872
Tcrb-V13	1427849_a_at	T-cell receptor beta, variable 13	431.1	330.6	214.6	374.1	-1.30399274	-2.008853681	-1.152365678	-1.152365678
Tkt	1451015_at	transketolase	6451	14052.8	8452.9	13092.3	2.178390947	1.310323981	2.029499302	2.029499302
Tm7sf3	1438504_x_at	transmembrane 7 superfamily member 3	346.4	189.7	146.7	262.3	-1.826041118	-2.361281527	-1.320625238	-1.320625238
Tmem45a	1422587_at	transmembrane protein 45a	655.3	318.3	545.9	232.9	-2.058749607	-1.200403004	-2.813653929	-2.813653929
Tmem69	1446160_x_at	transmembrane protein 69	154.4	314.2	304.2	325.5	2.034974093	1.970207254	2.108160622	2.108160622
Tmod1	1422754_at	tropomodulin 1	686.8	432.2	760.4	302.7	-1.58907913	1.107163658	-2.268913115	-2.268913115
Tmod4	1449969_at	tropomodulin 4	143.6	183.1	659	51.2	1.275069638	4.58913649	-2.8046875	-2.8046875
Tnfrsf7	1452389_at	tumor necrosis factor receptor superfamily, member 7	318.4	308.3	156.8	231	-1.032760298	-2.030612245	-1.378354978	-1.378354978
Tnnc2	1417464_at	troponin C2, fast	6222.6	4894.9	13339.1	661.1	-1.271241496	2.143653778	-9.412494328	-9.412494328
Tnni2	1438609_x_at	troponin I, skeletal, fast 2	729.4	611.8	2654.1	154.9	-1.19221968	3.638744173	-4.708844416	-4.708844416
Tnnt3	1450118_a_at	troponin T3, skeletal, fast	2515.4	1688.8	8299.1	299.6	-1.489459972	3.299316212	-8.395861148	-8.395861148
Tph1	1419524_at	tryptophan hydroxylase 1	333.9	329.9	1050.9	401.5	-1.012124886	3.147349506	1.202455825	1.202455825
Tpm1	1423049_a_at	tropomyosin 1, alpha	4548.2	2969.7	8135.5	1774.2	-1.531535172	1.788729607	-2.563521587	-2.563521587
Tpm2	1449577_x_at	tropomyosin 2, beta	865.4	587.6	3202.4	136.6	-1.472770592	3.700485325	-6.335285505	-6.335285505
Trdn	1426143_at	triadin	356	79.7	1461	97.5	-4.466750314	4.103932584	-3.651282051	-3.651282051
Ttn	1427445_a_at	titin	870	761.9	4405.2	137.9	-1.141882137	5.063448276	-6.308919507	-6.308919507
Tubb2c	1456470_x_at	tubulin, beta 2c	151	289.9	219.3	388.6	1.91986755	1.452317881	2.573509934	2.573509934
Txlnb	1418952_at	taxilin beta	159.4	145.2	300.4	49.5	-1.097796143	1.884567127	-3.22020202	-3.22020202
Ube2h	1447374_at	ubiquitin-conjugating enzyme E2H	131.6	169.5	173.1	310.9	1.287993921	1.315349544	2.362462006	2.362462006
Ucp1	1418197_at	uncoupling protein 1 (mitochondrial, proton carrier)	1826.9	11840.6	8328.4	4589.7	6.481252395	4.558760742	2.512288576	2.512288576
Wisp2	1419015_at	WNT1 inducible signaling pathway protein 2	581.5	301.8	574.7	258.4	-1.926772697	-1.01183226	-2.250386997	-2.250386997
Xbp1	1420012_at	X-box binding protein 1	222.5	239	220.6	452.3	1.074157303	-1.008612874	2.032808989	2.032808989
Zbp1	1419604_at	Z-DNA binding protein 1	464.4	228.1	387.9	260.2	-2.035949145	-1.197215777	-1.784780938	-1.784780938
Zbtb16	1439163_at	zinc finger and BTB domain containing 16	803.2	2160.1	2444.9	1327.9	2.68936753	3.043949203	1.653261952	1.653261952
Zdhhc12	1448857_a_at	zinc finger, DHHC domain containing 12	509.4	78.9	49.3	343.2	-6.456273764	-10.3326572	-1.484265734	-1.484265734
Zmat5	1419366_at	zinc finger, matrin type 5	278.3	322.5	136.5	254.5	1.158821416	-2.038827839	-1.093516699	-1.093516699
