Gene	EntrezID	N_TPM	F_TPM	R_TPM
Ict1	68572	20.33	25.06	33.22
Ankib1	70797	20.33	20.76	29.93
Spryd3	223918	20.33	34.73	24.68
Supt5h	20924	20.33	33.48	33.63
Srebf1	20787	20.24	0.77	26.64
Arl3	56350	20.24	12.72	16.25
Wfdc2	67701	20.24	12.91	21.09
6330416L07Rik	319615	20.24	11.58	32.5
Fusip1	14105	20.24	16.74	19.65
Ssrp1	20833	20.24	21.43	19.23
Fdx1l	68165	20.24	22.96	19.13
Snx5	69178	20.24	15.5	20.78
Ints4	101861	20.24	22.1	27.56
BC017612	170748	20.24	24.3	21.29
Stab2	192188	20.24	16.36	15.12
Abcf1	224742	20.24	23.82	26.84
Mobkl3	19070	20.14	13.39	17.79
Cd163	93671	20.14	20.95	10.18
Fyco1	17281	20.14	15.78	14.5
Ubqln2	54609	20.14	24.87	26.43
Tmbim4	68212	20.14	24.2	20.57
Necab1	69352	20.14	18.85	27.87
Macrod1	107227	20.14	27.36	16.35
Shprh	268281	20.14	21.05	28.49
Cdc14b	218294	20.04	12.24	21.19
Nap1l4	17955	20.04	14.54	12.75
Pde3b	18576	20.04	14.16	17.07
Mlx	21428	20.04	15.31	23.14
Uckl1	68556	20.04	25.35	17.49
Fam128b	72083	20.04	23.63	24.79
Arsg	74008	20.04	18.27	21.91
Ddx27	228889	20.04	22.58	20.78
Cops5	26754	20.04	29.46	36
F2r	14062	19.95	13.2	18.62
D5Wsu178e	28042	19.95	10.24	14.09
Csnk2a1	12995	19.95	17.7	20.88
Atf6	226641	19.95	13.68	28.28
Cyp21a1	13079	19.85	4.3	5.76
Rprd1a	225283	19.85	9.47	10.08
Stx7	53331	19.85	10.71	18
Mad2l2	71890	19.85	8.71	15.33
C1qbp	12261	19.85	21.52	28.59
Gngt2	14710	19.85	15.21	15.63
Eri3	140546	19.85	22.1	26.64
Tnfrsf11b	18383	19.85	13.97	29.21
Cab39l	69008	19.85	35.01	29
Wbp11	60321	19.76	19.23	10.8
Slc31a1	20529	19.76	14.06	23.86
Erbb2ip	59079	19.76	14.25	21.5
1110032A13Rik	68731	19.76	17.51	20.06
Smarca5	93762	19.76	14.73	21.7
Tmem87a	211499	19.76	17.41	23.76
Ipo8	320727	19.76	15.11	20.06
Immp2l	93757	19.76	20.76	35.38
Por	18984	19.76	203.76	42.99
St3gal1	20442	19.66	12.72	11.93
Pdcd10	56426	19.66	10.71	20.57
Dapk1	69635	19.66	11.77	20.06
Rfwd3	234736	19.66	11.96	18.62
Bccip	66165	19.66	21.91	28.18
Eapp	66266	19.66	17.7	17.49
Arpc4	68089	19.66	13.97	21.7
Ppif	105675	19.66	26.31	20.16
Nploc4	217365	19.66	25.64	20.57
4833442J19Rik	320204	19.66	14.73	18.72
Cyp3a16	13114	19.66	69.64	13.47
Sult1d1	53315	19.66	37.69	19.54
Arl8a	68724	19.57	10.62	18.62
Mapk9	26420	19.57	18.85	26.84
Ctdsp2	52468	19.57	14.35	17.07
Blcap	53619	19.57	20.09	19.75
Gpihbp1	68453	19.57	16.93	18.62
Smarcd2	83796	19.57	21.24	16.77
Nt5dc1	319638	19.57	22	21.6
Scamp3	24045	19.57	14.64	30.86
Tm9sf2	68059	19.57	17.98	28.8
Hnrpll	72692	19.57	20.28	31.27
EG434402	434402	19.57	30.61	14.81
Emr4	52614	19.47	12.44	14.91
Arrdc3	105171	19.47	7.37	28.49
Fkbp1a	14225	19.47	16.55	23.86
Tmem128	66309	19.47	14.73	25.82
5033411D12Rik	109017	19.47	23.72	15.43
Rtp3	235636	19.47	17.31	15.94
Psmd1	70247	19.47	21.24	29.72
Cabc1	67426	19.38	2.97	9.15
Nfyb	18045	19.38	9.09	19.03
Edem1	192193	19.38	8.71	20.57
Slc45a3	212980	19.38	14.83	2.47
Nfe2l1	18023	19.38	22.19	24.27
Syngr2	20973	19.38	17.98	21.81
Ddx24	27225	19.38	17.6	22.83
Mrps23	64656	19.38	22.1	19.34
Uspl1	231915	19.38	22.77	22.63
Samm50	68653	19.38	18.85	31.78
Ap4b1	11779	19.38	31.95	25.4
Mt1	17748	19.38	325.06	46.9
Ppcs	106564	19.38	30.99	37.03
1810011O10Rik	69068	19.28	8.32	21.7
Adnp	11538	19.28	15.69	14.09
Slc17a1	20504	19.28	13.2	12.86
Stip1	20867	19.28	18.46	24.38
Polr2e	66420	19.28	20.76	26.33
Mapre3	100732	19.28	19.42	27.46
Lclat1	225010	19.28	26.69	27.67
Npr2	230103	19.19	17.98	8.43
Fastkd1	320720	19.19	27.26	16.87
	226352	19.19	17.31	37.64
Whdc1	434204	19.09	11.29	15.22
Mapk3	26417	19.09	14.54	22.52
Rai12	54351	19.09	16.84	21.19
Angptl4	57875	19.09	121.3	10.29
Picalm	233489	19.09	32.05	20.98
LOC100045774	100045774	18.99	8.61	21.29
Atp1b3	11933	18.99	19.71	24.48
Ube2j1	56228	18.99	13.01	21.5
Ngly1	59007	18.99	17.31	20.88
Yipf4	67864	18.99	19.32	26.64
Slc26a11	268512	18.99	12.82	22.94
Gtl3	14894	18.9	11.19	19.75
Cnot8	69125	18.9	10.52	15.12
Sec31a	69162	18.9	10.43	24.79
Tmlhe	192289	18.9	10.52	18.82
Rab1	19324	18.9	20.47	21.91
Wdr45	54636	18.9	18.85	19.95
Acin1	56215	18.9	13.58	12.75
Utp3	65961	18.9	17.79	20.78
Prpf6	68879	18.9	16.74	16.87
Larp1	73158	18.9	15.02	27.05
Man2c1	73744	18.9	22.29	23.04
3830406C13Rik	218734	18.9	21.62	13.17
EG666717	666717	18.9	20.18	21.91
Hspa13	110920	18.9	17.41	52.56
LOC100047628	100047628	18.8	12.63	9.87
Ncoa2	17978	18.8	17.03	22.11
Myadm	50918	18.8	18.08	23.35
Trappc2l	59005	18.8	21.24	27.05
Wdr53	68980	18.8	18.08	22.83
9130401M01Rik	75758	18.8	21.24	33.32
Vwce	71768	18.71	6.51	18.93
Cxadr	13052	18.71	6.79	30.65
Ctnna1	12385	18.71	14.54	14.71
Pigq	14755	18.71	17.7	22.83
Magoh	17149	18.71	12.72	19.75
Sharpin	106025	18.71	17.79	22.42
Dci	13177	18.71	42.28	16.35
Ola1	67059	18.61	11.58	22.63
Cops7a	26894	18.61	14.54	22.42
Pcbd2	72562	18.61	21.43	22.52
Trmt1	212528	18.61	22.86	16.15
Tapt1	231225	18.61	16.45	14.19
1110004F10Rik	56372	18.61	20.95	27.46
Smarcc2	68094	18.61	16.07	27.36
Itfg1	71927	18.61	15.69	29.31
9530058B02Rik	68241	18.61	58.26	17.59
Lims2	225341	18.61	34.44	19.75
Cish	12700	18.52	10.24	18.72
Ormdl2	66844	18.52	9.37	18.31
Cd2ap	12488	18.52	13.68	21.81
Ercc3	13872	18.52	18.85	25.71
Rbl2	19651	18.52	24.39	23.24
Ube2b	22210	18.52	22.67	16.15
Vim	22352	18.52	23.44	21.7
Yeats4	64050	18.52	12.15	20.98
Dullard	67181	18.52	14.54	24.07
Dus1l	68730	18.52	13.78	25.71
Foxk2	68837	18.52	13.97	26.95
Fam126b	213056	18.52	20.28	16.25
Rab11fip3	215445	18.52	15.98	20.98
Appl2	216190	18.52	16.65	17.07
Mll3	231051	18.52	19.99	20.37
Rab8a	17274	18.52	16.74	27.67
Scamp4	56214	18.42	13.58	24.48
Foxa3	15377	18.33	15.11	18.62
Cops3	26572	18.33	24.39	26.43
Zfp655	72611	18.33	18.75	17.18
Sfrs9	108014	18.33	15.78	18.82
Sorbs2	234214	18.33	15.21	14.61
Sorbs3	20410	18.33	100.45	21.09
Bat2	53761	18.23	16.36	20.57
Tm2d3	68634	18.23	13.68	21.81
Tube1	71924	18.23	18.46	19.54
Syvn1	74126	18.23	16.65	24.79
Csnk1g2	103236	18.23	15.21	19.23
LOC100047028	100047028	18.23	12.63	17.79
Ifrd2	15983	18.23	14.54	33.63
Sphk2	56632	18.14	21.14	11.21
Hars	15115	18.14	15.11	18.62
Ppp5c	19060	18.14	20.85	23.55
Rbbp6	19647	18.14	16.65	22.22
Strap	20901	18.14	13.78	22.42
D16H22S680E	27883	18.14	22.86	11.73
Pabpn1	54196	18.14	18.56	26.23
Med11	66172	18.14	21.62	26.54
Pcmtd2	245867	18.14	18.56	21.19
Saa3	20210	18.04	4.5	47.31
Sh2b3	16923	18.04	19.23	23.35
Rag1ap1	19729	18.04	16.74	24.68
EG432951	432951	17.95	8.71	9.77
Rell1	100532	17.95	6.31	18.82
Tgoln1	22134	17.95	15.21	9.87
Scamp5	56807	17.95	15.98	20.26
Map3k7ip3	66724	17.95	18.37	23.35
Fggy	75578	17.95	15.59	19.95
Irf9	16391	17.95	28.22	15.43
Prhoxnb	231903	17.85	24.39	8.95
Lyrm2	108755	17.85	15.59	11.83
Fam20a	208659	17.85	16.36	12.34
Snrpa1	68981	17.85	15.59	26.95
Tmem160	69094	17.85	13.49	29.62
Hint3	66847	17.85	26.4	19.13
Atg2a	329015	17.85	29.27	16.77
Scarb2	12492	17.85	27.65	34.76
Sae1	56459	17.75	11	20.37
Bche	12038	17.75	25.92	23.86
Pik3c2a	18704	17.75	18.85	24.38
Ubxn6	66530	17.75	19.42	22.73
Sf3b2	319322	17.75	19.23	16.56
EG433170	433170	17.75	13.87	24.99
Tjp3	27375	17.66	5.93	8.43
Psmf1	228769	17.66	7.94	8.13
Lsm8	76522	17.66	10.71	21.29
Rnf170	77733	17.66	10.52	28.18
Vcl	22330	17.66	12.15	20.98
Mpnd	68047	17.66	14.64	19.13
Ubr4	69116	17.66	16.55	15.53
Taf15	70439	17.66	18.94	23.86
Lmf1	76483	17.66	13.11	18.21
Sar1a	20224	17.66	14.92	37.95
Farsb	23874	17.66	17.31	30.86
Becn1	56208	17.66	12.24	26.64
Cib3	234421	17.56	11.1	25.51
Mprip	26936	17.56	13.39	13.68
Actr8	56249	17.56	19.32	17.28
Mrpl37	56280	17.56	17.7	22.52
Dnajc7	56354	17.56	14.16	15.63
Pxk	218699	17.56	24.2	17.07
Ythdc1	231386	17.56	17.12	15.33
Prkar1a	19084	17.56	20.28	25.71
Cct8	12469	17.47	11.38	22.42
Plec1	18810	17.47	12.53	16.97
Nek7	59125	17.47	17.03	17.28
Shroom2	110380	17.47	13.01	15.43
2410004B18Rik	66421	17.47	20.95	27.77
Mtrf1	211253	17.47	13.01	26.84
Zcchc24	71918	17.37	10.52	11.62
Golph3l	229593	17.37	8.04	20.57
Tollip	54473	17.37	13.3	18.51
Usp8	84092	17.37	13.68	21.09
Mepce	231803	17.37	23.05	15.94
Brap	72399	17.37	42.95	18.31
Sgpl1	20397	17.28	8.99	16.25
Mrpl39	27393	17.28	9.95	18.72
Yy1	22632	17.28	20.66	16.66
Ddx42	72047	17.28	20.95	17.38
Saps1	243819	17.28	14.06	23.66
Fam40a	229707	17.18	8.32	13.99
Tmem106c	380967	17.18	10.52	18.72
Hexb	15212	17.18	16.84	20.67
Ufd1l	22230	17.18	19.61	19.75
Slc2a8	56017	17.18	17.7	16.87
Tbc1d15	66687	17.18	23.25	13.58
Gipc1	67903	17.18	11.96	13.47
Gigyf2	227331	17.18	20.38	16.46
EG271505	271505	17.18	16.93	18.82
Hmbs	15288	17.18	11.77	34.04
Polr2j	20022	17.18	17.6	31.88
Pop5	117109	17.18	14.06	29.42
Agxt2l1	71760	17.18	66.1	16.56
Ilvbl	216136	17.18	25.26	16.05
Bmp4	12159	17.09	4.69	10.7
Dph3	105638	17.09	10.71	24.99
2310040G24Rik	381792	17.09	3.92	17.49
Nfyc	18046	17.09	11.58	10.39
Capzb	12345	17.09	14.25	17.28
Clns1a	12729	17.09	15.5	23.45
Znhit2	29805	17.09	18.27	17.38
Slc43a3	58207	17.09	24.68	14.09
2410002O22Rik	66975	17.09	15.88	23.14
Lmna	16905	16.99	13.49	23.35
Msh6	17688	16.99	10.91	13.78
Mink1	50932	16.99	14.25	19.13
Mier1	71148	16.99	11	16.97
Cdc42ep1	104445	16.99	13.01	24.17
Rapgef1	107746	16.99	19.32	23.04
Prkcbp1	228880	16.9	10.71	8.23
P4ha1	18451	16.9	15.88	22.42
Rchy1	68098	16.9	20.18	19.34
Dennd1a	227801	16.9	12.34	13.37
Prpf38a	230596	16.9	14.25	21.5
Hsd17b7	15490	16.9	14.64	30.03
Crtc3	70461	16.8	8.8	14.4
Serinc5	218442	16.8	9.57	17.07
Gpr182	11536	16.8	15.02	20.06
Hgsnat	52120	16.8	17.98	17.59
Bsdc1	100383	16.8	24.2	18.1
Uba5	66663	16.8	12.63	31.47
Dhx38	64340	16.7	14.35	19.75
Fam92a	68099	16.7	18.94	18.1
Fam135a	68187	16.7	11.29	22.01
Tmem64	100201	16.7	13.78	18.41
Sirt7	209011	16.7	12.91	21.29
4933421E11Rik	321000	16.7	12.82	23.86
Nktr	18087	16.7	17.03	24.48
Nup88	19069	16.7	18.27	25.3
Immp1l	66541	16.7	17.41	26.33
Ufsp2	192169	16.7	18.56	34.87
Eltd1	170757	16.61	9.76	9.77
Jmjd8	72106	16.61	9.47	19.13
Ehd3	57440	16.61	13.3	10.9
2610044O15Rik	72139	16.61	11.67	23.24
Patl1	225929	16.61	13.78	23.14
Ahcyl1	229709	16.61	19.32	23.86
Fndc4	64339	16.51	7.08	20.57
Klhl5	71778	16.51	9.76	15.63
Gstm3	14864	16.51	0.77	144.3
LOC545867	545867	16.51	8.8	26.33
Rad23a	19358	16.51	13.68	10.18
Trim28	21849	16.51	11.67	23.96
Tspyl1	22110	16.51	15.78	13.27
C1galt1c1	59048	16.51	13.2	16.46
Aarsd1	69684	16.51	15.11	18.82
Tmub2	72053	16.51	11.77	15.94
Zfc3h1	216345	16.51	10.52	18
Hdac5	15184	16.42	8.71	9.77
Lcn2	16819	16.42	4.69	46.7
Tln1	21894	16.42	12.05	23.04
Vipr1	22354	16.42	19.61	12.96
Gltscr2	68077	16.42	22.58	15.84
Pdzd11	72621	16.42	12.63	17.9
Cpsf1	94230	16.42	11.29	17.69
Nop2	110109	16.42	14.16	18.21
Senp6	215351	16.42	12.82	19.54
Tlcd1	68385	16.42	16.84	24.17
St3gal5	20454	16.42	114.8	23.76
D5Ertd579e	320661	16.42	28.79	23.04
Pdzk1	59020	16.32	9.28	18
Ndfip1	65113	16.32	10.24	19.44
Rassf7	66985	16.32	7.94	16.05
Clic1	114584	16.32	9.47	22.01
Frmd4b	232288	16.32	21.81	20.26
Rragc	54170	16.32	15.59	26.12
Ctsf	56464	16.32	24.59	6.99
Lcmt1	30949	16.23	9.66	26.84
Dhx9	13211	16.23	10.62	9.57
Myo7a	17921	16.23	14.73	7.61
Mtx1	17827	16.23	17.12	21.19
Stau1	20853	16.23	20.66	18.41
Zfpm1	22761	16.23	17.51	22.11
Abcf2	27407	16.23	11.77	15.53
Shb	230126	16.23	13.39	17.38
Cr1l	12946	16.23	16.45	25.2
Gzf1	74533	16.23	23.82	14.81
Slc25a17	20524	16.13	9.37	18.51
Rgs3	50780	16.13	8.13	18.21
Dcxr	67880	16.13	20.95	7.82
Cyp2c38	13097	16.13	22.77	16.25
Gaa	14387	16.13	17.7	14.81
Gna11	14672	16.13	14.06	21.6
Mtap7	17761	16.13	18.94	12.96
Ecsit	26940	16.13	13.49	14.81
Nbn	27354	16.13	15.11	22.83
D6Wsu116e	28006	16.13	14.25	13.68
Ppap2c	50784	16.13	14.16	15.33
Rmnd1	66084	16.13	19.8	14.91
Asnsd1	70396	16.13	17.89	21.29
Smg7	226517	16.13	19.52	19.34
Smoc1	64075	16.13	13.11	24.48
Chmp2b	68942	16.13	15.11	24.07
Csrp3	13009	16.13	33.29	4.01
	269587	16.13	27.65	19.34
Gnai3	14679	16.04	7.56	17.79
Alg5	66248	16.04	12.24	17.18
Pef1	67898	16.04	14.73	20.78
Cno	117197	16.04	13.01	27.26
LOC677149	677149	16.04	11.48	33.02
Hes6	55927	15.94	4.11	14.81
Mrps28	66230	15.94	8.8	18.72
Ptpn6	15170	15.94	16.26	10.18
Phkg2	68961	15.94	17.12	13.17
Taf2	319944	15.94	11.29	19.13
Iars2	381314	15.94	15.69	22.42
Gdap2	14547	15.94	10.43	25.92
Tgfbi	21810	15.94	18.46	23.66
Jagn1	67767	15.94	15.31	24.27
Herpud2	80517	15.94	14.45	24.68
Sfrs10	20462	15.94	26.59	24.27
Hmgcr	15357	15.85	3.54	52.66
Zw10	26951	15.85	12.44	20.78
Dnajb2	56812	15.85	12.72	19.85
Klhl2	77113	15.85	12.72	16.15
Gramd4	223752	15.85	11.29	18.62
Tnrc6a	233833	15.85	15.88	16.15
Gstt3	103140	15.85	27.17	4.94
Ptges2	96979	15.85	26.02	20.06
Sc5d	235293	15.75	5.93	22.22
Scye1	13722	15.75	20.95	22.83
Il10rb	16155	15.75	9.95	16.25
Tbp	21374	15.75	20.95	17.38
Bet1l	54399	15.75	21.43	20.57
Twsg1	65960	15.75	11.29	15.74
Ubqln4	94232	15.75	13.78	15.53
Sec24c	218811	15.75	15.5	21.7
Hook3	320191	15.75	10.33	19.65
Abi1	11308	15.75	14.64	24.58
Zfp207	22680	15.75	21.14	24.89
Trim8	93679	15.75	13.78	23.66
Mrps18b	66973	15.75	24.49	32.71
Fzd7	14369	15.65	9.09	18.41
Rrp15	67223	15.65	6.98	16.05
Jak2	16452	15.65	10.52	12.86
Wbscr22	66138	15.65	18.18	16.25
2610014I16Rik	66300	15.65	15.02	19.03
0610030E20Rik	68364	15.65	13.11	15.43
Dusp12	80915	15.65	12.53	10.9
Fez2	225020	15.65	21.33	15.94
Pkp4	227937	15.65	15.69	20.37
Yipf1	230584	15.65	18.94	22.42
Snrpb	20638	15.65	15.02	25.71
Adck4	76889	15.65	14.64	24.68
Mrc1	17533	15.56	12.34	14.19
Mettl5	75422	15.56	11.19	10.59
Trim25	217069	15.56	18.08	18.21
Ccdc56	52469	15.56	19.04	30.14
Mecr	26922	15.46	8.51	12.03
Csad	246277	15.46	9.66	16.87
H2afy	26914	15.46	12.53	11.62
Txndc12	66073	15.46	11.38	21.19
Hspbp1	66245	15.46	14.25	16.97
Mocos	68591	15.46	16.07	20.88
Rnf6	74132	15.46	11.96	22.22
Abca6	76184	15.46	21.05	22.63
Thyn1	77862	15.46	14.73	15.53
Ppan	235036	15.46	16.45	14.91
Ulk2	29869	15.37	7.75	9.26
Spop	20747	15.37	7.08	9.57
9330151L19Rik	414085	15.37	8.8	15.12
Cygb	114886	15.37	10.62	8.43
Polr1c	20016	15.37	17.22	20.47
Spnb2	20742	15.37	13.68	12.03
Rab9	56382	15.37	13.2	13.17
0610007P22Rik	68327	15.37	18.18	19.95
E2f4	104394	15.37	13.39	18.62
Trappc10	216131	15.37	12.15	17.69
Sec16a	227648	15.37	14.54	20.16
Glt25d1	234407	15.37	16.36	13.47
Lpl	16956	15.27	8.51	11.83
Ptprj	19271	15.27	6.98	11.31
Gpc4	14735	15.27	14.83	16.97
Cirh1a	21771	15.27	12.91	14.61
Syncrip	56403	15.27	13.58	14.81
Gsk3b	56637	15.27	11.38	16.05
Mrpl3	94062	15.27	11.77	17.59
Bap1	104416	15.27	10.14	14.5
Ibtk	108837	15.27	14.25	18.82
B3gnt1	108902	15.27	12.24	10.59
Gss	14854	15.27	16.74	23.04
Sypl	19027	15.27	21.62	23.14
Bik	12124	15.27	22.39	8.85
Pgls	66171	15.27	22.77	19.95
6530403M18Rik	76212	15.27	23.34	15.53
Slc46a1	52466	15.18	7.84	18.1
Itch	16396	15.18	20.09	17.38
Slc11a1	18173	15.18	10.14	13.68
Gramd1a	52857	15.18	13.97	13.17
Bhlhe22	59058	15.18	11.86	13.37
Dcakd	68087	15.18	14.92	15.22
Nt5m	103850	15.18	12.15	15.53
Kri1	215194	15.18	18.85	17.07
LOC632101	632101	15.18	15.59	13.89
B3galt1	26877	15.08	7.65	8.95
Tap2	21355	15.08	8.42	21.29
Acn9	71238	15.08	6.41	15.33
Scpep1	74617	15.08	7.27	17.69
Ndrg1	17988	15.08	14.64	9.46
Ykt6	56418	15.08	14.54	20.47
Asb8	78541	15.08	15.31	17.49
Tcp11l2	216198	15.08	15.59	12.65
Colec10	239447	15.08	11.96	12.45
LOC677213	677213	15.08	14.35	16.97
Ppm1k	243382	15.08	36.26	9.46
Rtkn	20166	14.99	6.51	22.42
Edem2	108687	14.99	5.45	37.64
Caml	12328	14.99	14.54	18.82
St3gal3	20441	14.99	10.24	16.46
Tsta3	22122	14.99	17.98	21.81
Atp5sl	66349	14.99	12.44	10.08
Ttc1	66827	14.99	12.05	11.31
2310037I24Rik	69612	14.99	13.11	17.07
2310061I04Rik	69662	14.99	14.54	11.83
Pstk	214580	14.99	13.3	14.3
Arsa	11883	14.99	15.02	22.73
Tor1a	30931	14.99	35.01	28.7
1110049F12Rik	66193	14.89	9.18	9.05
Mrc2	17534	14.89	10.04	10.49
Psen1	19164	14.89	15.02	16.66
Nubp2	26426	14.89	10.62	9.77
Thap4	67026	14.89	11.29	12.96
Ltbp4	108075	14.89	11.1	9.87
Yes1	22612	14.89	15.59	23.35
Tada1l	27878	14.8	5.55	8.33
Pcdh1	109682	14.8	7.56	8.02
Rffl	67338	14.8	8.61	10.7
Ubr1	22222	14.8	13.11	12.65
Mupcdh	72040	14.8	19.99	20.06
Mon1a	72825	14.8	19.52	13.78
AI317395	215929	14.8	13.39	10.18
Edc4	234699	14.8	15.31	19.13
Tug1	544752	14.8	13.39	19.75
Tuba1a	22142	14.8	10.52	28.08
Ccpg1	72278	14.8	26.12	27.15
Il13ra1	16164	14.7	4.97	11.11
Tmem38b	52076	14.7	7.84	15.63
Plod1	18822	14.7	17.98	11.11
Cfdp1	23837	14.7	10.52	10.08
Psmd11	69077	14.7	11.67	14.3
Bbx	70508	14.7	10.91	16.35
Nln	75805	14.7	13.3	13.27
Mak10	78689	14.7	12.15	14.91
1700034H14Rik	67105	14.7	13.49	27.87
Cnpy3	72029	14.7	13.01	27.56
Tmem25	71687	14.6	8.61	8.64
2810055F11Rik	67217	14.6	6.51	11.11
Ddah1	69219	14.6	7.65	10.29
Hdgfrp2	15193	14.6	12.82	13.68
Srp9	27058	14.6	14.73	21.29
Mett11d1	52535	14.6	15.59	14.3
Trnau1ap	71787	14.6	18.08	19.23
Lime1	72699	14.6	15.31	14.5
Ipo4	75751	14.6	20.18	19.34
Slain2	75991	14.6	15.88	13.27
Gpr108	78308	14.6	10.52	15.63
Arap3	106952	14.6	11.67	19.03
Mrps35	232536	14.6	11.96	14.81
Dync1i2	13427	14.6	13.49	23.24
Aspscr1	68938	14.6	17.12	25.1
Igsf5	72058	14.51	8.9	12.65
Nr1h2	22260	14.51	13.87	11.31
Nmi	64685	14.51	17.41	17.79
Apool	68117	14.51	13.01	17.69
Smek1	68734	14.51	12.15	9.26
Phospho2	73373	14.51	15.21	20.37
2810403A07Rik	74200	14.51	17.79	18.21
Baz2a	116848	14.51	12.24	9.57
Stk24	223255	14.51	15.5	15.84
Lrrc8d	231549	14.51	14.83	11.93
Cpne1	266692	14.51	17.41	11.31
Decr1	67460	14.51	22.96	6.69
Abca3	27410	14.41	5.07	12.03
OTTMUSG00000022917	100042374	14.41	8.04	12.24
Pmm2	54128	14.41	16.26	11.62
Ube2d2	56550	14.41	14.45	15.94
Dnajc8	68598	14.41	11.1	18.82
Aldh16a1	69748	14.41	16.93	19.85
Prune	229589	14.41	18.18	18.41
Rab4a	19341	14.32	12.34	17.79
Ranbp2	19386	14.32	17.03	14.61
Coq5	52064	14.32	9.37	11.31
Rbm18	67889	14.32	14.45	20.16
Nxt2	237082	14.32	9.66	16.97
Tpcn1	252972	14.32	15.88	12.65
Tbrg1	21376	14.32	16.36	23.76
D14Ertd436e	218978	14.32	9.85	21.7
Tpm4	326618	14.32	11.19	30.55
Vps13b	666173	14.32	10.24	21.7
Alox8	11688	14.22	7.56	8.43
Ttc7	225049	14.22	6.51	13.37
Ugt2a2	552899	14.22	4.88	9.77
Cbfb	12400	14.22	9.85	15.84
Sgms2	74442	14.22	11.86	20.47
C330006A16Rik	109299	14.22	13.68	13.78
Luc7l2	192196	14.22	10.71	17.07
LOC100048759	100048759	14.22	15.5	20.78
Metapl1	66559	14.22	15.21	22.94
3110001I20Rik	70354	14.22	12.63	24.48
Ndel1	83431	14.22	16.93	24.89
As3mt	57344	14.22	21.52	19.34
1300010F03Rik	219189	14.22	26.98	13.99
Cyp4a32	100040843	14.22	70.79	9.15
Gpn3	68080	14.13	8.42	6.99
Psmb10	19171	14.13	7.17	12.55
Exosc3	66362	14.13	8.13	15.22
Mrpl36	94066	14.13	9.09	4.63
Fgfr4	14186	14.13	8.71	17.69
Ccdc59	52713	14.13	14.54	12.03
1600012H06Rik	67912	14.13	10.62	9.77
Mul1	68350	14.13	16.93	10.29
Zfand2b	68818	14.13	11.19	12.14
Tmbim1	69660	14.13	13.3	16.77
Ipmk	69718	14.13	12.15	8.74
Nags	217214	14.13	14.25	17.49
St7l	229681	14.13	14.25	10.7
Thnsl2	232078	14.13	9.76	20.98
Uap1	107652	14.13	13.11	26.54
Npepps	19155	14.03	7.75	12.86
Vps24	66700	14.03	6.89	18.51
Dctn4	67665	14.03	6.51	13.99
Chac2	68044	14.03	6.7	18.82
Pgd	110208	14.03	5.26	77.76
2310001A20Rik	71881	14.03	10.52	8.33
Gsn	227753	14.03	11.19	8.02
Clpx	270166	14.03	17.51	6.58
LOC100039796	100039796	14.03	9.57	6.07
Cdkn1b	12576	14.03	9.66	17.07
Fxr2	23879	14.03	11.67	12.96
Mrps31	57312	14.03	12.34	14.4
Eif3f	66085	14.03	12.82	13.68
Rbm4b	66704	14.03	14.25	11.83
Abhd14a	68644	14.03	15.98	13.68
Mbnl2	105559	14.03	13.87	15.02
Mylk	107589	14.03	19.04	14.3
Rdbp	27632	14.03	14.54	24.48
Prmt3	71974	14.03	18.56	25.61
Fgf1	14164	14.03	28.03	5.86
LOC100048030	100048030	14.03	25.83	25.2
Epha1	13835	13.94	7.08	17.59
Tpm1	22003	13.94	6.31	19.34
Ap1s1	11769	13.94	8.61	15.22
Srrm1	51796	13.94	14.35	12.75
Fam18b	67510	13.94	8.51	13.58
Zfp740	68744	13.94	10.62	12.75
Rilpl2	80291	13.94	8.61	9.36
Lrba	80877	13.94	12.05	14.09
Gtrgeo22	110012	13.94	11.38	16.97
Trim41	211007	13.94	17.41	16.15
Ltbr	17000	13.94	9.37	21.91
Snx10	71982	13.94	10.62	22.01
Thrb	21834	13.84	8.04	16.56
Tsfm	66399	13.84	7.65	20.16
D4Ertd22e	213491	13.84	7.46	11.42
Rrm2	20135	13.84	5.36	28.08
Ubac2	68889	13.84	7.94	20.98
Mrps24	64660	13.84	11.58	19.44
2310002J21Rik	66360	13.84	15.11	9.57
Mrpl33	66845	13.84	14.45	18.72
Edem3	66967	13.84	11.77	13.78
Trappc6a	67091	13.84	12.44	17.59
C030046I01Rik	109284	13.84	13.3	16.77
Vps4a	116733	13.84	11.86	18.62
Rnf185	193670	13.84	13.11	14.19
Pphln1	223828	13.84	13.49	16.35
Gtf3c1	233863	13.84	16.55	14.3
Calu	12321	13.84	11.58	29.31
Keap1	50868	13.84	13.11	21.6
1500011K16Rik	67885	13.84	12.15	23.24
Cyp4a14	13119	13.84	2497.86	183.39
Fkbp9	27055	13.75	7.27	13.78
Slc30a10	226781	13.75	4.21	17.28
Nfkb1	18033	13.75	10.71	14.91
Rbck1	24105	13.75	19.9	11.93
Upf3a	67031	13.75	9.76	14.3
2700023E23Rik	70036	13.75	15.78	8.95
Aftph	216549	13.75	12.72	11.42
Ahctf1	226747	13.75	15.11	9.05
C730027H18Rik	319572	13.75	18.65	16.35
Psmc2	19181	13.75	16.74	21.5
Ufm1	67890	13.75	12.44	22.52
2900092E17Rik	67278	13.65	6.89	11.21
Cyp2j9	74519	13.65	8.23	9.46
