Probeset ID	Gene	Description	Fold Change
AGI_MM_OLIGO_A_51_P262759	Ccnd1	cyclin D1	2.659716
AGI_MM_OLIGO_A_51_P116421	Abcc5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	2.653013
AGI_MM_OLIGO_A_51_P506532	Olfr1022	olfactory receptor 1022	2.637618
AGI_MM_OLIGO_A_51_P493570	Olfr148	olfactory receptor 148	2.634074
AGI_MM_OLIGO_A_51_P328060	Sumo3	SMT3 suppressor of mif two 3 homolog 3 (yeast)	2.629572
AGI_MM_OLIGO_A_51_P183815	Slfn4	schlafen 4	2.62481
AGI_MM_OLIGO_A_51_P518600	Atp6v1c2	ATPase, H+ transporting, lysosomal V1 subunit C2	2.622813
AGI_MM_OLIGO_A_51_P217430	2410016O06Rik	RIKEN cDNA 2410016O06 gene	2.614516
AGI_MM_OLIGO_A_51_P147445	Lrrc28	leucine rich repeat containing 28	2.609195
AGI_MM_OLIGO_A_51_P468478	Entpd8	ectonucleoside triphosphate diphosphohydrolase 8	2.608855
AGI_MM_OLIGO_A_51_P425772	Ckb	creatine kinase, brain	2.604981
AGI_MM_OLIGO_A_51_P411182	Ppp1r1b	protein phosphatase 1, regulatory (inhibitor) subunit 1B	2.601457
AGI_MM_OLIGO_A_51_P361044	1810009M01Rik	RIKEN cDNA 1810009M01 gene	2.589131
AGI_MM_OLIGO_A_51_P281380	Tspan5	tetraspanin 5	2.587188
AGI_MM_OLIGO_A_51_P134816	Chac1	ChaC, cation transport regulator-like 1 (E. coli)	2.585382
AGI_MM_OLIGO_A_51_P357735	Inhbe	inhibin beta E	2.584447
AGI_MM_OLIGO_A_51_P177242	Unc13b	unc-13 homolog B (C. elegans)	2.573804
AGI_MM_OLIGO_A_51_P327751	Ifit1	interferon-induced protein with tetratricopeptide repeats 1	2.57076
AGI_MM_OLIGO_A_51_P392134	Ube2n	ubiquitin-conjugating enzyme E2N	2.563445
AGI_MM_OLIGO_A_51_P480892	Rbm8a	RNA binding motif protein 8a	2.563051
AGI_MM_OLIGO_A_51_P173426	Tra1	tumor rejection antigen gp96	2.562723
AGI_MM_OLIGO_A_51_P189722	Cabin1	calcineurin binding protein 1	2.559247
AGI_MM_OLIGO_A_51_P314812	2210419D22Rik	RIKEN cDNA 2210419D22 gene	2.537685
AGI_MM_OLIGO_A_51_P246001	Cpe	carboxypeptidase E	2.535883
AGI_MM_OLIGO_A_51_P321643	H6pd	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)	2.529788
AGI_MM_OLIGO_A_51_P110931	1700022C21Rik	RIKEN cDNA 1700022C21 gene	2.522768
AGI_MM_OLIGO_A_51_P144770	LOC545570	hypothetical LOC545570	2.51351
AGI_MM_OLIGO_A_51_P187222	1500015L24Rik	RIKEN cDNA 1500015L24 gene	2.505701
AGI_MM_OLIGO_A_51_P501730	Crispld2	cysteine-rich secretory protein LCCL domain containing 2	2.501689
AGI_MM_OLIGO_A_51_P215627	Plac9	placenta specific 9	2.501501
AGI_MM_OLIGO_A_51_P451338	Jag2	jagged 2	2.499625
AGI_MM_OLIGO_A_51_P473383	Odz4	odd Oz/ten-m homolog 4 (Drosophila)	2.471027
AGI_MM_OLIGO_A_51_P400107	Furin	furin (paired basic amino acid cleaving enzyme)	2.467917
AGI_MM_OLIGO_A_51_P470589	Lars	leucyl-tRNA synthetase	2.463722
AGI_MM_OLIGO_A_51_P219862	Dnm1	dynamin 1	2.460569
AGI_MM_OLIGO_A_51_P116940	Ephx2	epoxide hydrolase 2, cytoplasmic	2.45809
AGI_MM_OLIGO_A_51_P412297	1300012G16Rik	RIKEN cDNA 1300012G16 gene	2.455977
AGI_MM_OLIGO_A_51_P315904	Gadd45g	growth arrest and DNA-damage-inducible 45 gamma	2.45032
AGI_MM_OLIGO_A_51_P209836	4930532D21Rik	RIKEN cDNA 4930532D21 gene	2.449179
AGI_MM_OLIGO_A_51_P503345	Irak1bp1	interleukin-1 receptor-associated kinase 1 binding protein 1	2.446543
AGI_MM_OLIGO_A_51_P288687	Serpinb6b	serine (or cysteine) peptidase inhibitor, clade B, member 6b	2.44236
AGI_MM_OLIGO_A_51_P211786	LOC381796	similar to carbohydrate (chondroitin 4) sulfotransferase 13	2.437598
AGI_MM_OLIGO_A_51_P127607	Ppp2r5e	protein phosphatase 2, regulatory subunit B (B56), epsilon isoform	2.431611
AGI_MM_OLIGO_A_51_P394394	Tspan2	tetraspanin 2	2.422305
AGI_MM_OLIGO_A_51_P116298	1700019H03Rik	RIKEN cDNA 1700019H03 gene	2.421718
AGI_MM_OLIGO_A_51_P180613	Paox	polyamine oxidase (exo-N4-amino)	2.418087
AGI_MM_OLIGO_A_51_P421559	Bspry	B-box and SPRY domain containing	2.416043
AGI_MM_OLIGO_A_51_P265778	4833446K15Rik	RIKEN cDNA 4833446K15 gene	2.414759
AGI_MM_OLIGO_A_51_P513720	Cdkn2c	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	2.408942
AGI_MM_OLIGO_A_51_P200044	Lsm7	LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae)	2.407028
AGI_MM_OLIGO_A_51_P360262	Immp2l	IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae)	2.405755
AGI_MM_OLIGO_A_51_P517672	Rnf152	ring finger protein 152	2.401825
AGI_MM_OLIGO_A_51_P270184	Nhlrc2	NHL repeat containing 2	2.389543
AGI_MM_OLIGO_A_51_P267690	Adam32	a disintegrin and metallopeptidase domain 32	2.388231
AGI_MM_OLIGO_A_51_P162373			2.386122
AGI_MM_OLIGO_A_51_P140721	D4st1	dermatan 4 sulfotransferase 1	2.384814
AGI_MM_OLIGO_A_51_P504546	Aldh1l1	aldehyde dehydrogenase 1 family, member L1	2.383733
AGI_MM_OLIGO_A_51_P149699	Leprel2	leprecan-like 2	2.382825
AGI_MM_OLIGO_A_51_P469449	Ung	uracil DNA glycosylase	2.381973
AGI_MM_OLIGO_A_51_P108334	Slc25a4	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4	2.381463
AGI_MM_OLIGO_A_51_P345902	Hlrc1	HEAT-like (PBS lyase) repeat containing 1	2.380726
AGI_MM_OLIGO_A_51_P374863	Cars	cysteinyl-tRNA synthetase	2.380612
AGI_MM_OLIGO_A_51_P461319	Gatm	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	2.378857
AGI_MM_OLIGO_A_51_P431885	Dnajc6	DnaJ (Hsp40) homolog, subfamily C, member 6	2.376821
AGI_MM_OLIGO_A_51_P441745	E130119H09Rik	RIKEN cDNA E130119H09 gene	2.373211
AGI_MM_OLIGO_A_51_P368381	Zbtb20	zinc finger and BTB domain containing 20	2.371691
AGI_MM_OLIGO_A_51_P154232	2410127L17Rik	RIKEN cDNA 2410127L17 gene	2.368377
AGI_MM_OLIGO_A_51_P221100	Snph	syntaphilin	2.367144
AGI_MM_OLIGO_A_51_P158822	Mtdh	Metadherin	2.365185
AGI_MM_OLIGO_A_51_P318755	Tmc5	transmembrane channel-like gene family 5	2.36267
AGI_MM_OLIGO_A_51_P290191	Mst1	macrophage stimulating 1 (hepatocyte growth factor-like)	2.360606
AGI_MM_OLIGO_A_51_P150433	Cd8b1	CD8 antigen, beta chain 1	2.360606
AGI_MM_OLIGO_A_51_P461865	Znhit1	zinc finger, HIT domain containing 1	2.360383
AGI_MM_OLIGO_A_51_P209441	Rpl36al	ribosomal protein L36a-like	2.356823
AGI_MM_OLIGO_A_51_P221008	Gramd1b	GRAM domain containing 1B	2.356101
AGI_MM_OLIGO_A_51_P242808	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	2.351392
AGI_MM_OLIGO_A_51_P488799	Ythdf1	YTH domain family 1	2.34819
AGI_MM_OLIGO_A_51_P201904	Ndufb5	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5	2.347308
AGI_MM_OLIGO_A_51_P325836	Hpxn	hemopexin	2.347252
AGI_MM_OLIGO_A_51_P365153	Hs3st1	heparan sulfate (glucosamine) 3-O-sulfotransferase 1	2.34225
AGI_MM_OLIGO_A_51_P156547	Tcf3	transcription factor 3	2.341208
AGI_MM_OLIGO_A_51_P421876	Irf7	interferon regulatory factor 7	2.340824
AGI_MM_OLIGO_A_51_P190509	Wfdc5	WAP four-disulfide core domain 5	2.334594
AGI_MM_OLIGO_A_51_P424448	Sumo3	SMT3 suppressor of mif two 3 homolog 3 (yeast)	2.332198
AGI_MM_OLIGO_A_51_P372172	Plod3	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3	2.332035
AGI_MM_OLIGO_A_51_P514031	Mcpt5	mast cell protease 5	2.328234
AGI_MM_OLIGO_A_51_P404304	Akap2	A kinase (PRKA) anchor protein 2	2.325473
AGI_MM_OLIGO_A_51_P320614	Txnrd1	thioredoxin reductase 1	2.321047
AGI_MM_OLIGO_A_51_P464530	Sept5	septin 5	2.31997
AGI_MM_OLIGO_A_51_P196523	Bscl2	Bernardinelli-Seip congenital lipodystrophy 2 homolog (human)	2.313476
AGI_MM_OLIGO_A_51_P500002	Sema6d	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D	2.307018
AGI_MM_OLIGO_A_51_P472799	Ipmk	inositol polyphosphate multikinase	2.304147
AGI_MM_OLIGO_A_51_P193379	Mtmr7	myotubularin related protein 7	2.302503
AGI_MM_OLIGO_A_51_P153190	Rogdi	rogdi homolog (Drosophila)	2.302026
AGI_MM_OLIGO_A_51_P365952	Dnmt2	DNA methyltransferase 2	2.294525
AGI_MM_OLIGO_A_51_P144530	D630002G06Rik	RIKEN cDNA D630002G06 gene	2.294262
AGI_MM_OLIGO_A_51_P373777	Trim35	tripartite motif-containing 35	2.284827
AGI_MM_OLIGO_A_51_P276056	C230052I12Rik	RIKEN cDNA C230052I12 gene	2.283574
AGI_MM_OLIGO_A_51_P419455	1110007A06Rik	RIKEN cDNA 1110007A06 gene	2.277956
AGI_MM_OLIGO_A_51_P237746			2.275675
AGI_MM_OLIGO_A_51_P505662	4933437F05Rik	RIKEN cDNA 4933437F05 gene	2.274433
AGI_MM_OLIGO_A_51_P269084	Ndg2	Nur77 downstream gene 2	2.271488
AGI_MM_OLIGO_A_51_P217382			2.269478
AGI_MM_OLIGO_A_51_P145541	Rbms1	RNA binding motif, single stranded interacting protein 1	2.26742
AGI_MM_OLIGO_A_51_P100856	Fn1	fibronectin 1	2.2667
AGI_MM_OLIGO_A_51_P181691	Card15	caspase recruitment domain family, member 15	2.264493
AGI_MM_OLIGO_A_51_P146044	D5Bwg0834e	DNA segment, Chr 5, Brigham & Womens Genetics 0834 expressed	2.262648
AGI_MM_OLIGO_A_51_P257675	Tspyl4	TSPY-like 4	2.261318
AGI_MM_OLIGO_A_51_P347312	Ogfrl1	opioid growth factor receptor-like 1	2.25907
AGI_MM_OLIGO_A_51_P322574	Cpsf4	cleavage and polyadenylation specific factor 4	2.25469
AGI_MM_OLIGO_A_51_P246754	Pnpo	pyridoxine 5-phosphate oxidase	2.246333
AGI_MM_OLIGO_A_51_P144417	R3hdm1	R3H domain 1 (binds single-stranded nucleic acids)	2.245324
AGI_MM_OLIGO_A_51_P209122	Agr2	anterior gradient 2 (Xenopus laevis)	2.24346
AGI_MM_OLIGO_A_51_P195066	Sema4a	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A	2.236636
AGI_MM_OLIGO_A_51_P393566	1110017D15Rik	RIKEN cDNA 1110017D15 gene	2.229704
AGI_MM_OLIGO_A_51_P329291	Cygb	cytoglobin	2.221827
AGI_MM_OLIGO_A_51_P408974	Olfr1230	olfactory receptor 1230	2.22084
AGI_MM_OLIGO_A_51_P399959	2700087H15Rik	RIKEN cDNA 2700087H15 gene	2.219953
AGI_MM_OLIGO_A_51_P402909	Ncf2	neutrophil cytosolic factor 2	2.217098
AGI_MM_OLIGO_A_51_P510939	Chchd7	coiled-coil-helix-coiled-coil-helix domain containing 7	2.206093
AGI_MM_OLIGO_A_51_P121466	Map3k7ip1	mitogen-activated protein kinase kinase kinase 7 interacting protein 1	2.205315
AGI_MM_OLIGO_A_51_P267877	Rhbdl4	rhomboid, veinlet-like 4 (Drosophila)	2.200898
AGI_MM_OLIGO_A_51_P118168	Zfp297b	zinc finger protein 297B	2.199785
AGI_MM_OLIGO_A_51_P383407	Aldh1a7	aldehyde dehydrogenase family 1, subfamily A7	2.199156
AGI_MM_OLIGO_A_51_P472937	Atp8b1	ATPase, class I, type 8B, member 1	2.193752
AGI_MM_OLIGO_A_51_P364231	Mad1l1	mitotic arrest deficient 1-like 1	2.190917
AGI_MM_OLIGO_A_51_P268331	Rnf128	ring finger protein 128	2.189669
AGI_MM_OLIGO_A_51_P276198	Cox10	COX10 homolog, cytochrome c oxidase assembly protein, heme A: farnesyltransferase (yeast)	2.18919
AGI_MM_OLIGO_A_51_P297968	Pdia6	protein disulfide isomerase associated 6	2.186605
AGI_MM_OLIGO_A_51_P445032	Tomm40l	translocase of outer mitochondrial membrane 40 homolog-like (yeast)	2.182548
AGI_MM_OLIGO_A_51_P226594	A330103N21Rik	RIKEN cDNA A330103N21 gene	2.180787
AGI_MM_OLIGO_A_51_P241868	Slc5a1	solute carrier family 5 (sodium/glucose cotransporter), member 1	2.18074
AGI_MM_OLIGO_A_51_P250934	Hsd17b7	hydroxysteroid (17-beta) dehydrogenase 7	2.177511
AGI_MM_OLIGO_A_51_P184223	Pcdhb7	protocadherin beta 7	2.17448
AGI_MM_OLIGO_A_51_P513254	Rac1	RAS-related C3 botulinum substrate 1	2.174055
AGI_MM_OLIGO_A_51_P328489	1700025G04Rik	RIKEN cDNA 1700025G04 gene	2.171788
AGI_MM_OLIGO_A_51_P172661	Usp2	ubiquitin specific peptidase 2	2.169197
AGI_MM_OLIGO_A_51_P507290	Klf5	Kruppel-like factor 5	2.168915
AGI_MM_OLIGO_A_51_P387072	E330017N17	hypothetical protein E330017N17	2.163425
AGI_MM_OLIGO_A_51_P363338	Prkcm	protein kinase C, mu	2.162817
AGI_MM_OLIGO_A_51_P413545	Txndc11	thioredoxin domain containing 11	2.161508
AGI_MM_OLIGO_A_51_P351384	Upk2	uroplakin 2	2.160014
AGI_MM_OLIGO_A_51_P386648	2010001H14Rik	RIKEN cDNA 2010001H14 gene	2.152899
AGI_MM_OLIGO_A_51_P395111	Nme3	expressed in non-metastatic cells 3	2.148828
AGI_MM_OLIGO_A_51_P179492	6720467C03Rik	RIKEN cDNA 6720467C03 gene	2.148043
AGI_MM_OLIGO_A_51_P338337	Tdg	thymine DNA glycosylase	2.147074
AGI_MM_OLIGO_A_51_P176783	4921506J03Rik	RIKEN cDNA 4921506J03 gene	2.145094
AGI_MM_OLIGO_A_51_P289647	E330016A19Rik	RIKEN cDNA E330016A19 gene	2.145094
AGI_MM_OLIGO_A_51_P292008	Gpx3	glutathione peroxidase 3	2.144036
AGI_MM_OLIGO_A_51_P340038	Sh2d5	SH2 domain containing 5	2.143347
AGI_MM_OLIGO_A_51_P381122	Tpsab1	tryptase alpha/beta 1	2.14252
AGI_MM_OLIGO_A_51_P266043	Dusp7	dual specificity phosphatase 7	2.14197
AGI_MM_OLIGO_A_51_P384936	5330420D20Rik	RIKEN cDNA 5330420D20 gene	2.140411
AGI_MM_OLIGO_A_51_P197910	BC013672	cDNA sequence BC013672	2.139724
AGI_MM_OLIGO_A_51_P224175	2210016F16Rik	RIKEN cDNA 2210016F16 gene	2.139129
AGI_MM_OLIGO_A_51_P408946	Ccne1	cyclin E1	2.137803
AGI_MM_OLIGO_A_51_P155196	Abtb2	ankyrin repeat and BTB (POZ) domain containing 2	2.137803
AGI_MM_OLIGO_A_51_P406604	BC006779	cDNA sequence BC006779	2.135976
AGI_MM_OLIGO_A_51_P162116	BC038925	cDNA sequence BC038925	2.133197
AGI_MM_OLIGO_A_51_P400659	Bcap29	B-cell receptor-associated protein 29	2.129472
AGI_MM_OLIGO_A_51_P154973	Stard3	START domain containing 3	2.127705
AGI_MM_OLIGO_A_51_P495581	Tlr1	toll-like receptor 1	2.12427
AGI_MM_OLIGO_A_51_P459894	Sprr2b	small proline-rich protein 2B	2.121116
AGI_MM_OLIGO_A_51_P314107	Gsdm1	gasdermin 1	2.120486
AGI_MM_OLIGO_A_51_P448614	Slc16a10	solute carrier family 16 (monocarboxylic acid transporters), member 10	2.118464
AGI_MM_OLIGO_A_51_P135654	Eif4ebp2	eukaryotic translation initiation factor 4E binding protein 2	2.117119
AGI_MM_OLIGO_A_51_P262437	Sfrs2	splicing factor, arginine/serine-rich 2 (SC-35)	2.113897
AGI_MM_OLIGO_A_51_P142343	Fancm	Fanconi anemia, complementation group M	2.113629
AGI_MM_OLIGO_A_51_P119923	Pa2g4	proliferation-associated 2G4	2.107304
AGI_MM_OLIGO_A_51_P168613	Nuak1	ZNUAK family, SNF1-like kinase, 1	2.102607
AGI_MM_OLIGO_A_51_P116137	Lrig1	leucine-rich repeats and immunoglobulin-like domains 1	2.102033
AGI_MM_OLIGO_A_51_P509961	Slc5a10	solute carrier family 5 (sodium/glucose cotransporter), member 10	2.100178
AGI_MM_OLIGO_A_51_P272876	BC023892	cDNA sequence BC023892	2.095206
AGI_MM_OLIGO_A_51_P399900	Matk	megakaryocyte-associated tyrosine kinase	2.093978
AGI_MM_OLIGO_A_51_P439836	LOC547412	hypothetical LOC547412	2.085114
AGI_MM_OLIGO_A_51_P395856	Slc22a7	solute carrier family 22 (organic anion transporter), member 7	2.083594
AGI_MM_OLIGO_A_51_P222936	Fmnl2	formin-like 2	2.081989
AGI_MM_OLIGO_A_51_P499854	Ghr	growth hormone receptor	2.080256
AGI_MM_OLIGO_A_51_P164207	Mta2	metastasis-associated gene family, member 2	2.0787
AGI_MM_OLIGO_A_51_P373957	Sf1	splicing factor 1	2.078095
AGI_MM_OLIGO_A_51_P190573	Zkscan1	zinc finger with KRAB and SCAN domains 1	2.077749
AGI_MM_OLIGO_A_51_P331429	Glt25d2	glycosyltransferase 25 domain containing 2	2.074344
AGI_MM_OLIGO_A_51_P279437	Mfsd2	major facilitator superfamily domain containing 2	2.073312
AGI_MM_OLIGO_A_51_P181565	Hbegf	heparin-binding EGF-like growth factor	2.072024
AGI_MM_OLIGO_A_51_P424550	Slc23a3	solute carrier family 23 (nucleobase transporters), member 3	2.071465
AGI_MM_OLIGO_A_51_P344947	Rab1b	RAB1B, member RAS oncogene family	2.067183
AGI_MM_OLIGO_A_51_P433127	Rdm1	RAD52 motif 1	2.064495
AGI_MM_OLIGO_A_51_P285279	Slc25a2	solute carrier family 25 (mitochondrial carrier, ornithine transporter) member 2	2.062791
AGI_MM_OLIGO_A_51_P426274	Pdk2	pyruvate dehydrogenase kinase, isoenzyme 2	2.062408
AGI_MM_OLIGO_A_51_P446036	Sbno1	sno, strawberry notch homolog 1 (Drosophila)	2.060539
AGI_MM_OLIGO_A_51_P380750	Cbfa2t3h	core-binding factor, runt domain, alpha subunit 2, translocated to, 3 homolog (human)	2.058884
AGI_MM_OLIGO_A_51_P213511			2.058588
AGI_MM_OLIGO_A_51_P519756	Rusc1	RUN and SH3 domain containing 1	2.056344
AGI_MM_OLIGO_A_51_P313761	Shmt2	serine hydroxymethyl transferase 2 (mitochondrial)	2.054274
AGI_MM_OLIGO_A_51_P445765			2.053978
AGI_MM_OLIGO_A_51_P290626	Gulo	gulonolactone (L-) oxidase	2.051577
AGI_MM_OLIGO_A_51_P121891	Rac2	RAS-related C3 botulinum substrate 2	2.05103
AGI_MM_OLIGO_A_51_P498558	Stac2	SH3 and cysteine rich domain 2	2.050525
AGI_MM_OLIGO_A_51_P137560	Etv2	ets variant gene 2	2.045743
AGI_MM_OLIGO_A_51_P266517	Cdk2	cyclin-dependent kinase 2	2.044405
AGI_MM_OLIGO_A_51_P215438	Prodh	proline dehydrogenase	2.044154
AGI_MM_OLIGO_A_51_P403814	C330016K18Rik	RIKEN cDNA C330016K18 gene	2.043861
AGI_MM_OLIGO_A_51_P430903			2.041566
AGI_MM_OLIGO_A_51_P186703	Fbln5	fibulin 5	2.036826
AGI_MM_OLIGO_A_51_P448987	Wbp11	WW domain binding protein 11	2.034505
AGI_MM_OLIGO_A_51_P208410	Ppp1r12c	protein phosphatase 1, regulatory (inhibitor) subunit 12C	2.034133
AGI_MM_OLIGO_A_51_P157297	4732418C07Rik	RIKEN cDNA 4732418C07 gene	2.033967
AGI_MM_OLIGO_A_51_P430139	1700040F15Rik	RIKEN cDNA 1700040F15 gene	2.031488
AGI_MM_OLIGO_A_51_P351015	Lta	lymphotoxin A	2.023104
AGI_MM_OLIGO_A_51_P165704	Mcm7	minichromosome maintenance deficient 7 (S. cerevisiae)	2.022122
AGI_MM_OLIGO_A_51_P216926	Parc	p53-associated parkin-like cytoplasmic protein	2.018001
AGI_MM_OLIGO_A_51_P262925	1700018F24Rik	RIKEN cDNA 1700018F24 gene	2.017471
AGI_MM_OLIGO_A_51_P231499	Enpp1	ectonucleotide pyrophosphatase/phosphodiesterase 1	2.016373
AGI_MM_OLIGO_A_51_P492476	Cstf2t	cleavage stimulation factor, 3 pre-RNA subunit 2, tau	2.016292
AGI_MM_OLIGO_A_51_P434776	2610003J06Rik	RIKEN cDNA 2610003J06 gene	2.01272
AGI_MM_OLIGO_A_51_P243604	Ppp1r10	protein phosphatase 1, regulatory subunit 10	2.012356
AGI_MM_OLIGO_A_51_P205271	2810446P07Rik	RIKEN cDNA 2810446P07 gene	2.009081
AGI_MM_OLIGO_A_51_P119633	Frat1	frequently rearranged in advanced T-cell lymphomas	2.006743
AGI_MM_OLIGO_A_51_P267587	Gdap10	ganglioside-induced differentiation-associated-protein 10	2.003446
AGI_MM_OLIGO_A_51_P226453	Acot11	acyl-CoA thioesterase 11	2.002804
AGI_MM_OLIGO_A_51_P224505	Bag1	Bcl2-associated athanogene 1	2.002804
AGI_MM_OLIGO_A_51_P192474	1110002B05Rik	RIKEN cDNA 1110002B05 gene	1.998082
AGI_MM_OLIGO_A_51_P136521	Lypd2	Ly6/Plaur domain containing 2	1.996566
AGI_MM_OLIGO_A_51_P219444	Plcl2	phospholipase C-like 2	1.996407
AGI_MM_OLIGO_A_51_P163316	BC008163	cDNA sequence BC008163	1.993382
AGI_MM_OLIGO_A_51_P410900	Fut10	fucosyltransferase 10	1.9874
AGI_MM_OLIGO_A_51_P343427	Slc25a37	solute carrier family 25, member 37	1.98661
AGI_MM_OLIGO_A_51_P376347	Hebp1	heme binding protein 1	1.986531
AGI_MM_OLIGO_A_51_P206346	D10Ucla1	DNA segment, Chr 10, University of California at Los Angeles 1	1.984757
AGI_MM_OLIGO_A_51_P363818	Ptbp2	polypyrimidine tract binding protein 2	1.979062
AGI_MM_OLIGO_A_51_P234483	Tmod2	tropomodulin 2	1.978318
AGI_MM_OLIGO_A_51_P110371	Wwox	WW domain-containing oxidoreductase	1.978161
AGI_MM_OLIGO_A_51_P381988	Hmx1	H6 homeo box 1	1.977653
AGI_MM_OLIGO_A_51_P481481	1200002N14Rik	RIKEN cDNA 1200002N14 gene	1.974217
AGI_MM_OLIGO_A_51_P188911	Galnt12	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12	1.973282
AGI_MM_OLIGO_A_51_P141288	Lck	lymphocyte protein tyrosine kinase	1.970521
AGI_MM_OLIGO_A_51_P331246	Polr2l	polymerase (RNA) II (DNA directed) polypeptide L	1.968969
AGI_MM_OLIGO_A_51_P253163	Plek2	pleckstrin 2	1.965293
AGI_MM_OLIGO_A_51_P274274	Arid4a	AT rich interactive domain 4A (Rbp1 like)	1.963556
AGI_MM_OLIGO_A_51_P397152	Stard6	StAR-related lipid transfer (START) domain containing 6	1.962978
AGI_MM_OLIGO_A_51_P511192	4931429P17Rik	RIKEN cDNA 4931429P17 gene	1.961515
AGI_MM_OLIGO_A_51_P469401	Tnfrsf18	tumor necrosis factor receptor superfamily, member 18	1.961284
AGI_MM_OLIGO_A_51_P375201	Plk3	polo-like kinase 3 (Drosophila)	1.959555
AGI_MM_OLIGO_A_51_P220806	Gdf9	growth differentiation factor 9	1.956488
AGI_MM_OLIGO_A_51_P338726	0610010E21Rik	RIKEN cDNA 0610010E21 gene	1.954576
AGI_MM_OLIGO_A_51_P451106	Brca2	breast cancer 2	1.954461
AGI_MM_OLIGO_A_51_P129260			1.95221
AGI_MM_OLIGO_A_51_P127681	Clic4	chloride intracellular channel 4 (mitochondrial)	1.95141
AGI_MM_OLIGO_A_51_P145010	Col22a1	collagen, type XXII, alpha 1	1.948786
AGI_MM_OLIGO_A_51_P208361	Ak3	adenylate kinase 3	1.944769
AGI_MM_OLIGO_A_51_P352392	Ankrd9	ankyrin repeat domain 9	1.940994
AGI_MM_OLIGO_A_51_P165934	Phb	prohibitin	1.940316
AGI_MM_OLIGO_A_51_P370720	Tnfrsf23	tumor necrosis factor receptor superfamily, member 23	1.938172
AGI_MM_OLIGO_A_51_P519251	Nupr1	nuclear protein 1	1.935359
AGI_MM_OLIGO_A_51_P214580	Wipi2	WD repeat domain, phosphoinositide interacting 2	1.934199
AGI_MM_OLIGO_A_51_P143893	Steap4	STEAP family member 4	1.930278
AGI_MM_OLIGO_A_51_P111762	Creg1	cellular repressor of E1A-stimulated genes 1	1.929533
AGI_MM_OLIGO_A_51_P346964	Mrap	melanocortin 2 receptor accessory protein	1.926782
AGI_MM_OLIGO_A_51_P296100	Rhot2	ras homolog gene family, member T2	1.922522
AGI_MM_OLIGO_A_51_P167273	Rpp14	ribonuclease P 14 subunit (human)	1.922449
AGI_MM_OLIGO_A_51_P380255	4121402D02Rik	RIKEN cDNA 4121402D02 gene	1.919865
AGI_MM_OLIGO_A_51_P148785	1110034A24Rik	RIKEN cDNA 1110034A24 gene	1.918355
AGI_MM_OLIGO_A_51_P501844	Cyp26b1	cytochrome P450, family 26, subfamily b, polypeptide 1	1.91659
AGI_MM_OLIGO_A_51_P360963	Mbtd1	mbt domain containing 1	1.915342
AGI_MM_OLIGO_A_51_P455861	2310002B14Rik	RIKEN cDNA 2310002B14 gene	1.914388
AGI_MM_OLIGO_A_51_P304437	Pfkfb4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	1.910037
AGI_MM_OLIGO_A_51_P208845	AU040377	expressed sequence AU040377	1.910037
AGI_MM_OLIGO_A_51_P149291	Glt25d1	glycosyltransferase 25 domain containing 1	1.906832
AGI_MM_OLIGO_A_51_P346634	AI448196	expressed sequence AI448196	1.905597
AGI_MM_OLIGO_A_51_P234544	Azin1	antizyme inhibitor 1	1.902406
AGI_MM_OLIGO_A_51_P476660	Mllt4	myeloid/lymphoid or mixed lineage-leukemia translocation to 4 homolog (Drosophila)	1.901538
AGI_MM_OLIGO_A_51_P349988	Ggta1	glycoprotein galactosyltransferase alpha 1, 3	1.901466
AGI_MM_OLIGO_A_51_P456466	Mlxipl	MLX interacting protein-like	1.898001
AGI_MM_OLIGO_A_51_P242487	Tessp2	testis serine protease 2	1.896634
AGI_MM_OLIGO_A_51_P255612	Snrpf	small nuclear ribonucleoprotein polypeptide F	1.895555
AGI_MM_OLIGO_A_51_P446868	Tln1	talin 1	1.894298
AGI_MM_OLIGO_A_51_P184477	Pggt1b	protein geranylgeranyltransferase type I, beta subunit	1.8929
AGI_MM_OLIGO_A_51_P215863			1.891718
AGI_MM_OLIGO_A_51_P234174	Pms2	postmeiotic segregation increased 2 (S. cerevisiae)	1.888646
AGI_MM_OLIGO_A_51_P405668	March5	membrane-associated ring finger (C3HC4) 5	1.883842
AGI_MM_OLIGO_A_51_P394207	Fap	fibroblast activation protein	1.88253
AGI_MM_OLIGO_A_51_P359822	Sftpd	surfactant associated protein D	1.880265
AGI_MM_OLIGO_A_51_P408123			1.879523
