Gene name	Description	Entrez Gene ID	Fold Change	P-value
hoxa2b	Homeo box A2b	30325	1.37	1.35E-06
hoxa4a	Homeo box A4a	58050	1.13	0.00004
hoxb1a	Homeo box B1a	30337	1.36	1.52E-09
hoxb3a	Homeo box B3a	30339	1.21	0.00003
hoxb6a	Homeo box B6a	30341	1.27	1.62E-06
hp	Haptoglobin	322539	1.63	8.42E-13
hpx	Hemopexin	327588	1.9	1.08E-06
hspb1	Heat shock protein 1	368243	2.33	1.18E-23
iars	Isoleucyl-tRNA synthetase	334393	1.51	0.00002
id:ibd1374	Id:ibd1374	338253	1.98	0.00002
id:ibd5057	Id:ibd5057	58015	1.76	0.00002
ift57	Intraflagellar transport protein 57	414929	1.35	2.11E-12
il12a	Interleukin 12a	445410	1.84	3.97E-09
im:6895423	Im:6895423	552938	1.7	5.35E-07
im:6901326	Im:6901326	552967	1.71	6.97E-39
im:6908766	Im:6908766	449683	1.41	0.00008
im:7136185	Im:7136185	448930	1.6	0.00003
im:7136462	Im:7136462	497326	2.02	9.83E-09
im:7136654	Im:7136654	449761	3.48	6.55E-07
im:7138209	Im:7138209	449885	2.07	0.00003
im:7140652	Im:7140652	492543	2.24	2.15E-10
im:7141573	Im:7141573	492566	2.84	2.54E-09
im:7143037	Im:7143037	492603	1.47	0.00001
im:7145180	Im:7145180	550179	1.56	1.84E-15
im:7145273	Im:7145273	492655	1.69	3.50E-14
im:7150352	Im:7150352	504012	1.39	0.00008
im:7154516	Im:7154516	492754	1.44	0.00002
im:7159841	Im:7159841	606638	1.85	0.00007
im:7160157	Im:7160157	606645	1.79	0.00005
ins	Preproinsulin	30262	1.5	1.83E-07
insb	Preproinsulin b	566735	1.49	0.00006
insm1b	Insulinoma-associated 1b	323882	1.39	1.63E-07
ints1	Integrator complex subunit 1	334591	1.44	8.80E-11
ireb2	Iron-responsive element binding protein 2	652982	1.39	8.08E-07
irgq2	Immunity-related GTPase family, q2	556650	2.55	1.30E-06
itsn1	Intersectin 1 (SH3 domain protein)	368504	1.86	0.00003
jag2	Jagged 2	140422	1.5	0.00008
jak2b	Janus kinase 2b	30298	1.23	3.49E-06
jmjd2al	Jumonji domain containing 2A, like	334347	1.45	1.09E-06
jmjd6	Jumonji domain containing 6	266962	1.64	7.88E-07
jun	V-jun sarcoma virus 17 oncogene homolog (avian)	335916	1.23	7.83E-06
junb	Jun B proto-oncogene	407086	1.37	1.32E-09
katnal2	Katanin p60 subunit A-like 2	641431	1.26	0.00001
kcnd3	Potassium voltage-gated channel, Shal-related subfamily, member 3	327415	1.62	2.51E-06
khdrbs1	KH domain containing, RNA binding, signal transduction associated 1	30082	1.76	1.38E-06
kiaa0907	KIAA0907 protein	321686	2.13	6.41E-07
kiaa0947l	KIAA0947-like (H. sapiens)	327355	1.43	1.88E-06
klf11	Kruppel-like factor 11	324847	1.75	1.26E-07
kop	Askopos	493632	2.03	3.94E-06
krml2	Kreisler (mouse) maf-related leucine zipper homolog 2	114460	1.48	0.00004
krml2.2	Kreisler (mouse) maf-related leucine zipper homolog 2.2	114463	1.63	1.42E-06
lgals3bp	Lectin, galactoside-binding, soluble, 3 binding protein	677742	1.45	6.00E-11
lin7b	Lin-7 homolog B (C. elegans)	553768	1.28	0.00002
llgl2	Lethal giant larvae homolog 2 (Drosophila)	321288	1.69	3.96E-27
LOC100000090	Similar to Solute carrier family 20, member 1a	100000090	1.33	0.00009
LOC100000215	Hypothetical protein LOC100000215	100000215	1.54	4.63E-08
LOC100000301	Hypothetical protein LOC100000301	100000301	2.15	6.26E-06
LOC100000553	Similar to furinA preproprotein	100000553	1.86	5.03E-15
LOC100000849	Hypothetical protein LOC100000849	100000849	1.93	0.00002
LOC100000860	Hypothetical protein LOC100000860	100000860	1.5	0.00009
LOC100001046	Similar to Mucolipin 1	100001046	1.82	1.53E-09
LOC100001298	Similar to Coronin, actin binding protein, 2A	100001298	1.8	5.01E-07
LOC100001418	Hypothetical protein LOC100001418	100001418	1.7	3.57E-06
LOC100001521	Hypothetical protein LOC100001521	100001521	1.83	0.00003
LOC100001662	Hypothetical protein LOC100001662	100001662	1.46	1.64E-06
LOC100001952	Hypothetical protein LOC100001952	100001952	2.63	0.00002
LOC100002235	Hypothetical protein LOC100002235	100002235	1.77	2.25E-08
LOC100002364	Similar to Poly (ADP-ribose) polymerase family, member 6	100002364	2.77	2.51E-07
LOC100002383	Hypothetical protein LOC100002383	100002383	1.66	9.84E-06
LOC100002456	Similar to Alkylglycerone phosphate synthase	100002456	2.46	1.32E-08
LOC100002610	Similar to KIAA1070 protein	100002610	1.73	9.36E-06
LOC100002688	Hypothetical protein LOC100002688	100002688	2.79	2.45E-11
LOC100002749	Similar to SI:zC220F6.1 (novel protein similar to human dynein heavy chain (DHC))	100002749	1.54	0.00002
LOC100003104	Hypothetical protein LOC100003104	100003104	2.34	1.12E-18
LOC100003132	Hypothetical protein LOC100003132	100003132	1.61	9.28E-09
LOC100003154	Hypothetical protein LOC100003154	100003154	2.19	1.07E-07
LOC100003370	Hypothetical protein LOC100003370	100003370	1.77	0.00004
LOC100003516	Hypothetical protein LOC100003516	100003516	1.64	3.95E-06
LOC100003578	Hypothetical protein LOC100003578	100003578	2.33	1.44E-13
LOC100003938	Similar to adaptor protein X11alpha	100003938	1.67	3.39E-07
LOC100004024	Similar to mediator of RNA polymerase II transcription, subunit 13 homolog	100004024	1.47	1.43E-06
LOC100004190	Hypothetical protein LOC100004190	100004190	1.77	0.00005
LOC100004270	Hypothetical protein LOC100004270	100004270	2.81	8.61E-07
LOC100004475	Similar to ATPase, Na+/K+ transporting, alpha 3a polypeptide	100004475	2.3	5.96E-08
LOC100004501	Similar to Fibrinogen, gamma polypeptide	100004501	1.65	1.17E-09
LOC100004713	Similar to D4, zinc and double PHD fingers family 1	100004713	1.42	7.75E-20
LOC100004795	Similar to lambda-recombinase-like protein	100004795	1.55	0.00003
LOC100004899	Hypothetical protein LOC100004899	100004899	1.45	3.94E-07
LOC100005060	Hypothetical protein LOC100005060	100005060	1.8	0.00002
LOC100005489	Hypothetical protein LOC100005489	100005489	1.52	6.17E-07
LOC100005813	Similar to sno, strawberry notch homolog 1 (Drosophila)	100005813	1.9	2.39E-14
LOC100005834	Similar to LOC496604 protein	100005834	2.16	0.00008
LOC100006022	Hypothetical protein LOC100006022	100006022	2.86	1.43E-06
LOC100006246	Hypothetical protein LOC100006246	100006246	1.77	0.00004
LOC100006417	Hypothetical protein LOC100006417	100006417	2.65	5.12E-17
LOC100007152	Hypothetical protein LOC100007152	100007152	1.47	6.60E-06
LOC100007269	Hypothetical protein LOC100007269	100007269	1.54	5.91E-06
LOC100007577	Hypothetical protein LOC100007577	100007577	1.44	0.00002
LOC100007776	Similar to CCK8	100007776	1.53	4.48E-07
LOC100007808	Hypothetical protein LOC100007808	100007808	1.75	5.97E-09
LOC100007901	Similar to hCG1643563	100007901	1.89	4.50E-10
LOC100008405	Similar to pKU-beta protein kinase	100008405	2.28	1.31E-07
LOC402847	Hypothetical protein LOC402847	402847	2.38	1.75E-07
LOC407660	Hypothetical protein LOC407660	407660	1.65	3.07E-08
LOC407698	Hypothetical protein LOC407698	407698	1.36	3.24E-07
LOC553370	Hypothetical protein LOC553370	553370	1.49	0.00008
LOC553488	Hypothetical protein LOC553488	553488	1.52	1.51E-06
LOC555286	Hypothetical LOC555286	555286	1.43	9.92E-06
LOC555414	Similar to Vigilin (High density lipoprotein-binding protein) (HDL-binding protein)	555414	2.18	4.60E-41
LOC555583	Hypothetical LOC555583	555583	1.71	8.21E-17
LOC555617	Hypothetical LOC555617	555617	2.29	0.00002
LOC555828	Similar to MGC80334 protein	555828	1.26	2.84E-06
LOC555849	Hypothetical LOC555849	555849	1.76	8.80E-08
LOC555896	Hypothetical LOC555896	555896	1.61	0.00002
LOC556340	Similar to Ubiquitin specific peptidase 15	556340	1.8	5.89E-07
LOC556515	Similar to MGC97606 protein	556515	1.51	4.07E-11
LOC556582	Similar to glutamate receptor ionotropic kainate 4	556582	2.43	3.66E-06
LOC556632	Hypothetical LOC556632	556632	1.52	2.26E-09
LOC556989	Similar to class IIIB myosin short	556989	1.31	2.01E-06
LOC557109	Similar to protein kinase raf 1	557109	1.66	6.76E-06
LOC557568	Hypothetical LOC557568	557568	1.92	0.00001
LOC557733	Similar to ubinuclein 1	557733	2.76	5.77E-07
LOC557976	Hypothetical LOC557976	557976	1.45	7.50E-08
LOC558120	Hypothetical LOC558120	558120	1.67	7.74E-08
LOC558162	Hypothetical LOC558162	558162	2.01	3.47E-06
LOC558201	Hypothetical LOC558201	558201	1.7	2.36E-11
LOC558308	Hypothetical LOC558308	558308	1.33	9.56E-12
LOC558312	Similar to 60S acidic ribosomal protein P2 (NY-REN-44 antigen)	558312	2.17	2.11E-11
LOC558323	Similar to transmembrane protein with EGF-like and two follistatin-like domains 2	558323	1.74	0.00002
LOC558475	Similar to LOC495986 protein	558475	1.23	0.00005
LOC558498	Hypothetical LOC558498	558498	1.81	0.00008
LOC558539	Similar to armadillo repeat containing 9	558539	1.69	3.54E-10
LOC558622	Similar to restin	558622	1.81	2.96E-09
LOC559122	Hypothetical LOC559122	559122	1.38	0.00001
LOC559441	Similar to E3 ubiquitin ligase	559441	2.15	8.46E-07
LOC559477	Similar to apoptosis antagonizing transcription factor	559477	1.76	1.01E-14
LOC559632	Hypothetical LOC559632	559632	1.45	1.81E-07
LOC559843	Hypothetical protein LOC559843	559843	2.06	0.00002
LOC559941	Similar to Rho-guanine nucleotide exchange factor	559941	1.79	0.0001
LOC560006	Similar to inositol polyphosphate 4-phosphatase type II alpha	560006	2.35	9.06E-19
LOC560047	Similar to KIAA0404	560047	1.42	6.48E-10
LOC560079	Hypothetical LOC560079	560079	1.42	8.04E-06
LOC560181	Similar to KIAA1607 protein	560181	1.45	1.67E-07
LOC560793	Hypothetical LOC560793	560793	1.68	0.00007
LOC561288	Similar to G protein-coupled receptor kinase 6 (G protein-coupled receptor kinase GRK6)	561288	1.79	0.00002
LOC561538	Hypothetical LOC561538	561538	2.08	3.12E-08
LOC561562	Similar to marapsin	561562	1.9	2.45E-15
LOC561624	Hypothetical LOC561624	561624	2.07	7.52E-09
LOC561658	Hypothetical LOC561658	561658	1.49	7.32E-06
LOC561960	Hypothetical LOC561960	561960	1.65	9.26E-06
LOC561985	Hypothetical LOC561985	561985	1.63	1.60E-06
LOC562227	Similar to cytoplasmic protein	562227	1.83	0.00002
LOC562403	Hypothetical LOC562403	562403	1.75	0.00001
LOC562471	Similar to SLIT and NTRK-like family, member 5	562471	2	2.36E-11
LOC562939	Hypothetical LOC562939	562939	1.28	1.27E-06
LOC563116	Hypothetical LOC563116	563116	2.56	1.03E-31
LOC563180	Similar to glucose-6-phosphatase	563180	2.08	0.00004
LOC563252	Similar to MTG16a	563252	1.66	1.40E-09
LOC563343	Hypothetical LOC563343	563343	2.81	0.00002
LOC563398	Similar to LOC733301 protein	563398	2.23	2.73E-09
LOC563606	Hypothetical LOC563606	563606	1.32	1.84E-06
LOC563795	Hypothetical LOC563795	563795	1.49	0.00003
LOC564165	Similar to Des protein	564165	3.16	7.15E-07
LOC564344	Hypothetical LOC564344	564344	1.33	0.00002
LOC564424	Similar to Soat1-prov protein	564424	1.77	0.00002
LOC564517	Hypothetical LOC564517	564517	2.86	1.14E-06
LOC564526	Hypothetical LOC564526	564526	1.62	4.25E-06
LOC565342	Similar to ADAM13	565342	1.73	7.86E-12
LOC565366	Similar to polybromo 1	565366	2.78	1.49E-06
LOC565459	Hypothetical LOC565459	565459	1.85	3.78E-18
LOC565546	Similar to poly (ADP-ribose) polymerase family, member 6	565546	2.24	2.58E-09
LOC565641	Hypothetical LOC565641	565641	3.15	3.20E-07
LOC566145	Hypothetical LOC566145	566145	2.08	0.00003
LOC566247	Hypothetical LOC566247	566247	1.79	4.33E-09
LOC566410	Similar to CUB and Sushi multiple domains 3	566410	2.1	6.78E-08
LOC566553	Similar to DNA helicase recQ5 beta	566553	1.84	0.00003
LOC566686	Hypothetical LOC566686	566686	1.78	5.02E-06
LOC566877	Similar to N-deacetylase/N-sulfotransferase 4	566877	1.9	1.43E-09
LOC567424	Similar to RIKEN cDNA 1200011M11 gene	567424	1.57	7.79E-06
LOC567537	Similar to interleukin-8	567537	1.61	2.23E-06
LOC567709	Similar to nuclear factor related to kappaB binding protein	567709	1.37	1.64E-06
LOC567953	Similar to C-type natriuretic peptide 3	567953	2.36	0.00007
LOC568088	Hypothetical LOC568088	568088	2.15	4.91E-06
LOC568323	Hypothetical LOC568323	568323	1.81	9.26E-06
LOC568375	Hypothetical LOC568375	568375	1.58	1.85E-06
LOC568707	Type IV antifreeze protein precursor	568707	2.4	4.32E-11
LOC568719	Hypothetical LOC568719	568719	2.45	4.13E-07
LOC568915	Similar to pp-GalNAc-transferase 17	568915	2.21	2.64E-14
LOC569062	Hypothetical LOC569062	569062	1.8	1.35E-10
LOC569168	Hypothetical LOC569168	569168	1.56	6.38E-10
LOC569234	Hypothetical LOC569234	569234	1.73	4.51E-06
LOC569427	Hypothetical LOC569427	569427	2.65	4.84E-09
LOC569473	Hypothetical LOC569473	569473	1.67	1.01E-09
LOC569513	Hypothetical LOC569513	569513	1.41	2.01E-06
LOC569583	Hypothetical LOC569583	569583	1.89	0.00006
LOC569664	Hypothetical LOC569664	569664	2.3	0.00009
LOC569720	Similar to SNX26 protein	569720	1.69	0.00004
LOC569770	Hypothetical LOC569770	569770	1.5	1.44E-06
LOC569798	Similar to LOC495387 protein	569798	3.59	2.49E-07
LOC569863	Hypothetical LOC569863	569863	1.67	1.80E-09
LOC570038	Similar to Major facilitator superfamily domain containing 2	570038	1.55	1.42E-14
LOC570112	Hypothetical LOC570112	570112	1.59	3.12E-06
LOC570244	Similar to C-type natriuretic peptide-4	570244	1.48	1.63E-07
LOC570474	Similar to 5-hydroxyisourate hydrolase	570474	5.27	0.00003
LOC570626	Similar to stabilin 1 precursor	570626	1.91	0.00001
LOC571046	Similar to ral guanine nucleotide dissociation stimulator	571046	2.45	2.30E-18
LOC571140	Hypothetical LOC571140	571140	2.4	6.50E-11
LOC571357	Hypothetical LOC571357	571357	1.87	5.14E-12
LOC571584	Similar to putative scavenger receptor MARCO	571584	1.68	1.92E-06
LOC571801	Hypothetical LOC571801	571801	1.46	0.00002
LOC571960	Similar to myosin heavy chain	571960	1.6	2.49E-07
LOC572106	Similar to wingless-related MMTV integration site 6 homolog	572106	3.6	4.99E-07
LOC572112	Similar to zinc finger protein 291	572112	2.09	9.83E-15
LOC572173	Hypothetical LOC572173	572173	1.56	1.69E-08
LOC572238	Similar to SFRS protein kinase 2	572238	2.38	7.97E-12
LOC572280	Similar to KIAA1199 protein	572280	2.74	6.75E-09
LOC572361	Hypothetical LOC572361	572361	2.14	4.59E-12
LOC572729	Similar to novel alpha-type globin	572729	2.23	0.00008
LOC791124	Cytochrome P45011B	791124	1.71	0.00003
LOC792028	Hypothetical protein LOC792028	792028	1.29	1.13E-09
LOC792264	Hypothetical protein LOC792264	792264	1.68	1.41E-11
LOC792437	Similar to Cyclin G associated kinase	792437	1.76	1.93E-09
LOC792919	Similar to novel galactose binding lectin domain containing protein	792919	2.31	5.38E-10
LOC793450	Hypothetical protein LOC793450	793450	1.58	0.00002
LOC793458	Similar to Peptide Y	793458	3.61	1.77E-23
LOC793519	Hypothetical protein LOC793519	793519	1.7	2.20E-09
LOC793880	Hypothetical protein LOC793880	793880	1.57	6.60E-13
LOC793952	Hypothetical protein LOC793952	793952	1.89	3.63E-07
LOC794041	Hypothetical protein LOC794041	794041	1.74	2.20E-06
LOC794073	Hypothetical protein LOC794073	794073	1.62	9.20E-12
LOC794407	Hypothetical protein LOC794407	794407	1.82	1.63E-09
LOC794874	Hypothetical protein LOC794874	794874	1.89	3.26E-07
LOC795165	Similar to synapsin II	795165	2.67	7.00E-32
LOC795201	Hypothetical protein LOC795201	795201	3.14	1.72E-07
LOC795354	Hypothetical protein LOC795354	795354	1.49	0.00001
LOC795655	Similar to huntingtin interacting protein 1	795655	2.35	1.37E-06
LOC796325	Similar to hCG40928	796325	1.4	2.14E-07
LOC796696	Similar to novel lectin C-type domain containing protein	796696	1.82	3.05E-06
LOC797196	Similar to J domain containing protein 1	797196	1.44	0.00004
LOC797222	Hypothetical protein LOC797222	797222	3.43	0.00006
LOC797348	Hypothetical protein LOC797348	797348	1.32	0.00002
LOC797370	Hypothetical protein LOC797370	797370	2.58	6.44E-18
LOC797409	Similar to voltage-dependent calcium channel gamma-5 subunit	797409	1.8	1.06E-13
LOC797593	Similar to ADAMTS-like protein 3 precursor (ADAMTSL-3) (Punctin-2)	797593	1.84	5.43E-08
LOC797655	Hypothetical protein LOC797655	797655	1.42	0.00008
LOC797658	Hypothetical protein LOC797658	797658	1.35	0.00001
LOC797729	Hypothetical protein LOC797729	797729	1.55	5.66E-06
LOC797869	Hypothetical protein LOC797869	797869	1.33	0.00003
LOC797948	Hypothetical protein LOC797948	797948	1.29	2.66E-06
LOC797958	Similar to blackjack	797958	2.05	2.28E-24
LOC798041	Hypothetical protein LOC798041	798041	2.25	2.52E-10
LOC798360	Similar to Ribosomal protein L5b	798360	1.42	0.00001
LOC798410	Hypothetical protein LOC798410	798410	1.55	5.93E-06
LOC798470	Similar to hepatocellular carcinoma-associated antigen 137	798470	1.38	0.00009
LOC798555	Similar to collapsin response mediator protein 2	798555	1.83	2.08E-08
LOC798772	Similar to SH2 containing inositol-5-phosphatase	798772	1.92	4.10E-12
LOC798774	Similar to SORD protein	798774	1.86	3.23E-16
LOC799260	Similar to chondroitin beta1,4 N-acetylgalactosaminyltransferase	799260	2.21	2.42E-06
LOC799278	Similar to phospholipase D1	799278	3.15	5.46E-06
LOC799826	Similar to Src kinase associated phosphoprotein 2	799826	1.42	8.17E-06
lrp5	Low density lipoprotein receptor-related protein 5	554087	2.15	1.81E-14
maf	V-maf musculoaponeurotic fibrosarcoma (avian) oncogene homolog	114467	2.16	0.00005
magi1	Membrane associated guanylate kinase, WW and PDZ domain containing 1	474349	2.34	0
map2k3	Mitogen-activated protein kinase kinase 3	65239	1.32	1.83E-10
mbtps1	Membrane-bound transcription factor protease, site 1	326710	1.43	0.00005
mchr1b	Melanin-concentrating hormone receptor 1b	353180	5.34	0.00004
mcm7	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	192333	1.49	1.04E-09
mcm9	Minichromosome maintenance complex component 9	555610	1.44	5.88E-07
mecp2	Methyl CpG binding protein 2	335250	1.76	6.16E-12
mef2d	Myocyte enhancer factor 2d	30580	1.56	1.62E-08
melk	Maternal embryonic leucine zipper kinase	30724	1.21	0.00004
met	Met proto-oncogene (hepatocyte growth factor receptor)	492292	1.76	4.90E-11
met	Met proto-oncogene (hepatocyte growth factor receptor)	492292	1.63	9.82E-06
metap1	Methionyl aminopeptidase 1	503783	1.48	9.38E-10
mgp	Matrix Gla protein	402937	2.6	3.74E-22
micall2	Mical-like 2	327198	1.68	0.00005
mid1ip1	MID1 interacting protein 1	322977	1.63	2.30E-09
mkks	McKusick-Kaufman syndrome	393134	1.44	0.00002
mll5	Myeloid/lymphoid or mixed-lineage leukemia 5 (trithorax homolog, Drosophila)	325395	1.56	9.80E-06
mos	V-mos Moloney murine sarcoma viral oncogene homolog	402817	1.82	1.70E-06
mpp1	Membrane protein, palmitoylated 1	325542	1.25	0.00001
msxe	Muscle segment homeobox E	30527	1.46	2.42E-07
mt	Metallothionein	30282	2.12	6.26E-08
mt2	Metallothionein 2	325449	1.44	2.23E-18
mta3	Metastasis associated family, member 3	334553	1.97	1.08E-08
mtmr14	Myotubularin related protein 14	323929	1.96	3.24E-06
mxtx1	Mix-type homeobox gene 1	58079	3.7	2.95E-10
myb	Myeloblastosis oncogene	30484	1.65	3.55E-08
mylip	Myosin regulatory light chain interacting protein	335888	1.35	7.84E-06
nanos	Nanos homolog (Drosophila)	140631	1.52	0.00002
ncam1	Neural cell adhesion molecule 1	30447	1.42	0.00003
ndpkz2	Nucleoside diphosphate kinase-Z2	30084	1.81	0.00009
nefl	Neurofilament, light polypeptide	664698	2.14	1.42E-08
neurod4	Neurogenic differentiation 4	266958	1.61	0.00005
nme2	Non-metastatic cells 2, protein (NM23B) expressed in	30083	1.4	3.28E-07
npb	Neuropeptide B	368322	1.4	1.29E-09
npffl	Neuropeptide FF-amide peptide precursor like	368264	1.49	1.41E-07
nphs2l	Nephrosis 2, idiopathic, steroid-resistant (podocin)-like	557914	1.74	0.00001
nptx2	Neuronal pentraxin II	553230	2.8	6.69E-09
nrn1	Neuritin 1	436780	1.67	0.00003
nrp2b	Neuropilin 2b	405902	1.53	1.74E-07
ns:zf-e196	Ns:zf-e196	335771	1.89	5.53E-09
ntl	No tail	30399	1.48	0.0001
oat	Organic anion transporter	404609	1.89	4.45E-12
oaz2	Ornithine decarboxylase antizyme 2	259193	1.72	5.22E-08
1-Oct	Octamer-binding transcription factor 1	30715	1.48	2.27E-06
oep	One-eyed pinhead	30304	1.81	4.20E-45
opn4l	Opsin 4, like	352918	3.72	6.04E-07
or2.5	Odorant receptor, family 2, member 5	80364	2.31	8.89E-06
or5.2	Odorant receptor, family C, subfamily 102, member 5	80355	2.69	0.00001
p4ha2	Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide 2	373132	1.38	2.13E-15
pax5	Paired box gene 5	60636	1.78	3.25E-10
pcp4b	Purkinje cell protein 4b	386963	2	1.15E-14
pdcd6ip	Programmed cell death 6 interacting protein	406669	1.51	3.06E-11
pdx1	Pancreatic and duodenal homeobox 1	30721	1.74	9.61E-11
pdyn	Prodynorphin	414850	1.75	3.56E-18
pea3	ETS-domain transcription factor pea3	30700	1.53	1.27E-09
phf17	PHD finger protein 17	327437	1.4	3.42E-07
Phf3	Phf3 protein	553518	1.52	1.16E-09
pigp	Phosphatidylinositol glycan, class P	325316	1.42	2.39E-06
pip5k3	Phosphatidylinositol-3-phosphate/phosphatidylinositol 5-kinase, type III	337690	1.47	9.31E-10
plagl2	Pleiomorphic adenoma gene-like 2	259255	1.68	5.03E-17
plcg1	Phospholipase C, gamma 1	373867	1.58	2.23E-06
plxna4	Plexin A4	325938	1.26	5.55E-07
plxnd1	Plexin D1	402998	1.86	0.00003
pole2	Polymerase (DNA directed), epsilon 2	192320	1.63	0.00003
pom121	POM121 membrane glycoprotein (rat)	334625	1.55	1.20E-07
pp	Pyrophosphatase (inorganic)	393706	1.89	1.78E-13
ppargc1b	Peroxisome proliferative activated receptor, gamma, coactivator 1, beta	368411	1.43	5.15E-09
ppial	Peptidylprolyl isomerase A, like	335519	1.47	5.35E-13
prickle2	Prickle-like 2 (Drosophila)	368250	1.7	2.44E-22
prkar2ab	Protein kinase, cAMP-dependent, regulatory, type II, alpha, B	405894	8.42	1.94E-06
prkcb1	Protein kinase C, beta 1	393953	1.47	3.29E-06
psmd2	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	393518	1.37	9.73E-08
ptk2.1	Protein tyrosine kinase 2.1	142986	1.52	3.76E-23
ptpn11	Protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	333979	1.53	1.23E-16
pvalb8	Parvalbumin 8	360208	1.57	4.14E-09
pxn	Paxillin	399546	1.68	2.92E-24
raly	RNA binding protein, autoantigenic (hnRNP-associated with lethal yellow homolog (mouse))	402903	1.54	6.48E-12
rapgef6	Rap guanine nucleotide exchange factor (GEF) 6	335032	2.07	2.40E-09
rasgef1b	RasGEF domain family, member 1B	327572	1.38	4.08E-08
rbm35b	RNA binding motif protein 35B	321244	1.31	2.01E-07
rcan1	Regulator of calcineurin 1	336348	1.63	1.62E-06
rdh1l	Retinol dehydrogenase 1, like	322529	1.76	4.78E-15
rhobtb2a	Rho-related BTB domain containing 2a	553415	1.97	0
rnf144	Ring finger protein 144	437000	1.43	0.00006
robo1	Roundabout homolog 1	30769	1.24	2.59E-08
robo3	Roundabout homolog 3	30770	1.64	0.00002
rpl11	Ribosomal protein L11	415229	1.56	6.07E-06
rpl18a	Ribosomal protein L18a	394035	2.04	0.00001
rpl24	Ribosomal protein L24	192301	1.92	1.92E-07
rpl27	Ribosomal protein L27	325618	1.57	0.00002
rpl28l	Ribosomal protein L28-like	394036	2.29	1.42E-14
rpl8	Ribosomal protein L8	393686	2.39	2.77E-17
rplp0	Ribosomal protein, large, P0	58101	2.12	1.13E-12
rps2	Ribosomal protein S2	406565	2.31	2.95E-11
rps21	Ribosomal protein S21	394166	1.62	6.05E-07
rps26	Ribosomal protein S26	336662	1.41	1.97E-08
rps9	Ribosomal protein S9	114420	1.85	1.32E-12
rs1	Retinoschisis (X-linked, juvenile) 1	445044	2	8.82E-07
rtk8	Eph-like receptor tyrosine kinase 8	30691	1.76	1.05E-11
rtn4rl1	Reticulon 4 receptor-like 1	403308	1.95	3.91E-15
s100a1	S100 calcium binding protein A1	448856	1.66	0.00004
sars2	Seryl-tRNA synthetase 2	394154	1.58	0.00007
sb:cb542	Sb:cb542	321298	1.72	3.92E-11
sb:cb55	Sb:cb55	321067	1.51	6.94E-07
sb:cb581	Sb:cb581	321313	1.46	1.86E-07
sb:cb829	Sb:cb829	378869	1.87	1.66E-10
sb:cb844	Sb:cb844	378858	1.44	5.52E-06
sb:cb921	Sb:cb921	378984	1.29	7.30E-08
scrib	Scribbled homolog (Drosophila)	368473	1.8	0.00002
sema3ab	Semaphorin 3ab	30267	1.66	8.05E-06
sepm	Selenoprotein M	352913	1.4	1.06E-08
serpine2	Serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2	393153	1.3	2.44E-06
sfmbt2	Scm-like with four mbt domains 2	555450	1.68	3.52E-11
sfxn4	Sideroflexin 4	556121	1.42	0.00004
sgsh	N-sulfoglucosamine sulfohydrolase (sulfamidase)	326759	1.74	8.84E-09
sh3bp5	SH3-domain binding protein 5 (BTK-associated)	406767	1.27	3.13E-06
si:busm1-189a20.4	Si:busm1-189a20.4	566732	2.16	4.09E-11
si:ch211-106n13.3	Si:ch211-106n13.3	337144	1.71	7.19E-15
si:ch211-116k3.1	Si:ch211-116k3.1	557239	1.79	9.20E-09
si:ch211-124a3.4	Si:ch211-124a3.4	556504	1.82	2.60E-17
si:ch211-124k10.2	Si:ch211-124k10.2	558631	1.44	0.00001
si:ch211-129c21.1	Si:ch211-129c21.1	563087	1.67	1.26E-06
si:ch211-132a5.3	Si:ch211-132a5.3	327203	1.85	2.35E-07
si:ch211-132b12.8	Si:ch211-132b12.8	327242	1.46	1.24E-08
si:ch211-154o6.4	Si:ch211-154o6.4	335834	2.09	8.79E-09
si:ch211-168n16.2	Si:ch211-168n16.2	562258	1.47	8.87E-06
si:ch211-184m19.1	Si:ch211-184m19.1	558218	1.58	2.70E-06
si:ch211-198b3.2	Si:ch211-198b3.2	557836	1.75	3.28E-06
si:ch211-200p13.4	Si:ch211-200p13.4	564500	1.54	0.00008
si:ch211-212d10.3	Si:ch211-212d10.3	550616	1.91	1.69E-08
si:ch211-214p16.2	Si:ch211-214p16.2	368902	1.52	5.61E-07
si:ch211-225p5.3	Si:ch211-225p5.3	327152	2.27	8.00E-06
si:ch211-232d19.4	Si:ch211-232d19.4	566663	1.45	8.72E-06
si:ch211-242b18.1	Si:ch211-242b18.1	566905	1.28	0.00006
si:ch211-245h7.2	Si:ch211-245h7.2	322801	2.07	2.89E-10
si:ch211-250g4.1	Si:ch211-250g4.1	557556	2.17	1.54E-09
si:ch211-260p9.2	Si:ch211-260p9.2	337586	1.63	2.36E-08
si:ch211-272f3.4	Si:ch211-272f3.4	492687	1.97	0.00002
si:ch211-280e18.1	Si:ch211-280e18.1	568985	1.86	2.01E-20
