ENTREZGENEID	Symbol	DESCRIPTION	logFOLDCHANGE	FOLDCHANGE	P.Value
27233	SULT1C4	Sulfotransferase family, cytosolic, 1C, member 4	0.84	1.79	0.00261
29083	GTPBP8	GTP-binding protein 8 (putative)	0.84	1.79	0.00291
51524	TMEM138	Transmembrane protein 138	0.84	1.79	0.000209
7323	UBE2D3	Ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	0.84	1.79	0.00163
4152	MBD1	Methyl-CpG binding domain protein 1	0.84	1.79	0.0153
78987	CRELD1	Cysteine-rich with EGF-like domains 1	0.84	1.79	0.0101
23516	SLC39A14	Solute carrier family 39 (zinc transporter), member 14	0.84	1.79	0.0151
55012		In multiple clusters	0.84	1.79	0.000822
23401	FRAT2	Frequently rearranged in advanced T-cell lymphomas 2	0.84	1.79	0.00603
283768		In multiple clusters	0.84	1.79	0.00652
6513	SLC2A1	Solute carrier family 2 (facilitated glucose transporter), member 1	0.84	1.79	0.0551
4189	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9	0.84	1.79	0.000842
51340	CRNKL1	Crooked neck pre-mRNA splicing factor-like 1 (Drosophila)	0.84	1.79	0.00403
8510	MMP23B	Matrix metallopeptidase 23B	0.84	1.79	0.0234
23400	ATP13A2	ATPase type 13A2	0.84	1.78	0.00172
23277	KIAA0664	KIAA0664	0.83	1.78	0.0671
166	AES	Amino-terminal enhancer of split	0.83	1.78	0.000683
2686	GGT7	Gamma-glutamyltransferase 7	0.83	1.78	0.0541
3491	CYR61	Cysteine-rich, angiogenic inducer, 61	0.83	1.78	0.0011
25934	NIPSNAP3A	Nipsnap homolog 3A (C. elegans)	0.83	1.78	0.000309
6176	RPLP1	Ribosomal protein, large, P1	0.83	1.78	0.00111
2783	GNB2	Guanine nucleotide binding protein (G protein), beta polypeptide 2	0.83	1.78	0.00788
220972	39514	Membrane-associated ring finger (C3HC4) 8	0.83	1.78	0.0761
51138	COPS4	COP9 constitutive photomorphogenic homolog subunit 4 (Arabidopsis)	0.83	1.78	0.000223
306	ANXA3	Annexin A3	0.83	1.77	0.00218
400	ARL1	ADP-ribosylation factor-like 1	0.83	1.77	0.00103
201931	TMEM192	Transmembrane protein 192	0.83	1.77	0.00212
22920	KIFAP3	Kinesin-associated protein 3	0.83	1.77	0.00941
1849	DUSP7	Dual specificity phosphatase 7	0.83	1.77	0.00541
57473	ZNF512B	Zinc finger protein 512B	0.82	1.77	0.0189
5281	PIGF	Phosphatidylinositol glycan anchor biosynthesis, class F	0.82	1.77	0.0048
25917	THUMPD3	THUMP domain containing 3	0.82	1.77	0.00776
5652	PRSS8	Protease, serine, 8	0.82	1.77	0.0245
80727	TTYH3	Tweety homolog 3 (Drosophila)	0.82	1.77	0.0245
57580	PREX1	Phosphatidylinositol 3,4,5-trisphosphate-dependent RAC exchanger 1	0.82	1.77	0.00639
9933	KIAA0020	KIAA0020	0.82	1.76	0.0425
2030	SLC29A1	Solute carrier family 29 (nucleoside transporters), member 1	0.82	1.76	0.000206
2487	FRZB	Frizzled-related protein	0.82	1.76	0.000954
1915		In multiple clusters	0.82	1.76	0.00132
6838	SURF6	Surfeit 6	0.82	1.76	0.00221
8394		In multiple clusters	0.82	1.76	0.00475
51537	MTP18	Mitochondrial protein 18 kDa	0.82	1.76	0.000202
8220		In multiple clusters	0.81	1.76	0.00285
56903	PAPOLB	Poly(A) polymerase beta (testis specific)	0.81	1.76	0.00049
57584	ARHGAP21	Rho GTPase activating protein 21	0.81	1.76	0.00028
6464	SHC1	SHC (Src homology 2 domain containing) transforming protein 1	0.81	1.76	0.000317
4705	NDUFA10	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa	0.81	1.75	0.00225
7922	SLC39A7	Solute carrier family 39 (zinc transporter), member 7	0.81	1.75	0.00302
6542	SLC7A2	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	0.81	1.75	0.000201
23406	COTL1	Coactosin-like 1 (Dictyostelium)	0.81	1.75	0.0112
5327	PLAT	Plasminogen activator, tissue	0.81	1.75	0.00267
8904	CPNE1	Copine I	0.81	1.75	0.00154
9789		In multiple clusters	0.81	1.75	0.000732
56935	C11orf75	Chromosome 11 open reading frame 75	0.81	1.75	0.00478
6936	C2orf3	Chromosome 2 open reading frame 3	0.81	1.75	0.000253
57801	HES4	Hairy and enhancer of split 4 (Drosophila)	0.8	1.75	0.0577
6558	SLC12A2	Solute carrier family 12 (sodium/potassium/chloride transporters), member 2	0.8	1.75	0.00205
4345	CD200	CD200 molecule	0.8	1.74	0.00399
26502	NARF	Nuclear prelamin A recognition factor	0.8	1.74	0.0258
84312	BRMS1L	Breast cancer metastasis-suppressor 1-like	0.8	1.74	0.00252
150	ADRA2A	adrenoceptor alpha 2A	0.8	1.74	0.0126
154	ADRB2	adrenoceptor beta 2, surface	0.8	1.74	0.0131
7048	TGFBR2	transforming growth factor, beta receptor II (70/80kDa)	0.8	1.74	0.0302
207	AKT1	v-akt murine thymoma viral oncogene homolog 1	0.8	1.74	0.00246
