Metaprobe	Entrez Gene ID	Gene Symbol	Gene Name	Chromosome	Cytoband	SAM Score	Numerator(r)	Denominator(s+s0)	Fold Change	Fold Change1	expression	DEG Jones-Lenburg	FC Jones-Lenburg
23258_at	23258	RAB6IP1	RAB6 interacting protein 1	11	11p15.4	6.4	1.16	0.18	2.22	2.22	up	N/A	N/A
23262_at	23262	HISPPD1	histidine acid phosphatase domain containing 1	5	5q21.1	5.9	0.84	0.14	1.84	1.84	up	N/A	N/A
23271_at	23271	CAMSAP1L1	calmodulin regulated spectrin-associated protein 1-like 1	1	1q32.1	4.79	0.6	0.12	1.53	1.53	up	N/A	N/A
23279_at	23279	NUP160	nucleoporin 160kDa	11	11p11.2	4.55	0.42	0.09	1.34	1.34	up	N/A	N/A
23304_at	23304	UBR2	ubiquitin protein ligase E3 component n-recognin 2	6	6p21.1	4.42	0.54	0.12	1.47	1.47	up	N/A	N/A
23306_at	23306	KIAA0286	KIAA0286 protein	12	12q13.3	6.01	0.66	0.11	1.59	1.59	up	N/A	N/A
23310_at	23310	NCAPD3	non-SMC condensin II complex, subunit D3	11	11q25	4.4	0.44	0.1	1.35	1.35	up	N/A	N/A
23313_at	23313	C22orf9	chromosome 22 open reading frame 9	22	22q13.31	4.49	0.7	0.16	1.66	1.66	up	N/A	N/A
23314_at	23314	SATB2	SATB homeobox 2	2	2q33	4.35	1.02	0.24	2.2	2.2	up	N/A	N/A
23322_at	23322	KIAA1005	KIAA1005 protein	16	16q12.2	4.53	1.03	0.23	2.22	2.22	up	N/A	N/A
23333_at	23333	DPY19L1	dpy-19-like 1 (C. elegans)	7	7p14.3	8.82	1.46	0.17	2.77	2.77	up	N/A	N/A
23336_at	23336	DMN	desmuslin	15	15q26.3	12.07	2.02	0.17	4.2	4.2	up	N/A	N/A
23344_at	23344	FAM62A	family with sequence similarity 62 (C2 domain containing), member A	12	12q13.2	6.27	0.8	0.13	1.73	1.73	up	N/A	N/A
23347_at	23347	SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1	18	18p11.32	5.19	0.83	0.16	1.83	1.83	up	N/A	N/A
23348_at	23348	DOCK9	dedicator of cytokinesis 9	13	13q32.3	5.06	0.47	0.09	1.39	1.39	up	N/A	N/A
23350_at	23350	SR140	U2-associated SR140 protein	3	3q23	4.92	0.64	0.13	1.58	1.58	up	N/A	N/A
23353_at	23353	UNC84A	unc-84 homolog A (C. elegans)	7	7p22.3	4.91	0.69	0.14	1.62	1.62	up	N/A	N/A
23360_at	23360	FNBP4	formin binding protein 4	11	11p11.2	6.1	0.7	0.11	1.62	1.62	up	N/A	N/A
23389_at	23389	THRAP2	thyroid hormone receptor associated protein 2	12	12q24.21	5.92	0.78	0.13	1.75	1.75	up	N/A	N/A
23394_at	23394	ADNP	activity-dependent neuroprotector	20	20q13.13	5.09	0.64	0.13	1.56	1.56	up	N/A	N/A
23398_at	23398	PPWD1	peptidylprolyl isomerase domain and WD repeat containing 1	5	5q12.3	6.76	0.97	0.14	1.97	1.97	up	N/A	N/A
23404_at	23404	EXOSC2	exosome component 2	9	9q34	4.7	0.42	0.09	1.34	1.34	up	N/A	N/A
23452_at	23452	ANGPTL2	angiopoietin-like 2	9	9q34	4.53	0.92	0.2	2.03	2.03	up	N/A	N/A
23462_at	23462	HEY1	hairy/enhancer-of-split related with YRPW motif 1	8	8q21	8.9	2.47	0.28	5.71	5.71	up	yes	7.87
23471_at	23471	TRAM1	translocation associated membrane protein 1	8	8q13.3	5.02	0.58	0.12	1.51	1.51	up	N/A	N/A
23480_at	23480	SEC61G	Sec61 gamma subunit	7	7p11.2	8.78	1.34	0.15	2.6	2.6	up	N/A	N/A
23484_at	23484	LEPROTL1	leptin receptor overlapping transcript-like 1	8	8p21.2-p21.1	5.6	1.23	0.22	2.46	2.46	up	N/A	N/A
23515_at	23515	MORC3	MORC family CW-type zinc finger 3	21	21q22.13	6.58	0.8	0.12	1.75	1.75	up	N/A	N/A
23527_at	23527	CENTB2	centaurin, beta 2	3	3q29	7.01	0.81	0.12	1.77	1.77	up	N/A	N/A
23543_at	23543	RBM9	RNA binding motif protein 9	22	22q13.1	4.86	0.69	0.14	1.66	1.66	up	N/A	N/A
23548_at	23548	TTC33	tetratricopeptide repeat domain 33	5	5p15.2-p12	5.25	0.93	0.18	1.9	1.9	up	N/A	N/A
23601_at	23601	CLEC5A	C-type lectin domain family 5, member A	7	7q33	4.42	0.94	0.21	2.02	2.02	up	N/A	N/A
23603_at	23603	CORO1C	coronin, actin binding protein, 1C	12	12q24.1	5.21	1.03	0.2	2.07	2.07	up	N/A	N/A
23612_at	23612	PHLDA3	pleckstrin homology-like domain, family A, member 3	1	1q31	4.89	0.85	0.17	1.88	1.88	up	N/A	N/A
23636_at	23636	NUP62	nucleoporin 62kDa	19	19q13.33	4.56	0.41	0.09	1.34	1.34	up	N/A	N/A
23643_at	23643	LY96	lymphocyte antigen 96	8	8q21.11	7.92	2.65	0.34	6.72	6.72	up	yes	5.62
23660_at	23660	ZKSCAN5	zinc finger with KRAB and SCAN domains 5	7	7q22	4.87	0.49	0.1	1.41	1.41	up	N/A	N/A
23670_at	23670	TMEM2	transmembrane protein 2	9	9q13-q21	5.77	1.36	0.24	2.48	2.48	up	N/A	N/A
23682_at	23682	RAB38	RAB38, member RAS oncogene family	11	11q14	5.85	1.32	0.23	2.7	2.7	up	N/A	N/A
23704_at	23704	KCNE4	potassium voltage-gated channel, Isk-related family, member 4	2	2q36.3	4.88	2.08	0.43	5.04	5.04	up	N/A	N/A
23741_at	23741	EID1	EP300 interacting inhibitor of differentiation 1	15	15q21.1-q21.2	4.2	0.36	0.08	1.28	1.28	up	N/A	N/A
24137_at	24137	KIF4A	kinesin family member 4A	X	Xq13.1	4.91	0.98	0.2	2.16	2.16	up	N/A	N/A
24149_at	24149	ZNF318	zinc finger protein 318	6	6pter-p12.1	4.19	0.59	0.14	1.52	1.52	up	N/A	N/A
25780_at	25780	RASGRP3	RAS guanyl releasing protein 3 (calcium and DAG-regulated)	2	2p25.1-p24.1	4.68	1.15	0.24	2.42	2.42	up	N/A	N/A
793_at	793	CALB1	calbindin 1, 28kDa	8	8q21.3-q22.1	-12.3	-7.89	0.64	0	-366.89	down	yes	-9.88
25820_at	25820	ARIH1	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)	15	15q24	5.04	0.64	0.13	1.57	1.57	up	N/A	N/A
25829_at	25829	C22orf5	chromosome 22 open reading frame 5	22	22q12	4.58	0.66	0.14	1.59	1.59	up	N/A	N/A
25865_at	25865	PRKD2	protein kinase D2	19	19q13.3	5.68	0.89	0.16	1.88	1.88	up	N/A	N/A
25873_at	25873	RPL36	ribosomal protein L36	19	19p13.3	4.62	1.04	0.22	2.18	2.18	up	N/A	N/A
25894_at	25894	PLEKHG4	pleckstrin homology domain containing, family G (with RhoGef domain) member 4	16	16q22.1	6.09	0.73	0.12	1.69	1.69	up	N/A	N/A
25902_at	25902	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like	6	6q25.1	4.42	0.82	0.18	1.75	1.75	up	N/A	N/A
25903_at	25903	OLFML2B	olfactomedin-like 2B	1	1q23.3	5.93	1.91	0.32	4.54	4.54	up	N/A	N/A
25913_at	25913	POT1	POT1 protection of telomeres 1 homolog (S. pombe)	7	7q31.33	4.8	0.77	0.16	1.72	1.72	up	N/A	N/A
25923_at	25923	DKFZP564J0863	DKFZP564J0863 protein	11	11q13.1	5.86	0.68	0.12	1.63	1.63	up	N/A	N/A
25960_at	25960	GPR124	G protein-coupled receptor 124	8	8p12	4.59	1.34	0.29	2.95	2.95	up	N/A	N/A
25962_at	25962	KIAA1429	KIAA1429	8	8q22.1	7.6	0.92	0.12	1.93	1.93	up	N/A	N/A
25963_at	25963	TMEM87A	transmembrane protein 87A	15	15q15.1	9.13	1.12	0.12	2.18	2.18	up	N/A	N/A
25966_at	25966	C21orf25	chromosome 21 open reading frame 25	21	21q22.3	4.55	1.07	0.24	2.23	2.23	up	N/A	N/A
26019_at	26019	UPF2	UPF2 regulator of nonsense transcripts homolog (yeast)	10	10p14-p13	4.66	0.71	0.15	1.68	1.68	up	N/A	N/A
26043_at	26043	UBXD7	UBX domain containing 7	3	3q29	4.57	0.61	0.13	1.57	1.57	up	N/A	N/A
26092_at	26092	TOR1AIP1	torsin A interacting protein 1	1	1q24.2	5.64	0.52	0.09	1.44	1.44	up	N/A	N/A
26098_at	26098	C10orf137	chromosome 10 open reading frame 137	10	10q26.13-q26.2	4.52	0.51	0.11	1.45	1.45	up	N/A	N/A
26136_at	26136	TES	testis derived transcript (3 LIM domains)	7	7q31.2	6.19	1.42	0.23	2.46	2.46	up	N/A	N/A
26152_at	26152	ZNF337	zinc finger protein 337	20	20p11.21	6.59	0.73	0.11	1.65	1.65	up	N/A	N/A
26156_at	26156	RSL1D1	ribosomal L1 domain containing 1	16	16p13.13	5.25	0.75	0.14	1.72	1.72	up	N/A	N/A
26157_at	26157	GIMAP2	GTPase, IMAP family member 2	7	7q36.1	4.86	1.92	0.4	4.29	4.29	up	N/A	N/A
26258_at	26258	PLDN	pallidin homolog (mouse)	15	15q21.1	5.02	0.72	0.14	1.69	1.69	up	N/A	N/A
26278_at	26278	SACS	spastic ataxia of Charlevoix-Saguenay (sacsin)	13	13q12	8.58	2.23	0.26	4.82	4.82	up	N/A	N/A
26353_at	26353	HSPB8	heat shock 22kDa protein 8	12	12q24.23	5.69	1.27	0.22	2.5	2.5	up	N/A	N/A
26502_at	26502	NARF	nuclear prelamin A recognition factor	17	17q25.3	8.27	1.31	0.16	2.48	2.48	up	N/A	N/A
26509_at	26509	FER1L3	fer-1-like 3, myoferlin (C. elegans)	10	10q24	7.3	1.91	0.26	3.64	3.64	up	N/A	N/A
26586_at	26586	CKAP2	cytoskeleton associated protein 2	13	13q14	4.45	0.94	0.21	1.95	1.95	up	N/A	N/A
26608_at	26608	TBL2	transducin (beta)-like 2	7	7q11.23	4.9	0.74	0.15	1.73	1.73	up	N/A	N/A
27010_at	27010	TPK1	thiamin pyrophosphokinase 1	7	7q34-q35	5.88	1.53	0.26	3.17	3.17	up	N/A	N/A
27042_at	27042	C1orf107	chromosome 1 open reading frame 107	1	1q32.2	7.58	0.8	0.11	1.75	1.75	up	N/A	N/A
27044_at	27044	SND1	staphylococcal nuclease and tudor domain containing 1	7	7q31.3	4.3	0.48	0.11	1.41	1.41	up	N/A	N/A
27071_at	27071	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides	4	4q25-q27	4.12	0.5	0.12	1.44	1.44	up	N/A	N/A
27074_at	27074	LAMP3	lysosomal-associated membrane protein 3	3	3q26.3-q27	5.72	1.78	0.31	3.59	3.59	up	N/A	N/A
27106_at	27106	ARRDC2	arrestin domain containing 2	19	19p13.11	6.41	1.78	0.28	3.68	3.68	up	N/A	N/A
27143_at	27143	KIAA1274	KIAA1274	10	10q22.1	5.53	1.46	0.26	3.05	3.05	up	N/A	N/A
27145_at	27145	FILIP1	filamin A interacting protein 1	6	6q14.1	4.7	1.32	0.28	2.9	2.9	up	N/A	N/A
27229_at	27229	76P	gamma tubulin ring complex protein (76p gene)	15	15q15	6.06	0.76	0.13	1.7	1.7	up	N/A	N/A
27250_at	27250	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	10	10q24	9.99	0.99	0.1	2	2	up	N/A	N/A
27253_at	27253	PCDH17	protocadherin 17	13	13q21.1	6	2.2	0.37	5.82	5.82	up	N/A	N/A
27340_at	27340	UTP20	UTP20, small subunit (SSU) processome component, homolog (yeast)	12	12q23	4.72	0.56	0.12	1.48	1.48	up	N/A	N/A
27348_at	27348	TOR1B	torsin family 1, member B (torsin B)	9	9q34	5.8	0.84	0.14	1.8	1.8	up	N/A	N/A
28232_at	28232	SLCO3A1	solute carrier organic anion transporter family, member 3A1	15	15q26	5.48	1.44	0.26	2.68	2.68	up	N/A	N/A
768_at	768	CA9	carbonic anhydrase IX	9	9p13-p12	9.43	3.28	0.35	11.16	11.16	up	yes	4.91
29015_at	29015	SLC43A3	solute carrier family 43, member 3	11	11q11	4.66	0.6	0.13	1.53	1.53	up	N/A	N/A
29028_at	29028	ATAD2	ATPase family, AAA domain containing 2	8	8q24.13	4.48	0.84	0.19	1.95	1.95	up	N/A	N/A
29066_at	29066	ZC3H7A	zinc finger CCCH-type containing 7A	16	16p13-p12	5.62	0.81	0.14	1.77	1.77	up	N/A	N/A
29080_at	29080	CCDC59	coiled-coil domain containing 59	12	12q21.31	4.42	0.56	0.13	1.48	1.48	up	N/A	N/A
29082_at	29082	CHMP4A	chromatin modifying protein 4A	14	14q12	5.37	0.8	0.15	1.78	1.78	up	N/A	N/A
29102_at	29102	RNASEN	ribonuclease III, nuclear	5	5p13.3	5.04	0.59	0.12	1.52	1.52	up	N/A	N/A
29108_at	29108	PYCARD	PYD and CARD domain containing	16	16p12-p11.2	5.91	1.96	0.33	4.22	4.22	up	N/A	N/A
29109_at	29109	FHOD1	formin homology 2 domain containing 1	16	16q22	4.27	0.74	0.17	1.75	1.75	up	N/A	N/A
29121_at	29121	CLEC2D	C-type lectin domain family 2, member D	12	12p13	4.36	0.46	0.11	1.4	1.4	up	N/A	N/A
29127_at	29127	RACGAP1	Rac GTPase activating protein 1	12	12q13.13	5.56	1.19	0.21	2.45	2.45	up	N/A	N/A
29889_at	29889	GNL2	guanine nucleotide binding protein-like 2 (nucleolar)	1	1p34.3	5.29	0.78	0.15	1.73	1.73	up	N/A	N/A
29893_at	29893	PSMC3IP	PSMC3 interacting protein	17	17q12-q21	4.63	0.49	0.11	1.42	1.42	up	N/A	N/A
29896_at	29896	TRA2A	transformer-2 alpha	7	7p15.3	5.28	0.68	0.13	1.58	1.58	up	N/A	N/A
29902_at	29902	C12orf24	chromosome 12 open reading frame 24	12	12q24.11	6.33	1.42	0.22	2.77	2.77	up	N/A	N/A
29904_at	29904	EEF2K	eukaryotic elongation factor-2 kinase	16	16p12.1	9.85	1.05	0.11	2.07	2.07	up	N/A	N/A
29909_at	29909	GPR171	G protein-coupled receptor 171	3	3q25.1	4.61	1.43	0.31	2.97	2.97	up	N/A	N/A
229_at	229	ALDOB	aldolase B, fructose-bisphosphate	9	9q21.3-q22.2	-10.41	-6.2	0.6	0.03	-29.73	down	yes	-28.98
29957_at	29957	SLC25A24	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24	1	1p13.3	4.95	0.65	0.13	1.57	1.57	up	N/A	N/A
29969_at	29969	MDFIC	MyoD family inhibitor domain containing	7	7q31.1-q31.2	8.7	1.25	0.14	2.37	2.37	up	N/A	N/A
30001_at	30001	ERO1L	ERO1-like (S. cerevisiae)	14	14q22.1	10.25	1.94	0.19	3.96	3.96	up	N/A	N/A
30817_at	30817	EMR2	egf-like module containing, mucin-like, hormone receptor-like 2	19	19p13.1	4.58	0.56	0.12	1.5	1.5	up	N/A	N/A
54769_at	54769	DIRAS2	DIRAS family, GTP-binding RAS-like 2	9	9q22.2	11.59	4.39	0.38	25.3	25.3	up	yes	26.28
50485_at	50485	SMARCAL1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a-like 1	2	2q34-q35	4.33	0.62	0.14	1.55	1.55	up	N/A	N/A
50807_at	50807	DDEF1	development and differentiation enhancing factor 1	8	8q24.1-q24.2	7.41	1.27	0.17	2.52	2.52	up	N/A	N/A
54886_at	54886	RP11-35N6.1	plasticity related gene 3	9	9q31.1	-28.98	-5.29	0.18	0.02	-40.67	down	yes	-4.53
50861_at	50861	STMN3	stathmin-like 3	20	20q13.3	4.27	0.51	0.12	1.44	1.44	up	N/A	N/A
50937_at	50937	CDON	Cdon homolog (mouse)	11	11q23-q24	6.17	0.84	0.14	1.83	1.83	up	N/A	N/A
51008_at	51008	ASCC1	activating signal cointegrator 1 complex subunit 1	10	10pter-q25.3	4.6	0.61	0.13	1.54	1.54	up	N/A	N/A
51018_at	51018	RRP15	ribosomal RNA processing 15 homolog (S. cerevisiae)	1	1q41	6.66	0.93	0.14	1.88	1.88	up	N/A	N/A
51026_at	51026	GOLT1B	golgi transport 1 homolog B (S. cerevisiae)	12	12p12.1	4.19	0.59	0.14	1.53	1.53	up	N/A	N/A
51029_at	51029	C1orf121	chromosome 1 open reading frame 121	1	1q44	4.31	0.42	0.1	1.34	1.34	up	N/A	N/A
51054_at	51054	PLEKHA9	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 9	12	12q	5.87	0.91	0.15	1.87	1.87	up	N/A	N/A
51063_at	51063	FAM26B	family with sequence similarity 26, member B	10	10pter-q26.12	5.09	0.93	0.18	1.97	1.97	up	N/A	N/A
51068_at	51068	NMD3	NMD3 homolog (S. cerevisiae)	3	3q26.1	4.72	0.71	0.15	1.66	1.66	up	N/A	N/A
51100_at	51100	SH3GLB1	SH3-domain GRB2-like endophilin B1	1	1p22	5.56	0.85	0.15	1.8	1.8	up	N/A	N/A
51122_at	51122	COMMD2	COMM domain containing 2	3	3q25.1	4.3	0.79	0.18	1.77	1.77	up	N/A	N/A
210_at	210	ALAD	aminolevulinate, delta-, dehydratase	9	9q33.1	-10.45	-1.64	0.16	0.31	-3.2	down	yes	-6.23
51131_at	51131	PHF11	PHD finger protein 11	13	13q14.3	4.67	0.59	0.13	1.52	1.52	up	N/A	N/A
51134_at	51134	CCDC41	coiled-coil domain containing 41	12	12q22	4.9	0.73	0.15	1.67	1.67	up	N/A	N/A
51141_at	51141	INSIG2	insulin induced gene 2	2	2q14.1	6.04	1.55	0.26	3.15	3.15	up	N/A	N/A
51154_at	51154	MRTO4	mRNA turnover 4 homolog (S. cerevisiae)	1	1p36.13	4.83	0.8	0.17	1.77	1.77	up	N/A	N/A
51164_at	51164	DCTN4	dynactin 4 (p62)	5	5q31-q32	5.16	0.71	0.14	1.68	1.68	up	N/A	N/A
51177_at	51177	PLEKHO1	pleckstrin homology domain containing, family O member 1	1	1q21.2	5.33	1.13	0.21	2.38	2.38	up	N/A	N/A
51187_at	51187	C15orf15	chromosome 15 open reading frame 15	15	15q21	5.78	0.87	0.15	1.89	1.89	up	N/A	N/A
51192_at	51192	CKLF	chemokine-like factor	16	16q21	6.37	1.24	0.19	2.37	2.37	up	N/A	N/A
51194_at	51194	IPO11	importin 11	5	5q12.1	6.85	1.01	0.15	2.07	2.07	up	N/A	N/A
51203_at	51203	NUSAP1	nucleolar and spindle associated protein 1	15	15q15.1	8.44	1.64	0.19	3.2	3.2	up	N/A	N/A
51278_at	51278	IER5	immediate early response 5	1	1q25.3	4.8	1.31	0.27	2.47	2.47	up	N/A	N/A
51283_at	51283	BFAR	bifunctional apoptosis regulator	16	16p13.12	5.8	0.8	0.14	1.78	1.78	up	N/A	N/A
5069_at	5069	PAPPA	pregnancy-associated plasma protein A, pappalysin 1	9	9q33.2	-10.63	-2.48	0.23	0.16	-6.11	down	yes	-2.48
51285_at	51285	RASL12	RAS-like, family 12	15	15q11.2-q22.33	4.28	1.08	0.25	2.37	2.37	up	N/A	N/A
51290_at	51290	ERGIC2	ERGIC and golgi 2	12	12p11.22	4.13	0.5	0.12	1.44	1.44	up	N/A	N/A
51296_at	51296	SLC15A3	solute carrier family 15, member 3	11	11q12.2	6.8	1.43	0.21	2.85	2.85	up	N/A	N/A
51311_at	51311	TLR8	toll-like receptor 8	X	Xp22	6.64	0.86	0.13	1.86	1.86	up	N/A	N/A
51313_at	51313	C4orf18	chromosome 4 open reading frame 18	4	4q32.1	6.49	1.14	0.18	2.29	2.29	up	N/A	N/A
51314_at	51314	TXNDC3	thioredoxin domain containing 3 (spermatozoa)	7	7p14.1	4.13	0.35	0.08	1.28	1.28	up	N/A	N/A
51316_at	51316	PLAC8	placenta-specific 8	4	4q21.22	5.19	1.68	0.32	3.75	3.75	up	N/A	N/A
51317_at	51317	PHF21A	PHD finger protein 21A	11	11p11.2	6.66	0.72	0.11	1.65	1.65	up	N/A	N/A
51322_at	51322	WAC	WW domain containing adaptor with coiled-coil	10	-	4.15	0.46	0.11	1.39	1.39	up	N/A	N/A
51338_at	51338	MS4A4A	membrane-spanning 4-domains, subfamily A, member 4	11	11q12	6.72	1.88	0.28	4.02	4.02	up	N/A	N/A
169611_at	169611	OLFML2A	olfactomedin-like 2A	9	9q33.3	5.67	2.2	0.39	5.82	5.82	up	yes	3.55
51379_at	51379	CRLF3	cytokine receptor-like factor 3	17	17q11.2	6.21	1.24	0.2	2.42	2.42	up	N/A	N/A
51426_at	51426	POLK	polymerase (DNA directed) kappa	5	5q13	4.12	0.53	0.13	1.45	1.45	up	N/A	N/A
51428_at	51428	DDX41	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41	5	5q35.3	6.36	1.02	0.16	2.1	2.1	up	N/A	N/A
51466_at	51466	EVL	Enah/Vasp-like	14	14q32.2	8.06	1.11	0.14	2.19	2.19	up	N/A	N/A
51496_at	51496	CTDSPL2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2	15	15q15.3	4.72	0.67	0.14	1.55	1.55	up	N/A	N/A
51514_at	51514	DTL	denticleless homolog (Drosophila)	1	1q32.1-q32.2	7.7	1.36	0.18	2.7	2.7	up	N/A	N/A
51520_at	51520	LARS	leucyl-tRNA synthetase	5	5q32	4.64	0.62	0.13	1.58	1.58	up	N/A	N/A
51537_at	51537	MTP18	mitochondrial protein 18 kDa	22	22q	5.93	1.32	0.22	2.69	2.69	up	N/A	N/A
51569_at	51569	UFM1	ubiquitin-fold modifier 1	13	13q13.3	4.63	0.38	0.08	1.31	1.31	up	N/A	N/A
51571_at	51571	FAM49B	family with sequence similarity 49, member B	8	8q24.21	4.32	0.51	0.12	1.43	1.43	up	N/A	N/A
51575_at	51575	ESF1	ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae)	20	20p12.1	5.5	0.65	0.12	1.57	1.57	up	N/A	N/A
51631_at	51631	LUC7L2	LUC7-like 2 (S. cerevisiae)	7	7q34	4.61	0.44	0.1	1.36	1.36	up	N/A	N/A
51659_at	51659	GINS2	GINS complex subunit 2 (Psf2 homolog)	16	16q24.1	6.82	1.52	0.22	3.11	3.11	up	N/A	N/A
51669_at	51669	TMEM66	transmembrane protein 66	8	8p12	7.34	0.71	0.1	1.62	1.62	up	N/A	N/A
51696_at	51696	HECA	headcase homolog (Drosophila)	6	6q23-q24	6.09	1.16	0.19	2.32	2.32	up	N/A	N/A
51720_at	51720	UIMC1	ubiquitin interaction motif containing 1	5	5q35.2	6.99	0.84	0.12	1.8	1.8	up	N/A	N/A
51735_at	51735	RAPGEF6	Rap guanine nucleotide exchange factor (GEF) 6	5	5q31.1	7.33	1.4	0.19	2.77	2.77	up	N/A	N/A
51751_at	51751	HIGD1B	HIG1 domain family, member 1B	17	17q21.31	4.51	1.28	0.28	2.78	2.78	up	N/A	N/A
51776_at	51776	ZAK	sterile alpha motif and leucine zipper containing kinase AZK	2	2q24.2	7.81	1.29	0.16	2.52	2.52	up	N/A	N/A
53346_at	53346	TM6SF1	transmembrane 6 superfamily member 1	15	15q24-q26	10	2.4	0.24	5.37	5.37	up	N/A	N/A
53827_at	53827	FXYD5	FXYD domain containing ion transport regulator 5	19	19q12-q13.1	4.89	1.15	0.24	2.33	2.33	up	N/A	N/A
53829_at	53829	P2RY13	purinergic receptor P2Y, G-protein coupled, 13	3	3q24	4.99	1.29	0.26	2.62	2.62	up	N/A	N/A
53904_at	53904	MYO3A	myosin IIIA	10	10p11.1	4.37	0.33	0.08	1.26	1.26	up	N/A	N/A
53917_at	53917	RAB24	RAB24, member RAS oncogene family	5	5q35.3	5.75	1.02	0.18	2.13	2.13	up	N/A	N/A
53918_at	53918	PELO	pelota homolog (Drosophila)	5	5q11.2	5.65	0.88	0.16	1.89	1.89	up	N/A	N/A
54209_at	54209	TREM2	triggering receptor expressed on myeloid cells 2	6	6p21.1	6.56	1.42	0.22	2.95	2.95	up	N/A	N/A
54331_at	54331	GNG2	guanine nucleotide binding protein (G protein), gamma 2	14	14q21	5.26	0.46	0.09	1.39	1.39	up	N/A	N/A
54431_at	54431	DNAJC10	DnaJ (Hsp40) homolog, subfamily C, member 10	2	2q32.1	5.28	0.57	0.11	1.48	1.48	up	N/A	N/A
54437_at	54437	SEMA5B	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5B	3	3q21.1	9.18	2.77	0.3	7.85	7.85	up	N/A	N/A
54438_at	54438	GFOD1	glucose-fructose oxidoreductase domain containing 1	6	6pter-p22.1	4.85	1.36	0.28	2.87	2.87	up	N/A	N/A
54440_at	54440	CXorf9	chromosome X open reading frame 9	X	Xq26	5.2	0.96	0.18	2.02	2.02	up	N/A	N/A
54443_at	54443	ANLN	anillin, actin binding protein	7	7p15-p14	6.03	1.21	0.2	2.54	2.54	up	N/A	N/A
54468_at	54468	FLJ20323	hypothetical protein FLJ20323	7	7p22-p21	5.89	0.82	0.14	1.79	1.79	up	N/A	N/A
54480_at	54480	CSGlcA-T	chondroitin sulfate glucuronyltransferase	7	7q36.1	4.4	0.54	0.12	1.45	1.45	up	N/A	N/A
54495_at	54495	TXNDC10	thioredoxin domain containing 10	18	18q22	8.05	1.13	0.14	2.25	2.25	up	N/A	N/A
54497_at	54497	HEATR5B	HEAT repeat containing 5B	2	2p22.2	4.58	0.7	0.15	1.66	1.66	up	N/A	N/A
54517_at	54517	PUS7	pseudouridylate synthase 7 homolog (S. cerevisiae)	7	7q22.2	7.8	1.26	0.16	2.43	2.43	up	N/A	N/A
54518_at	54518	APBB1IP	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein	10	10p12.1	5.34	0.94	0.18	2.02	2.02	up	N/A	N/A
54521_at	54521	WDR44	WD repeat domain 44	X	Xq24	4.37	0.68	0.16	1.68	1.68	up	N/A	N/A
54536_at	54536	EXOC6	exocyst complex component 6	10	10q23.33	4.15	0.48	0.12	1.42	1.42	up	N/A	N/A
445_at	445	ASS1	argininosuccinate synthetase 1	9	9q34.1	-8.26	-3.29	0.4	0.11	-8.77	down	yes	-3.61
54556_at	54556	ING3	inhibitor of growth family, member 3	7	7q31	7.24	0.77	0.11	1.72	1.72	up	N/A	N/A
54583_at	54583	EGLN1	egl nine homolog 1 (C. elegans)	1	1q42.1	4.48	0.45	0.1	1.37	1.37	up	N/A	N/A
54621_at	54621	FLJ20674	hypothetical protein FLJ20674	12	12q24.23	4.16	0.43	0.1	1.36	1.36	up	N/A	N/A
54625_at	54625	PARP14	poly (ADP-ribose) polymerase family, member 14	3	3q21.1	5.11	1.1	0.21	2.33	2.33	up	N/A	N/A
54700_at	54700	RRN3	RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae)	16	16p12	5.7	0.85	0.15	1.77	1.77	up	N/A	N/A
10659_at	10659	CUGBP2	CUG triplet repeat, RNA binding protein 2	10	10p13	6.94	1	0.14	2.06	2.06	up	yes	2.86
54778_at	54778	RNF111	ring finger protein 111	15	15q21	5.99	0.5	0.08	1.41	1.41	up	N/A	N/A
54801_at	54801	FAM29A	family with sequence similarity 29, member A	9	9p22.1	4.68	0.72	0.15	1.71	1.71	up	N/A	N/A
54809_at	54809	SAMD9	sterile alpha motif domain containing 9	7	7q21.2	4.22	0.79	0.19	1.79	1.79	up	N/A	N/A
54832_at	54832	VPS13C	vacuolar protein sorting 13 homolog C (S. cerevisiae)	15	15q22.2	4.14	0.55	0.13	1.49	1.49	up	N/A	N/A
54863_at	54863	C9orf167	chromosome 9 open reading frame 167	9	9q34.3	4.76	0.52	0.11	1.45	1.45	up	N/A	N/A
54875_at	54875	C9orf39	chromosome 9 open reading frame 39	9	9p22.2	4.72	0.83	0.18	1.85	1.85	up	N/A	N/A
