Affymetrix probe ID	Gene symbol	FC (DP/SP)	Up/downregulation
1556472_s_at	SCML4	0.10233	downregulated
201315_x_at	IFITM2	0.10236	downregulated
223027_at	SNX9	0.10243	downregulated
204670_x_at	HLA-DRB1	0.10309	downregulated
214467_at	GPR65	0.10386	downregulated
204790_at	SMAD7	0.10415	downregulated
223028_s_at	SNX9	0.10477	downregulated
204562_at	IRF4	0.10509	downregulated
206150_at	TNFRSF7	0.10614	downregulated
221648_s_at	C1orf121	0.1072	downregulated
205174_s_at	QPCT	0.10879	downregulated
227265_at		0.10983	downregulated
202270_at	GBP1	0.11008	downregulated
1569872_a_at		0.11029	downregulated
202481_at	DHRS3	0.11059	downregulated
203386_at	TBC1D4	0.11134	downregulated
228055_at	NAPSB	0.11193	downregulated
1555745_a_at	LYZ	0.11247	downregulated
210279_at	GPR18	0.1141	downregulated
212671_s_at	HLA-DQA1 /// HLA-DQA2	0.11502	downregulated
1552318_at	GIMAP1	0.11532	downregulated
239726_at		0.11534	downregulated
202869_at	OAS1	0.11561	downregulated
236226_at	BTLA	0.11625	downregulated
202087_s_at	CTSL	0.11641	downregulated
228617_at	BIRC4BP	0.1182	downregulated
213831_at	HLA-DQA1	0.11889	downregulated
220112_at	FLJ11795	0.11927	downregulated
234284_at	GNG8	0.12019	downregulated
209994_s_at	ABCB1 /// ABCB4	0.12032	downregulated
203708_at	PDE4B	0.12141	downregulated
204057_at	IRF8	0.12203	downregulated
227210_at	SFMBT2	0.12274	downregulated
203290_at	HLA-DQA1	0.12282	downregulated
218829_s_at	CHD7	0.12328	downregulated
1553118_at	THEM4	0.12382	downregulated
205159_at	CSF2RB	0.12639	downregulated
1557465_at	FLJ37307	0.12739	downregulated
220613_s_at	SYTL2	0.12783	downregulated
212203_x_at	IFITM3	0.12834	downregulated
213093_at	PRKCA	0.12869	downregulated
211911_x_at	HLA-B	0.13064	downregulated
214453_s_at	IFI44	0.13097	downregulated
205033_s_at	DEFA1 /// DEFA3	0.13121	downregulated
211282_x_at	TNFRSF25	0.13475	downregulated
229064_s_at		0.1349	downregulated
213566_at	RNASE6	0.13638	downregulated
208729_x_at	HLA-B	0.13666	downregulated
202499_s_at	SLC2A3	0.13691	downregulated
213994_s_at	SPON1	0.13774	downregulated
229253_at	THEM4	0.13911	downregulated
227856_at	FLJ39370	0.13979	downregulated
212195_at	IL6ST	0.14005	downregulated
229202_at	PCNXL2	0.14041	downregulated
205552_s_at	OAS1	0.14109	downregulated
221081_s_at	DENND2D	0.14141	downregulated
226123_at	CHD7	0.14197	downregulated
211368_s_at	CASP1	0.14256	downregulated
235085_at	DKFZp761P0423	0.14293	downregulated
229390_at	LOC441168	0.14355	downregulated
244463_at	ADAM23	0.14359	downregulated
203395_s_at	HES1	0.14422	downregulated
1559263_s_at	ZC3H12D	0.14445	downregulated
205398_s_at	SMAD3	0.14539	downregulated
1556471_at	SCML4	0.14616	downregulated
208436_s_at	IRF7	0.14718	downregulated
205681_at	BCL2A1	0.14732	downregulated
223377_x_at	CISH	0.14803	downregulated
203387_s_at	TBC1D4	0.14807	downregulated
200965_s_at	ABLIM1	0.14827	downregulated
211597_s_at	HOP	0.14986	downregulated
222154_s_at	DNAPTP6	0.15027	downregulated
208306_x_at	HLA-DRB5	0.15052	downregulated
221731_x_at	CSPG2	0.15146	downregulated
1552315_at	GIMAP1	0.15269	downregulated
209436_at	SPON1	0.15272	downregulated
209823_x_at	HLA-DQB1	0.15279	downregulated
208683_at	CAPN2	0.15386	downregulated
231779_at	IRAK2	0.15482	downregulated
221978_at	HLA-F	0.15695	downregulated
202688_at	TNFSF10	0.15698	downregulated
201998_at	ST6GAL1	0.15713	downregulated
203413_at	NELL2	0.15724	downregulated
225407_at	MBP	0.15734	downregulated
229613_at		0.15745	downregulated
220429_at	NDST3	0.15764	downregulated
241387_at	PTK2	0.15811	downregulated
236796_at	BACH2	0.16076	downregulated
218805_at	GIMAP5	0.16106	downregulated
231798_at	NOG	0.16143	downregulated
203535_at	S100A9	0.16169	downregulated
210643_at	TNFSF11	0.16188	downregulated
231794_at	CTLA4	0.16263	downregulated
205945_at	IL6R	0.16289	downregulated
201506_at	TGFBI	0.16365	downregulated
219315_s_at	C16orf30	0.16414	downregulated
215262_at		0.16452	downregulated
204122_at	TYROBP	0.16559	downregulated
212014_x_at	CD44	0.16589	downregulated
207892_at	CD40LG	0.16624	downregulated
231925_at		0.1667	downregulated
203471_s_at	PLEK	0.16674	downregulated
241038_at		0.16697	downregulated
229070_at	C6orf105	0.16705	downregulated
223961_s_at	CISH	0.16747	downregulated
204489_s_at	CD44	0.16751	downregulated
1568609_s_at	FAM91A2 /// FLJ39739	0.16833	downregulated
217523_at	CD44	0.16879	downregulated
204015_s_at	DUSP4	0.16899	downregulated
226333_at	IL6R	0.16938	downregulated
225512_at	ZBTB38	0.16969	downregulated
209140_x_at	HLA-B	0.16997	downregulated
231747_at	CYSLTR1	0.17091	downregulated
243492_at	CTMP	0.17095	downregulated
226034_at		0.17123	downregulated
217865_at	RNF130	0.17186	downregulated
204622_x_at	NR4A2	0.17222	downregulated
236401_at		0.17322	downregulated
222449_at	TMEPAI	0.17358	downregulated
204198_s_at	RUNX3	0.1739	downregulated
229450_at	IFIT3	0.1743	downregulated
209815_at	PTCH	0.17475	downregulated
223217_s_at	NFKBIZ	0.17576	downregulated
204040_at	RNF144	0.17588	downregulated
205569_at	LAMP3	0.17657	downregulated
209606_at	PSCDBP	0.17665	downregulated
213478_at	KIAA1026	0.17674	downregulated
221875_x_at	HLA-F	0.17755	downregulated
242234_at	BIRC4BP	0.17834	downregulated
234994_at	KIAA1913	0.17858	downregulated
201105_at	LGALS1	0.17862	downregulated
225133_at	KLF3	0.17891	downregulated
202687_s_at	TNFSF10	0.17916	downregulated
219014_at	PLAC8	0.1792	downregulated
217911_s_at	BAG3	0.17937	downregulated
1557626_at		0.1802	downregulated
227193_at		0.18028	downregulated
230839_at	HRMT1L4	0.18049	downregulated
202016_at	MEST	0.18099	downregulated
202391_at	BASP1	0.18141	downregulated
209835_x_at	CD44	0.18234	downregulated
1556451_at	BACH2	0.18267	downregulated
243416_at		0.18288	downregulated
219013_at	GALNT11	0.18314	downregulated
228080_at	LOC143903	0.18348	downregulated
203233_at	IL4R	0.18352	downregulated
224983_at	SCARB2	0.18352	downregulated
229391_s_at	LOC441168	0.18356	downregulated
211656_x_at	HLA-DQB1	0.18365	downregulated
206828_at	TXK	0.1839	downregulated
204490_s_at	CD44	0.1842	downregulated
226459_at	PIK3AP1	0.18471	downregulated
206133_at	BIRC4BP	0.18497	downregulated
226702_at	LOC129607	0.18531	downregulated
211799_x_at	HLA-C	0.18655	downregulated
236583_at		0.18673	downregulated
204806_x_at	HLA-F	0.18699	downregulated
236307_at	BACH2	0.18837	downregulated
239082_at		0.18911	downregulated
222088_s_at	SLC2A3 /// SLC2A14	0.18973	downregulated
240690_at	DKFZp761P0423  IGL@ /// IGLC1 /// IGLC2 /// IGLV3-25 ///	0.19087	downregulated
214677_x_at	IGLV2-14 /// IGLJ3	0.19122	downregulated
205488_at	GZMA	0.19149	downregulated
200887_s_at	STAT1	0.19175	downregulated
204620_s_at	CSPG2	0.1918	downregulated
211654_x_at	HLA-DQB1	0.19189	downregulated
228592_at	MS4A1	0.1922	downregulated
212196_at	IL6ST	0.19246	downregulated
230741_at		0.19264	downregulated
235371_at	LOC389129	0.19291	downregulated
221790_s_at	LDLRAP1	0.19291	downregulated
207677_s_at	NCF4	0.19336	downregulated
208636_at	ACTN1	0.19421	downregulated
204197_s_at	RUNX3	0.19448	downregulated
210313_at	LILRA4	0.19506	downregulated
208944_at	TGFBR2	0.19515	downregulated
206637_at	P2RY14	0.19547	downregulated
AFFX-F3A/M97935_MB_at	STAT1	0.19547	downregulated
239479_x_at		0.19633	downregulated
205554_s_at	DNASE1L3	0.19633	downregulated
209970_x_at	CASP1	0.19655	downregulated
207735_at	RNF125	0.19678	downregulated
202723_s_at	FOXO1A	0.19692	downregulated
209969_s_at	STAT1	0.19733	downregulated
204972_at	OAS2	0.19879	downregulated
228298_at	MGC16044	0.19888	downregulated
228461_at	SH3MD4	0.20013	downregulated
229247_at	FLJ37440	0.2005	downregulated
215314_at	ANK3	0.20087	downregulated
203404_at	ARMCX2	0.20096	downregulated
212063_at	CD44	0.20175	downregulated
203394_s_at	HES1	0.20203	downregulated
231124_x_at	LY9	0.20236	downregulated
209480_at	HLA-DQB1	0.20269	downregulated
228962_at	PDE4D	0.20443	downregulated
224356_x_at	MS4A6A	0.20514	downregulated
209504_s_at	PLEKHB1	0.20614	downregulated
205257_s_at	AMPH	0.20637	downregulated
210461_s_at	ABLIM1	0.20656	downregulated
232346_at		0.20661	downregulated
200878_at	EPAS1	0.20791	downregulated
225524_at	ANTXR2	0.20839	downregulated
221234_s_at	BACH2	0.20848	downregulated
206978_at	CCR2	0.20853	downregulated
224764_at	ARHGAP21	0.20858	downregulated
212314_at	KIAA0746	0.20863	downregulated
204502_at	SAMHD1	0.20906	downregulated
228094_at	AMICA1	0.20916	downregulated
206481_s_at	LDB2	0.20945	downregulated
223218_s_at	NFKBIZ	0.20959	downregulated
225011_at	PRKAR2A	0.21047	downregulated
208812_x_at	HLA-C	0.21066	downregulated
220048_at	EDAR	0.21134	downregulated
38241_at	BTN3A3	0.21149	downregulated
AFFX-GF3A/M97935_3_at	STAT1	0.21159	downregulated
244623_at		0.21193	downregulated
207460_at	GZMM	0.21208	downregulated
232504_at	LOC285628	0.21223	downregulated
205639_at	AOAH	0.21227	downregulated
221331_x_at	CTLA4	0.21247	downregulated
206039_at	RAB33A	0.2137	downregulated
1557905_s_at	CD44	0.21385	downregulated
217196_s_at	CAMSAP1L1	0.214	downregulated
206584_at	LY96	0.21474	downregulated
202498_s_at	SLC2A3	0.21494	downregulated
219666_at	MS4A6A	0.21668	downregulated
226761_at	ZNFN1A4	0.21719	downregulated
203066_at	GALNAC4S-6ST	0.21794	downregulated
223280_x_at	MS4A6A	0.21885	downregulated
205397_x_at	SMAD3	0.2191	downregulated
211596_s_at	LRIG1	0.21956	downregulated
209959_at	NR4A3	0.22037	downregulated
1552701_a_at	COP1	0.22068	downregulated
216920_s_at	LOC44TRGC2 /// TRGV9 /// LOC442532 /// 2670 /// TARP	0.22154	downregulated
230866_at		0.22195	downregulated
1566608_at	SAMD3	0.22309	downregulated
224724_at	SULF2	0.22319	downregulated
236595_at	MGC4677	0.22334	downregulated
227345_at	TNFRSF10D	0.2235	downregulated
204491_at	PDE4D	0.2236	downregulated
213188_s_at	MINA	0.22365	downregulated
221223_x_at	CISH	0.22391	downregulated
213537_at	HLA-DPA1	0.22427	downregulated
228708_at		0.22433	downregulated
224925_at	PREX1	0.22458	downregulated
212096_s_at	MTUS1	0.22464	downregulated
235739_at	NR4A2	0.225	downregulated
211529_x_at	HLA-G	0.22557	downregulated
217478_s_at	HLA-DMA	0.22609	downregulated
218831_s_at	FCGRT	0.22636	downregulated
200904_at	HLA-E	0.22657	downregulated
229437_at	BIC	0.22672	downregulated
202693_s_at	STK17A	0.22683	downregulated
219179_at	DACT1	0.22683	downregulated
239876_at	NFKB1	0.22719	downregulated
202890_at	MAP7	0.22751	downregulated
211367_s_at	CASP1	0.22756	downregulated
64064_at	GIMAP5	0.22793	downregulated
214059_at	IFI44	0.22814	downregulated
216248_s_at	NR4A2	0.22841	downregulated
209813_x_at	TRGC2 /// TRGV9 /// LOC442532 ///LOC442670 /// TARP	0.22862	downregulated
232397_at	HECW2	0.22899	downregulated
201850_at	CAPG	0.22952	downregulated
200704_at	LITAF	0.23005	downregulated
207772_s_at	HRMT1L4	0.23047	downregulated
206115_at	EGR3	0.23047	downregulated
203914_x_at	HPGD	0.2309	downregulated
222108_at	AMIGO2	0.23106	downregulated
214039_s_at	LAPTM4B	0.23218	downregulated
200905_x_at	HLA-E	0.23218	downregulated
203865_s_at	ADARB1	0.23224	downregulated
200931_s_at	VCL	0.23277	downregulated
207426_s_at	TNFSF4	0.23294	downregulated
215806_x_at	TRGC2 /// TRGV9 /// LOC442532 ///  LOC442670 /// TARP	0.2331	downregulated
209199_s_at	MEF2C	0.23374	downregulated
227384_s_at		0.23412	downregulated
227567_at	SH3-domain GRB2-like pseudogene 3	0.23418	downregulated
1564077_at	LOC285513	0.23493	downregulated
204821_at	BTN3A3	0.23695	downregulated
39650_s_at	PCNXL2	0.23712	downregulated
231166_at	GPR155	0.2375	downregulated
217800_s_at	NDFIP1	0.23854	downregulated
222101_s_at	DCHS1	0.23866	downregulated
202393_s_at	KLF10	0.23926	downregulated
209239_at	NFKB1	0.23937	downregulated
225202_at	RHOBTB3	0.23959	downregulated
204834_at	FGL2	0.24004	downregulated
203010_at	STAT5A	0.24009	downregulated
211302_s_at	PDE4B	0.24082	downregulated
208949_s_at	LGALS3 /// GALIG	0.24204	downregulated
227686_at	MGC15763	0.2421	downregulated
210916_s_at	CD44	0.24215	downregulated
240254_at	TNIK	0.24249	downregulated
211144_x_at	TRGC2	0.24266	downregulated
228056_s_at	NAPSB	0.243	downregulated
224909_s_at	PREX1	0.24378	downregulated
236610_at	PDE4D	0.24423	downregulated
210538_s_at	BIRC3	0.24463	downregulated
232000_at	C9orf52	0.24553	downregulated
221671_x_at	IGKC /// IGKV1-5	0.2461	downregulated
232615_at	FLJ39739	0.24656	downregulated
215284_at	SNX9	0.24673	downregulated
207111_at	EMR1	0.2477	downregulated
235046_at		0.24845	downregulated
202976_s_at	RHOBTB3	0.24908	downregulated
206011_at	CASP1	0.24965	downregulated
222001_x_at		0.25006	downregulated
216565_x_at	LOC391020	0.25075	downregulated
221841_s_at	KLF4	0.25098	downregulated
208637_x_at	ACTN1	0.25203	downregulated
220765_s_at	LIMS2	0.25226	downregulated
226913_s_at	SOX8	0.2525	downregulated
230263_s_at	DOCK5	0.25273	downregulated
206618_at	IL18R1	0.25296	downregulated
224795_x_at	IGKC /// IGKV1-5	0.25378	downregulated
229625_at	GBP5	0.25449	downregulated
213186_at	DZIP3	0.25461	downregulated
202295_s_at	CTSH	0.25508	downregulated
210427_x_at	ANXA2	0.25567	downregulated
223168_at	RHOU	0.25573	downregulated
209846_s_at	BTN3A2	0.25578	downregulated
209995_s_at	TCL1A	0.25584	downregulated
211548_s_at	HPGD	0.25608	downregulated
222062_at	IL27RA	0.25626	downregulated
201590_x_at	ANXA2	0.25685	downregulated
207655_s_at	BLNK	0.25756	downregulated
244798_at		0.25768	downregulated
229830_at	PDGFA	0.25822	downregulated
209348_s_at	MAF	0.25876	downregulated
223809_at	RGS18	0.25882	downregulated
234362_s_at	CTLA4	0.2593	downregulated
220059_at	BRDG1	0.2593	downregulated
222326_at	PDE4B	0.25941	downregulated
204048_s_at	PHACTR2	0.26134	downregulated
217436_x_at	HLA-G /// HLA-H	0.26182	downregulated
202967_at	GSTA4	0.26225	downregulated
242079_at	RGS12	0.26285	downregulated
1562529_s_at	RORA	0.2634	downregulated
1558290_a_at	PVT1 /// LOC441378	0.26358	downregulated
214971_s_at	ST6GAL1	0.26383	downregulated
214459_x_at	HLA-C	0.26407	downregulated
215967_s_at	LY9	0.26425	downregulated
229597_s_at	WDFY4	0.26505	downregulated
205859_at	LY86	0.26517	downregulated
232297_at	KLHL5	0.26517	downregulated
221843_s_at	KIAA1609	0.26536	downregulated
226759_at	ZNFN1A4	0.2656	downregulated
227383_at		0.26665	downregulated
206660_at	IGLL1	0.26788	downregulated
214329_x_at	TNFSF10	0.26825	downregulated
219864_s_at	DSCR1L2	0.26832	downregulated
39318_at	TCL1A	0.269	downregulated
65438_at	KIAA1609	0.26968	downregulated
1559529_at	PTK2	0.26968	downregulated
AFFX-F3A/M97935_MA_at	STAT1	0.26993	downregulated
221571_at	TRAF3	0.27012	downregulated
201925_s_at	DAF	0.27018	downregulated
219221_at	ZBTB38	0.27018	downregulated
218986_s_at	FLJ20035	0.27024	downregulated
205689_at	PCNXL2	0.27074	downregulated
221651_x_at	IGKC /// IGKV1-5	0.27074	downregulated
236571_at	SLC2A3	0.27087	downregulated
206118_at	STAT4	0.27187	downregulated
220214_at	ZNF215	0.27193	downregulated
214907_at	CEACAM21	0.27231	downregulated
238967_at	CLDN1	0.27238	downregulated
207949_s_at	ICA1	0.27263	downregulated
212242_at	TUBA1	0.27263	downregulated
232375_at	STAT1	0.27294	downregulated
1562731_s_at	MDS2	0.27313	downregulated
205593_s_at	PDE9A	0.27319	downregulated
225792_at	HOOK1	0.27351	downregulated
203685_at	BCL2	0.27364	downregulated
204971_at	CSTA	0.27376	downregulated
222450_at	TMEPAI	0.27383	downregulated
208450_at	LGALS2	0.27389	downregulated
203973_s_at	CEBPD	0.27421	downregulated
216526_x_at	HLA-C	0.27484	downregulated
229429_x_at		0.27529	downregulated
217456_x_at	HLA-E	0.27579	downregulated
1567628_at	CD74	0.27599	downregulated
200808_s_at	ZYX	0.27637	downregulated
228442_at	NFATC2	0.27707	downregulated
241860_at	STK17B	0.27714	downregulated
221491_x_at	HLA-DRB1	0.27797	downregulated
211366_x_at	CASP1	0.27803	downregulated
57082_at	LDLRAP1	0.27848	downregulated
1552703_s_at	CASP1 /// COP1	0.27887	downregulated
243291_at		0.27926	downregulated
202695_s_at	STK17A	0.27939	downregulated
239121_at	PTK2	0.27945	downregulated
226811_at	FAM46C	0.27984	downregulated
205147_x_at	NCF4	0.28003	downregulated
212765_at	CAMSAP1L1	0.28062	downregulated
203523_at	LSP1	0.28081	downregulated
208018_s_at	HCK	0.28113	downregulated
213503_x_at	ANXA2	0.28113	downregulated
222423_at	NDFIP1	0.28113	downregulated
242031_at		0.28165	downregulated
210547_x_at	ICA1	0.28172	downregulated
41397_at	LOC55565	0.28185	downregulated
225000_at	PRKAR2A	0.2825	downregulated
202975_s_at	RHOBTB3	0.28309	downregulated
43511_s_at		0.28329	downregulated
206492_at	FHIT	0.28394	downregulated
202464_s_at	PFKFB3	0.28414	downregulated
226789_at		0.2842	downregulated
204526_s_at	TBC1D8	0.28473	downregulated
224482_s_at	RAB11FIP4	0.28513	downregulated
227173_s_at	BACH2	0.28519	downregulated
236704_at		0.28552	downregulated
211528_x_at	HLA-G	0.28631	downregulated
225681_at	CTHRC1	0.28664	downregulated
235020_at	TAF4B	0.28724	downregulated
210514_x_at	HLA-G	0.28764	downregulated
227961_at	CTSB	0.28857	downregulated
215313_x_at	HLA-A	0.28864	downregulated
221903_s_at	CYLD	0.2887	downregulated
203932_at	HLA-DMB	0.28951	downregulated
36711_at	MAFF	0.28984	downregulated
224392_s_at	OPN3	0.28997	downregulated
233423_at	KIAA1609	0.29058	downregulated
204642_at	EDG1	0.29065	downregulated
218700_s_at	RAB7L1	0.29071	downregulated
212713_at	MFAP4	0.29179	downregulated
215907_at	BACH2	0.29206	downregulated
209770_at	BTN3A1	0.29273	downregulated
237459_at	PCTK2	0.29287	downregulated
205237_at	FCN1	0.29294	downregulated
212510_at	GPD1L	0.29348	downregulated
220655_at	TNIP3	0.29375	downregulated
217388_s_at	KYNU	0.29382	downregulated
228109_at	RASGRF2	0.29402	downregulated
213189_at	MINA	0.29416	downregulated
229461_x_at	NEGR1	0.29436	downregulated
239005_at	FLJ39739	0.29443	downregulated
204820_s_at	BTN3A3 /// BTN3A2	0.29463	downregulated
219694_at	FLJ11127	0.29477	downregulated
243546_at	SESN3	0.29484	downregulated
AFFX-HUMISGF3A/M97935_5_at	STAT1	0.29504	downregulated
204415_at	G1P3	0.29689	downregulated
207978_s_at	NR4A3	0.29758	downregulated
238784_at	DPY19L2	0.29771	downregulated
226247_at	PLEKHA1	0.29778	downregulated
203234_at	UPP1	0.29806	downregulated
209374_s_at	IGHM	0.29861	downregulated
212655_at	ZCCHC14	0.29861	downregulated
227188_at	C21orf63	0.29875	downregulated
203913_s_at	HPGD	0.29909	downregulated
225647_s_at	CTSC	0.29999	downregulated
240413_at	PYHIN1	0.3002	downregulated
1554544_a_at	MBP	0.3002	downregulated
211861_x_at	CD28	0.30076	downregulated
210370_s_at	LY9	0.30076	downregulated
238032_at	DHRS3	0.3009	downregulated
238524_at		0.30117	downregulated
223592_s_at	RNF135	0.30152	downregulated
231899_at	ZC3H12C	0.30257	downregulated
233884_at	HIVEP3	0.30313	downregulated
222180_at	YES1	0.30327	downregulated
226991_at	NFATC2	0.30348	downregulated
242869_at		0.30355	downregulated
206631_at	PTGER2	0.30362	downregulated
235199_at		0.30404	downregulated
211549_s_at	HPGD	0.30418	downregulated
212062_at	ATP9A	0.30467	downregulated
206187_at	PTGIR	0.30566	downregulated
203775_at	SLC25A13	0.30566	downregulated
218084_x_at	FXYD5	0.3058	downregulated
227677_at	JAK3	0.30601	downregulated
225129_at	CPNE2	0.3063	downregulated
224049_at	KCNK17	0.30836	downregulated
228390_at		0.30885	downregulated
229264_at	PARP8	0.30921	downregulated
222859_s_at	DAPP1	0.30943	downregulated
203879_at	PIK3CD	0.3095	downregulated
221905_at	CYLD	0.3095	downregulated
1558827_a_at	C20orf174	0.3105	downregulated
236599_at	SERPINE2	0.31057	downregulated
223502_s_at	TNFSF13B	0.31129	downregulated
236921_at	EMB	0.31179	downregulated
224659_at	SEPN1	0.31237	downregulated
224252_s_at	FXYD5	0.31244	downregulated
206545_at	CD28	0.31266	downregulated
204049_s_at	PHACTR2	0.31331	downregulated
228762_at	LFNG	0.31353	downregulated
238581_at	GBP5	0.3136	downregulated
238447_at	RBMS3	0.31396	downregulated
212771_at	C10orf38	0.31433	downregulated
214582_at	PDE3B	0.31476	downregulated
226001_at	KLHL5	0.31483	downregulated
210439_at	ICOS	0.31505	downregulated
212561_at	RAB6IP1	0.31513	downregulated
244764_at	HIVEP3	0.31534	downregulated
235276_at		0.31549	downregulated
222422_s_at	NDFIP1	0.31564	downregulated
239017_at		0.31644	downregulated
212110_at	SLC39A14	0.31651	downregulated
228573_at	ANTXR2	0.3168	downregulated
219024_at	PLEKHA1	0.31688	downregulated
210426_x_at	RORA	0.31702	downregulated
211893_x_at	CD6	0.31768	downregulated
208029_s_at	LAPTM4B	0.31768	downregulated
209446_s_at		0.31783	downregulated
227947_at	PHACTR2	0.31842	downregulated
207167_at	IGSF2	0.31893	downregulated
49111_at		0.31938	downregulated
230110_at	MCOLN2	0.31945	downregulated
225927_at	MAP3K1	0.31975	downregulated
220146_at	TLR7	0.31997	downregulated
214228_x_at	TNFRSF4	0.32012	downregulated
204232_at	FCER1G	0.32145	downregulated
225285_at	BCAT1	0.32145	downregulated
219922_s_at	LTBP3	0.32182	downregulated
239296_at	ZFHX1B	0.32257	downregulated
228314_at		0.32316	downregulated
203543_s_at	KLF9	0.32384	downregulated
232191_at	C21orf105	0.32391	downregulated
213274_s_at	CTSB	0.32391	downregulated
213295_at	CYLD	0.32428	downregulated
225646_at	CTSC	0.32458	downregulated
203729_at	EMP3	0.32466	downregulated
207536_s_at	TNFRSF9	0.32466	downregulated
206090_s_at	DISC1	0.32541	downregulated
239533_at	GPR155	0.32594	downregulated
210042_s_at	CTSZ	0.32616	downregulated
202768_at	FOSB	0.32669	downregulated
204137_at	TM7SF1	0.32692	downregulated
210063_at	SARDH	0.32745	downregulated
210029_at	INDO	0.32828	downregulated
218400_at	OAS3	0.32919	downregulated
207231_at	DZIP3	0.33033	downregulated
204908_s_at	BCL3	0.33033	downregulated
1565868_at	CD44	0.33041	downregulated
205376_at	INPP4B	0.33056	downregulated
219359_at	FLJ22635	0.33102	downregulated
219211_at	USP18	0.33125	downregulated
237460_x_at	LOC283551	0.33171	downregulated
206310_at	SPINK2	0.33232	downregulated
222317_at	PDE3B	0.3324	downregulated
219032_x_at	OPN3	0.33309	downregulated
211160_x_at	ACTN1	0.33363	downregulated
227609_at	EPSTI1	0.33386	downregulated
226074_at	PPM1M	0.33394	downregulated
217979_at	TM4SF13	0.33394	downregulated
211965_at	ZFP36L1	0.33448	downregulated
235383_at	MYO7B	0.33526	downregulated
220952_s_at	PLEKHA5	0.33557	downregulated
205926_at	IL27RA	0.33626	downregulated
201160_s_at	CSDA	0.33642	downregulated
202934_at	HK2	0.3365	downregulated
205965_at	BATF	0.33759	downregulated
225033_at	LOC286167	0.33767	downregulated
216813_at		0.33782	downregulated
204440_at	CD83	0.33806	downregulated
203186_s_at	S100A4	0.33806	downregulated
201720_s_at	LAPTM5	0.33845	downregulated
204939_s_at	PLN	0.33845	downregulated
235405_at	GSTA4	0.33876	downregulated
232024_at	GIMAP2	0.33923	downregulated
225373_at	C10orf54	0.33923	downregulated
215646_s_at	CSPG2	0.33931	downregulated
224815_at	COMMD7	0.33954	downregulated
240070_at	FLJ39873	0.33986	downregulated
215706_x_at	ZYX	0.34025	downregulated
1553523_at	NALP14	0.34183	downregulated
236635_at	FLJ14011	0.3423	downregulated
212651_at	RHOBTB1	0.34262	downregulated
243626_at		0.3427	downregulated
1555950_a_at	DAF	0.34277	downregulated
202554_s_at	GSTM3	0.34285	downregulated
230158_at	DPY19L2	0.34325	downregulated
227524_at		0.34476	downregulated
219777_at	GIMAP6	0.34492	downregulated
1563542_a_at	SCML4	0.345	downregulated
221564_at	HRMT1L1	0.34516	downregulated
238716_at		0.34572	downregulated
1558770_a_at	C17orf38	0.3458	downregulated
1552787_at	HELB	0.3458	downregulated
1559883_s_at	SAMHD1	0.34628	downregulated
238619_at		0.347	downregulated
208602_x_at	CD6	0.34708	downregulated
221756_at	MGC17330	0.34732	downregulated
229716_at		0.34764	downregulated
239979_at	EPSTI1	0.34804	downregulated
238025_at	MLKL	0.34812	downregulated
206544_x_at	SMARCA2	0.34941	downregulated
219667_s_at	BANK1	0.34965	downregulated
207777_s_at	SP140	0.34982	downregulated
210473_s_at	GPR125	0.3499	downregulated
204912_at	IL10RA	0.35062	downregulated
222288_at		0.35119	downregulated
204638_at	ACP5	0.35176	downregulated
206574_s_at	PTP4A3	0.35184	downregulated
235522_at	OCIL	0.35249	downregulated
214452_at	BCAT1	0.35298	downregulated
205997_at	ADAM28	0.35306	downregulated
236099_at		0.35315	downregulated
206363_at	MAF	0.35323	downregulated
230640_at	HYPC	0.35364	downregulated
223501_at	TNFSF13B	0.3547	downregulated
238769_at	MAP4K4	0.35478	downregulated
229860_x_at	LOC401115	0.35568	downregulated
212613_at	BTN3A2	0.35568	downregulated
222071_s_at	SLCO4C1	0.35585	downregulated
1554679_a_at	LAPTM4B	0.35634	downregulated
208442_s_at	ATM	0.35725	downregulated
219389_at	SUSD4	0.35799	downregulated
201646_at	SCARB2	0.35816	downregulated
237483_at	PLEKHA5	0.35865	downregulated
209570_s_at	D4S234E	0.35882	downregulated
230051_at	C10orf47	0.35899	downregulated
206975_at	LTA	0.35924	downregulated
205214_at	STK17B	0.3594	downregulated
202820_at	AHR	0.35957	downregulated
1554343_a_at	BRDG1	0.35973	downregulated
209871_s_at	APBA2	0.36007	downregulated
208206_s_at	RASGRP2	0.36048	downregulated
205861_at	SPIB	0.36048	downregulated
212481_s_at	TPM4	0.36065	downregulated
235802_at	PLD4	0.36165	downregulated
210314_x_at	TNFSF13 /// TNFSF12-TNFSF13	0.36173	downregulated
223553_s_at	DOK3	0.3619	downregulated
236165_at	MSL3L1	0.3619	downregulated
205220_at	GPR109B	0.36198	downregulated
209949_at	NCF2	0.36207	downregulated
219566_at	PLEKHF1	0.36249	downregulated
207232_s_at	DZIP3	0.36257	downregulated
1554256_a_at	PCNXL2	0.36274	downregulated
233127_at	ZNF331	0.36274	downregulated
223533_at	LRRC8C	0.36316	downregulated
212257_s_at	SMARCA2	0.36324	downregulated
243030_at	MAP3K1	0.36333	downregulated
202086_at	MX1	0.36358	downregulated
203185_at	RASSF2	0.364	downregulated
219690_at	U2AF1L4	0.36433	downregulated
228915_at	DACH1	0.36467	downregulated
201605_x_at	CNN2	0.36543	downregulated
