Unique id	Gene symbol
ILMN_1727098	PPP1R16B
ILMN_1697793	SYNJ2BP
ILMN_1675857	COL4A6
ILMN_1794595	GAMT
ILMN_1804419	LRMP
ILMN_1667416	TRIM74
ILMN_1751227	LOC401321
ILMN_1745849	ENTPD5
ILMN_1743078	LOC643031
ILMN_1709681	GABRB3
ILMN_1792538	CD7
ILMN_1771964	GSTA4
ILMN_1738784	PPP2R5A
ILMN_1705403	CYP2S1
ILMN_1789653	MAWBP
ILMN_1761637	CNTD
ILMN_1698259	TMEM100
ILMN_1666967	BRP44L
ILMN_1675130	NFIC
ILMN_1808114	XLKD1
ILMN_1789266	CCDC25
ILMN_1736939	UGCG
ILMN_1810797	WASF3
ILMN_1688242	C6
ILMN_1696028	ETNK1
ILMN_1778523	KLF9
ILMN_1702787	SEMA4A
ILMN_1735347	MCEE
ILMN_1780132	PELI2
ILMN_1870668
ILMN_1655913	NUCB2
ILMN_1733627	NEDD4L
ILMN_1761093	B3GAT1
ILMN_1747577	ALAD
ILMN_1721762	IL18RAP
ILMN_1811632	FMO5
ILMN_1681437	DCXR
ILMN_1727805	SYNGR1
ILMN_1651498	GADD45G
ILMN_1795336	PTER
ILMN_1676003	PNOC
ILMN_1819608
ILMN_1801833	ARHGAP24
ILMN_1785095	ATP6V0E2L
ILMN_1793615	ME3
ILMN_1813544	OXCT1
ILMN_1723535	P2RY2
ILMN_1719906	HADHSC
ILMN_1777644	PIB5PA
