Symbol	Name	ProbeId	Embryo:Log2FC	Embryo:adj_p-value
Galnt9	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 9	A_51_P263290	Embryo:1.8349930421209	Embryo:1.77623899097966e-05
Tnfaip6	tumor necrosis factor alpha induced protein 6	A_51_P315785	Embryo:1.82953698633783	Embryo:0.022123353102179
Cpxm2	carboxypeptidase X 2 (M14 family)	A_51_P184006	Embryo:1.82936145060982	Embryo:0.00612310919743385
Pgap1	post-GPI attachment to proteins 1	A_52_P222981	Embryo:1.82411546127811	Embryo:0.00305826118006423
Arap2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	A_51_P241407	Embryo:1.82207907732716	Embryo:2.02521712445539e-06
Ptms	parathymosin	A_52_P571290	Embryo:1.81666120408933	Embryo:0.000204763769850205
Tgfbi	transforming growth factor, beta induced	A_51_P212754	Embryo:1.81554525172978	Embryo:9.15560543023179e-05
Nell2	NEL-like 2 (chicken)	A_51_P243900	Embryo:1.80801045125089	Embryo:7.62814584913283e-08
Rab3a	RAB3A, member RAS oncogene family	A_52_P276397	Embryo:1.80559262461518	Embryo:6.9922537510214e-06
Pkia	protein kinase inhibitor, alpha	A_51_P395258	Embryo:1.80360013000906	Embryo:0.0152412939161134
Tceal3	transcription elongation factor A (SII)-like 3	A_51_P349776	Embryo:1.80141265262064	Embryo:0.00109860086967894
Smpd3	sphingomyelin phosphodiesterase 3, neutral	A_52_P478025	Embryo:1.79254236982873	Embryo:1.9785950962272e-05
Rwdd3	RWD domain containing 3	A_52_P257686	Embryo:1.79087417585197	Embryo:0.0251489677142571
Bhlhe23	basic helix-loop-helix family, member e23	A_52_P542570	Embryo:1.78293350931242	Embryo:0.00424192926881656
Pclo	piccolo (presynaptic cytomatrix protein)	A_51_P436669	Embryo:1.78192828193533	Embryo:0.00484478750885912
Napb	N-ethylmaleimide sensitive fusion protein attachment protein beta	A_51_P483690	Embryo:1.78093591550525	Embryo:0.000975134230535547
Npy	neuropeptide Y	A_51_P454873	Embryo:1.78055707577441	Embryo:0.019747388901731
Nol4	nucleolar protein 4	A_52_P167317	Embryo:1.77939558043152	Embryo:0.00591134605089782
Isl2	insulin related protein 2 (islet 2)	A_51_P334335	Embryo:1.77575103610415	Embryo:0.00766952558522882
Celsr1	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)	A_51_P440743	Embryo:1.76470409401731	Embryo:0.00482734550993842
Mfsd7c	major facilitator superfamily domain containing 7C	A_51_P386899	Embryo:1.7624892602515	Embryo:1.50278723878622e-07
Dok5	docking protein 5	A_51_P380709	Embryo:1.75982832254303	Embryo:0.0135843095295464
Sgtb	small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta	A_51_P433769	Embryo:1.75937186881871	Embryo:0.000231451308753213
Cd27	CD27 antigen	A_51_P229664	Embryo:1.7588744716919	Embryo:8.03382120328599e-05
Sat1	spermidine/spermine N1-acetyl transferase 1	A_52_P640282	Embryo:1.75478353246823	Embryo:9.7291172314386e-10
Sema3g	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G	A_52_P312102	Embryo:1.75416700445563	Embryo:1.38686677123581e-05
Sept4	septin 4	A_51_P383991	Embryo:1.74991776728901	Embryo:2.2109422042394e-08
Anxa3	annexin A3	A_51_P451032	Embryo:1.73106359399129	Embryo:2.06686092640435e-07
Ecm1	extracellular matrix protein 1	A_51_P405397	Embryo:1.73073423856423	Embryo:1.13203230305045e-06
Tcf4	transcription factor 4	A_52_P521101	Embryo:1.72323611359793	Embryo:0.0129998807546734
Cib2	calcium and integrin binding family member 2	A_51_P302823	Embryo:1.71551994592605	Embryo:0.00708061997435897
Slc5a11	solute carrier family 5 (sodium/glucose cotransporter), member 11	A_52_P271085	Embryo:1.70080982224382	Embryo:0.000670064747981676
Hey1	hairy/enhancer-of-split related with YRPW motif 1	A_51_P258409	Embryo:1.6986482245725	Embryo:9.8378535079809e-06
Rnd2	Rho family GTPase 2	A_51_P404377	Embryo:1.68999883258453	Embryo:0.00317885456678625
Lfng	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	A_51_P201226	Embryo:1.68391339139919	Embryo:0.00199661275754184
Cadm1	cell adhesion molecule 1	A_52_P116204	Embryo:1.67747399448463	Embryo:1.52546060428972e-06
Atp6v0e2	ATPase, H+ transporting, lysosomal V0 subunit E2	A_51_P212030	Embryo:1.67642166347583	Embryo:0.00628435100121576
Gpr173	G-protein coupled receptor 173	A_51_P218278	Embryo:1.66887757477851	Embryo:0.0104843174849081
C230035I16Rik	RIKEN cDNA C230035I16 gene	A_52_P338349	Embryo:1.66864295664844	Embryo:0.00954749743842792
Tuba1a	tubulin, alpha 1A	A_51_P169745	Embryo:1.66762071141294	Embryo:0.00626023985930623
Dynlrb2	dynein light chain roadblock-type 2	A_51_P227970	Embryo:1.66582540634507	Embryo:0.0385636082620863
Rimklb	ribosomal modification protein rimK-like family member B	A_52_P149017	Embryo:1.65879028158074	Embryo:0.0403014596119727
Cdkl1	cyclin-dependent kinase-like 1 (CDC2-related kinase)	A_51_P234140	Embryo:1.65470256588545	Embryo:0.00371206178044123
E130309F12Rik	RIKEN cDNA E130309F12 gene	A_51_P257541	Embryo:1.64743252843426	Embryo:0.00504482558124045
A330076H08Rik	RIKEN cDNA A330076H08 gene	A_52_P652778	Embryo:1.64439368465869	Embryo:0.0475385388610309
Car4	carbonic anhydrase 4	A_51_P407028	Embryo:1.64066365434043	Embryo:0.000378038603659055
Nmnat2	nicotinamide nucleotide adenylyltransferase 2	A_51_P223546	Embryo:1.63655542676718	Embryo:0.0498259360849841
Wdr35	WD repeat domain 35	A_52_P255268	Embryo:1.6298429431611	Embryo:0.0261677777526051
Tpbg	trophoblast glycoprotein	A_52_P591017	Embryo:1.62759588776166	Embryo:2.79062254006135e-05
Fam123c	family with sequence similarity 123, member C	A_52_P255304	Embryo:1.62465699710332	Embryo:1.42460229780617e-05
Clic6	chloride intracellular channel 6	A_52_P447284	Embryo:1.61663240208455	Embryo:0.0378932688156888
Gpr45	G protein-coupled receptor 45	A_52_P672692	Embryo:1.61536690918634	Embryo:0.00394758866087883
4933427G17Rik	RIKEN cDNA 4933427G17 gene	A_51_P258848	Embryo:1.60878429002196	Embryo:1.44389022082803e-05
Notch4	Notch gene homolog 4 (Drosophila)	A_51_P195875	Embryo:1.60540313922225	Embryo:3.70558524142091e-05
Tmem178	transmembrane protein 178	A_52_P8324	Embryo:1.59801376786468	Embryo:0.00456602769456912
Cd247	CD247 antigen	A_52_P75298	Embryo:1.59616579499795	Embryo:0.0207884212673035
Wdr47	WD repeat domain 47	A_51_P211573	Embryo:1.59545345088588	Embryo:4.32960880837075e-07
Rcor2	REST corepressor 2	A_51_P306689	Embryo:1.59232906149359	Embryo:8.57966887395583e-06
Scn3b	sodium channel, voltage-gated, type III, beta	A_51_P184340	Embryo:1.59049473493879	Embryo:0.0293939998182744
Egflam	EGF-like, fibronectin type III and laminin G domains	A_51_P208845	Embryo:1.58382122529425	Embryo:1.88311078634605e-05
Grin3b	glutamate receptor, ionotropic, NMDA3B	A_51_P397934	Embryo:1.58086133625999	Embryo:0.000383409310215092
Kcnn1	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1	A_51_P296549	Embryo:1.57452053371824	Embryo:0.0001106103982363
Ngfr	nerve growth factor receptor (TNFR superfamily, member 16)	A_52_P236448	Embryo:1.57421945718421	Embryo:0.000319180078488281
Cdh22	cadherin 22	A_51_P373573	Embryo:1.57392376083629	Embryo:1.30389272325259e-05
Bicd1	bicaudal D homolog 1 (Drosophila)	A_52_P97221	Embryo:1.57194774653658	Embryo:0.0092404585241114
Zfp663	zinc finger protein 663	A_52_P116973	Embryo:1.57028832563741	Embryo:0.00739010767958137
Mapk8ip2	mitogen-activated protein kinase 8 interacting protein 2	A_52_P370392	Embryo:1.56702455303515	Embryo:0.00026007130055102
Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	A_52_P653654	Embryo:1.56597251443606	Embryo:8.25139287490149e-05
Ppt2	palmitoyl-protein thioesterase 2	A_52_P238816	Embryo:1.55897305920047	Embryo:0.000239478790603624
Abtb2	ankyrin repeat and BTB (POZ) domain containing 2	A_51_P155196	Embryo:1.5558548708334	Embryo:0.000444494864519241
Gabrb3	gamma-aminobutyric acid (GABA) A receptor, subunit beta 3	A_52_P344138	Embryo:1.55405104236204	Embryo:0.0299073470144774
Tmem204	transmembrane protein 204	A_51_P397446	Embryo:1.55341319338023	Embryo:0.0303385830272967
Arvcf	armadillo repeat gene deleted in velo-cardio-facial syndrome	A_52_P583031	Embryo:1.54685842057327	Embryo:0.000278947587965083
Kcnk2	potassium channel, subfamily K, member 2	A_51_P487027	Embryo:1.54077631176127	Embryo:0.0138843211522505
Ankrd33b	ankyrin repeat domain 33B	A_52_P92121	Embryo:1.53711680984961	Embryo:0.000491902238571326
Sfrp1	secreted frizzled-related protein 1	A_51_P352296	Embryo:1.53337647369885	Embryo:0.0496620544666743
Gpr88	G-protein coupled receptor 88	A_51_P201873	Embryo:1.52968118867617	Embryo:0.0196887388379161
Fmnl2	formin-like 2	A_51_P222936	Embryo:1.52466020357542	Embryo:1.00247016439854e-09
Cacng4	calcium channel, voltage-dependent, gamma subunit 4	A_51_P494875	Embryo:1.52403268205937	Embryo:1.70408450911986e-05
Mmp28	matrix metallopeptidase 28 (epilysin)	A_51_P392408	Embryo:1.52176702186773	Embryo:8.63702594442436e-05
Rit2	Ras-like without CAAX 2	A_51_P277275	Embryo:1.52074410529163	Embryo:0.000372280214913441
Rbfox3	RNA binding protein, fox-1 homolog (C. elegans) 3	A_52_P666268	Embryo:1.51395643518773	Embryo:3.53366836015184e-05
Slc7a6	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6	A_51_P484289	Embryo:1.51240627349295	Embryo:0.0116358791802554
Jph3	junctophilin 3	A_51_P102459	Embryo:1.51112462256426	Embryo:7.19598796608134e-05
Fam160a1	family with sequence similarity 160, member A1	A_51_P340174	Embryo:1.50865404572125	Embryo:0.0119029826150763
Slc12a8	solute carrier family 12 (potassium/chloride transporters), member 8	A_51_P476618	Embryo:1.50561001708412	Embryo:0.00180005493136412
Nrn1	neuritin 1	A_51_P308844	Embryo:1.50401769418183	Embryo:7.71141733387876e-05
Stox2	storkhead box 2	A_51_P176231	Embryo:1.49883392975002	Embryo:0.00180842688803314
Nipal3	NIPA-like domain containing 3	A_52_P338626	Embryo:1.49617885266219	Embryo:9.45448716134262e-05
Dusp8	dual specificity phosphatase 8	A_51_P263246	Embryo:1.48947937847233	Embryo:0.0014349850413633
Tubg2	tubulin, gamma 2	A_51_P173656	Embryo:1.48877093829802	Embryo:4.48276392244967e-05
Car6	carbonic anhydrase 6	A_52_P310511	Embryo:1.47855164641044	Embryo:2.74757796139989e-05
Acpl2	acid phosphatase-like 2	A_51_P124784	Embryo:1.47714489563456	Embryo:0.000314975949565865
Slc23a2	solute carrier family 23 (nucleobase transporters), member 2	A_52_P286520	Embryo:1.47580903550466	Embryo:0.0011033383265552
Tm6sf1	transmembrane 6 superfamily member 1	A_51_P401683	Embryo:1.4730969590987	Embryo:0.000224804087599543
Irs1	insulin receptor substrate 1	A_52_P175242	Embryo:1.47277933084653	Embryo:0.0226431230059163
Dcc	deleted in colorectal carcinoma	A_52_P387334	Embryo:1.4706707167775	Embryo:0.0495019284642895
Cask	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	A_52_P610900	Embryo:1.4695939834338	Embryo:0.00473410042734742
Slc25a29	solute carrier family 25 (mitochondrial carrier, palmitoylcarnitine transporter), member 29	A_51_P288479	Embryo:1.46330476939908	Embryo:2.52956195647841e-05
Dleu7	deleted in lymphocytic leukemia, 7	A_52_P478394	Embryo:1.46315938530845	Embryo:0.039827233566772
Zfp113	zinc finger protein 113	A_52_P507890	Embryo:1.46182550250682	Embryo:0.033006177325375
Acrbp	proacrosin binding protein	A_51_P356265	Embryo:1.46132124961479	Embryo:0.0443369255712056
Foxp2	forkhead box P2	A_52_P56818	Embryo:1.45917746070027	Embryo:0.00223193743490399
Tspan13	tetraspanin 13	A_51_P256246	Embryo:1.45674592254884	Embryo:3.0035895326517e-06
Kif21b	kinesin family member 21B	A_52_P282500	Embryo:1.45663344389709	Embryo:0.00183620912698226
4930506M07Rik	RIKEN cDNA 4930506M07 gene	A_51_P200561	Embryo:1.45199897441318	Embryo:0.000640027841531986
Cntfr	ciliary neurotrophic factor receptor	A_51_P184184	Embryo:1.45157395745776	Embryo:0.000825856327341162
Cacng1	calcium channel, voltage-dependent, gamma subunit 1	A_51_P210286	Embryo:1.45080608225875	Embryo:0.0146114344436654
4931428F04Rik	RIKEN cDNA 4931428F04 gene	A_52_P222096	Embryo:1.44746758472576	Embryo:0.00503578981066246
Myt1	myelin transcription factor 1	A_51_P407480	Embryo:1.44487379049356	Embryo:0.0072496156707575
Rab6b	RAB6B, member RAS oncogene family	A_52_P11441	Embryo:1.44432668018062	Embryo:0.000313288912665046
Trp53inp2	transformation related protein 53 inducible nuclear protein 2	A_51_P228354	Embryo:1.4419219589883	Embryo:2.06475617053622e-07
Rbmx	RNA binding motif protein, X chromosome	A_52_P195772	Embryo:1.43482437914045	Embryo:1.22840644999643e-05
4930414L22Rik	RIKEN cDNA 4930414L22 gene	A_51_P406126	Embryo:1.43320771259372	Embryo:2.61762896637849e-06
Thbs3	thrombospondin 3	A_51_P267053	Embryo:1.42312559444826	Embryo:0.00722249390822986
Gadd45b	growth arrest and DNA-damage-inducible 45 beta	A_51_P500984	Embryo:1.42083935780269	Embryo:0.000686711870203
Ptprs	protein tyrosine phosphatase, receptor type, S	A_51_P419726	Embryo:1.41799962491138	Embryo:8.90376666188562e-05
Zkscan4	zinc finger with KRAB and SCAN domains 4	A_51_P340805	Embryo:1.41566756855628	Embryo:0.00431437238072532
Igsf8	immunoglobulin superfamily, member 8	A_51_P442788	Embryo:1.41475331513087	Embryo:5.65591283714125e-08
Sec14l2	SEC14-like 2 (S. cerevisiae)	A_52_P488427	Embryo:1.41146417513097	Embryo:0.000950682820110542
Tmem219	transmembrane protein 219	A_52_P225466	Embryo:1.40808219153739	Embryo:0.000399999827596976
Brf2	BRF2, subunit of RNA polymerase III transcription initiation factor, BRF1-like	A_52_P458853	Embryo:1.40729858827264	Embryo:0.0229608316361606
Isl1	ISL1 transcription factor, LIM/homeodomain	A_52_P337246	Embryo:1.40705579642292	Embryo:0.0289530347873914
Lix1	limb expression 1 homolog (chicken)	A_52_P329443	Embryo:1.39346005557672	Embryo:0.0291247238062872
Dapl1	death associated protein-like 1	A_51_P391955	Embryo:1.38963941880376	Embryo:0.0366966708703806
Sipa1l2	signal-induced proliferation-associated 1 like 2	A_52_P26318	Embryo:1.38413319143401	Embryo:1.50913119462485e-05
Pogz	pogo transposable element with ZNF domain	A_52_P779056	Embryo:1.3780141087186	Embryo:0.0242512846386184
Copg2as2	coatomer protein complex, subunit gamma 2, antisense 2	A_52_P383754	Embryo:1.37539566985931	Embryo:0.0370150424779231
C1qtnf5	C1q and tumor necrosis factor related protein 5	A_52_P121192	Embryo:1.37413021778104	Embryo:0.0298432098265402
Dock9	dedicator of cytokinesis 9	A_51_P259876	Embryo:1.37270200047831	Embryo:8.81812494298182e-07
4933436C20Rik	RIKEN cDNA 4933436C20 gene	A_51_P378381	Embryo:1.3708190521715	Embryo:0.0247980101015565
Tmem229b	transmembrane protein 229B	A_52_P220783	Embryo:1.36493180413631	Embryo:2.43660337870702e-06
Stk36	serine/threonine kinase 36 (fused homolog, Drosophila)	A_51_P487157	Embryo:1.36218777771467	Embryo:0.0335315981987849
4922501L14Rik	RIKEN cDNA 4922501L14 gene	A_51_P189358	Embryo:1.36060763007431	Embryo:0.0441630474097771
Reep2	receptor accessory protein 2	A_52_P125467	Embryo:1.36056347309284	Embryo:0.00179915933397007
Atp13a2	ATPase type 13A2	A_51_P507942	Embryo:1.35854327068579	Embryo:1.20844934986176e-06
Prkcz	protein kinase C, zeta	A_52_P284889	Embryo:1.35756471983353	Embryo:0.0190288232979751
Baiap2	brain-specific angiogenesis inhibitor 1-associated protein 2	A_52_P290202	Embryo:1.35719833628642	Embryo:6.70090365495274e-06
Kcnq1	potassium voltage-gated channel, subfamily Q, member 1	A_51_P194883	Embryo:1.3552223458578	Embryo:9.36438277122848e-06
Rnf208	ring finger protein 208	A_51_P217123	Embryo:1.35329190597144	Embryo:6.56022522014716e-06
Pmaip1	phorbol-12-myristate-13-acetate-induced protein 1	A_51_P477121	Embryo:1.3527303418834	Embryo:0.00359756675358531
Tmem150c	transmembrane protein 150C	A_52_P172201	Embryo:1.35182158926705	Embryo:0.0452757412521348
Rundc3b	RUN domain containing 3B	A_52_P619192	Embryo:1.35097761671494	Embryo:0.0345175632604506
BC029214	cDNA sequence BC029214	A_52_P521042	Embryo:1.35071832857847	Embryo:0.00069528589093727
Gabrg2	gamma-aminobutyric acid (GABA) A receptor, subunit gamma 2	A_51_P202084	Embryo:1.3505212169808	Embryo:0.00136342544704849
Mfap2	microfibrillar-associated protein 2	A_52_P28379	Embryo:1.34218317265182	Embryo:0.00117336587077846
Plk3	polo-like kinase 3 (Drosophila)	A_51_P375201	Embryo:1.34087343751944	Embryo:0.00029843006935439
Rhoc	ras homolog gene family, member C	A_51_P282508	Embryo:1.33667097625292	Embryo:1.11302795535386e-05
Golga7b	golgi autoantigen, golgin subfamily a, 7B	A_51_P337110	Embryo:1.33333974630809	Embryo:4.5027159887524e-06
1500016L03Rik	RIKEN cDNA 1500016L03 gene	A_52_P698715	Embryo:1.32690608993836	Embryo:0.012547321509938
Pogk	pogo transposable element with KRAB domain	A_51_P440242	Embryo:1.32674128297057	Embryo:0.0382738278848197
Rusc2	RUN and SH3 domain containing 2	A_51_P319572	Embryo:1.32625066049033	Embryo:1.31024136115582e-05
Scube1	signal peptide, CUB domain, EGF-like 1	A_51_P447595	Embryo:1.32298814524353	Embryo:0.0115890955052595
Nnat	neuronatin	A_52_P484956	Embryo:1.32249940016855	Embryo:0.00207981996325501
Celsr3	cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila)	A_51_P507065	Embryo:1.32214621797491	Embryo:0.00491648609509023
Ucp1	uncoupling protein 1 (mitochondrial, proton carrier)	A_51_P426353	Embryo:1.32027551838803	Embryo:0.0391276176660628
Vps37d	vacuolar protein sorting 37D (yeast)	A_52_P401629	Embryo:1.3202728708063	Embryo:7.1267380798524e-06
Celsr2	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)	A_52_P360515	Embryo:1.31919867175629	Embryo:0.0326717778828307
Tspan12	tetraspanin 12	A_51_P374707	Embryo:1.31591326078297	Embryo:9.72804276689885e-06
Nol3	nucleolar protein 3 (apoptosis repressor with CARD domain)	A_51_P273170	Embryo:1.31377306038729	Embryo:0.0316879754787618
Jup	junction plakoglobin	A_52_P401386	Embryo:1.31364252978153	Embryo:0.012111553970289
5530400B01Rik	RIKEN cDNA 5530400B01 gene	A_51_P114314	Embryo:1.31151020629577	Embryo:0.00205894262236813
Tac1	tachykinin 1	A_51_P216456	Embryo:1.30960281022631	Embryo:0.0369538932198626
Prex1	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1	A_51_P348372	Embryo:1.30389597655888	Embryo:0.000128163667356471
St6galnac4	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4	A_52_P449104	Embryo:1.30238212311948	Embryo:0.000257302551607336
Gck	glucokinase	A_52_P259537	Embryo:1.30129773998418	Embryo:0.0163790118268234
Gdpd1	glycerophosphodiester phosphodiesterase domain containing 1	A_52_P236088	Embryo:1.3008738665089	Embryo:0.000355069399840529
Pcdhb13	protocadherin beta 13	A_52_P204809	Embryo:1.30005278957987	Embryo:0.0325078780606683
Akt3	thymoma viral proto-oncogene 3	A_52_P130835	Embryo:1.29089265350327	Embryo:1.03535583801431e-05
Mxra7	matrix-remodelling associated 7	A_51_P356579	Embryo:1.29068459176396	Embryo:0.0287564968423072
Zdhhc1	zinc finger, DHHC domain containing 1	A_52_P558368	Embryo:1.29054128255452	Embryo:5.22783363585634e-06
Sbk1	SH3-binding kinase 1	A_51_P498388	Embryo:1.28854863403985	Embryo:4.58044705240715e-05
Slc44a1	solute carrier family 44, member 1	A_52_P84901	Embryo:1.28572200476012	Embryo:0.000128163667356471
Trib2	tribbles homolog 2 (Drosophila)	A_51_P103819	Embryo:1.28087369730508	Embryo:0.00613008225988423
Ccdc92	coiled-coil domain containing 92	A_52_P349356	Embryo:1.2755398619423	Embryo:0.00488924781923556
Rgs9	regulator of G-protein signaling 9	A_51_P371034	Embryo:1.27195794709613	Embryo:0.000417113309498755
Skil	SKI-like	A_52_P597461	Embryo:1.27109668301555	Embryo:0.0436892913132782
Htr3a	5-hydroxytryptamine (serotonin) receptor 3A	A_51_P175988	Embryo:1.26945872035892	Embryo:0.0322488244604371
Fstl5	follistatin-like 5	A_51_P296015	Embryo:1.26505886045988	Embryo:0.000212147222640117
E130112N10Rik	RIKEN cDNA E130112N10 gene	A_52_P126394	Embryo:1.26423889387671	Embryo:0.0304236179071796
Asphd1	aspartate beta-hydroxylase domain containing 1	A_52_P411274	Embryo:1.26323650142499	Embryo:0.000732507158952737
Plekha5	pleckstrin homology domain containing, family A member 5	A_52_P587054	Embryo:1.25995116643855	Embryo:0.0479580927026896
Ss18l1	synovial sarcoma translocation gene on chromosome 18-like 1	A_52_P612537	Embryo:1.25767533639622	Embryo:0.0217120292660938
Slc12a7	solute carrier family 12, member 7	A_51_P421734	Embryo:1.25369619343879	Embryo:2.09860232281683e-06
A230057D06Rik	RIKEN cDNA A230057D06 gene	A_52_P62775	Embryo:1.25354435990748	Embryo:0.0453742928946709
Agap3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	A_51_P410112	Embryo:1.25350948616413	Embryo:0.000209069197891594
Tspan17	tetraspanin 17	A_52_P366980	Embryo:1.25029791974354	Embryo:0.000109590191980624
Gpc1	glypican 1	A_51_P276943	Embryo:1.23367415619902	Embryo:0.00110054870879162
Tecpr1	tectonin beta-propeller repeat containing 1	A_51_P240693	Embryo:1.23186000518468	Embryo:0.00922811963143552
Zfp428	zinc finger protein 428	A_51_P181623	Embryo:1.23093194883141	Embryo:0.00129095812167702
Cd97	CD97 antigen	A_51_P366542	Embryo:1.23029722051447	Embryo:1.266745853342e-05
Mboat2	membrane bound O-acyltransferase domain containing 2	A_51_P433281	Embryo:1.22919345248319	Embryo:0.00118535890046416
Dock4	dedicator of cytokinesis 4	A_52_P293248	Embryo:1.22679054471365	Embryo:0.0322488244604371
Lrrc18	leucine rich repeat containing 18	A_51_P418434	Embryo:1.22675393502945	Embryo:0.0376598508392764
Gdpd5	glycerophosphodiester phosphodiesterase domain containing 5	A_51_P468464	Embryo:1.22011951910041	Embryo:0.000151895183672459
Pdxp	pyridoxal (pyridoxine, vitamin B6) phosphatase	A_52_P609120	Embryo:1.21761980533377	Embryo:7.64052409790176e-05
Zfp2	zinc finger protein 2	A_51_P107991	Embryo:1.21710931535562	Embryo:0.00305962310289803
Gramd1a	GRAM domain containing 1A	A_51_P312885	Embryo:1.21565822789739	Embryo:0.000507955098166782
Cxx1c	CAAX box 1 homolog C (human)	A_51_P285756	Embryo:1.21560377804255	Embryo:0.00136151733358101
Mmp17	matrix metallopeptidase 17	A_51_P508775	Embryo:1.2138454794346	Embryo:0.0229730075395023
Fkbp10	FK506 binding protein 10	A_51_P216965	Embryo:1.21020965866929	Embryo:0.000234737664866449
Fhod3	formin homology 2 domain containing 3	A_52_P326548	Embryo:1.20656192345302	Embryo:0.0110542066177378
Lpar1	lysophosphatidic acid receptor 1	A_52_P507802	Embryo:1.20459301202593	Embryo:0.00368755674000717
D18Ertd653e	DNA segment, Chr 18, ERATO Doi 653, expressed	A_52_P20977	Embryo:1.20443333831382	Embryo:0.000497461141031336
Stap2	signal transducing adaptor family member 2	A_51_P388847	Embryo:1.20327511629741	Embryo:3.20547969516076e-06
Map3k14	mitogen-activated protein kinase kinase kinase 14	A_52_P364130	Embryo:1.19913022448871	Embryo:0.00425069026948925
Ankrd42	ankyrin repeat domain 42	A_51_P442206	Embryo:1.19002941435699	Embryo:0.00919398995257809
Ckmt1	creatine kinase, mitochondrial 1, ubiquitous	A_51_P495049	Embryo:1.18593140099204	Embryo:0.0415153917303661
Ip6k3	inositol hexaphosphate kinase 3	A_51_P163238	Embryo:1.18402033593321	Embryo:0.00462494480640192
Zfp580	zinc finger protein 580	A_51_P353882	Embryo:1.18180978597657	Embryo:0.0001544623457811
Trnp1	TMF1-regulated nuclear protein 1	A_52_P391624	Embryo:1.1817035007117	Embryo:0.000254940596178468
Entpd1	ectonucleoside triphosphate diphosphohydrolase 1	A_52_P21835	Embryo:1.17829079017226	Embryo:0.00146580716125891
Leprotl1	leptin receptor overlapping transcript-like 1	A_52_P395220	Embryo:1.17639610646352	Embryo:0.000105731299789489
Nfix	nuclear factor I/X	A_51_P478598	Embryo:1.17437839660021	Embryo:0.00397276336247771
Ppdpf	pancreatic progenitor cell differentiation and proliferation factor homolog (zebrafish)RIKEN cDNA 2700038C09 gene	A_51_P299266	Embryo:1.17275394182287	Embryo:6.98784844853919e-06
D830039M14Rik	RIKEN cDNA D830039M14 gene	A_52_P635097	Embryo:1.17251102134647	Embryo:0.00451217892053844
Trf	transferrin	A_51_P362638	Embryo:1.17192429875583	Embryo:0.00390973932688018
Cdh13	cadherin 13	A_51_P114826	Embryo:1.16885337482326	Embryo:0.0354932957592363
Chac1	ChaC, cation transport regulator-like 1 (E. coli)	A_51_P134812	Embryo:1.16734772514239	Embryo:0.0010640751576822
5930434B04Rik	RIKEN cDNA 5930434B04 gene	A_52_P284927	Embryo:1.16731421194198	Embryo:8.16768172416523e-05
Tjp3	tight junction protein 3	A_51_P234407	Embryo:1.16328831690886	Embryo:0.000314904601713468
1700037C18Rik	RIKEN cDNA 1700037C18 gene	A_52_P426682	Embryo:1.16073154967856	Embryo:0.013911637321167
Slc4a7	solute carrier family 4, sodium bicarbonate cotransporter, member 7	A_51_P279997	Embryo:1.15374913492598	Embryo:0.000537471977279963
Plac9	placenta specific 9	A_51_P215627	Embryo:1.1534722398798	Embryo:0.00366422377984226
Ypel1	yippee-like 1 (Drosophila)	A_52_P651987	Embryo:1.14948405708865	Embryo:0.000674432611653661
Socs2	suppressor of cytokine signaling 2	A_52_P84037	Embryo:1.14834644387019	Embryo:0.00184926552368362
Dnahc7c	dynein, axonemal, heavy chain 7C	A_52_P725041	Embryo:1.14496696951533	Embryo:0.0189703812773217
Pou2af1	POU domain, class 2, associating factor 1	A_51_P183581	Embryo:1.14445867901325	Embryo:0.000660786955347499
Jag1	jagged 1	A_52_P634090	Embryo:1.14164817570662	Embryo:0.000394795899945963
Cacnb3	calcium channel, voltage-dependent, beta 3 subunit	A_51_P259009	Embryo:1.14156633047012	Embryo:0.000700555780324825
Rd3	retinal degeneration 3	A_52_P20639	Embryo:1.13766953381601	Embryo:0.0105140347011028
Sox13	SRY-box containing gene 13	A_51_P520917	Embryo:1.13322565528576	Embryo:0.00109860655128327
Map1lc3a	microtubule-associated protein 1 light chain 3 alpha	A_51_P464981	Embryo:1.13267821653623	Embryo:0.000376061138036009
Apbb1	amyloid beta (A4) precursor protein-binding, family B, member 1	A_51_P344249	Embryo:1.12912986463297	Embryo:0.00220352264666365
Coro2b	coronin, actin binding protein, 2B	A_52_P538995	Embryo:1.12784362492183	Embryo:0.000279147574893261
