Fold Change	unadjusted p-value	ID	Symbol	Gene Description	Location	Type(s)
-1.149	4.77E-02	AA453202	NR1D1	nuclear receptor subfamily 1, group D, member 1	Nucleus	ligand-dependent nuclear receptor
-1.136	4.53E-02	AA699679	NR1I2	nuclear receptor subfamily 1, group I, member 2	Nucleus	ligand-dependent nuclear receptor
1.16	4.10E-02	N59115	NR5A2	nuclear receptor subfamily 5, group A, member 2	Nucleus	ligand-dependent nuclear receptor
-1.598	4.54E-03	R45977	NRBP1	nuclear receptor binding protein 1	Nucleus	kinase
-1.217	1.92E-02	N66593	NRSN1	neurensin 1	Plasma Membrane	other
-1.315	4.45E-02	AA774941	NTRK3	neurotrophic tyrosine kinase, receptor, type 3	Plasma Membrane	kinase
1.236	2.47E-02	AI653424	NUFIP1	nuclear fragile X mental retardation protein interacting protein 1	Nucleus	other
-1.286	2.34E-02	AI568716	NUP153	nucleoporin 153kDa	Nucleus	transporter
-1.419	5.19E-03	AA505118	NUP98	nucleoporin 98kDa	Nucleus	transporter
-1.264	3.09E-02	AA146773	OAS1	2,5-oligoadenylate synthetase 1, 40/46kDa	Cytoplasm	enzyme
-1.213	1.29E-02	R76782	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	Cytoplasm	enzyme
1.312	7.86E-03	AA485256	OPA1	optic atrophy 1 (autosomal dominant)	Cytoplasm	enzyme
-1.28	3.61E-02	H92758	PAIP1	poly(A) binding protein interacting protein 1	Cytoplasm	translation regulator
-1.209	2.41E-02	R33482	PAK2	p21 protein (Cdc42/Rac)-activated kinase 2	Cytoplasm	kinase
1.326	4.30E-03	R62241	PAPOLG	poly(A) polymerase gamma	Nucleus	enzyme
1.404	3.46E-02	AA682861	PARD6B	par-6 partitioning defective 6 homolog beta (C. elegans)	Plasma Membrane	other
-1.865	1.77E-02	AA489001	PARVG	parvin, gamma	Cytoplasm	other
1.278	2.52E-02	H69471	PAXIP1	PAX interacting (with transcription-activation domain) protein 1	Nucleus	other
1.238	3.28E-02	W01084	PBRM1	polybromo 1	Nucleus	other
1.512	2.03E-02	AA405769	PCK1	phosphoenolpyruvate carboxykinase 1 (soluble)	Cytoplasm	kinase
-1.191	3.57E-02	R37959	PCSK2	proprotein convertase subtilisin/kexin type 2	Extracellular Space	peptidase
-1.236	3.25E-02	R68344	PDCD10	programmed cell death 10	Cytoplasm	other
1.185	3.66E-02	N36873	PDE4B	phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)	Cytoplasm	enzyme
1.32	3.08E-02	AA878635	PDE4D	phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)	Cytoplasm	enzyme
-1.359	1.92E-02	AA293653	PEA15	phosphoprotein enriched in astrocytes 15	Cytoplasm	transporter
-1.193	2.94E-02	AA099169	PFKM	phosphofructokinase, muscle	Cytoplasm	kinase
-1.226	2.50E-02	AA055656	PHB (includes EG:5245)	prohibitin	Nucleus	transcription regulator
-1.287	3.95E-02	AA598840	PHC2	polyhomeotic homolog 2 (Drosophila)	Nucleus	other
1.531	4.04E-02	R21955	PIGC	phosphatidylinositol glycan anchor biosynthesis, class C	Cytoplasm	enzyme
-1.227	3.45E-02	AA191461	PIK3CB	phosphoinositide-3-kinase, catalytic, beta polypeptide	Cytoplasm	kinase
-1.254	1.70E-02	AA447691	PITRM1	pitrilysin metallopeptidase 1	Cytoplasm	peptidase
-1.393	1.52E-02	R48232	PKD2 (includes EG:5311)	polycystic kidney disease 2 (autosomal dominant)	Plasma Membrane	ion channel
-1.412	6.58E-03	AA704187	PLAGL2	pleiomorphic adenoma gene-like 2	Nucleus	transcription regulator
-1.237	9.14E-03	AA975847	PLCXD1	phosphatidylinositol-specific phospholipase C, X domain containing 1	Unknown	enzyme
1.531	3.90E-03	AA953747	PLS3	plastin 3 (T isoform)	Cytoplasm	other
1.287	5.51E-03	AA677465	PML	promyelocytic leukemia	Nucleus	transcription regulator
-1.395	1.18E-02	AA027042	POLR2E	polymerase (RNA) II (DNA directed) polypeptide E, 25kDa	Nucleus	enzyme
-1.404	2.85E-03	AI554561	POLR2H	polymerase (RNA) II (DNA directed) polypeptide H	Nucleus	enzyme
-1.258	2.70E-03	AA460830	POLR2J	polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa	Nucleus	enzyme
-1.381	1.96E-02	AA459392	POLR3A	polymerase (RNA) III (DNA directed) polypeptide A, 155kDa	Nucleus	enzyme
-1.177	3.83E-02	N33237	POP1	processing of precursor 1, ribonuclease P/MRP subunit (S. cerevisiae)	Nucleus	enzyme
-1.33	1.66E-02	H71217	POP7	processing of precursor 7, ribonuclease P/MRP subunit (S. cerevisiae)	Nucleus	enzyme
-1.383	4.63E-02	AA482085	POR	P450 (cytochrome) oxidoreductase	Cytoplasm	enzyme
1.223	4.81E-02	AI160166	PPIA (includes EG:5478)	peptidylprolyl isomerase A (cyclophilin A)	Cytoplasm	enzyme
-1.461	2.09E-02	AA487028	PPP1R12A	protein phosphatase 1, regulatory (inhibitor) subunit 12A	Cytoplasm	phosphatase
-1.404	2.86E-02	AA701465	PPP2R1B	protein phosphatase 2 (formerly 2A), regulatory subunit A, beta isoform	Unknown	phosphatase
1.316	2.38E-02	R74400	PPP2R3A	protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha	Nucleus	phosphatase
-1.354	8.96E-03	N54551	PPP5C	protein phosphatase 5, catalytic subunit	Nucleus	phosphatase
-1.313	2.70E-02	AA666078	PQBP1	polyglutamine binding protein 1	Nucleus	transcription regulator
-1.393	5.59E-03	H68845	PRDX2	peroxiredoxin 2	Cytoplasm	enzyme
-1.122	2.98E-02	AA634287	PRKAR2A	protein kinase, cAMP-dependent, regulatory, type II, alpha	Cytoplasm	kinase
-1.212	3.22E-02	AA005215	PRKCD	protein kinase C, delta	Cytoplasm	kinase
-1.165	2.96E-02	T57957	PRKCI	protein kinase C, iota	Cytoplasm	kinase
1.214	3.77E-02	H28082	PRKD3	protein kinase D3	Unknown	kinase
-1.229	3.84E-02	N76967	PRMT1	protein arginine methyltransferase 1	Nucleus	enzyme
-1.25	2.07E-02	AA496357	PRMT5	protein arginine methyltransferase 5	Cytoplasm	enzyme
1.221	3.38E-02	AA427927	PRPF3	PRP3 pre-mRNA processing factor 3 homolog (S. cerevisiae)	Nucleus	other
-1.525	7.88E-03	N72215	PSAP	prosaposin	Extracellular Space	other
-1.38	3.48E-02	AA282230	PSMC3	proteasome (prosome, macropain) 26S subunit, ATPase, 3	Nucleus	transcription regulator
-1.256	4.18E-02	AA464568	PSMC4	proteasome (prosome, macropain) 26S subunit, ATPase, 4	Nucleus	peptidase
-1.222	3.23E-02	AI348774	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5	Nucleus	transcription regulator
-1.458	1.43E-02	AA677517	PTBP1	polypyrimidine tract binding protein 1	Nucleus	enzyme
-1.388	2.81E-03	AA669341	PTGES3 (includes EG:10728)	prostaglandin E synthase 3 (cytosolic)	Cytoplasm	enzyme
-1.273	4.20E-03	W37306	PTH	parathyroid hormone	Extracellular Space	other
-1.128	4.96E-02	AI016085	PTPN22	protein tyrosine phosphatase, non-receptor type 22 (lymphoid)	Cytoplasm	phosphatase
-1.887	5.72E-03	AI652285	PTPN6	protein tyrosine phosphatase, non-receptor type 6	Cytoplasm	phosphatase
-1.388	1.19E-02	AA412284	PVR	poliovirus receptor	Plasma Membrane	transmembrane receptor
-1.406	1.56E-02	AA476287	RAB1B (includes EG:81876)	RAB1B, member RAS oncogene family	Cytoplasm	enzyme
-1.195	2.45E-02	H98534	RAB9A	RAB9A, member RAS oncogene family	Cytoplasm	enzyme
1.257	2.26E-02	AI214426	RAD51AP1	RAD51 associated protein 1	Nucleus	other
-1.153	3.75E-02	AA504617	RALY	RNA binding protein, autoantigenic (hnRNP-associated with lethal yellow homolog (mouse))	Nucleus	other
-1.522	8.91E-03	H98072	RANGAP1	Ran GTPase activating protein 1	Cytoplasm	other
-1.629	6.21E-04	W32660	RAP2A	RAP2A, member of RAS oncogene family	Cytoplasm	enzyme
-1.405	2.82E-04	AA419164	RARB	retinoic acid receptor, beta	Nucleus	ligand-dependent nuclear receptor
1.301	4.58E-02	AA016290	RBBP6 (includes EG:5930)	retinoblastoma binding protein 6	Nucleus	other
1.248	2.32E-02	AA995351	RBBP7	retinoblastoma binding protein 7	Nucleus	transcription regulator
-1.33	2.13E-02	R16957	RBPJ	recombination signal binding protein for immunoglobulin kappa J region	Nucleus	transcription regulator
-1.324	9.20E-03	AA699317	RBX1 (includes EG:9978)	ring-box 1	Cytoplasm	enzyme
-1.316	2.56E-02	N63150	RCOR3 (includes EG:55758)	REST corepressor 3	Nucleus	other
-1.282	1.12E-02	AA258001	RELB	v-rel reticuloendotheliosis viral oncogene homolog B	Nucleus	transcription regulator
1.673	5.36E-03	AA708786	REV3L	REV3-like, catalytic subunit of DNA polymerase zeta (yeast)	Nucleus	enzyme
-1.286	2.80E-02	AA443939	RFC3	replication factor C (activator 1) 3, 38kDa	Nucleus	enzyme
-1.202	2.10E-02	AA041406	RFWD2 (includes EG:64326)	ring finger and WD repeat domain 2	Cytoplasm	other
-1.307	8.14E-03	N64604	RNASEN	ribonuclease type III, nuclear	Nucleus	enzyme
1.848	3.18E-02	AI277348	RND3	Rho family GTPase 3	Cytoplasm	enzyme
1.267	3.46E-02	AA644221	RNF123 (includes EG:63891)	ring finger protein 123	Unknown	other
-1.298	2.81E-02	AI000294	RNF7	ring finger protein 7	Nucleus	other
-1.223	1.35E-02	R39861	RPA2	replication protein A2, 32kDa	Nucleus	other
1.413	3.84E-02	AI242316	RPL10	ribosomal protein L10	Cytoplasm	other
-1.413	1.16E-02	AA775874	RPL18	ribosomal protein L18	Cytoplasm	other
-1.492	4.50E-03	AA464034	RPL21 (includes EG:6144)	ribosomal protein L21	Cytoplasm	other
-1.309	1.24E-02	AA669359	RPL36AL	ribosomal protein L36a-like	Cytoplasm	other
-1.328	2.71E-02	H23421	RPL7A (includes EG:6130)	ribosomal protein L7a	Cytoplasm	other
-1.273	3.97E-02	AA629641	RPS13	ribosomal protein S13	Cytoplasm	other
-1.368	1.24E-02	N91584	RPS6	ribosomal protein S6	Cytoplasm	other
-1.26	1.74E-02	AA452753	RPS6KA1	ribosomal protein S6 kinase, 90kDa, polypeptide 1	Cytoplasm	kinase
-1.356	1.99E-02	AA454193	RYBP	RING1 and YY1 binding protein	Nucleus	transcription regulator
1.189	4.14E-02	T77810	RYK	RYK receptor-like tyrosine kinase	Plasma Membrane	kinase
-1.42	4.37E-02	AA464731	S100A11	S100 calcium binding protein A11	Cytoplasm	other
-1.464	3.17E-02	R32952	S100P	S100 calcium binding protein P	Cytoplasm	other
-1.31	1.76E-03	H67016	SECISBP2	SECIS binding protein 2	Cytoplasm	translation regulator
-1.342	1.88E-02	AA970766	SELS	selenoprotein S	Cytoplasm	other
1.376	1.47E-02	AA156247	SERPINB9	serpin peptidase inhibitor, clade B (ovalbumin), member 9	Cytoplasm	other
-1.315	1.07E-02	H94475	SERPINF2	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2	Extracellular Space	other
1.317	3.97E-03	AA481024	TRA2B	transformer 2 beta homolog (Drosophila)	Nucleus	other
-2.017	6.65E-03	AA972350	SFTPB	surfactant protein B	Extracellular Space	other
1.31	9.39E-03	R45567	SGTB	small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta	Unknown	other
1.209	4.93E-02	R39014	SHC4	SHC (Src homology 2 domain containing) family, member 4	Cytoplasm	other
1.357	7.70E-03	N26026	SIP1	survival of motor neuron protein interacting protein 1	Nucleus	other
-1.376	7.17E-03	AA935564	SIRT7	sirtuin (silent mating type information regulation 2 homolog) 7 (S. cerevisiae)	Nucleus	enzyme
1.21	9.37E-03	AA448182	SLC25A19	solute carrier family 25 (mitochondrial thiamine pyrophosphate carrier), member 19	Cytoplasm	transporter
-1.419	1.17E-02	AA663439	SLC25A6	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6	Cytoplasm	transporter
1.26	3.09E-02	AA599108	SLC26A6	solute carrier family 26, member 6	Cytoplasm	transporter
-1.415	2.15E-02	R17667	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1	Plasma Membrane	transporter
-1.242	9.04E-03	AA875959	SLC2A11	solute carrier family 2 (facilitated glucose transporter), member 11	Plasma Membrane	other
-1.652	2.45E-02	AA709410	SLC39A8	solute carrier family 39 (zinc transporter), member 8	Extracellular Space	transporter
-1.366	1.81E-02	AI361349	SLC43A3	solute carrier family 43, member 3	Extracellular Space	other
-1.335	1.67E-02	AA425299	SLC9A3R1	solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1	Plasma Membrane	other
-1.336	1.16E-02	R38708	SLCO3A1	solute carrier organic anion transporter family, member 3A1	Plasma Membrane	transporter
-1.224	2.20E-02	AA130592	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	Nucleus	other
-1.251	3.56E-02	AA133216	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	Nucleus	transcription regulator
1.68	2.78E-02	AA214392	SMC2	structural maintenance of chromosomes 2	Nucleus	transporter
-1.198	5.04E-03	AA680132	SMPD2	sphingomyelin phosphodiesterase 2, neutral membrane (neutral sphingomyelinase)	Cytoplasm	enzyme
1.521	9.18E-03	AA292087	SMURF1	SMAD specific E3 ubiquitin protein ligase 1	Cytoplasm	enzyme
1.486	3.74E-03	AI369312	SNAPC4	small nuclear RNA activating complex, polypeptide 4, 190kDa	Nucleus	transcription regulator
-1.576	3.22E-03	AI682350	SNRPA	small nuclear ribonucleoprotein polypeptide A	Nucleus	other
1.284	3.15E-03	AA676874	SNRPD3	small nuclear ribonucleoprotein D3 polypeptide 18kDa	Nucleus	other
-1.32	2.07E-02	AA599127	SOD1	superoxide dismutase 1, soluble	Cytoplasm	enzyme
1.16	4.63E-02	H64324	SOS1	son of sevenless homolog 1 (Drosophila)	Cytoplasm	other
1.287	4.49E-03	AA447553	SP1	Sp1 transcription factor	Nucleus	transcription regulator
1.2	1.38E-02	H99768	SP3	Sp3 transcription factor	Nucleus	transcription regulator
1.358	2.26E-02	AA953973	SPG20	spastic paraplegia 20 (Troyer syndrome)	Cytoplasm	other
-1.496	4.41E-03	AA459039	SPINT2	serine peptidase inhibitor, Kunitz type, 2	Extracellular Space	other
-1.68	4.35E-04	AA922313	SPTBN1	spectrin, beta, non-erythrocytic 1	Plasma Membrane	other
-1.167	2.09E-02	H30688	SPTBN2	spectrin, beta, non-erythrocytic 2	Cytoplasm	other
1.258	2.28E-02	AA425823	SREBF1	sterol regulatory element binding transcription factor 1	Nucleus	transcription regulator
-1.217	2.10E-02	H29484	SSB	Sjogren syndrome antigen B (autoantigen La)	Nucleus	enzyme
-1.29	2.18E-03	H65676	ST13	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)	Cytoplasm	other
-1.289	6.52E-03	AA489246	ST14	suppression of tumorigenicity 14 (colon carcinoma)	Plasma Membrane	peptidase
-1.255	3.23E-03	H95343	STAP2	signal transducing adaptor family member 2	Cytoplasm	other
-1.44	2.11E-02	AA495818	STEAP3	STEAP family member 3	Cytoplasm	transporter
-1.372	1.65E-02	AA044263	STK10	serine/threonine kinase 10	Cytoplasm	kinase
1.384	4.52E-03	H98683	STK4	serine/threonine kinase 4	Cytoplasm	kinase
1.353	4.30E-03	AI081274	STRN3	striatin, calmodulin binding protein 3	Nucleus	other
-1.454	1.96E-02	AA775749	STUB1	STIP1 homology and U-box containing protein 1	Cytoplasm	enzyme
1.554	1.79E-03	AA057371	STX16	syntaxin 16	Cytoplasm	transporter
-1.132	4.57E-02	AI339089	STX6	syntaxin 6	Cytoplasm	transporter
-1.414	2.13E-02	T98542	SUPT3H (includes EG:8464)	suppressor of Ty 3 homolog (S. cerevisiae)	Nucleus	transcription regulator
1.282	1.29E-02	AI360840	SWAP70	SWAP switching B-cell complex 70kDa subunit	Cytoplasm	other
-1.383	1.67E-03	AA036649	TAF7	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa	Nucleus	transcription regulator
-1.543	1.45E-03	AA955007	TALDO1	transaldolase 1	Cytoplasm	enzyme
-1.25	4.85E-02	AA487637	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	Cytoplasm	transporter
-1.23	3.70E-02	AA436409	TARBP2	TAR (HIV-1) RNA binding protein 2	Nucleus	other
-1.296	2.38E-02	AA701075	TBX3	T-box 3	Nucleus	transcription regulator
-1.235	7.86E-03	AA938573	TBXAS1	thromboxane A synthase 1 (platelet)	Plasma Membrane	enzyme
1.166	4.42E-02	N35493	TCERG1	transcription elongation regulator 1	Nucleus	transcription regulator
-1.408	1.43E-02	AA026102	TCF3	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	Nucleus	transcription regulator
1.222	6.53E-03	R05930	TCF7L2 (includes EG:6934)	transcription factor 7-like 2 (T-cell specific, HMG-box)	Nucleus	transcription regulator
1.219	2.59E-02	H02848	TEK	TEK tyrosine kinase, endothelial	Plasma Membrane	kinase
-1.559	4.46E-02	AI343840	TERF2	telomeric repeat binding factor 2	Nucleus	other
1.547	3.75E-03	N63770	TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	Nucleus	transcription regulator
-1.314	2.28E-02	AA156966	TIMM50	translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae)	Cytoplasm	phosphatase
-1.534	2.74E-02	AA778098	TK1	thymidine kinase 1, soluble	Cytoplasm	kinase
-1.428	2.51E-02	AI268473	TLE1	transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)	Nucleus	transcription regulator
-1.377	5.45E-03	AA489314	TMED9	transmembrane emp24 protein transport domain containing 9	Cytoplasm	transporter
1.25	3.74E-02	AA917468	TNFAIP6	tumor necrosis factor, alpha-induced protein 6	Extracellular Space	other
-1.293	1.41E-02	AI203419	TNFRSF8	tumor necrosis factor receptor superfamily, member 8	Plasma Membrane	transmembrane receptor
-1.355	7.00E-04	N70734	TNNT2	troponin T type 2 (cardiac)	Cytoplasm	other
1.259	1.05E-02	T96523	TOP2A	topoisomerase (DNA) II alpha 170kDa	Nucleus	enzyme
-1.281	3.91E-02	AA708793	TP53TG1	TP53 target 1 (non-protein coding)	Unknown	other
-1.489	2.56E-02	AA663983	TPI1	triosephosphate isomerase 1	Cytoplasm	enzyme
1.391	6.00E-03	AA490210	TPM1	tropomyosin 1 (alpha)	Cytoplasm	other
1.216	3.51E-02	H45295	TPPP	tubulin polymerization promoting protein	Cytoplasm	other
1.276	1.00E-02	AA916906	TRADD	TNFRSF1A-associated via death domain	Cytoplasm	other
-1.278	2.07E-02	AA504259	TRAF3	TNF receptor-associated factor 3	Cytoplasm	other
-1.376	1.32E-03	AA279658	TREX1 (includes EG:11277)	three prime repair exonuclease 1	Nucleus	enzyme
-1.339	2.88E-02	AA663435	TRIM28	tripartite motif-containing 28	Nucleus	transcription regulator
1.328	4.46E-02	AA504459	TRRAP	transformation/transcription domain-associated protein	Nucleus	transcription regulator
-1.204	4.69E-03	AA670215	TSG101	tumor susceptibility gene 101	Nucleus	transcription regulator
1.266	2.52E-03	AA045698	TSPAN8	tetraspanin 8	Plasma Membrane	other
-1.515	1.40E-02	AI000256	TUBB2C	tubulin, beta 2C	Cytoplasm	other
1.427	3.16E-02	AI220198	TWIST1	twist homolog 1 (Drosophila)	Nucleus	transcription regulator
-1.451	1.14E-02	AI382562	TXLNA (includes EG:200081)	taxilin alpha	Extracellular Space	cytokine
-1.234	3.66E-02	AA448694	U2AF1	U2 small nuclear RNA auxiliary factor 1	Nucleus	other
-1.224	4.23E-02	AA431869	UBE2D2	ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast)	Cytoplasm	enzyme
-1.212	2.41E-02	AA490124	UBE2N	ubiquitin-conjugating enzyme E2N (UBC13 homolog, yeast)	Cytoplasm	enzyme
-1.733	8.24E-03	AA192553	UCP3	uncoupling protein 3 (mitochondrial, proton carrier)	Cytoplasm	transporter
-1.226	4.27E-02	AA447731	UCRC	ubiquinol-cytochrome c reductase complex (7.2 kD)	Cytoplasm	enzyme
-1.277	8.74E-03	AA448184	UQCRFS1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	Cytoplasm	enzyme
-1.324	2.40E-03	AA626356	USP18	ubiquitin specific peptidase 18	Cytoplasm	peptidase
1.265	3.27E-02	AA465536	USP5	ubiquitin specific peptidase 5 (isopeptidase T)	Cytoplasm	peptidase
-1.257	2.87E-02	AA281057	USP6NL	USP6 N-terminal like	Plasma Membrane	other
-1.49	3.04E-03	AA486016	VAMP3	vesicle-associated membrane protein 3 (cellubrevin)	Plasma Membrane	other
-1.227	2.04E-03	AA426341	VBP1	von Hippel-Lindau binding protein 1	Cytoplasm	other
1.234	1.18E-02	AA421037	MAVS	mitochondrial antiviral signaling protein	Cytoplasm	other
-1.177	3.33E-02	AA130669	WBP11	WW domain binding protein 11	Nucleus	phosphatase
-1.252	3.39E-02	H17638	WDR46	WD repeat domain 46	Nucleus	enzyme
-1.507	1.57E-03	AA922800	WISP1	WNT1 inducible signaling pathway protein 1	Extracellular Space	other
-1.393	8.22E-03	AA434160	WNT4	wingless-type MMTV integration site family, member 4	Extracellular Space	other
1.247	3.68E-02	AI277125	WRN (includes EG:7486)	Werner syndrome, RecQ helicase-like	Nucleus	enzyme
1.541	2.85E-03	H72625	WTAP	Wilms tumor 1 associated protein	Nucleus	other
1.257	3.92E-02	AA128041	WWOX	WW domain containing oxidoreductase	Cytoplasm	enzyme
-1.258	2.71E-02	AA394240	XBP1	X-box binding protein 1	Nucleus	transcription regulator
-1.352	2.24E-02	AA486311	XRCC6	X-ray repair complementing defective repair in Chinese hamster cells 6	Nucleus	enzyme
-1.531	7.03E-03	AI475643	ZBTB7B	zinc finger and BTB domain containing 7B	Nucleus	transcription regulator
-1.28	4.44E-02	AA406078	ZEB1	zinc finger E-box binding homeobox 1	Nucleus	transcription regulator
-1.286	3.88E-02	N45100	ZEB2	zinc finger E-box binding homeobox 2	Nucleus	transcription regulator
1.424	2.59E-02	AI280024	ZMYM2	zinc finger, MYM-type 2	Nucleus	other
1.334	3.51E-02	AA910181	ZNF143	zinc finger protein 143	Nucleus	transcription regulator
-1.267	1.41E-02	N26148	ZNF148	zinc finger protein 148	Nucleus	transcription regulator
1.59	2.46E-03	N91958	ZNF516	zinc finger protein 516	Nucleus	other
-1.32	4.39E-02	AA599145	ZW10	ZW10, kinetochore associated, homolog (Drosophila)	Nucleus	other
