Symbol	Name	ProbeId	Adult:Log2FC	Adult:adj_p-value
Gprc5b	G protein-coupled receptor, family C, group 5, member B	A_51_P173709	Adult:1.46017130641536	Adult:8.4403644403649e-06
Ntn3	netrin 3	A_52_P505192	Adult:1.45500149223512	Adult:0.000844717754766376
D030063E12	hypothetical protein D030063E12	A_52_P215387	Adult:1.45330333901	Adult:0.000241201675754836
Ccdc90a	coiled-coil domain containing 90A	A_51_P308681	Adult:1.45297526095612	Adult:0.00023800009959202
Amz1	archaelysin family metallopeptidase 1	A_51_P114634	Adult:1.45038248423553	Adult:4.06135634079624e-06
Esrp2	epithelial splicing regulatory protein 2	A_51_P296517	Adult:1.44375375153519	Adult:0.000623335299806721
4930518F22Rik	RIKEN cDNA 4930518F22 gene	A_52_P619851	Adult:1.44213794630296	Adult:0.0359080474975592
9430091E24Rik	RIKEN cDNA 9430091E24 gene	A_52_P413976	Adult:1.44104529086636	Adult:0.0352496318108051
Txndc15	thioredoxin domain containing 15	A_52_P465964	Adult:1.44039065776171	Adult:0.0412627024611652
Dcaf6	DDB1 and CUL4 associated factor 6	A_51_P140797	Adult:1.43842330815607	Adult:0.00667132311157447
Cabyr	calcium-binding tyrosine-(Y)-phosphorylation regulated (fibrousheathin 2)	A_52_P223646	Adult:1.43608226282473	Adult:0.00628093875555609
Nudt14	nudix (nucleoside diphosphate linked moiety X)-type motif 14	A_51_P155073	Adult:1.42347446630775	Adult:2.41619451676634e-05
Map3k1	mitogen-activated protein kinase kinase kinase 1	A_51_P402193	Adult:1.42213046315033	Adult:7.80579904925047e-08
Hadha	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit	A_52_P658044	Adult:1.41902164604151	Adult:0.0179941861347419
Mybph	myosin binding protein H	A_51_P137121	Adult:1.41894664672141	Adult:0.00787709079755389
Unc119b	unc-119 homolog B (C. elegans)	A_52_P205789	Adult:1.41860148608173	Adult:1.40678401976348e-05
Eif3d	eukaryotic translation initiation factor 3, subunit D	A_52_P425237	Adult:1.41547339954407	Adult:0.000896201029149435
Wdr25	WD repeat domain 25	A_52_P345078	Adult:1.41525021813588	Adult:0.000351183624479859
Npy1r	neuropeptide Y receptor Y1	A_51_P336282	Adult:1.41524396117325	Adult:0.0445117963827189
Pcmtd1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	A_52_P371175	Adult:1.41518101051925	Adult:0.0303453274307646
Cwc15	CWC15 homolog (S. cerevisiae)	A_52_P177217	Adult:1.4150655960566	Adult:0.000124574401917816
Brms1l	breast cancer metastasis-suppressor 1-like	A_52_P377703	Adult:1.41252662249813	Adult:0.0107596904379336
Tcf23	transcription factor 23	A_52_P300451	Adult:1.41049168247477	Adult:0.0414422899354078
A130010J15Rik	RIKEN cDNA A130010J15 gene	A_52_P139667	Adult:1.4089607542641	Adult:0.039008515767899
Hip1r	huntingtin interacting protein 1 related	A_51_P440460	Adult:1.40847915968306	Adult:0.000163195205140416
Jmjd6	jumonji domain containing 6	A_52_P428721	Adult:1.40817745679746	Adult:0.0386234227196837
Eif5a2	eukaryotic translation initiation factor 5A2	A_51_P211923	Adult:1.408001572777	Adult:0.0128078394783503
Sstr4	somatostatin receptor 4	A_52_P145628	Adult:1.40794777378917	Adult:0.00041350842931752
Slco6d1	solute carrier organic anion transporter family, member 6d1	A_51_P430718	Adult:1.40710944620149	Adult:0.0374962870949783
Mtf2	metal response element binding transcription factor 2	A_52_P106805	Adult:1.40679185999197	Adult:0.0488144442571858
Llgl1	lethal giant larvae homolog 1 (Drosophila)	A_51_P386638	Adult:1.40657173313474	Adult:1.55973220719746e-07
Pak1ip1	PAK1 interacting protein 1	A_52_P405278	Adult:1.40565674176572	Adult:0.0165423104089942
Olfr395	olfactory receptor 395	A_51_P450039	Adult:1.40530187169398	Adult:0.0237716786060749
Eif2c1	eukaryotic translation initiation factor 2C, 1	A_52_P97489	Adult:1.40518174518663	Adult:0.002712625599546
Lyl1	lymphoblastomic leukemia 1	A_51_P143190	Adult:1.40471159775899	Adult:0.000103069076848375
Nbeal2	neurobeachin-like 2	A_51_P411965	Adult:1.40397283166544	Adult:0.0170913154617574
Saa2	serum amyloid A 2	A_51_P166886	Adult:1.40215096282517	Adult:0.0129899099605915
Ang4	angiogenin, ribonuclease A family, member 4	A_51_P502906	Adult:1.40182388235651	Adult:0.000139172855245602
Vsig2	V-set and immunoglobulin domain containing 2	A_51_P160482	Adult:1.39994210809168	Adult:0.00524931551092205
Nacc2	nucleus accumbens associated 2, BEN and BTB (POZ) domain containing	A_51_P299357	Adult:1.39744323128623	Adult:0.020520833452762
Gm10033	predicted gene 10033	A_51_P223078	Adult:1.3966217792922	Adult:0.00136023376572373
Il10rb	interleukin 10 receptor, beta	A_51_P344507	Adult:1.39593331722055	Adult:0.0387359143857309
Trim65	tripartite motif-containing 65	A_52_P525249	Adult:1.39335077815069	Adult:0.000460561204523989
Ndufa11	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 11	A_52_P13436	Adult:1.38993242971483	Adult:0.000920671178568023
Oasl1	2-5 oligoadenylate synthetase-like 1	A_51_P437309	Adult:1.3886748022241	Adult:0.000558995024902316
Arl16	ADP-ribosylation factor-like 16	A_51_P298716	Adult:1.38320196703877	Adult:0.0316291284378578
Ccdc69	coiled-coil domain containing 69	A_52_P429364	Adult:1.38183186545013	Adult:4.26144876630245e-05
Atxn1	ataxin 1	A_51_P279197	Adult:1.37743755958661	Adult:0.0403777584866179
Gm527	predicted gene 527	A_52_P288750	Adult:1.37128383162566	Adult:0.000198332938634528
Kif3b	kinesin family member 3B	A_52_P293546	Adult:1.36859570525272	Adult:0.00458880141065217
Cldnd2	claudin domain containing 2	A_51_P367423	Adult:1.3599064705021	Adult:0.000193956291533046
B230208H11Rik	RIKEN cDNA B230208H11 gene	A_51_P151516	Adult:1.35718181612965	Adult:9.70776063563682e-05
Max	Max protein	A_51_P188211	Adult:1.35622392720072	Adult:0.000770947922497141
Stk38	serine/threonine kinase 38	A_52_P852457	Adult:1.34227686378405	Adult:0.0127637701124752
Pik3r3	phosphatidylinositol 3 kinase, regulatory subunit, polypeptide 3 (p55)	A_52_P607103	Adult:1.34194246742475	Adult:5.27069709121226e-06
Slc35d2	solute carrier family 35, member D2	A_52_P193191	Adult:1.34120144271447	Adult:9.33450866213949e-07
Asb2	ankyrin repeat and SOCS box-containing 2	A_51_P115715	Adult:1.34098300678146	Adult:0.0294291940828015
Zfp771	zinc finger protein 771	A_51_P409194	Adult:1.34089991586906	Adult:1.60204065243924e-05
Eras	ES cell-expressed Ras	A_52_P275649	Adult:1.33972731876551	Adult:0.0156593269868539
Lmod1	leiomodin 1 (smooth muscle)	A_51_P429567	Adult:1.33771859558576	Adult:0.000162714979164743
Trim47	tripartite motif-containing 47	A_51_P437176	Adult:1.33448806785815	Adult:8.23588624283879e-06
Fam40a	family with sequence similarity 40, member A	A_51_P381239	Adult:1.33351843231734	Adult:1.18392243429128e-05
Tbc1d1	TBC1 domain family, member 1	A_52_P402331	Adult:1.33261434604492	Adult:0.00233786789611424
Nit1	nitrilase 1	A_52_P322467	Adult:1.33247882583483	Adult:0.0130745233504409
Klhl4	kelch-like 4 (Drosophila)	A_51_P224424	Adult:1.33003518193785	Adult:0.0112191898272788
2900010M23Rik	RIKEN cDNA 2900010M23 gene	A_51_P174773	Adult:1.32814051201296	Adult:6.9367982034593e-06
Ptprt	protein tyrosine phosphatase, receptor type, T	A_51_P395373	Adult:1.32710252283333	Adult:4.42581830379537e-05
Slc22a18	solute carrier family 22 (organic cation transporter), member 18	A_51_P165882	Adult:1.32668869341068	Adult:0.00119848819800794
Zfp442	zinc finger protein 442	A_52_P471592	Adult:1.32632076329868	Adult:1.47117085869559e-05
Slc25a1	solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1	A_51_P350922	Adult:1.32625638010768	Adult:6.84428584701977e-10
Ifit1	interferon-induced protein with tetratricopeptide repeats 1	A_51_P327751	Adult:1.3239648199621	Adult:0.0236334507212197
Slc38a10	solute carrier family 38, member 10	A_52_P145914	Adult:1.32057882486257	Adult:0.0117212247896895
Nhej1	nonhomologous end-joining factor 1	A_52_P128968	Adult:1.31958625724419	Adult:0.000743358174035543
Jmjd5	jumonji domain containing 5	A_51_P371408	Adult:1.3182452800334	Adult:7.67636308232602e-05
Msrb2	methionine sulfoxide reductase B2	A_51_P464911	Adult:1.31513193239383	Adult:1.31293555767515e-08
BC048599	cDNA sequence BC048599	A_51_P100537	Adult:1.31410037397126	Adult:0.0061053872571899
Zfp882	zinc finger protein 882	A_52_P899620	Adult:1.312449970475	Adult:0.047188118186
Olfr339	olfactory receptor 339	A_51_P115535	Adult:1.3070415273683	Adult:0.00093723600347208
Cox5a	cytochrome c oxidase, subunit Va	A_51_P335900	Adult:1.3065796571807	Adult:1.56928280509003e-05
Hspbap1	Hspb associated protein 1	A_52_P43994	Adult:1.30425331466258	Adult:0.000205286947338995
Zfp783	zinc finger protein 783	A_51_P376912	Adult:1.30047073419574	Adult:0.0209416788762531
Zfp157	zinc finger protein 157	A_52_P273748	Adult:1.30044927098196	Adult:0.000177216249978862
Slitrk2	SLIT and NTRK-like family, member 2	A_51_P100052	Adult:1.29951063462267	Adult:0.0146932569930054
Rcbtb1	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1	A_52_P461807	Adult:1.29630454061842	Adult:0.00236272713934161
Nt5c2	5-nucleotidase, cytosolic II	A_51_P425696	Adult:1.29516554352743	Adult:1.16507842698907e-05
Zfp182	zinc finger protein 182	A_52_P290221	Adult:1.29324304167451	Adult:0.00109476932804053
4933427D14Rik	RIKEN cDNA 4933427D14 gene	A_52_P41014	Adult:1.29304171879965	Adult:2.6840435618733e-06
4930431P19Rik	RIKEN cDNA 4930431P19 gene	A_52_P147733	Adult:1.29219934740534	Adult:0.000386727261849366
Gtf2e1	general transcription factor II E, polypeptide 1 (alpha subunit)	A_52_P628731	Adult:1.29219675199515	Adult:0.0189539311402379
Trex1	three prime repair exonuclease 1	A_51_P400166	Adult:1.28907852320607	Adult:0.0017967333718911
Zfp108	zinc finger protein 108	A_51_P199008	Adult:1.2890688735234	Adult:0.0456674715949221
Pole4	polymerase (DNA-directed), epsilon 4 (p12 subunit)	A_51_P450924	Adult:1.28452805819639	Adult:3.32415958738088e-06
Hcfc1r1	host cell factor C1 regulator 1 (XPO1-dependent)	A_52_P582112	Adult:1.28257802423104	Adult:1.37304702175602e-05
H2afv	H2A histone family, member V	A_51_P472630	Adult:1.2813990388444	Adult:0.00671135448455594
Sez6l2	seizure related 6 homolog like 2	A_51_P369154	Adult:1.28056535899421	Adult:0.000265352559204872
Otud6b	OTU domain containing 6B	A_52_P248595	Adult:1.27697596910516	Adult:0.0193459466840842
Krt9	keratin 9	A_52_P307860	Adult:1.27448868713138	Adult:0.0235388628609727
E130303B06Rik	RIKEN cDNA E130303B06 gene	A_52_P202259	Adult:1.27260384189428	Adult:7.4435680865863e-05
Gm16381	predicted gene 16381	A_52_P13216	Adult:1.27049583694219	Adult:0.000904019605544066
3110021N24Rik	RIKEN cDNA 3110021N24 gene	A_52_P75220	Adult:1.26916887822334	Adult:0.00100541954375714
Ptafr	platelet-activating factor receptor	A_51_P292250	Adult:1.26847849977042	Adult:5.53132893087908e-07
Plcg2	phospholipase C, gamma 2	A_51_P279163	Adult:1.26754988823651	Adult:0.000236943478345914
Aspscr1	alveolar soft part sarcoma chromosome region, candidate 1 (human)	A_51_P121652	Adult:1.26706606961783	Adult:0.00058303436921341
Cdk6	cyclin-dependent kinase 6	A_52_P417489	Adult:1.26692359072305	Adult:0.00212575395816647
Aldh4a1	aldehyde dehydrogenase 4 family, member A1	A_51_P337918	Adult:1.26622833456369	Adult:1.76531371458166e-07
Xaf1	XIAP associated factor 1	A_51_P494403	Adult:1.26508060422945	Adult:0.00058144803549298
Cry1	cryptochrome 1 (photolyase-like)	A_52_P420500	Adult:1.26325517372851	Adult:0.0320803271748028
Nrd1	nardilysin, N-arginine dibasic convertase, NRD convertase 1	A_52_P51783	Adult:1.25929451277408	Adult:5.19955667733089e-06
Gspt2	G1 to S phase transition 2	A_51_P301394	Adult:1.25549796616188	Adult:0.0213696675557726
Mtrf1l	mitochondrial translational release factor 1-like	A_51_P397548	Adult:1.25217239267774	Adult:8.82638403589183e-08
Hapln2	hyaluronan and proteoglycan link protein 2	A_52_P523516	Adult:1.24913658323548	Adult:0.0465756525821764
Etf1	eukaryotic translation termination factor 1	A_52_P585350	Adult:1.24800266886521	Adult:0.0312212213618341
Cdkn1c	cyclin-dependent kinase inhibitor 1C (P57)	A_51_P339540	Adult:1.24742441179694	Adult:1.40203479250148e-07
1700021K19Rik	RIKEN cDNA 1700021K19 gene	A_52_P548755	Adult:1.24621429362882	Adult:0.0119319431597965
Siglece	sialic acid binding Ig-like lectin E	A_51_P415766	Adult:1.24569129533662	Adult:0.0449706168793238
4833405L11Rik	RIKEN cDNA 4833405L11 gene	A_52_P273906	Adult:1.24440228467476	Adult:0.0138674371701102
Pdgfa	platelet derived growth factor, alpha	A_51_P370090	Adult:1.24376280793142	Adult:0.000965859631533221
Cep78	centrosomal protein 78	A_52_P481780	Adult:1.24304972958097	Adult:0.00787707762248742
1110035H17Rik	RIKEN cDNA 1110035H17 gene	A_52_P185054	Adult:1.24276932230193	Adult:0.0404102921692384
AW554918	expressed sequence AW554918	A_52_P245415	Adult:1.24276802997412	Adult:0.000560883075311483
Trak1	trafficking protein, kinesin binding 1	A_51_P437021	Adult:1.24126282519424	Adult:4.23989438669679e-05
AK129341	cDNA sequence AK129341	A_52_P423587	Adult:1.23901647255536	Adult:0.0460217390161461
Hist1h4i	histone cluster 1, H4i	A_51_P505521	Adult:1.23607757104201	Adult:0.000655594464163024
5730480H06Rik	RIKEN cDNA 5730480H06 gene	A_52_P850143	Adult:1.23493701498676	Adult:0.0135316506475074
Zfp52	zinc finger protein 52	A_52_P254275	Adult:1.23103863736139	Adult:0.00052211939078892
Mea1	male enhanced antigen 1	A_51_P448489	Adult:1.22803684639491	Adult:1.06732236482386e-05
Gm11767	predicted gene 11767	A_51_P481550	Adult:1.22771901605241	Adult:0.00405172419692491
Psg17	pregnancy specific glycoprotein 17	A_51_P323490	Adult:1.22656861042438	Adult:1.45635538469988e-05
2310008H09Rik	RIKEN cDNA 2310008H09 gene	A_52_P671621	Adult:1.2242164113019	Adult:0.00429868371678883
Ldhd	lactate dehydrogenase D	A_51_P300038	Adult:1.22346213725417	Adult:0.000723397489522866
Hcn2	hyperpolarization-activated, cyclic nucleotide-gated K+ 2	A_52_P130814	Adult:1.22334655823799	Adult:7.35655167977082e-05
Ikzf5	IKAROS family zinc finger 5	A_52_P1164770	Adult:1.2232459716995	Adult:0.00486390133796193
Spire1	spire homolog 1 (Drosophila)	A_52_P368214	Adult:1.2229686968202	Adult:0.0118854137892196
Ubxn1	UBX domain protein 1	A_51_P249250	Adult:1.22110928689219	Adult:1.70137609110025e-05
Olfr137	olfactory receptor 137	A_51_P449090	Adult:1.21929185686835	Adult:0.000368986671967382
Lipe	lipase, hormone sensitive	A_51_P435366	Adult:1.21520850058672	Adult:0.032446361018724
Trim45	tripartite motif-containing 45	A_52_P671625	Adult:1.21510276335412	Adult:0.00165559245452245
Eif3k	eukaryotic translation initiation factor 3, subunit K	A_51_P341025	Adult:1.21433064195968	Adult:0.00757963613069966
Kifc3	kinesin family member C3	A_51_P114297	Adult:1.21264959210917	Adult:0.000158319327525016
Gpr124	G protein-coupled receptor 124	A_51_P282523	Adult:1.2113800267774	Adult:0.000244947202916689
Sh3yl1	Sh3 domain YSC-like 1	A_51_P340226	Adult:1.21113755245307	Adult:0.00190290412518321
Plin1	perilipin 1	A_51_P244497	Adult:1.20979099938072	Adult:0.0051945461866302
1700003G18Rik	RIKEN cDNA 1700003G18 gene	A_51_P229230	Adult:1.20960335910017	Adult:0.0215107124820336
Ift172	intraflagellar transport 172 homolog (Chlamydomonas)	A_51_P354683	Adult:1.20907656504268	Adult:8.13839287905363e-05
Spin2	spindlin family, member 2	A_52_P282838	Adult:1.20880764474475	Adult:0.00787038882411899
Wbscr17	Williams-Beuren syndrome chromosome region 17 homolog (human)	A_52_P436590	Adult:1.20773208145421	Adult:0.00949855914746889
Rnf149	ring finger protein 149	A_51_P186161	Adult:1.20523932253471	Adult:0.000419432600389025
Hist1h2ae	histone cluster 1, H2ae	A_51_P286460	Adult:1.20293588775	Adult:0.000810406080930437
Dctpp1	dCTP pyrophosphatase 1	A_51_P158876	Adult:1.2013858848021	Adult:4.44697328191223e-05
Slc30a2	solute carrier family 30 (zinc transporter), member 2	A_51_P306287	Adult:1.19899318522977	Adult:0.0240228725762694
Rhbdd2	rhomboid domain containing 2	A_51_P378415	Adult:1.19860017951861	Adult:0.00263090496314466
Chd3	chromodomain helicase DNA binding protein 3	A_51_P396284	Adult:1.19724542697148	Adult:0.00162828674402053
Wnt5a	wingless-related MMTV integration site 5A	A_51_P162272	Adult:1.19723074669304	Adult:0.0308836471999958
Trim39	tripartite motif-containing 39	A_51_P468126	Adult:1.19477313173552	Adult:0.000242690011385767
Gcnt1	glucosaminyl (N-acetyl) transferase 1, core 2	A_52_P227137	Adult:1.18911167876017	Adult:0.023324349412438
Gm10825	predicted gene 10825	A_51_P138909	Adult:1.18798643611457	Adult:0.00376373568457065
Fhl2	four and a half LIM domains 2	A_51_P140237	Adult:1.18723387492064	Adult:0.0422755189305655
Psma3	proteasome (prosome, macropain) subunit, alpha type 3	A_52_P95387	Adult:1.18507877358363	Adult:0.00565944103971287
Spata20	spermatogenesis associated 20	A_52_P4869	Adult:1.18456983309468	Adult:4.25896165168666e-05
Cpne6	copine VI	A_51_P451957	Adult:1.18307652274161	Adult:0.000116808200917357
Zscan18	zinc finger and SCAN domain containing 18	A_52_P427818	Adult:1.1814386348089	Adult:0.00217644625295202
Tesk1	testis specific protein kinase 1	A_52_P511381	Adult:1.17956040076788	Adult:0.000134405179829663
Gpx5	glutathione peroxidase 5	A_51_P267644	Adult:1.17915172139395	Adult:0.000238646634817202
Ccdc76	coiled-coil domain containing 76	A_51_P406090	Adult:1.17905614475976	Adult:0.0424671865568745
Plekhm2	pleckstrin homology domain containing, family M (with RUN domain) member 2	A_52_P544539	Adult:1.17844633657023	Adult:0.00282850775840609
Atp5k	ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit e	A_51_P301289	Adult:1.17843138763132	Adult:0.00224189637078162
Wnt7b	wingless-related MMTV integration site 7B	A_52_P231691	Adult:1.17311334452307	Adult:4.72522718590268e-07
1700011J10Rik	RIKEN cDNA 1700011J10 gene	A_51_P137481	Adult:1.17240375478943	Adult:3.92610449948205e-06
Sssca1	Sjogrens syndrome/scleroderma autoantigen 1 homolog (human)	A_52_P287052	Adult:1.17131603150689	Adult:0.00753755766479398
Lrfn4	leucine rich repeat and fibronectin type III domain containing 4	A_51_P467953	Adult:1.16964576469611	Adult:5.07486708148925e-05
2010011I20Rik	RIKEN cDNA 2010011I20 gene	A_51_P354526	Adult:1.16962048608441	Adult:0.00383358991107046
Amot	angiomotin	A_51_P321385	Adult:1.16811402263546	Adult:2.44848779673826e-06
Tnfrsf18	tumor necrosis factor receptor superfamily, member 18	A_51_P469401	Adult:1.1676155330648	Adult:0.00831509899985355
Msi2	Musashi homolog 2 (Drosophila)	A_52_P19147	Adult:1.16390130983609	Adult:0.0189440598750284
Ppfibp1	PTPRF interacting protein, binding protein 1 (liprin beta 1)	A_51_P204860	Adult:1.16337316236592	Adult:8.18693788504949e-05
Hddc3	HD domain containing 3	A_52_P521882	Adult:1.16202313069595	Adult:0.00346994909348304
Plekhn1	pleckstrin homology domain containing, family N member 1	A_51_P433540	Adult:1.16151848320019	Adult:0.00917615203559453
BC049635	cDNA sequence BC049635	A_52_P337388	Adult:1.15799798734902	Adult:0.0344362127597398
B9d1	B9 protein domain 1	A_51_P472241	Adult:1.15781987920932	Adult:0.000191710074782178
Zhx1	zinc fingers and homeoboxes 1	A_52_P309177	Adult:1.15779862452792	Adult:0.0165675978806673
Ppp2r2d	protein phosphatase 2, regulatory subunit B, delta isoform	A_51_P497061	Adult:1.1566670547677	Adult:4.48806810434974e-07
Vps37b	vacuolar protein sorting 37B (yeast)	A_52_P541833	Adult:1.15533237273675	Adult:7.19175482729056e-07
4921531C22Rik	RIKEN cDNA 4921531C22 gene	A_52_P239635	Adult:1.15450333047085	Adult:0.00561842155077408
Rpp21	ribonuclease P 21 subunit (human)	A_51_P178646	Adult:1.15404873074332	Adult:0.00178300111852005
Tle2	transducin-like enhancer of split 2, homolog of Drosophila E(spl)	A_51_P175303	Adult:1.15301443756994	Adult:0.000894923838815729
Abr	active BCR-related gene	A_52_P502032	Adult:1.15133309496164	Adult:1.46520334548428e-05
Tceb2	transcription elongation factor B (SIII), polypeptide 2	A_51_P397823	Adult:1.14848587655325	Adult:0.00148903280185812
Gtf2i	general transcription factor II I	A_52_P442585	Adult:1.14555525146053	Adult:2.58524647916442e-06
Ckap5	cytoskeleton associated protein 5	A_51_P196243	Adult:1.14438113054891	Adult:0.0292363862727804
Mthfsd	methenyltetrahydrofolate synthetase domain containing	A_51_P511899	Adult:1.14295290101754	Adult:0.000980861248545756
Larp6	La ribonucleoprotein domain family, member 6	A_51_P390285	Adult:1.14209057395394	Adult:0.0096928707929946
Rfxap	regulatory factor X-associated protein	A_52_P441044	Adult:1.14201041804954	Adult:0.000905644410105132
Prosapip1	ProSAPiP1 protein	A_52_P120022	Adult:1.14149568893933	Adult:1.31993569670866e-05
2610305D13Rik	RIKEN cDNA 2610305D13 gene	A_51_P347875	Adult:1.14138592157981	Adult:0.000370344113908834
Cnih4	cornichon homolog 4 (Drosophila)	A_51_P401864	Adult:1.13977130841315	Adult:1.71757701891383e-05
4933407P14Rik	RIKEN cDNA 4933407P14 gene	A_51_P114533	Adult:1.13931946896739	Adult:0.012086859961839
Lnx2	ligand of numb-protein X 2	A_52_P306421	Adult:1.13870853483733	Adult:0.00141361744873854
Spa17	sperm autoantigenic protein 17	A_51_P504065	Adult:1.13731939424864	Adult:0.00455540976130402
Med28	mediator of RNA polymerase II transcription, subunit 28 homolog (yeast)	A_52_P362245	Adult:1.13645993993338	Adult:0.0252547879347125
Polr2i	polymerase (RNA) II (DNA directed) polypeptide I	A_51_P246215	Adult:1.13461569199714	Adult:0.000605127902951107
Ppp1r12a	protein phosphatase 1, regulatory (inhibitor) subunit 12A	A_52_P437363	Adult:1.13340715595887	Adult:0.00808501414556168
1500002C15Rik	RIKEN cDNA 1500002C15 gene	A_51_P273264	Adult:1.13257720762845	Adult:0.0192399522281811
Ppp6r3	protein phosphatase 6, regulatory subunit 3	A_52_P281935	Adult:1.13236865436101	Adult:0.000558995024902316
Pla2g16	phospholipase A2, group XVI	A_51_P517182	Adult:1.12963699523663	Adult:0.0324486014709112
1700040I03Rik	RIKEN cDNA 1700040I03 gene	A_51_P454447	Adult:1.1289400103957	Adult:9.47166041410255e-05
Gm9558	predicted gene 9558	A_52_P351686	Adult:1.12682921584859	Adult:0.00668409636055904
Rnf214	ring finger protein 214	A_52_P147903	Adult:1.12623904046389	Adult:0.000529707022795009
Traip	TRAF-interacting protein	A_51_P254045	Adult:1.12620184366181	Adult:0.00372946527037435
Ndufv3	NADH dehydrogenase (ubiquinone) flavoprotein 3	A_52_P170054	Adult:1.12593898409167	Adult:0.00398395551281455
Eppk1	epiplakin 1	A_52_P149590	Adult:1.12538518867737	Adult:0.0252275028452685
Edc4	enhancer of mRNA decapping 4	A_51_P266103	Adult:1.12373523476912	Adult:1.56928280509003e-05
Lactb	lactamase, beta	A_51_P151628	Adult:1.12370853200423	Adult:0.0332915576324184
Tbl2	transducin (beta)-like 2	A_52_P408553	Adult:1.1226324224729	Adult:0.00348284628010099
Cdc42se1	CDC42 small effector 1	A_51_P512591	Adult:1.12243141062382	Adult:6.87598985783499e-07
4931406B18Rik	RIKEN cDNA 4931406B18 gene	A_52_P593150	Adult:1.12169426933771	Adult:0.01710011439075
Zfp870	zinc finger protein 870	A_52_P4066	Adult:1.1207676373372	Adult:0.00444816591076533
Ube2u	ubiquitin-conjugating enzyme E2U (putative)	A_52_P198239	Adult:1.12032221986389	Adult:0.0325989203097035
1700013F07Rik	RIKEN cDNA 1700013F07 gene	A_51_P302890	Adult:1.11894147743837	Adult:0.00650491651420394
Ssbp4	single stranded DNA binding protein 4	A_52_P563617	Adult:1.11799934947775	Adult:0.00110428631756589
Rps19	ribosomal protein S19	A_52_P129131	Adult:1.1177398376968	Adult:0.00120170887501712
Zfp286	zinc finger protein 286	A_52_P664404	Adult:1.11762642378531	Adult:0.0199309746198582
Mxi1	Max interacting protein 1	A_51_P294994	Adult:1.11744691921744	Adult:2.04417052771678e-06
1810020D17Rik	RIKEN cDNA 1810020D17 gene	A_52_P672532	Adult:1.11742837096984	Adult:3.47552995080434e-07
Zfp418	zinc finger protein 418	A_51_P382512	Adult:1.11742051859981	Adult:0.00479696239674545
Thrap3	thyroid hormone receptor associated protein 3	A_52_P79763	Adult:1.11681462502525	Adult:0.00733134719022738
Pkp2	plakophilin 2	A_51_P225427	Adult:1.11557653210957	Adult:0.00274025525940879
4930474A20Rik	RIKEN cDNA 4930474A20 gene	A_51_P465709	Adult:1.1150679085138	Adult:0.0210636962230976
Lin37	lin-37 homolog (C. elegans)	A_52_P42115	Adult:1.11464434717264	Adult:0.000637549753891706
Olfr411	olfactory receptor 411	A_51_P191572	Adult:1.11410380657302	Adult:0.0054691036362668
Rnf139	ring finger protein 139	A_52_P384079	Adult:1.1125879268152	Adult:0.0102202930007609
Spam1	sperm adhesion molecule 1	A_52_P94021	Adult:1.11209201304097	Adult:0.0211127638803607
Tlx1	T-cell leukemia, homeobox 1	A_52_P58359	Adult:1.11202657444912	Adult:0.00352983551535599
Zscan22	zinc finger and SCAN domain containing 22	A_51_P485410	Adult:1.11131475235623	Adult:7.29754506446463e-05
Gne	glucosamine	A_52_P188099	Adult:1.11096809148545	Adult:0.001299654090993
Ankrd13a	ankyrin repeat domain 13a	A_51_P190886	Adult:1.1063572010448	Adult:3.43014970089989e-05
Hsf1	heat shock factor 1	A_51_P102943	Adult:1.10606301172161	Adult:0.0129419266865814
Ldlr	low density lipoprotein receptor	A_52_P427024	Adult:1.10577423111014	Adult:0.000209829067270183
Phtf2	putative homeodomain transcription factor 2	A_52_P126045	Adult:1.10511314516912	Adult:0.0111036725557754
4930555K19Rik	RIKEN cDNA 4930555K19 gene	A_51_P123066	Adult:1.10309812589553	Adult:2.34211403080963e-05
Plk1s1	polo-like kinase 1 substrate 1	A_52_P368855	Adult:1.10194425832448	Adult:7.3994043074525e-06
Thra	thyroid hormone receptor alpha	A_51_P475995	Adult:1.10184297899719	Adult:0.000660677117080835
Gm3952	predicted gene 3952	A_52_P619518	Adult:1.10074464957384	Adult:0.0166695113723377
Yy1	YY1 transcription factor	A_52_P317874	Adult:1.09819007430338	Adult:0.00562004876145497
6820445E23Rik	RIKEN cDNA 6820445E23 gene	A_51_P268514	Adult:1.09799443017409	Adult:2.75269967988878e-05
2010003O02Rik	RIKEN cDNA 2010003O02 gene	A_52_P241742	Adult:1.09700864990851	Adult:0.000124574401917816
Gtdc1	glycosyltransferase-like domain containing 1	A_51_P447471	Adult:1.09549942226484	Adult:0.0377482977990833
Gtf2a1l	general transcription factor IIA, 1-like	A_51_P206197	Adult:1.0953960687002	Adult:0.0220363543480677
D830029L11	hypothetical protein D830029L11	A_52_P15857	Adult:1.09523177670184	Adult:0.0102202930007609
Pms1	postmeiotic segregation increased 1 (S. cerevisiae)	A_52_P235278	Adult:1.09510541805551	Adult:0.00310617453147102
