Index	Mutated	Normal	FC	P value	FDR	Probe set	Description	Gene symbol
962	253	160	1,58	0,005570	0,315	204373_s_at	Centrosomal protein 350kDa	CEP350
4808	30,2	19,1	1,58	0,036508	0,415	222528_s_at	Solute carrier family 25, member 37	SLC25A37
4102	30,7	19,5	1,58	0,030147	0,402	229817_at	Zinc finger protein 608	ZNF608
1710	27,6	17,5	1,58	0,010940	0,348	239393_at	Poly(A) specific ribonuclease subunit homolog (S. cerevisiae)	PAN3
2784	10,3	6,50	1,58	0,019340	0,380	1552405_at	NLR family, pyrin domain containing 5	NLRP5
1835	29,5	18,7	1,58	0,011814	0,351	239619_at	Zinc finger protein 395	ZNF395
2590	16,7	10,6	1,58	0,017573	0,371	218610_s_at	Hypothetical protein FLJ11151	FLJ11151
2114	49,8	31,6	1,58	0,013870	0,359	221276_s_at	Syncoilin, intermediate filament 1	SYNC1
2447	10,5	6,66	1,58	0,016391	0,366	202036_s_at	Secreted frizzled-related protein 1	SFRP1
3707	28,7	18,2	1,57	0,026801	0,395	236297_at	cDNA FLJ45742 fis, clone KIDNE2016327	-
4440	8,42	5,35	1,57	0,033335	0,410	202235_at	Solute carrier family 16, member 1	SLC16A1
2324	57,4	36,5	1,57	0,015461	0,364	233924_s_at	Exocyst complex component 6	EXOC6
1733	75,6	48,0	1,57	0,011083	0,348	215338_s_at	Natural killer-tumor recognition sequence	NKTR
2631	32,4	20,6	1,57	0,017907	0,372	243395_at	CD55 molecule, decay accelerating factor for complement	CD55
5002	27,9	17,7	1,57	0,038404	0,420	244075_at	Hydroxysteroid (17-beta) dehydrogenase 7 pseudogene 2	HSD17B7P2
1673	16,5	10,5	1,57	0,010558	0,345	243233_at	Poly(A) specific ribonuclease subunit homolog (S. cerevisiae)	PAN3
4275	87,0	55,3	1,57	0,031776	0,406	218344_s_at	REST corepressor 3	RCOR3
565	418	266	1,57	0,003091	0,299	202822_at	LIM domain containing preferred translocation partner in lipoma	LPP
5220	35,3	22,5	1,57	0,040360	0,423	227816_at	Netrin 1	NTN1
4090	24,7	15,8	1,57	0,030069	0,402	243704_at	G patch domain containing 2	GPATCH2
2161	41,2	26,2	1,57	0,014281	0,361	207565_s_at	Major histocompatibility complex, class I-related	MR1
1951	25,4	16,2	1,57	0,012736	0,355	239296_at	Zinc finger homeobox 1b	ZFHX1B
229	11,0	6,99	1,57	0,001058	0,250	238303_at	Oligosaccharyl transferase subunit STT3B	STT3B
1747	31,9	20,3	1,57	0,011154	0,348	206527_at	4-aminobutyrate aminotransferase	ABAT
2769	54,5	34,8	1,57	0,019219	0,379	238520_at	Transcriptional regulating factor 1	TRERF1
2344	31,9	20,3	1,57	0,015645	0,364	1556277_a_at	PAP associated domain containing 4	PAPD4
457	11,6	7,43	1,57	0,002445	0,288	240016_at	SUMO1/sentrin specific peptidase 6	SENP6
81	45,3	28,9	1,57	0,000306	0,201	222239_s_at	Integrator complex subunit 6	INTS6
3523	137	87,2	1,57	0,025286	0,392	226865_at	cDNA DKFZp564O0862	-
809	48,5	30,9	1,57	0,004615	0,311	228315_at	cDNA clone IMAGE:5261213	-
1594	97,5	62,2	1,57	0,009923	0,340	238706_at	PAP associated domain containing 4	PAPD4
781	68,0	43,5	1,57	0,004474	0,311	223412_at	Kelch repeat and BTB (POZ) domain containing 7	KBTBD7
1457	37,7	24,1	1,57	0,008909	0,334	1558105_a_at	Similar to LOC169932, clone IMAGE:4499203	-
247	28,3	18,1	1,57	0,001140	0,251	223465_at	Collagen, type IV, alpha 3 (Goodpasture antigen) binding protein	COL4A3BP
3772	21,4	13,7	1,56	0,027401	0,397	207417_s_at	Zinc finger protein 177	ZNF177
109	44,5	28,5	1,56	0,000439	0,220	219278_at	Mitogen-activated protein kinase kinase kinase 6	MAP3K6
2032	33,1	21,2	1,56	0,013238	0,355	230708_at	Prickle homolog 1 (Drosophila)	PRICKLE1
1049	1657	1060	1,56	0,006138	0,319	210986_s_at	tropomyosin 1 (alpha)	TPM1
5310	228	146	1,56	0,041427	0,426	211423_s_at	C-5 sterol desaturase	SC5DL
1604	242	155	1,56	0,009995	0,341	202555_s_at	Myosin, light chain kinase	MYLK
3552	8,49	5,44	1,56	0,025614	0,394	1568574_x_at	Secreted phosphoprotein 1	SPP1
4760	82,7	53,0	1,56	0,036079	0,414	235103_at	Mannosidase, alpha, class 2A, member 1	MAN2A1
1512	25,3	16,2	1,56	0,009313	0,337	215314_at	Ankyrin 3, node of Ranvier (ankyrin G)	ANK3
344	33,2	21,3	1,56	0,001763	0,278	203263_s_at	Cdc42 guanine nucleotide exchange factor (GEF) 9	ARHGEF9
3979	16,0	10,2	1,56	0,029089	0,400	237128_at	Hypothetical protein FLJ20184	LOC54848
2991	55,6	35,6	1,56	0,021037	0,385	209209_s_at	Fermitin family homolog 2 (Drosophila)	FERMT2
4185	629	403	1,56	0,030945	0,404	201311_s_at	SH3 domain binding glutamic acid-rich protein like	SH3BGRL
1788	118	75,6	1,56	0,011446	0,350	224933_s_at	Jumonji domain containing 1C	JMJD1C
2887	17,6	11,3	1,56	0,020249	0,383	1563209_a_at	MACRO domain containing 2	MACROD2
119	117	75,2	1,56	0,000531	0,240	218819_at	Integrator complex subunit 6	INTS6
5040	27,6	17,7	1,56	0,038849	0,420	228427_at	F-box protein 16	FBXO16
4673	392	251	1,56	0,035294	0,413	225927_at	Mitogen-activated protein kinase kinase kinase 1	MAP3K1
1567	20,8	13,3	1,56	0,009741	0,340	230892_at	Transcribed locus	-
675	235	151	1,56	0,003866	0,308	214352_s_at	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	KRAS
1790	25,9	16,6	1,56	0,011463	0,350	230424_at	Chromosome 5 open reading frame 13	C5orf13
334	398	256	1,56	0,001676	0,274	209360_s_at	Runt-related transcription factor 1 (aml1 oncogene)	RUNX1
316	18,1	11,6	1,56	0,001588	0,272	1559957_a_at	Hypothetical protein LOC642852	LOC642852
1981	132	84,8	1,56	0,012927	0,355	222798_at	Phosphotriesterase related	PTER
407	5,58	3,59	1,56	0,002145	0,286	1566772_at	Schwannomin interacting protein 1	SCHIP1
4875	76,6	49,2	1,56	0,037222	0,417	222513_s_at	Sorbin and SH3 domain containing 1	SORBS1
1386	12,0	7,72	1,55	0,008329	0,329	1556770_a_at	Leucine rich repeat containing 17	LRRC17
3030	362	233	1,55	0,021326	0,385	212958_x_at	Peptidylglycine alpha-amidating monooxygenase	PAM
1952	126	81,1	1,55	0,012748	0,355	202124_s_at	Trafficking protein, kinesin binding 2	TRAK2
209	333	214	1,55	0,000955	0,244	209226_s_at	Transportin 1	TNPO1
1337	46,7	30,1	1,55	0,008024	0,328	205076_s_at	Myotubularin related protein 11	MTMR11
422	124	80,2	1,55	0,002210	0,286	226259_at	Exocyst complex component 6	EXOC6
3454	930	599	1,55	0,024746	0,392	210987_x_at	tropomyosin 1 (alpha)	TPM1
1709	10,3	6,63	1,55	0,010940	0,348	244443_at	Chromodomain helicase DNA binding protein 2	CHD2
2558	86,6	55,8	1,55	0,017356	0,371	231862_at	chromobox homolog 5 (HP1 alpha homolog, Drosophila)	CBX5
4052	29,7	19,1	1,55	0,029708	0,401	241838_at	Transcribed locus	-
2518	32,5	20,9	1,55	0,016986	0,369	1566766_a_at	Metastasis associated in colon cancer 1	MACC1
2506	41,2	26,6	1,55	0,016850	0,367	228121_at	Transforming growth factor, beta 2	TGFB2
1047	23,8	15,3	1,55	0,006120	0,319	236953_s_at	NHL repeat containing 3	NHLRC3
1930	28,1	18,1	1,55	0,012581	0,355	214153_at	ELOVL family member 5, elongation of long chain fatty acids	ELOVL5
5288	1110	717	1,55	0,041144	0,425	221731_x_at	Versican	VCAN
2894	42,3	27,3	1,55	0,020332	0,383	210102_at	Loss of heterozygosity, 11, chromosomal region 2, gene A	LOH11CR2A
3108	73,5	47,4	1,55	0,021946	0,386	230229_at	Discs, large homolog 1 (Drosophila)	DLG1
23	23,5	15,2	1,55	0,000099	0,201	226688_at	Chromosome 3 open reading frame 23	C3orf23
4571	51,9	33,5	1,55	0,034563	0,412	204689_at	Hematopoietically expressed homeobox	HHEX
803	21,7	14,0	1,55	0,004579	0,311	208022_s_at	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	CDC14B
1632	161	104	1,55	0,010284	0,344	209485_s_at	Oxysterol binding protein-like 1A	OSBPL1A
540	225	145	1,55	0,002897	0,293	201960_s_at	MYC binding protein 2	MYCBP2
140	117	76,0	1,55	0,000635	0,244	223466_x_at	Collagen, type IV, alpha 3 (Goodpasture antigen) binding protein	COL4A3BP
2595	71,9	46,5	1,55	0,017646	0,371	201367_s_at	Zinc finger protein 36, C3H type-like 2	ZFP36L2
159	25,0	16,2	1,55	0,000715	0,244	240436_at	Similar to FRAS1 related extracellular matrix protein 2	LOC729697
3258	21,7	14,1	1,54	0,023139	0,388	207029_at	KIT ligand	KITLG
550	212	137	1,54	0,002973	0,295	214430_at	Galactosidase, alpha	GLA
1371	76,0	49,3	1,54	0,008235	0,328	226550_at	Similar to LOC169932	LOC169932
474	213	138	1,54	0,002518	0,289	225269_s_at	RNA binding motif, single stranded interacting protein 1	RBMS1
1273	880	571	1,54	0,007578	0,325	202371_at	Transcription elongation factor A (SII)-like 4	TCEAL4
1374	600	390	1,54	0,008283	0,329	214722_at	Notch homolog 2 (Drosophila) N-terminal like	NOTCH2NL
994	119	77,0	1,54	0,005727	0,315	212263_at	Quaking homolog, KH domain RNA binding (mouse)	QKI
3347	108	70,1	1,54	0,023768	0,388	222757_s_at	Sterile alpha motif and leucine zipper containing kinase AZK	ZAK
3778	159	103	1,54	0,027465	0,397	208935_s_at	Lectin, galactoside-binding, soluble, 8 (galectin 8)	LGALS8
1004	225	146	1,54	0,005809	0,316	201959_s_at	MYC binding protein 2	MYCBP2
649	82,9	53,9	1,54	0,003689	0,308	223178_s_at	5-nucleotidase domain containing 1	NT5DC1
3306	14,0	9,13	1,54	0,023513	0,388	214375_at	PTPRF interacting protein, binding protein 1 (liprin beta 1)Similar to PTPRF interacting protein binding protein 1 isoform 1	PPFIBP1LOC729222
2416	302	196	1,54	0,016133	0,365	228487_s_at	RAS responsive element binding protein 1	RREB1
2193	34,8	22,6	1,54	0,014511	0,361	225759_x_at	Calmin (calponin-like, transmembrane)	CLMN
361	1022	665	1,54	0,001870	0,283	221829_s_at	Transportin 1	TNPO1
216	67,9	44,2	1,54	0,000967	0,244	221215_s_at	Receptor-interacting serine-threonine kinase 4	RIPK4
5979	65,0	42,3	1,54	0,048543	0,444	242110_at	Rho GTPase activating protein 5	ARHGAP5
2195	106	69,2	1,54	0,014516	0,361	242558_at	Catenin (cadherin-associated protein), beta 1, 88kDa	CTNNB1
238	170	111	1,53	0,001103	0,250	202304_at	Fibronectin type III domain containing 3A	FNDC3A
3486	23,2	15,1	1,53	0,025021	0,392	210172_at	Splicing factor 1	SF1
176	67,6	44,1	1,53	0,000804	0,244	224943_at	BTB (POZ) domain containing 7	BTBD7
4600	11,2	7,28	1,53	0,034786	0,412	232568_at	hypothetical protein MGC24103	MGC24103
4694	1136	741	1,53	0,035453	0,413	200648_s_at	Glutamate-ammonia ligase (glutamine synthetase)	GLUL
2121	103	67,5	1,53	0,013913	0,359	212526_at	Spastic paraplegia 20	SPG20
4073	253	165	1,53	0,029870	0,401	203753_at	Transcription factor 4	TCF4
519	89,5	58,4	1,53	0,002761	0,291	238430_x_at	Schlafen family member 5	SLFN5
127	212	139	1,53	0,000574	0,240	215464_s_at	Tax1 (human T-cell leukemia virus type I) binding protein 3	TAX1BP3
4526	33,4	21,8	1,53	0,034161	0,412	205525_at	Caldesmon 1	CALD1
2172	67,9	44,3	1,53	0,014360	0,361	1566342_at	Superoxide dismutase 2, mitochondrial	SOD2
1734	17,6	11,5	1,53	0,011085	0,348	242737_at	RAD51-like 1 (S. cerevisiae)	RAD51L1
5855	174	114	1,53	0,047341	0,442	204352_at	TNF receptor-associated factor 5	TRAF5
722	62,4	40,8	1,53	0,004137	0,308	235341_at	DnaJ (Hsp40) homolog, subfamily C, member 3	DNAJC3
1921	15,4	10,0	1,53	0,012516	0,355	233106_at	Chromosome 14 open reading frame 82	C14orf82
5150	68,1	44,5	1,53	0,039641	0,421	218775_s_at	WW and C2 domain containing 2	WWC2
3237	22,2	14,5	1,53	0,022975	0,388	238563_at	Spectrin SH3 domain binding protein 1	SSH3BP1
516	261	171	1,53	0,002753	0,291	212265_at	Quaking homolog, KH domain RNA binding (mouse)	QKI
4799	31,2	20,5	1,53	0,036413	0,415	205529_s_at	Runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	RUNX1T1
1592	22,2	14,5	1,53	0,009902	0,340	210325_at	CD1a molecule	CD1A
2268	18,2	11,9	1,53	0,015078	0,363	207018_s_at	RAB27B, member RAS oncogene family	RAB27B
3292	414	272	1,52	0,023445	0,388	201160_s_at	Cold shock domain protein A	CSDA
1119	169	111	1,52	0,006535	0,319	222413_s_at	Myeloid/lymphoid or mixed-lineage leukemia 3	MLL3
2989	52,0	34,1	1,52	0,021015	0,384	214720_x_at	Septin 10	SEPT10
4480	39,6	26,0	1,52	0,033694	0,411	202504_at	Tripartite motif-containing 29	TRIM29
1922	44,9	29,5	1,52	0,012516	0,355	235457_at	Mastermind-like 2 (Drosophila)	MAML2
925	10,1	6,62	1,52	0,005329	0,313	1558101_at	Nuclear factor I/A	NFIA
3933	48,3	31,7	1,52	0,028740	0,399	1553764_a_at	Jub, ajuba homolog (Xenopus laevis)	JUB
332	124	81,2	1,52	0,001654	0,272	222810_s_at	RAS protein activator like 2	RASAL2
5466	8,91	5,86	1,52	0,043170	0,432	215028_at	Semaphorin 6A-1	SEMA6A
1221	42,6	28,0	1,52	0,007263	0,324	243908_at	Zinc finger protein 638	ZNF638
934	31,6	20,8	1,52	0,005358	0,313	204761_at	USP6 N-terminal like	USP6NL
6004	57,9	38,1	1,52	0,048789	0,444	235775_at	Transmembrane and tetratricopeptide repeat containing 2	TMTC2
1258	174	115	1,52	0,007490	0,325	209488_s_at	RNA binding protein with multiple splicing	RBPMS
1200	38,0	25,0	1,52	0,007086	0,323	206734_at	Jerky homolog-like (mouse)	JRKL
1243	84,7	55,8	1,52	0,007383	0,324	207357_s_at	N-acetylgalactosaminyltransferase 10	GALNT10
2692	131	86,1	1,52	0,018450	0,375	203215_s_at	Myosin VI	MYO6
3802	18,7	12,3	1,52	0,027689	0,398	219683_at	Frizzled homolog 3 (Drosophila)	FZD3
3162	1052	694	1,52	0,022438	0,387	201288_at	Rho GDP dissociation inhibitor (GDI) beta	ARHGDIB
2035	269	177	1,52	0,013254	0,355	222605_at	REST corepressor 3	RCOR3
3178	105	69,4	1,51	0,022544	0,387	201656_at	Integrin, alpha 6	ITGA6
3078	161	107	1,51	0,021702	0,385	203143_s_at	KIAA0040 protein	KIAA0040
202	11,0	7,30	1,51	0,000929	0,244	220302_at	Male germ cell-associated kinase	MAK
522	1045	691	1,51	0,002786	0,291	223193_x_at	Family with sequence similarity 162, member A	FAM162A
3186	208	137	1,51	0,022596	0,387	224793_s_at	Transforming growth factor, beta receptor I	TGFBR1
3441	15,5	10,2	1,51	0,024630	0,391	233364_s_at	Hypothetical protein LOC399959	LOC399959
6	158	105	1,51	0,000013	0,099	212402_at	Zinc finger CCCH-type containing 13	ZC3H13
2501	14,2	9,38	1,51	0,016838	0,367	208859_s_at	Alpha thalassemia/mental retardation syndrome X-linked	ATRX
1801	11,2	7,42	1,51	0,011596	0,351	215164_at	Transcription factor 4	TCF4
1330	132	87,7	1,51	0,008001	0,328	217550_at	Activating transcription factor 6	ATF6
2080	7,30	4,84	1,51	0,013580	0,356	239301_at	RAS p21 protein activator (GTPase activating protein) 1	RASA1
46	66,0	43,7	1,51	0,000186	0,201	235687_at	Zinc finger protein 626	ZNF626
263	16,8	11,1	1,51	0,001259	0,260	210255_at	RAD51-like 1 (S. cerevisiae)	RAD51L1
1832	22,7	15,1	1,51	0,011798	0,351	221556_at	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	CDC14B
2982	59,2	39,3	1,51	0,020965	0,384	238884_at	Catenin (cadherin-associated protein), delta 1	CTNND1
1404	11,6	7,70	1,51	0,008477	0,330	1552269_at	Spermatogenesis associated 17	SPATA17
6027	280	185	1,51	0,049027	0,445	202887_s_at	DNA-damage-inducible transcript 4	DDIT4
1739	140	93,0	1,51	0,011100	0,348	213015_at	Bobby sox homolog (Drosophila)	BBX
411	1115	739	1,51	0,002170	0,286	201220_x_at	C-terminal binding protein 2	CTBP2
5494	31,2	20,7	1,51	0,043485	0,433	233824_at	cDNA FLJ21428 fis, clone COL04203	-
1026	25,3	16,8	1,51	0,005942	0,316	243709_at	Solute carrier family 38, member 9	SLC38A9
95	23,9	15,8	1,51	0,000362	0,208	206636_at	RAS p21 protein activator 2	RASA2
2629	8,57	5,69	1,51	0,017897	0,372	213456_at	Sclerostin domain containing 1	SOSTDC1
445	26,2	17,4	1,51	0,002370	0,288	206928_at	Zinc finger protein 124	ZNF124
5403	138	91,7	1,51	0,042400	0,429	243768_at	SUMO1/sentrin specific peptidase 6	SENP6
4363	214	142	1,51	0,032453	0,407	227034_at	Ankyrin repeat domain 57	ANKRD57
5379	37,4	24,8	1,51	0,042181	0,429	224851_at	Cyclin-dependent kinase 6	CDK6
5690	40,9	27,2	1,50	0,045512	0,437	204624_at	ATPase, Cu++ transporting, beta polypeptide	ATP7B
1938	273	182	1,50	0,012623	0,355	235308_at	Zinc finger and BTB domain containing 20	ZBTB20
670	838	557	1,50	0,003849	0,308	224345_x_at	Family with sequence similarity 162, member A	FAM162A
244	1011	672	1,50	0,001123	0,251	209154_at	Tax1 (human T-cell leukemia virus type I) binding protein 3	TAX1BP3
210	44,7	29,7	1,50	0,000956	0,244	230192_at	Tripartite motif-containing 13	TRIM13
2728	806	536	1,50	0,018778	0,376	221896_s_at	HIG1 domain family, member 1A	HIGD1A
458	23,5	15,7	1,50	0,002449	0,288	239247_at	Hypothetical protein LOC401577	LOC401577
1131	86,2	57,4	1,50	0,006605	0,319	210223_s_at	Major histocompatibility complex, class I-related	MR1
730	113	75,3	1,50	0,004173	0,308	213528_at	Chromosome 1 open reading frame 156	C1orf156
76	484	323	1,50	0,000291	0,201	225132_at	F-box and leucine-rich repeat protein 3	FBXL3
2908	56,0	37,3	1,50	0,020442	0,383	1566785_x_at	N-ethylmaleimide-sensitive factor	NSF
1210	224	149	1,50	0,007173	0,324	224937_at	Prostaglandin F2 receptor negative regulator	PTGFRN
311	45,0	30,0	1,50	0,001536	0,270	1558733_at	Zinc finger and BTB domain containing 38	ZBTB38
2811	99,2	66,2	1,50	0,019599	0,381	227276_at	Plexin domain containing 2	PLXDC2
79	34,0	22,7	1,50	0,000297	0,201	210943_s_at	Lysosomal trafficking regulator	LYST
823	236	158	1,50	0,004700	0,312	209487_at	RNA binding protein with multiple splicing	RBPMS
859	32,8	21,9	1,50	0,004964	0,313	219455_at	Chromosome 7 open reading frame 63	C7orf63
4623	15,0	9,99	1,50	0,034877	0,412	239487_at	Family with sequence similarity 98, member A	FAM98A
790	55,1	36,8	1,50	0,004521	0,311	228825_at	prostaglandin reductase 1	PTGR1
5066	103	68,9	1,50	0,038994	0,420	242467_at	Casein kinase 1, alpha 1	CSNK1A1
3812	187	125	1,50	0,027781	0,398	200965_s_at	Actin binding LIM protein 1	ABLIM1
5281	31,4	21,0	1,50	0,041086	0,425	1554195_a_at	Chromosome 5 open reading frame 46	C5orf46
2063	147	98,4	1,50	0,013447	0,356	204633_s_at	Ribosomal protein S6 kinase, 90kDa, polypeptide 5	RPS6KA5
3438	16,0	10,7	1,49	0,024617	0,391	240861_at	-	-
5710	7,42	4,96	1,49	0,045721	0,438	238877_at	Eyes absent homolog 4 (Drosophila)	EYA4
1712	96,6	64,6	1,49	0,010957	0,348	204072_s_at	Furry homolog (Drosophila)	FRY
416	103	69,2	1,49	0,002189	0,286	225623_at	KIAA1737 protein	KIAA1737
318	291	195	1,49	0,001592	0,272	208908_s_at	Calpastatin	CAST
2103	31,4	21,0	1,49	0,013784	0,358	243851_at	RAB3 GTPase activating protein subunit 2 (non-catalytic)	RAB3GAP2
5197	45,0	30,2	1,49	0,040056	0,421	1555370_a_at	Calmodulin binding transcription activator 1	CAMTA1
4740	153	103	1,49	0,035879	0,414	218967_s_at	Phosphotriesterase related	PTER
2755	54,2	36,3	1,49	0,019071	0,378	1553186_x_at	RAS and EF-hand domain containing	RASEF
981	136	91,2	1,49	0,005689	0,315	223177_at	5-nucleotidase domain containing 1	NT5DC1
272	77,2	51,8	1,49	0,001298	0,261	203128_at	Serine palmitoyltransferase, long chain base subunit 2	SPTLC2
3929	134	89,8	1,49	0,028733	0,399	209750_at	Nuclear receptor subfamily 1, group D, member 2	NR1D2
1158	29,2	19,6	1,49	0,006810	0,321	229603_at	Bardet-Biedl syndrome 12	BBS12
21	484	325	1,49	0,000088	0,201	223287_s_at	Forkhead box P1	FOXP1
1527	9,65	6,48	1,49	0,009430	0,337	244860_at	SIK family kinase 3	SIK3
2315	29,3	19,7	1,49	0,015371	0,363	234604_at	cDNA FLJ21228 fis, clone COL00739	-
5476	70,8	47,6	1,49	0,043292	0,432	239082_at	cDNA clone IMAGE:5311370	-
3100	51,0	34,3	1,49	0,021899	0,386	219033_at	Poly (ADP-ribose) polymerase family, member 8	PARP8
5516	28,8	19,4	1,49	0,043749	0,433	210653_s_at	Branched chain keto acid dehydrogenase E1, beta polypeptide	BCKDHB
2096	23,7	16,0	1,49	0,013733	0,358	226984_at	FYVE, RhoGEF and PH domain containing 5	FGD5
532	102	68,4	1,49	0,002845	0,292	226977_at	Similar to bovine IgA regulatory protein	LOC492311
5792	405	272	1,49	0,046712	0,441	222258_s_at	SH3-domain binding protein 4	SH3BP4
801	73,9	49,7	1,49	0,004571	0,311	217813_s_at	Spindlin 1	SPIN1
5075	99,6	67,0	1,49	0,039043	0,420	203706_s_at	Frizzled homolog 7 (Drosophila)	FZD7
3434	547	368	1,49	0,024581	0,391	200907_s_at	Palladin, cytoskeletal associated protein	PALLD
4098	97,4	65,6	1,48	0,030117	0,402	226246_at	Potassium channel tetramerisation domain containing 1	KCTD1
425	159	107	1,48	0,002236	0,288	214041_x_at	Ribosomal protein L37a	RPL37A
2494	137	92,5	1,48	0,016801	0,367	203319_s_at	Zinc finger protein 148	ZNF148
4335	81,9	55,2	1,48	0,032270	0,407	207604_s_at	Solute carrier family 4, sodium bicarbonate cotransporter, member 7	SLC4A7
1573	34,4	23,2	1,48	0,009768	0,340	206117_at	Tropomyosin 1 (alpha)	TPM1
2179	18,5	12,5	1,48	0,014410	0,361	219885_at	schlafen family member 12	SLFN12
5482	125	84,5	1,48	0,043380	0,433	203266_s_at	Mitogen-activated protein kinase kinase 4	MAP2K4
1036	77,9	52,5	1,48	0,006019	0,318	226722_at	Family with sequence similarity 20, member C	FAM20C
2849	448	302	1,48	0,019937	0,383	201324_at	Epithelial membrane protein 1	EMP1
4784	10,7	7,20	1,48	0,036271	0,414	210282_at	Zinc finger, MYM-type 2	ZMYM2
2269	61,9	41,7	1,48	0,015078	0,363	219390_at	FK506 binding protein 14, 22 kDa	FKBP14
1466	135	91,4	1,48	0,008970	0,334	230669_at	RAS p21 protein activator 2	RASA2
1932	480	324	1,48	0,012601	0,355	221943_x_at	Ribosomal protein L38	RPL38
3784	159	107	1,48	0,027562	0,398	226582_at	Hypothetical gene supported by BC009385	LOC400043
3905	1286	869	1,48	0,028521	0,399	200872_at	S100 calcium binding protein A10	S100A10
643	271	183	1,48	0,003668	0,308	212698_s_at	Septin 10	SEPT10
250	25,5	17,2	1,48	0,001148	0,251	206587_at	Chaperonin containing TCP1, subunit 6B (zeta 2)	CCT6B
4710	40,3	27,2	1,48	0,035639	0,413	221826_at	Angel homolog 2 (Drosophila)	ANGEL2
4637	48,9	33,1	1,48	0,034974	0,412	201996_s_at	Spen homolog, transcriptional regulator (Drosophila)	SPEN
6085	330	223	1,48	0,049690	0,446	225064_at	Rabaptin, RAB GTPase binding effector protein 1	RABEP1
1241	286	193	1,48	0,007365	0,324	215127_s_at	RNA binding motif, single stranded interacting protein 1	RBMS1
2522	77,8	52,7	1,48	0,017014	0,369	227701_at	Chromosome 10 open reading frame 118	C10orf118
3120	59,2	40,0	1,48	0,022086	0,387	228852_at	Endosulfine alpha	ENSA
1746	183	124	1,48	0,011149	0,348	208663_s_at	Tetratricopeptide repeat domain 3	TTC3
4036	9,30	6,29	1,48	0,029576	0,401	211124_s_at	KIT ligand	KITLG
5724	50,6	34,3	1,48	0,045873	0,438	230337_at	SON of sevenless homolog 1 (Drosophila)	SOS1
4448	27,8	18,8	1,48	0,033401	0,411	235408_x_at	Zinc finger protein 117	ZNF117
2653	11,4	7,69	1,48	0,018089	0,373	241789_at	RNA binding motif, single stranded interacting protein	RBMS3
793	15,2	10,3	1,48	0,004532	0,311	244023_at	Spleen tyrosine kinase	SYK
471	82,7	56,0	1,48	0,002509	0,289	222632_s_at	Leucine zipper transcription factor-like 1	LZTFL1
3809	63,1	42,7	1,48	0,027752	0,398	223134_at	Bobby sox homolog (Drosophila)	BBX
2560	39,3	26,6	1,48	0,017359	0,371	219204_s_at	serine racemase	SRR
3752	119	81,0	1,48	0,027281	0,397	211783_s_at	Metastasis associated 1	MTA1
1865	531	360	1,48	0,012051	0,353	213229_at	Dicer1, Dcr-1 homolog (Drosophila)	DICER1
1141	59,4	40,3	1,47	0,006692	0,320	238444_at	Zinc finger protein 618	ZNF618
2250	5,69	3,86	1,47	0,014951	0,363	1554557_at	ATPase, Class VI, type 11B	ATP11B
4777	280	190	1,47	0,036218	0,414	202133_at	WW domain containing transcription regulator 1	WWTR1
4107	31,0	21,0	1,47	0,030190	0,402	219501_at	Ecto-NOX disulfide-thiol exchanger 1	ENOX1
1736	40,8	27,7	1,47	0,011097	0,348	228772_at	Histamine N-methyltransferase	HNMT
5917	43,5	29,6	1,47	0,047951	0,443	227415_at	Hypothetical protein LOC283508	LOC283508
2251	71,0	48,2	1,47	0,014960	0,363	201151_s_at	Muscleblind-like (Drosophila)	MBNL1
2871	113	76,8	1,47	0,020167	0,383	211110_s_at	Androgen receptor	AR
1560	200	136	1,47	0,009649	0,338	218595_s_at	HEAT repeat containing 1	HEATR1
2299	12,3	8,38	1,47	0,015275	0,363	207017_at	RAB27B, member RAS oncogene family	RAB27B
2975	114	77,4	1,47	0,020917	0,384	218721_s_at	Chromosome 1 open reading frame 27	C1orf27
3546	269	183	1,47	0,025502	0,393	218084_x_at	FXYD domain containing ion transport regulator 5	FXYD5
701	45,0	30,6	1,47	0,004023	0,308	1555913_at	Gon-4-like (C. elegans)	GON4L
349	21,8	14,9	1,47	0,001778	0,278	238044_at	Tripartite motif-containing 8	TRIM8
3366	7,10	4,83	1,47	0,023903	0,388	209866_s_at	Latrophilin 3	LPHN3
4591	19,5	13,3	1,47	0,034720	0,412	238575_at	Oxysterol binding protein-like 6	OSBPL6
1358	329	224	1,47	0,008193	0,328	224811_at	cDNA FLJ30652 fis, clone DFNES2000011	-
1425	27,2	18,5	1,47	0,008633	0,331	232522_at	Transcription factor 7-like 2 (T-cell specific, HMG-box)	TCF7L2
3084	34,7	23,6	1,47	0,021728	0,385	227785_at	Serologically defined colon cancer antigen 8	SDCCAG8
2156	24,9	17,0	1,47	0,014207	0,360	240145_at	Transcribed locus	-
2166	85,7	58,4	1,47	0,014337	0,361	1553185_at	RAS and EF-hand domain containing	RASEF
3227	110	74,7	1,47	0,022857	0,387	224829_at	Cytoplasmic polyadenylation element binding protein 4	CPEB4
3272	181	124	1,47	0,023277	0,388	224252_s_at	FXYD domain containing ion transport regulator 5	FXYD5
