Symbol (HUGO)	Gene	Microarray data ratio  DMD/REF	Microarray data ratio AGING/REF	Domain
SLC9A6	solute carrier family 9 (sodium/hydrogen exchanger), isoform 6	NS	0.4202054	ion transport
MSH5	mutS homolog 5 (E. coli)	-0.51007895	-0.66662565	mitotic cell cycle
CNAP1	chromosome condensation-related SMC-associated protein 1	-0.43930725	NS	mitotic cell cycle
CHAF1B	chromatin assembly factor 1, subunit B (p60)	-0.4148225	NS	mitotic cell cycle
CDKN1C	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	0.27123105	NS	mitotic cell cycle
POLE	polymerase (DNA directed), epsilon	0.51199895	NS	mitotic cell cycle
POLD2	polymerase (DNA directed), delta 2, regulatory subunit 50kDa	0.6840615	0.33336545	mitotic cell cycle
S100A11	S100 calcium binding protein A11 (calgizzarin)	1.2997854	0.34535905	mitotic cell cycle
CNN1	calponin 1, basic, smooth muscle	-0.551167225	-0.475741025	muscle contraction
MYOM2	myomesin (M-protein) 2, 165kDa	-0.45004165	NS	muscle contraction
EDNRA	endothelin receptor type A	-0.386025725	NS	muscle contraction
FER1L3	fer-1-like 3, myoferlin (C. elegans)	-0.1772333	-0.58465885	muscle contraction
SLC6A8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	0.19678325	NS	muscle contraction
HCN4	hyperpolarization activated cyclic nucleotide-gated potassium channel 4	0.20472389	0.3508993	muscle contraction
RYR2	ryanodine receptor 2 (cardiac)	0.240642675	NS	muscle contraction
SRI	sorcin	0.2659355	NS	muscle contraction
SLC8A1	solute carrier family 8 (sodium/calcium exchanger), member 1	0.320522435	0.620193	muscle contraction
DMPK	dystrophia myotonica-protein kinase	0.331014875	NS	muscle contraction
SODIUM/CALCIUME-1A	sodium/calcium exchanger 1 splice variant NaCa10 (SLC8A1) mRNA, partial cds.	0.4	0.24	muscle contraction
EMD	emerin (Emery-Dreifuss muscular dystrophy)	0.410563075	0.618732175	muscle contraction
BDKRB2	bradykinin receptor B2	0.488243575	0.3672354	muscle contraction
LSP1	lymphocyte-specific protein 1	0.711153825	NS	muscle contraction
MYH3	myosin, heavy polypeptide 3, skeletal muscle, embryonic	1.750631	NS	muscle contraction
CLCN1	chloride channel 1, skeletal muscle (Thomsen disease, autosomal dominant)	NS	0.2923635	muscle contraction
FKBP1B	FK506 binding protein 1B, 12.6 kDa	NS	-0.3665835	muscle contraction
GPR38	G protein-coupled receptor 38	NS	-0.4620634	muscle contraction
KCNIP2	Kv channel interacting protein 2	NS	-0.284921475	muscle contraction
LTB4R	leukotriene B4 receptor	NS	0.279928325	muscle contraction
PDC	phosducin	-0.72409115	NS	perception of external stimulus
AIPL1	aryl hydrocarbon receptor interacting protein-like 1	-0.674771725	-0.79683695	perception of external stimulus
MIP	major intrinsic protein of lens fiber	-0.620194925	NS	perception of external stimulus
ABCC6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	-0.48507145	-0.338164351	perception of external stimulus
PDE6G	phosphodiesterase 6G, cGMP-specific, rod, gamma	-0.4395071	NS	perception of external stimulus
VIAF1	IAP-associated factor VIAF1	-0.388211589	NS	perception of external stimulus
KCNIP1	Kv channel interacting protein 1	-0.257668225	NS	perception of external stimulus
TIMM10	translocase of inner mitochondrial membrane 10 homolog (yeast)	0.20728235	NS	perception of external stimulus
MYO15A	myosin XVA	0.262641481	NS	perception of external stimulus
RGR	retinal G protein coupled receptor	0.518443625	NS	perception of external stimulus
EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	1.0428555	NS	perception of external stimulus
EIF5	eukaryotic translation initiation factor 5	-0.401934621	NS	protein biosynthesis
BZW2	basic leucine zipper and W2 domains 2	-0.361722775	NS	protein biosynthesis
EIF4G1	eukaryotic translation initiation factor 4 gamma, 1	-0.355457725	-0.3987627	protein biosynthesis
EIF3S9	eukaryotic translation initiation factor 3, subunit 9 eta, 116kDa	-0.3092924	-0.4165262	protein biosynthesis
FARSL	phenylalanine-tRNA synthetase-like	-0.3041981	-0.32285519	protein biosynthesis
SIAT4C	sialyltransferase 4C (beta-galactosidase alpha-2,3-sialytransferase)	-0.270437375	NS	protein biosynthesis
EEF2K	elongation factor-2 kinase	-0.21681385	-0.5681211	protein biosynthesis
EIF3S7	eukaryotic translation initiation factor 3, subunit 7 zeta, 66/67kDa	0.244171975	NS	protein biosynthesis
IARS	isoleucine-tRNA synthetase	0.2554565	0.484480575	protein biosynthesis
RPS12	ribosomal protein S12	0.3451451	NS	protein biosynthesis
ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	0.3483153	0.37494575	protein biosynthesis
PIGF	phosphatidylinositol glycan, class F	0.3707149	NS	protein biosynthesis
DAD1	defender against cell death 1	0.3775679	NS	protein biosynthesis
FAU	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived); ribosomal protein S30	0.3781012	NS	protein biosynthesis
EIF3S6IP	eukaryotic translation initiation factor 3, subunit 6 interacting protein	0.397582197	NS	protein biosynthesis
UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	0.4068424	NS	protein biosynthesis
RPL26	ribosomal protein L26	0.4626703	NS	protein biosynthesis
RPL3	ribosomal protein L3	0.491894175	-0.269079825	protein biosynthesis
RPL12	ribosomal protein L12	0.562580175	NS	protein biosynthesis
RPL8	ribosomal protein L8	0.569136425	0.288990025	protein biosynthesis
DARS	aspartyl-tRNA synthetase	NS	0.446642525	protein biosynthesis
EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	NS	-0.94795145	protein biosynthesis
GCN1L1	GCN1 general control of amino-acid synthesis 1-like 1 (yeast)	NS	0.45534835	protein biosynthesis
IFP38	IFP38	NS	0.3774172	protein biosynthesis
SIAT4B	sialyltransferase 4B (beta-galactoside alpha-2,3-sialytransferase)	NS	-0.3650867	protein biosynthesis
WARS	tryptophanyl-tRNA synthetase	NS	0.4225924	protein biosynthesis
USP13	ubiquitin specific protease 13 (isopeptidase T-3)	-1.19979175	NS	protein catabolism
ADAM21	a disintegrin and metalloproteinase domain 21	-0.8310429	0.352543	protein catabolism
KLK14	kallikrein 14	-0.59098335	NS	protein catabolism
MMP23A	matrix metalloproteinase 23A	-0.4926087	NS	protein catabolism
MMP7	matrix metalloproteinase 7 (matrilysin, uterine)	-0.490884375	NS	protein catabolism
TFRC	transferrin receptor (p90, CD71)	-0.34192255	NS	protein catabolism
CPA2	carboxypeptidase A2 (pancreatic)	-0.2822974	-0.28715455	protein catabolism
RNF128	ring finger protein 128	-0.27791425	NS	protein catabolism
ECE1	endothelin converting enzyme 1	-0.184553073	NS	protein catabolism
PRTN3	proteinase 3 (serine proteinase, neutrophil, Wegener granulomatosis autoantigen)	0.2060404	0.2600452	protein catabolism
TIMP2	tissue inhibitor of metalloproteinase 2	0.23	0.28	protein catabolism
PRSS15	protease, serine, 15	0.240836628	0.324884055	protein catabolism
PSMA7	proteasome (prosome, macropain) subunit, alpha type, 7	0.28561055	NS	protein catabolism
MMP3	matrix metalloproteinase 3 (stromelysin 1, progelatinase)	0.293941875	0.23710885	protein catabolism
CTSD	cathepsin D (lysosomal aspartyl protease)	0.327995	NS	protein catabolism
CTSS	cathepsin S	0.41489465	NS	protein catabolism
BACE2	beta-site APP-cleaving enzyme 2	0.4208153	0.37900325	protein catabolism
ADAM17	a disintegrin and metalloproteinase domain 17 (tumor necrosis factor, alpha, converting enzyme)	0.465536075	0.558325425	protein catabolism
PSMB4	proteasome (prosome, macropain) subunit, beta type, 4	0.555029125	NS	protein catabolism
PPGB	protective protein for beta-galactosidase (galactosialidosis)	0.5573994	0.24072885	protein catabolism
PSMB10	proteasome (prosome, macropain) subunit, beta type, 10	0.667679725	0.518647825	protein catabolism
MMP2	matrix metalloproteinase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	0.703261475	0.38016929	protein catabolism
PRCP	prolylcarboxypeptidase (angiotensinase C)	0.77644368	NS	protein catabolism
PRSS11	protease, serine, 11 (IGF binding)	0.79795845	NS	protein catabolism
TIMP1	tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)	0.969459225	0.3194558	protein catabolism
ADAMTS13	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 13	NS	0.390552275	protein catabolism
ADAMTS5	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)	NS	-0.57055155	protein catabolism
BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	NS	-0.652266675	protein catabolism
CASP3	caspase 3, apoptosis-related cysteine protease	NS	0.4058451	protein catabolism
FBXO2	F-box only protein 2	NS	-0.373674175	protein catabolism
FAP	fibroblast activation protein, alpha	NS	0.46671145	protein catabolism
LTBP4	latent transforming growth factor beta binding protein 4	NS	-0.309611625	protein catabolism
LAP3	leucine aminopeptidase 3	NS	0.288831103	protein catabolism
LCN7	lipocalin 7	NS	-0.442834025	protein catabolism
MMP20	matrix metalloproteinase 20 (enamelysin)	NS	-0.3641426	protein catabolism
UCHL1	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)	NS	0.40101066	protein catabolism
UBE4B	ubiquitination factor E4B (UFD2 homolog, yeast)	NS	-0.2963109	protein catabolism
XPNPEP2	X-prolyl aminopeptidase (aminopeptidase P) 2, membrane-bound	NS	-0.7858282	protein catabolism
RNF130	ring finger protein 130	NS	0.397435825	protein catabolism
RPC32	polymerase (RNA) III (DNA directed) (32kD)	-0.740172075	-0.317587425	transcription
MADH2	MAD, mothers against decapentaplegic homolog 2 (Drosophila)	-0.7197818	-0.45688035	transcription
SNFT	Jun dimerization protein p21SNFT	-0.6797027	-0.6006928	transcription
GTF2A1	general transcription factor IIA, 1, 19/37kDa	-0.64656265	-0.593903225	transcription
PPP3CB	protein phosphatase 3 (formerly 2B), catalytic subunit, beta isoform (calcineurin A beta)	-0.63659545	NS	transcription
NFATC2	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2	-0.62434975	-0.4474298	transcription
MCM2	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	-0.6010148	-0.95913925	transcription
KIAA1862	KIAA1862 protein	-0.546916225	NS	transcription
BRPF1	bromodomain and PHD finger containing, 1	-0.517513575	-0.58284005	transcription
ARNT	aryl hydrocarbon receptor nuclear translocator	-0.513105675	NS	transcription
HIVEP2	human immunodeficiency virus type I enhancer binding protein 2	-0.4736926	NS	transcription
AES	amino-terminal enhancer of split	-0.46822465	NS	transcription
SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	-0.4456919	-0.347584975	transcription
SNW1	SKI-interacting protein	-0.430370975	-0.286940525	transcription
TCEB3L	transcription elongation factor (SIII) elongin A2	-0.42093635	-0.4137533	transcription
HOXB8	homeo box B8	-0.417596487	NS	transcription
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	-0.407984625	-0.3887263	transcription
ZNF435	zinc finger protein 435	-0.392662975	-0.418748375	transcription
TP73	tumor protein p73	-0.392208325	0.40692905	transcription
ILF3	interleukin enhancer binding factor 3, 90kDa	-0.39141255	NS	transcription
TCF4	transcription factor 4	-0.3442245	NS	transcription
NFYB	nuclear transcription factor Y, beta	-0.334095625	-0.61587035	transcription
ETV7	ets variant gene 7 (TEL2 oncogene )	-0.327407125	-0.6580564	transcription
ZNF274	zinc finger protein 274	-0.32093185	NS	transcription
BRCA2	breast cancer 2, early onset	-0.313437125	NS	transcription
NFAT5	nuclear factor of activated T-cells 5, tonicity-responsive	-0.29827455	NS	transcription
LZTS1	leucine zipper, putative tumor suppressor 1	-0.2977971	NS	transcription
HDAC11	histone deacetylase 11	-0.26461315	-0.3607933	transcription
ZNF76	zinc finger protein 76 (expressed in testis)	-0.256393922	-0.6542605	transcription
MADH6	MAD, mothers against decapentaplegic homolog 6 (Drosophila)	-0.2062178	NS	transcription
BS69	adenovirus 5 E1A binding protein	-0.191140725	NS	transcription
ERF	Ets2 repressor factor	-0.1874887	-0.681713075	transcription
KLF5	Kruppel-like factor 5 (intestinal)	0.21639675	NS	transcription
EDF1	endothelial differentiation-related factor 1	0.28301345	NS	transcription
PHF10	PHD finger protein 10	0.298931325	NS	transcription
PML	promyelocytic leukemia	0.329575575	NS	transcription
ELF2	E74-like factor 2 (ets domain transcription factor)	0.33454655	NS	transcription
POU2F1	POU domain, class 2, transcription factor 1	0.334701775	0.4551321	transcription
KLF13	Kruppel-like factor 13	0.3736943	NS	transcription
MADH1	MAD, mothers against decapentaplegic homolog 1 (Drosophila)	0.44	0.36502595	transcription
TCEB2	transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B)	0.445693952	NS	transcription
REQ	requiem, apoptosis response zinc finger gene	0.45285735	0.454933925	transcription
FTSJ1	FtsJ homolog 1 (E. coli)	0.4598495	NS	transcription
P66ALPHA	p66 alpha	0.477488399	0.512362025	transcription
HIF3A	hypoxia inducible factor 3, alpha subunit	0.47803835	NS	transcription
XBP1	X-box binding protein 1	0.503500859	0.54812755	transcription
OIP106	OGT(O-Glc-NAc transferase)-interacting protein 106 KDa	0.506354028	NS	transcription
SUPERCI-1B	super cysteine rich protein mRNA, partial cds.	0.53	0.38	transcription
ZNF83	zinc finger protein 83 (HPF1)	0.5826219	NS	transcription
PHF7	PHD finger protein 7	0.6007402	NS	transcription
HMGB1	high-mobility group box 1	0.6109822	NS	transcription
POLR2L	polymerase (RNA) II (DNA directed) polypeptide L, 7.6kDa	0.6129265	NS	transcription
ID1	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	0.7424645	NS	transcription
TBX5	T-box 5	0.942066675	0.9330183	transcription
NFE2L1	nuclear factor (erythroid-derived 2)-like 1	NS	-0.19945775	transcription
BRCA1	breast cancer 1, early onset	NS	-0.264193375	transcription
BRF1	BRF1 homolog, subunit of RNA polymerase III transcription initiation factor IIIB (S. cerevisiae)	NS	-0.3537023	transcription
CSEN	calsenilin, presenilin binding protein, EF hand transcription factor	NS	-0.33119	transcription
ELF4	E74-like factor 4 (ets domain transcription factor)	NS	0.3086037	transcription
GRLF1	glucocorticoid receptor DNA binding factor 1	NS	-0.7597132	transcription
HDAC2	histone deacetylase 2	NS	-0.5083684	transcription
HDAC3	histone deacetylase 3	NS	0.29580165	transcription
HOXD13	homeo box D13	NS	-0.38360307	transcription
FLJ14009	hypothetical protein FLJ14009	NS	-0.337342703	transcription
MXD4	MAX dimerization protein 4	NS	-0.66763935	transcription
MLL3	myeloid/lymphoid or mixed-lineage leukemia3	NS	0.29459845	transcription
NFIL3	nuclear factor, interleukin 3 regulated	NS	0.33616065	transcription
NSEP1	nuclease sensitive element binding protein 1	NS	-0.24090706	transcription
OTX2	orthodenticle homolog 2 (Drosophila)	NS	0.2204478	transcription
PF1	PHD zinc finger transcription factor	NS	0.385038575	transcription
POLR2I	polymerase (RNA) II (DNA directed) polypeptide I, 14.5kDa	NS	-0.2690928	transcription
RFXAP	regulatory factor X-associated protein	NS	0.257289575	transcription
RXRA	retinoid X receptor, alpha	NS	0.20906375	transcription
SP140	SP140 nuclear body protein	NS	-0.3895011	transcription
TAF6L	TAF6-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa	NS	-0.592054925	transcription
TBX6	T-box 6	NS	-0.6459534	transcription
TITF1	thyroid transcription factor 1	NS	-0.589570575	transcription
TCF12	transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)	NS	-0.4945038	transcription
TCF21	transcription factor 21	NS	-0.606134375	transcription
MAFK	v-maf musculoaponeurotic fibrosarcoma oncogene homolog K (avian)	NS	-0.500054625	transcription
WHSC1	Wolf-Hirschhorn syndrome candidate 1	NS	0.5896593	transcription
XPMC2H	Xenopus prevents mitotic catastrophe 2 homolog	NS	-0.2380885	transcription
LITAF	lipopolysaccharide-induced TNF factor	NS	0.46115415	transcription
