Symbol	Entrez Gene Name	Affymetrix_ID	Fold Change	Fold Change	Location	Type
NCAPH	non-SMC condensin I complex, subunit H	212949_at	-1.026	1.594	Nucleus	other
NCK1 (includes EG:4690)	NCK adaptor protein 1	211063_s_at	-1.278		Cytoplasm	kinase
NDC80	NDC80 homolog, kinetochore complex component (S. cerevisiae)	204162_at	-1.369	-1.071	Nucleus	other
NDUFA5	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5, 13kDa	201304_at	-2.110		Cytoplasm	enzyme
NEK9	NIMA (never in mitosis gene a)- related kinase 9	212299_at	1.139		Nucleus	kinase
NET1	neuroepithelial cell transforming 1	201830_s_at	-2.149		Nucleus	other
NFATC3	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3	210555_s_at		1.018	Nucleus	transcription regulator
NFE2L1	nuclear factor (erythroid-derived 2)-like 1	200758_s_at	-1.822	-2.250	Nucleus	transcription regulator
NISCH	nischarin	201591_s_at		-1.403	Plasma Membrane	transmembrane receptor
NLE1	notchless homolog 1 (Drosophila)	203867_s_at	-1.224	1.276	Nucleus	enzyme
NME7	non-metastatic cells 7, protein expressed in (nucleoside-diphosphate kinase)	219553_at		1.233	Unknown	kinase
NMT2	N-myristoyltransferase 2	205006_s_at	-1.479		Cytoplasm	enzyme
NOL8	nucleolar protein 8	218244_at		-1.698	Nucleus	other
NOLA1	GAR1 ribonucleoprotein homolog (yeast)	219110_at	-1.056		Nucleus	ion channel
NOLC1	nucleolar and coiled-body phosphoprotein 1	211951_at	1.186		Nucleus	other
NPDC1	neural proliferation, differentiation and control, 1	218086_at	-1.018	-1.003	Extracellular Space	other
NPIP	nuclear pore complex interacting protein	204538_x_at	-1.404	-1.032	Nucleus	other
NRIP1	nuclear receptor interacting protein 1	202599_s_at	-2.029		Nucleus	transcription regulator
NRP1	neuropilin 1	212298_at		1.167	Plasma Membrane	transmembrane receptor
NSL1	NSL1, MIND kinetochore complex component, homolog (S. cerevisiae)	209484_s_at	-1.142		Nucleus	other
NUDT21	nudix (nucleoside diphosphate linked moiety X)-type motif 21	213461_at	1.214		Nucleus	other
NUP50	nucleoporin 50kDa	213682_at	-1.166	1.090	Nucleus	transporter
NUP85	nucleoporin 85kDa	218014_at	-1.077		Cytoplasm	other
NUP88	nucleoporin 88kDa	202900_s_at	-1.291		Nucleus	transporter
NUP160	nucleoporin 160kDa	212709_at	-1.054		Nucleus	transporter
NXT2	nuclear transport factor 2-like export factor 2	209628_at	1.251		Nucleus	transporter
OGT	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	212307_s_at	-1.201	-1.067	Cytoplasm	enzyme
OPA1	optic atrophy 1 (autosomal dominant)	212214_at	-1.418		Cytoplasm	enzyme
OPTN	optineurin	202074_s_at	-2.048	-1.600	Cytoplasm	other
ORC6L	origin recognition complex, subunit 6 like (yeast)	219105_x_at	-1.054		Nucleus	other
PA2G4	proliferation-associated 2G4, 38kDa	214794_at	2.304		Nucleus	transcription regulator
PACSIN2	protein kinase C and casein kinase substrate in neurons 2	201651_s_at	2.300		Cytoplasm	transporter
PAFAH1B1	platelet-activating factor acetylhydrolase, isoform Ib, subunit 1 (45kDa)	200816_s_at	-2.156	-1.580	Cytoplasm	enzyme
PALLD	palladin, cytoskeletal associated protein	200907_s_at	-1.798		Cytoplasm	other
PANK2	pantothenate kinase 2	218809_at	1.629		Cytoplasm	kinase
PAXIP1	PAX interacting (with transcription-activation domain) protein 1	212825_at	-1.300		Nucleus	other
PBK	PDZ binding kinase	219148_at	-1.118	-1.250	Cytoplasm	kinase
PBX1	pre-B-cell leukemia homeobox 1	212151_at	1.367		Nucleus	transcription regulator
PCGF2	polycomb group ring finger 2	214239_x_at	1.351		Nucleus	transcription regulator
PCNA	proliferating cell nuclear antigen	201202_at	-2.900		Nucleus	other
PDSS1	prenyl (decaprenyl) diphosphate synthase, subunit 1	220865_s_at	-1.101	-1.253	Unknown	enzyme
PGLS	6-phosphogluconolactonase	218388_at	1.587		Cytoplasm	enzyme
PGRMC2	progesterone receptor membrane component 2	213227_at	-1.170	-1.045	Nucleus	ligand-dependent nuclear receptor
PHB (includes EG:5245)	prohibitin	200659_s_at	-2.327		Nucleus	transcription regulator
PHGDH	phosphoglycerate dehydrogenase	201397_at	-1.509	-1.761	Cytoplasm	enzyme
PHIP	pleckstrin homology domain interacting protein	212542_s_at	1.042		Nucleus	other
PHLDA2	pleckstrin homology-like domain, family A, member 2	209803_s_at	-1.779	-1.274	Cytoplasm	other
PIGP	phosphatidylinositol glycan anchor biosynthesis, class P	221689_s_at	-1.024		Plasma Membrane	enzyme
PIK3R4	phosphoinositide-3-kinase, regulatory subunit 4	212740_at	-1.299		Cytoplasm	kinase
PINK1	PTEN induced putative kinase 1	--		1.182	Cytoplasm	kinase
PLAT	plasminogen activator, tissue	201860_s_at	-1.515	-1.492	Extracellular Space	peptidase
PLAUR	plasminogen activator, urokinase receptor	211924_s_at	-1.092		Plasma Membrane	transmembrane receptor
PLK4	polo-like kinase 4 (Drosophila)	204887_s_at	-1.046	-1.348	Cytoplasm	kinase
PLS1 (includes EG:5357)	plastin 1 (I isoform)	205190_at	-1.275	-1.430	Cytoplasm	other
PLXNB2	plexin B2	208890_s_at		1.250	Plasma Membrane	other
PNN	pinin, desmosome associated protein	212037_at	-1.608	-1.218	Plasma Membrane	other
POLD3	polymerase (DNA-directed), delta 3, accessory subunit	212836_at	-1.199		Nucleus	transcription regulator
POLE2	polymerase (DNA directed), epsilon 2 (p59 subunit)	205909_at	1.126	-1.098	Nucleus	enzyme
POLE3	polymerase (DNA directed), epsilon 3 (p17 subunit)	208828_at	-1.943		Nucleus	enzyme
POLR3K	polymerase (RNA) III (DNA directed) polypeptide K, 12.3 kDa	218866_s_at	-1.133		Nucleus	transcription regulator
POP7	processing of precursor 7, ribonuclease P/MRP subunit (S. cerevisiae)	209482_at	-1.093		Nucleus	enzyme
PPM1B	protein phosphatase 1B (formerly 2C), magnesium-dependent, beta isoform	209296_at		1.418	Unknown	phosphatase
PPP1CB	protein phosphatase 1, catalytic subunit, beta isoform	201408_at	-1.562		Cytoplasm	phosphatase
PPP1R15A (includes EG:23645)	protein phosphatase 1, regulatory (inhibitor) subunit 15A	37028_at	-1.111	1.112	Cytoplasm	other
PPP2R1B	protein phosphatase 2 (formerly 2A), regulatory subunit A, beta isoform	202883_s_at	-2.083		Unknown	phosphatase
PPP3CA	protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform	--		-1.389	Cytoplasm	phosphatase
PRC1	protein regulator of cytokinesis 1	218009_s_at	-1.102	-1.170	Nucleus	other
PRDM4	PR domain containing 4	218329_at	-1.267		Nucleus	transcription regulator
PRKACB	protein kinase, cAMP-dependent, catalytic, beta	202741_at	-1.315		Cytoplasm	kinase
PRPF18	PRP18 pre-mRNA processing factor 18 homolog (S. cerevisiae)	221547_at	-1.575		Nucleus	transporter
PRPF4B	PRP4 pre-mRNA processing factor 4 homolog B (yeast)	202126_at	-1.753		Nucleus	kinase
PRPS1	phosphoribosyl pyrophosphate synthetase 1	209440_at	-1.352		Unknown	kinase
PSAP	prosaposin	200866_s_at	-2.361	-1.642	Extracellular Space	other
PSAT1	phosphoserine aminotransferase 1	220892_s_at	-1.413		Cytoplasm	enzyme
PSMA2	proteasome (prosome, macropain) subunit, alpha type, 2	201316_at	-1.757	-2.124	Cytoplasm	peptidase
PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2	201067_at	-1.696		Nucleus	peptidase
PSMC3IP	PSMC3 interacting protein	213951_s_at	1.397		Nucleus	other
PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6	202753_at			Cytoplasm	enzyme
PSMD12	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12	202353_s_at	-1.840	-1.018	Cytoplasm	other
PTGER4	prostaglandin E receptor 4 (subtype EP4)	204897_at	-1.290		Plasma Membrane	G-protein coupled receptor
PTP4A1	protein tyrosine phosphatase type IVA, member 1	--		-2.493	Nucleus	phosphatase
PTP4A2	protein tyrosine phosphatase type IVA, member 2	208615_s_at	-1.331	-1.101	Plasma Membrane	phosphatase
PTX3	pentraxin-related gene, rapidly induced by IL-1 beta	206157_at		-2.089	Extracellular Space	other
RAB1A	RAB1A, member RAS oncogene family	207791_s_at	-1.566		Cytoplasm	enzyme
RAB2A	RAB2A, member RAS oncogene family	--		-2.224	Cytoplasm	enzyme
RAB7A	RAB7A, member RAS oncogene family	--		-1.276	Cytoplasm	enzyme
RAB8A	RAB8A, member RAS oncogene family	208819_at	1.926		Cytoplasm	enzyme
RABEP1	rabaptin, RAB GTPase binding effector protein 1	214552_s_at		1.024	Cytoplasm	transporter
RACGAP1	Rac GTPase activating protein 1	222077_s_at	1.013	-1.229	Cytoplasm	transporter
RAD1	RAD1 homolog (S. pombe)	204460_s_at	-1.478		Nucleus	enzyme
RAD17	RAD17 homolog (S. pombe)	210826_x_at	1.169		Nucleus	other
RAD50	RAD50 homolog (S. cerevisiae)	208393_s_at	-1.048	-1.869	Nucleus	enzyme
RAD51AP1	RAD51 associated protein 1	204146_at	-1.101		Nucleus	other
RANBP1	RAN binding protein 1	202483_s_at	-1.339		Nucleus	other
RANBP2	RAN binding protein 2	--		-1.523	Nucleus	enzyme
RB1	retinoblastoma 1	203132_at	-1.160		Nucleus	transcription regulator
RBBP4	retinoblastoma binding protein 4	210371_s_at	-1.105		Nucleus	enzyme
RBM25	RNA binding motif protein 25	212027_at	-2.343	-1.165	Nucleus	other
RBX1	ring-box 1	218117_at		1.053	Cytoplasm	enzyme
RDH11	retinol dehydrogenase 11 (all-trans/9-cis/11-cis)	217775_s_at	-1.102	-1.680	Cytoplasm	enzyme
RECQL	RecQ protein-like (DNA helicase Q1-like)	212918_at	-1.667		Nucleus	enzyme
REEP5	receptor accessory protein 5	208873_s_at	-2.099	1.436	Extracellular Space	transporter
REXO4	REX4, RNA exonuclease 4 homolog (S. cerevisiae)	218767_at		-1.324	Nucleus	transcription regulator
RFC2	replication factor C (activator 1) 2, 40kDa	203696_s_at	-1.369		Nucleus	other
RFC3	replication factor C (activator 1) 3, 38kDa	204127_at	-2.506	-1.286	Nucleus	enzyme
RFC5	replication factor C (activator 1) 5, 36.5kDa	203209_at	-1.354	4.253	Nucleus	enzyme
RGS4	regulator of G-protein signaling 4	204337_at	-1.101	-1.336	Cytoplasm	other
RNASEH1	ribonuclease H1	218496_at	1.243		Nucleus	enzyme
RND3	Rho family GTPase 3	212724_at	1.047		Cytoplasm	enzyme
RNF139	ring finger protein 139	209510_at	-1.167		Cytoplasm	enzyme
RPA2	replication protein A2, 32kDa	201756_at	-1.387		Nucleus	other
RPA3	replication protein A3, 14kDa	209507_at			Nucleus	other
RPIA	ribose 5-phosphate isomerase A	212973_at	-1.040	-1.103	Cytoplasm	enzyme
RRM2	ribonucleotide reductase M2	201890_at	-2.497		Nucleus	enzyme
RSU1	Ras suppressor protein 1	201980_s_at		1.927	Cytoplasm	other
RTN3	reticulon 3	219549_s_at	1.176		Cytoplasm	other
RYBP	RING1 and YY1 binding protein	201845_s_at	-1.477		Nucleus	transcription regulator
SAP30	Sin3A-associated protein, 30kDa	204900_x_at	-1.432		Nucleus	transcription regulator
SAR1A	SAR1 homolog A (S. cerevisiae)	201542_at	-2.008		Cytoplasm	enzyme
SARS	seryl-tRNA synthetase	200802_at	-1.357	1.988	Cytoplasm	enzyme
SAT1	spermidine/spermine N1-acetyltransferase 1	--		1.251	Cytoplasm	enzyme
SAV1	salvador homolog 1 (Drosophila)	218276_s_at		1.358	Unknown	other
SC4MOL	sterol-C4-methyl oxidase-like	209146_at	-1.081		Cytoplasm	enzyme
SCD	stearoyl-CoA desaturase (delta-9-desaturase)	200831_s_at	-2.801		Cytoplasm	enzyme
SCYE1	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1	202541_at	-1.567		Extracellular Space	cytokine
SEC31A	SEC31 homolog A (S. cerevisiae)	--		1.116	Cytoplasm	other
SEL1L	sel-1 suppressor of lin-12-like (C. elegans)	202061_s_at	-1.475		Cytoplasm	other
SEPHS1	selenophosphate synthetase 1	--		1.326	Unknown	enzyme
SEPW1	selenoprotein W, 1	201194_at	-1.284		Cytoplasm	enzyme
SERTAD2	SERTA domain containing 2	--		1.733	Cytoplasm	transcription regulator
SESN1	sestrin 1	218346_s_at		-1.429	Nucleus	other
SF3A3	splicing factor 3a, subunit 3, 60kDa	203818_s_at	-1.202		Nucleus	other
SFRS1	splicing factor, arginine/serine-rich 1	211784_s_at	1.185		Nucleus	other
SFRS2	splicing factor, arginine/serine-rich 2	200753_x_at	-2.563	2.039	Nucleus	transcription regulator
SFRS3	splicing factor, arginine/serine-rich 3	208673_s_at	-1.400	-1.055	Nucleus	other
SFRS6	splicing factor, arginine/serine-rich 6	208804_s_at	-1.513		Nucleus	other
SFRS7	splicing factor, arginine/serine-rich 7, 35kDa	214141_x_at	-1.301		Nucleus	other
SFRS10	transformer 2 beta homolog (Drosophila)	200893_at	-2.192	-2.468	Nucleus	other
SH2B3	SH2B adaptor protein 3	203320_at	1.383		Cytoplasm	other
SH3GLB1	SH3-domain GRB2-like endophilin B1	209091_s_at	-1.585		Cytoplasm	enzyme
SHCBP1	SHC SH2-domain binding protein 1	219493_at	1.317	1.729	Unknown	other
SIVA1	SIVA1, apoptosis-inducing factor	203489_at	-1.707	2.877	Cytoplasm	other
SKP2	S-phase kinase-associated protein 2 (p45)	203625_x_at	-1.254		Nucleus	other
SKP1A	S-phase kinase-associated protein 1	200711_s_at	-2.295		Nucleus	transcription regulator
SLC16A1	solute carrier family 16, member 1 (monocarboxylic acid transporter 1)	202234_s_at	1.624	-1.633	Plasma Membrane	transporter
SLC25A12	solute carrier family 25 (mitochondrial carrier, Aralar), member 12	203339_at	-1.758	-1.227	Cytoplasm	transporter
SLC25A13	solute carrier family 25, member 13 (citrin)	203775_at	1.910	-1.285	Cytoplasm	transporter
SLC3A2	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	200924_s_at	-1.695		Plasma Membrane	transporter
SLC5A3	solute carrier family 5 (sodium/myo-inositol cotransporter), member 3	213164_at	1.144		Plasma Membrane	transporter
SLC6A8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	--		1.487	Cytoplasm	transporter
SLC6A15	solute carrier family 6 (neutral amino acid transporter), member 15	206376_at	-1.039	1.274	Plasma Membrane	transporter
SLC7A5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	201195_s_at	-1.978		Plasma Membrane	transporter
SLIT2	slit homolog 2 (Drosophila)	209897_s_at		-1.426	Extracellular Space	other
SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	213251_at	-1.015		Nucleus	transcription regulator
SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	211988_at	-1.421		Nucleus	transcription regulator
SMC2	structural maintenance of chromosomes 2	204240_s_at	-1.425		Nucleus	transporter
SMC3	structural maintenance of chromosomes 3	209259_s_at	-1.189		Nucleus	other
SNRPA	small nuclear ribonucleoprotein polypeptide A	201770_at	-1.254		Nucleus	other
SNRPA1	small nuclear ribonucleoprotein polypeptide A	206055_s_at	1.986		Nucleus	other
SNRPD1	small nuclear ribonucleoprotein D1 polypeptide 16kDa	--		1.378	Nucleus	other
SNX5	sorting nexin 5	217792_at	-1.078		Cytoplasm	transporter
SPAG5	sperm associated antigen 5	203145_at	-1.082		Nucleus	peptidase
SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	200665_s_at	-3.080		Extracellular Space	other
SPCS2	signal peptidase complex subunit 2 homolog (S. cerevisiae)	201240_s_at	-2.160	2.934	Cytoplasm	other
SPP1	secreted phosphoprotein 1	209875_s_at	-1.318		Extracellular Space	cytokine
SPTLC2 (includes EG:9517)	serine palmitoyltransferase, long chain base subunit 2	203127_s_at	-1.619		Cytoplasm	enzyme
SQSTM1	sequestosome 1	201471_s_at	-3.356	1.474	Cytoplasm	transcription regulator
SSR3	signal sequence receptor, gamma (translocon-associated protein gamma)	217790_s_at	-1.297		Cytoplasm	other
SSX2IP	synovial sarcoma, X breakpoint 2 interacting protein	203017_s_at	-2.909	-1.618	Plasma Membrane	other
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	--		-1.358	Nucleus	transcription regulator
STC2	stanniocalcin 2	203438_at		-1.489	Extracellular Space	other
STIP1	stress-induced-phosphoprotein 1	212009_s_at	1.323		Cytoplasm	other
STK39	serine threonine kinase 39 (STE20/SPS1 homolog, yeast)	202786_at		1.257	Nucleus	kinase
STK17A	serine/threonine kinase 17a	202695_s_at	-1.339		Nucleus	kinase
STMN1	stathmin 1	200783_s_at	-1.590		Cytoplasm	other
SUCLA2	succinate-CoA ligase, ADP-forming, beta subunit	202930_s_at	-1.717		Cytoplasm	enzyme
SYNCRIP	synaptotagmin binding, cytoplasmic RNA interacting protein	209025_s_at	1.460		Nucleus	other
TCF3	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	209153_s_at	-1.512		Nucleus	transcription regulator
TDG	thymine-DNA glycosylase	203743_s_at	-1.220		Nucleus	enzyme
TERF2	telomeric repeat binding factor 2	203611_at	-1.311	-1.489	Nucleus	other
TFAM	transcription factor A, mitochondrial	203177_x_at	-2.005		Cytoplasm	transcription regulator
TGIF1	TGFB-induced factor homeobox 1	203313_s_at	-1.454		Nucleus	transcription regulator
TGM2	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	201042_at	-1.393		Cytoplasm	enzyme
THOC2	THO complex 2	222122_s_at	1.076		Nucleus	other
TIMM10	translocase of inner mitochondrial membrane 10 homolog (yeast)	218408_at		-1.493	Cytoplasm	transporter
TIMM13	translocase of inner mitochondrial membrane 13 homolog (yeast)	218188_s_at		-1.458	Cytoplasm	transporter
TIMM23	translocase of inner mitochondrial membrane 23 homolog (yeast)	218118_s_at	1.303		Cytoplasm	transporter
TIMM17A	translocase of inner mitochondrial membrane 17 homolog A (yeast)	215171_s_at	-1.272		Cytoplasm	transporter
TIPIN	TIMELESS interacting protein	219258_at	-1.111	1.045	Nucleus	other
TJP2	tight junction protein 2 (zona occludens 2)	202085_at	1.499	-1.273	Plasma Membrane	kinase
TK1	thymidine kinase 1, soluble	202338_at	-1.354		Cytoplasm	kinase
TM4SF1	transmembrane 4 L six family member 1	209386_at	-1.274	-1.215	Plasma Membrane	other
TMED7	transmembrane emp24 protein transport domain containing 7	214658_at	1.069		Cytoplasm	transporter
TMEM43	transmembrane protein 43	217795_s_at		-2.162	Nucleus	other
TMEM158	transmembrane protein 158	213338_at	-1.045		Plasma Membrane	other
TMPO	thymopoietin	203432_at	3.307	-1.353	Nucleus	other
TMX1	thioredoxin-related transmembrane protein 1	208097_s_at	-1.462		Cytoplasm	enzyme
TOPBP1	topoisomerase (DNA) II binding protein 1	202633_at	-1.465		Nucleus	other
TRA2A	transformer 2 alpha homolog (Drosophila)	204658_at		1.782	Nucleus	other
TRAF3IP2	TRAF3 interacting protein 2	215411_s_at		-1.323	Unknown	other
TRAPPC4	trafficking protein particle complex 4	217958_at	-1.502		Cytoplasm	other
TRHDE	thyrotropin-releasing hormone degrading enzyme	219937_at	-1.129	1.363	Plasma Membrane	peptidase
TRIB3	tribbles homolog 3 (Drosophila)	218145_at	-1.016		Nucleus	kinase
TRIM28	tripartite motif-containing 28	200990_at		-2.479	Nucleus	transcription regulator
TSC22D1	TSC22 domain family, member 1	215111_s_at		-1.066	Nucleus	transcription regulator
TSPAN6	tetraspanin 6	209109_s_at	-1.075		Plasma Membrane	other
TTC3	tetratricopeptide repeat domain 3	--		1.348	Cytoplasm	other
TTK	TTK protein kinase	204822_at	-1.010	-2.097	Nucleus	kinase
TUBA1A	tubulin, alpha 1a	209118_s_at	-1.043		Cytoplasm	other
TXNDC9	thioredoxin domain containing 9	203008_x_at	-1.699	1.527	Unknown	other
TXNIP	thioredoxin interacting protein	201010_s_at	-1.705	2.098	Cytoplasm	other
UBE2A	ubiquitin-conjugating enzyme E2A (RAD6 homolog)	201899_s_at	-1.664		Cytoplasm	enzyme
UBE2B	ubiquitin-conjugating enzyme E2B (RAD6 homolog)	211763_s_at	-1.148	1.097	Cytoplasm	enzyme
UBE2L3	ubiquitin-conjugating enzyme E2L 3	200683_s_at	2.260		Cytoplasm	enzyme
UBE2N	ubiquitin-conjugating enzyme E2N (UBC13 homolog, yeast)	201523_x_at	-3.622	-1.347	Cytoplasm	enzyme
UCHL5	ubiquitin carboxyl-terminal hydrolase L5	219960_s_at	-1.230	-1.236	Cytoplasm	peptidase
UNG	uracil-DNA glycosylase	202330_s_at	-1.597		Nucleus	enzyme
USP1	ubiquitin specific peptidase 1	202412_s_at	-1.255		Cytoplasm	peptidase
USP16	ubiquitin specific peptidase 16	218386_x_at	1.028		Cytoplasm	peptidase
USP46	ubiquitin specific peptidase 46	203869_at	-1.355		Unknown	peptidase
UTP11L (includes EG:51118)	UTP11-like, U3 small nucleolar ribonucleoprotein, (yeast)	218235_s_at	-1.048		Nucleus	other
VCP	valosin-containing protein	208648_at	-1.157		Cytoplasm	enzyme
VDAC3	voltage-dependent anion channel 3	208846_s_at	-1.425		Cytoplasm	ion channel
VEGFA	vascular endothelial growth factor A	210512_s_at	-1.176		Extracellular Space	growth factor
VPS28	vacuolar protein sorting 28 homolog (S. cerevisiae)	218679_s_at	-1.264		Cytoplasm	transporter
VRK1	vaccinia related kinase 1	203856_at	-1.140		Nucleus	kinase
VRK2	vaccinia related kinase 2	205126_at	-1.175		Nucleus	kinase
WARS	tryptophanyl-tRNA synthetase	200628_s_at	-3.448		Cytoplasm	enzyme
WDR57 (includes EG:9410)	small nuclear ribonucleoprotein 40kDa (U5)	215905_s_at	-1.214		Nucleus	other
XPC	xeroderma pigmentosum, complementation group C	209375_at	-1.650	1.140	Nucleus	other
XPOT	exportin, tRNA (nuclear export receptor for tRNAs)	212160_at	-1.055		Nucleus	other
YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide	217717_s_at	1.149		Cytoplasm	other
ZFP36L2	zinc finger protein 36, C3H type-like 2	201368_at		1.507	Nucleus	transcription regulator
ZMAT3	zinc finger, matrin type 3	219628_at		1.101	Nucleus	other
ZMPSTE24	zinc metallopeptidase (STE24 homolog, S. cerevisiae)	202939_at	-1.507		Nucleus	peptidase
ZMYND8	zinc finger, MYND-type containing 8	209049_s_at	-1.016		Nucleus	transcription regulator
ZNF207	zinc finger protein 207	200829_x_at	-2.140		Nucleus	transcription regulator
ZNF274	zinc finger protein 274	204937_s_at		-2.209	Nucleus	transcription regulator
ZWILCH	Zwilch, kinetochore associated, homolog (Drosophila)	218349_s_at	1.056		Nucleus	other
ZWINT (includes EG:11130)	ZW10 interactor	204026_s_at	-1.165		Nucleus	other
