Sample_ID	Expected score (dExp)	Observed score(d)	Numerator(r)	Denominator (s+s0)	Fold change	q-value (%)	GENE_SYMBOL
205483_s_at	-0.34112096	-9.128281	-1.0902672	0.119438395	0.4699515	0	ISG15
212593_s_at	-0.14510462	6.924228	1.096664	0.15838067	2.1267493	0	PDCD4
205661_s_at	-0.33565515	-6.460329	-1.09184	0.16900687	0.470761	0	FLAD1
207808_s_at	-0.27242646	5.8935204	1.0898538	0.18492407	2.1222477	0	PROS1
227095_at	0.23357122	4.2892623	1.0673838	0.2488502	2.1217256	0	LEPROT
218772_x_at	0.013735603	-4.2176404	-1.1259205	0.26695508	0.4714545	0	TMEM38B
201439_at	-0.47633028	-6.133952	-1.0978713	0.1789827	0.4716013	0	GBF1
203625_x_at	-0.40014333	7.187941	1.0891652	0.15152673	2.1202948	0	SKP2
222006_at	0.0968688	-5.4614296	-1.0984731	0.20113288	0.4717494	0	LETM1
210095_s_at	-0.20960553	-8.103263	-1.0786853	0.1331174	0.4718362	0	IGFBP3
218853_s_at	0.015806157	4.5611224	1.0998578	0.24113753	2.1182613	0	MOSPD1
203565_s_at	-0.40214834	-8.770676	-1.0861335	0.12383692	0.472112	0	MNAT1
211653_x_at	-0.16951525	-8.175282	-1.0822816	0.13238463	0.4723863	0	AKR1C2
224582_s_at	0.16454527	-7.2985716	-1.0874753	0.14899838	0.4726094	0	NUCKS1
212290_at	-0.15304266	-6.0095725	-1.0839453	0.18036978	0.4726583	0	SLC7A1
228531_at	0.27446696	-5.11268	-1.0788219	0.21100909	0.4728035	0	SAMD9
209157_at	-0.23517369	-4.984537	-1.0927558	0.21922915	0.4730582	0	DNAJA2
218528_s_at	0.007460537	5.5846205	1.0716448	0.19189215	2.1136322	0	RNF38
202149_at	-0.4507156	-4.478084	-1.0629046	0.237357	0.474851	0	NEDD9
224233_s_at	0.15542942	-5.503527	-1.0795264	0.19615173	0.4751984	0	LOC731059///MSTO1
202915_s_at	-0.4240248	-6.7547092	-1.071393	0.15861423	0.4756839	0	FAM20B
1554696_s_at	-1.0579463	-8.10824	-1.0700512	0.13197084	0.4760085	0	TYMS
204194_at	-0.3816674	5.4593678	1.0723095	0.19641642	2.100482	0	BACH1
218260_at	6.69E-04	-6.6465364	-1.0736561	0.16153617	0.4761208	0	C19orf58
201720_s_at	-0.46616843	-6.1437607	-1.076971	0.17529508	0.4761559	0	LAPTM5
209921_at	-0.21425456	-5.320413	-1.0622964	0.19966426	0.4766137	0	SLC7A11
201859_at	-0.46110272	-5.6072707	-1.0644712	0.18983768	0.476682	0	SRGN
225633_at	0.19302785	5.808637	1.0585816	0.18224268	2.0950043	0	DPY19L3
201428_at	-0.47673663	-5.726838	-1.0807128	0.1887102	0.4773914	0	CLDN4
203447_at	-0.4061234	-8.0332575	-1.0670743	0.13283208	0.4782455	0	PSMD5
217778_at	-0.011667047	-6.2175603	-1.0614333	0.1707154	0.4785442	0	SLC39A1
225803_at	0.197639	8.36819	1.0608802	0.12677535	2.0885022	0	FBXO32
221751_at	0.09021752	-4.9205785	-1.043972	0.21216449	0.4796979	0	SLC2A3P1
217908_s_at	-0.008358141	-5.687291	-1.0765309	0.18928711	0.4797441	0	IQWD1
225788_at	0.19722658	-9.729137	-1.0578275	0.108727776	0.4800898	0	C6orf153
210735_s_at	-0.19280271	-5.7094007	-1.0724063	0.18783167	0.4802034	0	CA12
204268_at	-0.37932026	-7.2025456	-1.0553904	0.14653018	0.4821124	0	S100A2
225485_at	0.18898483	-4.8224325	-1.0665834	0.22117124	0.4822987	0	TSGA14
212621_at	-0.1443657	-5.150122	-1.042131	0.20235072	0.4830055	0	KIAA0286
221677_s_at	0.08832375	-5.3550544	-1.0573072	0.197441	0.4832647	0	DONSON
242005_at	0.87027717	-4.4304113	-1.0545475	0.23802476	0.484263	0	NA
223484_at	0.13572764	-6.081125	-1.0472431	0.17221208	0.4848253	0	C15orf48
202808_at	-0.42769977	-6.6354275	-1.0382781	0.15647493	0.4848812	0	C10orf26
226155_at	0.20734116	5.2977815	1.0351601	0.19539501	2.061278	0	KIAA1600
212474_at	-0.14824495	-4.392372	-1.0325978	0.23508887	0.4856705	0	KIAA0241
208079_s_at	-0.2651018	-8.182498	-1.0372763	0.12676768	0.4866648	0	AURKA
214697_s_at	-0.09046893	4.597473	1.0438027	0.22703835	2.052942	0	ROD1
212097_at	-0.15813164	-8.226437	-1.0354443	0.12586789	0.4873714	0	CAV1
210137_s_at	-0.20846127	-6.2108173	-1.0422359	0.16780977	0.487555	0	DCTD
206074_s_at	-0.32309303	-8.608084	-1.0339622	0.120115265	0.4877904	0	HMGA1
212406_s_at	-0.15000996	4.6266074	1.0463037	0.22614925	2.0498888	0	PCMTD2
208306_x_at	-0.25877613	-7.220079	-1.0376272	0.14371412	0.4880087	0	HLA-DRB1
202677_at	-0.43218815	-5.502763	-1.0265617	0.18655388	0.4885358	0	RASA1
218187_s_at	-0.001210938	-5.4656653	-1.0433002	0.19088255	0.4886987	0	C8orf33
225665_at	0.19389784	-6.0416255	-1.0397272	0.17209396	0.4887535	0	ZAK
223297_at	0.13075331	-4.956696	-1.0221553	0.20621707	0.488787	0	AMMECR1L
201531_at	-0.47297645	8.580137	1.0325279	0.12033933	2.0442514	0	ZFP36
223132_s_at	0.12642772	-8.076403	-1.0313029	0.12769336	0.4892052	0	TRIM8
226140_s_at	0.20691948	6.929192	1.0345821	0.14930776	2.0434508	0	OTUD1
223828_s_at	0.14486803	-5.9571967	-1.027385	0.17246115	0.4895675	0	LGALS12
218754_at	0.013264708	-5.487711	-1.04565	0.19054393	0.4899918	0	NOL9
218571_s_at	0.008584213	-5.247511	-1.042192	0.19860692	0.4902357	0	CHMP4A
202466_at	-0.43958554	-7.2502627	-1.0248837	0.14135815	0.4906282	0	POLS
202593_s_at	-0.4351175	-5.4071636	-1.0404968	0.19242932	0.4907735	0	MIR16
212886_at	-0.13738805	-4.818995	-1.0613642	0.22024596	0.4908701	0	CCDC69
212482_at	-0.14803405	4.981164	1.020272	0.20482603	2.0320916	0	RMND5A
211162_x_at	-0.1817151	4.997573	1.0561056	0.21132371	2.0317793	0	SCD
222557_at	0.11128442	-6.0799513	-1.0320783	0.16975108	0.4925581	0	STMN3
225450_at	0.1880065	-6.394095	-1.0269222	0.16060477	0.4926055	0	AMOTL1
222453_at	0.108531795	5.4106183	1.0157418	0.18773119	2.0282578	0	CYBRD1
213397_x_at	-0.124127984	5.303925	1.0276451	0.19375181	2.0262978	0	RNASE4
212731_at	-0.14148389	4.9307947	1.0055213	0.20392682	2.026271	0	ANKRD46
226302_at	0.21141727	3.9974916	1.0006351	0.25031576	2.0250082	0	ATP8B1
227503_at	0.24507558	4.602228	0.9913144	0.2153988	2.0244033	0	NA
202023_at	-0.4551986	5.487411	1.0322566	0.1881136	2.0239327	0	EFNA1
224871_at	0.17230247	7.58296	1.0158377	0.13396321	2.0239198	0	FAM79A
1554241_at	-1.1120844	-6.3462877	-1.0274048	0.16189067	0.4941299	0	COCH
227533_at	0.24590103	4.4095616	1.034769	0.23466484	2.0227704	0	NA
225698_at	0.19479124	7.6677117	1.0134759	0.13217449	2.0221283	0	C5orf26
205571_at	-0.3383931	4.832423	1.022268	0.21154357	2.0216596	0	LIPT1
201468_s_at	-0.47529015	-8.355948	-1.0159178	0.12158019	0.4946457	0	NQO1
204070_at	-0.38562986	-6.9480634	-1.0200157	0.14680576	0.4948177	0	RARRES3
203758_at	-0.39581662	6.1289277	1.0221624	0.16677672	2.020718	0	CTSO
207345_at	-0.28568056	5.8766766	1.0220888	0.17392293	2.0197685	0	FST
200931_s_at	-0.49525726	-7.4140697	-1.0137701	0.13673599	0.4952878	0	VCL
225205_at	0.18133157	-7.530868	-1.0114741	0.13431042	0.4959408	0	KIF3B
210968_s_at	-0.186877	-7.6508503	-1.0099869	0.13200976	0.4963574	0	RTN4
221012_s_at	0.07117062	-6.219808	-1.0203538	0.16404907	0.4963712	0	TRIM8
1558080_s_at	-0.82141995	-4.5454345	-1.0048149	0.22106025	0.4966749	0	DNAJC3///LOC144871
226600_at	0.21964917	-4.0856967	-1.0128622	0.2479044	0.4969718	0	TMTC3
200891_s_at	-0.49678814	-6.4752445	-1.0052791	0.1552496	0.4972018	0	SSR1
204698_at	-0.3656623	-4.9968734	-1.0141602	0.20295894	0.4973963	0	ISG20
202478_at	-0.43915975	-4.981809	-1.0344782	0.20765111	0.4975152	0	TRIB2
218681_s_at	0.011413749	-4.485047	-1.0462203	0.23326853	0.4979977	0	SDF2L1
228222_at	0.26555103	-6.510141	-1.0072241	0.15471618	0.4980564	0	PPP1CB
211946_s_at	-0.16210866	-5.018499	-1.0232487	0.20389536	0.4982729	0	BAT2D1
225935_at	0.20129056	-4.2145987	-1.0247166	0.24313504	0.4985237	0	NA
226179_at	0.20801438	-5.597557	-1.0150189	0.18133248	0.4986013	0	SLC25A37
212680_x_at	-0.14283542	-8.535902	-1.0037332	0.117589585	0.4987085	0	PPP1R14B
209434_s_at	-0.22749862	-4.9397163	-1.0269794	0.20790252	0.4992183	0	PPAT
213179_at	-0.12977767	-6.2358913	-1.005033	0.1611691	0.4995042	0	RQCD1
214755_at	-0.08898058	7.055892	1.0025597	0.1420883	2.0014825	0	UAP1L1
215113_s_at	-0.079839185	-5.1673927	-0.99734783	0.19300795	0.4996473	0	SENP3
214629_x_at	-0.09215142	-7.770623	-1.0015478	0.128889	0.4999663	0	RTN4
