Probeset ID	Genbank	Gene Symbol	Nevi-mean	Nevi-StdErr	Melanoma-mean	Melanoma-StdErr	NS-mean	NS-StdErr	P-value	Description
222771_s_at	BF224052	MYEF2	62.24	21.65	407.24	47.3	9	1.15	3.06E-26	myelin expression factor 2
223092_at	AA854943	ANKH	263.65	20.32	98.28	18.32	486.2	49.72	1.74E-09	ankylosis, progressive homolog (mouse)
223096_at	AF161469	NOP5/NOP58	92.41	6.29	279.79	27.97	83.2	8.51	2.38E-11	nucleolar protein NOP5/NOP58
223287_s_at	AF146696	FOXP1	299.71	27.33	24.93	3.78	245.87	34.83	7.92E-16	forkhead box P1
223936_s_at	BC005055	FOXP1	52.35	6.11	7.93	0.78	43	5.24	2.98E-12	forkhead box P1
223937_at	BC005055	FOXP1	94.1	11.61	10.76	1.92	73.8	13.29	3.35E-10	forkhead box P1
224791_at	AW513835	DDEF1	63.76	9.57	259.07	36.63	121.73	23.48	7.35E-09	development and differentiation enhancing factor 1
224833_at	BE218980	ETS1	50.41	10.44	397.69	48.03	43.47	7.09	1.12E-13	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)
224837_at	AW080845	FOXP1	487.54	34.56	98.38	9.73	461.4	45.26	1.23E-11	forkhead box P1
224838_at	AK026898	FOXP1	829.82	53.49	192.55	21.88	986.33	99.78	8.36E-10	forkhead box P1
224889_at	BE888885	FOXO3A	858.56	79.53	259.14	36.73	1373.4	149.32	3.74E-09	forkhead box O3A
225137_at	BF111111	FLJ21918	493.06	40.65	104.86	22.99	506.73	70.8	1.06E-09	RNA binding motif protein 35B
225147_at	AL521959	PSCD3	348.19	55.31	1737.86	170.14	266.2	39.87	3.82E-12	pleckstrin homology, Sec7 and coiled-coil domains 3
225175_s_at	AI569503	SLC44A2	497.22	39.35	73.48	15.98	291.67	36.97	1.54E-09	solute carrier family 44, member 2
225520_at	AL133260	MTHFD1L	16.09	3.45	70.48	10.49	7.87	0.6	1.23E-10	methylenetetrahydrofolate dehydrogenase 1-like
225685_at	AI801777	CDC42EP3	67.41	14.01	300.31	44.32	41.2	5.71	3.79E-10	CDC42 effector protein (Rho GTPase binding) 3
225817_at	AB051536	CGNL1	145.37	14.14	13.55	5.28	109.33	26.68	4.00E-11	cingulin-like 1
225842_at	AK026181		108.38	17.32	932.38	153.42	84.53	29.91	3.12E-10	CDNA clone IMAGE:5531727
225925_s_at	AA044730	USP48	122.93	17.62	444.9	74.22	91.67	33.86	6.16E-09	ubiquitin specific peptidase 48
225991_at	BE644935	TMEM41A	112.74	9.02	31.79	3.63	144.53	15.49	3.41E-11	Transmembrane protein 41A
226281_at	BF059512	DNER	193.96	28.18	20.28	2.36	730.53	132.87	1.31E-15	delta-notch-like EGF repeat-containing transmembrane
226614_s_at	BE856336	C8orf13	460.9	51.24	37.79	7.35	476.13	59.92	7.49E-17	chromosome 8 open reading frame 13
226641_at	AU157224	LOC91526	50.18	8.94	282.41	38.08	37.73	7.46	6.58E-10	Ankyrin repeat domain 44
226711_at	BF590117	HTLF	39.59	5.19	213.38	29.63	52.47	7.82	8.39E-09	human T-cell leukemia virus enhancer factor
226853_at	AU145366	BMP2K	76.43	6.7	226.41	22.27	97.2	20.98	6.77E-10	BMP2 inducible kinase
226988_s_at	AI709055	MYH14	238.76	29.15	37.72	6.1	169.2	31.04	2.55E-09	myosin, heavy polypeptide 14
227099_s_at	AW276078	LOC387763	70.35	12.97	536.38	109.51	50.13	11.04	1.00E-08	hypothetical LOC387763
227239_at	AV734839	DRCTNNB1A	15.81	2.77	103.76	18.93	10.07	1.28	2.08E-09	down-regulated by Ctnnb1, a
227317_at	AA045042	LMCD1	505.37	50.55	44.14	7.8	572.2	87	2.16E-11	LIM and cysteine-rich domains 1
227396_at	AI631833		80.91	23.47	390.55	54.14	90.4	21.3	1.18E-09	Homo sapiens, clone IMAGE:4454331, mRNA
227405_s_at	AW340311	FZD8	260.51	36.13	18.34	1.6	226	50.55	9.60E-11	frizzled homolog 8 (Drosophila)
227761_at	AW235548	MYO5A	157.13	25.72	713.45	68.28	130.8	24.17	1.72E-11	myosin VA (heavy polypeptide 12, myoxin)
227870_at	AB046848	NOPE	8.79	2.71	133.31	33.35	5.27	0.15	6.36E-12	likely ortholog of mouse neighbor of Punc E11
227955_s_at	BE670307		265.15	26.54	22.03	4.47	391.73	59.56	4.32E-13	CDNA: FLJ22256 fis, clone HRC02860
228152_s_at	AK023743	FLJ31033	35.62	9.68	228.17	43.7	21	3.19	6.21E-09	hypothetical protein FLJ31033
228176_at	AA534817	EDG3	158.24	25.66	8.62	0.94	116.2	53.6	3.74E-09	endothelial differentiation, sphingolipid G-protein-coupled receptor, 3
228245_s_at	AW594320	OVOS2	150.06	44.86	1631.69	202.81	145.73	62.48	1.09E-11	ovostatin 2
228307_at	AL137580	EMILIN3	52.97	8.48	8.21	0.93	36.33	9.58	1.14E-09	elastin microfibril interfacer 3
228421_s_at	AI740711	EFEMP1	145	18.16	8.66	1.17	73	26.79	4.91E-09	EGF-containing fibulin-like extracellular matrix protein 1
228462_at	AI928035	IRX2	289.66	24.5	63.34	8.93	316.73	36.52	1.47E-11	iroquois homeobox protein 2
228496_s_at	AW243081	CRIM1	1195.51	106.59	150.9	26.34	1150	178.97	9.72E-11	Cysteine rich transmembrane BMP regulator 1 (chordin-like)
228617_at	AA142842	BIRC4BP	26.15	6.59	240.48	49.61	19.47	4.95	3.63E-09	XIAP associated factor-1
228636_at	AL134708	BHLHB5	296.84	31.79	24.69	4.2	385.73	72.46	1.52E-11	basic helix-loop-helix domain containing, class B, 5
228742_at	AA745978		135.07	13.88	9.69	1.17	282.33	41.08	6.54E-18	Full length insert cDNA clone YQ54B06
228862_at	BF509709	FLJ31164	109.31	12.82	23.79	1.72	102.27	16.95	2.40E-10	T-SNARE domain containing 1
228922_at	AI760446	SHF	430.29	58.89	51.38	5.09	316.53	55.81	2.51E-10	Src homology 2 domain containing F
229004_at	AI970797	ADAMTS15	309.18	37.45	7.79	1.27	333.73	56.9	3.64E-20	ADAM metallopeptidase with thrombospondin type 1 motif, 15
229013_at	BF111029		205.31	27.85	31.83	3.88	210.47	38.56	1.48E-09	LOC440282
229518_at	AA531023	FAM46B	610.25	103.96	73.55	14.78	343.4	69.17	1.77E-09	family with sequence similarity 46, member B
229797_at	AI636080	MCOLN3	91.37	35.23	518.66	86.32	8.13	1.9	1.01E-19	mucolipin 3
229844_at	AI699465		43.79	4.88	7.72	0.84	84.33	11.9	2.60E-12	Transcribed locus
230251_at	AA041523	C6orf176	14.16	4.47	70.34	11.1	5.13	0.13	2.39E-09	chromosome 6 open reading frame 176
230264_s_at	AA551090	AP1S2	39.5	8.07	319.62	70.07	27.47	4.77	1.01E-10	adaptor-related protein complex 1, sigma 2 subunit
230285_at	BF447829	DKFZp313A2432	103.54	11.71	33.1	5.81	209.47	21.12	2.90E-10	hypothetical protein DKFZp313A2432
230291_s_at	T90642	NFIB	869.94	78.49	94.62	15.87	856.4	144.88	1.15E-10	Nuclear factor I/B
230333_at	BE326919	SAT	57.43	14.52	413.76	77.56	133.87	30.5	1.19E-09	Spermidine/spermine N1-acetyltransferase
230413_s_at	AA480858	AP1S2	19.24	3.9	168.07	35.31	13.53	2.48	2.39E-11	Adaptor-related protein complex 1, sigma 2 subunit
230466_s_at	AI092770		389.63	51.95	1236.59	165.05	223.47	29.56	8.63E-09	Mesenchymal stem cell protein DSC96
230674_at	BE502880	LGR4	67.81	8.06	8.97	0.83	43.4	6.15	7.55E-13	Leucine-rich repeat-containing G protein-coupled receptor 4
230741_at	AI655467		58.56	8.6	486.76	130.4	41.13	7.78	1.72E-09	CDNA FLJ41454 fis, clone BRSTN2011597
231579_s_at	BE968786	TIMP2	901.97	101.77	3492.97	423.55	819.53	89.66	9.56E-10	TIMP metallopeptidase inhibitor 2
231666_at	AA194168	PAX3	17.88	5.31	117.21	17.12	6.13	1.06	6.28E-13	paired box gene 3 (Waardenburg syndrome 1)
232122_s_at	AK022666	VEPH1	16.06	4.53	101.97	17.92	5.87	0.09	1.00E-10	ventricular zone expressed PH domain homolog 1 (zebrafish)
232217_at	AI292175	C6orf188	300.51	55.99	36.48	14.32	603.4	113.48	1.58E-10	Chromosome 6 open reading frame 188
232504_at	AL389942	LOC285628	21.66	6.38	286.48	47.14	10.27	1.3	8.08E-13	hypothetical protein LOC285628
232602_at	AL050348	WFDC3	1775.94	196.91	50.34	17.25	2653.67	569.73	1.12E-15	WAP four-disulfide core domain 3
232676_x_at	AK002075	MYEF2	89.47	32.85	655.69	68.38	8.2	2.43	5.75E-28	myelin expression factor 2
232983_s_at	AJ243951	DELGEF	126.32	11.89	22.66	8.31	159.93	26.66	4.43E-11	deafness locus associated putative guanine nucleotide exchange factor
233286_at	AK022258	PDZRN3	283.46	35.59	25.55	4.53	189.4	30.19	1.63E-09	PDZ domain containing RING finger 3
233442_at	AU147500	PDZRN3	87.4	9.21	10.28	1.08	39	6.6	3.74E-09	PDZ domain containing RING finger 3
233641_s_at	AF124366	C8orf13	405.96	46.64	40.38	9	521.87	89.1	4.80E-14	Chromosome 8 open reading frame 13
233814_at	AK025909		1103.22	96.44	98.41	21.86	1551.4	160.33	1.44E-16	CDNA: FLJ22256 fis, clone HRC02860
234120_at	AL117475	LOC439948	653.6	105.9	46.83	5.81	684.67	205.64	1.76E-10	hypothetical gene supported by AL117475
234339_s_at	AF296124	GLTSCR2	219.19	18.26	55.45	2.33	142.93	23.96	3.02E-10	glioma tumor suppressor candidate region gene 2
234351_x_at	AK000948	TRPS1	197.94	19.02	22.83	4.29	199.6	39.77	3.23E-10	trichorhinophalangeal syndrome I
235046_at	AA456099		14.25	3.26	82.24	13.63	6.67	0.48	2.22E-10	Transcribed locus
235182_at	AI816793	C20orf82	636.84	74.42	27.17	6.71	665.33	154.25	1.10E-09	chromosome 20 open reading frame 82
235766_x_at	AA743462	EIF2C2	62.9	9.68	365.38	54.35	43	12.31	9.36E-10	Eukaryotic translation initiation factor 2C, 2
236972_at	AI351421	TRIM63	22.59	6.23	440.1	92.6	9.8	1.56	3.59E-15	tripartite motif-containing 63
237069_s_at	AI277662	TRPM1	25.72	10.84	304.31	39.04	5.13	0.13	2.91E-27	transient receptor potential cation channel, subfamily M, member 1
237070_at	AI277662	TRPM1	44.41	12.42	923.34	131.87	10	0.14	1.62E-27	transient receptor potential cation channel, subfamily M, member 1
238362_at	AW271932	PVT1	22.54	3.58	98.14	14.62	10.4	1.45	1.53E-09	Pvt1 oncogene homolog, MYC activator (mouse)
238712_at	BF801735		200.71	18.7	49.76	10.79	290.27	35.31	1.08E-08	Transcribed locus
238756_at	AI860012	GAS2L3	15.82	3.77	135.79	21.85	12.07	2.12	2.71E-10	Growth arrest-specific 2 like 3
239853_at	AI279514	KLC3	92.5	9.13	19.28	3.31	50	10.93	2.24E-09	kinesin light chain 3
240386_at	AI224520	TRPM1	24.78	9.41	170.86	35.05	6.53	0.22	8.61E-14	Transient receptor potential cation channel, subfamily M, member 1
241898_at	AA991267		194.21	16.45	45.07	5.49	291.4	32.4	3.18E-10	PREDICTED: similar to KIAA0825 protein
244535_at	AI760944	FOXP1	107.59	10.94	18.48	3.29	108.87	16.85	3.56E-09	Forkhead box P1
244741_s_at	BE855713	MGC9913	339.71	26.77	61.66	11.18	355.2	57.71	8.39E-09	hypothetical protein MGC9913
244829_at	N44676	MGC40222	12.31	2.54	381.76	60.24	6.27	0.23	7.70E-20	Hypothetical protein MGC40222
244845_at	BF725383		330.32	29.2	42.48	5.98	253.2	50.05	1.76E-09	CDNA FLJ45435 fis, clone BRHIP3042817
35254_at	AB007447	TRAFD1	131.01	8.51	44.41	5.47	129.27	17.56	9.10E-09	TRAF-type zinc finger domain containing 1
36030_at	AL080214	HOM-TES-103	28.04	6.64	207.45	47.73	13.6	3.44	7.14E-10	HOM-TES-103 tumor antigen-like
47550_at	N21184	LZTS1	22.62	4.35	121.14	16.17	7.6	1.02	1.27E-14	leucine zipper, putative tumor suppressor 1
