Probeset ID	Gene	Description	Fold Change
AGI_MM_OLIGO_A_51_P377489	Ptplb	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b	1.59678
AGI_MM_OLIGO_A_51_P320888	Cln5	ceroid-lipofuscinosis, neuronal 5	1.59346
AGI_MM_OLIGO_A_51_P488308	Vps54	vacuolar protein sorting 54 (yeast)	1.59160
AGI_MM_OLIGO_A_51_P271074	5630401J11Rik	RIKEN cDNA 5630401J11 gene	1.59085
AGI_MM_OLIGO_A_51_P295558	2310057D15Rik	RIKEN cDNA 2310057D15 gene	1.58231
AGI_MM_OLIGO_A_51_P267239	Litaf	LPS-induced TN factor	1.57628
AGI_MM_OLIGO_A_51_P135423	Capzb	capping protein (actin filament) muscle Z-line, beta	1.56736
AGI_MM_OLIGO_A_51_P176185	Gak	cyclin G associated kinase	1.56472
AGI_MM_OLIGO_A_51_P412338	Vps41	vacuolar protein sorting 41 (yeast)	1.55866
AGI_MM_OLIGO_A_51_P255565	Smarcad1	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1	1.55301
AGI_MM_OLIGO_A_51_P195100	Vps4b	vacuolar protein sorting 4b (yeast)	1.55184
AGI_MM_OLIGO_A_51_P496023	Prdx6	peroxiredoxin 6	1.54890
AGI_MM_OLIGO_A_51_P105597	Atp6v1h	ATPase, H+ transporting, lysosomal V1 subunit H	1.54741
AGI_MM_OLIGO_A_51_P481159	Cbr3	carbonyl reductase 3	1.54527
AGI_MM_OLIGO_A_51_P104187	Sumo1	SMT3 suppressor of mif two 3 homolog 1 (yeast)	1.54416
AGI_MM_OLIGO_A_51_P137168	Smarcal1	Swi/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1	1.54195
AGI_MM_OLIGO_A_51_P291749	Pecr	peroxisomal trans-2-enoyl-CoA reductase	1.54195
AGI_MM_OLIGO_A_51_P173906	Mto1	mitochondrial translation optimization 1 homolog (S. cerevisiae)	1.54194
AGI_MM_OLIGO_A_51_P150042	Rps6ka1	ribosomal protein S6 kinase polypeptide 1	1.54157
AGI_MM_OLIGO_A_51_P429032	9130404D14Rik	RIKEN cDNA 9130404D14 gene	1.53993
AGI_MM_OLIGO_A_51_P460153	Xrn2	5-3 exoribonuclease 2	1.53734
AGI_MM_OLIGO_A_51_P364372	Zbtb9	zinc finger and BTB domain containing 9	1.53611
AGI_MM_OLIGO_A_51_P315526	Mxd3	Max dimerization protein 3	1.53523
AGI_MM_OLIGO_A_51_P378558	AW060207	expressed sequence AW060207	1.52332
AGI_MM_OLIGO_A_51_P442782	Igsf8	immunoglobulin superfamily, member 8	1.52305
AGI_MM_OLIGO_A_51_P483118	Hmga1	high mobility group AT-hook 1	1.51897
AGI_MM_OLIGO_A_51_P406583	Myo1e	myosin IE	1.51794
AGI_MM_OLIGO_A_51_P434447	Hmox2	heme oxygenase (decycling) 2	1.50883
AGI_MM_OLIGO_A_51_P474459	Socs3	suppressor of cytokine signaling 3	1.50869
AGI_MM_OLIGO_A_51_P171711	Cacna2d2	calcium channel, voltage-dependent, alpha 2/delta subunit 2	1.50856
AGI_MM_OLIGO_A_51_P121228	Ascc2	activating signal cointegrator 1 complex subunit 2	1.50194
AGI_MM_OLIGO_A_51_P517145	Sort1	sortilin 1	1.50161
AGI_MM_OLIGO_A_51_P273686	Gbe1	glucan (1,4-alpha-), branching enzyme 1	1.50064
AGI_MM_OLIGO_A_51_P485594	4921526G09Rik	RIKEN cDNA 4921526G09 gene	1.49998
AGI_MM_OLIGO_A_51_P410949	Polr3g	polymerase (RNA) III (DNA directed) polypeptide G	1.49659
AGI_MM_OLIGO_A_51_P203004	Tpr	translocated promoter region	1.49620
AGI_MM_OLIGO_A_51_P417854	Rab20	RAB20, member RAS oncogene family	1.46991
AGI_MM_OLIGO_A_51_P330331	Cybb	cytochrome b-245, beta polypeptide	1.46955
AGI_MM_OLIGO_A_51_P485556	Immt	inner membrane protein, mitochondrial	1.46777
AGI_MM_OLIGO_A_51_P442655	Dhx40	DEAH (Asp-Glu-Ala-His) box polypeptide 40	1.45935
AGI_MM_OLIGO_A_51_P257609	AI325464	expressed sequence AI325464	1.45621
AGI_MM_OLIGO_A_51_P356705	Plekhb2	pleckstrin homology domain containing, family B (evectins) member 2	1.45172
AGI_MM_OLIGO_A_51_P104454	Pes1	pescadillo homolog 1, containing BRCT domain (zebrafish)	1.45074
AGI_MM_OLIGO_A_51_P205000	Lst1	leukocyte specific transcript 1	1.45047
AGI_MM_OLIGO_A_51_P390676	Hnrpll	heterogeneous nuclear ribonucleoprotein L-like	1.44716
AGI_MM_OLIGO_A_51_P309988	Gprc5c	G protein-coupled receptor, family C, group 5, member C	1.44365
AGI_MM_OLIGO_A_51_P154374	BC062109	cDNA sequence BC062109	1.43461
AGI_MM_OLIGO_A_51_P252107	Nudcd3	NudC domain containing 3	1.42645
AGI_MM_OLIGO_A_51_P197883	3110037I16Rik	RIKEN cDNA 3110037I16 gene	1.41974
AGI_MM_OLIGO_A_51_P371255	ORF5	open reading frame 5	1.41619
AGI_MM_OLIGO_A_51_P417236	Gns	glucosamine (N-acetyl)-6-sulfatase	1.41004
AGI_MM_OLIGO_A_51_P254753	Rapgef6	Rap guanine nucleotide exchange factor (GEF) 6	1.38041
AGI_MM_OLIGO_A_51_P486091	Ift52	intraflagellar transport 52 homolog (Chlamydomonas)	1.37550
AGI_MM_OLIGO_A_51_P224406	Pef1	penta-EF hand domain containing 1	1.37497
AGI_MM_OLIGO_A_51_P494622	Ttc13	tetratricopeptide repeat domain 13	1.37371
AGI_MM_OLIGO_A_51_P397993	Srr1	sensitivity to red light reduced homolog (Arabidopsis)	1.35986
AGI_MM_OLIGO_A_51_P120851	Zfp715	zinc finger protein 715	1.33438
AGI_MM_OLIGO_A_51_P317115	Wdr18	WD repeat domain 18	1.33053
AGI_MM_OLIGO_A_51_P107090	BC031181	cDNA sequence BC031181	1.32527
AGI_MM_OLIGO_A_51_P176711	1200007B05Rik	RIKEN cDNA 1200007B05 gene	1.30998
AGI_MM_OLIGO_A_51_P372050	1110014N23Rik	RIKEN cDNA 1110014N23 gene	1.29451
