Gene Name	Symbol	Accesion No.	Log (base 2)	FDR
ribosomal protein S6 kinase polypeptide 1	Rps6ka1	NM_031107	-1.387	0.036
ring finger protein 145	Rnf145	XM_213277	-0.881	0.036
ring finger protein 149	Rnf149	XM_343561	-0.74	0.041
RNA binding motif protein 5	Rbm5	XM_217263	-0.592	0.047
RNA binding motif protein, X chromosome retrogene-like	Rbmxrtl	XM_226369	-0.919	0.042
RNA binding motif protein, X-linked 2	Rbmx2	XM_346355	-0.916	0.036
RT1 class II, locus Db1	RT1-Db1	AJ003232	-1.283	0.037
S100 calcium binding protein A6	S100a6	NM_053485	-1.642	0.037
SAP domain containing ribonucleoprotein	Sarnp	XM_343147	-0.843	0.037
SAPS domain family, member 1	Saps1	XM_341781	-0.643	0.043
sarcoma antigen NY-SAR-48	Ny-sar-48	NM_001024971	-0.678	0.04
scavenger receptor class F, member 2	Scarf2	XM_237825	-0.844	0.036
secreted frizzled-related protein 2	Sfrp2	XM_227314	-1.398	0.042
secretory leukocyte peptidase inhibitor	Slpi	NM_053372	-1.997	0.037
selenoprotein W, 1	Sepw1	NM_013027	-0.889	0.036
serine (or cysteine) proteinase inhibitor, clade B, member 1a	Serpinb1a	XM_214459	-1.209	0.037
serine/threonine kinase 38	Stk38	NM_001015025	-0.609	0.043
serine/threonine protein kinase MST4	Mst4	CB547252	-1.223	0.036
serologically defined colon cancer antigen 1, pseudogene 1	Sdccag1-ps1	XM_216724	-0.826	0.036
SET domain containing 2	Setd2	XM_236648	-0.631	0.042
seven in absentia 2	Siah2	NM_134457	-0.641	0.046
SH3 and multiple ankyrin repeat domains 2	Shank2	NM_133441	-0.679	0.043
SH3-domain GRB2-like 3	Sh3gl3	NM_031238	-1.028	0.037
Sh3kbp1 binding protein 1	Shkbp1	XM_214873	-0.956	0.037
SHC (Src homology 2 domain containing) transforming protein 2	Shc2	XM_234904	-1.2	0.038
siah binding protein 1; FBP interacting repressor; pyrimidine tract binding splicing factor; Ro ribonucleoprotein-binding protein 1	Siahbp1	XM_343268	-0.715	0.042
signal transducer and activator of transcription 2	Stat2	NM_001011905	-0.844	0.043
signal transducer and activator of transcription 4	Stat4	NM_001012226	-1.773	0.046
signal transducing adaptor family member 1	Stap1	NM_001025115	-1.29	0.041
Sjogren syndrome antigen B	Ssb	NM_031119	-1.107	0.036
small nuclear ribonucleoprotein 48k (U11/U12)	Snrnp48	XM_214453	-0.887	0.047
small nuclear ribonucleoprotein D2-like	Snrpd2l	XM_214847	-1.345	0.036
small nuclear ribonucleoprotein polypeptide F	Snrpf	XM_345814	-0.803	0.043
sodium channel, nonvoltage-gated, type I, beta	Scnn1b	NM_012648	-1.421	0.036
solute carrier family 2 (facilitated glucose transporter), member 1	Slc2a1	NM_138827	-1.074	0.048
solute carrier family 22, member 17	Slc22a17	NM_177421	-0.749	0.039
solute carrier family 25, member 36	Slc25a36	CA511937	-0.683	0.046
solute carrier family 38, member 2	Slc38a2	NM_181090	-0.6	0.042
solute carrier family 4, sodium bicarbonate transporter-like, member 11	Slc4a11	AW917183	-2.129	0.036
SP100 nuclear antigen	Sp100	AW915950	-0.779	0.048
SPARC related modular calcium binding 2	Smoc2	XM_214777	-2.201	0.046
sphingosine kinase 1	Sphk1	NM_133386	-2.304	0.041
spindle and kinetochore associated complex subunit 2	Ska2	NM_001009624	-0.782	0.044
spire homolog 1 (Drosophila)	Spire1	CB545717	-0.846	0.037
splicing factor 3b, subunit 1	Sf3b1	XM_343570	-0.594	0.044
splicing factor 3b, subunit 2	Sf3b2	XM_215182	-0.658	0.044
splicing factor, arginine/serine rich 9	Sfrs9	NM_001009255	-1.014	0.037
src homology 2 domain-containing transforming protein D	Shd	XM_237255	-0.663	0.047
stonin 2	Ston2	XM_234454	-0.605	0.042
stromal antigen 1	Stag1	XM_236609	-0.732	0.043
structure specific recognition protein 1	Ssrp1	NM_031121	-1.27	0.037
suppressor of defective silencing 3 homolog (S. cerevisiae)	Suds3	XM_341092	-1.179	0.036
suppressor of Ty 5 homolog (S. cerevisiae)	Supt5h	XM_218382	-0.666	0.048
sushi domain containing 3	Susd3	XM_225203	-1.59	0.042
SWAP-70 protein	Swap70	XM_219262	-1.405	0.036
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	Smarca5	XM_226380	-0.724	0.042
synaptojanin 2	Synj2	NM_032071	-1.83	0.038
synaptotagmin XI	Syt11	NM_031667	-0.97	0.047
syndecan binding protein	Sdcbp	NM_031986	-0.854	0.037
syntaxin binding protein 5 (tomosyn)	Stxbp5	NM_178345	-1.121	0.043
TAO kinase 3	Taok3	NM_001024254	-0.697	0.044
TATA box binding protein (TBP)-associated factor, RNA polymerase I, D, 41kDa	Taf1d	NM_001014207	-0.975	0.036
TBC1 domain family, member 17	Tbc1d17	XM_214940	-0.73	0.044
tetratricopeptide repeat domain 22	Ttc22	XM_233266	-1.207	0.047
tetratricopeptide repeat domain 39A	Ttc39a	XM_216483	-2.169	0.044
tetratricopeptide repeat domain 6	Ttc6	XM_216713	-1.183	0.043
TGFB-induced factor homeobox 1	Tgif1	NM_001015020	-1.637	0.045
thioredoxin domain containing 16	Txndc16	AW914923	-0.949	0.04
thyroid hormone receptor associated protein 3	Thrap3	AW141246	-0.928	0.037
thyroid hormone receptor interactor 4	Trip4	XM_236360	-0.698	0.037
toll-like receptor 2	Tlr2	NM_198769	-1.748	0.04
topoisomerase I binding, arginine/serine-rich	Topors	CB545427	-1.062	0.037
tousled-like kinase 1	Tlk1	XM_242032	-0.674	0.047
TRAF3 interacting protein 3	Traf3ip3	XM_341175	-2.514	0.043
transcription factor 19	Tcf19	BC093374	-1.162	0.036
transcription factor 20	Tcf20	XM_345861	-0.846	0.04
transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila)	Tle2	XM_216845	-1.697	0.036
transgelin	Tagln	NM_031549	-1.788	0.037
transmembrane and tetratricopeptide repeat containing 2	Tmtc2	XM_235136	-0.674	0.046
transmembrane protein 123	Tmem123	NM_001014205	-0.83	0.046
transmembrane protein 150C	Tmem150c	XM_341190	-2.003	0.045
transmembrane protein 176B	Tmem176b	NM_134390	-0.75	0.043
transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	Tap1	NM_032055	-1.335	0.049
tripartite motif-containing 27	Trim27	XM_214485	-0.606	0.045
tripartite motif-containing 28	Trim28	XM_344861	-1.374	0.04
tripartite motif-containing 29	Trim29	XM_236207	-0.868	0.037
TSC22 domain family, member 4	Tsc22d4	BC079190	-1.122	0.045
tuberous sclerosis 2	Tsc2	NM_012680	-0.618	0.042
tubulin, alpha 4A	Tuba4a	NM_001007004	-1.878	0.045
tubulin, beta 2b	Tubb2b	NM_001013886	-1.308	0.036
tumor necrosis factor (ligand) superfamily, member 9	Tnfsf9	NM_181384	-0.846	0.049
tumor protein p53 inducible protein 11	Tp53i11	XM_230296	-0.848	0.037
tumor suppressing subtransferable candidate 4	Tssc4	NM_001013194	-0.642	0.042
TYRO3 protein tyrosine kinase	Tyro3	NM_017092	-0.95	0.048
ubiquitin A-52 residue ribosomal protein fusion product 1	Uba52	NM_031687	-0.728	0.039
ubiquitin D	Ubd	NM_053299	-2.066	0.037
ubiquitin specific peptidase 18	Usp18	NM_001014058	-1.099	0.037
ubiquitin specific peptidase 28	Usp28	AA850333	-0.841	0.037
ubiquitin specific peptidase 3	Usp3	NM_001025424	-1.048	0.036
ubiquitin specific peptidase 31	Usp31	XM_219292	-0.634	0.046
ubiquitin specific protease 48	Usp48	NM_198785	-0.942	0.036
ubiquitin-conjugating enzyme E2A, RAD6 homolog (S. cerevisiae)	Ube2a	NM_001013933	-0.82	0.046
ubiquitin-conjugating enzyme E2I	Ube2i	CF110335	-0.747	0.038
ubiquitin-like modifier activating enzyme 6	Uba6	XM_223308	-1.308	0.037
ubiquitin-like with PHD and ring finger domains 2	Uhrf2	XM_219801	-0.897	0.045
UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4	B3galt4	NM_133553	-0.614	0.048
UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3	B4galt3	NM_001009539	-0.812	0.037
UNC-119 homolog (C. elegans)	Unc119	NM_017188	-1.426	0.036
unc-13 homolog D (C. elegans)	Unc13d	NM_138844	-1.612	0.036
uncoupling protein 3 (mitochondrial, proton carrier)	Ucp3	NM_013167	-0.983	0.042
UPF3 regulator of nonsense transcripts homolog B (yeast)	Upf3b	XM_233312	-1.096	0.036
UV radiation resistance associated gene	Uvrag	XM_218951	-0.942	0.037
vacuolar protein sorting 13 homolog A (S. cerevisiae)	Vps13a	XM_219672	-1.15	0.038
valyl-tRNA synthetase 2, mitochondrial (putative)	Vars2	NM_213563	-0.809	0.042
vasodilator-stimulated phosphoprotein	Vasp	XM_341799	-1.5	0.036
vav 1 guanine nucleotide exchange factor	Vav1	NM_012759	-1.942	0.037
vav 2 guanine nucleotide exchange factor	Vav2	BF287543	-1.182	0.036
versican	Vcan	XM_215451	-1.012	0.042
von Willebrand factor A domain containing 1	Vwa1	NM_001013938	-1.111	0.036
Vpr (HIV-1) binding protein	Vprbp	XM_236612	-0.875	0.036
Vps20-associated 1 homolog (S. cerevisiae)	Vta1	NM_001025640	-0.932	0.049
WD repeat domain 33	Wdr33	XM_226076	-0.695	0.047
WD repeat domain 70	Wdr70	NM_001013909	-1.075	0.037
WD repeat domain 74	Wdr74	XM_574613	-0.939	0.037
whey acidic protein	Wap	NM_053751	-2.862	0.036
WW domain containing E3 ubiquitin protein ligase 2	Wwp2	XM_214669	-0.768	0.036
Z-DNA binding protein 1	Zbp1	XM_342594	-1.387	0.037
zeta-chain (TCR) associated protein kinase	Zap70	NM_001012002	-2.567	0.046
zinc finger CCCH type containing 7 A	Zc3h7a	XM_340742	-1.04	0.036
zinc finger protein 131	Zfp131	XM_227104	-0.689	0.04
zinc finger protein 394	Znf394	NM_145724	-0.674	0.048
zinc finger protein 46	Zfp46	AF151710	-0.585	0.046
zinc finger protein 653	Zfp653	XM_217093	-0.638	0.047
zinc finger protein ZFP	LOC503192	XM_578715	-0.664	0.044
zinc finger RNA binding protein	Zfr	XM_345169	-0.925	0.044
zinc finger with UFM1-specific peptidase domain	Zufsp	NM_001008308	-0.708	0.049
zinc finger, CCHC domain containing 10	Zcchc10	XM_346887	-0.808	0.037
zinc finger, CCHC domain containing 7	Zcchc7	XM_216407	-0.779	0.042
zinc finger, FYVE domain containing 20	Zfyve20	XM_232195	-0.727	0.046
