Gene Name	Gene ID	Biological Function	Domain
Ras homolog gene family, member C	RHOC	A member of the Rho family of small GTPases	Miscellaneous
Adaptor-related protein complex 3, mu 2 subunit	AP3M2	A subunit of the heterotetrameric adaptor-related protein complex 3 (AP-3) that plays a role in protein trafficking to lysosomes and specialized organelles.	Miscellaneous
SP100 nuclear antigen	SP100	This gene encodes a subnuclear organelle and major component of the PML (promyelocytic leukemia)-SP100 nuclear bodies. PML and SP100 are covalently modified by the SUMO-1 modifier, which is considered crucial to nuclear body interactions. The encoded protein binds heterochromatin proteins. Genes that are upregulated by SP100 have antimigratory or antiangiogenic properties.	Miscellaneous
Single-stranded DNA binding protein 1	SSBP1	is a housekeeping gene involved in mitochondrial biogenesis. It is also a subunit of a single-stranded DNA (ssDNA)-binding complex involved in the maintenance of genome stability.	Miscellaneous
DEAH (Asp-Glu-Ala-His) box polypeptide 9 (DHX9)	DHX9	DEAD box protein with RNA helicase activity. It may participate in melting of DNA:RNA hybrids, such as those that occur during transcription, and may play a role in X-linked gene expression. Interacts with NF-kappa B p65 and functions as a transcriptional coactivator.	Miscellaneous
Transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	TAP1	Involved in the pumping of degraded cytosolic peptides across the endoplasmic reticulum into the membrane-bound compartment where class I molecules assemble	Miscellaneous
Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP) [	TAP2	Involved in antigen presentation.	Miscellaneous
ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b	ATP6V0B	A component of vacuolar ATPase (V-ATPase), a multisubunit enzyme that mediates acidification of eukaryotic intracellular organelles.	Miscellaneous
Split hand/foot malformation (ectrodactyly) type 1	SHFM1	Directly interacts with BRCA2. May play a role in the completion of the cell cycle.	Miscellaneous
CD58 molecule (LFA-3)	CD58	Plays a central role for naive and memory T helper cells during the early phase of an immune response. The LFA-3/CD2 pathway initiates strong antigen-independent cell adhesion, substantial expansion of naive T helper cells, and induction of large amounts of IFN-gamma in memory cells. The level of CD58 molecule (in both serum and PBMC form) of patients with hepatitis B is related to the degree of liver damage	Miscellaneous
CD47 molecule	CD47	Membrane protein involved in the increase in intracellular calcium concentration that occurs upon cell adhesion to extracellular matrix. A receptor for the C-terminal cell binding domain of thrombospondin. May play a role in membrane transport and signal transduction.	Miscellaneous
CD81 molecule	CD81	A cell surface glycoprotein that is known to complex with integrins. This protein appears to promote muscle cell fusion and support myotube maintenance. Also it may be involved in signal transduction.	Miscellaneous
Myeloid cell nuclear differentiation antigen	MNDA	Is detected only in nuclei of cells of the granulocyte-monocyte lineage. Is significantly upregulated in human monocytes exposed to interferon alpha.	Miscellaneous
Cytochrome c oxidase assembly homolog	COX17	The terminal component of the mitochondrial respiratory chain that catalyzes the electron transfer from reduced cytochrome c to oxygen.	Miscellaneous
Tripartite motif containing 14	TRIM14	A member of the tripartite motif (TRIM) family. Function is unclear	Miscellaneous
Tripartite motif containing 22	TRIM22	This protein localizes to the cytoplasm and its expression is induced by interferon. The protein down-regulates transcription from the HIV-1 LTR promoter region, suggesting that function of this protein may be to mediate interferons antiviral effects.	Miscellaneous
Tripartite motif containing 26	TRIM26	A member of the tripartite motif (TRIM) family. Function is unclear	Miscellaneous
Tripartite motif containing 34	TRIM34	A member of the tripartite motif (TRIM) family. Function is unclear. Expression of this gene is up-regulated by interferon.	Miscellaneous
