Probe set	Symbol	Title	p value	Fold
233787_at	C6orf163	chromosome 6 open reading frame 163	0.000971	0.82
233827_s_at	SUPT16H	suppressor of Ty 16 homolog (S. cerevisiae)	0.000971	1.91
235057_at	ITCH	itchy homolog E3 ubiquitin protein ligase (mouse)	0.000971	1.58
238007_at	238007_at	Transcribed locus, moderately similar to XP_001099461.1  similar to pyrroline-5-carboxylate synthetase isoform 2 isoform 2 [Macaca mulatta]	0.000971	1.46
239297_at	C8orf79	chromosome 8 open reading frame 79	0.000971	0.71
240289_at	240289_at	CDNA FLJ26096 fis, clone SLV00701	0.000971	0.79
219025_at	CD248	CD248 molecule, endosialin	0.001015	0.68
204212_at	ACOT8	acyl-CoA thioesterase 8	0.00102	1.48
215870_s_at	PLA2G5	phospholipase A2, group V	0.00102	0.5
202711_at	EFNB1	ephrin-B1	0.001022	0.78
214954_at	SUSD5	sushi domain containing 5	0.001141	0.82
218950_at	CENTD3	centaurin, delta 3	0.001141	0.59
221334_s_at	FOXP3	forkhead box P3	0.001141	0.8
1553344_at	PCDH15	protocadherin 15	0.001142	0.88
204368_at	SLCO2A1	solute carrier organic anion transporter family, member 2A1	0.001142	0.44
235253_at	RAD1	RAD1 homolog (S. pombe)	0.001164	1.69
233294_at	DENND2C	DENN/MADD domain containing 2C	0.001184	1.42
1552275_s_at	PXK	PX domain containing serine/threonine kinase	0.001204	2.16
1552309_a_at	NEXN	nexilin (F actin binding protein)	0.001204	0.51
1554292_a_at	KIAA0701	KIAA0701 protein	0.001204	1.59
1554321_a_at	NFS1	NFS1 nitrogen fixation 1 homolog (S. cerevisiae)	0.001204	1.73
1554339_a_at	COG3	component of oligomeric golgi complex 3	0.001204	2
1556064_at	LOC284926	Hypothetical protein LOC284926	0.001204	1.64
1558041_a_at	LOC653319	hypothetical protein LOC653319	0.001204	0.68
1558448_a_at	1558448_a_at	CDNA FLJ35687 fis, clone SPLEN2019349	0.001204	0.61
1560891_a_at	1560891_a_at	Full length insert cDNA clone YY75G10	0.001204	0.85
1561427_at	1561427_at	CDNA clone IMAGE:4830402	0.001204	0.84
1562240_at	PLXNA4A	plexin A4, A	0.001204	0.76
1570531_at	1570531_at	CDNA clone IMAGE:4344985	0.001204	0.81
1773_at	FNTB	farnesyltransferase, CAAX box, beta	0.001204	1.38
200604_s_at	PRKAR1A	protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)	0.001204	2.08
200660_at	S100A11	S100 calcium binding protein A11	0.001204	0.34
200950_at	ARPC1A	actin related protein 2/3 complex, subunit 1A, 41kDa	0.001204	1.6
201159_s_at	NMT1	N-myristoyltransferase 1	0.001204	1.44
201189_s_at	ITPR3	inositol 1,4,5-triphosphate receptor, type 3	0.001204	0.55
201222_s_at	RAD23B	RAD23 homolog B (S. cerevisiae)	0.001204	1.76
202268_s_at	APPBP1	amyloid beta precursor protein binding protein 1	0.001204	1.71
202593_s_at	MIR16	membrane interacting protein of RGS16	0.001204	2.12
202633_at	TOPBP1	topoisomerase (DNA) II binding protein 1	0.001204	1.28
203222_s_at	TLE1	transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)	0.001204	1.96
203729_at	EMP3	epithelial membrane protein 3	0.001204	0.52
204122_at	TYROBP	TYRO protein tyrosine kinase binding protein	0.001204	0.48
204163_at	EMILIN1	elastin microfibril interfacer 1	0.001204	0.45
204757_s_at	TMEM24	transmembrane protein 24	0.001204	0.73
204777_s_at	MAL	mal, T-cell differentiation protein	0.001204	0.79
205053_at	PRIM1	primase, DNA, polypeptide 1 (49kDa)	0.001204	2.35
205457_at	C6orf106	chromosome 6 open reading frame 106	0.001204	1.58
205859_at	LY86	lymphocyte antigen 86	0.001204	0.62
205961_s_at	PSIP1	PC4 and SFRS1 interacting protein 1	0.001204	1.86
206807_s_at	ADD2	adducin 2 (beta)	0.001204	0.79
208438_s_at	FGR	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	0.001204	0.52
208851_s_at	THY1	Thy-1 cell surface antigen	0.001204	0.51
209465_x_at	PTN	pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)	0.001204	0.8
209512_at	HSDL2	hydroxysteroid dehydrogenase like 2	0.001204	2.3
209525_at	HDGFRP3	Hepatoma-derived growth factor, related protein 3	0.001204	0.73
209652_s_at	PGF	placental growth factor, vascular endothelial growth factor-related protein	0.001204	0.54
210140_at	CST7	cystatin F (leukocystatin)	0.001204	0.6
210746_s_at	EPB42	erythrocyte membrane protein band 4.2	0.001204	0.8
211087_x_at	MAPK14	mitogen-activated protein kinase 14	0.001204	1.76
212702_s_at	BICD2	bicaudal D homolog 2 (Drosophila)	0.001204	1.48
213461_at	NUDT21	nudix (nucleoside diphosphate linked moiety X)-type motif 21	0.001204	1.93
213733_at	MYO1F	myosin IF	0.001204	0.6
213856_at	CD47	CD47 molecule	0.001204	0.76
214576_at	KRT36	keratin 36	0.001204	0.85
214708_at	SNTB1	syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1)	0.001204	1.67
214991_s_at	PIGO	phosphatidylinositol glycan anchor biosynthesis, class O	0.001204	1.55
215416_s_at	STOML2	stomatin (EPB72)-like 2	0.001204	1.68
215780_s_at	hCG_1644608 /// LOC389168 /// SET	SET translocation (myeloid leukemia-associated) /// similar to Protein SET (Phosphatase 2A inhibitor I2PP2A) (I-2PP2A) (Template-activating factor I) (TAF-I) (HLA-DR-associated protein II) (PHAPII) (Inhibitor of granzyme A-activated DNase) (IGAAD) /// SET translocation (myeloid leukemia-associated) pseudogene	0.001204	2.36
216100_s_at	TOR1AIP1	torsin A interacting protein 1	0.001204	2.83
216709_at	216709_at	MRNA; cDNA DKFZp434N199 (from clone DKFZp434N199)	0.001204	0.87
217176_s_at	ZFX	zinc finger protein, X-linked	0.001204	1.46
217984_at	RNASET2	ribonuclease T2	0.001204	0.64
218678_at	NES	nestin	0.001204	0.47
218948_at	QRSL1	glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1	0.001204	1.55
219408_at	PRMT7	protein arginine methyltransferase 7	0.001204	1.48
220202_s_at	RC3H2	ring finger and CCCH-type zinc finger domains 2	0.001204	1.8
220840_s_at	C1orf112	chromosome 1 open reading frame 112	0.001204	2.32
221404_at	IL1F6	interleukin 1 family, member 6 (epsilon)	0.001204	0.74
222142_at	CYLD	cylindromatosis (turban tumor syndrome)	0.001204	0.76
222644_s_at	GLT25D1	glycosyltransferase 25 domain containing 1	0.001204	1.49
223212_at	ZDHHC16	zinc finger, DHHC-type containing 16	0.001204	1.46
223369_at	C9orf32	chromosome 9 open reading frame 32	0.001204	1.49
223400_s_at	PBRM1	polybromo 1	0.001204	1.46
223660_at	ADORA3	adenosine A3 receptor	0.001204	0.72
224645_at	EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2	0.001204	1.74
224653_at	EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2	0.001204	1.62
224730_at	WDR68	WD repeat domain 68	0.001204	1.98
225557_at	AXUD1	AXIN1 up-regulated 1	0.001204	0.49
226202_at	ZNF398	zinc finger protein 398	0.001204	1.44
226267_at	JDP2	jun dimerization protein 2	0.001204	0.54
226973_at	VSTM2L	V-set and transmembrane domain containing 2 like	0.001204	0.7
227171_at	CCT4	Chaperonin containing TCP1, subunit 4 (delta)	0.001204	1.23
227307_at	TSPAN18	Tetraspanin 18	0.001204	0.61
227904_at	AZI2	5-azacytidine induced 2	0.001204	1.66
229994_at	229994_at	CDNA FLJ39164 fis, clone OCBBF2002656	0.001204	2.44
230147_at	F2RL2	coagulation factor II (thrombin) receptor-like 2	0.001204	0.53
230480_at	PIWIL4	piwi-like 4 (Drosophila)	0.001204	0.67
230546_at	VASH1	vasohibin 1	0.001204	0.83
230678_at	RGS5	Regulator of G-protein signalling 5	0.001204	1.37
232244_at	KIAA1161	KIAA1161	0.001204	2.05
233036_at	233036_at	CDNA FLJ10237 fis, clone HEMBB1000438	0.001204	0.72
233655_s_at	FAM29A	family with sequence similarity 29, member A	0.001204	1.63
233878_s_at	XRN2	5-3 exoribonuclease 2	0.001204	2.45
233924_s_at	EXOC6	exocyst complex component 6	0.001204	2.02
235417_at	SPOCD1	SPOC domain containing 1	0.001204	0.82
237244_at	237244_at	Transcribed locus	0.001204	0.87
237669_at	237669_at	---	0.001204	0.88
237715_at	AKNA	AT-hook transcription factor	0.001204	0.7
238731_at	SETDB2	SET domain, bifurcated 2	0.001204	1.17
240600_at	240600_at	---	0.001204	0.64
241366_at	RBAK	RB-associated KRAB zinc finger	0.001204	1.34
241849_at	241849_at	Transcribed locus	0.001204	0.82
242520_s_at	MGC33556	hypothetical LOC339541	0.001204	1.22
242569_at	STAM2	Signal transducing adaptor molecule (SH3 domain and ITAM motif) 2	0.001204	1.67
244747_at	NPNT	nephronectin	0.001204	0.86
38487_at	STAB1	stabilin 1	0.001204	0.6
50221_at	TFEB	transcription factor EB	0.001204	0.63
60528_at	PLA2G4B	phospholipase A2, group IVB (cytosolic)	0.001204	0.77
242224_at	GPATCH2	G patch domain containing 2	0.001233	1.62
238409_x_at	OXR1	oxidation resistance 1	0.001244	1.15
237907_at	237907_at	---	0.001261	0.82
210433_at	POFUT1	protein O-fucosyltransferase 1	0.001266	1.23
211581_x_at	LST1	leukocyte specific transcript 1	0.001266	0.69
1552933_at	C1orf62	chromosome 1 open reading frame 62	0.001266	0.87
1554708_s_at	C9orf68	chromosome 9 open reading frame 68	0.001266	0.6
202527_s_at	SMAD4	SMAD family member 4	0.001266	1.87
204223_at	PRELP	proline/arginine-rich end leucine-rich repeat protein	0.001266	0.45
216503_s_at	MLLT10	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10	0.001266	1.7
229655_at	FAM19A5	family with sequence similarity 19 (chemokine (C-C motif)-like), member A5	0.001266	0.58
230228_at	LOC284297	hypothetical LOC284297	0.001266	0.7
223499_at	C1QTNF5	C1q and tumor necrosis factor related protein 5	0.00141	0.6
236152_at	PAGE5	P antigen family, member 5 (prostate associated)	0.00141	1.38
222123_s_at	HIF3A	hypoxia inducible factor 3, alpha subunit	0.001413	0.68
241106_at	241106_at	---	0.001413	1.35
233353_at	FER1L5	fer-1-like 5 (C. elegans)	0.001419	0.83
244413_at	CLECL1	C-type lectin-like 1	0.001448	0.79
1558247_s_at	LOC126147	hypothetical protein BC018697	0.001471	1.14
1566481_at	1566481_at	MRNA; cDNA DKFZp313L2229 (from clone DKFZp313L2229)	0.001471	0.84
240009_at	240009_at	Transcribed locus	0.001471	0.83
224773_at	NAV1	neuron navigator 1	0.001472	0.69
1552839_at	C14orf54	chromosome 14 open reading frame 54	0.001485	0.83
1553003_at	PKHD1	polycystic kidney and hepatic disease 1 (autosomal recessive)	0.001485	0.83
1553043_a_at	CD300LF	CD300 molecule-like family member f	0.001485	0.66
1553679_s_at	VKORC1L1	vitamin K epoxide reductase complex, subunit 1-like 1	0.001485	1.54
1553906_s_at	FGD2	FYVE, RhoGEF and PH domain containing 2	0.001485	0.64
1553995_a_at	NT5E	5-nucleotidase, ecto (CD73)	0.001485	2.01
1554397_s_at	UEVLD	UEV and lactate/malate dehyrogenase domains	0.001485	2.15
1554474_a_at	MOXD1	monooxygenase, DBH-like 1	0.001485	0.58
1555201_a_at	RMND1	required for meiotic nuclear division 1 homolog (S. cerevisiae)	0.001485	1.75
1555561_a_at	UGCGL2	UDP-glucose ceramide glucosyltransferase-like 2	0.001485	2.08
1555617_x_at	1555617_x_at	---	0.001485	0.7
1555636_at	CD300LG	CD300 molecule-like family member g	0.001485	0.82
1555938_x_at	VIM	vimentin	0.001485	0.65
1559532_at	LOC646450	hypothetical LOC646450	0.001485	1.31
1563117_at	LOC388456	hypothetical gene supported by BC039671	0.001485	0.79
1563283_at	1563283_at	CDNA clone IMAGE:4828909	0.001485	0.82
1565269_s_at	ATF1	activating transcription factor 1	0.001485	1.84
1570307_s_at	ST18	Suppression of tumorigenicity 18 (breast carcinoma) (zinc finger protein)	0.001485	0.83
200751_s_at	HNRNPC	heterogeneous nuclear ribonucleoprotein C (C1/C2)	0.001485	1.93
200927_s_at	RAB14	RAB14, member RAS oncogene family	0.001485	2.23
200956_s_at	SSRP1	structure specific recognition protein 1	0.001485	1.65
201137_s_at	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	0.001485	0.44
201214_s_at	PPP1R7	protein phosphatase 1, regulatory (inhibitor) subunit 7	0.001485	1.34
201902_s_at	YY1	YY1 transcription factor	0.001485	1.33
202311_s_at	COL1A1	collagen, type I, alpha 1	0.001485	0.29
202476_s_at	TUBGCP2	tubulin, gamma complex associated protein 2	0.001485	1.32
203188_at	B3GNT1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1	0.001485	1.65
203294_s_at	LMAN1	lectin, mannose-binding, 1	0.001485	1.79
203421_at	TP53I11	tumor protein p53 inducible protein 11	0.001485	0.68
203442_x_at	EML3	echinoderm microtubule associated protein like 3	0.001485	0.68
203817_at	GUCY1B3	guanylate cyclase 1, soluble, beta 3	0.001485	0.52
204103_at	CCL4	chemokine (C-C motif) ligand 4	0.001485	0.57
204186_s_at	PPID	peptidylprolyl isomerase D (cyclophilin D)	0.001485	2.31
204198_s_at	RUNX3	runt-related transcription factor 3	0.001485	0.5
204249_s_at	LMO2	LIM domain only 2 (rhombotin-like 1)	0.001485	0.58
204363_at	F3	coagulation factor III (thromboplastin, tissue factor)	0.001485	0.64
204772_s_at	TTF1	transcription termination factor, RNA polymerase I	0.001485	1.6
205490_x_at	GJB3	gap junction protein, beta 3, 31kDa	0.001485	0.83
205599_at	TRAF1	TNF receptor-associated factor 1	0.001485	0.73
205821_at	KLRK1	killer cell lectin-like receptor subfamily K, member 1	0.001485	0.52
205846_at	PTPRB	protein tyrosine phosphatase, receptor type, B	0.001485	0.65
206184_at	CRKL	v-crk sarcoma virus CT10 oncogene homolog (avian)-like	0.001485	1.39
206715_at	TFEC	transcription factor EC	0.001485	0.57
206977_at	PTH	parathyroid hormone	0.001485	0.9
207163_s_at	AKT1	v-akt murine thymoma viral oncogene homolog 1	0.001485	0.68
207319_s_at	CDC2L5	cell division cycle 2-like 5 (cholinesterase-related cell division controller)	0.001485	1.68
207782_s_at	PSEN1	presenilin 1 (Alzheimer disease 3)	0.001485	2.01
207943_x_at	PLAGL1	pleiomorphic adenoma gene-like 1	0.001485	0.51
208047_s_at	NAB1	NGFI-A binding protein 1 (EGR1 binding protein 1)	0.001485	1.8
208789_at	PTRF	polymerase I and transcript release factor	0.001485	0.59
209177_at	C3orf60	chromosome 3 open reading frame 60	0.001485	1.45
209622_at	STK16	serine/threonine kinase 16	0.001485	1.49
210543_s_at	PRKDC	protein kinase, DNA-activated, catalytic polypeptide	0.001485	2.33
211019_s_at	LSS	lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)	0.001485	2.19
211599_x_at	MET	met proto-oncogene (hepatocyte growth factor receptor)	0.001485	2.12
211768_at	LAT2	linker for activation of T cells family, member 2	0.001485	0.79
211833_s_at	BAX	BCL2-associated X protein	0.001485	1.88
211949_s_at	NOLC1	nucleolar and coiled-body phosphoprotein 1	0.001485	1.36
212257_s_at	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	0.001485	1.7
212901_s_at	CSTF2T	cleavage stimulation factor, 3 pre-RNA, subunit 2, 64kDa, tau variant	0.001485	1.72
212906_at	GRAMD1B	GRAM domain containing 1B	0.001485	0.63
213022_s_at	UTRN	utrophin	0.001485	1.64
213655_at	213655_at	Transcribed locus	0.001485	1.48
214081_at	PLXDC1	plexin domain containing 1	0.001485	0.75
214752_x_at	FLNA	filamin A, alpha (actin binding protein 280)	0.001485	0.45
214767_s_at	HSPB6	heat shock protein, alpha-crystallin-related, B6	0.001485	0.67
215177_s_at	ITGA6	integrin, alpha 6	0.001485	2.41
215436_at	HSDL2	Hydroxysteroid dehydrogenase like 2	0.001485	1.94
216268_s_at	JAG1	jagged 1 (Alagille syndrome)	0.001485	0.58
216607_s_at	CYP51A1	cytochrome P450, family 51, subfamily A, polypeptide 1	0.001485	2.25
216693_x_at	HDGFRP3	hepatoma-derived growth factor, related protein 3	0.001485	0.66
217727_x_at	VPS35	vacuolar protein sorting 35 homolog (S. cerevisiae)	0.001485	1.48
218767_at	REXO4	REX4, RNA exonuclease 4 homolog (S. cerevisiae)	0.001485	1.39
219384_s_at	ADAT1	adenosine deaminase, tRNA-specific 1	0.001485	1.74
219579_at	RAB3IL1	RAB3A interacting protein (rabin3)-like 1	0.001485	0.77
219666_at	MS4A6A	membrane-spanning 4-domains, subfamily A, member 6A	0.001485	0.5
219827_at	UCP3	uncoupling protein 3 (mitochondrial, proton carrier)	0.001485	0.78
220342_x_at	EDEM3	ER degradation enhancer, mannosidase alpha-like 3	0.001485	2.65
220386_s_at	EML4	echinoderm microtubule associated protein like 4	0.001485	2.1
220472_at	ZCCHC4	zinc finger, CCHC domain containing 4	0.001485	1.3
220558_x_at	TSPAN32	tetraspanin 32	0.001485	0.8
220943_s_at	C2orf56	chromosome 2 open reading frame 56	0.001485	1.52
221776_s_at	BRD7	bromodomain containing 7	0.001485	1.73
221786_at	C6orf120	chromosome 6 open reading frame 120	0.001485	1.88
224258_at	224258_at	Endozepine-like protein type 1 mutant	0.001485	0.8
224275_at	GPR98	G protein-coupled receptor 98	0.001485	0.9
224474_x_at	SMEK2	SMEK homolog 2, suppressor of mek1 (Dictyostelium)	0.001485	1.62
224479_s_at	MRPL45	mitochondrial ribosomal protein L45	0.001485	1.5
224582_s_at	NUCKS1	nuclear casein kinase and cyclin-dependent kinase substrate 1	0.001485	2.31
224614_at	DYNC1LI2	dynein, cytoplasmic 1, light intermediate chain 2	0.001485	1.56
224642_at	FYTTD1	forty-two-three domain containing 1	0.001485	2.03
224744_at	IMPAD1	inositol monophosphatase domain containing 1	0.001485	1.94
224787_s_at	RAB18	RAB18, member RAS oncogene family	0.001485	1.8
224940_s_at	PAPPA	pregnancy-associated plasma protein A, pappalysin 1	0.001485	0.55
225243_s_at	SLMAP	sarcolemma associated protein	0.001485	1.4
225309_at	PHF5A	PHD finger protein 5A	0.001485	1.46
225373_at	C10orf54	chromosome 10 open reading frame 54	0.001485	0.56
225420_at	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial	0.001485	2.75
225439_at	NUDCD1	NudC domain containing 1	0.001485	1.72
225754_at	AP1G1	adaptor-related protein complex 1, gamma 1 subunit	0.001485	1.73
225978_at	FAM80B	family with sequence similarity 80, member B	0.001485	0.71
226161_at	SLC30A6	solute carrier family 30 (zinc transporter), member 6	0.001485	1.49
226249_at	SNX30	sorting nexin family member 30	0.001485	1.91
227127_at	TMEM110	Transmembrane protein 110	0.001485	1.23
227941_at	LOC339803	hypothetical protein LOC339803	0.001485	1.79
227966_s_at	CCDC74A /// CCDC74B	coiled-coil domain containing 74A /// coiled-coil domain containing 74B	0.001485	0.76
228141_at	LOC493869	Similar to RIKEN cDNA 2310016C16	0.001485	0.53
228593_at	LOC339483	hypothetical LOC339483	0.001485	0.75
229257_at	KIAA1856	KIAA1856 protein	0.001485	1.42
230166_at	KIAA1958	KIAA1958	0.001485	1.81
230679_at	WDR32	WD repeat domain 32	0.001485	1.58
230787_at	230787_at	Transcribed locus, strongly similar to XP_001166561.1  hypothetical protein [Pan troglodytes]	0.001485	0.79
232227_at	232227_at	HSPC324	0.001485	0.7
232341_x_at	HABP4	hyaluronan binding protein 4	0.001485	1.51
232474_at	232474_at	CDNA: FLJ21679 fis, clone COL09221	0.001485	0.82
232935_at	232935_at	Primary neuroblastoma cDNA, clone:Nbla03614, full insert sequence	0.001485	0.55
233564_s_at	CDADC1	cytidine and dCMP deaminase domain containing 1	0.001485	1.4
233750_s_at	C1orf25	chromosome 1 open reading frame 25	0.001485	1.79
235026_at	FLJ32549	hypothetical protein FLJ32549	0.001485	1.83
235189_at	NARG2	NMDA receptor regulated 2	0.001485	1.5
235242_at	235242_at	CDNA FLJ41375 fis, clone BRCAN2007700	0.001485	0.56
235318_at	FBN1	fibrillin 1	0.001485	0.58
235375_x_at	TTC9B	tetratricopeptide repeat domain 9B	0.001485	0.83
236141_at	NBLA00301	putative protein product of Nbla00301	0.001485	0.78
236234_at	PDE1A	phosphodiesterase 1A, calmodulin-dependent	0.001485	0.73
236587_at	236587_at	Transcribed locus	0.001485	0.78
236764_at	236764_at	Transcribed locus	0.001485	0.56
238816_at	238816_at	CDNA FLJ36867 fis, clone ASTRO2016491	0.001485	1.52
238920_at	238920_at	---	0.001485	0.75
239138_at	239138_at	CDNA clone IMAGE:4797099	0.001485	1.78
240695_at	240695_at	---	0.001485	0.79
240877_x_at	240877_x_at	CDNA FLJ36327 fis, clone THYMU2005748	0.001485	0.77
241781_at	C9orf41	chromosome 9 open reading frame 41	0.001485	1.28
243451_at	243451_at	Transcribed locus	0.001485	0.89
244030_at	LOC730432 /// STYX	serine/threonine/tyrosine interacting protein /// similar to serine/threonine/tyrosine interacting protein	0.001485	1.75
244251_at	LCP2	Lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	0.001485	0.8
244485_at	244485_at	Transcribed locus	0.001485	0.82
65591_at	WDR48	WD repeat domain 48	0.001485	1.43
213160_at	DOCK2	dedicator of cytokinesis 2	0.001557	0.6
216509_x_at	MLLT10	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10	0.00156	0.83
217324_at	217324_at	MRNA; cDNA DKFZp434B1521 (from clone DKFZp434B1521)	0.00156	0.78
235291_s_at	FLJ32255	hypothetical protein LOC643977	0.00156	0.66
235395_at	SEC63	SEC63 homolog (S. cerevisiae)	0.00156	1.35
210758_at	PSIP1	PC4 and SFRS1 interacting protein 1	0.00156	1.23
228343_at	POU2F2	POU class 2 homeobox 2	0.00156	0.82
244434_at	244434_at	---	0.001719	0.78
229753_at	229753_at	---	0.001738	1.22
244788_at	244788_at	Homo sapiens, clone IMAGE:4344826, mRNA	0.001738	0.83
227972_at	TOR2A	torsin family 2, member A	0.001742	1.37
1552542_s_at	TAGAP	T-cell activation GTPase activating protein	0.001821	0.86
1553725_s_at	ZNF644	zinc finger protein 644	0.001821	1.87
1554196_at	IZUMO1	izumo sperm-egg fusion 1	0.001821	1.15
1554410_a_at	LOC653375 /// WBSCR16	Williams-Beuren syndrome chromosome region 16 /// similar to RCC1-like G exchanging factor-like isoform 1	0.001821	1.56
1554433_a_at	ZNF146	zinc finger protein 146	0.001821	2.03
1554510_s_at	GHITM	growth hormone inducible transmembrane protein	0.001821	2.07
1555545_at	KLK2	kallikrein-related peptidase 2	0.001821	0.81
1555638_a_at	SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1	0.001821	0.71
1557479_at	1557479_at	CDNA clone IMAGE:5298552	0.001821	0.73
1558094_s_at	C3orf19	chromosome 3 open reading frame 19	0.001821	1.39
1558697_a_at	KIAA0430	KIAA0430	0.001821	1.2
1561591_at	1561591_at	CDNA clone IMAGE:4822760	0.001821	0.86
1562249_at	LOC285965	hypothetical protein LOC285965	0.001821	0.91
1563898_at	1563898_at	CDNA FLJ34764 fis, clone NT2NE2002311	0.001821	0.82
1564381_s_at	1564381_s_at	Homo sapiens, clone IMAGE:3885733, mRNA	0.001821	1.57
201078_at	TM9SF2	transmembrane 9 superfamily member 2	0.001821	1.89
201211_s_at	DDX3X	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	0.001821	2.05
201376_s_at	HNRPF	heterogeneous nuclear ribonucleoprotein F	0.001821	1.43
201456_s_at	BUB3	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)	0.001821	1.83
201502_s_at	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	0.001821	0.57
201529_s_at	RPA1	replication protein A1, 70kDa	0.001821	1.98
201635_s_at	FXR1	fragile X mental retardation, autosomal homolog 1	0.001821	1.93
201854_s_at	ASCIZ	ATM/ATR-Substrate Chk2-Interacting Zn2+-finger protein	0.001821	1.47
201946_s_at	CCT2	chaperonin containing TCP1, subunit 2 (beta)	0.001821	2.46
202226_s_at	CRK	v-crk sarcoma virus CT10 oncogene homolog (avian)	0.001821	1.59
202766_s_at	FBN1	fibrillin 1	0.001821	0.39
202899_s_at	SFRS3	splicing factor, arginine/serine-rich 3	0.001821	1.87
203189_s_at	NDUFS8	NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)	0.001821	1.55
203467_at	PMM1	phosphomannomutase 1	0.001821	1.65
203490_at	ELF4	E74-like factor 4 (ets domain transcription factor)	0.001821	0.74
204166_at	SBNO2	strawberry notch homolog 2 (Drosophila)	0.001821	0.65
204566_at	PPM1D	protein phosphatase 1D magnesium-dependent, delta isoform	0.001821	1.77
204692_at	LRCH4	leucine-rich repeats and calponin homology (CH) domain containing 4	0.001821	0.73
204779_s_at	HOXB7	homeobox B7	0.001821	0.63
204789_at	FMNL1	formin-like 1	0.001821	0.68
205381_at	LRRC17	leucine rich repeat containing 17	0.001821	0.57
205501_at	205501_at	CDNA FLJ25677 fis, clone TST04054	0.001821	0.68
205668_at	LY75	lymphocyte antigen 75	0.001821	0.4
205908_s_at	OMD	osteomodulin	0.001821	0.73
206272_at	SPHAR	S-phase response (cyclin-related)	0.001821	1.86
206473_at	MBTPS2	membrane-bound transcription factor peptidase, site 2	0.001821	1.4
206667_s_at	SCAMP1	secretory carrier membrane protein 1	0.001821	1.72
207134_x_at	TPSAB1 /// TPSB2	tryptase alpha/beta 1 /// tryptase beta 2	0.001821	0.7
207238_s_at	PTPRC	protein tyrosine phosphatase, receptor type, C	0.001821	0.52
207304_at	ZNF45	zinc finger protein 45	0.001821	1.66
209055_s_at	CDC5L	CDC5 cell division cycle 5-like (S. pombe)	0.001821	2.45
209059_s_at	EDF1	endothelial differentiation-related factor 1	0.001821	1.42
209074_s_at	FAM107A	family with sequence similarity 107, member A	0.001821	0.55
209197_at	SYT11	synaptotagmin XI	0.001821	0.77
209624_s_at	MCCC2	methylcrotonoyl-Coenzyme A carboxylase 2 (beta)	0.001821	1.91
209643_s_at	PLD2	phospholipase D2	0.001821	0.77
210607_at	FLT3LG	fms-related tyrosine kinase 3 ligand	0.001821	0.7
210774_s_at	NCOA4	nuclear receptor coactivator 4	0.001821	1.39
211535_s_at	FGFR1	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	0.001821	0.63
211615_s_at	LRPPRC	leucine-rich PPR-motif containing	0.001821	1.61
211748_x_at	PTGDS	prostaglandin D2 synthase 21kDa (brain)	0.001821	0.4
211829_s_at	GPER	G protein-coupled estrogen receptor 1	0.001821	1.81
212409_s_at	TOR1AIP1	torsin A interacting protein 1	0.001821	1.85
213438_at	NFASC	neurofascin homolog (chicken)	0.001821	0.51
213478_at	KIAA1026	kazrin	0.001821	0.42
213541_s_at	ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	0.001821	0.57
213875_x_at	C6orf62	chromosome 6 open reading frame 62	0.001821	1.81
214032_at	ZAP70	zeta-chain (TCR) associated protein kinase 70kDa	0.001821	0.69
214057_at	MCL1	Myeloid cell leukemia sequence 1 (BCL2-related)	0.001821	0.58
