symbol	operon_ID	unigene  ID	C.I. Low	Fold Change	C.I. Up	signal-Control group	signal T2DM group	backgr. Signal Control group	backgr. Signal T2DM group
PPP1R11	HSAC006980	Hs.82887	0.6	0.75	0.94	2295	2036	261	263
NP_078871.1	HSAC009560	NA	0.61	0.75	0.93	627	502	267	274
RKHD2	HSAC002190	Hs.465144	0.64	0.75	0.89	2685	2213	321	305
FOXP1	HSAC017058	Hs.431498	0.57	0.75	0.99	2624	1546	295	274
ELL2	HSAC008130	Hs.192221	0.58	0.76	0.99	2636	2082	256	263
TYRO3	HSAC000080	Hs.381282	0.61	0.76	0.93	900	774	283	283
PDP2	HSAC015458	Hs.232696	0.66	0.76	0.87	650	562	237	235
ZNF326	HSAC005776	Hs.306221	0.65	0.76	0.88	617	584	263	264
SOX30	HSAC014767	Hs.529462	0.66	0.76	0.87	1354	1092	300	279
PHKA2	HSAC005132	Hs.54941	0.64	0.76	0.9	908	813	262	260
GDNF	HSAC016747	Hs.248114	0.65	0.76	0.88	515	460	252	254
SSR3	HSAC003859	Hs.518346	0.64	0.76	0.89	3543	2485	286	263
ACTB	HSAC021328	Hs.520640	0.64	0.76	0.9	35378	29209	334	328
CDC2	HSAC019581	Hs.334562	0.61	0.76	0.94	657	478	275	251
NA	HSAC019989	NA	0.65	0.76	0.89	537	502	248	256
NP_055705.1	HSAC002477	NA	0.64	0.76	0.91	2421	2031	257	257
WDFY2	HSAC002572	Hs.208550	0.63	0.76	0.92	928	738	251	257
TMEFF1	HSAC019763	Hs.336224	0.66	0.76	0.87	657	614	245	238
Q8WYW1	HSAC009274	NA	0.6	0.76	0.97	10589	8926	254	262
SLC2A1	HSAC007875	Hs.473721	0.61	0.76	0.96	887	761	256	275
THRA	HSAC000178	Hs.724	0.58	0.76	1	14631	10583	267	275
ITGA11	HSAC005203	Hs.436416	0.63	0.76	0.92	889	638	243	239
NA	HSAC016859	NA	0.61	0.77	0.97	781	694	253	247
HOXB3	HSAC007645	Hs.567288	0.71	0.77	0.82	571	503	261	267
TIA1	HSAC015655	Hs.516075	0.66	0.77	0.89	2312	2063	245	242
ANKRD11	HSAC020218	Hs.335003	0.59	0.77	0.99	650	450	261	252
CDCA8	HSAC004905	Hs.524571	0.64	0.77	0.92	531	411	261	262
NM_023016.2	HSAC012921	NA	0.62	0.77	0.95	2310	1793	303	295
FHOD3	HSAC009376	Hs.436636	-	0.77	-	677	568	259	260
LRP5	HSAC001207	Hs.6347	0.66	0.77	0.89	599	499	272	267
KHSRP	HSAC010468	Hs.91142	0.6	0.77	0.98	12379	11426	314	311
LDHA	HSAC000680	Hs.2795	0.63	0.77	0.94	7478	6476	391	384
NP_055530.2	HSAC011733	NA	0.66	0.77	0.9	576	512	245	250
DYNLT3	HSAC006066	Hs.446392	0.62	0.77	0.96	3302	2718	246	253
NP_005757.1	HSAC014212	NA	0.7	0.77	0.84	1072	898	311	308
ASPM	HSAC012272	Hs.121028	0.65	0.77	0.92	765	672	257	260
IL11	HSAC000450	Hs.467304	0.64	0.77	0.93	696	573	255	264
NP_116262.2	HSAC005148	NA	0.67	0.77	0.89	561	430	268	255
TMED3	HSAC008351	Hs.513058	0.63	0.77	0.95	16779	14836	317	326
IGF1	HSAC007136	Hs.160562	0.62	0.77	0.96	675	783	274	263
SYNPO	HSAC001031	Hs.435228	0.66	0.77	0.9	541	474	254	250
PTGER3	HSAC003797	Hs.445000	0.61	0.77	0.99	593	531	257	271
NP_849157.1	HSAC004262	NA	0.62	0.77	0.96	1608	1336	328	320
NTF3	HSAC010942	Hs.99171	0.62	0.77	0.97	884	766	257	264
SOCS6	HSAC004702	Hs.44439	0.67	0.77	0.9	694	543	260	243
NP_060554.3	HSAC002937	NA	0.63	0.78	0.95	1266	1146	260	272
NA	HSAC009713	NA	0.67	0.78	0.9	1080	1040	265	289
PGBD1	HSAC013454	Hs.144527	0.64	0.78	0.95	530	513	265	269
NP_115895.1	HSAC008971	NA	0.63	0.78	0.95	2893	2311	284	275
LNPEP	HSAC012000	Hs.554761	0.62	0.78	0.98	852	656	271	277
PTPN1	HSAC014110	Hs.417549	0.63	0.78	0.96	1338	1003	244	239
NA	HSAC018612	NA	0.67	0.78	0.9	10245	8578	408	387
NP_000238.1	HSAC010440	NA	0.66	0.78	0.92	4037	3847	264	285
ACTB	HSAC021328	Hs.520640	0.65	0.78	0.93	32081	27085	389	349
TSPAN2	HSAC012374	Hs.310458	0.62	0.78	0.99	936	800	251	262
NP_076965.2	HSAC010015	NA	0.68	0.78	0.9	640	556	295	297
RUSC2	HSAC003708	Hs.493796	0.65	0.78	0.93	2173	1793	262	263
ZNF445	HSAC016203	Hs.567881	0.66	0.78	0.93	1977	1666	274	274
Q3KQR5	HSAC012176	NA	0.65	0.78	0.94	599	500	260	262
SLC8A1	HSAC019182	Hs.468274	0.65	0.78	0.94	1845	1582	247	254
AARS	HSAC006000	Hs.315137	0.63	0.78	0.97	1901	1676	309	298
NUSAP1	HSAC017533	Hs.511093	0.63	0.78	0.97	645	508	264	251
EMP2	HSAC003896	Hs.531561	0.62	0.78	0.99	1625	1363	263	262
SLC37A2	HSAC019366	Hs.352661	0.64	0.78	0.96	819	749	292	297
NA	HSAC018725	NA	0.65	0.78	0.94	3584	3102	286	296
ZNF91	HSAC001661	Hs.558418	-	0.78	-	2356	1901	287	297
PLCG1	HSAC016622	Hs.268177	-	0.78	-	610	572	251	251
NP_055627.1	HSAC003482	NA	0.63	0.79	0.98	2050	1773	288	287
SDCCAG1	HSAC005128	Hs.388584	0.63	0.79	0.98	2957	2567	254	256
HOXC8	HSAC016022	Hs.248050	0.69	0.79	0.89	711	583	257	263
GOLGB1	HSAC001505	Hs.213389	0.62	0.79	0.99	2283	1983	258	270
TGFB1I1	HSAC020517	Hs.513530	0.62	0.79	0.99	2071	1753	240	243
UBE2C	HSAC010554	Hs.93002	0.71	0.79	0.88	595	486	254	252
NKTR	HSAC015744	Hs.529509	0.63	0.79	0.98	2163	1928	251	250
U2AF2	HSAC001469	Hs.528007	0.71	0.79	0.88	656	562	299	283
P2RY1	HSAC000612	Hs.2411	0.67	0.79	0.93	1399	1116	281	278
RAI17	HSAC001397	Hs.193118	0.65	0.79	0.97	4405	3648	274	270
TBAK	HSAC019697	NA	0.7	0.79	0.89	42510	36827	1151	790
HNF4G	HSAC015751	Hs.241529	0.67	0.79	0.93	745	691	269	285
SKIL	HSAC004448	Hs.536655	0.67	0.79	0.94	769	717	257	259
TBAK	HSAC019697	NA	0.67	0.79	0.94	33472	29250	338	306
TES	HSAC007640	Hs.533391	0.66	0.79	0.95	1221	998	256	262
MAP4K3	HSAC015376	Hs.468239	0.65	0.79	0.96	2998	2607	249	254
ACTB	HSAC021328	Hs.520640	0.66	0.79	0.95	32943	28006	553	436
GAPDH	HSAC007829	Hs.544577	0.67	0.79	0.94	32906	29063	412	379
RALGDS	HSAC011423	Hs.106185	0.65	0.79	0.96	2658	2129	280	282
NM_014344.2	HSAC004457	NA	0.65	0.79	0.97	2477	1975	251	254
U6	HSAC003840	NA	0.65	0.79	0.98	1937	1781	272	276
ACTB	HSAC021328	Hs.520640	0.67	0.79	0.94	37224	31807	478	414
NA	HSAC013235	NA	0.65	0.79	0.97	825	740	254	257
COL6A1	HSAC011602	Hs.474053	0.65	0.79	0.97	16001	13822	280	298
DCBLD1	HSAC004270	Hs.549306	0.68	0.8	0.94	1080	861	253	259
POFUT2	HSAC003222	Hs.517345	0.66	0.8	0.95	1732	1491	263	261
ROCK1	HSAC002680	Hs.306307	0.66	0.8	0.96	1339	1146	268	286
SLC25A24	HSAC003430	Hs.132553	0.64	0.8	0.99	7596	6298	456	429
JAK2	HSAC011963	Hs.434374	0.67	0.8	0.95	955	867	315	317
PTGIR	HSAC000105	Hs.458324	0.67	0.8	0.95	1931	1678	579	574
PSMD12	HSAC000907	Hs.4295	0.67	0.8	0.95	2029	1635	286	280
NP_116220.1	HSAC009458	NA	0.68	0.8	0.94	551	530	254	256
MUC16	HSAC021107	Hs.567643	0.69	0.8	0.93	969	945	275	280
RASA1	HSAC000192	Hs.582303	0.71	0.8	0.89	2120	1853	256	261
TSPAN6	HSAC012274	Hs.43233	0.65	0.8	0.97	2171	2005	272	279
EIF4A1	HSAC015654	Hs.129673	0.64	0.8	0.99	652	558	284	263
HN1	HSAC011658	Hs.532803	0.64	0.8	0.99	4056	3564	275	284
PRC1	HSAC020012	Hs.567385	0.64	0.8	0.99	677	580	268	266
ETV5	HSAC004644	Hs.43697	0.66	0.8	0.97	2025	1512	261	267
TPR	HSAC007852	Hs.279640	0.67	0.8	0.95	2547	2179	263	266
ABHD1	HSAC010897	Hs.375791	0.65	0.8	0.98	990	888	285	287
GNAI2	HSAC006373	Hs.77269	0.65	0.8	0.98	12615	10689	274	270
IRS1	HSAC010723	Hs.471508	0.65	0.8	0.98	737	629	269	274
NA	HSAC007046	NA	0.64	0.8	1	1415	1345	261	268
ERO1LB	HSAC014390	Hs.558519	0.72	0.8	0.88	540	476	245	251
ZNF614	HSAC019225	Hs.292336	0.69	0.8	0.93	1318	1100	273	254
NA	HSAC005964	NA	0.66	0.8	0.97	993	836	244	250
PLEC1	HSAC006712	Hs.434248	0.68	0.8	0.95	26528	22711	296	310
FSCN1	HSAC012107	Hs.118400	0.65	0.8	0.98	1295	1167	276	292
RCN3	HSAC004459	Hs.567550	0.66	0.8	0.98	3678	3011	290	282
CT038	HSAC016809	NA	0.65	0.8	0.99	655	522	238	235
KPNA1	HSAC019937	Hs.161008	0.69	0.8	0.93	1951	1759	258	294
Q96PV3	HSAC002751	NA	0.71	0.8	0.9	502	456	250	262
GAPDH	HSAC007829	Hs.544577	0.68	0.8	0.95	34188	31014	369	344
PPFIBP1	HSAC013073	Hs.172445	0.7	0.8	0.92	1994	1771	315	317
NM_017617.2	HSAC014299	NA	0.67	0.8	0.95	1351	1115	268	259
NP_631899.1	HSAC008441	NA	0.69	0.8	0.93	679	615	252	244
PHF20L1	HSAC018912	Hs.304362	0.67	0.8	0.97	1110	908	278	284
DDR2	HSAC005761	Hs.275757	0.68	0.8	0.96	1264	938	259	271
NA	HSAC008487	NA	0.67	0.8	0.97	3977	3300	303	307
BIRC5	HSAC000412	Hs.514527	0.67	0.8	0.97	818	728	251	255
COL4A3BP	HSAC002997	Hs.270437	0.66	0.81	0.98	1902	1536	308	306
TCF4	HSAC019157	Hs.200285	0.68	0.81	0.95	524	448	252	252
GAPDH	HSAC007829	Hs.544577	0.68	0.81	0.95	34448	31230	504	472
CPT1A	HSAC016482	Hs.503043	0.71	0.81	0.92	697	551	255	253
TUBB3	HSAC007389	Hs.511743	0.68	0.81	0.96	1967	1731	346	335
SAMD14	HSAC011478	Hs.567769	0.66	0.81	0.99	736	622	247	246
NP_851320.1	HSAC007437	NA	0.67	0.81	0.97	1655	1405	298	290
NP_115497.3	HSAC019051	NA	0.66	0.81	0.99	8363	7169	252	257
BAT2	HSAC003573	Hs.436093	0.68	0.81	0.97	1151	1048	258	266
INSL3	HSAC011001	Hs.37062	0.69	0.81	0.95	1575	1410	258	258
NP_612398.1	HSAC005377	NA	0.69	0.81	0.94	768	646	241	241
GLE1L	HSAC007816	Hs.522418	0.67	0.81	0.98	7491	6544	281	296
NA	HSAC012170	NA	0.73	0.81	0.9	628	583	269	272
KCNMB4	HSAC004800	Hs.525529	0.68	0.81	0.96	641	560	250	258
NP_115701.2	HSAC004554	NA	0.67	0.81	0.98	1078	915	311	284
NP_065189.1	HSAC004684	NA	0.74	0.81	0.88	803	704	274	263
GGN	HSAC010772	Hs.447948	0.66	0.81	0.99	1141	1031	259	264
ABL1	HSAC013557	Hs.431048	0.68	0.81	0.97	2928	2519	270	282
Q96JN9	HSAC012456	NA	0.66	0.81	0.99	3046	2662	266	286
NP_942582.1	HSAC005630	NA	0.69	0.81	0.96	564	508	277	277
NA	HSAC017760	NA	0.68	0.81	0.96	7240	5984	279	281
MRC2	HSAC001501	Hs.7835	0.72	0.81	0.91	11984	10810	287	293
SEC23A	HSAC016962	Hs.272927	0.68	0.81	0.97	5646	5847	333	354
A1BG	HSAC020336	Hs.529161	0.73	0.81	0.91	1436	1252	286	276
NP_115536.1	HSAC012504	NA	0.72	0.81	0.91	539	502	257	267
LDHA	HSAC000680	Hs.2795	0.66	0.81	1	7431	6585	294	310
NP_115661.1	HSAC002225	NA	0.69	0.81	0.96	1379	1234	270	268
Q96AL1	HSAC011425	NA	0.7	0.81	0.94	1491	1404	260	267
NP_079117.2	HSAC008670	NA	0.69	0.81	0.96	831	745	257	274
ASCC3	HSAC013433	Hs.486031	0.66	0.81	1	962	826	268	265
Q4UJ76	HSAC017300	NA	0.7	0.81	0.94	718	750	264	328
NA	HSAC010887	NA	0.69	0.81	0.96	7922	6804	286	278
NP_079082.2	HSAC007602	NA	0.71	0.81	0.94	867	792	275	278
RNPEP	HSAC017761	Hs.497391	0.68	0.81	0.98	2994	2697	246	239
CEL	HSAC011015	Hs.533258	0.7	0.82	0.95	657	597	258	266
NP_620126.2	HSAC013413	NA	-	0.82	-	987	880	255	255
RP11-436K8.1	HSAC018365	NA	0.67	0.82	1	875	760	251	268
ZNF14	HSAC014748	Hs.466261	0.68	0.82	0.98	18389	15812	280	294
TMEM41B	HSAC008222	Hs.501868	-	0.82	-	4681	4423	286	293
NM_001031628.1	HSAC015002	NA	0.72	0.82	0.93	805	683	264	272
ENTPD6	HSAC002110	Hs.500375	0.69	0.82	0.96	2283	1883	255	264
SMC6L1	HSAC004265	Hs.526728	0.71	0.82	0.95	2410	2173	298	283
MCM6	HSAC014068	Hs.444118	0.68	0.82	0.98	1441	1188	258	248
LNK	HSAC002229	Hs.506784	0.7	0.82	0.96	1434	1165	262	272
SLC16A7	HSAC012995	Hs.439643	0.67	0.82	0.99	547	466	262	252
HSPA1A	HSAC001718	Hs.520028	-	0.82	-	4576	4591	262	278
TBAK	HSAC019697	NA	0.68	0.82	0.99	45770	41411	737	416
NP_076955.1	HSAC008546	NA	0.67	0.82	1	4440	3989	264	270
FURIN	HSAC005354	Hs.513153	0.69	0.82	0.98	876	775	261	270
NP_775925.1	HSAC001136	NA	-	0.82	-	1835	1488	276	257
SLC35E1	HSAC017583	Hs.134074	0.69	0.82	0.98	3065	2816	253	260
TRPS1	HSAC003596	Hs.253594	0.7	0.82	0.97	665	596	255	260
KBTBD6	HSAC011797	Hs.534040	0.72	0.82	0.94	3259	2792	309	311
KIAA1794	HSAC019690	Hs.513126	0.7	0.82	0.96	592	480	260	252
NMD3	HSAC008494	Hs.492805	0.68	0.82	0.99	2310	2261	282	283
ZNF569	HSAC013668	Hs.511848	0.74	0.82	0.92	674	633	258	260
HDGR3	HSAC012714	NA	0.68	0.82	1	2241	2094	264	267
TANC2	HSAC000969	Hs.410889	0.71	0.82	0.96	706	550	252	249
RAD18	HSAC003001	Hs.375684	0.73	0.82	0.93	1338	1183	261	260
TUBB	HSAC008363	Hs.533059	0.69	0.82	0.99	36259	30938	346	313
SLC16A2	HSAC006069	Hs.75317	0.74	0.82	0.92	881	747	277	268
NP_116220.1	HSAC019743	NA	0.73	0.82	0.93	1248	1029	277	262
NA	HSAC010100	NA	0.69	0.82	0.99	1661	1523	252	258
NA	HSAC008979	NA	0.69	0.82	0.98	19254	16702	317	317
DFNB31	HSAC010606	Hs.93836	0.72	0.83	0.94	626	585	269	274
XM_172341.5	HSAC011730	NA	0.71	0.83	0.96	618	499	241	244
NA	HSAC020273	NA	0.7	0.83	0.98	2278	2081	245	252
HOXA4	HSAC006428	Hs.77637	0.71	0.83	0.97	1710	1647	302	303
VPS37C	HSAC018528	Hs.523715	0.72	0.83	0.95	1410	1203	245	244
NP_056936.1	HSAC016231	NA	0.7	0.83	0.98	599	590	250	263
EIF5B	HSAC007373	Hs.158688	0.7	0.83	0.97	2489	2269	259	258
TMEM30A	HSAC011573	Hs.108530	0.73	0.83	0.93	5467	5103	263	267
SSX2IP	HSAC003167	Hs.22587	0.69	0.83	0.99	609	535	255	250
ERICH1	HSAC021171	Hs.128130	0.69	0.83	0.99	4206	3648	264	263
TLE1	HSAC010136	Hs.197320	0.7	0.83	0.98	1828	1643	276	276
MAGED2	HSAC000956	Hs.522665	0.69	0.83	1	4288	3573	278	276
GAPDH	HSAC007829	Hs.544577	0.7	0.83	0.98	33872	30960	385	352
PDE4DIP	HSAC019054	Hs.568247	0.75	0.83	0.91	1054	968	266	258
RNF14	HSAC015191	Hs.508993	0.71	0.83	0.96	2920	2510	327	325
RNF12	HSAC002483	Hs.550150	0.76	0.83	0.91	535	505	258	273
HOXA5	HSAC004362	Hs.37034	0.7	0.83	0.99	831	783	255	265
CACNB3	HSAC016237	Hs.250712	0.71	0.83	0.97	761	687	276	279
COL1A1	HSAC008096	Hs.172928	0.7	0.83	0.99	14782	12513	268	275
Q96M97	HSAC009212	NA	0.71	0.83	0.98	679	617	252	262
DDAH1	HSAC020398	Hs.379858	0.74	0.83	0.94	1339	1204	261	262
NP_694540.2	HSAC021272	NA	0.73	0.83	0.96	929	939	306	316
Q96BN7	HSAC002385	NA	-	0.83	-	1687	1506	256	263
O94909	HSAC017964	NA	-	0.84	-	519	482	253	254
ULBP2	HSAC016217	Hs.250618	-	0.84	-	644	568	242	250
ACTR3	HSAC001034	Hs.433512	0.7	0.84	1	6922	5977	277	267
NA	HSAC003437	NA	0.74	0.84	0.95	845	727	274	255
CD3G	HSAC000577	Hs.2259	0.73	0.84	0.96	2038	1777	263	276
EMX2	HSAC014920	Hs.202095	0.71	0.84	0.99	2071	1956	281	277
DYRK4	HSAC002626	Hs.439530	0.71	0.84	0.99	1085	983	339	318
NRBP2	HSAC017072	Hs.521926	0.73	0.84	0.97	2456	2131	263	258
PRRG3	HSAC015047	Hs.209253	-	0.84	-	1400	1151	260	255
CUL7	HSAC005024	Hs.520136	0.72	0.84	0.98	2016	1780	303	296
RREB1	HSAC008008	Hs.298248	0.71	0.84	1	556	476	256	259
TBC1D4	HSAC008168	Hs.210891	0.79	0.84	0.89	884	763	247	256
NA	HSAC011002	NA	0.73	0.84	0.97	828	746	243	244
TMEM87B	HSAC003265	Hs.469690	0.75	0.84	0.95	829	699	272	249
ELF4	HSAC013742	Hs.271940	0.72	0.84	0.98	1177	980	271	260
TUBB4Q	HSAC021153	Hs.351544	0.75	0.84	0.94	675	632	264	267
ZNF364	HSAC002587	Hs.523550	0.74	0.84	0.96	1169	985	270	271
PON2	HSAC014166	Hs.530077	0.74	0.84	0.96	1727	1615	252	253
BOK	HSAC009579	Hs.293753	-	0.84	-	1158	1050	278	290
NP_997201.1	HSAC003461	NA	0.72	0.84	0.98	915	779	276	248
CHAF1B	HSAC006039	Hs.75238	0.77	0.84	0.93	488	438	242	241
NP_710154.1	HSAC005745	NA	0.73	0.84	0.98	970	911	262	262
NP_002083.2	HSAC018803	NA	0.72	0.85	0.99	3491	3218	271	295
STAM2	HSAC002629	Hs.17200	0.73	0.85	0.98	898	850	270	273
PELO	HSAC012020	Hs.519304	0.72	0.85	1	1743	1505	279	287
LMAN1	HSAC009198	Hs.465295	0.76	0.85	0.94	726	715	256	263
SHC1	HSAC006866	Hs.433795	0.73	0.85	0.98	8997	7419	420	408
PEA15	HSAC014638	Hs.517216	0.74	0.85	0.97	5912	5121	272	287
IMPAD1	HSAC016525	Hs.438689	-	0.85	-	4326	4089	268	269
ABCC1	HSAC010317	Hs.391464	0.74	0.85	0.98	7556	6884	292	289
SNAPC3	HSAC007506	Hs.546299	0.77	0.85	0.93	569	515	239	247
UBC	HSAC014209	Hs.520348	0.74	0.85	0.97	40687	38258	339	355
FZD6	HSAC011906	Hs.292464	0.73	0.85	0.98	1272	1202	264	276
KPNA4	HSAC018120	Hs.288193	0.73	0.85	0.99	1091	1026	289	306
NP_079193.2	HSAC016520	NA	0.73	0.85	0.99	585	538	268	268
FUT4	HSAC000551	Hs.390420	0.73	0.85	0.99	987	905	304	301
TNIP1	HSAC011632	Hs.355141	0.73	0.85	0.99	705	652	267	275
STXBP1	HSAC015649	Hs.288229	0.73	0.85	1	1847	1643	246	241
SLC25A16	HSAC008430	Hs.180408	0.76	0.85	0.95	1662	1646	297	294
APBA2BP	HSAC019082	Hs.516986	0.73	0.85	0.99	1047	993	263	261
CHD9	HSAC001905	Hs.59159	-	0.85	-	2881	2501	254	270
PDGFD	HSAC011843	Hs.352298	0.76	0.85	0.96	1175	1766	257	259
PFN2	HSAC010507	Hs.91747	0.74	0.85	0.98	4889	4254	273	269
GTF2H3	HSAC004025	Hs.355348	0.75	0.85	0.97	1107	923	263	257
Q96MU4	HSAC018813	NA	0.75	0.85	0.97	555	536	251	246
FBXL7	HSAC006324	Hs.433057	0.76	0.86	0.96	2362	2119	256	270
TMF1	HSAC016597	Hs.267632	0.8	0.86	0.92	717	652	239	246
GRB2	HSAC009676	Hs.444356	0.76	0.86	0.97	1429	1230	261	264
SYT3	HSAC019629	Hs.515554	0.75	0.86	0.99	1633	1404	275	248
RPL24	HSAC014291	Hs.547172	0.74	0.86	1	44613	42736	404	416
NA	HSAC020412	NA	0.78	0.86	0.95	518	518	255	275
NP_060541.3	HSAC003147	NA	0.78	0.86	0.95	817	714	246	252
NA	HSAC020417	NA	0.74	0.86	1	496	415	248	252
RASK	HSAC021017	NA	-	0.86	-	994	874	304	305
PC	HSAC010398	Hs.89890	0.75	0.86	0.99	909	860	262	277
TCF3	HSAC011099	Hs.371282	0.78	0.86	0.96	6103	5010	266	272
FAM60A	HSAC008463	Hs.505154	0.75	0.86	1	949	823	253	255
MAP3K3	HSAC016672	Hs.29282	0.75	0.86	1	573	468	284	262
ACBD5	HSAC002344	Hs.530597	-	0.87	-	1480	1418	276	281
TRIB2	HSAC014063	Hs.467751	0.75	0.87	0.99	1065	1016	239	243
AGPAT7	HSAC018947	Hs.352614	0.78	0.87	0.96	761	667	247	252
TRPV2	HSAC017470	Hs.279746	0.79	0.87	0.95	703	642	273	286
PCSK7	HSAC004205	Hs.503993	0.77	0.87	0.98	673	637	283	287
NUCB1	HSAC008052	Hs.515524	0.76	0.87	0.99	921	831	257	239
DIAPH3	HSAC012362	Hs.283127	0.76	0.87	0.99	559	490	249	256
VARSL	HSAC001196	Hs.102910	0.78	0.87	0.96	944	835	250	258
WDR51B	HSAC016758	Hs.25130	0.79	0.87	0.95	587	542	262	264
NP_110423.2	HSAC000918	NA	0.77	0.87	0.98	3023	2749	250	250
LARS2	HSAC000620	Hs.526975	0.79	0.87	0.95	784	729	253	252
TTYH3	HSAC010655	Hs.440899	-	0.87	-	801	750	258	257
CTPS	HSAC016302	Hs.473087	0.76	0.87	1	874	787	291	284
AIPL1	HSAC020288	Hs.279887	0.77	0.87	0.97	801	670	270	261
MLL2	HSAC000811	Hs.567364	0.76	0.87	1	746	665	288	271
RIOK3	HSAC009105	Hs.445511	0.77	0.87	0.98	832	769	247	244
PTMS	HSAC007992	Hs.504613	0.77	0.87	0.97	28777	26125	377	341
NP_057427.3	HSAC006363	NA	-	0.87	-	612	465	255	254
PLXNA1	HSAC019006	Hs.568402	0.77	0.87	0.99	5059	4461	292	287
NM_030771.1	HSAC019759	NA	0.76	0.87	0.99	1035	877	271	264
FNBP1L	HSAC015669	Hs.134060	-	0.87	-	1703	1510	242	237
HERC3	HSAC004308	Hs.35804	0.76	0.87	1	675	578	247	247
ZNF175	HSAC012174	Hs.119014	-	0.87	-	567	444	280	247
SIPA1L3	HSAC018704	Hs.157259	0.76	0.87	1	1375	1216	269	272
Q12914	HSAC004018	NA	0.79	0.87	0.97	916	840	314	316
ZNF136	HSAC008623	Hs.479874	0.81	0.87	0.94	818	712	279	285
NA	HSAC008820	NA	-	0.87	-	1564	1397	251	241
DNMT1	HSAC006398	Hs.202672	0.78	0.87	0.98	1324	1183	239	248
SFRS2IP	HSAC005037	Hs.210367	0.79	0.87	0.96	6011	5383	331	328
VAMP1	HSAC002864	Hs.20021	-	0.88	-	606	574	253	271
MLSTD2	HSAC020445	Hs.558315	0.78	0.88	0.98	1438	1384	259	257
VRK1	HSAC004862	Hs.422662	0.78	0.88	0.99	719	632	302	304
RLF	HSAC002253	Hs.205627	0.77	0.88	1	780	667	267	273
PBX1	HSAC014100	Hs.493096	0.79	0.88	0.97	851	856	257	260
VRK2	HSAC006973	Hs.468623	0.8	0.88	0.96	679	634	283	289
PPM1D	HSAC011096	Hs.286073	-	0.88	-	616	545	237	252
NA	HSAC013814	NA	0.77	0.88	1	1035	1048	247	257
BCAS4	HSAC005214	Hs.381178	0.78	0.88	0.99	843	725	261	248
INPPL1	HSAC006077	Hs.523875	0.8	0.88	0.97	1982	1750	266	268
TCERG1	HSAC002224	Hs.443465	-	0.88	-	1068	1005	268	267
FGFR1	HSAC000188	Hs.264887	0.78	0.88	0.99	2592	2442	244	257
CJ118	HSAC003847	NA	0.78	0.88	0.99	867	788	304	296
AGL	HSAC000240	Hs.904	0.78	0.88	0.99	1053	1044	241	241
LETM1	HSAC012234	Hs.120165	0.8	0.88	0.97	605	553	257	261
NP_055203.4	HSAC014671	NA	0.79	0.88	0.98	669	617	281	276
HBXAP	HSAC002906	Hs.420229	0.8	0.88	0.97	2219	1997	560	569
ZNF266	HSAC012098	Hs.465838	0.8	0.88	0.97	712	606	260	265
NA	HSAC001602	NA	0.79	0.88	0.99	1335	1206	265	260
GAPDH	HSAC007829	Hs.544577	0.82	0.88	0.95	49463	47581	672	610
ACTG1	HSAC002374	Hs.514581	0.81	0.88	0.96	48775	46817	681	665
TIGD1L	HSAC018346	NA	0.79	0.88	0.99	649	582	265	251
SCN8A	HSAC012490	Hs.436550	0.8	0.88	0.98	547	499	249	259
NP_079358.1	HSAC009245	NA	0.81	0.88	0.96	540	479	253	251
GALNT10	HSAC001759	Hs.558800	0.81	0.89	0.96	651	562	253	259
FAM61B	HSAC020589	NA	0.8	0.89	0.98	621	560	239	243
SLC4A4	HSAC001062	Hs.5462	0.8	0.89	0.99	722	672	258	271
PIK3C2A	HSAC016169	Hs.175343	0.79	0.89	0.99	570	537	253	252
RPS11	HSAC008618	Hs.433529	0.81	0.89	0.98	48635	47455	704	675
MYO9A	HSAC003273	Hs.546268	0.81	0.89	0.98	1333	1180	259	274
NA	HSAC015211	NA	0.8	0.89	0.98	909	815	258	260
B4GALT3	HSAC018953	Hs.321231	0.8	0.89	0.99	3207	2954	275	276
TBAK	HSAC019697	NA	0.81	0.89	0.98	43168	37734	1266	837
ADAM19	HSAC018570	Hs.483944	0.81	0.89	0.98	820	772	244	257
ACTB	HSAC021328	Hs.520640	0.83	0.89	0.95	48209	45270	637	475
DMN	HSAC001919	Hs.207106	0.83	0.89	0.97	540	500	262	273
PPP2R3A	HSAC003821	Hs.518155	-	0.89	-	549	507	262	264
NP_056318.1	HSAC002502	NA	0.81	0.89	0.99	1527	1425	261	266
CRYZL1	HSAC002681	Hs.352671	0.82	0.89	0.98	869	817	273	284
NP_006539.3	HSAC003992	NA	0.82	0.9	0.98	509	468	249	243
NA	HSAC020699	NA	0.82	0.9	0.98	573	544	248	262
NP_060639.2	HSAC015577	NA	0.83	0.9	0.97	581	542	243	243
NA	HSAC013470	NA	0.82	0.9	0.98	514	467	249	244
KATNAL2	HSAC010271	Hs.404137	-	0.9	-	592	553	256	262
PCNT	HSAC002515	Hs.474069	0.81	0.9	1	895	794	258	261
MEF2D	HSAC011738	Hs.314327	0.83	0.9	0.97	787	724	257	259
NP_689893.1	HSAC012237	NA	0.81	0.9	0.99	764	638	259	253
APAF1	HSAC006421	Hs.552567	0.82	0.9	0.98	761	756	241	245
NP_037422.2	HSAC017415	NA	0.82	0.9	0.98	669	605	273	268
CTF1	HSAC003536	Hs.483811	0.82	0.9	0.99	890	808	256	263
FAM80B	HSAC015559	Hs.504670	0.82	0.9	0.99	514	479	248	248
