Curated Gene Symbol	Gene name	Description	Mean log2 (Fold change)	p-value
	DKFZp686I15217	Homo sapiens hypothetical protein DKFZp686I15217 (DKFZp686I15217), mRNA [NM_207495]	1.446258411	0.00878
	N68297	N68297 za12g04.s1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone IMAGE:292374 3 similar to gb:M13149 HISTIDINE-RICH GLYCOPROTEIN PRECURSOR (HUMAN);, mRNA sequence [N68297]	1.446424792	0.0087
	A_24_P928830	Unknown	1.454270488	0.00477
UST	UST	Homo sapiens uronyl-2-sulfotransferase (UST), mRNA [NM_005715]	1.455157642	0.00822
CEP85L	C6orf204	C6orf204 protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q3ZCQ5] [ENST00000368491]	1.464872316	0.00622
GSTZ1	GSTZ1	Homo sapiens glutathione transferase zeta 1 (maleylacetoacetate isomerase) (GSTZ1), transcript variant 1, mRNA [NM_145870]	1.466311142	0.00472
	A_24_P752853	Unknown	1.482752042	0.00691
ZNF738	ZNF738	Homo sapiens zinc finger protein 738, mRNA (cDNA clone IMAGE:4838161), complete cds. [BC034499]	1.488917748	0.00111
SAAL1	SAAL1	Homo sapiens serum amyloid A-like 1 (SAAL1), mRNA [NM_138421]	1.491760016	0.00365
	AA702627	AA702627 zf88c04.s1 Soares_pineal_gland_N3HPG Homo sapiens cDNA clone IMAGE:384006 3, mRNA sequence [AA702627]	1.492296145	0.00601
OR2T8	OR2T8	Homo sapiens olfactory receptor, family 2, subfamily T, member 8 (OR2T8), mRNA [NM_001005522]	1.49960366	0.00862
LRRIQ3	LRRC44	Homo sapiens leucine rich repeat containing 44 (LRRC44), mRNA [NM_145258]	1.499820342	0.0024
	AA814210	ob24h02.s1 NCI_CGAP_Kid5 Homo sapiens cDNA clone IMAGE:1324659 3, mRNA sequence [AA814210]	1.505514309	0.00266
ATRNL1	ATRNL1	Homo sapiens attractin-like 1 (ATRNL1), mRNA [NM_207303]	1.512095657	0.00301
PDGFRA	PDGFRA	Homo sapiens platelet-derived growth factor receptor, alpha polypeptide (PDGFRA), mRNA [NM_006206]	1.512493002	0.00267
SLC44A5	SLC44A5	Homo sapiens solute carrier family 44, member 5 (SLC44A5), mRNA [NM_152697]	1.514743555	0.00894
TAS2R3	TAS2R3	Homo sapiens taste receptor, type 2, member 3 (TAS2R3), mRNA [NM_016943]	1.515559799	0.00579
SLC44A5	SLC44A5	Choline transporter-like protein 5 (Solute carrier family 44 member 5). [Source:Uniprot/SWISSPROT;Acc:Q8NCS7] [ENST00000370855]	1.515696185	0.00852
LRRC17	LRRC17	Homo sapiens leucine rich repeat containing 17 (LRRC17), transcript variant 2, mRNA [NM_005824]	1.528670732	0.00779
EIF2A	EIF2A	Homo sapiens eukaryotic translation initiation factor 2A, 65kDa (EIF2A), mRNA [NM_032025]	1.535071292	0.00404
	CV323908	CV323908 CM4-CN0096-131200-614-d05 CN0096 Homo sapiens cDNA, mRNA sequence [CV323908]	1.535548583	0.00327
GABRA1	GABRA1	Homo sapiens gamma-aminobutyric acid (GABA) A receptor, alpha 1 (GABRA1), mRNA [NM_000806]	1.568403204	0.00835
	AL136790	Homo sapiens mRNA; cDNA DKFZp434F1819 (from clone DKFZp434F1819). [AL136790]	1.570171099	0.00991
	ENST00000355629	Protein AD-013. [Source:Uniprot/SWISSPROT;Acc:Q9UHM2] [ENST00000355629]	1.596724998	0.00778
C12orf70	LOC341346	PREDICTED: Homo sapiens hypothetical LOC341346 (LOC341346), mRNA [XM_292021]	1.607326651	0.00208
EHF	EHF	Homo sapiens ets homologous factor (EHF), mRNA [NM_012153]	1.609619781	0.00608
KIAA1009	KIAA1009	Homo sapiens KIAA1009 (KIAA1009), mRNA [NM_014895]	1.615061548	0.00015
EPHX4	ABHD7	Homo sapiens abhydrolase domain containing 7 (ABHD7), mRNA [NM_173567]	1.637468398	0.00392
	A_24_P937062	Unknown	1.6503958	0.00456
C18orf54	C18orf54	Homo sapiens chromosome 18 open reading frame 54 (C18orf54), mRNA [NM_173529]	1.66548994	0.00698
REEP3	REEP3	Receptor expression-enhancing protein 3. [Source:Uniprot/SWISSPROT;Acc:Q6NUK4] [ENST00000298249]	1.666322191	0.00285
BBS7	BBS7	Homo sapiens Bardet-Biedl syndrome 7 (BBS7), transcript variant 2, mRNA [NM_018190]	1.666862193	0.00101
GPR82	GPR82	Homo sapiens G protein-coupled receptor 82 (GPR82), mRNA [NM_080817]	1.670347052	0.00742
ATPBD4	ATPBD4	Homo sapiens ATP binding domain 4 (ATPBD4), mRNA [NM_080650]	1.678620517	0.00658
	THC2651172	ADRHEXON pre-VI {Murine adenovirus 1} (exp=-1; wgp=0; cg=0), partial (21%) [THC2651172]	1.682873696	0.0021
	ENST00000366822	Protein C6orf123 (HGC6.2 protein). [Source:Uniprot/SWISSPROT;Acc:Q9Y6Z2] [ENST00000366822]	1.697690594	0.00588
TMC1	TMC1	Homo sapiens transmembrane channel-like 1 (TMC1), mRNA [NM_138691]	1.729103232	0.00891
PPIC	PPIC	Homo sapiens peptidylprolyl isomerase C (cyclophilin C) (PPIC), mRNA [NM_000943]	1.730256381	0.00938
SRPX	SRPX	Homo sapiens sushi-repeat-containing protein, X-linked (SRPX), mRNA [NM_006307]	1.746906312	0.00681
MFSD4	MFSD4	Homo sapiens major facilitator superfamily domain containing 4 (MFSD4), mRNA [NM_181644]	1.761431238	0.0006
C15orf52	FLJ43339	Homo sapiens FLJ43339 protein (FLJ43339), mRNA [NM_207380]	1.772835821	0.00597
SGOL1	SGOL1	Homo sapiens shugoshin-like 1 (S. pombe) (SGOL1), transcript variant A2, mRNA [NM_001012410]	1.799560054	0.00648
	A_32_P9146	Unknown	1.804555838	0.00389
	CA423858	UI-H-FE1-bed-l-01-0-UI.s1 NCI_CGAP_FE1 Homo sapiens cDNA clone UI-H-FE1-bed-l-01-0-UI 3, mRNA sequence [CA423858]	1.806826883	0.00269
APOE	APOE	Homo sapiens apolipoprotein E (APOE), mRNA [NM_000041]	1.818909692	0.00876
SLC5A9	SLC5A9	Homo sapiens solute carrier family 5 (sodium/glucose cotransporter), member 9 (SLC5A9), mRNA [NM_001011547]	1.821349998	0.00827
ZNF501	ZNF501	Homo sapiens zinc finger protein 501 (ZNF501), mRNA [NM_145044]	1.83319636	0.00716
	AF119879	Homo sapiens PRO2369 mRNA, complete cds. [AF119879]	1.852732885	0.00966
CSRP3	CSRP3	Homo sapiens cysteine and glycine-rich protein 3 (cardiac LIM protein) (CSRP3), mRNA [NM_003476]	1.855512473	0.00158
LRP11	LRP11	Homo sapiens low density lipoprotein receptor-related protein 11 (LRP11), mRNA [NM_032832]	1.862793516	0.00006
	THC2585201	Q6NZS8_BRARE (Q6NZS8) Vangl2 protein, partial (6%) [THC2585201]	1.871932246	0.00823
	BX423609	BX423609 Homo sapiens FETAL BRAIN Homo sapiens cDNA clone CS0DF034YB06 3-PRIME, mRNA sequence [BX423609]	1.916720502	0.00053
GLYATL2	GLYATL2	Homo sapiens glycine-N-acyltransferase-like 2 (GLYATL2), mRNA [NM_145016]	1.918751599	0.00446
	RP11-38O23.2	Homo sapiens PNPK6288 (LOC389852), mRNA [NM_205856]	1.948657559	0.00811
	FLJ42875	Homo sapiens FLJ42875 protein, mRNA (cDNA clone MGC:35434 IMAGE:5190167), complete cds. [BC029785]	1.961341932	0.00662
SAGE1	SAGE1	Homo sapiens sarcoma antigen 1 (SAGE1), mRNA [NM_018666]	1.970005214	0.00418
	NP_283818	GB|AF119907.1|AAF69661.1 PRO2949 [Homo sapiens] [NP283818]	2.018484041	0.00614
CHRM4	CHRM4	Homo sapiens cholinergic receptor, muscarinic 4 (CHRM4), mRNA [NM_000741]	2.032809795	0.00509
LTK	LTK	Homo sapiens leukocyte tyrosine kinase (LTK), transcript variant 1, mRNA [NM_002344]	2.048468802	0.00651
	LOC730999	PREDICTED: Homo sapiens hypothetical protein LOC730999 (LOC730999), mRNA [XM_001131389]	2.057245767	0.00128
GPR124	GPR124	Homo sapiens G protein-coupled receptor 124 (GPR124), mRNA [NM_032777]	2.059630671	0.0073
ZNF284	ZNF284	Homo sapiens mRNA; cDNA DKFZp781F1775 (from clone DKFZp781F1775). [CR936662]	2.16921322	0.00483
	LOC285944	Homo sapiens cDNA FLJ34614 fis, clone KIDNE2014268. [AK091933]	2.24812518	0.00151
	A_24_P919063	Unknown	2.272963931	0.00985
PRAME	PRAME	Homo sapiens preferentially expressed antigen in melanoma (PRAME), transcript variant 5, mRNA [NM_206956]	2.311008589	0.00507
	AL137475	Homo sapiens mRNA; cDNA DKFZp434F0723 (from clone DKFZp434F0723). [AL137475]	2.516780748	0.00151
	LOC339524	Homo sapiens hypothetical protein LOC339524, mRNA (cDNA clone IMAGE:3454279), partial cds. [BC000825]	2.59838475	0.00982
	RP13-36C9.6	Homo sapiens cancer/testis antigen CT45-5 (CT45-5), mRNA [NM_001007551]	2.608286997	0.00897
CT45A1	CT45-1	Homo sapiens cancer/testis antigen CT45-1 (CT45-1), mRNA [NM_001017417]	2.671068415	0.00708
TP63	TP73L	Homo sapiens tumor protein p73-like (TP73L), mRNA [NM_003722]	3.385938228	0.00537
	BX112397	BX112397 Soares_multiple_sclerosis_2NbHMSP Homo sapiens cDNA clone IMAGp998A21616, mRNA sequence [BX112397]	3.497948181	0.00401
