Probe set ID	Gene symbol	Entrez gene ID	Biopsy Average signal intensity	Surgical Average signal intensity	Rethio (Biopsy/Surgical)
205269_at	LCP2	3937	513.38	1257.66	2.45
1558972_s_at	THEMIS	387357	118.16	288.3	2.44
212192_at	KCTD12	115207	4186.77	10211.01	2.44
207777_s_at	SP140	11262	166.47	405.98	2.44
223809_at	RGS18	64407	177.95	433.69	2.44
202766_s_at	FBN1	2200	5290.74	12881.46	2.43
1568765_at	SERPINE1	5054	146.18	355.84	2.43
1569225_a_at	SCML4	256380	88.17	214.44	2.43
216033_s_at	FYN	2534	261.18	634.26	2.43
204749_at	NAP1L3	4675	141.44	342.44	2.42
1569701_at	PER3	8863	116.15	281.03	2.42
1552315_at	GIMAP1	170575	135.23	326.92	2.42
219191_s_at	BIN2	51411	104.32	252.14	2.42
201743_at	CD14	929	1198.74	2895.03	2.42
210972_x_at	TRA@ /// TRAC /// TRAJ17 /// TRAV20	28663 /// 28738 /// 28755 /// 6955	222.84	537.43	2.41
203603_s_at	ZEB2	9839	312.03	751.93	2.41
211654_x_at	HLA-DQB1	3119	1641.98	3952.46	2.41
1556323_at	CUGBP2	10659	122.62	294.96	2.41
235306_at	GIMAP8	155038	605.42	1455.73	2.4
1562031_at	JAK2	3717	75.47	181.19	2.4
207697_x_at	LILRB2	10288	180.81	433.65	2.4
217208_s_at	DLG1	1739	348.17	834.82	2.4
211336_x_at	LILRB1	10859	133.94	321.08	2.4
212758_s_at	ZEB1	6935	574.84	1376.69	2.39
204482_at	CLDN5	7122	465.37	1114.04	2.39
209993_at	ABCB1	5243	125.61	300.67	2.39
1554899_s_at	FCER1G	2207	113.71	272.06	2.39
202995_s_at	FBLN1	2192	317.81	760.06	2.39
207474_at	SNRK	54861	304.55	728.31	2.39
231947_at	MYCT1	80177	193.23	461.64	2.39
205859_at	LY86	9450	484.54	1157.6	2.39
243864_at	CCDC80	151887	135.64	323.83	2.39
211795_s_at	FYB	2533	1056.78	2521.11	2.39
211395_x_at	FCGR2C	9103	186.92	445.79	2.38
215236_s_at	PICALM	8301	130.06	310.16	2.38
207190_at	ZZEF1	23140	99.91	238.03	2.38
217633_at	URB1	9875	114.31	271.96	2.38
242726_at	---	---	129.87	308.63	2.38
223922_x_at	MS4A6A	64231	630.61	1495.27	2.37
1552822_at	TMX3	54495	103.56	245.04	2.37
228772_at	HNMT	3176	217.87	515.18	2.36
216542_x_at	IGHA1 /// IGHG1 /// IGHM /// IGHV3-23 /// LOC100290059 /// LOC100290293 /// LOC100292999 /// LOC100293211	100290059 /// 100290293 /// 100292999 /// 100293211 /// 28442 /// 3493 /// 3500 /// 3507	390.53	922.17	2.36
205116_at	LAMA2	3908	396.59	936.24	2.36
236244_at	HNRNPU	3192	216.25	510.4	2.36
1557352_at	SQLE	6713	630.54	1488.17	2.36
235061_at	PPM1K	152926	810.59	1911.54	2.36
227874_at	EMCN	51705	408.81	963.59	2.36
239364_at	---	---	201.55	474.64	2.35
226769_at	FIBIN	387758	663.41	1561.73	2.35
210751_s_at	RGN	9104	140.95	331.72	2.35
204007_at	FCGR3B	2215	816.66	1916.49	2.35
212188_at	KCTD12	115207	1867.57	4379.39	2.34
204112_s_at	HNMT	3176	870.32	2039.09	2.34
201150_s_at	TIMP3	7078	2380.73	5577.63	2.34
1569021_at	PIK3C2A	5286	75.61	176.97	2.34
232068_s_at	TLR4	7099	60.93	142.56	2.34
206407_s_at	CCL13	6357	217.61	508.93	2.34
1552807_a_at	SIGLEC10 /// SIGLEC12	89790 /// 89858	394.97	921.02	2.33
235735_at	---	---	220.96	514.96	2.33
240572_s_at	LOC374443	374443	245.38	571.78	2.33
1563228_x_at	SLC38A10	124565	109.03	253.94	2.33
219728_at	MYOT	9499	68.62	159.7	2.33
210765_at	CSE1L	1434	296.69	690.36	2.33
204670_x_at	HLA-DRB1 /// HLA-DRB4	3123 /// 3126	9021.18	20967.59	2.32
226906_s_at	ARHGAP9	64333	132.35	306.73	2.32
210571_s_at	CMAH	8418	83.26	192.92	2.32
203923_s_at	CYBB	1536	354.36	820.48	2.32
235504_at	GREM2	64388	65.13	150.73	2.31
211317_s_at	CFLAR	8837	204.01	471.55	2.31
220518_at	ABI3BP	25890	83.67	193.32	2.31
206481_s_at	LDB2	9079	700.8	1618.19	2.31
228194_s_at	SORCS1	114815	48.48	111.93	2.31
204787_at	VSIG4	11326	424.21	979.27	2.31
223620_at	GPR34	2857	364.26	840.68	2.31
241643_at	TLK1	9874	21.32	49.19	2.31
235385_at	---	---	172.23	396.47	2.3
230011_at	MEI1	150365	193.47	444.84	2.3
211459_at	---	---	72.95	167.54	2.3
1568840_at	DCAF13	25879	83.64	191.71	2.29
224964_s_at	GNG2	54331	1206.7	2762.95	2.29
1570042_a_at	ADAM9	8754	196.39	449.09	2.29
240573_at	LOC374443	374443	109.37	249.87	2.28
210895_s_at	CD86	942	257.33	587.06	2.28
206828_at	TXK	7294	66.16	150.75	2.28
205695_at	SDS	10993	154.32	351.52	2.28
240338_at	---	---	169.33	385.48	2.28
211220_s_at	HSF2	3298	57.59	131.04	2.28
240405_at	---	---	155.88	354.62	2.27
1553134_s_at	C9orf72	203228	51.92	118.03	2.27
203680_at	PRKAR2B	5577	523.97	1190.9	2.27
1569941_at	---	---	34.14	77.59	2.27
201235_s_at	BTG2	7832	166.98	379.42	2.27
216236_s_at	SLC2A14 /// SLC2A3	144195 /// 6515	298.87	678.88	2.27
202158_s_at	CUGBP2	10659	399.78	907.51	2.27
1552508_at	KCNE4	23704	41.37	93.87	2.27
206785_s_at	KLRC1 /// KLRC2	3821 /// 3822	307.71	697.42	2.27
211902_x_at	TRA@	6955	155.87	352.66	2.26
1557719_at	PIKFYVE	200576	136.04	307.13	2.26
224560_at	TIMP2	7077	1996.95	4503.46	2.26
237756_at	PHOSPHO2	493911	81.29	183.29	2.25
228030_at	---	---	3452.81	7783.35	2.25
244599_at	---	---	250.79	565.28	2.25
219505_at	CECR1	51816	915.18	2056.04	2.25
230543_at	USP9X	8239	155.54	349.35	2.25
232617_at	CTSS	1520	1970.6	4423.37	2.24
237379_at	PHRF1	57661	102.21	229.39	2.24
231747_at	CYSLTR1	10800	259.05	580.82	2.24
235372_at	FCRLA	84824	241.78	542.09	2.24
238257_at	MLLT10	8028	50.13	112.22	2.24
214615_at	P2RY10	27334	92.18	206.32	2.24
1569864_at	SERAC1	84947	107.14	239.79	2.24
214761_at	ZNF423	23090	411.99	921.98	2.24
240570_at	INADL	10207	134.58	300.81	2.24
212915_at	PDZRN3	23024	889.03	1985.97	2.23
232031_s_at	KIAA1632	57724	130.74	292.06	2.23
213888_s_at	TRAF3IP3	80342	597.04	1333.62	2.23
211286_x_at	CSF2RA	1438	74.01	165.22	2.23
242776_at	ZCCHC6	79670	117.66	262.29	2.23
228047_at	SNORA72	26775	198.53	441.79	2.23
202238_s_at	NNMT	4837	1121.25	2493.62	2.22
205038_at	IKZF1	10320	114.78	255.19	2.22
218162_at	OLFML3	56944	609.39	1354.18	2.22
1558199_at	FN1	2335	245.91	546.42	2.22
207001_x_at	TSC22D3	1831	87.87	195.12	2.22
213994_s_at	SPON1	10418	865.58	1921.64	2.22
204083_s_at	TPM2	7169	2338.87	5185.04	2.22
227646_at	EBF1	1879	1026.19	2273.94	2.22
214533_at	CMA1	1215	57.07	126.44	2.22
1569652_at	MLLT3	4300	327.76	726.12	2.22
202018_s_at	LTF	4057	1892.22	4181.49	2.21
231067_s_at	---	---	159.94	353.26	2.21
219947_at	CLEC4A	50856	785.11	1733.94	2.21
1554660_a_at	C1orf71	163882	109.89	242.52	2.21
1554966_a_at	FILIP1L	11259	556.16	1225.96	2.2
201617_x_at	CALD1	800	823.8	1814.61	2.2
204674_at	LRMP	4033	678.62	1494.36	2.2
203474_at	IQGAP2	10788	525.79	1157.58	2.2
230983_at	FAM129C	199786	157.72	347.17	2.2
220704_at	IKZF1	10320	86.37	190.04	2.2
205653_at	CTSG	1511	211.83	465.89	2.2
222067_x_at	HIST1H2BD	3017	1260.74	2770.88	2.2
209708_at	MOXD1	26002	832.25	1828.47	2.2
216840_s_at	LAMA2	3908	530.01	1162.43	2.19
228167_at	KLHL6	89857	462.56	1014	2.19
203561_at	FCGR2A	2212	650.04	1422.81	2.19
215058_at	DENND5B	160518	57.63	125.94	2.19
1558996_at	FOXP1	27086	187.54	409.71	2.18
211824_x_at	NLRP1	22861	121.22	264.64	2.18
209583_s_at	CD200	4345	435.68	950.82	2.18
202878_s_at	CD93	22918	2561.47	5584.13	2.18
226436_at	RASSF4	83937	573.17	1246.88	2.18
243495_s_at	---	---	1045.82	2274.48	2.17
240528_s_at	EXOC4	60412	169.29	367.77	2.17
242277_at	---	---	943.81	2049.48	2.17
206117_at	TPM1	7168	181.28	393.59	2.17
201785_at	RNASE1	6035	824.21	1785.63	2.17
208442_s_at	ATM	472	263.92	571.76	2.17
229218_at	COL1A2	1278	3710.67	8028.75	2.16
209324_s_at	RGS16	6004	191.04	413.14	2.16
226878_at	HLA-DOA	3111	437.42	944.98	2.16
232461_at	AHI1	54806	84.9	183.21	2.16
35974_at	LRMP	4033	418.09	901.95	2.16
230389_at	FNBP1	23048	1823.01	3928.37	2.15
209243_s_at	PEG3 /// ZIM2	23619 /// 5178	44.27	95.24	2.15
226244_at	CLEC14A	161198	189.17	406.98	2.15
232687_at	---	---	307.41	661.08	2.15
202499_s_at	SLC2A3	6515	1214.91	2610.28	2.15
207691_x_at	ENTPD1	953	392.39	842.15	2.15
242943_at	ST8SIA4	7903	151.76	325.68	2.15
238478_at	BNC2	54796	349.63	749.58	2.14
204072_s_at	FRY	10129	622.29	1332.6	2.14
224833_at	ETS1	2113	5956.26	12753.47	2.14
203029_s_at	PTPRN2	5799	201.67	431.23	2.14
208146_s_at	CPVL	54504	1448.13	3089.73	2.13
213095_x_at	AIF1	199	443.81	945.86	2.13
206701_x_at	EDNRB	1910	122.78	261.51	2.13
225798_at	JAZF1	221895	703.48	1496.91	2.13
222934_s_at	CLEC4E	26253	126.89	269.89	2.13
209474_s_at	ENTPD1	953	235.74	500.12	2.12
211466_at	NFIB	4781	82.62	175	2.12
229487_at	EBF1	1879	347.13	734.73	2.12
234801_s_at	ACSS1	84532	156.61	331.2	2.11
205885_s_at	ITGA4	3676	69.59	147.01	2.11
230645_at	FRMD3	257019	137.42	289.91	2.11
210365_at	RUNX1	861	220.54	464.87	2.11
232762_at	KIAA1217	56243	659.36	1388.39	2.11
232599_at	EXOC6	54536	46.77	98.37	2.1
220399_at	NCRNA00115	79854	289.89	609.34	2.1
240757_at	CLASP1	23332	228.6	479.94	2.1
221760_at	MAN1A1	4121	2687.75	5637.25	2.1
210387_at	HIST1H2BG	8339	732.28	1535.26	2.1
202887_s_at	DDIT4	54541	8775.89	18398.51	2.1
223502_s_at	TNFSF13B	10673	1189.29	2491.69	2.1
242388_x_at	---	---	143.59	300.58	2.09
230516_at	C7orf30	115416	425.18	889.71	2.09
226039_at	MGAT4A	11320	1115.09	2325.81	2.09
230276_at	FAM49A	81553	266.72	556.28	2.09
238611_at	---	---	669.15	1394.79	2.08
216248_s_at	NR4A2	4929	885.75	1845.67	2.08
203470_s_at	PLEK	5341	382.73	797.43	2.08
215199_at	CALD1	800	215.38	448.66	2.08
1552480_s_at	PTPRC	5788	30.96	64.41	2.08
235040_at	RUNDC1	146923	94	195.54	2.08
214701_s_at	FN1	2335	146.16	303.8	2.08
209182_s_at	C10orf10	11067	122.39	254.33	2.08
202497_x_at	SLC2A3	6515	625.75	1298.56	2.08
227266_s_at	FYB	2533	964.53	1996.24	2.07
244029_at	LOC100131043	100131043	269.17	556.89	2.07
202833_s_at	SERPINA1	5265	277.14	572.81	2.07
221541_at	CRISPLD2	83716	2647.69	5469.98	2.07
232864_s_at	AFF4	27125	127.92	264.23	2.07
220146_at	TLR7	51284	184.18	380.3	2.06
211095_at	NF1	4763	113.11	233.48	2.06
1565898_at	METT5D1	196074	67.19	138.67	2.06
219747_at	C4orf31	79625	202.33	417.23	2.06
1555411_a_at	CCNL1	57018	1989.26	4101.03	2.06
1553861_at	TCP11L2	255394	88.71	182.79	2.06
211557_x_at	SLCO2B1	11309	64.33	132.53	2.06
210222_s_at	RTN1	6252	120.92	248.98	2.06
201279_s_at	DAB2	1601	380.95	783.56	2.06
202450_s_at	CTSK	1513	5921.43	12166.35	2.05
203914_x_at	HPGD	3248	818.79	1682.2	2.05
222846_at	RAB8B	51762	199.56	408.98	2.05
207075_at	NLRP3	114548	150.24	307.88	2.05
227297_at	ITGA9	3680	552.21	1130.33	2.05
238429_at	TMEM71	137835	366.31	749.39	2.05
1554493_s_at	THADA	63892	123.26	251.53	2.04
203167_at	TIMP2	7077	460.08	938.39	2.04
219179_at	DACT1	51339	337.53	688.27	2.04
1556420_s_at	YPEL2	388403	230.44	468.92	2.03
207067_s_at	HDC	3067	217.16	441.73	2.03
204446_s_at	ALOX5	240	1280.64	2603.2	2.03
222528_s_at	SLC25A37	51312	168.77	342.93	2.03
1563229_at	DLEU2	8847	107.11	217.54	2.03
210439_at	ICOS	29851	353.71	718.11	2.03
205668_at	LY75	4065	1161.79	2358.64	2.03
228426_at	CLEC2D	29121	59.24	120.16	2.03
1555397_at	MYO1D	4642	67.47	136.83	2.03
227817_at	PRKCB	5579	175.71	355.91	2.03
203854_at	CFI	3426	1092.01	2211.19	2.02
201110_s_at	THBS1	7057	2117.33	4283.37	2.02
226814_at	ADAMTS9	56999	366.16	739.67	2.02
220416_at	ATP8B4	79895	96.19	194.27	2.02
229723_at	TAGAP	117289	564.46	1136.42	2.01
232898_at	DAB2	1601	137.12	275.45	2.01
242280_x_at	CPEB4	80315	417.92	838.75	2.01
224166_at	SLC25A2	83884	79.42	159.23	2
