Probe set	Gene symbol	Gene description	Average signal Dex	Vehicle	Expression change Ratio	P-value
1434211_at	Sh3bgrl2	SH3 domain binding glutamic acid-rich protein like 2	88	157	-1.8	0.0047
1456681_at	Ptchd1	patched domain containing 1	401	718	-1.8	0.0271
1455500_at	LOC672513 /// Rnf213	ring finger protein 213 /// similar to chromosome 17 open reading frame 27	1283	2297	-1.8	0.0471
1433608_at	Scfd2	sec1 family domain containing 2	22	40	-1.8	0.0189
1428725_at	Pias2	protein inhibitor of activated STAT 2	183	326	-1.8	0.0250
1457357_at	Tlk2	tousled-like kinase 2 (Arabidopsis)	25	44	-1.8	0.0470
1422771_at	LOC670044	similar to Mothers against decapentaplegic homolog 6 (SMAD 6) (Mothers against DPP homolog 6) (Smad6) (Mad homolog 7)	306	546	-1.8	0.0381
1417371_at	Peli1	pellino 1	238	425	-1.8	0.0201
1428231_at	Cpsf6	cleavage and polyadenylation specific factor 6	740	1317	-1.8	0.0132
1422549_at	Arl2	ADP-ribosylation factor-like 2	181	321	-1.8	0.0457
1416122_at	Ccnd2	cyclin D2	842	1498	-1.8	0.0138
1423584_at	Igfbp7	insulin-like growth factor binding protein 7	1663	2957	-1.8	0.0149
1435597_at	Atad5	ATPase family, AAA domain containing 5	266	473	-1.8	0.0295
1416377_at	Pdcd7	programmed cell death protein 7	182	323	-1.8	0.0347
1416805_at	1110032E23Rik	RIKEN cDNA 1110032E23 gene	2230	3954	-1.8	0.0412
1460303_at	Nr3c1	nuclear receptor subfamily 3, group C, member 1	1069	1894	-1.8	0.0158
1415973_at	Marcks	myristoylated alanine rich protein kinase C substrate	2040	3615	-1.8	0.0076
1460633_at	Prpf19	PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae)	206	364	-1.8	0.0305
1416845_at	Tmem132a	transmembrane protein 132A	45	79	-1.8	0.0336
1438345_at			10	17	-1.8	0.0027
1424008_a_at	Rbpms2	RNA binding protein with multiple splicing 2	354	625	-1.8	0.0295
1453257_at	Agpat5	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)	753	1331	-1.8	0.0110
1435880_at	Ankrd50	ankrin repeat domain 50	2331	4111	-1.8	0.0422
1448402_at	Tln1	talin 1	2144	3780	-1.8	0.0392
1419652_s_at	2610200G18Rik	RIKEN cDNA 2610200G18 gene	18	31	-1.8	0.0472
1452954_at	Ube2c	ubiquitin-conjugating enzyme E2C	2214	3898	-1.8	0.0298
1452306_at	Zfyve26	zinc finger, FYVE domain containing 26	229	401	-1.8	0.0320
1451253_at	Pxk	PX domain containing serine/threonine kinase	266	466	-1.8	0.0402
1428509_at	Myo1e	myosin IE	504	882	-1.8	0.0434
1419255_at	Spnb2	spectrin beta 2	242	423	-1.7	0.0251
1431892_a_at	Plcd3	phospholipase C, delta 3	153	267	-1.7	0.0141
1455238_at	Mum1l1	melanoma associated antigen (mutated) 1-like 1	953	1664	-1.7	0.0149
1434334_at	Prkd2	protein kinase D2	273	477	-1.7	0.0335
1416216_at	Reps1	RalBP1 associated Eps domain containing protein	224	390	-1.7	0.0159
1421164_a_at	Arhgef1	Rho guanine nucleotide exchange factor (GEF) 1	262	457	-1.7	0.0179
1435260_at			115	201	-1.7	0.0252
1450622_at	Bcar1	breast cancer anti-estrogen resistance 1	190	330	-1.7	0.0427
1455356_at	Camsap1	calmodulin regulated spectrin-associated protein 1	392	681	-1.7	0.0413
1420028_s_at	LOC671904 /// Mcm3	minichromosome maintenance deficient 3 (S. cerevisiae) /// similar to DNA replication licensing factor MCM3 (DNA polymerase alpha holoenzyme-associated protein P1) (P1-MCM3)	3378	5859	-1.7	0.0360
1417209_at	Sertad2	SERTA domain containing 2	340	590	-1.7	0.0491
1423350_at	Socs5	suppressor of cytokine signaling 5	2724	4715	-1.7	0.0170
1448851_a_at	Dnajc5	DnaJ (Hsp40) homolog, subfamily C, member 5	137	238	-1.7	0.0095
1424748_at	Galnt11	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 11	346	599	-1.7	0.0279
1424594_at	Lgals7	lectin, galactose binding, soluble 7	983	1698	-1.7	0.0340
1417065_at	Egr1	early growth response 1	132	227	-1.7	0.0134
1433640_at	Fubp1	Far upstream element (FUSE) binding protein 1	612	1057	-1.7	0.0298
1460121_at	9630010G10Rik	RIKEN cDNA 9630010G10 gene	310	534	-1.7	0.0187
1434924_at	Phf2	PHD finger protein 2	205	354	-1.7	0.0031
1418098_at	Adcy4	adenylate cyclase 4	1311	2259	-1.7	0.0084
1418571_at	Tnfrsf12a	tumor necrosis factor receptor superfamily, member 12a	2261	3892	-1.7	0.0134
1438008_at	Gga3	golgi associated, gamma adaptin ear containing, ARF binding protein 3	116	200	-1.7	0.0340
1434737_at	Obfc1	oligonucleotide/oligosaccharide-binding fold containing 1	116	199	-1.7	0.0089
1419203_at	Gtlf3a	gene trap locus F3a	91	157	-1.7	0.0065
1454086_a_at	Lmo2	LIM domain only 2	715	1225	-1.7	0.0298
1435484_at	BF642829	expressed sequence BF642829	2750	4712	-1.7	0.0041
1452178_at	LOC671535 /// Plec1	plectin 1 /// similar to poly (ADP-ribose) polymerase family, member 10	126	216	-1.7	0.0335
1455333_at	Tns3	tensin 3	3420	5851	-1.7	0.0065
1435434_at	Braf	Braf transforming gene	128	219	-1.7	0.0323
1455733_at	Taok3	TAO kinase 3	211	361	-1.7	0.0225
1420979_at	Pak1	p21 (CDKN1A)-activated kinase 1	100	171	-1.7	0.0303
1437632_at	Crsp2	cofactor required for Sp1 transcriptional activation, subunit 2	920	1571	-1.7	0.0138
1452058_a_at	Rnf11	ring finger protein 11	1162	1984	-1.7	0.0095
1451803_a_at	Vegfb	vascular endothelial growth factor B	272	463	-1.7	0.0366
1426825_at	Fmnl3	formin-like 3	242	413	-1.7	0.0387
1435461_at	Magi3	membrane associated guanylate kinase, WW and PDZ domain containing 3	598	1019	-1.7	0.0284
1433595_at			317	539	-1.7	0.0145
1439972_at	Etnk1	ethanolamine kinase 1	28	48	-1.7	0.0306
1417540_at	Elf1	E74-like factor 1	595	1012	-1.7	0.0142
1415869_a_at	Trim28	tripartite motif protein 28	1872	3181	-1.7	0.0297
1451069_at	Pim3	proviral integration site 3	36	60	-1.7	0.0115
1454664_a_at	Eif5	eukaryotic translation initiation factor 5	2828	4801	-1.7	0.0438
1434805_at	Mllt1	myeloid/lymphoid or mixed lineage-leukemia translocation to 1 homolog (Drosophila)	188	319	-1.7	0.0199
1428694_at	5033413D16Rik	RIKEN cDNA 5033413D16 gene	66	111	-1.7	0.0427
1458440_at	Specc1	sperm antigen with calponin homology and coiled-coil domains 1	431	728	-1.7	0.0365
1416953_at	Ctgf	connective tissue growth factor	11259	19014	-1.7	0.0173
1448430_a_at	EG628277 /// LOC633817 /// LOC669373 /// Naca	nascent polypeptide-associated complex alpha polypeptide /// predicted gene, EG628277 /// similar to nascent polypeptide-associated complex alpha polypeptide	10798	18226	-1.7	0.0384
1448558_a_at	Pla2g4a	phospholipase A2, group IVA (cytosolic, calcium-dependent)	3542	5978	-1.7	0.0136
1417419_at	Ccnd1	cyclin D1	9064	15272	-1.7	0.0282
1438400_at	4632411B12Rik	RIKEN cDNA 4632411B12 gene	415	698	-1.7	0.0305
1423577_at	Ankrd32	ankyrin repeat domain 32	62	105	-1.7	0.0159
1436897_at	Mfhas1	malignant fibrous histiocytoma amplified sequence 1	76	128	-1.7	0.0063
1437041_at	5730406M06Rik	RIKEN cDNA 5730406M06 gene	195	327	-1.7	0.0341
1434337_at		Transcribed locus	125	210	-1.7	0.0320
1417189_at	Psme2	proteasome (prosome, macropain) 28 subunit, beta	662	1107	-1.7	0.0422
1423809_at	Tcf19	transcription factor 19	1278	2136	-1.7	0.0219
1425972_a_at	Zfx	zinc finger protein X-linked	673	1124	-1.7	0.0276
1433623_at	Zfp367	zinc finger protein 367	1401	2337	-1.7	0.0089
1452828_at	Fbxo21	F-box protein 21	565	940	-1.7	0.0208
1446835_at	Tulp4	Tubby like protein 4	445	742	-1.7	0.0221
1428452_at			880	1465	-1.7	0.0152
1427310_at	Bptf	bromodomain PHD finger transcription factor	1037	1726	-1.7	0.0285
1434393_at	Usp34	ubiquitin specific peptidase 34	393	653	-1.7	0.0400
1424175_at	Tef	thyrotroph embryonic factor	152	252	-1.7	0.0460
1451293_at	Rrp9	RRP9, small subunit (SSU) processome component, homolog (yeast)	262	435	-1.7	0.0212
1426389_at	Camk1d	calcium/calmodulin-dependent protein kinase ID	58	96	-1.7	0.0236
1427228_at	Palld	palladin, cytoskeletal associated protein	2252	3737	-1.7	0.0302
1452612_at	Zfp294	zinc finger protein 294	504	836	-1.7	0.0244
1418936_at	Maff	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein F (avian)	581	962	-1.7	0.0487
1417324_at	Mast2	microtubule associated serine/threonine kinase 2	321	531	-1.7	0.0099
1454776_at	Ehmt1	euchromatic histone methyltransferase 1	349	577	-1.7	0.0447
1434037_s_at	Pcaf	p300/CBP-associated factor	953	1574	-1.7	0.0121
1418516_at	Mtf2	metal response element binding transcription factor 2	1195	1972	-1.7	0.0448
1422866_at	Col13a1	procollagen, type XIII, alpha 1	3132	5158	-1.6	0.0448
1438049_at	A430108E01Rik	RIKEN cDNA A430108E01 gene	625	1028	-1.6	0.0186
1426524_at	Gnpda2	glucosamine-6-phosphate deaminase 2	1098	1805	-1.6	0.0078
1426900_at	Jmjd1c	jumonji domain containing 1C	967	1589	-1.6	0.0298
1418293_at	Ifit2	interferon-induced protein with tetratricopeptide repeats 2	1035	1696	-1.6	0.0271
1430435_at	Aff3	AF4/FMR2 family, member 3	133	217	-1.6	0.0285
1429499_at	Fbxo5	F-box protein 5	2220	3633	-1.6	0.0328
1455084_x_at	Shmt2	serine hydroxymethyltransferase 2 (mitochondrial)	2063	3375	-1.6	0.0129
1447910_x_at	Selk	selenoprotein K	40	66	-1.6	0.0273
1417547_at	Sart3	squamous cell carcinoma antigen recognized by T-cells 3	270	440	-1.6	0.0197
1437878_s_at	Ttc14	tetratricopeptide repeat domain 14	235	384	-1.6	0.0310
1438844_x_at	Spata5	spermatogenesis associated 5	160	260	-1.6	0.0118
1428230_at	Prkcn	protein kinase C, nu	1239	2018	-1.6	0.0251
1418440_at	Col8a1	procollagen, type VIII, alpha 1	2538	4132	-1.6	0.0387
1419536_a_at	Rela	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	1076	1751	-1.6	0.0494
1429017_at	Smcr8	Smith-Magenis syndrome chromosome region, candidate 8 homolog (human)	271	440	-1.6	0.0090
1433862_at	Espl1	extra spindle poles-like 1 (S. cerevisiae)	424	689	-1.6	0.0254
1433736_at	Hcfc1	host cell factor C1	539	874	-1.6	0.0278
1428213_at	Nsmce4a	non-SMC element 4 homolog A (S. cerevisiae)	890	1441	-1.6	0.0195
1419126_at	Hoxd9	homeo box D9	476	771	-1.6	0.0376
1416591_at	Rab34	RAB34, member of RAS oncogene family	505	818	-1.6	0.0297
1428500_at	2210419D22Rik	RIKEN cDNA 2210419D22 gene	348	562	-1.6	0.0061
1438246_at	Csnk1g1	casein kinase 1, gamma 1	114	184	-1.6	0.0256
1421844_at	Il1rap	interleukin 1 receptor accessory protein	624	1006	-1.6	0.0475
1450044_at	Fzd7	frizzled homolog 7 (Drosophila)	318	511	-1.6	0.0242
1435847_at	Cdc42bpa	Cdc42 binding protein kinase alpha	206	329	-1.6	0.0310
1433485_x_at	Gpr56	G protein-coupled receptor 56	585	937	-1.6	0.0419
1457908_at	Zfp407	Zinc finger protein 407	41	65	-1.6	0.0297
1433755_at	Mier1	mesoderm induction early response 1 homolog (Xenopus laevis	397	633	-1.6	0.0285
1450051_at	Atrx	alpha thalassemia/mental retardation syndrome X-linked homolog (human)	458	727	-1.6	0.0475
1427959_at	Abhd10	abhydrolase domain containing 10	327	519	-1.6	0.0171
1452858_at	Elavl1	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)	27	43	-1.6	0.0276
1452220_at	Dock1	dedicator of cyto-kinesis 1	936	1479	-1.6	0.0311
1429660_s_at	Smc2	structural maintenance of chromosomes 2	1153	1821	-1.6	0.0309
1419428_a_at	Gaa	glucosidase, alpha, acid	131	207	-1.6	0.0420
1439840_at	Polb	polymerase (DNA directed), beta	8	13	-1.6	0.0135
1428411_at	1700020I14Rik	RIKEN cDNA 1700020I14 gene	1059	1670	-1.6	0.0099
1448529_at	Thbd	thrombomodulin	7877	12422	-1.6	0.0069
1452310_at	Tada2l	transcriptional adaptor 2 (ADA2 homolog, yeast)-like	253	399	-1.6	0.0224
1449227_at	Ch25h	cholesterol 25-hydroxylase	3066	4830	-1.6	0.0280
1424991_s_at	Tyms /// Tyms-ps	thymidylate synthase /// thymidylate synthase, pseudogene	1532	2409	-1.6	0.0420
1434620_s_at	2610024E20Rik	RIKEN cDNA 2610024E20 gene	2520	3947	-1.6	0.0160
1429491_s_at	LOC671598 /// Rif1	Rap1 interacting factor 1 homolog (yeast) /// similar to Telomere-associated protein RIF1 (Rap1-interacting factor 1 homolog) (mRif1)	965	1509	-1.6	0.0460
1451567_a_at	Ifi203	interferon activated gene 203	1424	2228	-1.6	0.0309
1433702_at	D19Wsu12e	DNA segment, Chr 19, Wayne State University 12, expressed	861	1347	-1.6	0.0470
1433641_at	Smad5	MAD homolog 5 (Drosophila)	333	520	-1.6	0.0091
1439496_at	4921524J06Rik	RIKEN cDNA 4921524J06 gene	946	1479	-1.6	0.0476
1429503_at	2900024C23Rik	RIKEN cDNA 2900024C23 gene	797	1246	-1.6	0.0069
1434210_s_at	Lrig1	leucine-rich repeats and immunoglobulin-like domains 1	824	1288	-1.6	0.0102
1436367_at	Ptprb	Protein tyrosine phosphatase, receptor type, B	1843	2879	-1.6	0.0206
1441005_at	2610304G08Rik	RIKEN cDNA 2610304G08 gene	8	12	-1.6	0.0158
1460227_at	Timp1	tissue inhibitor of metalloproteinase 1	1878	2930	-1.6	0.0283
1436174_at	Atad2	ATPase family, AAA domain containing 2	1791	2788	-1.6	0.0064
1415986_at	Clcn4-2	chloride channel 4-2	431	672	-1.6	0.0314
1460444_at	Arrb1	arrestin, beta 1	667	1038	-1.6	0.0170
1453270_a_at	Phf14	PHD finger protein 14	180	280	-1.6	0.0298
1435225_s_at	Brpf3	bromodomain and PHD finger containing, 3	13	20	-1.6	0.0069
1452885_at	Sfrs2ip	splicing factor, arginine/serine-rich 2, interacting protein	500	778	-1.6	0.0446
1434385_at	Tom1l2	target of myb1-like 2 (chicken)	418	648	-1.6	0.0481
1418347_at	Ccdc22	coiled-coil domain containing 22	534	828	-1.6	0.0303
1416532_at	Trrap	transformation/transcription domain-associated protein	255	396	-1.6	0.0375
1438320_s_at	Mcm7	minichromosome maintenance deficient 7 (S. cerevisiae)	6219	9638	-1.5	0.0075
1426949_s_at	Tpr	translocated promoter region	2843	4405	-1.5	0.0095
1424686_at	2700008B19Rik	RIKEN cDNA 2700008B19 gene	220	341	-1.5	0.0429
1417904_at	Dclre1a	DNA cross-link repair 1A, PSO2 homolog (S. cerevisiae)	141	217	-1.5	0.0434
1424033_at	Sfrs7	splicing factor, arginine/serine-rich 7	1691	2598	-1.5	0.0303
1427978_at	4732418C07Rik	RIKEN cDNA 4732418C07 gene	248	380	-1.5	0.0063
1434802_s_at	Ntf3	neurotrophin 3	324	496	-1.5	0.0177
1417519_at	Plagl2	pleiomorphic adenoma gene-like 2	45	69	-1.5	0.0193
1450642_at	3110001I20Rik	RIKEN cDNA 3110001I20 gene	4246	6504	-1.5	0.0421
1426983_at	Fnbp1	formin binding protein 1	332	508	-1.5	0.0342
1422731_at	Limd1	LIM domains containing 1	478	730	-1.5	0.0324
1425265_a_at	Prnpip1	prion protein interacting protein 1	103	157	-1.5	0.0404
1451977_at	Dyrk1a	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1a	159	242	-1.5	0.0248
1451462_a_at	Ifnar2	interferon (alpha and beta) receptor 2	1063	1621	-1.5	0.0223
1435338_at	Cdk6	cyclin-dependent kinase 6	3812	5810	-1.5	0.0149
1448721_at	D1Ertd622e	DNA segment, Chr 1, ERATO Doi 622, expressed	1422	2167	-1.5	0.0411
1417295_at	Mta1	metastasis associated 1	312	475	-1.5	0.0394
1417056_at	Psme1	proteasome (prosome, macropain) 28 subunit, alpha	793	1208	-1.5	0.0409
1429478_at	6720463M24Rik	RIKEN cDNA 6720463M24 gene	130	198	-1.5	0.0227
1440282_at	2210038L17Rik /// Tulp4	tubby like protein 4 /// RIKEN cDNA 2210038L17 gene	1558	2370	-1.5	0.0304
1429564_at	Pcgf5	polycomb group ring finger 5	843	1282	-1.5	0.0240
1454952_s_at	Ncapd3	non-SMC condensin II complex, subunit D3	1309	1989	-1.5	0.0298
1448907_at	Thop1	thimet oligopeptidase 1	257	390	-1.5	0.0113
1425072_at	Skp2	S-phase kinase-associated protein 2 (p45)	30	46	-1.5	0.0414
1436303_at	Mllt4	myeloid/lymphoid or mixed lineage-leukemia translocation to 4 homolog (Drosophila)	1827	2769	-1.5	0.0115
1417409_at	Jun	Jun oncogene	1966	2980	-1.5	0.0144
1460326_at	Pik3ca	phosphatidylinositol 3-kinase, catalytic, alpha polypeptide	107	163	-1.5	0.0115
1436585_at	BB182297	expressed sequence BB182297	141	214	-1.5	0.0193
1426060_at			78	118	-1.5	0.0063
1416036_at	Fkbp1a	FK506 binding protein 1a	5338	8070	-1.5	0.0448
1456505_at	Braf	Braf transforming gene	55	84	-1.5	0.0082
1456523_at	C77713	expressed sequence C77713	313	472	-1.5	0.0010
1438761_a_at	EG666231 /// EG668343 /// LOC670279 /// LOC671973 /// LOC673302 /// Odc1	ornithine decarboxylase, structural 1 /// predicted gene, EG666231 /// predicted gene, EG668343 /// similar to Ornithine decarboxylase (ODC) /// hypothetical protein LOC671973	9081	13702	-1.5	0.0298
1454705_at	D15Ertd621e	DNA segment, Chr 15, ERATO Doi 621, expressed	1635	2466	-1.5	0.0393
1416830_at	0610031J06Rik	RIKEN cDNA 0610031J06 gene	1084	1636	-1.5	0.0499
1418024_at	Narg1	NMDA receptor-regulated gene 1	867	1308	-1.5	0.0280
1430535_at	Tsc22d2	TSC22 domain family 2	2124	3201	-1.5	0.0035
1432827_x_at	Ubc	ubiquitin C	6762	10186	-1.5	0.0116
1436308_at	Zfp292	zinc finger protein 292	170	256	-1.5	0.0438
1428869_at	Nolc1	nucleolar and coiled-body phosphoprotein 1	2659	4002	-1.5	0.0051
1416492_at	Ccne1	cyclin E1	226	340	-1.5	0.0206
1429028_at	Dock11	dedicator of cytokinesis 11	1346	2025	-1.5	0.0434
1435769_at	Akap9	A kinase (PRKA) anchor protein (yotiao) 9	325	488	-1.5	0.0171
1428260_at	Spg3a	spastic paraplegia 3A homolog (human)	143	215	-1.5	0.0415
1454006_a_at	Ubxd6	UBX domain containing 6	83	124	-1.5	0.0110
1433614_at	Snx27	sorting nexin family member 27	194	291	-1.5	0.0476
1435006_s_at	Abcb7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	665	997	-1.5	0.0285
1426269_at	Sybl1	synaptobrevin like 1	1082	1620	-1.5	0.0140
1460682_s_at	Ceacam1 /// Ceacam2	CEA-related cell adhesion molecule 1 /// CEA-related cell adhesion molecule 2	639	956	-1.5	0.0178
1426852_x_at	Nov	nephroblastoma overexpressed gene	520	775	-1.5	0.0211
1452919_a_at	1700012G19Rik	RIKEN cDNA 1700012G19 gene	1259	1873	-1.5	0.0439
1429004_at	Phip	pleckstrin homology domain interacting protein	740	1102	-1.5	0.0043
1433455_at	Sh2b3	SH2B adaptor protein 3	1111	1652	-1.5	0.0098
1435777_at	E030018N11Rik	RIKEN cDNA E030018N11 gene	5624	8346	-1.5	0.0200
1460180_at	Hexb	hexosaminidase B	648	961	-1.5	0.0409
1460210_at	Pkd1	polycystic kidney disease 1 homolog	217	322	-1.5	0.0224
1422547_at	Ranbp1	RAN binding protein 1	6177	9136	-1.5	0.0207
1417622_at	Slc12a2	solute carrier family 12, member 2	8113	12000	-1.5	0.0278
1434570_at	AK122525	cDNA sequence AK122525	352	521	-1.5	0.0203
1424141_at	Hectd1	HECT domain containing 1	2042	3015	-1.5	0.0121
1436036_at	Whsc1	Wolf-Hirschhorn syndrome candidate 1 (human)	265	391	-1.5	0.0182
1444111_at			8	11	-1.5	0.0254
1444065_at	Cyb5d2	Cytochrome b5 domain containing 2	19	27	-1.5	0.0118
1418843_at	Slc30a4	solute carrier family 30 (zinc transporter), member 4	4176	6136	-1.5	0.0200
1452681_at	Dtymk	deoxythymidylate kinase	461	678	-1.5	0.0266
1433893_s_at	Spag5	sperm associated antigen 5	239	350	-1.5	0.0468
1441272_at			94	137	-1.5	0.0414
1456477_at	Ccnt1	cyclin T1	180	263	-1.5	0.0176
1436181_at	Ddef2	development and differentiation enhancing factor 2	379	554	-1.5	0.0186
1449934_at	Pura	purine rich element binding protein A	687	1002	-1.5	0.0089
1454919_at	AU044698	Expressed sequence AU044698	1856	2706	-1.5	0.0467
1416816_at	Nek7	NIMA (never in mitosis gene a)-related expressed kinase 7	8312	12101	-1.5	0.0246
1452659_at	Dek	DEK oncogene (DNA binding)	8412	12229	-1.5	0.0095
1423656_x_at	1500010J02Rik	RIKEN cDNA 1500010J02 gene	238	345	-1.5	0.0260
1421923_at	Sh3bp5	SH3-domain binding protein 5 (BTK-associated)	6603	9585	-1.5	0.0309
1451221_at	BC018507	cDNA sequence BC018507	459	665	-1.4	0.0478
1460436_at	Ndst1	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1	2109	3054	-1.4	0.0291
1434506_at	Arid2	AT rich interactive domain 2 (Arid-rfx like)	25	37	-1.4	0.0276
1455686_at			231	334	-1.4	0.0345
1417446_at	Slc12a4	solute carrier family 12, member 4	492	710	-1.4	0.0318
1449702_at	Zfand2a	zinc finger, AN1-type domain 2A	1392	2006	-1.4	0.0171
1429057_at	Narg1l	NMDA receptor regulated 1-like	515	741	-1.4	0.0251
1434791_at	Atp6v0a2	ATPase, H+ transporting, lysosomal V0 subunit A2	508	731	-1.4	0.0034
1417179_at	Tspan5	tetraspanin 5	929	1336	-1.4	0.0103
1429085_at	Vezf1	vascular endothelial zinc finger 1	1435	2064	-1.4	0.0493
1454698_at	Ptplad1	protein tyrosine phosphatase-like A domain containing 1	442	636	-1.4	0.0404
1454652_at	Zranb2	zinc finger, RAN-binding domain containing 2	1993	2863	-1.4	0.0306
1423249_at	Nktr	natural killer tumor recognition sequence	167	239	-1.4	0.0311
1424778_at	Reep3	receptor accessory protein 3	308	440	-1.4	0.0493
1427953_at	BC025462	cDNA sequence BC025462	86	122	-1.4	0.0213
1439787_at	P2rx7	purinergic receptor P2X, ligand-gated ion channel, 7	9	13	-1.4	0.0345
1416768_at	1110003E01Rik	RIKEN cDNA 1110003E01 gene	1804	2569	-1.4	0.0155
1428243_at	1700021K19Rik	RIKEN cDNA 1700021K19 gene	119	169	-1.4	0.0284
1426754_x_at	Ckap4	cytoskeleton-associated protein 4	582	825	-1.4	0.0409
1423622_a_at	Ccnl1	cyclin L1	612	867	-1.4	0.0154
1429618_at	Cyld	cylindromatosis (turban tumor syndrome)	2340	3303	-1.4	0.0110
1418562_at	Sf3b1	splicing factor 3b, subunit 1	1495	2106	-1.4	0.0192
1417800_at	Parp2	poly (ADP-ribose) polymerase family, member 2	384	540	-1.4	0.0395
1429883_at	Actl6a	actin-like 6A	192	271	-1.4	0.0413
1426364_at	Mrrf	mitochondrial ribosome recycling factor	561	788	-1.4	0.0232
1426454_at	Arhgdib	Rho, GDP dissociation inhibitor (GDI) beta	1963	2759	-1.4	0.0298
1454648_s_at	D10Wsu102e	DNA segment, Chr 10, Wayne State University 102, expressed	449	629	-1.4	0.0463
1455768_at	Npc2	Niemann Pick type C2	300	421	-1.4	0.0280
1418012_at	Sh3glb1	SH3-domain GRB2-like B1 (endophilin)	661	927	-1.4	0.0278
1427878_at	0610010O12Rik	RIKEN cDNA 0610010O12 gene	68	95	-1.4	0.0421
1418501_a_at	Oxr1	oxidation resistance 1	3491	4889	-1.4	0.0168
1423389_at	Smad7	MAD homolog 7 (Drosophila)	531	743	-1.4	0.0460
1434646_s_at	Sap18	Sin3-associated polypeptide 18	8797	12312	-1.4	0.0277
1426739_at	Donson	downstream neighbor of SON	113	157	-1.4	0.0274
1416254_a_at	Vps16	vacuolar protein sorting 16 (yeast)	274	383	-1.4	0.0473
1454927_at	Zfp41	zinc finger protein 41	71	99	-1.4	0.0376
1452032_at	Prkar1a	protein kinase, cAMP dependent regulatory, type I, alpha	7297	10179	-1.4	0.0137
1449933_a_at	5730449L18Rik	RIKEN cDNA 5730449L18 gene	213	297	-1.4	0.0192
1428169_at	Atg16l1	autophagy-related 16-like 1 (yeast)	235	327	-1.4	0.0309
1449839_at			1603	2233	-1.4	0.0198
1416903_at	Nucb1	nucleobindin 1	974	1357	-1.4	0.0318
1455437_at	BC033915	cDNA sequence BC033915	977	1360	-1.4	0.0434
1457111_at	AA415038	expressed sequence AA415038	61	84	-1.4	0.0450
1416171_at	2310037I24Rik	RIKEN cDNA 2310037I24 gene	2354	3267	-1.4	0.0099
1434507_at	Npepl1	aminopeptidase-like 1	562	778	-1.4	0.0065
1425560_a_at	S100a16	S100 calcium binding protein A16	3803	5252	-1.4	0.0399
1453183_at	1110034A24Rik	RIKEN cDNA 1110034A24 gene	152	210	-1.4	0.0220
1417941_at	Nanp	N-acetylneuraminic acid phosphatase	542	748	-1.4	0.0328
1448703_at	Lsm8	LSM8 homolog, U6 small nuclear RNA associated (S. cerevisiae)	4003	5516	-1.4	0.0414
1448684_at	Ppp1r2	protein phosphatase 1, regulatory (inhibitor) subunit 2	5552	7650	-1.4	0.0348
1452868_at	Usp24	ubiquitin specific peptidase 24	315	434	-1.4	0.0453
1419647_a_at	Ier3	immediate early response 3	3770	5189	-1.4	0.0298
1435000_at	Gspt1	G1 to S phase transition 1	298	409	-1.4	0.0396
1422854_at	Shc1	src homology 2 domain-containing transforming protein C1	834	1147	-1.4	0.0231
1417138_s_at	Polr2e	polymerase (RNA) II (DNA directed) polypeptide E	717	986	-1.4	0.0151
1438688_at	Srrm2	serine/arginine repetitive matrix 2	5595	7690	-1.4	0.0194
1450958_at	Tm4sf1	transmembrane 4 superfamily member 1	21467	29481	-1.4	0.0447
1448797_at	Elk3	ELK3, member of ETS oncogene family	5088	6985	-1.4	0.0297
1455227_at	Aadacl1	arylacetamide deacetylase-like 1	335	460	-1.4	0.0334
1416641_at	Lig1	ligase I, DNA, ATP-dependent	1230	1684	-1.4	0.0255
1451083_s_at	Aars	alanyl-tRNA synthetase	2272	3110	-1.4	0.0043
1421963_a_at	Cdc25b	cell division cycle 25 homolog B (S. pombe)	454	620	-1.4	0.0330
1427987_at	Safb2	scaffold attachment factor B2	296	405	-1.4	0.0313
1426397_at	Tgfbr2	transforming growth factor, beta receptor II	2125	2901	-1.4	0.0065
1417674_s_at	Golga4	golgi autoantigen, golgin subfamily a, 4	1218	1656	-1.4	0.0135
1425745_a_at	Tacc2	transforming, acidic coiled-coil containing protein 2	881	1198	-1.4	0.0305
1427425_at	9130208E07Rik	RIKEN cDNA 9130208E07 gene	8	10	-1.4	0.0263
1417490_at	Ctsb	cathepsin B	6495	8827	-1.4	0.0242
1455586_at	Rnf168	ring fnger protein 168	217	295	-1.4	0.0269
1433995_s_at	D16Bwg1543e	DNA segment, Chr 16, Brigham & Womens Genetics 1543 expressed	1284	1745	-1.4	0.0404
1456495_s_at	Osbpl6	oxysterol binding protein-like 6	229	311	-1.4	0.0250
1439128_at	Zbtb20	zinc finger and BTB domain containing 20	1474	1999	-1.4	0.0136
