miRNA	Target symbol	Synonyms	Target description	chromosome	Entrez Gene
hsa-miR-193b	SIAH1	HUMSIAH|Siah-1|Siah-1a|hSIAH1	seven in absentia homolog 1 (Drosophila)	16	6477
hsa-miR-193b	LUZP1	FLJ35697|KIAA0601|LUZP	leucine zipper protein 1	1	7798
hsa-miR-193b	CALB1	CALB	calbindin 1, 28kDa	8	793
hsa-miR-193b	CALM1	CALML2|CAMI|DD132|PHKD	calmodulin 1 (phosphorylase kinase, delta)	14	801
hsa-miR-193b	ZDHHC18	DKFZp667O2416	zinc finger, DHHC-type containing 18	1	84243
hsa-miR-193b	ING5	FLJ23842|p28ING5	inhibitor of growth family, member 5	2	84289
hsa-miR-193b	STX16	MGC90328|SYN16|hsyn16	syntaxin 16	20	8675
hsa-miR-193b	MED14	CRSP150|CRSP2|CSRP|CXorf4|DRIP150|EXLM1|MGC104513|RGR1|TRAP170	mediator complex subunit 14	X	9282
hsa-miR-193b	KIAA0430	A-362G6.1|LKAP	KIAA0430	16	9665
hsa-miR-193b	ZC3H11A	DKFZp686D03108|DKFZp686F14109|DKFZp781G2455|KIAA0663|ZC3HDC11A	zinc finger CCCH-type containing 11A	1	9877
hsa-miR-193b|hsa-miR-18a	ETV6	TEL|TEL/ABL	ets variant gene 6 (TEL oncogene)	12	2120
hsa-miR-193b|hsa-miR-18a	BRWD3	BRODL|FLJ38568|MRX93	bromodomain and WD repeat domain containing 3	X	254065
hsa-miR-193b|hsa-miR-195	PLAG1	PSA|SGPA	pleiomorphic adenoma gene 1	8	5324
hsa-miR-193b|hsa-miR-195	PPP2R5C	B56G|MGC23064|PR61G	protein phosphatase 2, regulatory subunit B, gamma isoform	14	5527
hsa-miR-193b|hsa-miR-195	RUNX1T1	AML1T1|CBFA2T1|CDR|ETO|MGC2796|MTG8|MTG8b|ZMYND2	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	8	862
hsa-miR-193b|hsa-miR-195|hsa-miR-30d	HELZ	DHRC|DKFZp586G1924|DRHC|HUMORF5|KIAA0054|MGC163454	helicase with zinc finger	17	9931
hsa-miR-193b|hsa-miR-30d	SCYL3	PACE-1|PACE1|RP1-97P20.2	SCY1-like 3 (S. cerevisiae)	1	57147
hsa-miR-193b|hsa-miR-30d	CCL15	HCC-2|HMRP-2B|LKN1|Lkn-1|MIP-1d|MIP-5|NCC-3|NCC3|SCYA15|SCYL3|SY15	chemokine (C-C motif) ligand 15	17	6359
hsa-miR-193b|hsa-miR-30d	YWHAZ	KCIP-1|MGC111427|MGC126532|MGC138156	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	8	7534
hsa-miR-193b|hsa-miR-30d	WDR82	MST107|MSTP107|PRO2730|PRO34047|SWD2|TMEM113|WDR82A	WD repeat domain 82	3	80335
hsa-miR-193b|hsa-miR-7	KCNJ2	HHBIRK1|HHIRK1|IRK1|KIR2.1|LQT7|SQT3	potassium inwardly-rectifying channel, subfamily J, member 2	17	3759
hsa-miR-195	AKT3	DKFZP434N0250|PKB-GAMMA|PKBG|PRKBG|RAC-PK-gamma|RAC-gamma|STK-2	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	1	10000
hsa-miR-195	ACTR2	ARP2	ARP2 actin-related protein 2 homolog (yeast)	2	10097
hsa-miR-195	RBM6	3G2|DEF-3|DEF3|DKFZp686B0877|FLJ36517|HLC-11|NY-LU-12|g16	RNA binding motif protein 6	3	10180
hsa-miR-195	UBE4B	E4|HDNB1|KIAA0684|UBOX3|UFD2	ubiquitination factor E4B (UFD2 homolog, yeast)	1	10277
hsa-miR-195	SLC9A6	KIAA0267|NHE6	solute carrier family 9 (sodium/hydrogen exchanger), member 6	X	10479
hsa-miR-195	NEBL	LNEBL|MGC119746|MGC119747|bA56H7.1	nebulette	10	10529
hsa-miR-195	SPTLC1	HSAN|HSAN1|HSN1|LBC1|LCB1|MGC14645|SPT1|SPTI	serine palmitoyltransferase, long chain base subunit 1	9	10558
hsa-miR-195	POLR3F	MGC13517|RPC39|RPC6	polymerase (RNA) III (DNA directed) polypeptide F, 39 kDa	20	10621
hsa-miR-195	NUP50	MGC39961|NPAP60|NPAP60L	nucleoporin 50kDa	22	10762
hsa-miR-195	RAB10		RAB10, member RAS oncogene family	2	10890
hsa-miR-195	YWHAQ	14-3-3|1C5|HS1	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	2	10971
hsa-miR-195	ADAMTS5	ADAMTS11|ADMP-2|FLJ36738	ADAM metallopeptidase with thrombospondin type 1 motif, 5 (aggrecanase-2)	21	11096
hsa-miR-195	PRDM4	MGC45046|PFM1	PR domain containing 4	12	11108
hsa-miR-195	CHEK1	CHK1	CHK1 checkpoint homolog (S. pombe)	11	1111
hsa-miR-195	FZD10	CD350|FZ-10|FzE7|hFz10	frizzled homolog 10 (Drosophila)	12	11211
hsa-miR-195	AKAP11	AKAP220|DKFZp781I12161|FLJ11304|KIAA0629|PRKA11	A kinase (PRKA) anchor protein 11	13	11215
hsa-miR-195	ZHX1		zinc fingers and homeoboxes 1	8	11244
hsa-miR-195	KLHL2	ABP-KELCH|MAV|MAYVEN	kelch-like 2, Mayven (Drosophila)	4	11275
hsa-miR-195	GPN1	ATPBD1A|MBDIN|NTPBP|XAB1	GPN-loop GTPase 1	2	11321
hsa-miR-195	CLCN5	CLC5|CLCK2|DENTS|NPHL1|NPHL2|XLRH|XRN|hCIC-K2|hClC-K2	chloride channel 5 (nephrolithiasis 2, X-linked, Dent disease)	X	1184
hsa-miR-195	UBR3	DKFZp434P117|DKFZp686N10185|FLJ37422|KIAA2024|MGC126489|ZNF650	ubiquitin protein ligase E3 component n-recognin 3	2	130507
hsa-miR-195	CPEB2	MGC119575|MGC119576|MGC119577	cytoplasmic polyadenylation element binding protein 2	4	132864
hsa-miR-195	ZSWIM3	C20orf164	zinc finger, SWIM-type containing 3	20	140831
hsa-miR-195	C10orf46	FLJ40409|MGC33215	chromosome 10 open reading frame 46	10	143384
hsa-miR-195	UBQLNL	MGC20470|MGC26958	ubiquilin-like	11	143630
hsa-miR-195	SLC2A14	GLUT14	solute carrier family 2 (facilitated glucose transporter), member 14	12	144195
hsa-miR-195	LYRM5		LYR motif containing 5	12	144363
hsa-miR-195	E2F7	FLJ12981	E2F transcription factor 7	12	144455
hsa-miR-195	MIPOL1	DKFZp313M2036|MGC34010	mirror-image polydactyly 1	14	145282
hsa-miR-195	FAM81A	MGC26690	family with sequence similarity 81, member A	15	145773
hsa-miR-195	ZNF362	FLJ25476|MGC138318|RN|lin-29	zinc finger protein 362	1	149076
hsa-miR-195	PDIK1L	CLIK1L|RP11-96L14.4	PDLIM1 interacting kinase 1 like	1	149420
hsa-miR-195	RASGEF1B	FLJ31695|GPIG4|MGC46251	RasGEF domain family, member 1B	4	153020
hsa-miR-195	ADRB2	ADRB2R|ADRBR|B2AR|BAR|BETA2AR	adrenergic, beta-2-, receptor, surface	5	154
hsa-miR-195	RNF217	C6orf172|IBRDC1|MGC26996|dJ84N20.1	ring finger protein 217	6	154214
hsa-miR-195	AMOTL1	JEAP	angiomotin like 1	11	154810
hsa-miR-195	CAMSAP1	DKFZP434F195|DKFZp434G2311|FLJ31228|MGC163452|PRO2405|bA100C15.1	calmodulin regulated spectrin-associated protein 1	9	157922
hsa-miR-195	TMEM20	C10orf60|FLJ33990	transmembrane protein 20	10	159371
hsa-miR-195	DDX3X	DBX|DDX14|DDX3|HLP2	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	X	1654
hsa-miR-195	DYNC1I1	DNCI1|DNCIC1	dynein, cytoplasmic 1, intermediate chain 1	7	1780
hsa-miR-195	DYNC1LI2	DNCLI2|LIC2	dynein, cytoplasmic 1, light intermediate chain 2	16	1783
hsa-miR-195	EIF4B	EIF-4B|PRO1843	eukaryotic translation initiation factor 4B	12	1975
hsa-miR-195	CC2D1B	KIAA1836|RP11-155O18.2	coiled-coil and C2 domain containing 1B	1	200014
hsa-miR-195	AK3L1	AK3|AK4	adenylate kinase 3-like 1	1	205
hsa-miR-195	EYA1	BOP|BOR|MGC141875	eyes absent homolog 1 (Drosophila)	8	2138
hsa-miR-195	DLEU7	FLJ44882|MGC138214	deleted in lymphocytic leukemia, 7	13	220107
hsa-miR-195	SEMA3D	MGC39708|Sema-Z2|coll-2	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	7	223117
hsa-miR-195	FGF2	BFGF|FGFB|HBGF-2	fibroblast growth factor 2 (basic)	4	2247
hsa-miR-195	FGF7	HBGF-7|KGF	fibroblast growth factor 7 (keratinocyte growth factor)	15	2252
hsa-miR-195	FGF13	FGF2|FHF2	fibroblast growth factor 13	X	2258
hsa-miR-195	FGFR1	BFGFR|CD331|CEK|FGFBR|FLG|FLT2|HBGFR|KAL2|N-SAM	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	8	2260
hsa-miR-195	HSPA4L	APG-1|Osp94	heat shock 70kDa protein 4-like	4	22824
hsa-miR-195	COBLL1	COBLR1|KIAA0977	COBL-like 1	2	22837
hsa-miR-195	FRMPD1	FRMD2|KIAA0967|MGC138833	FERM and PDZ domain containing 1	9	22844
hsa-miR-195	CPEB3		cytoplasmic polyadenylation element binding protein 3	10	22849
hsa-miR-195	KIAA0831	MGC126291|MGC126292	KIAA0831	14	22863
hsa-miR-195	FBXO21	DKFZp434G058|FBX21|FLJ90233|KIAA0875|MGC26682	F-box protein 21	12	23014
hsa-miR-195	MYT1L	NZF1	myelin transcription factor 1-like	2	23040
hsa-miR-195	ZHX3	KIAA0395|TIX1	zinc fingers and homeoboxes 3	20	23051
hsa-miR-195	GPATCH8	GPATC8|KIAA0553	G patch domain containing 8	17	23131
hsa-miR-195	40062	KIAA0128|MGC16619|MGC20339|SEP2|SEPT2	septin 6	X	23157
hsa-miR-195	ACSBG1	BG1|BGM|FLJ30320|GR-LACS|KIAA0631|MGC14352|hBG1|hsBG	acyl-CoA synthetase bubblegum family member 1	15	23205
hsa-miR-195	TRAM1	PNAS-8|TRAM|TRAMP	translocation associated membrane protein 1	8	23471
hsa-miR-195	CD2AP	CMS|DKFZP586H0519	CD2-associated protein	6	23607
hsa-miR-195	PISD	DJ858B16|DKFZP566G2246|PSDC|PSSC|dJ858B16.2	phosphatidylserine decarboxylase	22	23761
hsa-miR-195	CNOT6L	CCR4b	CCR4-NOT transcription complex, subunit 6-like	4	246175
hsa-miR-195	KDSR	DHSR|FLJ36555|FLJ92680|FVT1	3-ketodihydrosphingosine reductase	18	2531
hsa-miR-195	COL24A1	MGC142214	collagen, type XXIV, alpha 1	1	255631
hsa-miR-195	MAP3K7IP3	MGC45404|NAP1|TAB3	mitogen-activated protein kinase kinase kinase 7 interacting protein 3	X	257397
hsa-miR-195	MOBKL3	2C4D|CGI-95|MGC12264|MOB1|MOB3|PREI3	MOB1, Mps One Binder kinase activator-like 3 (yeast)	2	25843
hsa-miR-195	KBTBD2	BKLHD1	kelch repeat and BTB (POZ) domain containing 2	7	25948
hsa-miR-195	HIGD1A	DKFZP564K247|HIG1	HIG1 domain family, member 1A	3	25994
hsa-miR-195	LRIG1	DKFZP586O1624|LIG-1|LIG1	leucine-rich repeats and immunoglobulin-like domains 1	3	26018
hsa-miR-195	WIPI2	Atg21|CGI-50|DKFZP434J154|DKFZp686P02188|FLJ12979|FLJ14217|FLJ42984|WIPI-2	WD repeat domain, phosphoinositide interacting 2	7	26100
hsa-miR-195	WSB1	SWIP1|WSB-1	WD repeat and SOCS box-containing 1	17	26118
hsa-miR-195	SERBP1	CGI-55|CHD3IP|DKFZp564M2423|FLJ90489|HABP4L|PAI-RBP1|PAIRBP1	SERPINE1 mRNA binding protein 1	1	26135
hsa-miR-195	B4GALT1	B4GAL-T1|DKFZp686N19253|GGTB2|GT1|GTB|MGC50983|beta4Gal-T1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	9	2683
hsa-miR-195	GHR	GHBP	growth hormone receptor	5	2690
hsa-miR-195	SESN1	MGC138241|MGC142129|PA26|RP11-787I22.1|SEST1	sestrin 1	6	27244
hsa-miR-195	PCDH17	PCDH68|PCH68	protocadherin 17	13	27253
hsa-miR-195	GLUD1	GDH|GDH1|GLUD|MGC132003	glutamate dehydrogenase 1	10	2746
hsa-miR-195	GLUD2	GDH2|GLUDP1	glutamate dehydrogenase 2	X	2747
hsa-miR-195	GNAI3	87U6|FLJ26559	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3	1	2773
hsa-miR-195	C12orf64	FLJ90579|MGC119410	chromosome 12 open reading frame 64	12	283310
hsa-miR-195	C3orf23	DKFZp313N0621|FLJ41686|MGC119530|MGC119531|MGC119532|MGC119533	chromosome 3 open reading frame 23	3	285343
hsa-miR-195	USP25	USP21	ubiquitin specific peptidase 25	21	29761
hsa-miR-195	HOXA10	HOX1|HOX1.8|HOX1H|MGC12859|PL	homeobox A10	7	3206
hsa-miR-195	HOXC8	HOX3|HOX3A	homeobox C8	12	3224
hsa-miR-195	HSPG2	PLC|PRCAN|SJA|SJS|SJS1	heparan sulfate proteoglycan 2	1	3339
hsa-miR-195	HTR4	5-HT4|5-HT4R	5-hydroxytryptamine (serotonin) receptor 4	5	3360
hsa-miR-195	KRTAP11-1	HACL-1|HACL1|KAP11.1	keratin associated protein 11-1	21	337880
hsa-miR-195	IHH	BDA1|HHG2	Indian hedgehog homolog (Drosophila)	2	3549
hsa-miR-195	ITGA2	BR|CD49B|GPIa|VLA-2|VLAA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	5	3673
hsa-miR-195	KCNN4	IK1|IKCA1|KCA4|KCa3.1|SK4|hIKCa1|hKCa4|hSK4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	19	3783
hsa-miR-195	KIF5A	D12S1889|MY050|NKHC|SPG10	kinesin family member 5A	12	3798
hsa-miR-195	KIF5C	FLJ44735|KIAA0531|KINN|MGC111478|NKHC|NKHC-2|NKHC2	kinesin family member 5C	2	3800
hsa-miR-195	KCTD8		potassium channel tetramerisation domain containing 8	4	386617
hsa-miR-195	C1QL3	C1ql|K100	complement component 1, q subcomponent-like 3	10	389941
hsa-miR-195	FLJ40142	FLJ11385	FLJ40142 protein	12	400073
hsa-miR-195	LRP2	DBS|gp330	low density lipoprotein-related protein 2	2	4036
hsa-miR-195	LRP6	ADCAD2|FLJ90062|FLJ90421	low density lipoprotein receptor-related protein 6	12	4040
hsa-miR-195	SMAD5	DKFZp781C1895|DKFZp781O1323|Dwfc|JV5-1|MADH5	SMAD family member 5	5	4090
hsa-miR-195	SMAD7	FLJ16482|MADH7|MADH8	SMAD family member 7	18	4092
hsa-miR-195	MYB	Cmyb|c-myb|c-myb_CDS|efg	v-myb myeloblastosis viral oncogene homolog (avian)	6	4602
hsa-miR-195	MYBL1	A-MYB|AMYB|MGC120059|MGC120061	v-myb myeloblastosis viral oncogene homolog (avian)-like 1	8	4603
hsa-miR-195	MYLK	DKFZp686I10125|FLJ12216|KRP|MLCK|MLCK1|MLCK108|MLCK210|MSTP083|MYLK1|smMLCK	myosin light chain kinase	3	4638
hsa-miR-195	40058	DIFF6|KIAA0158|NEDD5|Pnutl3|hNedd5	septin 2	2	4735
hsa-miR-195	NFE2L1	FLJ00380|LCR-F1|NRF1|TCF11	nuclear factor (erythroid-derived 2)-like 1	17	4779
hsa-miR-195	PAFAH1B1	LIS1|LIS2|MDCR|MDS|PAFAH	platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit 45kDa	17	5048
hsa-miR-195	G0S2	RP1-28O10.2	G0/G1switch 2	1	50486
hsa-miR-195	PAPPA	ASBABP2|DIPLA1|IGFBP-4ase|PAPA|PAPP-A|PAPPA1	pregnancy-associated plasma protein A, pappalysin 1	9	5069
hsa-miR-195	AK3	AK3L1|AK6|AKL3L|AKL3L1|FIX	adenylate kinase 3	9	50808
hsa-miR-195	ACOX1	ACOX|MGC1198|PALMCOX|SCOX	acyl-Coenzyme A oxidase 1, palmitoyl	17	51
hsa-miR-195	PCDH9		protocadherin 9	13	5101
hsa-miR-195	PCMT1		protein-L-isoaspartate (D-aspartate) O-methyltransferase	6	5110
hsa-miR-195	CRIM1	MGC138194|S52	cysteine rich transmembrane BMP regulator 1 (chordin-like)	2	51232
hsa-miR-195	PCTK2	PCTAIRE2	PCTAIRE protein kinase 2	12	5128
hsa-miR-195	RNF138	HSD-4|MGC8758|NARF|STRIN	ring finger protein 138	18	51444
hsa-miR-195	TPPP3	CGI-38|p20|p25gamma	tubulin polymerization-promoting protein family member 3	16	51673
hsa-miR-195	WBP11	DKFZp779M1063|NPWBP|SIPP1	WW domain binding protein 11	12	51729
hsa-miR-195	PEX13	NALD|ZWS	peroxisome biogenesis factor 13	2	5194
hsa-miR-195	PIK3R1	GRB1|p85|p85-ALPHA	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	5	5295
hsa-miR-195	LRP1B	LRP-DIT|LRPDIT	low density lipoprotein-related protein 1B (deleted in tumors)	2	53353
hsa-miR-195	EPB41L4B	CG1|DKFZp761N1814|EHM2|FLJ21596	erythrocyte membrane protein band 4.1 like 4B	9	54566
hsa-miR-195	OTUD4	DKFZp434I0721|DUBA6|HIN1|HSHIN1|KIAA1046	OTU domain containing 4	4	54726
hsa-miR-195	RNF111	ARK|DKFZp313E0731|DKFZp686H1966|DKFZp761D081|FLJ38008	ring finger protein 111	15	54778
hsa-miR-195	SNRK	DKFZp779A1866|FLJ20224|HSNFRK|KIAA0096	SNF related kinase	3	54861
hsa-miR-195	ZCCHC2	DKFZp451A185|FLJ20281|KIAA1744|MGC13269	zinc finger, CCHC domain containing 2	18	54877
hsa-miR-195	RNF125	FLJ20456|MGC21737|TRAC1	ring finger protein 125	18	54941
hsa-miR-195	CDCA4	FLJ20764|HEPP|MGC19517	cell division cycle associated 4	14	55038
hsa-miR-195	TMEM33	1600019D15Rik|FLJ10525|SHINC3	transmembrane protein 33	4	55161
hsa-miR-195	ZNF654	FLJ10997|FLJ21142	zinc finger protein 654	3	55279
hsa-miR-195	C20orf46	FLJ11190	chromosome 20 open reading frame 46	20	55321
hsa-miR-195	YOD1	DKFZp451J1719|DUBA8|OTUD2|PRO0907	YOD1 OTU deubiquinating enzyme 1 homolog (S. cerevisiae)	1	55432
hsa-miR-195	ALS2CR2	CALS-21|ILPIP|ILPIPA|MGC102916|PAPK|PRO1038	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 2	2	55437
hsa-miR-195	ETNK1	EKI|EKI1|Nbla10396	ethanolamine kinase 1	12	55500
hsa-miR-195	KIF21A	CFEOM|CFEOM1|DKFZp779C159|FEOM|FEOM1|FLJ20052|KIAA1708	kinesin family member 21A	12	55605
hsa-miR-195	KIAA1333	FLJ20333|G2E3	KIAA1333	14	55632
hsa-miR-195	PRKAR2A	MGC3606|PKR2|PRKAR2	protein kinase, cAMP-dependent, regulatory, type II, alpha	3	5576
hsa-miR-195	ASH1L	ASH1|ASH1L1|FLJ10504|KIAA1420|KMT2H	ash1 (absent, small, or homeotic)-like (Drosophila)	1	55870
hsa-miR-195	CYP26B1	CYP26A2|DKFZp686G0638|MGC129613|P450RAI-2	cytochrome P450, family 26, subfamily B, polypeptide 1	2	56603
hsa-miR-195	CHPT1	CPT|CPT1	choline phosphotransferase 1	12	56994
hsa-miR-195	PCBP4	LIP4|MCG10	poly(rC) binding protein 4	3	57060
hsa-miR-195	SMURF1	KIAA1625	SMAD specific E3 ubiquitin protein ligase 1	7	57154
hsa-miR-195	SLC39A10	DKFZp781L10106|LZT-Hs2|MGC126565|MGC138428	solute carrier family 39 (zinc transporter), member 10	2	57181
hsa-miR-195	PTCH1	BCNS|FLJ26746|FLJ42602|HPE7|NBCCS|PTC|PTC1|PTCH|PTCH11	patched homolog 1 (Drosophila)	9	5727
hsa-miR-195	PTH		parathyroid hormone	11	5741
hsa-miR-195	FAM80B	KIAA1238	family with sequence similarity 80, member B	12	57494
hsa-miR-195	SIPA1L2	FLJ23126|FLJ23632|KIAA1389|SPAL2	signal-induced proliferation-associated 1 like 2	1	57568
hsa-miR-195	ARHGAP20	KIAA1391|RARHOGAP	Rho GTPase activating protein 20	11	57569
hsa-miR-195	FAM135A	DKFZp781H2319|FLJ13577|KIAA1411	family with sequence similarity 135, member A	6	57579
hsa-miR-195	PTPN3	DKFZp686N0569|PTPH1	protein tyrosine phosphatase, non-receptor type 3	9	5774
hsa-miR-195	RAP2C	DKFZp313B211	RAP2C, member of RAS oncogene family	X	57826
hsa-miR-195	PTPRD	HPTP|HPTP-DELTA|HPTPD|MGC119750|MGC119751|MGC119752|MGC119753|PTPD|R-PTP-DELTA	protein tyrosine phosphatase, receptor type, D	9	5789
hsa-miR-195	PURA	PUR-ALPHA|PUR1|PURALPHA	purine-rich element binding protein A	5	5813
hsa-miR-195	RARB	HAP|NR1B2|RRB2	retinoic acid receptor, beta	3	5915
hsa-miR-195	RBBP6	DKFZp686P0638|DKFZp761B2423|MY038|P2P-R|PACT|RBQ-1|SNAMA	retinoblastoma binding protein 6	16	5930
hsa-miR-195	PLEKHA1	TAPP1	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1	10	59338
hsa-miR-195	CCND1	BCL1|D11S287E|PRAD1|U21B31	cyclin D1	11	595
hsa-miR-195	RET	CDHF12|HSCR1|MEN2A|MEN2B|MTC1|PTC|RET-ELE1|RET51	ret proto-oncogene	10	5979
hsa-miR-195	SCOC	HRIHFB2072|SCOCO	short coiled-coil protein	4	60592
hsa-miR-195	SALL1	HSAL1|TBS|ZNF794	sal-like 1 (Drosophila)	16	6299
hsa-miR-195	ATXN2	ATX2|FLJ46772|SCA2|TNRC13	ataxin 2	12	6311
hsa-miR-195	TMEM16C	C11orf25|GENX-3947	transmembrane protein 16C	11	63982
hsa-miR-195	TSPYL2	CDA1|CINAP|CTCL|DENTT|HRIHFB2216|SE20-4	TSPY-like 2	X	64061
hsa-miR-195	SNX16	DKFZp666H147	sorting nexin 16	8	64089
hsa-miR-195	SGK1	SGK	serum/glucocorticoid regulated kinase 1	6	6446
hsa-miR-195	SLC13A3	NADC3|SDCT2	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3	20	64849
hsa-miR-195	ANKRD57	C2orf26	ankyrin repeat domain 57	2	65124
hsa-miR-195	SLC2A3	FLJ90380|GLUT3	solute carrier family 2 (facilitated glucose transporter), member 3	12	6515
hsa-miR-195	SLC7A2	ATRC2|CAT-2|HCAT2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	8	6542
hsa-miR-195	SLC12A2	BSC|BSC2|MGC104233|NKCC1	solute carrier family 12 (sodium/potassium/chloride transporters), member 2	5	6558
hsa-miR-195	SLC20A2	GLVR2|Glvr-2|MLVAR|PIT-2	solute carrier family 20 (phosphate transporter), member 2	8	6575
hsa-miR-195	STK33		serine/threonine kinase 33	11	65975
hsa-miR-195	GRAMD3	FLJ21313|NS3TP2	GRAM domain containing 3	5	65983
hsa-miR-195	ZBTB10	FLJ12752|RINZF	zinc finger and BTB domain containing 10	8	65986
hsa-miR-195	BMX	ETK|PSCTK2|PSCTK3	BMX non-receptor tyrosine kinase	X	660
hsa-miR-195	SNTB2	D16S2531E|EST25263|SNT2B2|SNT3|SNTL	syntrophin, beta 2 (dystrophin-associated protein A1, 59kDa, basic component 2)	16	6645
hsa-miR-195	SRPK1	SFRSK1	SFRS protein kinase 1	6	6732
hsa-miR-195	SRPR	DP|MGC17355|MGC3650|MGC9571|SRP-alpha|Sralpha	signal recognition particle receptor (docking protein)	11	6734
hsa-miR-195	STXBP3	MUNC18-3|MUNC18C|PSP|UNC-18C	syntaxin binding protein 3	1	6814
hsa-miR-195	SYPL1	H-SP1|SYPL	synaptophysin-like 1	7	6856
hsa-miR-195	TGFBR3	BGCAN|betaglycan	transforming growth factor, beta receptor III	1	7049
hsa-miR-195	TLE4	BCE-1|BCE1|E(spI)|ESG|ESG4|GRG4	transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)	9	7091
hsa-miR-195	WEE1	DKFZp686I18166|FLJ16446|WEE1A|WEE1hu	WEE1 homolog (S. pombe)	11	7465
hsa-miR-195	YWHAH	YWHA1	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide	22	7533
hsa-miR-195	ZMYM2	FIM|MYM|RAMP|SCLL|ZNF198	zinc finger, MYM-type 2	13	7750
hsa-miR-195	WDR32	FLJ23201|MGC10765|MGC131781	WD repeat domain 32	9	79269
hsa-miR-195	C20orf39	FLJ14220	chromosome 20 open reading frame 39	20	79953
hsa-miR-195	HMGA2	BABL|HMGI-C|HMGIC|LIPO|STQTL9	high mobility group AT-hook 2	12	8091
hsa-miR-195	GPR63	PSP24(beta)|PSP24B	G protein-coupled receptor 63	6	81491
hsa-miR-195	C1orf21	PIG13	chromosome 1 open reading frame 21	1	81563
hsa-miR-195	CAPZA2	CAPPA2|CAPZ	capping protein (actin filament) muscle Z-line, alpha 2	7	830
hsa-miR-195	TFAP2D	TFAP2BL1	transcription factor AP-2 delta (activating enhancer binding protein 2 delta)	6	83741
hsa-miR-195	USP42	FLJ12697	ubiquitin specific peptidase 42	7	84132
hsa-miR-195	SETD3	C14orf154|DKFZp761E1415|FLJ23027|MGC87236	SET domain containing 3	14	84193
hsa-miR-195	PCGF5	MGC16202|RNF159	polycomb group ring finger 5	10	84333
hsa-miR-195	RECK	ST15|hRECK	reversion-inducing-cysteine-rich protein with kazal motifs	9	8434
hsa-miR-195	CASR	CAR|FHH|FIH|GPRC2A|HHC|HHC1|MGC138441|NSHPT|PCAR1	calcium-sensing receptor (hypocalciuric hypercalcemia 1, severe neonatal hyperparathyroidism)	3	846
hsa-miR-195	SLC9A7	NHE7|SLC9A6	solute carrier family 9 (sodium/hydrogen exchanger), member 7	X	84679
hsa-miR-195	RSPO3	CRISTIN1|FLJ14440|PWTSR|THSD2	R-spondin 3 homolog (Xenopus laevis)	6	84870
hsa-miR-195	PPM1D	PP2C-DELTA|WIP1	protein phosphatase 1D magnesium-dependent, delta isoform	17	8493
hsa-miR-195	ABHD13	BEM46L1|C13orf6|FLJ14906|MGC27058|RP11-153I24.2|bA153I24.2	abhydrolase domain containing 13	13	84945
hsa-miR-195	CBX4	NBP16|PC2|hPC2	chromobox homolog 4 (Pc class homolog, Drosophila)	17	8535
hsa-miR-195	ZCCHC3	C20orf99|MGC104290	zinc finger, CCHC domain containing 3	20	85364
hsa-miR-195	SELI	KIAA1724	selenoprotein I	2	85465
hsa-miR-195	PPAP2A	LLP1a|LPP1|PAP-2a|PAP2|PAP2a2|PAP2alpha2|PAPalpha1	phosphatidic acid phosphatase type 2A	5	8611
hsa-miR-195	DDX3Y	DBY	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	Y	8653
hsa-miR-195	EIF3A	EIF3|EIF3S10|KIAA0139|P167|TIF32|eIF3-p170|eIF3-theta|p180|p185	eukaryotic translation initiation factor 3, subunit A	10	8661
hsa-miR-195	CDK5R1	CDK5P35|CDK5R|MGC33831|NCK5A|p23|p25|p35|p35nck5a	cyclin-dependent kinase 5, regulatory subunit 1 (p35)	17	8851
hsa-miR-195	FUBP1	FBP|FUBP	far upstream element (FUSE) binding protein 1	1	8880
hsa-miR-195	BTRC	BETA-TRCP|FBW1A|FBXW1|FBXW1A|FWD1|MGC4643|bTrCP|bTrCP1|betaTrCP	beta-transducin repeat containing	10	8945
hsa-miR-195	WNT3A	MGC119418|MGC119419|MGC119420	wingless-type MMTV integration site family, member 3A	1	89780
hsa-miR-195	CCNE1	CCNE	cyclin E1	19	898
