rank	Probe set	Gene symbol	Parameric p-value	FDR	Geom mean of intensities in ABC	Geom mean of intensities in GCB	Ratio of geom means ABC/GCB	log2 ratio ABC/GCB	Description
201	216326_s_at	HDAC3	1.80E-05	0.0048963	1810.242871	1366.935654	1.3243073	0.405237932	histone deacetylase 3
202	220059_at	STAP1	1.82E-05	0.0049262	1931.81063	4618.791154	0.4182503	-1.25756152	signal transducing adaptor family member 1
203	204686_at	IRS1	1.85E-05	0.0049583	196.9557374	482.2063708	0.408447	-1.291779208	insulin receptor substrate 1
204	236831_at	CCDC50	1.85E-05	0.0049583	531.9168151	205.7802189	2.5848783	1.370096358	coiled-coil domain containing 50
205	220068_at	VPREB3	1.89E-05	0.0050408	588.3255773	2404.641549	0.2446625	-2.031135102	pre-B lymphocyte gene 3
206	204133_at	RRP9	1.90E-05	0.0050428	310.3620923	135.2666875	2.2944459	1.19814579	ribosomal RNA processing 9, small subunit (SSU) processome component, homolog (yeast)
207	237817_at	SSR3	1.94E-05	0.0051241	236.7729333	119.5331236	1.9808144	0.986093708	Signal sequence receptor, gamma (translocon-associated protein gamma)
208	202239_at	PARP4	1.96E-05	0.0051521	3182.714372	2074.293864	1.5343604	0.617637392	poly (ADP-ribose) polymerase family, member 4
209	209470_s_at	GPM6A	1.97E-05	0.0051536	615.0362077	108.4887938	5.669122	2.503125316	glycoprotein M6A
210	1564310_a_at	PARP15	2.00E-05	0.0052071	716.1761789	186.5587619	3.8388772	1.940684411	poly (ADP-ribose) polymerase family, member 15
211	216615_s_at	HTR3A	2.01E-05	0.0052084	253.4783095	1390.208096	0.1823312	-2.455366642	5-hydroxytryptamine (serotonin) receptor 3A
212	203284_s_at	HS2ST1	2.07E-05	0.0052919	1191.861091	2201.252758	0.5414467	-0.885108769	heparan sulfate 2-O-sulfotransferase 1
213	202172_at	VEZF1	2.09E-05	0.0052919	741.7034049	1088.254531	0.6815532	-0.553101821	vascular endothelial zinc finger 1
214	244080_at		2.10E-05	0.0052919	86.2285915	23.6290366	3.649264	1.867605524	Transcribed locus, strongly similar to XP_001151823.1 PREDICTED: hypothetical protein [Pan troglodytes]
215	240616_at	LOC100131110	2.11E-05	0.0052919	455.1799958	207.5828957	2.1927625	1.132749561	hypothetical protein LOC100131110
216	201810_s_at	SH3BP5	2.11E-05	0.0052919	3557.748185	1308.681285	2.718575	1.44285063	SH3-domain binding protein 5 (BTK-associated)
217	222450_at	PMEPA1	2.11E-05	0.0052919	72.3104004	366.2206672	0.1974504	-2.340437804	prostate transmembrane protein, androgen induced 1
218	221957_at	PDK3	2.11E-05	0.0052919	401.8882724	726.8292814	0.5529335	-0.854822114	pyruvate dehydrogenase kinase, isozyme 3
219	205708_s_at	TRPM2	2.13E-05	0.0053177	355.9840431	217.7951979	1.6344899	0.708840462	transient receptor potential cation channel, subfamily M, member 2
220	216321_s_at	NR3C1	2.22E-05	0.0055172	2577.701525	4128.592441	0.6243536	-0.67956477	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)
221	204890_s_at	LCK	2.31E-05	0.0057149	694.1152474	1394.502266	0.4977513	-1.006503011	lymphocyte-specific protein tyrosine kinase
222	223284_at	NAT14	2.37E-05	0.0058369	274.12169	120.3406891	2.2778803	1.187691937	N-acetyltransferase 14
223	218889_at	NOC3L	2.41E-05	0.0059088	3195.538634	2047.541146	1.5606713	0.642166717	nucleolar complex associated 3 homolog (S. cerevisiae)
224	235142_at	RP1-27O5.1 /// ZBTB8	2.47E-05	0.0060289	168.1957098	417.996806	0.4023852	-1.313350852	zinc finger and BTB domain containing 8 /// zinc finger and BTB domain containing 8-like
225	218501_at	ARHGEF3	2.50E-05	0.0060723	2659.578715	1426.971317	1.8637927	0.898241405	Rho guanine nucleotide exchange factor (GEF) 3
226	37433_at	PIAS2	2.51E-05	0.0060723	362.2886211	221.5918894	1.6349363	0.709234427	protein inhibitor of activated STAT, 2
227	219815_at	GAL3ST4	2.54E-05	0.0061178	157.5537215	326.196238	0.4830029	-1.049896244	galactose-3-O-sulfotransferase 4
228	213113_s_at	SLC43A3	2.56E-05	0.006136	2100.456993	1262.350843	1.6639249	0.73459032	solute carrier family 43, member 3
229	202923_s_at	GCLC	2.57E-05	0.006136	1333.027368	868.8002205	1.5343313	0.61761003	glutamate-cysteine ligase, catalytic subunit
230	230787_at		2.59E-05	0.006148	268.2700113	553.7538605	0.4844571	-1.045559178	Transcribed locus, strongly similar to XP_001166561.1 PREDICTED: hypothetical protein [Pan troglodytes]
231	219644_at	CCDC41	2.60E-05	0.006148	567.8924344	349.2154142	1.6261952	0.701500441	coiled-coil domain containing 41
232	202118_s_at	CPNE3	2.61E-05	0.006148	1489.950286	3528.822308	0.4222231	-1.243922584	copine III
233	208788_at	ELOVL5	2.62E-05	0.006148	7558.957425	11236.28698	0.6727273	-0.571906289	ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)
234	206036_s_at	REL	2.67E-05	0.0062386	857.5935005	1684.572444	0.5090867	-0.97401672	v-rel reticuloendotheliosis viral oncogene homolog (avian)
235	225436_at	FAM108C1	2.74E-05	0.006371	562.8781231	254.4860792	2.2118228	1.145235809	family with sequence similarity 108, member C1
236	205372_at	PLAG1	2.75E-05	0.006371	156.615992	333.0893937	0.4701921	-1.088677795	pleiomorphic adenoma gene 1
237	225351_at	FAM45A /// FAM45B	2.78E-05	0.0064094	698.3333555	1025.676618	0.6808514	-0.554588139	family with sequence similarity 45, member B /// family with sequence similarity 45, member A
238	207433_at	IL10	2.79E-05	0.0064094	661.2548072	256.9347902	2.5736289	1.363804042	interleukin 10
239	1557813_at		2.81E-05	0.0064243	215.4624257	651.9776271	0.3304752	-1.597386084	Full length insert cDNA clone YB34C04
240	231887_s_at	KIAA1274	2.82E-05	0.0064243	99.8183142	258.6584967	0.3859077	-1.373672265	KIAA1274
241	217950_at	NOSIP	2.85E-05	0.0064616	2453.300921	1619.247394	1.5150872	0.59940083	nitric oxide synthase interacting protein
242	226507_at	PAK1	2.86E-05	0.0064616	1053.744966	551.4102377	1.911	0.934327778	p21/Cdc42/Rac1-activated kinase 1 (STE20 homolog, yeast)
243	202770_s_at	CCNG2	2.89E-05	0.0065025	979.5683818	1849.261541	0.5297079	-0.91673107	cyclin G2
244	209558_s_at	HIP1R	2.91E-05	0.0065164	130.3858179	536.7849666	0.2429014	-2.04155729	huntingtin interacting protein 1 related
245	201873_s_at	ABCE1	2.92E-05	0.0065164	2356.685293	1623.929042	1.4512243	0.537270518	ATP-binding cassette, sub-family E (OABP), member 1
246	1561690_at		2.96E-05	0.0065788	43.8915689	172.3484173	0.2546677	-1.973312103	CDNA clone IMAGE:5303966
247	243198_at	TEX9	3.06E-05	0.0067735	135.724469	704.8396813	0.1925608	-2.376614054	testis expressed 9
248	212809_at	NFATC2IP	3.15E-05	0.0069052	1587.25364	1048.345517	1.5140558	0.598418376	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 interacting protein
249	223046_at	EGLN1	3.16E-05	0.0069052	1074.551135	1649.677365	0.6513705	-0.618449712	egl nine homolog 1 (C. elegans)
250	209615_s_at	PAK1	3.16E-05	0.0069052	324.7806716	119.7007056	2.7132728	1.440034107	p21/Cdc42/Rac1-activated kinase 1 (STE20 homolog, yeast)
251	202626_s_at	LYN	3.17E-05	0.0069052	6711.059838	4129.707791	1.6250689	0.700500887	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
252	201677_at	C3orf37	3.21E-05	0.0069646	178.6414855	370.623529	0.4820025	-1.052887466	Chromosome 3 open reading frame 37
253	237780_at		3.23E-05	0.0069802	31.8388829	95.3568349	0.333892	-1.582546568	Transcribed locus
254	201614_s_at	RUVBL1	3.25E-05	0.0069958	2251.721501	1126.23628	1.9993331	0.999518853	RuvB-like 1 (E. coli)
255	211597_s_at	HOPX	3.32E-05	0.0071185	560.4677911	2465.915125	0.2272859	-2.137419908	HOP homeobox
256	204813_at	MAPK10	3.41E-05	0.0072829	151.9774027	578.7176231	0.2626106	-1.929002945	mitogen-activated protein kinase 10
257	235051_at	CCDC50	3.47E-05	0.0073748	596.814879	238.886244	2.4983225	1.320959722	coiled-coil domain containing 50
258	224523_s_at	C3orf26	3.48E-05	0.0073748	3339.091619	1549.670959	2.1547101	1.107493779	chromosome 3 open reading frame 26
259	212658_at	LHFPL2	3.50E-05	0.0073885	1024.052563	2046.99975	0.50027	-0.999221155	lipoma HMGIC fusion partner-like 2
260	202706_s_at	UMPS	3.62E-05	0.0075752	1263.096507	905.5442912	1.3948478	0.48010771	uridine monophosphate synthetase
261	205865_at	ARID3A	3.62E-05	0.0075752	325.9332568	175.3004648	1.8592835	0.894746766	AT rich interactive domain 3A (BRIGHT-like)
262	235241_at	SLC38A9	3.63E-05	0.0075752	779.9037206	1057.4649	0.7375221	-0.439241814	solute carrier family 38, member 9
263	226299_at	PKN3	3.70E-05	0.0076919	233.1281849	68.6542258	3.3956859	1.763703016	protein kinase N3
264	223339_at	ATPIF1	3.74E-05	0.0077285	473.1099132	859.2849557	0.5505856	-0.860961217	ATPase inhibitory factor 1
265	222412_s_at	SSR3	3.75E-05	0.0077285	1430.859784	868.3864865	1.6477223	0.720473117	signal sequence receptor, gamma (translocon-associated protein gamma)
266	224516_s_at	CXXC5	3.76E-05	0.0077285	4227.717916	1842.634612	2.2943876	1.198109132	CXXC finger 5
267	225912_at	TP53INP1	3.80E-05	0.0077728	1347.044476	3299.812117	0.4082185	-1.29258653	tumor protein p53 inducible nuclear protein 1
268	208836_at	ATP1B3	3.81E-05	0.0077728	11500.41565	6953.712409	1.6538526	0.72583066	ATPase, Na+/K+ transporting, beta 3 polypeptide
269	203313_s_at	TGIF1	3.85E-05	0.0078252	1610.554718	685.3237221	2.3500642	1.232700169	TGFB-induced factor homeobox 1
270	201263_at	TARS	3.94E-05	0.0079692	3748.98668	2407.386789	1.5572847	0.639032719	threonyl-tRNA synthetase
271	230803_s_at	ARHGAP24	3.95E-05	0.0079692	344.5101633	157.6829463	2.1848283	1.127519907	Rho GTPase activating protein 24
272	1554992_at	RASGRF1	3.98E-05	0.0080002	230.2056782	75.4071074	3.0528379	1.610150987	Ras protein-specific guanine nucleotide-releasing factor 1
273	219527_at	MOSC2	4.12E-05	0.0082513	113.0390397	291.32708	0.3880142	-1.365818644	MOCO sulphurase C-terminal domain containing 2
274	205928_at	ZNF443	4.18E-05	0.0083409	450.6026981	765.7573017	0.5884406	-0.765031305	zinc finger protein 443
275	204325_s_at	NF1	4.20E-05	0.0083504	51.0502468	105.0155213	0.486121	-1.040612636	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)
276	224645_at		4.26E-05	0.0084266	421.4481292	627.6579541	0.6714615	-0.574623414	CDNA FLJ33081 fis, clone TRACH2000321
277	202530_at	MAPK14	4.28E-05	0.0084266	1080.743702	1392.15658	0.776309	-0.365297082	mitogen-activated protein kinase 14
278	227565_at		4.29E-05	0.0084266	404.1252997	699.0308597	0.5781223	-0.790553372	Transcribed locus
279	225478_at	MFHAS1	4.30E-05	0.0084266	882.719587	1996.023992	0.442239	-1.177101836	malignant fibrous histiocytoma amplified sequence 1
280	206310_at	SPINK2	4.34E-05	0.0084746	43.0559307	385.8121381	0.1115982	-3.163614337	serine peptidase inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)
281	220742_s_at	NGLY1	4.41E-05	0.0085807	4862.851989	3307.638333	1.4701885	0.556001142	N-glycanase 1
282	202606_s_at	TLK1	4.47E-05	0.0086666	4218.086571	2715.240926	1.5534852	0.635508497	tousled-like kinase 1
283	234973_at	SLC38A5	4.54E-05	0.0087288	352.5722019	123.049916	2.8652779	1.518675071	solute carrier family 38, member 5
284	226561_at	LOC285086	4.54E-05	0.0087288	273.7874855	522.7718479	0.5237227	-0.933124957	hypothetical protein LOC285086
285	225081_s_at	CDCA7L	4.55E-05	0.0087288	3807.975127	1927.433611	1.9756712	0.982342867	cell division cycle associated 7-like
286	204142_at	ENOSF1	4.61E-05	0.0087823	2065.907082	1108.705513	1.8633506	0.897899151	enolase superfamily member 1
287	205552_s_at	OAS1	4.61E-05	0.0087823	1093.589763	518.0311936	2.11105	1.077960749	2,5-oligoadenylate synthetase 1, 40/46kDa
288	201559_s_at	CLIC4	4.66E-05	0.008835	302.7917551	707.7435597	0.4278269	-1.224900899	chloride intracellular channel 4
289	235924_at		4.67E-05	0.008835	422.6820848	135.6706534	3.1155012	1.639464273	CDNA FLJ42287 fis, clone TLIVE2005866
290	206653_at	POLR3G	4.74E-05	0.0089365	567.6420618	253.3840712	2.2402437	1.163655681	polymerase (RNA) III (DNA directed) polypeptide G (32kD)
291	202309_at	MTHFD1	4.78E-05	0.0089502	5056.950605	3287.851709	1.5380714	0.621122477	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase
292	201209_at	HDAC1	4.78E-05	0.0089502	6965.921728	10678.95239	0.6523038	-0.616384062	histone deacetylase 1
293	205248_at	DOPEY2	4.92E-05	0.0091743	311.1223063	185.2317462	1.6796381	0.748150419	dopey family member 2
294	225223_at	SMAD5	4.94E-05	0.0091743	602.5566681	958.687468	0.6285225	-0.669963703	SMAD family member 5
295	235800_at		4.95E-05	0.0091743	149.1073939	589.3731245	0.2529932	-1.982829486	CDNA FLJ34029 fis, clone FCBBF2003636
296	204562_at	IRF4	4.98E-05	0.0091987	2661.846284	926.4675053	2.8731135	1.522614986	interferon regulatory factor 4
297	236981_at	UNQ464	5.04E-05	0.0092782	44.6597344	333.8481516	0.1337726	-2.902145449	GLPG464
298	35974_at	LRMP	5.20E-05	0.0095406	5107.899733	11063.79348	0.4616771	-1.115043921	lymphoid-restricted membrane protein
299	213793_s_at	HOMER1	5.24E-05	0.0095818	497.8523985	223.8010875	2.2245307	1.153501009	homer homolog 1 (Drosophila)
300	201739_at	SGK1	5.49E-05	0.0100055	4772.48873	10105.85354	0.4722499	-1.082377604	serum/glucocorticoid regulated kinase 1
301	218692_at	GOLSYN	5.52E-05	0.0100268	129.0369134	530.8140246	0.2430925	-2.040422712	Golgi-localized protein
302	218051_s_at	NT5DC2	5.59E-05	0.010105	644.9430164	259.0925026	2.4892384	1.315704407	5-nucleotidase domain containing 2
303	202599_s_at	NRIP1	5.60E-05	0.010105	910.1754891	1771.75388	0.5137144	-0.96096158	nuclear receptor interacting protein 1
304	235310_at	GCET2	5.83E-05	0.0104854	415.1533458	920.5501631	0.4509839	-1.148852164	germinal center expressed transcript 2
305	222996_s_at	CXXC5	5.88E-05	0.0105406	2528.867949	1190.610915	2.1240087	1.086789675	CXXC finger 5
306	218331_s_at	C10orf18	5.92E-05	0.0105776	1816.472608	3382.841598	0.5369665	-0.89709601	chromosome 10 open reading frame 18
307	230175_s_at		5.99E-05	0.0106679	60.7528976	176.8120758	0.3436015	-1.54119176
308	210753_s_at	EPHB1	6.09E-05	0.0107934	218.003668	73.0656611	2.9836679	1.577086964	EPH receptor B1
309	243810_at		6.10E-05	0.0107934	87.614162	337.5853235	0.2595319	-1.946016219	Transcribed locus
310	209306_s_at	SWAP70	6.18E-05	0.0108997	3506.794965	7048.882095	0.4974966	-1.007241429	SWAP-70 protein
311	212654_at	TPM2	6.27E-05	0.0110042	135.3114857	30.9985301	4.3650936	2.12601259	tropomyosin 2 (beta)
312	213790_at		6.29E-05	0.0110042	66.4895739	256.341676	0.2593787	-1.946868084	CDNA FLJ31066 fis, clone HSYRA2001153
313	224820_at	FAM36A	6.32E-05	0.0110042	1451.325182	2263.885085	0.6410772	-0.641429995	family with sequence similarity 36, member A
314	223413_s_at	LYAR	6.33E-05	0.0110042	1708.315114	1029.333782	1.6596318	0.730863206	Ly1 antibody reactive homolog (mouse)
315	236226_at	BTLA	6.36E-05	0.0110042	1150.758884	443.5099457	2.5946631	1.375547226	B and T lymphocyte associated
316	208018_s_at	HCK	6.36E-05	0.0110042	3293.018437	1413.144142	2.3302778	1.220501954	hemopoietic cell kinase
317	213664_at	SLC1A1	6.49E-05	0.0111937	249.6665483	965.6550401	0.2585463	-1.951505436	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
318	228812_at		6.69E-05	0.0115024	2111.022799	3697.79367	0.5708871	-0.808722632	Transcribed locus
319	228215_at		6.73E-05	0.0115349	17.7123109	51.4235601	0.3444396	-1.537677077
320	239691_at	LOC196415	6.82E-05	0.0116526	83.9963605	224.153495	0.374727	-1.416088164	hypothetical protein LOC196415
321	226525_at		6.87E-05	0.0116821	4188.581464	6930.914466	0.6043332	-0.726583894	Transcribed locus
322	215688_at	RASGRF1	6.88E-05	0.0116821	296.7872987	136.1280366	2.180207	1.124465118	Ras protein-specific guanine nucleotide-releasing factor 1
323	212399_s_at	VGLL4	6.98E-05	0.0118152	1013.613855	1690.057222	0.5997512	-0.737563956	vestigial like 4 (Drosophila)
324	205356_at	USP13	7.07E-05	0.0118881	1295.790976	851.5846264	1.5216233	0.605611243	ubiquitin specific peptidase 13 (isopeptidase T-3)
325	204674_at	LRMP	7.08E-05	0.0118881	7899.803127	16239.63448	0.486452	-1.039630639	lymphoid-restricted membrane protein
326	1554161_at	SLC25A27	7.09E-05	0.0118881	24.8926619	97.9175591	0.2542206	-1.975847155	solute carrier family 25, member 27
327	235603_at	HNRNPU	7.11E-05	0.0118881	78.5637032	221.7716735	0.3542549	-1.497140286	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)
328	219733_s_at	SLC27A5	7.15E-05	0.0119185	613.3451675	253.6195294	2.4183673	1.274033377	solute carrier family 27 (fatty acid transporter), member 5
329	233955_x_at	CXXC5	7.19E-05	0.0119487	4312.293291	2000.863901	2.1552157	1.107832265	CXXC finger 5
330	226713_at	CCDC50	7.27E-05	0.0120087	678.9165973	346.0917876	1.9616663	0.972079645	coiled-coil domain containing 50
331	223220_s_at	PARP9	7.27E-05	0.0120087	2478.271109	1458.326608	1.6993937	0.765020122	poly (ADP-ribose) polymerase family, member 9
332	220230_s_at	CYB5R2	7.31E-05	0.0120384	1204.187338	336.0425942	3.5834366	1.84134383	cytochrome b5 reductase 2
333	204083_s_at	TPM2	7.38E-05	0.0121172	1907.701456	543.4753981	3.5101892	1.811548794	tropomyosin 2 (beta)
334	204604_at	PFTK1	7.47E-05	0.0121917	503.7201303	1204.753037	0.4181107	-1.258043131	PFTAIRE protein kinase 1
335	227506_at	SLC16A9	7.47E-05	0.0121917	270.4232053	71.4164727	3.7865662	1.920890151	solute carrier family 16, member 9 (monocarboxylic acid transporter 9)
336	209621_s_at	PDLIM3	7.73E-05	0.0125785	214.7638873	566.2955177	0.3792435	-1.398803641	PDZ and LIM domain 3
337	225622_at	PAG1	7.77E-05	0.0126061	555.4623231	1100.203751	0.5048722	-0.986009855	phosphoprotein associated with glycosphingolipid microdomains 1
338	219901_at	FGD6	8.00E-05	0.0129408	172.357487	443.0711716	0.3890063	-1.362134575	FYVE, RhoGEF and PH domain containing 6
339	208690_s_at	PDLIM1	8.06E-05	0.0129773	7258.162162	3580.703192	2.0270214	1.01936132	PDZ and LIM domain 1 (elfin)
340	230078_at	RAPGEF6	8.07E-05	0.0129773	2677.10395	3657.114444	0.7320263	-0.450032613	Rap guanine nucleotide exchange factor (GEF) 6
341	218984_at	PUS7	8.11E-05	0.0130034	1462.510437	788.4462309	1.8549273	0.891362645	pseudouridylate synthase 7 homolog (S. cerevisiae)
342	202092_s_at	ARL2BP	8.19E-05	0.0130932	796.6542653	1275.227246	0.6247155	-0.678728769	ADP-ribosylation factor-like 2 binding protein
343	218700_s_at	RAB7L1	8.23E-05	0.0131188	2771.612307	1166.809945	2.375376	1.248155897	RAB7, member RAS oncogene family-like 1
344	221030_s_at	ARHGAP24	8.30E-05	0.0131882	278.5853696	122.0213623	2.2830869	1.190985773	Rho GTPase activating protein 24
345	231621_at		8.34E-05	0.0131882	84.146865	30.8369549	2.728767	1.448249213	Transcribed locus
346	219310_at	C20orf39	8.35E-05	0.0131882	77.0952803	162.8440638	0.4734301	-1.078776661	chromosome 20 open reading frame 39
347	218454_at	FLJ22662	8.37E-05	0.0131882	3276.032373	1415.470113	2.3144483	1.210668336	hypothetical protein FLJ22662
348	213136_at	PTPN2	8.43E-05	0.0132223	5109.264194	3523.965454	1.4498622	0.535915788	protein tyrosine phosphatase, non-receptor type 2
349	225415_at	DTX3L	8.44E-05	0.0132223	4533.011214	2447.35597	1.8522076	0.889245808	deltex 3-like (Drosophila)
350	227974_at		8.58E-05	0.0133962	69.8633573	178.5255218	0.3913354	-1.353522473	Transcribed locus
351	235068_at	ZDHHC21	8.60E-05	0.0133962	696.5463913	337.8448186	2.0617347	1.043858701	zinc finger, DHHC-type containing 21
352	234284_at	GNG8	8.71E-05	0.013529	26.2341221	135.2532103	0.193963	-2.366146622	guanine nucleotide binding protein (G protein), gamma 8
353	219655_at	C7orf10	8.74E-05	0.0135371	29.4487207	140.0707015	0.2102418	-2.249878562	chromosome 7 open reading frame 10
354	206227_at	CILP	8.82E-05	0.0136224	255.9524352	1068.698063	0.2394993	-2.061906656	cartilage intermediate layer protein, nucleotide pyrophosphohydrolase
355	212687_at	LIMS1	8.86E-05	0.0136456	4866.672986	7729.846375	0.629595	-0.667504011	LIM and senescent cell antigen-like domains 1
356	209469_at	GPM6A	9.01E-05	0.0138142	461.5695415	84.4689978	5.4643663	2.450054197	glycoprotein M6A
357	212060_at	SR140	9.02E-05	0.0138142	1562.387814	1100.670925	1.4194868	0.505369433	U2-associated SR140 protein
358	201649_at	UBE2L6	9.31E-05	0.0142094	8272.163067	4896.981662	1.6892371	0.756371838	ubiquitin-conjugating enzyme E2L 6
359	227572_at	USP30	9.33E-05	0.0142094	252.2809253	420.2508017	0.6003104	-0.736219433	ubiquitin specific peptidase 30
360	226190_at		9.42E-05	0.0143066	4806.078549	2197.75938	2.1868083	1.128826756	Homo sapiens, clone IMAGE:4294444, mRNA
361	238483_at		9.55E-05	0.0144639	38.8285615	92.1784142	0.4212327	-1.247310659	MRNA; clone CD 43T7
362	229070_at	C6orf105	9.85E-05	0.014877	1723.358152	642.1262455	2.6838307	1.424293667	chromosome 6 open reading frame 105
363	226264_at	SUSD1	0.0001002	0.0150921	829.2474992	414.6105734	2.0000636	1.000045877	sushi domain containing 1
364	219002_at	FASTKD1	0.0001009	0.0151442	2552.620881	1720.630498	1.4835381	0.569041978	FAST kinase domains 1
365	242794_at	MAML3	0.0001011	0.0151442	74.4538062	348.179383	0.2138375	-2.225413219	mastermind-like 3 (Drosophila)
366	228837_at	TCF4	0.0001014	0.0151477	685.1086656	289.0859453	2.3699134	1.244834342	transcription factor 4
367	203500_at	GCDH	0.0001022	0.0151908	767.0888616	554.7791536	1.3826923	0.467480139	glutaryl-Coenzyme A dehydrogenase
368	201260_s_at	SYPL1	0.0001025	0.0151908	3150.889626	5007.081669	0.6292866	-0.668210872	synaptophysin-like 1
369	217850_at	GNL3	0.0001027	0.0151908	3519.43836	2116.938417	1.6625133	0.733365882	guanine nucleotide binding protein-like 3 (nucleolar)
370	209825_s_at	UCK2	0.0001028	0.0151908	1248.839927	637.1777502	1.9599553	0.970820752	uridine-cytidine kinase 2
371	204867_at	GCHFR	0.0001054	0.0155206	842.7133403	1946.527874	0.4329316	-1.207788987	GTP cyclohydrolase I feedback regulator
372	211559_s_at	CCNG2	0.0001056	0.0155206	412.4886824	923.7492997	0.4465375	-1.163146758	cyclin G2
373	1554343_a_at	STAP1	0.0001061	0.0155523	795.1404158	1855.795913	0.4284633	-1.222756459	signal transducing adaptor family member 1
374	226142_at	GLIPR1	0.0001073	0.0156862	551.1136354	983.6679864	0.5602639	-0.835821558	GLI pathogenesis-related 1 (glioma)
375	228261_at	MIB2	0.0001076	0.0156881	343.6776194	128.8442346	2.6673884	1.415427912	mindbomb homolog 2 (Drosophila)
376	235898_at		0.0001082	0.0157336	60.6748058	121.3399122	0.50004	-0.999884589	Transcribed locus
377	205671_s_at	HLA-DOB	0.0001088	0.0157789	1297.539183	3256.895729	0.3983975	-1.327719501	major histocompatibility complex, class II, DO beta
378	221478_at	BNIP3L	0.0001112	0.0160843	3701.422232	5396.218388	0.6859289	-0.543869053	BCL2/adenovirus E1B 19kDa interacting protein 3-like
379	225991_at	TMEM41A	0.0001125	0.0162294	713.6704592	513.490125	1.3898426	0.474921507	transmembrane protein 41A
380	227852_at	RP9	0.0001144	0.0164601	1715.406009	1057.893313	1.6215303	0.697355982	retinitis pigmentosa 9 (autosomal dominant)
381	202321_at	GGPS1	0.0001149	0.0164886	298.7143881	433.818266	0.6885703	-0.53832414	geranylgeranyl diphosphate synthase 1
382	218181_s_at	MAP4K4	0.0001162	0.0166315	695.8428221	1355.746787	0.5132543	-0.962254286	mitogen-activated protein kinase kinase kinase kinase 4
383	32128_at	CCL18	0.0001166	0.0166452	11172.35694	3850.036936	2.9018831	1.536989403	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)
384	227539_at		0.0001174	0.0167157	964.2850802	1553.523987	0.6207082	-0.68801289	MRNA; cDNA DKFZp686I20201 (from clone DKFZp686I20201)
385	209325_s_at	RGS16	0.0001191	0.0169137	228.5100619	433.6310314	0.5269689	-0.924210274	regulator of G-protein signaling 16
386	229339_at		0.0001195	0.0169266	221.9639833	58.9897575	3.7627546	1.911789203	Transcribed locus
387	237321_at		0.0001201	0.0169676	101.026332	367.7611442	0.2747064	-1.864037573
388	202729_s_at	LTBP1	0.0001209	0.0170069	376.9919175	795.2060089	0.4740808	-1.076795129	latent transforming growth factor beta binding protein 1
389	202625_at	LYN	0.000121	0.0170069	6547.268882	4192.640699	1.5616098	0.643034012	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
390	212599_at	AUTS2	0.0001219	0.0170877	262.5435217	848.2727174	0.3095037	-1.691971438	autism susceptibility candidate 2
391	1552735_at	PCDHGA4	0.0001222	0.0170877	122.8751231	396.5299167	0.309876	-1.690237073	protocadherin gamma subfamily A, 4
392	225464_at	FRMD6	0.0001227	0.0171138	294.7316543	622.1768297	0.4737104	-1.077922749	FERM domain containing 6
393	222514_at	RRAGC	0.0001246	0.0173323	2341.691013	1686.00805	1.3888967	0.473939302	Ras-related GTP binding C
394	203520_s_at	ZNF318	0.0001249	0.0173323	108.189212	286.7899324	0.377242	-1.406437788	zinc finger protein 318
395	212959_s_at	GNPTAB	0.0001296	0.0179389	4046.145452	2661.517484	1.52024	0.6042991	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits
396	208456_s_at	RRAS2	0.0001304	0.0179783	519.0303058	1295.263171	0.4007142	-1.31935446	related RAS viral (r-ras) oncogene homolog 2
397	203422_at	POLD1	0.0001307	0.0179783	945.4525411	519.1173914	1.8212692	0.864944181	polymerase (DNA directed), delta 1, catalytic subunit 125kDa
398	202367_at	CUX1	0.0001311	0.0179783	377.8934354	807.5704627	0.4679387	-1.095608546	cut-like homeobox 1
399	1558604_a_at		0.0001312	0.0179783	65.3612261	160.8232678	0.4064165	-1.29896912	MRNA; clone CD 43T7
400	219279_at	DOCK10	0.0001321	0.018025	2294.322379	1178.362587	1.9470428	0.961284598	dedicator of cytokinesis 10
401	227983_at	RILPL2	0.0001322	0.018025	3210.875309	1963.305851	1.6354433	0.709681743	Rab interacting lysosomal protein-like 2
402	204062_s_at	ULK2	0.0001326	0.0180346	346.9084023	185.1503015	1.8736583	0.905857872	unc-51-like kinase 2 (C. elegans)
403	243888_at		0.0001332	0.0180712	229.5829494	122.2596443	1.877831	0.90906723	Transcribed locus
