Rank	Parametric p-value	FDR	Geom mean of intensities in Controls	Geom mean of intensities 1.25 Gy	Geom mean of intensities 3.75 Gy	Unique id	Description	Gene symbol
383	0.0000042	0.0002161	226.1598539	117.152795	86.677696	A_24_P860662	Ig heavy chain V-I region HG3 precursor. [Source:Uniprot/SWISSPROT;Acc:P01743] [ENST00000379884]	ENST00000379884
384	0.0000043	0.0002195	70.2406606	55.2951481	40.0161562	A_23_P208812	Homo sapiens zinc finger protein 507 (ZNF507), mRNA [NM_014910]	ZNF507
385	0.0000043	0.0002195	44.2589472	36.9696747	24.6457883	A_23_P202392	Homo sapiens suppressor of variegation 3-9 homolog 2 (Drosophila) (SUV39H2), mRNA [NM_024670]	SUV39H2
386	0.0000043	0.0002195	224.1523819	114.0435041	102.4483599	A_23_P420873	Homo sapiens nuclear receptor subfamily 1, group D, member 1 (NR1D1), mRNA [NM_021724]	NR1D1
387	0.0000044	0.0002229	19.0414144	42.9385571	40.3700721	A_23_P123503	Homo sapiens tribbles homolog 1 (Drosophila) (TRIB1), mRNA [NM_025195]	TRIB1
388	0.0000044	0.0002229	265.8260964	217.3445115	123.7810399	A_23_P151267	Homo sapiens LIM domain and actin binding 1 (LIMA1), mRNA [NM_016357]	LIMA1
389	0.0000044	0.0002229	33.6062396	19.400608	14.6132486	A_32_P58668	Unknown	THC2505214
390	0.0000045	0.0002274	28.1900515	16.4503978	11.6440729	A_24_P273014	Unknown	A_24_P273014
391	0.0000046	0.0002318	2191.954952	1367.203187	1094.846375	A_23_P310421	Homo sapiens carbohydrate (chondroitin 4) sulfotransferase 12 (CHST12), mRNA [NM_018641]	CHST12
392	0.0000047	0.000235	873.7694406	1236.578097	1248.92046	A_23_P45294	Homo sapiens chromosome X open reading frame 39 (CXorf39), mRNA [NM_207318]	CXorf39
393	0.0000047	0.000235	1698.260026	1250.903958	657.0350414	A_24_P203000	Homo sapiens interleukin 2 receptor, beta (IL2RB), mRNA [NM_000878]	IL2RB
394	0.0000047	0.000235	299.4330841	272.1517167	133.124471	A_23_P369815	Homo sapiens Fas ligand (TNF superfamily, member 6) (FASLG), mRNA [NM_000639]	FASLG
395	0.0000048	0.0002394	233.5523905	141.9117232	124.6906153	A_23_P304991	Homo sapiens holocarboxylase synthetase (biotin-(proprionyl-Coenzyme A-carboxylase (ATP-hydrolysing)) ligase) (HLCS), mRNA [NM_000411]	HLCS
396	0.0000049	0.0002432	1373.60604	969.4448719	690.9046576	A_23_P53247	Homo sapiens deltex 3 homolog (Drosophila) (DTX3), mRNA [NM_178502]	DTX3
397	0.0000049	0.0002432	64.9414372	38.6321464	29.9762356	A_23_P138693	Homo sapiens N-myristoyltransferase 2 (NMT2), mRNA [NM_004808]	NMT2
398	0.000005	0.0002469	684.0668426	463.5230208	427.4730117	A_23_P204048	Homo sapiens dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2 (DYRK2), transcript variant 2, mRNA [NM_006482]	DYRK2
399	0.000005	0.0002469	626.2651135	816.9172848	1225.462405	A_23_P65262	Human BRCA2 region, mRNA sequence CG016. [U50529]	RP11-298P3.3
400	0.0000051	0.0002512	1311.166225	819.4704994	494.7449797	A_23_P363399	Homo sapiens solute carrier family 38, member 1 (SLC38A1), transcript variant 1, mRNA [NM_030674]	SLC38A1
401	0.0000052	0.0002555	29.4749159	46.1330093	56.6373243	A_23_P377982	Homo sapiens hypothetical protein FLJ36031 (FLJ36031), mRNA [NM_175884]	FLJ36031
402	0.0000053	0.0002598	303.51922	204.385587	132.0063796	A_24_P200427	Homo sapiens phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase (PAICS), transcript variant 1, mRNA [NM_001079525]	PAICS
403	0.0000054	0.000264	28.9882644	21.9249201	14.2145411	A_23_P82738	Homo sapiens RAD54 homolog B (S. cerevisiae) (RAD54B), mRNA [NM_012415]	RAD54B
404	0.0000055	0.0002669	716.6682193	427.0926875	211.2382957	A_23_P258088	Homo sapiens protein kinase C and casein kinase substrate in neurons 1 (PACSIN1), mRNA [NM_020804]	PACSIN1
405	0.0000055	0.0002669	262.0830438	175.5410987	145.5616827	A_23_P27947	Homo sapiens programmed cell death 2-like (PDCD2L), mRNA [NM_032346]	PDCD2L
406	0.0000055	0.0002669	601.6972241	796.9059522	906.1192998	A_23_P424080	Homo sapiens Yip1 domain family, member 4 (YIPF4), mRNA [NM_032312]	YIPF4
407	0.0000057	0.0002746	43.4690393	72.3532784	93.0853325	A_23_P113283	Homo sapiens zinc finger, matrin type 3 (ZMAT3), transcript variant 1, mRNA [NM_022470]	ZMAT3
408	0.0000057	0.0002746	3621.665938	7339.115318	7037.959449	A_23_P19333	Homo sapiens triggering receptor expressed on myeloid cells 1 (TREM1), mRNA [NM_018643]	TREM1
409	0.0000057	0.0002746	818.58859	1278.131972	1159.382952	A_23_P159012	Homo sapiens ankyrin repeat, family A (RFXANK-like), 2 (ANKRA2), mRNA [NM_023039]	ANKRA2
410	0.0000058	0.0002781	917.7073392	1393.08097	1733.35764	A_24_P76831	Homo sapiens solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1 (SLC11A1), mRNA [NM_000578]	SLC11A1
411	0.0000058	0.0002781	212.5088809	119.2429017	99.6044786	A_23_P371076	Krueppel-like factor 12 (Transcriptional repressor AP-2rep). [Source:Uniprot/SWISSPROT;Acc:Q9Y4X4] [ENST00000342812]	ENST00000342812
412	0.0000059	0.0002822	172.8205959	295.4747597	263.5898548	A_23_P367899	Homo sapiens erythropoietin receptor (EPOR), mRNA [NM_000121]	EPOR
413	0.000006	0.0002863	35.2134193	56.0193861	81.876894	A_23_P345820	Homo sapiens WD repeat and FYVE domain containing 3 (WDFY3), transcript variant 1, mRNA [NM_014991]	WDFY3
414	0.0000061	0.0002896	1940.898175	1743.571153	2923.664202	A_23_P400378	Homo sapiens G protein-coupled bile acid receptor 1 (GPBAR1), transcript variant 1, mRNA [NM_001077191]	GPBAR1
415	0.0000061	0.0002896	630.005547	456.4019931	398.6463711	A_23_P428992	full-length cDNA clone CS0DC008YD20 of Neuroblastoma Cot 25-normalized of Homo sapiens (human). [CR606044]	ENST00000382579
416	0.0000062	0.0002937	12265.40799	20076.00981	19597.13163	A_23_P42746	Homo sapiens neutrophil cytosolic factor 1, (chronic granulomatous disease, autosomal 1) (NCF1), mRNA [NM_000265]	NCF1
417	0.0000063	0.0002977	125.705067	68.8781348	52.3403906	A_24_P161764	Human (cell line: s6BG8) Ig rearranged H-chain mRNA V-region, partial cds. [L04336]	L04336
418	0.0000065	0.0003064	524.4895327	400.3662031	282.4253618	A_23_P258964	Homo sapiens isoleucine-tRNA synthetase (IARS), transcript variant long, mRNA [NM_013417]	IARS
419	0.0000066	0.0003104	69.8997574	61.3166688	46.5713282	A_23_P203829	Homo sapiens zinc finger protein 10 (ZNF10), mRNA [NM_015394]	ZNF10
420	0.0000067	0.0003143	90.5161581	62.9631433	51.8253245	A_23_P165355	Homo sapiens phenylalanine-tRNA synthetase-like, beta subunit (FARSLB), mRNA [NM_005687]	FARSLB
421	0.0000068	0.0003175	85.7439611	62.3588563	41.8371935	A_23_P377141	Homo sapiens vacuolar protein sorting 13 homolog A (S. cerevisiae) (VPS13A), transcript variant B, mRNA [NM_015186]	VPS13A
422	0.0000068	0.0003175	285.0902404	191.7621988	133.3399596	A_23_P52058	Homo sapiens Tar (HIV-1) RNA binding protein 1 (TARBP1), mRNA [NM_005646]	TARBP1
423	0.0000069	0.0003214	46.8919258	41.8160478	20.4173176	A_23_P420551	Homo sapiens citron (rho-interacting, serine/threonine kinase 21) (CIT), mRNA [NM_007174]	CIT
424	0.000007	0.0003253	2929.079407	2321.231439	1826.462809	A_23_P346093	Homo sapiens mRNA for FLJ00400 protein. [AK090478]	TMC8
425	0.0000071	0.0003284	12520.67385	20048.07412	18861.83421	A_23_P214222	Homo sapiens myristoylated alanine-rich protein kinase C substrate (MARCKS), mRNA [NM_002356]	MARCKS
426	0.0000071	0.0003284	133.445396	98.8837678	53.4873467	A_23_P397937	Homo sapiens sterile alpha motif domain containing 3 (SAMD3), transcript variant 2, mRNA [NM_152552]	SAMD3
427	0.0000072	0.0003322	357.4885088	307.6160268	666.0579282	A_24_P192994	Homo sapiens fatty acid desaturase 1 (FADS1), mRNA [NM_013402]	FADS1
428	0.0000073	0.0003361	176.7454489	115.2030813	70.4666836	A_23_P109913	Homo sapiens chemokine (C-X-C motif) receptor 6 (CXCR6), mRNA [NM_006564]	CXCR6
429	0.0000074	0.0003399	39.5134318	52.9745133	68.2977785	A_23_P139632	Homo sapiens glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID) (GNS), mRNA [NM_002076]	GNS
430	0.0000075	0.0003437	322.186142	264.2608139	148.1508665	A_23_P217098	Homo sapiens vacuolar protein sorting 13 homolog A (S. cerevisiae) (VPS13A), transcript variant A, mRNA [NM_033305]	VPS13A
431	0.0000076	0.0003474	75.4294093	48.4741258	35.066748	A_23_P405761	Homo sapiens related RAS viral (r-ras) oncogene homolog 2 (RRAS2), mRNA [NM_012250]	RRAS2
432	0.0000077	0.0003496	369.1702684	248.231434	173.3264272	A_23_P354151	Homo sapiens IL2-inducible T-cell kinase (ITK), mRNA [NM_005546]	ITK
433	0.0000077	0.0003496	162.0596886	219.2586777	275.6604003	A_24_P65722	Homo sapiens leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 4 (LILRB4), mRNA [NM_006847]	LILRB4
434	0.0000077	0.0003496	360.8231933	246.60837	216.1036532	A_24_P4212	Homo sapiens pyrroline-5-carboxylate reductase-like (PYCRL), mRNA [NM_023078]	PYCRL
435	0.0000079	0.000357	2070.707375	2831.589921	4361.081915	A_32_P226786	Homo sapiens cDNA clone IMAGE:5273245. [BC045174]	BC045174
436	0.0000079	0.000357	9614.834476	12195.55354	16861.84543	A_24_P251053	Homo sapiens EF-hand domain family, member D2 (EFHD2), mRNA [NM_024329]	EFHD2
437	0.0000083	0.0003734	472.3412409	291.0665139	238.9798177	A_24_P942786	Homo sapiens cDNA: FLJ21217 fis, clone COL00536. [AK024870]	AK024870
438	0.0000083	0.0003734	215.4918278	133.7935086	104.6251457	A_23_P62652	Homo sapiens signaling lymphocytic activation molecule family member 1 (SLAMF1), mRNA [NM_003037]	SLAMF1
439	0.0000084	0.0003753	1368.016773	1032.222708	795.3207951	A_23_P25121	Homo sapiens FK506 binding protein 11, 19 kDa (FKBP11), mRNA [NM_016594]	FKBP11
440	0.0000084	0.0003753	916.6546846	831.5443726	1893.770279	A_23_P130974	Homo sapiens KIAA1683 (KIAA1683), mRNA [NM_025249]	KIAA1683
441	0.0000084	0.0003753	143.3516727	106.50639	72.0458171	A_32_P203728	Unknown	THC2631297
442	0.0000085	0.0003789	605.3134416	458.9184328	282.3253643	A_23_P68031	Homo sapiens signal transducer and activator of transcription 4 (STAT4), mRNA [NM_003151]	STAT4
443	0.0000086	0.0003808	110.8632544	75.0860097	63.3675366	A_32_P179807	Unknown	A_32_P179807
444	0.0000086	0.0003808	462.859719	336.3298457	519.6351925	A_32_P26721	Unknown	A_32_P26721
445	0.0000086	0.0003808	3966.405787	7046.322877	6208.034796	A_24_P252497	Homo sapiens tribbles homolog 1 (Drosophila) (TRIB1), mRNA [NM_025195]	TRIB1
446	0.0000087	0.0003826	1036.034668	831.4557259	602.6754465	A_23_P318581	Homo sapiens mRNA for KIAA1430 protein, partial cds. [AB037851]	KIAA1430
447	0.0000087	0.0003826	532.1523145	847.2900523	642.3501336	A_23_P41645	Homo sapiens elongation factor, RNA polymerase II, 2 (ELL2), mRNA [NM_012081]	ELL2
448	0.0000087	0.0003826	25.5322064	34.8437544	46.0650444	A_24_P333644	Homo sapiens synaptonemal complex protein 2 (SYCP2), mRNA [NM_014258]	SYCP2
449	0.0000088	0.0003862	167.0795203	97.2641429	64.4236357	A_24_P234921	Homo sapiens chemokine (C-C motif) receptor 6 (CCR6), transcript variant 2, mRNA [NM_031409]	CCR6
450	0.0000089	0.0003897	85.3888464	52.3998033	37.2054654	A_23_P215070	Homo sapiens testis specific, 14 (TSGA14), mRNA [NM_018718]	TSGA14
451	0.000009	0.0003923	72.9827022	38.9881245	38.0443303	A_24_P85418	Homo sapiens cDNA clone IMAGE:5310797. [BC041996]	BC041996
452	0.000009	0.0003923	362.4724414	752.7033082	544.1655109	A_23_P383764	Homo sapiens clone IMAGE:110749 mRNA sequence. [AF143328]	OR52K3P
453	0.0000092	0.0003984	2331.494946	2432.805729	3542.870893	A_24_P921823	Transcription factor 7-like 2 (HMG box transcription factor 4) (T- cell-specific transcription factor 4) (TCF-4) (hTCF-4). [Source:Uniprot/SWISSPROT;Acc:Q9NQB0] [ENST00000369397]	TCF7L2
454	0.0000092	0.0003984	16135.38403	25636.14697	25742.79745	A_32_P116203	Homo sapiens neutrophil cytosolic factor 1, (chronic granulomatous disease, autosomal 1) (NCF1), mRNA [NM_000265]	NCF1
455	0.0000092	0.0003984	1785.20358	1132.934759	976.6205964	A_24_P6725	Ankyrin repeat domain-containing protein 36A. [Source:Uniprot/SWISSPROT;Acc:Q6UX02] [ENST00000288911]	ENST00000288911
456	0.0000094	0.0004062	554.6683269	389.8847808	317.1041168	A_23_P35099	Homo sapiens mRNA turnover 4 homolog (S. cerevisiae) (MRT4), mRNA [NM_016183]	MRT4
457	0.0000096	0.0004139	8103.525244	12656.73425	6999.298581	A_24_P299318	Homo sapiens family with sequence similarity 101, member B (FAM101B), mRNA [NM_182705]	FAM101B
458	0.0000098	0.0004216	57.8019977	82.4730706	89.589842	A_23_P257988	Homo sapiens sentrin-specific protease (SENP2) mRNA, complete cds. [AF151697]	SENP2
459	0.00001	0.0004293	253.7665295	180.1566059	98.3834157	A_24_P945283	Homo sapiens discs, large homolog 3 (neuroendocrine-dlg, Drosophila) (DLG3), transcript variant 1, mRNA [NM_021120]	DLG3
460	0.0000101	0.0004326	48.257267	49.3887773	86.2060266	A_32_P98732	Homo sapiens glial cells missing homolog 1 (Drosophila) (GCM1), mRNA [NM_003643]	GCM1
461	0.0000102	0.000436	54.0848897	27.6409098	18.3479334	A_24_P203056	Homo sapiens B-cell CLL/lymphoma 7A (BCL7A), transcript variant 1, mRNA [NM_020993]	BCL7A
462	0.0000104	0.0004436	306.1995231	205.6856596	128.9016312	A_32_P127978	Homo sapiens IKAROS family zinc finger 2 (Helios) (IKZF2), transcript variant 2, mRNA [NM_001079526]	IKZF2
463	0.0000105	0.0004469	176.2507352	127.5145269	75.344122	A_23_P217187	Unknown	A_23_P217187
464	0.0000106	0.0004492	21.8367007	45.908262	20.0262656	A_23_P304356	Homo sapiens C-type lectin domain family 5, member A (CLEC5A), mRNA [NM_013252]	CLEC5A
465	0.0000106	0.0004492	847.5031622	581.5154663	503.0646747	A_23_P91991	Homo sapiens oxidoreductase NAD-binding domain containing 1 (OXNAD1), mRNA [NM_138381]	OXNAD1
466	0.0000107	0.0004505	133.7066986	201.0758769	241.8579175	A_23_P411188	Homo sapiens cholinergic receptor, nicotinic, alpha 10 (CHRNA10), mRNA [NM_020402]	CHRNA10
467	0.0000107	0.0004505	763.6933333	1200.430801	1164.39669	A_23_P4561	Homo sapiens serpin peptidase inhibitor, clade B (ovalbumin), member 8 (SERPINB8), transcript variant 2, mRNA [NM_198833]	SERPINB8
468	0.0000107	0.0004505	17.3179036	26.1682982	42.0105857	A_24_P126406	Homo sapiens dynein, axonemal, heavy chain 17 (DNAH17), mRNA [NM_003727]	DNAH17
469	0.0000108	0.0004528	691.1405998	829.5896555	1440.444089	A_23_P127385	Homo sapiens myosin binding protein C, cardiac (MYBPC3), mRNA [NM_000256]	MYBPC3
470	0.0000108	0.0004528	46.4576752	71.4019838	36.8737488	A_32_P224840	Homo sapiens fused toes homolog (mouse) (FTS), transcript variant 1, mRNA [NM_001012398]	FTS
471	0.0000111	0.0004634	1138.93849	903.9823862	682.2683199	A_23_P13364	Homo sapiens nucleobindin 2 (NUCB2), mRNA [NM_005013]	NUCB2
472	0.0000111	0.0004634	294.9176696	152.8163563	119.3021385	A_23_P21393	Unknown	A_23_P21393
473	0.0000113	0.0004697	4765.82957	2852.250508	7015.785302	A_23_P428129	Homo sapiens cyclin-dependent kinase inhibitor 1C (p57, Kip2) (CDKN1C), mRNA [NM_000076]	CDKN1C
474	0.0000113	0.0004697	677.0525799	1487.051008	1325.03213	A_23_P106194	Homo sapiens v-fos FBJ murine osteosarcoma viral oncogene homolog (FOS), mRNA [NM_005252]	FOS
475	0.0000114	0.0004729	125.9077551	89.5206386	74.0668891	A_24_P102362	Zinc finger protein 553. [Source:Uniprot/SWISSPROT;Acc:Q96MX3] [ENST00000320159]	ZNF553
476	0.0000115	0.000476	5027.895358	8532.102727	10800.4917	A_23_P321703	Homo sapiens BCL2-related protein A1 (BCL2A1), mRNA [NM_004049]	BCL2A1
477	0.0000117	0.0004833	505.4224248	661.417255	769.6144476	A_23_P218835	Homo sapiens karyopherin alpha 4 (importin alpha 3) (KPNA4), mRNA [NM_002268]	KPNA4
478	0.0000119	0.0004905	2063.246443	1441.48406	1221.130404	A_23_P157495	Homo sapiens protein phosphatase 3 (formerly 2B), catalytic subunit, gamma isoform (calcineurin A gamma) (PPP3CC), mRNA [NM_005605]	PPP3CC
479	0.000012	0.0004936	1210.998799	2187.29064	2020.092438	A_24_P355816	Homo sapiens damage-regulated autophagy modulator (DRAM), mRNA [NM_018370]	DRAM
480	0.0000122	0.0004987	3976.941891	3120.036913	2563.808054	A_32_P188674	Homo sapiens nucleophosmin (nucleolar phosphoprotein B23, numatrin) (NPM1), transcript variant 1, mRNA [NM_002520]	NPM1
481	0.0000122	0.0004987	362.6636254	295.3511428	163.2092509	A_23_P13031	Homo sapiens cathepsin W (CTSW), mRNA [NM_001335]	CTSW
482	0.0000122	0.0004987	568.1831073	378.8013068	307.460173	A_24_P203630	Ankyrin repeat domain-containing protein 36B. [Source:Uniprot/SWISSPROT;Acc:Q8N2N9] [ENST00000377003]	ENST00000377003
483	0.0000123	0.0005018	75.2227409	91.2639335	140.5298632	A_23_P52657	Glycogen phosphorylase, muscle form (EC 2.4.1.1) (Myophosphorylase). [Source:Uniprot/SWISSPROT;Acc:P11217] [ENST00000377444]	PYGM
484	0.0000124	0.0005037	472.2060105	289.1843727	246.3359689	A_23_P129466	Homo sapiens activating transcription factor 7 interacting protein 2 (ATF7IP2), mRNA [NM_024997]	ATF7IP2
485	0.0000124	0.0005037	923.7923232	1215.872774	1287.170407	A_24_P73178	Homo sapiens proline rich 13 (PRR13), transcript variant 3, mRNA [NM_001005354]	PRR13
486	0.0000125	0.0005037	372.3533318	456.7457319	617.5264545	A_23_P323685	Homo sapiens histone cluster 1, H4h (HIST1H4H), mRNA [NM_003543]	HIST1H4H
487	0.0000125	0.0005037	75.9428201	58.8008476	147.8475419	A_24_P755069	Unknown	A_24_P755069
488	0.0000125	0.0005037	2488.548295	1732.103492	1411.573185	A_23_P1594	Homo sapiens vascular endothelial growth factor B (VEGFB), mRNA [NM_003377]	VEGFB
489	0.0000125	0.0005037	109.3685558	164.355484	163.129572	A_23_P350467	Homo sapiens mitogen-activated protein kinase-activated protein kinase 2 (MAPKAPK2), transcript variant 1, mRNA [NM_004759]	MAPKAPK2
490	0.0000126	0.0005067	150.8557964	299.2198562	385.528518	A_23_P150053	Homo sapiens actin, alpha 2, smooth muscle, aorta (ACTA2), mRNA [NM_001613]	ACTA2
491	0.0000127	0.0005086	80.4758109	70.1537634	44.2318274	A_32_P82863	CDNA FLJ27459 fis, clone TST05904. (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q6ZNN0] [ENST00000330692]	DKFZp779O175
492	0.0000127	0.0005086	650.2661021	555.8864107	418.9272993	A_24_P275828	Homo sapiens per1-like domain containing 1 (PERLD1), mRNA [NM_033419]	PERLD1
493	0.0000128	0.0005116	188.4344202	127.4770975	89.6424874	A_23_P88095	Homo sapiens TBC1 domain family, member 4 (TBC1D4), mRNA [NM_014832]	TBC1D4
494	0.0000129	0.0005145	613.934081	463.1684153	316.0846274	A_23_P97265	Homo sapiens G patch domain containing 4 (GPATCH4), transcript variant 2, mRNA [NM_182679]	GPATCH4
495	0.0000131	0.0005202	1313.164111	1621.452564	2217.515557	A_23_P110116	Homo sapiens SH3-domain binding protein 2 (SH3BP2), mRNA [NM_003023]	SH3BP2
496	0.0000131	0.0005202	615.7228202	407.2977687	298.8690056	A_23_P76078	Homo sapiens interleukin 23, alpha subunit p19 (IL23A), mRNA [NM_016584]	IL23A
497	0.0000132	0.0005202	287.1960871	210.4205427	163.2408447	A_23_P306964	Homo sapiens septin 11 (SEPT11), mRNA [NM_018243]	38605
498	0.0000132	0.0005202	482.1285399	532.4307368	785.2757172	A_23_P154585	Homo sapiens sorting nexin family member 21 (SNX21), transcript variant 4, mRNA [NM_001042633]	SNX21
499	0.0000132	0.0005202	398.3746247	235.0899188	184.9883479	A_32_P30434	Unknown	THC2663361
500	0.0000132	0.0005202	250.730708	211.2686174	102.571896	A_24_P396167	Homo sapiens cathepsin W (CTSW), mRNA [NM_001335]	CTSW
501	0.0000134	0.000527	887.4610556	612.4709507	434.5138634	A_23_P26124	Homo sapiens RAR-related orphan receptor A (RORA), transcript variant 2, mRNA [NM_134260]	RORA
502	0.0000135	0.0005299	100.8150283	53.3694326	31.4023543	A_23_P354341	Homo sapiens CD160 molecule (CD160), mRNA [NM_007053]	CD160
503	0.0000137	0.0005367	115.7894334	80.7028449	72.9200385	A_23_P209066	Q569K0_HUMAN (Q569K0) ZNF599 protein, partial (84%) [THC2616195]	THC2616195
504	0.0000139	0.0005423	71.9999193	52.8138114	43.7789267	A_32_P232381	BX095032 Soares breast 2NbHBst Homo sapiens cDNA clone IMAGp998E17244, mRNA sequence [BX095032]	BX095032
505	0.0000139	0.0005423	414.8685317	352.1787869	240.729991	A_24_P360078	Homo sapiens LPS-responsive vesicle trafficking, beach and anchor containing (LRBA), mRNA [NM_006726]	LRBA
506	0.000014	0.0005452	1313.995098	922.2399727	753.1675685	A_23_P309850	Homo sapiens RNA pseudouridylate synthase domain containing 2 (RPUSD2), mRNA [NM_152260]	RPUSD2
507	0.0000141	0.0005469	51.647175	72.5296161	126.4892498	A_24_P686975	Homo sapiens cDNA clone IMAGE:5273245. [BC045174]	BC045174
508	0.0000141	0.0005469	15438.87123	13067.39927	8742.562009	A_23_P161076	Homo sapiens CD2 molecule (CD2), mRNA [NM_001767]	CD2
509	0.0000142	0.0005486	11.3231447	24.4925465	27.1478187	A_23_P502750	Homo sapiens Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse) (MDM2), transcript variant MDM2, mRNA [NM_002392]	MDM2
510	0.0000142	0.0005486	109.7002687	137.821779	190.1374714	A_23_P53397	Homo sapiens Sp1 transcription factor (SP1), mRNA [NM_138473]	SP1
511	0.0000144	0.0005553	10220.15766	7148.017451	6436.317957	A_23_P76529	Homo sapiens integrin, beta 7 (ITGB7), mRNA [NM_000889]	ITGB7
512	0.0000145	0.000558	33.6758243	47.0517673	60.4196705	A_32_P18357	Homo sapiens cDNA FLJ46718 fis, clone TRACH3018240. [AK128559]	C14orf10
513	0.0000146	0.0005586	187.1460051	376.4629246	317.6412508	A_24_P250922	Homo sapiens prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase) (PTGS2), mRNA [NM_000963]	PTGS2
514	0.0000146	0.0005586	823.8914441	974.5267872	1329.305106	A_23_P6151	Homo sapiens pleiomorphic adenoma gene-like 2 (PLAGL2), mRNA [NM_002657]	PLAGL2
515	0.0000146	0.0005586	564.290286	761.2227771	853.4482395	A_23_P253434	Homo sapiens fibronectin type III domain containing 3B (FNDC3B), mRNA [NM_022763]	FNDC3B
516	0.0000147	0.0005602	449.7023894	294.3922839	236.0214849	A_32_P28939	Homo sapiens alkB, alkylation repair homolog 2 (E. coli) (ALKBH2), mRNA [NM_001001655]	ALKBH2
517	0.0000147	0.0005602	1857.542013	2854.395062	3059.224161	A_23_P55606	Zinc finger protein 516. [Source:Uniprot/SWISSPROT;Acc:Q92618] [ENST00000217537]	ZNF516
518	0.0000148	0.0005619	39.3497646	27.6398421	18.8570151	A_23_P62220	Homo sapiens CD40 ligand (TNF superfamily, member 5, hyper-IgM syndrome) (CD40LG), mRNA [NM_000074]	CD40LG
519	0.0000148	0.0005619	98.7612684	73.2141086	37.9068075	A_23_P93464	Homo sapiens branched chain keto acid dehydrogenase E1, beta polypeptide (maple syrup urine disease) (BCKDHB), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA [NM_000056]	BCKDHB
520	0.0000149	0.0005646	29.3143106	38.0937702	54.4821611	A_23_P19182	Homo sapiens receptor accessory protein 2 (REEP2), mRNA [NM_016606]	REEP2
521	0.000015	0.0005673	48870.4966	62463.60494	82115.11761	A_24_P92771	Homo sapiens ferritin, heavy polypeptide-like 12 (FTHL12) on chromosome 9 [NR_002205]	FTHL12
522	0.0000151	0.00057	285.7990097	175.4378704	128.3091774	A_23_P40880	Homo sapiens CKLF-like MARVEL transmembrane domain containing 8 (CMTM8), mRNA [NM_178868]	CMTM8
523	0.0000152	0.0005716	1089.714629	761.0455609	488.0216066	A_23_P93524	Homo sapiens sterile alpha motif domain containing 3 (SAMD3), transcript variant 1, mRNA [NM_001017373]	SAMD3
524	0.0000152	0.0005716	113.4949157	82.0749166	60.8097578	A_24_P21831	Homo sapiens zinc finger protein 26 (ZNF26), mRNA [NM_019591]	ZNF26
525	0.0000155	0.0005806	870.5720989	1487.322886	1380.117202	A_23_P16469	Homo sapiens plasminogen activator, urokinase receptor (PLAUR), transcript variant 3, mRNA [NM_001005377]	PLAUR
526	0.0000155	0.0005806	199.3282089	154.3372558	93.9965827	A_23_P402604	Homo sapiens phosphoribosylformylglycinamidine synthase (FGAR amidotransferase) (PFAS), mRNA [NM_012393]	PFAS
527	0.0000156	0.0005822	573.552188	713.0678906	1191.303867	A_23_P334864	Homo sapiens family with sequence similarity 126, member B (FAM126B), mRNA [NM_173822]	FAM126B
528	0.0000156	0.0005822	87.7905684	125.7630049	161.2586091	A_24_P265523	Homo sapiens complement component (3b/4b) receptor 1 (Knops blood group) (CR1), transcript variant S, mRNA [NM_000651]	CR1
529	0.0000157	0.0005848	30.4508377	62.2990461	84.8759968	A_32_P85405	Q2NY92_XANOM (Q2NY92) Methyltransferase, partial (3%) [THC2714968]	THC2714968
530	0.0000159	0.0005911	195.3645473	155.3110257	107.1165825	A_32_P72341	Homo sapiens tripartite motif-containing 59 (TRIM59), mRNA [NM_173084]	TRIM59
531	0.0000163	0.0006048	67.8488802	89.082762	107.2136224	A_23_P205228	Homo sapiens ATPase, Cu++ transporting, beta polypeptide (ATP7B), transcript variant 1, mRNA [NM_000053]	ATP7B
532	0.0000168	0.0006222	1189.162177	1326.853076	829.9687018	A_23_P160618	Homo sapiens SH2 domain protein 2A (SH2D2A), mRNA [NM_003975]	SH2D2A
533	0.0000169	0.0006248	142.8934691	129.1323399	80.3937549	A_24_P23625	Heparan sulfate glucosamine 3-O-sulfotransferase 3B1 (EC 2.8.2.30) (Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 3B1) (Heparan sulfate 3-O-sulfotransferase 3B1) (h3-OST-3B). [Source:Uniprot/SWISSPROT;Acc:Q9Y662] [ENST00000360954]	HS3ST3B1
534	0.000017	0.0006261	581.4890712	871.2848348	739.2880377	A_32_P163125	Homo sapiens transmembrane protein 23 (TMEM23), mRNA [NM_147156]	TMEM23
535	0.000017	0.0006261	7191.905276	5588.703824	4765.235233	A_23_P214037	Homo sapiens nucleophosmin (nucleolar phosphoprotein B23, numatrin) (NPM1), transcript variant 1, mRNA [NM_002520]	NPM1
