miRNA	Case vs LITA p-value	Case vs LITA FC	Carotis vs. LITA p-value	Carotis vs. LITA FC	Aorta vs. LITA p-value	Aorta vs. LITA FC	Femoralis vs. LITA p-value	Femoralis vs. LITA FC
hsa-miR-454	0.308	1.37	0.696	-1.19	0.213	1.71	0.159	1.8
hsa-miR-455-3p	0.142	1.56	0.629	1.23	0.079	2.08	0.343	1.48
hsa-miR-455-5p	0.184	1.26	0.806	1.05	0.022	1.66	0.443	1.16
hsa-miR-483-5p	0.492	1.25	0.49	-1.19	0.46	1.36	0.133	1.69
hsa-miR-484	0.847	-1.02	0.665	-1.05	0.973	-1	0.974	1
hsa-miR-486-3p	0.593	-1.08	0.102	-1.36	0.687	-1.07	0.397	1.16
hsa-miR-486-5p	0.028	-1.91	<0.001	-3.26	0.129	-1.68	0.448	-1.26
hsa-miR-487b	0.029	1.63	0.047	1.72	0.055	1.41	0.031	1.79
hsa-miR-489	0.152	1.22	0.552	-1.06	0.125	1.23	0.007	1.56
hsa-miR-490-5p	0.405	-1.12	0.023	-1.31	0.774	-1.06	0.879	-1.02
hsa-miR-493	0.47	-1.11	0.483	-1.15	0.492	-1.16	0.947	-1.01
hsa-miR-494	0.008	-2.34	0.159	-1.86	0.008	-2.91	0.016	-2.36
hsa-miR-495	0.01	1.82	0.044	1.84	0.009	1.61	0.007	2.04
hsa-miR-497	0.162	1.31	0.073	1.68	0.432	1.23	0.684	1.1
hsa-miR-498	0.683	1.07	0.23	-1.18	0.481	1.19	0.229	1.23
hsa-miR-500	0.72	-1.05	0.081	-1.27	0.878	1.03	0.588	1.06
hsa-miR-500	0.937	1.01	0.27	-1.17	0.439	1.1	0.518	1.09
hsa-miR-501-3p	0.822	1.02	0.252	-1.14	0.593	1.07	0.297	1.14
hsa-miR-501-5p	0.555	-1.08	0.062	-1.3	0.717	-1.06	0.518	1.1
hsa-miR-502-3p	0.92	-1.01	0.304	-1.18	0.703	1.05	0.549	1.08
hsa-miR-502-5p	0.476	1.08	0.526	-1.1	0.135	1.19	0.237	1.15
hsa-miR-504	0.213	-1.14	0.709	-1.06	0.261	-1.18	NA	NA
hsa-miR-505	0.096	1.26	0.899	1.03	0.049	1.41	0.048	1.4
hsa-miR-505	0.387	1.14	0.974	-1.01	0.455	1.17	0.249	1.28
hsa-miR-508-5p	0.006	-1.38	<0.001	-1.6	0.144	-1.26	0.027	-1.31
hsa-miR-509-3-5p	0.003	-1.4	NA	NA	0.063	-1.38	0.035	-1.34
hsa-miR-512-3p	0.188	-1.15	0.678	1.05	0.135	-1.24	0.041	-1.3
hsa-miR-513a-3p	0.656	1.08	NA	NA	0.512	1.17	0.114	1.29
hsa-miR-513a-5p	0.008	-1.94	0.009	-2.13	0.07	-1.96	0.019	-1.75
hsa-miR-513b	0.002	-2.04	0.001	-2.26	0.042	-1.98	0.003	-1.88
hsa-miR-513c	0.005	-1.91	0.012	-2.05	0.062	-1.88	0.024	-1.81
hsa-miR-516a-5p	0.68	-1.13	0.006	-1.82	0.966	1.02	0.409	1.25
hsa-miR-516b	0.721	1.05	0.575	-1.08	0.719	1.08	0.278	1.16
hsa-miR-517	0.005	-1.47	0.024	-1.48	0.06	-1.51	0.031	-1.42
hsa-miR-518a-5p	0.301	-1.12	NA	NA	0.681	-1.06	0.74	-1.04
hsa-miR-518c	0.549	-1.08	0.165	-1.22	0.777	-1.05	0.856	1.03
hsa-miR-519e	0.664	1.08	0.377	-1.15	0.618	1.14	0.149	1.28
hsa-miR-520b	0.402	-1.17	NA	NA	0.814	1.06	0.618	-1.09
hsa-miR-520e	0.822	-1.03	NA	NA	0.472	1.15	0.933	1.01
hsa-miR-526b	0.774	1.05	0.39	-1.12	0.698	1.09	0.335	1.19
hsa-miR-532-3p	0.864	1.02	0.576	-1.11	0.736	1.06	0.488	1.12
hsa-miR-532-5p	0.393	1.16	0.748	-1.08	0.26	1.28	0.22	1.31
hsa-miR-542-5p	0.896	1.02	0.021	-1.33	0.582	1.1	0.086	1.29
hsa-miR-548c-3p	0.966	-1	NA	NA	0.962	-1.01	0.62	1.06
hsa-miR-550	0.879	1.01	0.191	-1.14	0.492	1.08	0.386	1.09
hsa-miR-550	0.37	-1.11	NA	NA	0.997	-1	0.87	1.02
hsa-miR-551b	<0.001	-2.65	0.018	-2.36	0.003	-2.85	0.003	-2.77
hsa-miR-551b	0.72	1.06	NA	NA	0.626	1.11	0.286	1.22
hsa-miR-557	0.366	1.26	0.847	-1.03	0.183	1.48	0.309	1.38
hsa-miR-563	0.548	1.03	0.838	-1.02	0.636	1.04	0.264	1.08
hsa-miR-564	0.386	1.19	0.665	-1.05	0.465	1.24	0.073	1.45
hsa-miR-566	0.241	1.16	0.872	1.02	0.357	1.16	0.056	1.3
hsa-miR-571	0.709	-1.11	0.975	-1.01	0.942	-1.03	NA	NA
hsa-miR-572	0.07	1.38	0.049	1.55	0.182	1.31	0.24	1.3
hsa-miR-574-3p	0.028	1.42	0.102	1.45	0.101	1.41	0.135	1.39
hsa-miR-574-5p	0.329	-1.17	0.811	-1.06	0.513	-1.18	0.314	-1.29
hsa-miR-575	0.21	1.61	0.274	1.49	0.634	1.28	0.098	2.19
hsa-miR-582-5p	0.686	1.11	0.232	-1.41	0.295	1.41	0.24	1.36
hsa-miR-583	0.937	-1.02	0.082	-1.35	0.827	1.06	0.442	1.21
hsa-miR-584	0.014	1.56	0.13	1.52	0.09	1.48	0.035	1.68
hsa-miR-590-5p	0.144	1.23	0.82	-1.04	0.054	1.42	0.078	1.37
hsa-miR-598	0.071	1.32	0.397	1.19	0.037	1.43	0.029	1.34
hsa-miR-601	0.555	1.14	0.917	-1.03	0.683	1.14	0.283	1.35
hsa-miR-602	0.386	1.07	0.844	-1.02	0.493	1.08	0.128	1.16
hsa-miR-605	0.003	1.74	0.014	1.98	0.07	1.54	0.013	1.72
hsa-miR-610	0.096	1.35	0.212	1.28	0.459	1.19	0.03	1.6
hsa-miR-615-3p	0.765	-1.03	NA	NA	0.362	1.08	0.336	1.09
hsa-miR-616	0.475	1.06	NA	NA	0.712	1.05	NA	NA
hsa-miR-617	0.595	1.07	0.824	-1.03	0.519	1.12	0.401	1.14
hsa-miR-622	0.027	-1.7	<0.001	-2.21	0.345	-1.35	0.022	-1.64
hsa-miR-623	0.032	1.6	0.143	1.43	0.155	1.51	0.012	1.92
hsa-miR-624	0.837	1.02	NA	NA	0.739	1.04	0.224	1.15
hsa-miR-625	0.294	1.22	0.255	-1.24	0.079	1.5	0.043	1.49
hsa-miR-625	0.913	1.01	0.773	-1.03	0.86	1.02	0.709	1.04
hsa-miR-628-3p	0.206	-1.12	0.3	-1.15	0.478	-1.09	0.275	-1.12
hsa-miR-628-5p	0.426	1.08	0.883	-1.02	0.329	1.13	0.263	1.15
hsa-miR-629	0.571	-1.06	0.004	-1.37	0.769	1.04	0.337	1.09
hsa-miR-629	0.298	-1.15	0.005	-1.49	0.704	1.06	0.465	-1.09
hsa-miR-630	0.369	-1.48	0.003	-2.6	0.805	-1.15	0.839	-1.09
hsa-miR-631	0.476	1.08	0.689	1.06	0.757	1.05	0.381	1.14
hsa-miR-634	0.48	-1.06	0.461	-1.1	0.488	-1.09	0.958	1.01
hsa-miR-636	0.684	-1.04	0.214	-1.15	0.703	-1.05	0.394	1.08
hsa-miR-638	0.098	1.52	0.141	1.46	0.226	1.41	0.1	1.71
hsa-miR-648	0.351	1.14	0.716	1.06	0.345	1.18	0.284	1.17
hsa-miR-650	0.39	1.11	0.499	-1.09	0.141	1.28	0.203	1.17
hsa-miR-652	0.636	-1.1	0.089	-1.62	0.773	1.08	0.64	1.13
hsa-miR-654-3p	0.124	1.31	0.248	1.29	0.32	1.19	0.048	1.46
hsa-miR-654-5p	0.068	1.42	0.228	1.22	0.177	1.43	0.012	1.64
hsa-miR-658	0.737	1.03	0.508	1.07	0.849	1.02	0.955	-1.01
hsa-miR-659	0.256	1.36	0.925	-1.02	0.253	1.48	0.092	1.75
hsa-miR-660	0.09	1.58	0.968	1.01	0.047	1.94	0.045	1.99
hsa-miR-662	0.399	-1.1	0.046	-1.24	0.976	1.01	0.443	-1.09
hsa-miR-663	0.062	1.55	0.38	1.23	0.078	1.65	0.032	1.85
hsa-miR-663b	0.612	1.08	NA	NA	0.698	1.09	0.114	1.29
hsa-miR-664	0.961	1.01	0.86	1.04	0.917	-1.02	0.998	1
hsa-miR-664	0.167	1.17	0.333	1.17	0.366	1.16	0.319	1.19
hsa-miR-665	0.662	-1.06	0.626	-1.08	0.503	-1.14	0.861	1.03
hsa-miR-671-3p	0.111	-1.16	NA	NA	0.503	-1.08	0.298	-1.11
hsa-miR-671-5p	0.365	1.23	0.934	-1.02	0.295	1.36	0.22	1.38
hsa-miR-7	0.348	1.2	0.218	-1.32	0.118	1.41	0.046	1.63
hsa-miR-708	0.049	1.32	0.16	1.22	0.148	1.34	0.044	1.41
hsa-miR-7-1	0.355	1.14	0.525	-1.13	0.132	1.3	0.127	1.3
hsa-miR-720	0.136	1.2	0.459	1.11	0.033	1.45	0.613	1.09
hsa-miR-744	0.813	-1.03	0.917	-1.02	0.869	-1.03	0.815	-1.04
hsa-miR-744	0.912	-1.01	0.694	-1.06	NA	NA	NA	NA
hsa-miR-760	0.394	1.18	0.945	1.01	0.542	1.16	0.152	1.41
hsa-miR-765	0.545	1.17	0.778	-1.06	0.528	1.26	0.297	1.36
hsa-miR-766	0.055	1.19	0.634	1.05	0.032	1.29	0.037	1.23
hsa-miR-767-3p	0.118	-1.11	NA	NA	0.333	-1.1	NA	NA
hsa-miR-769-3p	0.88	1.02	0.43	-1.12	0.809	1.05	0.443	1.13
hsa-miR-769-5p	0.94	-1.01	0.744	1.06	0.806	1.03	0.349	-1.12
hsa-miR-770-5p	0.281	1.11	0.386	1.11	0.359	1.15	0.453	1.07
hsa-miR-874	0.511	-1.1	0.056	-1.22	0.981	-1.01	0.496	-1.09
hsa-miR-877	0.687	1.1	0.105	-1.3	0.423	1.28	0.22	1.36
hsa-miR-877	0.634	1.04	0.684	-1.04	0.699	1.05	0.217	1.12
hsa-miR-886-3p	0.043	1.49	0.159	1.29	0.092	1.66	0.011	1.56
hsa-miR-886-5p	0.927	1.01	0.527	-1.08	0.799	-1.03	0.266	1.13
hsa-miR-887	0.366	-1.37	<0.001	-2.49	0.886	1.07	0.717	-1.11
hsa-miR-892b	0.82	-1.04	0.176	-1.3	0.733	-1.08	0.323	1.24
hsa-miR-921	0.322	-1.18	0.016	-1.44	0.654	-1.11	0.879	-1.03
hsa-miR-923	<0.001	-2.86	0.018	-2.38	0.003	-2.79	<0.001	-3.52
hsa-miR-92a	0.015	-1.54	0.037	-1.72	0.089	-1.49	0.15	-1.42
hsa-miR-92b	0.313	-1.06	0.48	-1.07	0.386	-1.08	0.712	-1.03
hsa-miR-93	0.485	-1.16	0.054	-1.76	0.982	1.01	0.678	1.12
hsa-miR-93	0.511	-1.07	0.113	-1.25	0.804	-1.03	0.578	1.06
hsa-miR-933	0.393	-1.06	0.098	-1.16	0.582	-1.05	0.702	1.03
hsa-miR-936	0.255	1.36	0.45	1.22	0.505	1.28	0.137	1.63
hsa-miR-939	0.005	1.99	0.027	1.9	0.027	1.94	0.006	2.14
hsa-miR-940	0.007	1.44	0.127	1.32	0.019	1.44	0.006	1.56
hsa-miR-95	0.053	1.67	0.715	1.14	0.022	2.18	0.053	1.87
hsa-miR-96	0.965	-1.02	0.049	-2.34	0.273	1.69	0.501	1.32
hsa-miR-98	0.172	1.54	0.975	-1.01	0.116	1.93	0.108	1.94
hsa-miR-99a	0.251	-1.4	0.07	-2.02	0.968	-1.02	0.472	-1.34
hsa-miR-99a	0.029	-1.22	NA	NA	0.274	-1.15	0.108	-1.18
hsa-miR-99b	0.034	-1.51	0.213	-1.39	0.071	-1.51	0.054	-1.62
hsa-miR-99b	0.404	-1.09	0.076	-1.2	0.885	-1.02	0.625	-1.05
hsv1-miR-H1	0.065	-1.79	<0.001	-2.66	0.49	-1.31	0.091	-1.64
hsv1-miR-H6	0.46	1.04	0.9	1.01	0.888	1.01	0.2	1.1
jcv-miR-J1-5p	0.478	1.1	0.769	1.04	0.72	1.07	0.256	1.18
kshv-miR-K12-10b	0.45	1.09	0.924	-1.01	0.427	1.13	0.244	1.16
kshv-miR-K12-3	0.062	1.67	0.206	1.37	0.162	1.65	0.025	2.05
kshv-miR-K12-7	0.004	-1.56	0.005	-1.63	0.045	-1.55	0.044	-1.51
kshv-miR-K12-8	0.362	1.19	0.253	-1.14	0.226	1.38	0.041	1.37
kshv-miR-K12-9	0.915	1.01	0.456	-1.08	0.721	1.03	0.45	1.07
