Symbol	Name	ProbeId	Embryo:Log2FC	Embryo:adj_p-value	Pup:Log2FC	Pup:adj_p-value
Dnajb5	DnaJ (Hsp40) homolog, subfamily B, member 5	A_51_P227112	Embryo:1.62544517901099	Embryo:3.70619436849265e-06	Pup:1.82496568269118	Pup:4.95223522973514e-07
Slc41a1	solute carrier family 41, member 1	A_52_P578562	Embryo:1.79466479796042	Embryo:9.34432128240579e-07	Pup:1.65151570938124	Pup:2.67217507914446e-06
Adora2a	adenosine A2a receptor	A_51_P387348	Embryo:1.82140311420799	Embryo:0.00539681578023586	Pup:1.61111184510797	Pup:0.0111047669653516
Gm10941	predicted gene 10941	A_52_P932421	Embryo:1.6880635674048	Embryo:0.00287789930630689	Pup:1.72253902057668	Pup:0.00194337802469478
Angpt2	angiopoietin 2	A_51_P201982	Embryo:1.71183770832246	Embryo:0.000355069399840529	Pup:1.68128693425295	Pup:0.000348545740846699
Th	tyrosine hydroxylase	A_51_P486223	Embryo:1.30270411725167	Embryo:0.00894459442010296	Pup:2.06540643743053	Pup:7.04125123370082e-05
1700003O11Rik	RIKEN cDNA 1700003O11 gene	A_51_P404139	Embryo:1.83939815800607	Embryo:0.000124581029144814	Pup:1.52828894412698	Pup:0.000817134093957639
Mycn	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	A_52_P536494	Embryo:1.98091124304842	Embryo:2.61530454432068e-05	Pup:1.37699911770692	Pup:0.00145288892687064
Pnkd	paroxysmal nonkinesiogenic dyskinesia	A_51_P372141	Embryo:1.36634364085848	Embryo:9.03187194858277e-05	Pup:1.98928126063812	Pup:3.0269878174685e-07
Pacrg	PARK2 co-regulated	A_51_P349015	Embryo:1.1550544455965	Embryo:0.0381378121119886	Pup:2.16775698629499	Pup:0.000144869323493711
Myo10	myosin X	A_51_P343663	Embryo:1.97567095698098	Embryo:3.51138653339244e-07	Pup:1.28932191831747	Pup:0.000127990084445987
Rhcg	Rhesus blood group-associated C glycoprotein	A_51_P410772	Embryo:1.66945638821397	Embryo:0.0247767502802469	Pup:1.57364145743005	Pup:0.028213259065705
Sec11c	SEC11 homolog C (S. cerevisiae)	A_51_P359262	Embryo:1.3159137997679	Embryo:1.7149092991673e-06	Pup:1.92114034942512	Pup:2.39893375207899e-09
Mos	Moloney sarcoma oncogene	A_52_P42332	Embryo:1.59093799827618	Embryo:0.0450151346979784	Pup:1.6338090403853	Pup:0.0318285510273583
Chst10	carbohydrate sulfotransferase 10	A_51_P445562	Embryo:1.86809796010866	Embryo:3.39939431709131e-06	Pup:1.35655528580713	Pup:0.000206155552013948
AF067063	cDNA sequence AF067063	A_51_P512119	Embryo:1.69624754488025	Embryo:1.01418717089378e-05	Pup:1.51569976790368	Pup:3.83413633084853e-05
Zfp423	zinc finger protein 423	A_51_P328439	Embryo:1.78258578300779	Embryo:0.00240980882040957	Pup:1.40557154564324	Pup:0.0127642695183598
Noxo1	NADPH oxidase organizer 1	A_52_P625940	Embryo:1.75287986642973	Embryo:0.00124286337297221	Pup:1.42526100566261	Pup:0.00621300350078775
Gabarapl1	gamma-aminobutyric acid (GABA) A receptor-associated protein-like 1	A_52_P633410	Embryo:1.3102546169702	Embryo:0.00130727808192477	Pup:1.86688842871477	Pup:1.51894249142822e-05
Slc16a9	solute carrier family 16 (monocarboxylic acid transporters), member 9	A_51_P493117	Embryo:1.85727593767315	Embryo:8.27494648708708e-06	Pup:1.31756531676508	Pup:0.000515686576478293
Mfn1	mitofusin 1	A_52_P340196	Embryo:1.55860316899454	Embryo:0.030425602412354	Pup:1.60875056013386	Pup:0.0204789314790097
Tmem179	transmembrane protein 179	A_51_P307917	Embryo:1.98810199848808	Embryo:2.92210185817543e-06	Pup:1.17073788055765	Pup:0.00168179805344171
Fgfbp3	fibroblast growth factor binding protein 3	A_51_P231440	Embryo:1.5009184969414	Embryo:0.000284992235039511	Pup:1.65789553416485	Pup:6.860178971361e-05
Hcn3	hyperpolarization-activated, cyclic nucleotide-gated K+ 3	A_51_P333279	Embryo:2.01233666210115	Embryo:7.98066035984742e-05	Pup:1.14062435292639	Pup:0.0145312074543355
Nkd2	naked cuticle 2 homolog (Drosophila)	A_51_P345549	Embryo:1.49007880705055	Embryo:0.00484643622722333	Pup:1.62317979416456	Pup:0.00185698750227484
Gpr162	G protein-coupled receptor 162	A_51_P344376	Embryo:1.74619897019696	Embryo:2.2123810102816e-06	Pup:1.32284151845415	Pup:8.85608627886565e-05
Rcan3	regulator of calcineurin 3	A_52_P283524	Embryo:1.79500095975949	Embryo:8.25319495994877e-09	Pup:1.26994635245678	Pup:1.86429824779641e-06
Mzf1	myeloid zinc finger 1	A_51_P437883	Embryo:1.56562479807016	Embryo:0.0117344699627913	Pup:1.48605954961424	Pup:0.0134559666856335
Ap1s2	adaptor-related protein complex 1, sigma 2 subunit	A_52_P488596	Embryo:1.76369752787288	Embryo:0.000491902238571326	Pup:1.27622201618241	Pup:0.00770815552931016
Mapk8ip1	mitogen-activated protein kinase 8 interacting protein 1	A_52_P349477	Embryo:1.66125065288871	Embryo:0.00254478623985965	Pup:1.36162481564441	Pup:0.0102293006115927
Porcn	porcupine homolog (Drosophila)	A_51_P509746	Embryo:1.86484668055864	Embryo:6.05834828208925e-07	Pup:1.15197919500468	Pup:0.000352332048214354
Cxxc4	CXXC finger 4	A_52_P65506	Embryo:1.55922574170875	Embryo:0.00536924224347781	Pup:1.45351445749625	Pup:0.00760613408814182
Atp8a2	ATPase, aminophospholipid transporter-like, class I, type 8A, member 2	A_51_P305628	Embryo:1.44727458201533	Embryo:0.0441028028998085	Pup:1.55812312112799	Pup:0.023917728357911
Cst3	cystatin C	A_51_P332201	Embryo:1.20806520748736	Embryo:0.00179979751147133	Pup:1.79474252123832	Pup:1.34758395423741e-05
Chst2	carbohydrate sulfotransferase 2	A_51_P258894	Embryo:1.6027247177483	Embryo:5.43111742344311e-05	Pup:1.38543836622881	Pup:0.000262778593025289
Hexb	hexosaminidase B	A_51_P453111	Embryo:1.54887621993962	Embryo:2.45254262352482e-06	Pup:1.42621315973319	Pup:6.85565412960235e-06
Fbln1	fibulin 1	A_52_P588483	Embryo:1.39601122864487	Embryo:0.000782395742424693	Pup:1.57384161835247	Pup:0.000162513211779698
Gas2l3	growth arrest-specific 2 like 3	A_52_P335354	Embryo:1.33081259482569	Embryo:0.00267785480764596	Pup:1.6359191964843	Pup:0.000261741517397558
1700023A16Rik	RIKEN cDNA 1700023A16 gene	A_51_P171136	Embryo:1.86195620114894	Embryo:2.55224691665149e-05	Pup:1.10032574789942	Pup:0.0059187720952218
Tpcn1	two pore channel 1	A_52_P476560	Embryo:1.43607926520375	Embryo:3.1696115494419e-05	Pup:1.51759494982017	Pup:1.20419705474705e-05
Clip3	CAP-GLY domain containing linker protein 3	A_51_P506093	Embryo:1.83433556451156	Embryo:1.93053360638004e-05	Pup:1.09170338290752	Pup:0.00474141410025143
Sp8	trans-acting transcription factor 8	A_52_P467511	Embryo:1.68845464225205	Embryo:0.000517974063946637	Pup:1.21279830540458	Pup:0.0084227824776034
Lamb1	laminin B1	A_51_P244287	Embryo:1.30107182328132	Embryo:0.0116838315421936	Pup:1.59735694384849	Pup:0.00173316847842955
Adamts12	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 12	A_52_P150851	Embryo:1.23472523191166	Embryo:0.00419356099438998	Pup:1.60162743785157	Pup:0.000255664033984772
Ttyh2	tweety homolog 2 (Drosophila)	A_51_P110189	Embryo:1.05624732319805	Embryo:0.0270025232380298	Pup:1.75188750093312	Pup:0.000297912266132473
Agpat1	1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)	A_52_P200465	Embryo:1.48873825213878	Embryo:0.000953915789674886	Pup:1.31760001971483	Pup:0.00244849159334558
Fam57a	family with sequence similarity 57, member A	A_52_P255849	Embryo:1.10680039032751	Embryo:2.12516034279456e-06	Pup:1.63908962905035	Pup:2.39893375207899e-09
Lxn	latexin	A_51_P487813	Embryo:1.3908339833297	Embryo:9.24388075305618e-05	Pup:1.35493133082975	Pup:0.000105690785231333
Gstt2	glutathione S-transferase, theta 2	A_51_P350048	Embryo:1.13214043089326	Embryo:0.00440122048877328	Pup:1.60821152204868	Pup:9.27196898770342e-05
A630033H20Rik	RIKEN cDNA A630033H20 gene	A_51_P171936	Embryo:1.47828437803904	Embryo:0.02194240720753	Pup:1.25705654010264	Pup:0.043703542859763
Pcdh18	protocadherin 18	A_52_P555789	Embryo:1.58858007094899	Embryo:0.00299483023255248	Pup:1.1392643668101	Pup:0.0266406617700764
D14Ertd449e	DNA segment, Chr 14, ERATO Doi 449, expressed	A_51_P222453	Embryo:1.4373600590038	Embryo:1.61536154353902e-06	Pup:1.2743412020298	Pup:7.88204520366384e-06
Plch1	phospholipase C, eta 1	A_52_P240036	Embryo:1.48772190941133	Embryo:0.00483457830606897	Pup:1.22218278681724	Pup:0.0164085365188538
Drp2	dystrophin related protein 2	A_52_P92161	Embryo:1.33326711021221	Embryo:0.00769188062186863	Pup:1.36661745454702	Pup:0.00514699965557081
Myl4	myosin, light polypeptide 4	A_52_P544523	Embryo:1.52906182808942	Embryo:2.56460709233071e-07	Pup:1.16216075902985	Pup:1.34868375269396e-05
Pacs2	phosphofurin acidic cluster sorting protein 2	A_52_P213004	Embryo:1.23480294913038	Embryo:1.44975208302258e-05	Pup:1.43849224188194	Pup:1.21695812845378e-06
Dcbld1	discoidin, CUB and LCCL domain containing 1	A_51_P483699	Embryo:1.36642109410041	Embryo:0.000975137104935352	Pup:1.29235523553403	Pup:0.00133860476426323
Qpctl	glutaminyl-peptide cyclotransferase-like	A_51_P515623	Embryo:1.29331398358927	Embryo:0.000223820597378791	Pup:1.36119189798439	Pup:9.70818485353817e-05
Gja1	gap junction protein, alpha 1	A_52_P174915	Embryo:1.16589722155313	Embryo:0.000674929408965716	Pup:1.48596418618397	Pup:2.83765423931261e-05
3110007F17Rik	RIKEN cDNA 3110007F17 gene	A_52_P321978	Embryo:1.16055180074135	Embryo:0.00020800150182671	Pup:1.48154915013697	Pup:6.45913051178169e-06
Nelf	nasal embryonic LHRH factor	A_51_P169886	Embryo:1.34769877882428	Embryo:8.10853771433271e-09	Pup:1.26894916937539	Pup:1.64433239600799e-08
Mmp1a	matrix metallopeptidase 1a (interstitial collagenase)	A_52_P549223	Embryo:1.2458522972586	Embryo:0.00852819676781836	Pup:1.36480359831718	Pup:0.00331379269550453
Ddah1	dimethylarginine dimethylaminohydrolase 1	A_51_P110471	Embryo:1.51981181724252	Embryo:1.33348067141743e-06	Pup:1.08407262758252	Pup:0.000122116275805324
Cd82	CD82 antigen	A_51_P393934	Embryo:1.44038297080339	Embryo:1.97977201474626e-05	Pup:1.1618451714388	Pup:0.000250016465864198
Prrg2	proline-rich Gla (G-carboxyglutamic acid) polypeptide 2	A_51_P284233	Embryo:1.34608648315895	Embryo:6.81084331130509e-05	Pup:1.25173711445625	Pup:0.000137201071023196
Bves	blood vessel epicardial substance	A_52_P337126	Embryo:1.56259842150777	Embryo:0.000190627522235219	Pup:1.02496303036475	Pup:0.00862723723823639
Ptprk	protein tyrosine phosphatase, receptor type, K	A_52_P296095	Embryo:1.55394648645052	Embryo:0.00315548835491027	Pup:1.03341276089612	Pup:0.0411872025604223
Mtap7d2	MAP7 domain containing 2	A_51_P465571	Embryo:1.2310538997228	Embryo:0.026632273454695	Pup:1.3479520387048	Pup:0.0121122323056737
Dclk2	doublecortin-like kinase 2	A_51_P165834	Embryo:1.34447676895528	Embryo:0.000314074902450489	Pup:1.22323938888444	Pup:0.000703629211941787
Rhbdf1	rhomboid family 1 (Drosophila)	A_52_P141322	Embryo:1.40906470515353	Embryo:3.65075040919934e-05	Pup:1.15494712886189	Pup:0.000343183871036724
1600014C10Rik	RIKEN cDNA 1600014C10 gene	A_52_P77093	Embryo:1.2010904365513	Embryo:0.0496957155276551	Pup:1.32944829978225	Pup:0.0233835730120892
D3Ertd254e	DNA segment, Chr 3, ERATO Doi 254, expressed	A_51_P511386	Embryo:1.20841067894979	Embryo:2.35687578641996e-05	Pup:1.30985554855604	Pup:6.07459667225624e-06
Usp3	ubiquitin specific peptidase 3	A_51_P330630	Embryo:1.09077195053572	Embryo:1.86168645175726e-06	Pup:1.41421844739299	Pup:2.1020856421227e-08
Ppm1j	protein phosphatase 1J	A_51_P399175	Embryo:1.19657022845772	Embryo:0.00129472777583441	Pup:1.30243322132798	Pup:0.00042794678207244
Gdf9	growth differentiation factor 9	A_51_P220806	Embryo:1.38009134702197	Embryo:0.000148946248700233	Pup:1.10146664906821	Pup:0.00139198953906764
Fam131a	family with sequence similarity 131, member A	A_51_P213205	Embryo:1.29186083625003	Embryo:1.58219308071036e-08	Pup:1.17118188203523	Pup:6.05752830542579e-08
Trp53i11	transformation related protein 53 inducible protein 11	A_51_P414079	Embryo:1.23266255279634	Embryo:0.0179463600243719	Pup:1.22896802868565	Pup:0.0147037772915732
Prrx2	paired related homeobox 2	A_51_P183746	Embryo:1.3292564749955	Embryo:0.0015104512674108	Pup:1.12966585526186	Pup:0.0051458494966283
Sft2d2	SFT2 domain containing 2	A_52_P408690	Embryo:1.0136363445369	Embryo:0.000355621049818559	Pup:1.44520162671934	Pup:2.54256578985482e-06
1110034G24Rik	RIKEN cDNA 1110034G24 gene	A_52_P568888	Embryo:1.243950940765	Embryo:4.2816856685734e-06	Pup:1.19467481425405	Pup:6.2521740907528e-06
Gm10345	predicted gene 10345	A_51_P130595	Embryo:1.19699895803106	Embryo:0.000341812949771314	Pup:1.22580180798513	Pup:0.0002092300782932
Pfkfb3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	A_51_P212491	Embryo:1.37174961088051	Embryo:2.46047821732924e-06	Pup:1.01803737884922	Pup:0.000125299020466209
Rmnd5b	required for meiotic nuclear division 5 homolog B (S. cerevisiae)	A_51_P244969	Embryo:1.20836877779957	Embryo:1.08826384080192e-06	Pup:1.17736107404524	Pup:1.29322920566939e-06
Stau2	staufen (RNA binding protein) homolog 2 (Drosophila)	A_52_P291971	Embryo:1.14551153102165	Embryo:0.00568644127785888	Pup:1.22748202411673	Pup:0.0025762626150487
Eltd1	EGF, latrophilin seven transmembrane domain containing 1	A_51_P480328	Embryo:1.03055349698218	Embryo:0.0219995160931597	Pup:1.33392719146304	Pup:0.00257459309097941
Epb4.1l1	erythrocyte protein band 4.1-like 1	A_52_P524426	Embryo:1.13333532094025	Embryo:2.42182601901681e-05	Pup:1.19579756271647	Pup:9.18896536550296e-06
Stard6	StAR-related lipid transfer (START) domain containing 6	A_52_P85765	Embryo:1.16171658160782	Embryo:0.00272424939320038	Pup:1.16424713062029	Pup:0.00216182980962633
Pde1b	phosphodiesterase 1B, Ca2+-calmodulin dependent	A_51_P167803	Embryo:1.1687397935985	Embryo:0.00356949665865906	Pup:1.12009416001234	Pup:0.00415687202985935
Sh3kbp1	SH3-domain kinase binding protein 1	A_52_P411296	Embryo:1.08415547754252	Embryo:3.72966214302544e-05	Pup:1.17139616880667	Pup:1.03746569481205e-05
Ccdc28b	coiled coil domain containing 28B	A_51_P495700	Embryo:1.06925587547687	Embryo:0.00181181870695598	Pup:1.18361840674347	Pup:0.000519351467578406
Tbce	tubulin-specific chaperone E	A_51_P351137	Embryo:1.12324969200907	Embryo:0.000151386169611629	Pup:1.12603179350707	Pup:0.000119574215792817
Tctn2	tectonic family member 2	A_51_P127035	Embryo:1.15234156142095	Embryo:0.000504269554905244	Pup:1.05531300521826	Pup:0.00101354362230469
Rabl5	RAB, member of RAS oncogene family-like 5	A_51_P495077	Embryo:1.01816397013636	Embryo:0.000391397576470948	Pup:1.16913597767871	Pup:5.99406397722358e-05
Tmem66	transmembrane protein 66	A_51_P484753	Embryo:1.12729566262896	Embryo:1.25093080576799e-06	Pup:1.04781529273335	Pup:3.06054442256606e-06
Snn	stannin	A_51_P461020	Embryo:1.05128417116724	Embryo:0.0127145859431184	Pup:1.0994536230513	Pup:0.00740710449619397
Olfr1157	olfactory receptor 1157	A_51_P499960	Embryo:1.0695590605844	Embryo:0.0182927505667054	Pup:1.04894489672656	Pup:0.0166297671324448
Tjap1	tight junction associated protein 1	A_51_P380514	Embryo:1.00536210125385	Embryo:0.00496353446983672	Pup:1.00140940351182	Pup:0.00417291017401356
